528513100124103; DUZIMICIN; DUZIMICIN; NOT FOUND; 50 MG/ML PO SUS OR CX 50 FR VD AMB X 60 ML (EMB HOSP) ; PZ8
528531304134115; DESLORATADINA; DESLORATADINA; DESLORATADINA; 0.5 MG/ML XPE CT FR PLAS OPC X 100 ML + SER DOSAD; PZ8
528531306137111; DESLORATADINA; DESLORATADINA; DESLORATADINA; 0.5 MG/ML XPE CT FR VD AMB X 100 ML + SER DOSAD; PZ8
528531307133111; DESLORATADINA; DESLORATADINA; DESLORATADINA; 0.5 MG/ML XPE CX 50 FR PLAS AMB X 100 ML + 50 SER DOSAD (EMB HOSP); PZ8
528531309136116; DESLORATADINA; DESLORATADINA; DESLORATADINA; 0.5 MG/ML XPE CX 50 FR PLAS OPC X 100 ML + 50 SER DOSAD (EMB HOSP); PZ8
528531312137111; DESLORATADINA; DESLORATADINA; DESLORATADINA; 0.5 MG/ML XPE CX 50 FR VD AMB X 100 ML + 50 SER DOSAD (EMB HOSP); PZ8
528531301135110; DESLORATADINA; DESLORATADINA; DESLORATADINA; 0.5 MG/ML XPE CT FR VD AMB X 60 ML + SER DOSAD; PZ8
528531303138117; DESLORATADINA; DESLORATADINA; DESLORATADINA; 0.5 MG/ML XPE CT FR PLAS AMB X 60 ML + SER DOSAD; PZ8
528531305130113; DESLORATADINA; DESLORATADINA; DESLORATADINA; 0.5 MG/ML XPE CT FR PLAS OPC X 60 ML + SER DOSAD; PZ8
528531308131110; DESLORATADINA; DESLORATADINA; DESLORATADINA; 0.5 MG/ML XPE CX 50 FR PLAS AMB X 60 ML + 50 SER DOSAD (EMB HOSP); PZ8
528531310134113; DESLORATADINA; DESLORATADINA; DESLORATADINA; 0.5 MG/ML XPE CX 50 FR PLAS OPC X 60 ML + 50 SER DOSAD (EMB HOSP); PZ8
528531311130111; DESLORATADINA; DESLORATADINA; DESLORATADINA; 0.5 MG/ML XPE CX 50 FR VD AMB X 60 ML + 50 SER DOSAD (EMB HOSP); PZ8
528525501160114; DESONIDA; DESONIDA; DESONIDA; 0.5 MG/G CREM DERM CT BG AL X 30G; PZ8
528525502167112; DESONIDA; DESONIDA; DESONIDA; 0.5 MG/G LOC DERM CT FR PLAS OPC X 60 G; PZ8
528502010136117; DEXAMETASONA; DEXAMETASONA; DEXAMETASONA; 0.1 MG/ML ELX CX 50 FR PLAS OPC X 100 ML  + 50 CP MED   ( EMB HOSP) ; PZ8
528502008131111; DEXAMETASONA; DEXAMETASONA; DEXAMETASONA; 0.1 MG/ML ELX CT FR PLAS OPC X 120 ML + CP MED; PZ8
528502011132115; DEXAMETASONA; DEXAMETASONA; DEXAMETASONA; 0.1 MG/ML ELX CX 50 FR PLAS OPC X 120 ML + 50 CP MED ( EMB HOSP); PZ8
528514120126604; DEXPROTENOL; DEXPROTENOL; NOT FOUND; 50 MG/G POM DERM CT BG AL X 30 G; PZ8
528514120126704; DEXPROTENOL; DEXPROTENOL; NOT FOUND; 50 MG/G POM DERM CX 100 BG AL X 30 G; PZ8
528523501163117; DICLOFENACO DIETILAMONIO; DICLOFENACO DIETILAMONIO; DICLOFENACO DIETILAMONIO; 10 MG/G GEL CREM CT BG AL X 60 G ; PZ8
528523506165118; DICLOFENACO DIETILAMONIO; DICLOFENACO DIETILAMONIO; DICLOFENACO DIETILAMONIO; 10 MG/G GEL CREM CX 50 BG AL X 60 G (EMB HOSP); PZ8
528529401111114; DICLOFENACO SÓDICO; DICLOFENACO SODICO; DICLOFENACO SODICO; 50 MG COM REV CT BL AL PLAS INC X 20 ; PZ8
528529403112118; DICLOFENACO SÓDICO; DICLOFENACO SODICO; DICLOFENACO SODICO; 50 MG COM REV CT BL AL PLAS INC X 400 (EMB FRAC); PZ8
528529402116111; DICLOFENACO SÓDICO; DICLOFENACO SODICO; DICLOFENACO SODICO; 50 MG COM REV CT BL AL PLAS INC X 500 (EMB HOSP); PZ8
528502203112414; DICLONATRIUM; DICLONATRIUM; NOT FOUND; 50 MG COM REV CT BL AL PLAS INC X 400 (EMB HOSP); PZ8
528502202116416; DICLONATRIUM; DICLONATRIUM; NOT FOUND; 50 MG COM REV CT BL AL PLAS INC X 500 (EMB HOSP); PZ8
528502301130115; DICLORIDRATO DE CETIRIZINA; DICLORIDRATO CETIRIZINA; DICLORIDRATO CETIRIZINA; 1 MG/ML SOL OR CT FR VD AMB X 120 ML; PZ8
528502302137113; DICLORIDRATO DE CETIRIZINA; DICLORIDRATO CETIRIZINA; DICLORIDRATO CETIRIZINA; 1 MG/ML SOL OR CT FR VD AMB X 80 ML; PZ8
528513060122706; DICLORIDRATO DE CETIRIZINA; DICLORIDRATO CETIRIZINA; DICLORIDRATO CETIRIZINA; 1 MG/ML SOL OR CX 50 FR VD AMB X 80 ML (EMB HOSP); PZ8
528502403138115; DIGOXINA; DIGOXINA; DIGOXINA; 0.05 MG/ML ELX CT FR VD AMB X 60 ML C/ CGT ; PZ8
528513070123606; DIGOXINA; DIGOXINA; DIGOXINA; 0.05 MG/ML ELX CT 50 FR VD AMB X 60 ML C/ CGT (EMB HOSP); PZ8
528513110124306; DIPIRONA SODICA; DIPIRONA SODICA; NOT FOUND; 1000 MG COM CT BL AL PLAS TRANS X 10; PZ8
528513110124606; DIPIRONA SODICA; DIPIRONA SODICA; NOT FOUND; 1000 MG COM CT BL AL PLAS TRANS X 100 (EMB MULT) ; PZ8
528513110124806; DIPIRONA SODICA; DIPIRONA SODICA; NOT FOUND; 1000 MG COM CT BL AL PLAS TRANS X 120 (EMB FRAC) ; PZ8
528513110124406; DIPIRONA SODICA; DIPIRONA SODICA; NOT FOUND; 1000 MG COM CT BL AL PLAS TRANS X 20; PZ8
528513110124906; DIPIRONA SODICA; DIPIRONA SODICA; NOT FOUND; 1000 MG COM CT BL AL PLAS TRANS X 240 (EMB FRAC); PZ8
528513110125106; DIPIRONA SODICA; DIPIRONA SODICA; NOT FOUND; 1000 MG COM CT BL AL PLAS TRANS X 300 (EMB HOSP) ; PZ8
528513110125006; DIPIRONA SODICA; DIPIRONA SODICA; NOT FOUND; 1000 MG COM CT BL AL PLAS TRANS X 360 (EMB FRAC) ; PZ8
528513110124206; DIPIRONA SODICA; DIPIRONA SODICA; NOT FOUND; 1000 MG COM CT BL AL PLAS TRANS X 4; PZ8
528513110125206; DIPIRONA SODICA; DIPIRONA SODICA; NOT FOUND; 1000 MG COM CT BL AL PLAS TRANS X 500 (EMB HOSP) ; PZ8
528513110124506; DIPIRONA SODICA; DIPIRONA SODICA; NOT FOUND; 1000 MG COM CT BL AL PLAS TRANS X 80 (EMB MULT) ; PZ8
528513110125306; DIPIRONA SODICA; DIPIRONA SODICA; NOT FOUND; 1000 MG COM CT BL AL PLAS TRANS X 800 (EMB HOSP) ; PZ8
528513110124706; DIPIRONA SODICA; DIPIRONA SODICA; NOT FOUND; 1000 MG COM CT BL AL PLAS TRANS X 90 (EMB FRAC); PZ8
528502507138121; DIPIRONA SÓDICA; DIPIRONA SODICA; NOT FOUND; 50 MG/ML SOL OR CT FR VD AMB X 100 ML + CP MED; PZ8
528502508134128; DIPIRONA SÓDICA; DIPIRONA SODICA; NOT FOUND; 50 MG/ML SOL OR CX 50 FR VD AMB X 100 ML + CP MED (EMB HOSP); PZ8
528502501113125; DIPIRONA SÓDICA; DIPIRONA SODICA; NOT FOUND; 500 MG COM CT BL AL PLAS TRANS X 100 (EMB MULT); PZ8
528502506115118; DIPIRONA SÓDICA; DIPIRONA SODICA; NOT FOUND; 500 MG COM CT BL AL PLAS INC X 200 - (EMB MULTI); PZ8
528502509114112; DIPIRONA SÓDICA; DIPIRONA SODICA; NOT FOUND; 500 MG COM CT BL AL PLAS INC X 480 (EMB FRAC); PZ8
528502502111126; DIPIRONA SÓDICA; DIPIRONA SODICA; NOT FOUND; 500 MG COM CT BL AL PLAS TRANS X 500 (EMB MULT); PZ8
528502503132127; DIPIRONA SÓDICA; DIPIRONA SODICA; NOT FOUND; 500MG/ML SOL OR CT FR PLAS OPC GOT X 10ML; PZ8
528502505135123; DIPIRONA SÓDICA; DIPIRONA SODICA; NOT FOUND; 500 MG/ML SOL OR CX 200 FR PLAS OPC GOT X 10 ML (EMB HOSP); PZ8
528502504139125; DIPIRONA SÓDICA; DIPIRONA SODICA; NOT FOUND; 500MG/ML SOL OR CT FR PLAS OPC GOT X 20ML; PZ8
528526101166113; DIPROPIONATO DE BETAMETASONA + SULFATO DE GENTAMICINA; DIPROPIONATO BETAMETASONA SULFATO GENTAMICINA; NOT FOUND; 0.5 MG/G + 1 MG/G CREM DERM CT BG AL X 30 G; PZ8
528526103169111; DIPROPIONATO DE BETAMETASONA + SULFATO DE GENTAMICINA; DIPROPIONATO BETAMETASONA SULFATO GENTAMICINA; NOT FOUND; 0.5 MG/G + 1 MG/G POM DERM CT BG AL X 30 G; PZ8
528522901133111; DIPROPIONATO DE BETAMETASONA + ÁCIDO SALICÍLICO; DIPROPIONATO BETAMETASONA ACIDO SALICILICO; NOT FOUND; 0. 64 MG/ML + 20 MG/ML SOL TOP CT FR PLAS OPC GOT X 30 ML ; PZ8
528522902164116; DIPROPIONATO DE BETAMETASONA + ÁCIDO SALICÍLICO; DIPROPIONATO BETAMETASONA ACIDO SALICILICO; NOT FOUND; 0.5 MG/G + 30 MG/G POM DERM CT BG AL X 30 G ; PZ8
528502601134116; DROPROPIZINA; DROPROPIZINA; DROPROPIZINA; 1.5 MG/ML XPE CT FR VD AMB X 120 ML + CP MED ; PZ8
528502603137112; DROPROPIZINA; DROPROPIZINA; DROPROPIZINA; 1.5 MG/ML XPE CX 50 FR VD AMB X 120 ML + 50 CP MED (EMB HOSP); PZ8
528502606136117; DROPROPIZINA; DROPROPIZINA; DROPROPIZINA; 3 MG/ML XPE CT FR VD AMB X 120 ML + CP MED; PZ8
528502608139113; DROPROPIZINA; DROPROPIZINA; DROPROPIZINA; 3.0 MG/ML XPE CX 50 FR VD AMB X 120 ML + 50 CP MED (EMB HOSP); PZ8
528528403178420; DUXIDINA; DUXIDINA; NOT FOUND; 10 MG/ML SOL TOP CT FR PLAS OPC X 100 ML; PZ8
528528406177425; DUXIDINA; DUXIDINA; NOT FOUND; 10 MG/ML SOL TOP CT FR VD AMB X 100 ML; PZ8
528528409176421; DUXIDINA; DUXIDINA; NOT FOUND; 10 MG/ML SOL TOP CX 100 FR VD AMB X 100 ML (EMB HOSP); PZ8
528528404174429; DUXIDINA; DUXIDINA; NOT FOUND; 10 MG/ML SOL TOP CT FR PLAS OPC X 30 ML; PZ8
528528407173423; DUXIDINA; DUXIDINA; NOT FOUND; 10 MG/ML SOL TOP CX 100 FR PLAS OPC X 30ML (EMB HOSP); PZ8
528528410174427; DUXIDINA; DUXIDINA; NOT FOUND; 10 MG/ML SOL TOP CX 100 FR VD AMB X 30 ML (EMB HOSP); PZ8
528528411170417; DUXIDINA; DUXIDINA; NOT FOUND; 10 MG/ML SOL TOP CT FR VD AMB X 30 ML; PZ8
528528401175424; DUXIDINA; DUXIDINA; NOT FOUND; 10 MG/ML SOL TOP CX 100 FR PLAS OPC SPR X 45 ML (EMB HOSP); PZ8
528528402171422; DUXIDINA; DUXIDINA; NOT FOUND; 10 MG/ML SOL TOP CT FR PLAS OPC SPR X 45 ML; PZ8
528528405170427; DUXIDINA; DUXIDINA; NOT FOUND; 10 MG/ML SOL TOP CT FR VD AMB SPRAY X 45 ML; PZ8
528528408171424; DUXIDINA; DUXIDINA; NOT FOUND; 10 MG/ML SOL TOP CX 100 FR VD AMB SPRAY X 45 ML (EMB HOSP); PZ8
