532900504137417, BISPECT, BISPECT, NOT FOUND, 0.8MG/ML XPE INF CT FR AMB X 120ML + CP MED, UCI
532900505133415, BISPECT, BISPECT, NOT FOUND, 1.6MG/ML XPE ADULTO CX 50 FR AMB X 120ML + 50 CP MED -EMB HOSP, UCI
532900502134410, BISPECT, BISPECT, NOT FOUND, 2MG/ML SOL OR CT 50 FR VD AMB GOT X 50ML - EMB HOSP, UCI
532900503130419, BISPECT, BISPECT, NOT FOUND, 2MG/ML SOL OR CT FR VD AMB GOT X 50ML, UCI
532900601116410, BROMOPAN, BROMOPAN, NOT FOUND, 10 MG CAP C/20, UCI
532900602139414, BROMOPAN, BROMOPAN, NOT FOUND, GOTAS 4 MG/ML FR 20ML, UCI
532900603135412, BROMOPAN, BROMOPAN, NOT FOUND, SOL 1MG/ML FR C/120ML, UCI
532900504137417, BISPECT, BISPECT, NOT FOUND, 0.8MG/ML XPE INF CT FR AMB X 120ML + CP MED, UCI
532900501138412, BISPECT, BISPECT, NOT FOUND, 0.8MG/ML XPE INF CX 50 FR AMB X 120 ML + 50 CP MED - EMB. HOSP, UCI
532900506131416, BISPECT, BISPECT, NOT FOUND, 1.6MG/ML XPE ADULTO CT FR AMB X 120ML + CP MED, UCI
532900505133415, BISPECT, BISPECT, NOT FOUND, 1.6MG/ML XPE ADULTO CX 50 FR AMB X 120ML + 50 CP MED -EMB HOSP, UCI
532900502134410, BISPECT, BISPECT, NOT FOUND, 2MG/ML SOL OR CT 50 FR VD AMB GOT X 50ML - EMB HOSP, UCI
532900503130419, BISPECT, BISPECT, NOT FOUND, 2MG/ML SOL OR CT FR VD AMB GOT X 50ML, UCI
532900601116410, BROMOPAN, BROMOPAN, NOT FOUND, 10 MG CAP C/20, UCI
532900602139414, BROMOPAN, BROMOPAN, NOT FOUND, GOTAS 4 MG/ML FR 20ML, UCI
532900603135412, BROMOPAN, BROMOPAN, NOT FOUND, SOL 1MG/ML FR C/120ML, UCI
532900504137417, BISPECT, BISPECT, NOT FOUND, 0.8MG/ML XPE INF CT FR AMB X 120ML + CP MED, UCI
532900501138412, BISPECT, BISPECT, NOT FOUND, 0.8MG/ML XPE INF CX 50 FR AMB X 120 ML + 50 CP MED - EMB. HOSP, UCI
532900506131416, BISPECT, BISPECT, NOT FOUND, 1.6MG/ML XPE ADULTO CT FR AMB X 120ML + CP MED, UCI
532900505133415, BISPECT, BISPECT, NOT FOUND, 1.6MG/ML XPE ADULTO CX 50 FR AMB X 120ML + 50 CP MED -EMB HOSP, UCI
532900502134410, BISPECT, BISPECT, NOT FOUND, 2MG/ML SOL OR CT 50 FR VD AMB GOT X 50ML - EMB HOSP, UCI
532900503130419, BISPECT, BISPECT, NOT FOUND, 2MG/ML SOL OR CT FR VD AMB GOT X 50ML, UCI
532900601116410, BROMOPAN, BROMOPAN, NOT FOUND, 10 MG CAP C/20, UCI
532900602139414, BROMOPAN, BROMOPAN, NOT FOUND, GOTAS 4 MG/ML FR 20ML, UCI
532900603135412, BROMOPAN, BROMOPAN, NOT FOUND, SOL 1MG/ML FR C/120ML, UCI
532900504137417, BISPECT, BISPECT, NOT FOUND, 0.8MG/ML XPE INF CT FR AMB X 120ML + CP MED, UCI
532900501138412, BISPECT, BISPECT, NOT FOUND, 0.8MG/ML XPE INF CX 50 FR AMB X 120 ML + 50 CP MED - EMB. HOSP, UCI
532900506131416, BISPECT, BISPECT, NOT FOUND, 1.6MG/ML XPE ADULTO CT FR AMB X 120ML + CP MED, UCI
532900505133415, BISPECT, BISPECT, NOT FOUND, 1.6MG/ML XPE ADULTO CX 50 FR AMB X 120ML + 50 CP MED -EMB HOSP, UCI
532900502134410, BISPECT, BISPECT, NOT FOUND, 2MG/ML SOL OR CT 50 FR VD AMB GOT X 50ML - EMB HOSP, UCI
532900503130419, BISPECT, BISPECT, NOT FOUND, 2MG/ML SOL OR CT FR VD AMB GOT X 50ML, UCI
532900601116410, BROMOPAN, BROMOPAN, NOT FOUND, 10 MG CAP C/20, UCI
532900602139414, BROMOPAN, BROMOPAN, NOT FOUND, GOTAS 4 MG/ML FR 20ML, UCI
532900603135412, BROMOPAN, BROMOPAN, NOT FOUND, SOL 1MG/ML FR C/120ML, UCI
532900504137417, BISPECT, BISPECT, NOT FOUND, 0.8MG/ML XPE INF CT FR AMB X 120ML + CP MED, UCI
532900501138412, BISPECT, BISPECT, NOT FOUND, 0.8MG/ML XPE INF CX 50 FR AMB X 120 ML + 50 CP MED - EMB. HOSP, UCI
532900506131416, BISPECT, BISPECT, NOT FOUND, 1.6MG/ML XPE ADULTO CT FR AMB X 120ML + CP MED, UCI
532900505133415, BISPECT, BISPECT, NOT FOUND, 1.6MG/ML XPE ADULTO CX 50 FR AMB X 120ML + 50 CP MED -EMB HOSP, UCI
532900502134410, BISPECT, BISPECT, NOT FOUND, 2MG/ML SOL OR CT 50 FR VD AMB GOT X 50ML - EMB HOSP, UCI
532900503130419, BISPECT, BISPECT, NOT FOUND, 2MG/ML SOL OR CT FR VD AMB GOT X 50ML, UCI
532900601116410, BROMOPAN, BROMOPAN, NOT FOUND, 10 MG CAP C/20, UCI
532900602139414, BROMOPAN, BROMOPAN, NOT FOUND, GOTAS 4 MG/ML FR 20ML, UCI
532900603135412, BROMOPAN, BROMOPAN, NOT FOUND, SOL 1MG/ML FR C/120ML, UCI
532900504137417, BISPECT, BISPECT, NOT FOUND, 0.8MG/ML XPE INF CT FR AMB X 120ML + CP MED, UCI
532900501138412, BISPECT, BISPECT, NOT FOUND, 0.8MG/ML XPE INF CX 50 FR AMB X 120 ML + 50 CP MED - EMB. HOSP, UCI
532900506131416, BISPECT, BISPECT, NOT FOUND, 1.6MG/ML XPE ADULTO CT FR AMB X 120ML + CP MED, UCI
532900505133415, BISPECT, BISPECT, NOT FOUND, 1.6MG/ML XPE ADULTO CX 50 FR AMB X 120ML + 50 CP MED -EMB HOSP, UCI
532900502134410, BISPECT, BISPECT, NOT FOUND, 2MG/ML SOL OR CT 50 FR VD AMB GOT X 50ML - EMB HOSP, UCI
532900503130419, BISPECT, BISPECT, NOT FOUND, 2MG/ML SOL OR CT FR VD AMB GOT X 50ML, UCI
532900601116410, BROMOPAN, BROMOPAN, NOT FOUND, 10 MG CAP C/20, UCI
532900602139414, BROMOPAN, BROMOPAN, NOT FOUND, GOTAS 4 MG/ML FR 20ML, UCI
532900603135412, BROMOPAN, BROMOPAN, NOT FOUND, SOL 1MG/ML FR C/120ML, UCI
532900601116410, BROMOPAN, BROMOPAN, NOT FOUND, 10 MG CAP C/20, UCI
532900602139414, BROMOPAN, BROMOPAN, NOT FOUND, GOTAS 4 MG/ML FR 20ML, UCI
532900603135412, BROMOPAN, BROMOPAN, NOT FOUND, SOL 1MG/ML FR C/120ML, UCI
532900504137417, BISPECT, BISPECT, NOT FOUND, 0.8MG/ML XPE INF CT FR AMB X 120ML + CP MED, UCI
532900501138412, BISPECT, BISPECT, NOT FOUND, 0.8MG/ML XPE INF CX 50 FR AMB X 120 ML + 50 CP MED - EMB. HOSP, UCI
532900506131416, BISPECT, BISPECT, NOT FOUND, 1.6MG/ML XPE ADULTO CT FR AMB X 120ML + CP MED, UCI
532900503130419, BISPECT, BISPECT, NOT FOUND, 2MG/ML SOL OR CT FR VD AMB GOT X 50ML, UCI
532900601116410, BROMOPAN, BROMOPAN, NOT FOUND, 10 MG CAP C/20, UCI
532900602139414, BROMOPAN, BROMOPAN, NOT FOUND, GOTAS 4 MG/ML FR 20ML, UCI
532900603135412, BROMOPAN, BROMOPAN, NOT FOUND, SOL 1MG/ML FR C/120ML, UCI
532900504137417, BISPECT, BISPECT, NOT FOUND, 0.8MG/ML XPE INF CT FR AMB X 120ML + CP MED, UCI
532900501138412, BISPECT, BISPECT, NOT FOUND, 0.8MG/ML XPE INF CX 50 FR AMB X 120 ML + 50 CP MED - EMB. HOSP, UCI
532900506131416, BISPECT, BISPECT, NOT FOUND, 1.6MG/ML XPE ADULTO CT FR AMB X 120ML + CP MED, UCI
532900503130419, BISPECT, BISPECT, NOT FOUND, 2MG/ML SOL OR CT FR VD AMB GOT X 50ML, UCI
