1177200030035; SOLUÇÃO RINGER SIMPLES; SOLUCAO RINGER SIMPLES; NOT FOUND; 1000 ML; EQX
1177200050087; SOLUÇÃO RINGER COM LACTATO; SOLUCAO RINGER LACTATO; NOT FOUND; SOL INJ IV CX 40 FR PLAS TRANS SIST FECH X 250 ML; EQX
1177200050060; SOLUÇÃO RINGER COM LACTATO; SOLUCAO RINGER LACTATO; NOT FOUND; SOL INJ IV CX 48 FR PLAS TRANS SIST FECH X 250 ML; EQX
1177200070010; SOL. CLOR. DE POTÁSSIO; SOL CLOR POTASSIO; NOT FOUND; 10 ML 10%; EQX
1177200070029; SOL. CLOR. DE POTÁSSIO; SOL CLOR POTASSIO; NOT FOUND; 10 ML 15%; EQX
1177200070071; SOLUÇÃO DE CLORETO DE POTASSIO; SOLUCAO CLORETO POTASSIO; NOT FOUND; 191 MG/ML SOL INJ IV CX 200 AMP PE X 10 ML; EQX
1177200070053; SOLUÇÃO DE CLORETO DE POTASSIO; SOLUCAO CLORETO POTASSIO; NOT FOUND; 100 MG/ML SOL INJ IV CX 200 AMP PE X 10 ML; EQX
1177200070061; SOLUÇÃO DE CLORETO DE POTASSIO; SOLUCAO CLORETO POTASSIO; NOT FOUND; 150 MG/ML SOL INJ IV CX 200 AMP PE X 10 ML; EQX
1177200010026; SOL.FIS. CLOR. DE SÓDIO; SOL FIS CLOR SODIO; NOT FOUND; 0.9%10 ML; EQX
1177200010050; SOL.FIS. CLOR. DE SÓDIO; SOL FIS CLOR SODIO; NOT FOUND; 0.9%1000 ML; EQX
1177200010034; SOL.FIS. CLOR. DE SÓDIO; SOL FIS CLOR SODIO; NOT FOUND; 0.9%125 ML; EQX
1177200010042; SOL.FIS. CLOR. DE SÓDIO; SOL FIS CLOR SODIO; NOT FOUND; 0.9% 250 ML; EQX
1177200010014; SOL.FIS. CLOR. DE SÓDIO; SOL FIS CLOR SODIO; NOT FOUND; 0.9% 500 ML; EQX
1177200010069; SOL.FIS. CLOR. DE SÓDIO; SOL FIS CLOR SODIO; NOT FOUND; 10% 10 ML; EQX
1177200010077; SOL.FIS. CLOR. DE SÓDIO; SOL FIS CLOR SODIO; NOT FOUND; 20% 10 ML; EQX
1177200010387; SOLUÇÃO FISIOLÓGICA DE CLORETO DE SÓDIO EQUIPLEX; SOLUCAO FISIOLOGICA CLORETO SODIO EQUIPLEX; NOT FOUND; 9 MG/ML SOL INJ IV CX 70 FR PLAS TRANS PE SIST FECH X 50 ML; EQX
1177200010395; SOLUÇÃO FISIOLÓGICA DE CLORETO DE SÓDIO EQUIPLEX; SOLUCAO FISIOLOGICA CLORETO SODIO EQUIPLEX; NOT FOUND; 9 MG/ML SOL INJ IV CX 70 FR PLAS TRANS PE SIST FECH X 100 ML; EQX
1177200010360; SOLUÇÃO FISIOLÓGICA DE CLORETO DE SÓDIO EQUIPLEX; SOLUCAO FISIOLOGICA CLORETO SODIO EQUIPLEX; NOT FOUND; 9 MG/ML SOL INJ IV CX 48 FR PLAS TRANS PE SIST FECH X 250 ML; EQX
1177200010409; SOLUÇÃO FISIOLÓGICA DE CLORETO DE SÓDIO EQUIPLEX; SOLUCAO FISIOLOGICA CLORETO SODIO EQUIPLEX; NOT FOUND; 9 MG/ML SOL INJ IV CX 40 FR PLAS TRANS PE SIST FECH X 250 ML; EQX
1177200010352; SOLUÇÃO FISIOLÓGICA DE CLORETO DE SÓDIO EQUIPLEX; SOLUCAO FISIOLOGICA CLORETO SODIO EQUIPLEX; NOT FOUND; 9 MG/ML SOL INJ IV CX 24 FR PLAS TRANS PE SIST FECH X 500 ML; EQX
1177200010417; SOLUÇÃO FISIOLÓGICA DE CLORETO DE SÓDIO EQUIPLEX; SOLUCAO FISIOLOGICA CLORETO SODIO EQUIPLEX; NOT FOUND; 9 MG/ML SOL INJ IV CX 20 FR PLAS TRANS PE SIST FECH X 500 ML; EQX
1177200010379; SOLUÇÃO FISIOLÓGICA DE CLORETO DE SÓDIO EQUIPLEX; SOLUCAO FISIOLOGICA CLORETO SODIO EQUIPLEX; NOT FOUND; 9 MG/ML SOL INJ IV CX 12 FR PLAS TRANS PE SIST FECH X 1000 ML; EQX
1177200010107; SOLUCAO FISIOLOGICA DE CLORETO DE SODIO EQUIPLEX; SOLUCAO FISIOLOGICA CLORETO SODIO EQUIPLEX; NOT FOUND; 100 MG/ML SOL INJ IV CX 200 AMP PE X 10 ML; EQX
1177200010123; SOLUCAO FISIOLOGICA DE CLORETO DE SODIO EQUIPLEX; SOLUCAO FISIOLOGICA CLORETO SODIO EQUIPLEX; NOT FOUND; 200 MG/ML SOL INJ IV CX 200 AMP PE X 10 ML; EQX
1177200010093; SOLUCAO FISIOLOGICA DE CLORETO DE SODIO EQUIPLEX; SOLUCAO FISIOLOGICA CLORETO SODIO EQUIPLEX; NOT FOUND; 9 MG/ML SOL INJ IV CX 200 AMP PE X 10 ML; EQX
1177200020161; SOLUÇÃO GLICOFISIOLÓGICA EQUIPLEX; SOLUCAO GLICOFISIOLOGICA EQUIPLEX; NOT FOUND; (9 MG + 50 MG)/ML SOL INJ IV CX 40 FA PLAS TRANS SIST FECH X 250 ML; EQX
1177200020196; SOLUÇÃO GLICOFISIOLÓGICA EQUIPLEX; SOLUCAO GLICOFISIOLOGICA EQUIPLEX; NOT FOUND; (9 MG + 50 MG)/ML SOL INJ IV CX 12 FA PLAS TRANS SIST FECH X 1000 ML ; EQX
1177200020153; SOLUÇÃO GLICOFISIOLÓGICA EQUIPLEX; SOLUCAO GLICOFISIOLOGICA EQUIPLEX; NOT FOUND; (9 MG + 50 MG)/ML SOL INJ IV CX 48 FA PLAS TRANS SIST FECH X 250 ML; EQX
1177200020171; SOLUÇÃO GLICOFISIOLÓGICA EQUIPLEX; SOLUCAO GLICOFISIOLOGICA EQUIPLEX; NOT FOUND; (9 MG + 50 MG)/ML SOL INJ IV CX 24 FA PLAS TRANS SIST FECH X 500 ML; EQX
1177200020188; SOLUÇÃO GLICOFISIOLÓGICA EQUIPLEX; SOLUCAO GLICOFISIOLOGICA EQUIPLEX; NOT FOUND; (9 MG + 50 MG)/ML SOL INJ IV CX 20 FA PLAS TRANS SIST FECH X 500 ML; EQX
1177200020031; SOL. GLICO-FISIOLOGICO; SOL GLICO FISIOLOGICO; NOT FOUND; 1X1 1000 ML; EQX
1177200020021; SOL. GLICO-FISIOLOGICO; SOL GLICO FISIOLOGICO; NOT FOUND; 1X1 250 ML; EQX
1177200020010; SOL. GLICO-FISIOLOGICO; SOL GLICO FISIOLOGICO; NOT FOUND; 1X1 500 ML; EQX
1177200020048; SOL. GLICO-FISIOLOGICO; SOL GLICO FISIOLOGICO; NOT FOUND; 2X1 250 ML; EQX
1177200020056; SOL. GLICO-FISIOLOGICO; SOL GLICO FISIOLOGICO; NOT FOUND; 2X1 500 ML; EQX
1177200020064; SOL. GLICO-FISIOLOGICO; SOL GLICO FISIOLOGICO; NOT FOUND; 3X1 250 ML; EQX
1177200020072; SOL. GLICO-FISIOLOGICO; SOL GLICO FISIOLOGICO; NOT FOUND; 3X1 500 ML; EQX
1177200020080; SOL. GLICO-FISIOLOGICO; SOL GLICO FISIOLOGICO; NOT FOUND; 4X1 250 ML; EQX
1177200020099; SOL. GLICO-FISIOLOGICO; SOL GLICO FISIOLOGICO; NOT FOUND; 4X1 500 ML; EQX
1177200040146; SOLUCAO DE GLICOSE; SOLUCAO GLICOSE; NOT FOUND; 500 MG/ML SOL INJ IV CX 200 AMP PE X 10 ML; EQX
1177200040138; SOLUCAO DE GLICOSE; SOLUCAO GLICOSE; NOT FOUND; 250 MG/ML SOL INJ IV CX 200 AMP PE X 10 ML; EQX
1177200100017; SOLUÇÃO DE GLICERINA; SOLUCAO GLICERINA; NOT FOUND; 12% 250 ML; EQX
1177200100025; SOLUÇÃO DE GLICERINA; SOLUCAO GLICERINA; NOT FOUND; 12% 500 ML; EQX
1177200100017; SOLUÇÃO DE GLICERINA; SOLUCAO GLICERINA; NOT FOUND; 120 MG/ML SOL RET CX 48 FR PE X 250 ML; EQX
1177200100025; SOLUÇÃO DE GLICERINA; SOLUCAO GLICERINA; NOT FOUND; 120 MG/ML SOL RET CX 24 FR PE X 500 ML; EQX
1177200040081; SOLUÇÃO DE GLICOSE; SOLUCAO GLICOSE; NOT FOUND; 10% 1000 ML; EQX
1177200040057; SOLUÇÃO DE GLICOSE; SOLUCAO GLICOSE; NOT FOUND; 10% 125 ML; EQX
1177200040065; SOLUÇÃO DE GLICOSE; SOLUCAO GLICOSE; NOT FOUND; 10% 250 ML; EQX
1177200040073; SOLUÇÃO DE GLICOSE; SOLUCAO GLICOSE; NOT FOUND; 10% 500 ML; EQX
1177200040049; SOLUÇÃO DE GLICOSE; SOLUCAO GLICOSE; NOT FOUND; 5% 1000 ML; EQX
1177200040030; SOLUÇÃO DE GLICOSE; SOLUCAO GLICOSE; NOT FOUND; 5% 125 ML; EQX
1177200040022; SOLUÇÃO DE GLICOSE; SOLUCAO GLICOSE; NOT FOUND; 5% 250 ML; EQX
1177200040013; SOLUÇÃO DE GLICOSE; SOLUCAO GLICOSE; NOT FOUND; 5% 500 ML; EQX
1177200040235; SOLUÇÃO DE GLICOSE; SOLUCAO GLICOSE; NOT FOUND; 50 MG/ML SOL INJ IV CX 12 FR PLAS TRANS SIST FECH X 1000 ML; EQX
1177200040170; SOLUÇÃO DE GLICOSE; SOLUCAO GLICOSE; NOT FOUND; 50 MG/ML SOL INJ IV CX 20 FR PLAS TRANS SIST FECH X 500 ML; EQX
1177200040219; SOLUÇÃO DE GLICOSE; SOLUCAO GLICOSE; NOT FOUND; 50 MG/ML SOL INJ IV CX 24 FR PLAS TRANS SIST FECH X 500 ML; EQX
1177200040189; SOLUÇÃO DE GLICOSE; SOLUCAO GLICOSE; NOT FOUND; 50 MG/ML SOL INJ IV CX 40 FR PLAS TRANS SIST FECH X 250 ML; EQX
1177200040227; SOLUÇÃO DE GLICOSE; SOLUCAO GLICOSE; NOT FOUND; 50 MG/ML SOL INJ IV CX 48 FR PLAS TRANS SIST FECH X 250 ML; EQX
1177200040197; SOLUÇÃO DE GLICOSE; SOLUCAO GLICOSE; NOT FOUND; 50 MG/ML SOL INJ IV CX 70 FR PLAS TRANS SIST FECH X 100 ML; EQX
1177200040200; SOLUÇÃO DE GLICOSE; SOLUCAO GLICOSE; NOT FOUND; 50 MG/ML SOL INJ IV CX 70 FR PLAS TRANS SIST FECH X 50 ML; EQX
1177200040162; SOLUÇÃO DE GLICOSE; SOLUCAO GLICOSE; NOT FOUND; 750 MG/ML SOL INJ IV CX 200 AMP PE X 10 ML; EQX
1177200040111; SOLUÇÃO DE GLICOSE; SOLUCAO GLICOSE; NOT FOUND; 500 MG/ML SOL INJ IV CX 100 AMP PE X 20 ML; EQX
1177200040154; SOLUÇÃO DE GLICOSE; SOLUCAO GLICOSE; NOT FOUND; 500 MG/ML SOL INJ IV CX 200 AMP PE X 20 ML; EQX
SI/NC; SOLUÇÃO GLICOSE; SOLUCAO GLICOSE; NOT FOUND; 10 ML; EQX
1177200040091; SOLUÇÃO GLICOSE; SOLUCAO GLICOSE; NOT FOUND; 50% 10 ML; EQX
SI/NC; SOLUÇÃO GLICOSE; SOLUCAO GLICOSE; NOT FOUND; 10 ML; EQX
1177200040103; SOLUÇÃO GLICOSE; SOLUCAO GLICOSE; NOT FOUND; 50% 10 ML; EQX
SI/NC; SOLUÇÃO GLICOSE; SOLUCAO GLICOSE; NOT FOUND; 20 ML; EQX
1177200040111; SOLUÇÃO GLICOSE; SOLUCAO GLICOSE; NOT FOUND; 50% 20 ML; EQX
SI/NC; SOLUÇÃO GLICOSE; SOLUCAO GLICOSE; NOT FOUND; 10 ML; EQX
1177200040121; SOLUÇÃO GLICOSE; SOLUCAO GLICOSE; NOT FOUND; 750 MG/ML SOL INJ CX 200 AMP POLIET X 10 ML; EQX
1177200080067; SOLUCAO DE MANITOL EQUIPLEX; SOLUCAO MANITOL EQUIPLEX; NOT FOUND; 200 MG/ML SOL INJ IV CX 40 FR PLAS TRANS SIST FECH X 250 ML; EQX
1177200080040; SOLUCAO DE MANITOL EQUIPLEX; SOLUCAO MANITOL EQUIPLEX; NOT FOUND; 200 MG/ML SOL INJ IV CX 20 FR PLAS TRANS SIST FECH X 500 ML  ; EQX
1177200080032; SOLUCAO DE MANITOL EQUIPLEX; SOLUCAO MANITOL EQUIPLEX; NOT FOUND; 200 MG/ML SOL INJ IV CX 24 FR PLAS TRANS SIST FECH X 500 ML ; EQX
1177200080059; SOLUCAO DE MANITOL EQUIPLEX; SOLUCAO MANITOL EQUIPLEX; NOT FOUND; 200 MG/ML SOL INJ IV CX 48 FR PLAS TRANS SIST FECH X 250 ML; EQX
1177200080016; SOLUÇÃO DE MANITOL; SOLUCAO MANITOL; NOT FOUND; 20% 250 ML; EQX
SI/NC; SOLUÇÃO DE MANITOL; SOLUCAO MANITOL; NOT FOUND; 500 ML; EQX
1177200080024; SOLUÇÃO DE MANITOL; SOLUCAO MANITOL; NOT FOUND; 20% 500 ML; EQX
