511514401130411; CLAXAM; CLAXAM; NOT FOUND; 80 MG/ML + 11.4 MG/ML PO SUS OR CX FR VD AMB X 70 ML + DOSADOR ; SDZ
511516701115110; CITRATO DE SILDENAFILA; CITRATO SILDENAFILA; CITRATO SILDENAFILA; 100 MG COM CT BL AL PLAS INC X 4; SDZ
511516702111119; CITRATO DE SILDENAFILA; CITRATO SILDENAFILA; CITRATO SILDENAFILA; 25 MG COM CT BL AL PLAS INC X 4; SDZ
511516706117111; CITRATO DE SILDENAFILA; CITRATO SILDENAFILA; CITRATO SILDENAFILA; 50 MG COM CT BL AL PLAS INC X 1 ; SDZ
511516703118117; CITRATO DE SILDENAFILA; CITRATO SILDENAFILA; CITRATO SILDENAFILA; 50 MG COM CT BL AL PLAS INC X 2; SDZ
511516705110113; CITRATO DE SILDENAFILA; CITRATO SILDENAFILA; CITRATO SILDENAFILA; 50 MG COM CT BL AL PLAS INC X 4; SDZ
511516704114115; CITRATO DE SILDENAFILA; CITRATO SILDENAFILA; CITRATO SILDENAFILA; 50 MG COM CT BL AL PLAS INC X 8; SDZ
511502101110118; CITRATO DE TAMOXIFENO; CITRATO TAMOXIFENO; CITRATO TAMOXIFENO; 10 MG COM REV CT BL AL PLAS BCO OPC X 30; SDZ
511502102117116; CITRATO DE TAMOXIFENO; CITRATO TAMOXIFENO; CITRATO TAMOXIFENO; 20 MG COM REV CT BL AL PLAS BCO OPC X 30; SDZ
511502801112415; COR MIO; COR MIO; NOT FOUND; 200 MG COM CT BL AL PLAS INC X 20; SDZ
511502802119413; COR MIO; COR MIO; NOT FOUND; 200 MG COM CT BL AL PLAS INC X 30; SDZ
511501901113415; CIPROBIOT; CIPROBIOT; NOT FOUND; 250 MG COM REV CT BL AL PLAS INC X 6; SDZ
511501903116411; CIPROBIOT; CIPROBIOT; NOT FOUND; 500 MG COM REV CT BL AL PLAS INC X 6; SDZ
511501902111416; CIPROBIOT; CIPROBIOT; NOT FOUND; 500 MG COM REV CT BL AL PLAS INC X 14; SDZ
511502001116114; CLORIDRATO DE CIPROFLOXACINO; CLORIDRATO CIPROFLOXACINO; NOT FOUND; 250 MG COM REV CT BL AL PLAS INC X 14; SDZ
511502005111117; CLORIDRATO DE CIPROFLOXACINO; CLORIDRATO CIPROFLOXACINO; NOT FOUND; 500 MG COM REV CT BL AL PLAS INC X 10; SDZ
511502003119110; CLORIDRATO DE CIPROFLOXACINO; CLORIDRATO CIPROFLOXACINO; NOT FOUND; 500 MG COM REV CT BL AL PLAS INC X 14; SDZ
511502004115119; CLORIDRATO DE CIPROFLOXACINO; CLORIDRATO CIPROFLOXACINO; NOT FOUND; 500 MG COM REV CT BL AL PLAS INC X 6; SDZ
511517502116115; CLORIDRATO DE DONEPEZILA; CLORIDRATO DONEPEZILA; CLORIDRATO DONEPEZILA; 10 MG COM REV CT BL AL AL X 30; SDZ
511517501111111; CLORIDRATO DE DONEPEZILA; CLORIDRATO DONEPEZILA; CLORIDRATO DONEPEZILA; 5 MG COM REV CT BL AL AL X 30; SDZ
511504103110111; CLORIDRATO DE FLUOXETINA; CLORIDRATO FLUOXETINA; CLORIDRATO FLUOXETINA; 20 MG CAP GEL DURA CT BL AL PLAS INC X 20; SDZ
511504102114113; CLORIDRATO DE FLUOXETINA; CLORIDRATO FLUOXETINA; CLORIDRATO FLUOXETINA; 20 MG CAP GEL DURA CT BL AL PLAS INC X 30; SDZ
511513203114118; CLORIDRATO DE METFORMINA; CLORIDRATO METFORMINA; CLORIDRATO METFORMINA; 1 G COM REV CT BL AL PLAS INC X 30   ; SDZ
511513201111111; CLORIDRATO DE METFORMINA; CLORIDRATO METFORMINA; CLORIDRATO METFORMINA; 500 MG COM REV CT BL AL PLAS INC X 30  ; SDZ
511513202118111; CLORIDRATO DE METFORMINA; CLORIDRATO METFORMINA; CLORIDRATO METFORMINA; 850 MG COM REV CT BL AL PLAS INC X 30   ; SDZ
511502602111117; CLORIDRATO DE RANITIDINA; CLORIDRATO RANITIDINA; CLORIDRATO RANITIDINA; 150 MG COM REV CT BL AL/AL X 20; SDZ
511502603116112; CLORIDRATO DE RANITIDINA; CLORIDRATO RANITIDINA; CLORIDRATO RANITIDINA; 300 MG COM REV CT BL AL/AL X 10; SDZ
511502604112110; CLORIDRATO DE RANITIDINA; CLORIDRATO RANITIDINA; CLORIDRATO RANITIDINA; 300 MG COM REV CT BL AL/AL X 20; SDZ
511514101110111; CLORIDRATO DE SERTRALINA; CLORIDRATO SERTRALINA; CLORIDRATO SERTRALINA; 50 MG COM REV CT BL AL PLAS OPC X 30; SDZ
511502401114119; CLORIDRATO DE SOTALOL; CLORIDRATO SOTALOL; CLORIDRATO SOTALOL; 160 MG COM CT BL AL  PLAS INC X 20 ; SDZ
511509301115110; CLORIDRATO DE TRAMADOL; CLORIDRATO TRAMADOL; CLORIDRATO TRAMADOL; 50 MG CAP GEL DURA CT BL AL PLAS BRANCO OPC X 10; SDZ
511509701113115; CLORIDRATO DE VERAPAMIL; CLORIDRATO VERAPAMIL; CLORIDRATO VERAPAMIL; 120 MG COM REV AP CT BL AL PLAS BRANCO OPC X 20; SDZ
511509702111116; CLORIDRATO DE VERAPAMIL; CLORIDRATO VERAPAMIL; CLORIDRATO VERAPAMIL; 240 MG COM REV RETARD CT BL AL PLAS BRANCO OPC X 30; SDZ
511509703116111; CLORIDRATO DE VERAPAMIL; CLORIDRATO VERAPAMIL; CLORIDRATO VERAPAMIL; 80 MG COM REV CT BL AL PLAS BRANCO OPC X 30; SDZ
511518402115115; CLOXAZOLAM; CLOXAZOLAM; CLOXAZOLAM; 1 MG COM CT BL AL/AL X 30; SDZ
511518403111113; CLOXAZOLAM; CLOXAZOLAM; CLOXAZOLAM; 2 MG COM CT BL AL/AL X 30; SDZ
511518401119117; CLOXAZOLAM; CLOXAZOLAM; CLOXAZOLAM; 4 MG COM CT BL AL/AL X 30; SDZ
511501501115410; CETIHEXAL; CETIHEXAL; NOT FOUND; 10 MG COM REV CT BL AL PLAS INC X 12; SDZ
511501502111419; CETIHEXAL; CETIHEXAL; NOT FOUND; 10 MG COM REV CT BL AL PLAS INC X 6; SDZ
511502201115413; CLARILERG; CLARILERG; NOT FOUND; 10 MG COM CT BL AL PLAS INC X 12; SDZ
