522002101151416, LIBOXAL, LIBOXAL, NOT FOUND, 100 MG PO LIOFILIZADO FR/AMP X 1000 MG, L8B
522001301155417, LIBRACTAM, LIBRACTAM, NOT FOUND, 1 G + 2 G CT FR AMP VD INC, L8B
522001302151415, LIBRACTAM, LIBRACTAM, NOT FOUND, 500 MG + 1000 MG PO INJ CX C/ 1 FR/AMP 1.5 GR, L8B
522000901159415, LIBRATECAM, LIBRATECAM, NOT FOUND, 20 MG/ML SOL INJ FA VD AMB X 7.5 ML, L8B
522002201154417, LIFOLIN, LIFOLIN, NOT FOUND, 50 MG PO LIOFILIZADO CX C/ 1 FR/AMP, L8B
522002301159410, LIFOS, LIFOS, NOT FOUND, 1 GR PO LIOFILIZADO INJ CT FR/AMP VD INC, L8B
522002401153414, LIPLATIN, LIPLATIN, NOT FOUND, 150 MG PO INJ CX C/ 1 FR/AMP, L8B
522002601152411, LITREXATE, LITREXATE, NOT FOUND, 25 MG/ML SOL INJ CX C/ 1 FR/AMP 20 ML, L8B
522002602159411, LITREXATE, LITREXATE, NOT FOUND, 500 MG PO LIOFILIZADO CX C/ 01 FR/AMP, L8B
522002101151416, LIBOXAL, LIBOXAL, NOT FOUND, 100 MG PO LIOFILIZADO FR/AMP X 1000 MG, L8B
522002102156411, LIBOXAL, LIBOXAL, NOT FOUND, 50 MG PO LIOFILIZADO FR/AMP X 500 MG, L8B
522001301155417, LIBRACTAM, LIBRACTAM, NOT FOUND, 1 G + 2 G CT FR AMP VD INC, L8B
522001302151415, LIBRACTAM, LIBRACTAM, NOT FOUND, 500 MG + 1000 MG PO INJ CX C/ 1 FR/AMP 1.5 GR, L8B
522000901159415, LIBRATECAM, LIBRATECAM, NOT FOUND, 20 MG/ML SOL INJ FA VD AMB X 7.5 ML, L8B
522002201154417, LIFOLIN, LIFOLIN, NOT FOUND, 50 MG PO LIOFILIZADO CX C/ 1 FR/AMP, L8B
522002301159410, LIFOS, LIFOS, NOT FOUND, 1 GR PO LIOFILIZADO INJ CT FR/AMP VD INC, L8B
522002401153414, LIPLATIN, LIPLATIN, NOT FOUND, 150 MG PO INJ CX C/ 1 FR/AMP, L8B
522002601152411, LITREXATE, LITREXATE, NOT FOUND, 25 MG/ML SOL INJ CX C/ 1 FR/AMP 20 ML, L8B
522002602159411, LITREXATE, LITREXATE, NOT FOUND, 500 MG PO LIOFILIZADO CX C/ 01 FR/AMP, L8B
522002101151416, LIBOXAL, LIBOXAL, NOT FOUND, 100 MG PO LIOFILIZADO FR/AMP X 1000 MG, L8B
522002102156411, LIBOXAL, LIBOXAL, NOT FOUND, 50 MG PO LIOFILIZADO FR/AMP X 500 MG, L8B
522001301155417, LIBRACTAM, LIBRACTAM, NOT FOUND, 1 G + 2 G CT FR AMP VD INC, L8B
522001302151415, LIBRACTAM, LIBRACTAM, NOT FOUND, 500 MG + 1000 MG PO INJ CX C/ 1 FR/AMP 1.5 GR, L8B
522000901159415, LIBRATECAM, LIBRATECAM, NOT FOUND, 20 MG/ML SOL INJ FA VD AMB X 7.5 ML, L8B
522002201154417, LIFOLIN, LIFOLIN, NOT FOUND, 50 MG PO LIOFILIZADO CX C/ 1 FR/AMP, L8B
522002301159410, LIFOS, LIFOS, NOT FOUND, 1 GR PO LIOFILIZADO INJ CT FR/AMP VD INC, L8B
522002401153414, LIPLATIN, LIPLATIN, NOT FOUND, 150 MG PO INJ CX C/ 1 FR/AMP, L8B
522002601152411, LITREXATE, LITREXATE, NOT FOUND, 25 MG/ML SOL INJ CX C/ 1 FR/AMP 20 ML, L8B
522002602159411, LITREXATE, LITREXATE, NOT FOUND, 500 MG PO LIOFILIZADO CX C/ 01 FR/AMP, L8B
522002101151416, LIBOXAL, LIBOXAL, NOT FOUND, 100 MG PO LIOFILIZADO FR/AMP X 1000 MG, L8B
522002102156411, LIBOXAL, LIBOXAL, NOT FOUND, 50 MG PO LIOFILIZADO FR/AMP X 500 MG, L8B
522001301155417, LIBRACTAM, LIBRACTAM, NOT FOUND, 1 G + 2 G CT FR AMP VD INC, L8B
522001302151415, LIBRACTAM, LIBRACTAM, NOT FOUND, 500 MG + 1000 MG PO INJ CX C/ 1 FR/AMP 1.5 GR, L8B
522000901159415, LIBRATECAM, LIBRATECAM, NOT FOUND, 20 MG/ML SOL INJ FA VD AMB X 7.5 ML, L8B
522002201154417, LIFOLIN, LIFOLIN, NOT FOUND, 50 MG PO LIOFILIZADO CX C/ 1 FR/AMP, L8B
522002301159410, LIFOS, LIFOS, NOT FOUND, 1 GR PO LIOFILIZADO INJ CT FR/AMP VD INC, L8B
522002401153414, LIPLATIN, LIPLATIN, NOT FOUND, 150 MG PO INJ CX C/ 1 FR/AMP, L8B
522002601152411, LITREXATE, LITREXATE, NOT FOUND, 25 MG/ML SOL INJ CX C/ 1 FR/AMP 20 ML, L8B
522002602159411, LITREXATE, LITREXATE, NOT FOUND, 500 MG PO LIOFILIZADO CX C/ 01 FR/AMP, L8B
522002401153414, LIPLATIN, LIPLATIN, NOT FOUND, 150 MG PO INJ CX C/ 1 FR/AMP, L8B
522000901159415, LIBRATECAM, LIBRATECAM, NOT FOUND, 20 MG/ML SOL INJ FA VD AMB X 7.5 ML, L8B
522002201154417, LIFOLIN, LIFOLIN, NOT FOUND, 50 MG PO LIOFILIZADO CX C/ 1 FR/AMP, L8B
522002301159410, LIFOS, LIFOS, NOT FOUND, 1 GR PO LIOFILIZADO INJ CT FR/AMP VD INC, L8B
522002601152411, LITREXATE, LITREXATE, NOT FOUND, 25 MG/ML SOL INJ CX C/ 1 FR/AMP 20 ML, L8B
522002101151416, LIBOXAL, LIBOXAL, NOT FOUND, 100 MG PO LIOFILIZADO FR/AMP X 1000 MG, L8B
522002102156411, LIBOXAL, LIBOXAL, NOT FOUND, 50 MG PO LIOFILIZADO FR/AMP X 500 MG, L8B
522001301155417, LIBRACTAM, LIBRACTAM, NOT FOUND, 1 G + 2 G CT FR AMP VD INC, L8B
522001302151415, LIBRACTAM, LIBRACTAM, NOT FOUND, 500 MG + 1000 MG PO INJ CX C/ 1 FR/AMP 1.5 GR, L8B
522002401153414, LIPLATIN, LIPLATIN, NOT FOUND, 150 MG PO INJ CX C/ 1 FR/AMP, L8B
522000901159415, LIBRATECAM, LIBRATECAM, NOT FOUND, 20 MG/ML SOL INJ FA VD AMB X 7.5 ML, L8B
522002201154417, LIFOLIN, LIFOLIN, NOT FOUND, 50 MG PO LIOFILIZADO CX C/ 1 FR/AMP, L8B
522002301159410, LIFOS, LIFOS, NOT FOUND, 1 GR PO LIOFILIZADO INJ CT FR/AMP VD INC, L8B
522002601152411, LITREXATE, LITREXATE, NOT FOUND, 25 MG/ML SOL INJ CX C/ 1 FR/AMP 20 ML, L8B
522002101151416, LIBOXAL, LIBOXAL, NOT FOUND, 100 MG PO LIOFILIZADO FR/AMP X 1000 MG, L8B
522002102156411, LIBOXAL, LIBOXAL, NOT FOUND, 50 MG PO LIOFILIZADO FR/AMP X 500 MG, L8B
522001301155417, LIBRACTAM, LIBRACTAM, NOT FOUND, 1 G + 2 G CT FR AMP VD INC, L8B
522001302151415, LIBRACTAM, LIBRACTAM, NOT FOUND, 500 MG + 1000 MG PO INJ CX C/ 1 FR/AMP 1.5 GR, L8B
