1256802120044; ESPAFIN COMPOSTO; ESPAFIN COMPOSTO; NOT FOUND; 250 MG + 10 MG COM REV CT BL AL PLAS TRANS X 160 (EMB FRAC); PZ8
1256802080093; ESTOLATO DE ERITROMICINA; ESTOLATO ERITROMICINA; ESTOLATO ERITROMICINA; 500 MG COM CT BL AL PLAS INC X 420 (EMB HOSP); PZ8
1256802080077; ESTOLATO DE ERITROMICINA; ESTOLATO ERITROMICINA; ESTOLATO ERITROMICINA; 500 MG COM CT BL AL PLAS INC X 20; PZ8
1256802080069; ESTOLATO DE ERITROMICINA; ESTOLATO ERITROMICINA; ESTOLATO ERITROMICINA; 500 MG COM CT BL AL PLAS INC X 14; PZ8
1256802080158; ESTOLATO DE ERITROMICINA; ESTOLATO ERITROMICINA; ESTOLATO ERITROMICINA; 500 MG COM CT BL AL PLAS AMB X 560 (EMB HOSP); PZ8
1256802080141; ESTOLATO DE ERITROMICINA; ESTOLATO ERITROMICINA; ESTOLATO ERITROMICINA; 500 MG COM CT BL AL PLAS AMB X 420 (EMB HOSP); PZ8
1256802080131; ESTOLATO DE ERITROMICINA; ESTOLATO ERITROMICINA; ESTOLATO ERITROMICINA; 500 MG COM CT BL AL PLAS AMB X 350 (EMB HOSP); PZ8
1256802080182; ESTOLATO DE ERITROMICINA; ESTOLATO ERITROMICINA; ESTOLATO ERITROMICINA; 500 MG COM CT BL AL PLAS AMB X 280 (EMB FRAC); PZ8
1256802080174; ESTOLATO DE ERITROMICINA; ESTOLATO ERITROMICINA; ESTOLATO ERITROMICINA; 500 MG COM CT BL AL PLAS INC X 280 (EMB FRAC); PZ8
1256802080166; ESTOLATO DE ERITROMICINA; ESTOLATO ERITROMICINA; ESTOLATO ERITROMICINA; 500 MG COM CT BL AL PLAS OPC X 280 (EMB FRAC); PZ8
1256802080220; ESTOLATO DE ERITROMICINA; ESTOLATO ERITROMICINA; ESTOLATO ERITROMICINA; 500 MG COM CT BL AL PLAS TRANS X 80 (EMB FRAC); PZ8
