1256800490030; FREEGAS; FREEGAS; NOT FOUND; 75 MG/ML EMU OR CT FR PLAS OPC GOT X 15ML; PZ8
1256800820091; FOSFATO SÓDICO DE PREDNISOLONA; FOSFATO SODICO PREDNISOLONA; NOT FOUND; 1 MG/ML SOL OR CX 50 FR PLAS OPC X 100 ML + SER DOSAD (EMB HOSP); PZ8
1256800820121; FOSFATO SÓDICO DE PREDNISOLONA; FOSFATO SODICO PREDNISOLONA; NOT FOUND; 1 MG/ML SOL OR CX 50 FR VD AMB X 100 ML + SER DOSAD (EMB HOSP); PZ8
1256802330014; FUMARATO DE CETOTIFENO; FUMARATO CETOTIFENO; FUMARATO CETOTIFENO; 0.2 MG/ML XPE CT FR VD AMB X 120 ML + COP; PZ8
1256802330022; FUMARATO DE CETOTIFENO; FUMARATO CETOTIFENO; FUMARATO CETOTIFENO; 0.2 MG/ML XPE CX 50 FR VD AMB X 120 ML + 50 COP (EMB HOSP); PZ8
1256802330030; FUMARATO DE CETOTIFENO; FUMARATO CETOTIFENO; FUMARATO CETOTIFENO; 0.2 MG/ML XPE CT FR PLAS OPC X 120 ML + COP; PZ8
1256802330049; FUMARATO DE CETOTIFENO; FUMARATO CETOTIFENO; FUMARATO CETOTIFENO; 0.2 MG/ML XPE CX 50 FR PLAS OPC X 120 ML + 50 COP (EMB HOSP); PZ8
1256802330057; FUMARATO DE CETOTIFENO; FUMARATO CETOTIFENO; FUMARATO CETOTIFENO; 0.2 MG/ML XPE CT FR PET AMB X 120 ML + COP; PZ8
1256802330065; FUMARATO DE CETOTIFENO; FUMARATO CETOTIFENO; FUMARATO CETOTIFENO; 0.2 MG/ML XPE CX 50 FR PET AMB X 120 ML + 50 COP (EMB HOSP); PZ8
1256801950019; FUROSEMIDA; FUROSEMIDA; FUROSEMIDA; 40 MG COM CT BL AL PVC OPC X 20 ; PZ8
1256801950027; FUROSEMIDA; FUROSEMIDA; FUROSEMIDA; 40 MG COM CT BL AL PVC OPC X 500 (EMB HOSP); PZ8
