1256800960037; CLOTRIMAZOL + ACETATO DE DEXAMETASONA; CLOTRIMAZOL ACETATO DEXAMETASONA; NOT FOUND; 10 MG/G + 0.4 MG/G CREM DERM CT BG PLAS OPC X 40 G; PZ8
1256801530222; CAPTOPRIL; CAPTOPRIL; CAPTOPRIL; 50 MG COM CT BL AL PLAS TRANS X 200 (EMB FRAC); PZ8
1256801530230; CAPTOPRIL; CAPTOPRIL; CAPTOPRIL; 50 MG COM CT BL AL PLAS TRANS X 280 (EMB FRAC); PZ8
1256801530214; CAPTOPRIL; CAPTOPRIL; CAPTOPRIL; 50 MG COM CT BL AL PLAS TRANS X 160 (EMB FRAC); PZ8
1256801530249; CAPTOPRIL; CAPTOPRIL; CAPTOPRIL; 50 MG COM CT BL AL PLAS TRANS X 400 (EMB FRAC); PZ8
1256801530206; CAPTOPRIL; CAPTOPRIL; CAPTOPRIL; 25 MG COM CT BL AL PLAS TRANS X 400 (EMB FRAC); PZ8
1256801530192; CAPTOPRIL; CAPTOPRIL; CAPTOPRIL; 25 MG COM CT BL AL PLAS TRANS X 280 (EMB FRAC); PZ8
1256801530060; CAPTOPRIL; CAPTOPRIL; CAPTOPRIL; 25 MG COM CT BL AL PLAS INC X 30; PZ8
1256801530087; CAPTOPRIL; CAPTOPRIL; CAPTOPRIL; 25 MG COM CT BL AL PLAS INC X 600 (EMB HOSP); PZ8
1256801530079; CAPTOPRIL; CAPTOPRIL; CAPTOPRIL; 25 MG COM CT BL AL PLAS INC X 150 (EMB HOSP); PZ8
1256801530052; CAPTOPRIL; CAPTOPRIL; CAPTOPRIL; 25 MG COM CT BL AL PLAS INC X 15; PZ8
1256801530044; CAPTOPRIL; CAPTOPRIL; CAPTOPRIL; 12.5 MG COM CT BL AL PLAS INC X 600 (EMB HOSP); PZ8
1256801530028; CAPTOPRIL; CAPTOPRIL; CAPTOPRIL; 12.5 MG COM CT BL AL PLAS INC X 30; PZ8
1256801530036; CAPTOPRIL; CAPTOPRIL; CAPTOPRIL; 12.5 MG COM CT BL AL PLAS INC X 150 (EMB HOSP); PZ8
1256801530011; CAPTOPRIL; CAPTOPRIL; CAPTOPRIL; 12.5 MG COM CT BL AL PLAS INC X 15; PZ8
1256801530095; CAPTOPRIL; CAPTOPRIL; CAPTOPRIL; 50 MG COM CT BL AL PLAS INC X 15; PZ8
1256801530117; CAPTOPRIL; CAPTOPRIL; CAPTOPRIL; 50 MG COM CT BL AL PLAS INC X 150 (EMB HOSP); PZ8
1256801530109; CAPTOPRIL; CAPTOPRIL; CAPTOPRIL; 50 MG COM CT BL AL PLAS INC X 30; PZ8
1256801530125; CAPTOPRIL; CAPTOPRIL; CAPTOPRIL; 50 MG COM CT BL AL PLAS INC X 600 (EMB HOSP); PZ8
1256800340012; CARBOCISTEÍNA; CARBOCISTEINA; CARBOCISTEINA; 20 MG/ML XPE CT FR VD AMB X 100 ML + CP MED; PZ8
1256800340020; CARBOCISTEÍNA; CARBOCISTEINA; CARBOCISTEINA; 20 MG/ML XPE CX 50 FR VD AMB X 80 ML + CP MED (EMB HOSP); PZ8
1256800330017; CARBOCISTEÍNA; CARBOCISTEINA; CARBOCISTEINA; 50MG/ML SOL OR CT FR PLAS OPC GOT X 20ML; PZ8
1256800330025; CARBOCISTEÍNA; CARBOCISTEINA; CARBOCISTEINA; 50 MG/ML SOL OR CX 200 FR PLAS OPC GOT X 20ML (EMBL HOSP); PZ8
1256800340039; CARBOCISTEÍNA; CARBOCISTEINA; CARBOCISTEINA; 50 MG/ML XPE CT FR VD AMB X 100 ML + CP MED; PZ8
1256800340047; CARBOCISTEÍNA; CARBOCISTEINA; CARBOCISTEINA; 50 MG/ML XPE CX 50 FR VD AMB X 80 ML + CP MED (EMB HOSP); PZ8
1256800340055; CARBOCISTEÍNA; CARBOCISTEINA; CARBOCISTEINA; 20 MG/ML XPE CT FR PLAS OPC X 100 ML + CP MED; PZ8
1256800340063; CARBOCISTEÍNA; CARBOCISTEINA; CARBOCISTEINA; 20 MG/ML XPE CX 50 FR PLAS OPC X 80 ML + CP MED (EMB HOSP); PZ8
1256800340071; CARBOCISTEÍNA; CARBOCISTEINA; CARBOCISTEINA; 50 MG/ML XPE CT FR PLAS OPC X 100 ML + CP MED; PZ8
1256800340081; CARBOCISTEÍNA; CARBOCISTEINA; CARBOCISTEINA; 50 MG/ML XPE CX 50 FR PLAS OPC X 80 ML + CP MED (EMB HOSP); PZ8
1256800340101; CARBOCISTEÍNA; CARBOCISTEINA; CARBOCISTEINA; 20 MG/ML XPE CX 50 FR PLAS OPC X 100 ML + 50 CP MED; PZ8
1256800340128; CARBOCISTEÍNA; CARBOCISTEINA; CARBOCISTEINA; 50 MG/ML XPE CX 50 FR PLAS OPC X 100 ML + 50 CP MED; PZ8
1256800340111; CARBOCISTEÍNA; CARBOCISTEINA; CARBOCISTEINA; 50 MG/ML XPE CX 50 FR VD AMB X 100 ML + 50 CP MED; PZ8
1256800340098; CARBOCISTEÍNA; CARBOCISTEINA; CARBOCISTEINA; 20 MG/ML XPE CX 50 FR VD AMB X 100 ML + 50 CP MED; PZ8
1256801230016; CETOCONAZOL; CETOCONAZOL; CETOCONAZOL; 20 MG/G SHAMP CT FR PLAS OPC X 100 ML ; PZ8
1256801230024; CETOCONAZOL; CETOCONAZOL; CETOCONAZOL; 20 MG/G SHAMP CX 50 FR PLAS OPC X 100 ML (EMB HOSP); PZ8
SI/NC; CETOCONAZOL; CETOCONAZOL; CETOCONAZOL; 30G C/1 BN GENERICO; PZ8
1256800550017; CETOCONAZOL; CETOCONAZOL; CETOCONAZOL; 20 MG/G CREM CT BG AL X 15 G; PZ8
1256800550025; CETOCONAZOL; CETOCONAZOL; CETOCONAZOL; 20 MG/G CREM CT BG AL X 30 G; PZ8
1256800550033; CETOCONAZOL; CETOCONAZOL; CETOCONAZOL; 20 MG/G CREM CX 100 BG AL X 30 G (EMB HOSP); PZ8
1256801920012; CETOCONAZOL; CETOCONAZOL; CETOCONAZOL; 200 MG COM CT BL AL PLAS INC X 10 ; PZ8
1256801920020; CETOCONAZOL; CETOCONAZOL; CETOCONAZOL; 200 MG COM CT BL AL PLAS INC X 20; PZ8
1256801920039; CETOCONAZOL; CETOCONAZOL; CETOCONAZOL; 200 MG COM CT BL AL PLAS INC X 30; PZ8
1256801920047; CETOCONAZOL; CETOCONAZOL; CETOCONAZOL; 200 MG COM CT BL AL PLAS INC X 400 (EMB HOSP); PZ8
1256801920055; CETOCONAZOL; CETOCONAZOL; CETOCONAZOL; 200 MG COM CT BL AL PLAS INC X 450 (EMB HOSP); PZ8
1256801920063; CETOCONAZOL; CETOCONAZOL; CETOCONAZOL; 200 MG COM CT BL AL PLAS TRANS X 80 (EMB FRAC); PZ8
1256801210015; CETOCONAZOL + DIPROPIONATO DE BETAMETASONA; CETOCONAZOL DIPROPIONATO BETAMETASONA; NOT FOUND; 20 MG/G + 0.5 MG/G POM DERM CT BG AL X 30 G; PZ8
1256801210031; CETOCONAZOL + DIPROPIONATO DE BETAMETASONA; CETOCONAZOL DIPROPIONATO BETAMETASONA; NOT FOUND; 20 MG/G + 0.5 MG/G POM DERM CT BG PLAS OPC X 30 G; PZ8
1256801210023; CETOCONAZOL + DIPROPIONATO DE BETAMETASONA; CETOCONAZOL DIPROPIONATO BETAMETASONA; NOT FOUND; 20 MG/G + 0.5 MG/G POM DERM CX 100 BG AL X 30 G (EMB HOSP); PZ8
1256801210041; CETOCONAZOL + DIPROPIONATO DE BETAMETASONA; CETOCONAZOL DIPROPIONATO BETAMETASONA; NOT FOUND; 20 MG/G + 0.5 MG/G POM DERM CX 100 BG PLAS OPC X 30 G (EMB HOSP); PZ8
1256801200036; CETOCONAZOL + DIPROPIONATO DE BETAMETASONA; CETOCONAZOL DIPROPIONATO BETAMETASONA; NOT FOUND; 20 MG/G + 0.5 MG/G CREM DERM CT BG AL X 30 G  ; PZ8
1256801200011; CETOCONAZOL + DIPROPIONATO DE BETAMETASONA; CETOCONAZOL DIPROPIONATO BETAMETASONA; NOT FOUND; 20 MG/G + 0.5 MG/G CREM DERM CT BG PLAS OPC X 30 G; PZ8
1256801200044; CETOCONAZOL + DIPROPIONATO DE BETAMETASONA; CETOCONAZOL DIPROPIONATO BETAMETASONA; NOT FOUND; 0.5 MG/G+20 MG/G CRE DERM CX 100 BG AL X 30 G (EMB HOSP); PZ8
1256801200028; CETOCONAZOL + DIPROPIONATO DE BETAMETASONA; CETOCONAZOL DIPROPIONATO BETAMETASONA; NOT FOUND; 20 MG/G + 0.5 MG/G CREM DERM CX 100 BG PLAS OPC X 30 G (EMB HOSP); PZ8
1256801320015; CETOCONAZOL + DIPROPIONATO DE BETAMETASONA + SULFATO DE NEOMICINA; CETOCONAZOL DIPROPIONATO BETAMETASONA SULFATO NEOMICINA; NOT FOUND; 20 MG/ G + 0.5 MG/ G + 2.5 MG/G POM DERM CT BG AL X 30 G ; PZ8
1256801320023; CETOCONAZOL + DIPROPIONATO DE BETAMETASONA + SULFATO DE NEOMICINA; CETOCONAZOL DIPROPIONATO BETAMETASONA SULFATO NEOMICINA; NOT FOUND; 20 MG/ G + 0.5 MG/ G + 2.5 MG/G POM DERM CX 100 BG AL X 30 G (EMB HOSP); PZ8
1256801330010; CETOCONAZOL + DIPROPIONATO DE BETAMETASONA + SULFATO DE NEOMICINA; CETOCONAZOL DIPROPIONATO BETAMETASONA SULFATO NEOMICINA; NOT FOUND; 20 MG/G + 0.5 MG/G + 2.5 MG/G CR DERM CT BG AL X 30 G ; PZ8
1256801330029; CETOCONAZOL + DIPROPIONATO DE BETAMETASONA + SULFATO DE NEOMICINA; CETOCONAZOL DIPROPIONATO BETAMETASONA SULFATO NEOMICINA; NOT FOUND; 20 MG/G + 0.5 MG/G + 2.5 MG/G CR DERM CX 100 BG AL X 30 G (EMB HOSP); PZ8
1256800810019; CICLOPIROX OLAMINA; CICLOPIROX OLAMINA; CICLOPIROX OLAMINA; 10 MG/ML SOL TOP CT 200 FR PLAS X 15 ML (EMB HOSP); PZ8
1256800810027; CICLOPIROX OLAMINA; CICLOPIROX OLAMINA; CICLOPIROX OLAMINA; 10 MG/ML SOL TOP CT FR PLAS X 15 ML; PZ8
1256801580017; CICLOPIROX OLAMINA; CICLOPIROX OLAMINA; CICLOPIROX OLAMINA; 10 MG/G CREM DERM CT BG AL X 20 G; PZ8
1256801860087; CIMETIDINA; CIMETIDINA; CIMETIDINA; 400 MG COM REV CT BL AL PLAS INC X 40; PZ8
1256801860011; CIMETIDINA; CIMETIDINA; CIMETIDINA; 200 MG COM REV CT BL AL PLAS INC X 10 ; PZ8
1256801860028; CIMETIDINA; CIMETIDINA; CIMETIDINA; 200 MG COM REV CT BL AL PLAS INC X 20; PZ8
1256801860052; CIMETIDINA; CIMETIDINA; CIMETIDINA; 200 MG COM REV CT BL AL PLAS INC X 200 (EMB HOSP); PZ8
1256801860036; CIMETIDINA; CIMETIDINA; CIMETIDINA; 200 MG COM REV CT BL AL PLAS INC X 40; PZ8
1256801860044; CIMETIDINA; CIMETIDINA; CIMETIDINA; 200 MG COM REV CT BL AL PLAS INC X 600 (EMB HOSP); PZ8
1256801860060; CIMETIDINA; CIMETIDINA; CIMETIDINA; 400 MG COM REV CT BL AL PLAS INC X 10 ; PZ8
1256801860079; CIMETIDINA; CIMETIDINA; CIMETIDINA; 400 MG COM REV CT BL AL PLAS INC X 20; PZ8
1256801860095; CIMETIDINA; CIMETIDINA; CIMETIDINA; 400 MG COM REV CT BL AL PLAS INC X 200 (EMB HOSP); PZ8
1256801860109; CIMETIDINA; CIMETIDINA; CIMETIDINA; 400 MG COM REV CT BL AL PLAS INC X 600 (EMB HOSP); PZ8
1256802300018; CLONAZEPAM (PORT. 344/98 – LISTA B1); CLONAZEPAM PORT 344 98 LISTA B1; NOT FOUND; 2.5 MG/ML SOL OR CT FR GOT VD AMB X 20 ML; PZ8
1256802300026; CLONAZEPAM (PORT. 344/98 – LISTA B1); CLONAZEPAM PORT 344 98 LISTA B1; NOT FOUND; 2.5 MG/ML SOL OR CX 50 FR GOT VD AMB X 20 ML (EMB HOSP); PZ8
1256802300034; CLONAZEPAM (PORT. 344/98 – LISTA B1); CLONAZEPAM PORT 344 98 LISTA B1; NOT FOUND; 2.5 MG/ML SOL OR CX 100 FR GOT VD AMB X 20 ML (EMB HOSP); PZ8
1256802300042; CLONAZEPAM (PORT. 344/98 – LISTA B1); CLONAZEPAM PORT 344 98 LISTA B1; NOT FOUND; 2.5 MG/ML SOL OR CX 200 FR GOT VD AMB X 20 ML (EMB HOSP); PZ8
SI/NC; CLORIDRATO DE AMBROXOL; CLORIDRATO AMBROXOL; CLORIDRATO AMBROXOL; 7.5MG/ML 50ML GENERICO; PZ8
1256800390011; CLORIDRATO DE AMBROXOL; CLORIDRATO AMBROXOL; CLORIDRATO AMBROXOL; 3 MG/ML XPE CT FR VD AMB X 120 ML + CP MED; PZ8
1256800390036; CLORIDRATO DE AMBROXOL; CLORIDRATO AMBROXOL; CLORIDRATO AMBROXOL; 3 MG/ML XPE CX 50 FR VD AMB X 100 ML C/50 CP MED (EMB HOSP); PZ8
1256800390028; CLORIDRATO DE AMBROXOL; CLORIDRATO AMBROXOL; CLORIDRATO AMBROXOL; 6 MG/ML XPE CT FR VD AMB X 120 ML C/CP MED; PZ8
1256800390044; CLORIDRATO DE AMBROXOL; CLORIDRATO AMBROXOL; CLORIDRATO AMBROXOL; 6 MG/ML XPE CX 50 FR VD AMB X 100 ML + CP MED (EMB HOSP); PZ8
1256800380014; CLORIDRATO DE AMBROXOL; CLORIDRATO AMBROXOL; CLORIDRATO AMBROXOL; 7.5 MG/ML SOL OR CT FR PLAS OPC GOT X 50 ML; PZ8
1256800380022; CLORIDRATO DE AMBROXOL; CLORIDRATO AMBROXOL; CLORIDRATO AMBROXOL; 7.5 MG/ML SOL OR CX 50 FR PLAS OPC GOT X 50 ML (EMB HOSP); PZ8
1256800390060; CLORIDRATO DE AMBROXOL; CLORIDRATO AMBROXOL; CLORIDRATO AMBROXOL; 6 MG/ML XPE CX 50 FR VD AMB X 120 ML C/ 50 CP MED (EMB HOSP); PZ8
1256800390052; CLORIDRATO DE AMBROXOL; CLORIDRATO AMBROXOL; CLORIDRATO AMBROXOL; 3 MG/ML XPE CX 50 FR VD AMB X 120 ML C/ 50 CP MED (EMB HOSP); PZ8
1256800390079; CLORIDRATO DE AMBROXOL; CLORIDRATO AMBROXOL; CLORIDRATO AMBROXOL; 3 MG/ML XPE CT FR PLAS AMB X 120 ML C/ CP MED; PZ8
1256800390087; CLORIDRATO DE AMBROXOL; CLORIDRATO AMBROXOL; CLORIDRATO AMBROXOL; 3 MG/ML XPE CT FR PLAS OPC X 120 ML C/ CP MED; PZ8
1256800390117; CLORIDRATO DE AMBROXOL; CLORIDRATO AMBROXOL; CLORIDRATO AMBROXOL; 3 MG/ML XPE CX 50 FR PLAS AMB X 100 ML C/ CP MED (EMB HOSP); PZ8
1256800390133; CLORIDRATO DE AMBROXOL; CLORIDRATO AMBROXOL; CLORIDRATO AMBROXOL; 3 MG/ML XPE CX 50 FR PLAS AMB X 120 ML C/ CP MED (EMB HOSP); PZ8
1256800390125; CLORIDRATO DE AMBROXOL; CLORIDRATO AMBROXOL; CLORIDRATO AMBROXOL; 3 MG/ML XPE CX 50 FR PLAS OPC X 100 ML C/ CP MED (EMB HOSP); PZ8
1256800390141; CLORIDRATO DE AMBROXOL; CLORIDRATO AMBROXOL; CLORIDRATO AMBROXOL; 3 MG/ML XPE CX 50 FR PLAS OPC X 120 ML C/ CP MED (EMB HOSP); PZ8
1256800390151; CLORIDRATO DE AMBROXOL; CLORIDRATO AMBROXOL; CLORIDRATO AMBROXOL; 6 MG/ML XPE CX 50 FR PLAS AMB X 120 ML + CP MED (EMB HOSP); PZ8
1256800390095; CLORIDRATO DE AMBROXOL; CLORIDRATO AMBROXOL; CLORIDRATO AMBROXOL; 6 MG/ML XPE CT FR PLAS AMB X 120 ML C/CP MED; PZ8
1256800390109; CLORIDRATO DE AMBROXOL; CLORIDRATO AMBROXOL; CLORIDRATO AMBROXOL; 6 MG/ML XPE CT FR PLAS OPC X 120 ML C/CP MED; PZ8
1256800390176; CLORIDRATO DE AMBROXOL; CLORIDRATO AMBROXOL; CLORIDRATO AMBROXOL; 6 MG/ML XPE CX 50 FR PLAS AMB X 100 ML C/CP MED (EMB HOSP); PZ8
1256800390184; CLORIDRATO DE AMBROXOL; CLORIDRATO AMBROXOL; CLORIDRATO AMBROXOL; 6 MG/ML XPE CX 50 FR PLAS OPC X 100 ML C/50 CP MED (EMB HOSP); PZ8
1256800390168; CLORIDRATO DE AMBROXOL; CLORIDRATO AMBROXOL; CLORIDRATO AMBROXOL; 6 MG/ML XPE CX 50 FR PLAS OPC X 120 ML C/50 CP MED (EMB HOSP); PZ8
1256800990017; CLORIDRATO DE BROMEXINA; CLORIDRATO BROMEXINA; CLORIDRATO BROMEXINA; 0.8 MG/ML XPE CT FR VD AMB X 120 ML C/ CP MED X 10 ML; PZ8
1256800990033; CLORIDRATO DE BROMEXINA; CLORIDRATO BROMEXINA; CLORIDRATO BROMEXINA; 0.8 MG/ML XPE CX 50 FR VD AMB X 100 ML C/ CP MED X 10 ML (EMB HOSP); PZ8
1256800990025; CLORIDRATO DE BROMEXINA; CLORIDRATO BROMEXINA; CLORIDRATO BROMEXINA; 0.8 MG/ML XPE CX 50 FR VD AMB X 120 ML C/ CP MED X 10 ML (EMB HOSP); PZ8
1256800990041; CLORIDRATO DE BROMEXINA; CLORIDRATO BROMEXINA; CLORIDRATO BROMEXINA; 1.6 MG/ML XPE CX 50 FR VD AMB X 100 ML C/ CP MED X 10 ML (EMB HOSP); PZ8
1256800990051; CLORIDRATO DE BROMEXINA; CLORIDRATO BROMEXINA; CLORIDRATO BROMEXINA; 1.6 MG/ML XPE CT FR VD AMB X 120 ML C/ CP MED X 10 ML; PZ8
1256800990068; CLORIDRATO DE BROMEXINA; CLORIDRATO BROMEXINA; CLORIDRATO BROMEXINA; 1.6 MG/ML XPE CX 50 FR VD AMB X 120 ML C/ CP MED X 10 ML (EMB HOSP); PZ8
1256801500013; CLORIDRATO DE CIPROFLOXACINO; CLORIDRATO CIPROFLOXACINO; NOT FOUND; 250 MG COM  REV CT BL AL PLAS INC X 6 ; PZ8
1256801500021; CLORIDRATO DE CIPROFLOXACINO; CLORIDRATO CIPROFLOXACINO; NOT FOUND; 250 MG COM  REV CT BL AL PLAS INC X 14; PZ8
1256801500056; CLORIDRATO DE CIPROFLOXACINO; CLORIDRATO CIPROFLOXACINO; NOT FOUND; 250 MG COM REV CT BL AL PLAS INC X 750 (EMB HOSP); PZ8
1256801500031; CLORIDRATO DE CIPROFLOXACINO; CLORIDRATO CIPROFLOXACINO; NOT FOUND; 250 MG COM REV CT BL AL PLAS INC X 30; PZ8
1256801500064; CLORIDRATO DE CIPROFLOXACINO; CLORIDRATO CIPROFLOXACINO; NOT FOUND; 500 MG COM REV CT BL AL PLAS INC X 6; PZ8
1256801500102; CLORIDRATO DE CIPROFLOXACINO; CLORIDRATO CIPROFLOXACINO; NOT FOUND; 500 MG COM REV CT BL AL PLAS INC X 750 (EMB HOSP); PZ8
1256801500048; CLORIDRATO DE CIPROFLOXACINO; CLORIDRATO CIPROFLOXACINO; NOT FOUND; 250 MG COM  REV CT BL AL PLAS INC X 300 (EMB HOSP); PZ8
1256801500099; CLORIDRATO DE CIPROFLOXACINO; CLORIDRATO CIPROFLOXACINO; NOT FOUND; 500 MG COM  REV CT BL AL PLAS INC X 300 (EMB HOSP); PZ8
1256801500072; CLORIDRATO DE CIPROFLOXACINO; CLORIDRATO CIPROFLOXACINO; NOT FOUND; 500 MG COM REV CT BL AL PLAS INC X 14; PZ8
1256801500080; CLORIDRATO DE CIPROFLOXACINO; CLORIDRATO CIPROFLOXACINO; NOT FOUND; 500 MG COM REV CT BL AL PLAS INC X 30; PZ8
1256801500110; CLORIDRATO DE CIPROFLOXACINO; CLORIDRATO CIPROFLOXACINO; NOT FOUND; 500 MG COM  REV CT BL AL PLAS TRANS X 70 (EMB FRAC) ; PZ8
1256801500137; CLORIDRATO DE CIPROFLOXACINO; CLORIDRATO CIPROFLOXACINO; NOT FOUND; 500 MG COM  REV CT BL AL PLAS TRANS X 84 (EMB FRAC) ; PZ8
1256801500129; CLORIDRATO DE CIPROFLOXACINO; CLORIDRATO CIPROFLOXACINO; NOT FOUND; 500 MG COM  REV CT BL AL PLAS TRANS X 140 (EMB FRAC); PZ8
1256801500145; CLORIDRATO DE CIPROFLOXACINO; CLORIDRATO CIPROFLOXACINO; NOT FOUND; 500 MG COM REV CT BL AL PLAS TRANS X 280 (EMB FRAC); PZ8
1256800950023; CLORIDRATO DE CLOBUTINOL; CLORIDRATO CLOBUTINOL; CLORIDRATO CLOBUTINOL; 60 MG/ML SOL OR CX 200 FR PLAS OPC GOT X 20 ML (EMB HOSP); PZ8
1256800950015; CLORIDRATO DE CLOBUTINOL; CLORIDRATO CLOBUTINOL; CLORIDRATO CLOBUTINOL; 60 MG/ML SOL OR CT FR PLAS OPC GOT X 20 ML; PZ8
1256800950023; CLORIDRATO DE CLOBUTINOL; CLORIDRATO CLOBUTINOL; CLORIDRATO CLOBUTINOL; 60 MG/ML SOL OR CT FR PLAS OPC GOT X 20 ML; PZ8
1256800950015; CLORIDRATO DE CLOBUTINOL; CLORIDRATO CLOBUTINOL; CLORIDRATO CLOBUTINOL; 60 MG/ML SOL OR CX 200 FR PLAS OPC GOT X 20 ML (EMB HOSP); PZ8
1256801060013; CLORIDRATO DE CLOBUTINOL; CLORIDRATO CLOBUTINOL; CLORIDRATO CLOBUTINOL; 4 MG/ML XPE CT FR VD AMB X 120 ML + CP MED; PZ8
1256801060021; CLORIDRATO DE CLOBUTINOL; CLORIDRATO CLOBUTINOL; CLORIDRATO CLOBUTINOL; 4 MG/ML XPE CX 50 FR VD AMB X 120 ML + CP MED (EMB. HOSP.); PZ8
1256801060031; CLORIDRATO DE CLOBUTINOL; CLORIDRATO CLOBUTINOL; CLORIDRATO CLOBUTINOL; 4MG/ML XPE CX 50FR VD AMB X 100ML+CP MED (EMB HOSP); PZ8
1256800970024; CLORIDRATO DE CLOBUTINOL + SUCCINATO DE DOXILAMINA; CLORIDRATO CLOBUTINOL SUCCINATO DOXILAMINA; NOT FOUND; 48 MG/ML + 9 MG/ML SOL OR CX 200 FR PLAS OPC X 20 ML (EMB HOSP); PZ8
1256800970016; CLORIDRATO DE CLOBUTINOL + SUCCINATO DE DOXILAMINA; CLORIDRATO CLOBUTINOL SUCCINATO DOXILAMINA; NOT FOUND; 48 MG/ML + 9 MG/ML SOL OR CT FR PLAS OPC X 20 ML; PZ8
1256800980011; CLORIDRATO DE CLOBUTINOL + SUCCINATO DE DOXILAMINA; CLORIDRATO CLOBUTINOL SUCCINATO DOXILAMINA; NOT FOUND; 4 MG/ML + 0.75 MG/ML XPE CT FR VD AMB X 120 ML C/CP MED ; PZ8
1256800980021; CLORIDRATO DE CLOBUTINOL + SUCCINATO DE DOXILAMINA; CLORIDRATO CLOBUTINOL SUCCINATO DOXILAMINA; NOT FOUND; 4 MG/ML + 0.75 MG/ML XPE CX 50 FR VD AMB X 120 ML C/ CP MED (EMB HOSP); PZ8
1256801510086; CLORIDRATO DE METFORMINA; CLORIDRATO METFORMINA; CLORIDRATO METFORMINA; 500 MG COM REV CT BL AL PLAS TRANS X 80 (EMB FRAC); PZ8
1256801510094; CLORIDRATO DE METFORMINA; CLORIDRATO METFORMINA; CLORIDRATO METFORMINA; 500 MG COM REV CT BL AL PLAS TRANS X 120 (EMB FRAC); PZ8
1256801510108; CLORIDRATO DE METFORMINA; CLORIDRATO METFORMINA; CLORIDRATO METFORMINA; 500 MG COM REV CT BL AL PLAS TRANS X 240 (EMB FRAC); PZ8
1256801510116; CLORIDRATO DE METFORMINA; CLORIDRATO METFORMINA; CLORIDRATO METFORMINA; 500 MG COM REV CT BL AL PLAS TRANS X 320 (EMB FRAC); PZ8
1256801510124; CLORIDRATO DE METFORMINA; CLORIDRATO METFORMINA; CLORIDRATO METFORMINA; 850 MG COM REV CT BL AL PLAS TRANS X 80 (EMB FRAC); PZ8
1256801510132; CLORIDRATO DE METFORMINA; CLORIDRATO METFORMINA; CLORIDRATO METFORMINA; 850 MG COM REV CT BL AL PLAS TRANS X 120 (EMB FRAC); PZ8
1256801510140; CLORIDRATO DE METFORMINA; CLORIDRATO METFORMINA; CLORIDRATO METFORMINA; 850 MG COM REV CT BL AL PLAS TRANS X 240 (EMB FRAC); PZ8
1256801510159; CLORIDRATO DE METFORMINA; CLORIDRATO METFORMINA; CLORIDRATO METFORMINA; 850 MG COM REV CT BL AL PLAS TRANS X 320 (EMB FRAC); PZ8
