1256800540054; PRATICILIN; PRATICILIN; NOT FOUND; 250 MG/5ML PO SUS OR CT FR VD AMB X 150ML (EQ A 50 MG/ML APOS REC); PZ8
1256801350021; PRATI-SAL; PRATI SAL; NOT FOUND; 3.5G + 1.5G + 2.9G + 20.0G PO P/ SOL EXTEMPORANEA CT 50 SACH X 27.9G; PZ8
1256801350011; PRATI-SAL; PRATI SAL; NOT FOUND; 3.5G + 1.5G + 2.9G + 20.0G PO P/SOL EXTEMPORANEA CT 4 SACH X 27.9G; PZ8
1256801350038; PRATI-SAL; PRATI SAL; NOT FOUND; 3.5G + 1.5G + 2.9G + 20.0G PO P/ SOL EXTEMPORANEA SC 200 SACH X 27.9G - EMB HOSP; PZ8
ISENTO; PRATI-SAL; PRATI SAL; NOT FOUND; 3.5G + 1.5G + 2.9G + 20.0G PO P/SOL EXTEMPORANEA CT 100 SACH X 28.84G (SABOR FRAMBOESA); PZ8
ISENTO; PRATI-SAL; PRATI SAL; NOT FOUND; 3.5G + 1.5G + 2.9G + 20.0G PO P/SOL EXTEMPORANEA CT 100 SACH X 28.84G (SABOR LARANJA); PZ8
ISENTO; PRATI-SAL; PRATI SAL; NOT FOUND; 3.5G + 1.5G + 2.9G + 20.0G PO P/SOL EXTEMPORANEA CT 200 SACH X 28.84G (SABOR CEREJA); PZ8
ISENTO; PRATI-SAL; PRATI SAL; NOT FOUND; 3.5G + 1.5G + 2.9G + 20.0G PO P/SOL EXTEMPORANEA CT 100 SACH X 27.9G; PZ8
ISENTO; PRATI-SAL; PRATI SAL; NOT FOUND; 3.5G + 1.5G + 2.9G + 20.0G PO P/SOL EXTEMPORANEA CT 200 SACH X 28.84G (SABOR FRAMBOESA); PZ8
ISENTO; PRATI-SAL; PRATI SAL; NOT FOUND; 3.5G + 1.5G + 2.9G + 20.0G PO P/SOL EXTEMPORANEA CT 200 SACH X 28.84G (SABOR LARANJA); PZ8
ISENTO; PRATI-SAL; PRATI SAL; NOT FOUND; 3.5G + 1.5G + 2.9G + 20.0G PO P/SOL EXTEMPORANEA CT 4 SACH X 28.84G (SABOR ABACAXI); PZ8
ISENTO; PRATI-SAL; PRATI SAL; NOT FOUND; 3.5G + 1.5G + 2.9G + 20.0G PO P/SOL EXTEMPORANEA CT 4 SACH X 28.84G (SABOR CEREJA); PZ8
ISENTO; PRATI-SAL; PRATI SAL; NOT FOUND; 3.5G + 1.5G + 2.9G + 20.0G PO P/SOL EXTEMPORANEA CT 4 SACH X 28.84G (SABOR FRAMBOESA); PZ8
ISENTO; PRATI-SAL; PRATI SAL; NOT FOUND; 3.5G + 1.5G + 2.9G + 20.0G PO P/SOL EXTEMPORANEA CT 50 SACH X 28.84G (SABOR ABACAXI); PZ8
ISENTO; PRATI-SAL; PRATI SAL; NOT FOUND; 3.5G + 1.5G + 2.9G + 20.0G PO P/SOL EXTEMPORANEA CT 50 SACH X 28.84G (SABOR CEREJA); PZ8
ISENTO; PRATI-SAL; PRATI SAL; NOT FOUND; 3.5G + 1.5G + 2.9G + 20.0G PO P/SOL EXTEMPORANEA CT 100 SACH X 28.84G (SABOR ABACAXI); PZ8
ISENTO; PRATI-SAL; PRATI SAL; NOT FOUND; 3.5G + 1.5G + 2.9G + 20.0G PO P/SOL EXTEMPORANEA CT 100 SACH X 28.84G (SABOR CEREJA); PZ8
ISENTO; PRATI-SAL; PRATI SAL; NOT FOUND; 3.5G + 1.5G + 2.9G + 20.0G PO P/SOL EXTEMPORANEA CT 200 SACH X 28.84G (SABOR ABACAXI); PZ8
ISENTO; PRATI-SAL; PRATI SAL; NOT FOUND; 3.5G + 1.5G + 2.9G + 20.0G PO P/SOL EXTEMPORANEA CT 4 SACH X 28.84G (SABOR LARANJA); PZ8
ISENTO; PRATI-SAL; PRATI SAL; NOT FOUND; 3.5G + 1.5G + 2.9G + 20.0G PO P/SOL EXTEMPORANEA CT 50 SACH X 28.84G (SABOR FRAMBOESA); PZ8
ISENTO; PRATI-SAL; PRATI SAL; NOT FOUND; 3.5G + 1.5G + 2.9G + 20.0G PO P/SOL EXTEMPORANEA CT 50 SACH X 28.84G (SABOR LARANJA); PZ8
1256801880010; PRATISORIN-H; PRATISORIN H; NOT FOUND; 30 MG/ML SOL NAS CT FR PET AMB SPR X 60 ML ; PZ8
1256801880029; PRATISORIN-H; PRATISORIN H; NOT FOUND; 30 MG/ML SOL NAS CX 50 FR PET AMB SPR X 60 ML; PZ8
1256801900070; PRATSORIN; PRATSORIN; NOT FOUND; 9 MG/ML SOL NAS CT FR PLAS OPC CGT X 30 ML; PZ8
1256801900011; PRATSORIN; PRATSORIN; NOT FOUND; 9 MG/ML SOL NAS CT FR PET AMB CGT X 30 ML; PZ8
1256801900038; PRATSORIN; PRATSORIN; NOT FOUND; 9 MG/ML SOL NAS CT FR PLAS OPC NEB X 30 ML; PZ8
1256801900054; PRATSORIN; PRATSORIN; NOT FOUND; 9 MG/ML SOL NAS CT FR PLAS OPC NEB X 45 ML; PZ8
1256801900021; PRATSORIN; PRATSORIN; NOT FOUND; 9 MG/ML SOL NAS CX 100 FR PET AMB CGT X 30 ML; PZ8
1256801900046; PRATSORIN; PRATSORIN; NOT FOUND; 9 MG/ML SOL NAS CX 100  FR PLAS OPC NEB X 30 ML; PZ8
1256801900062; PRATSORIN; PRATSORIN; NOT FOUND; 9 MG/ML SOL NAS CX 100 FR PLAS OPC NEB X 45 ML; PZ8
1256801730019; PRATIGLÓS; PRATIGLOS; NOT FOUND; 5000 UI/G + 900 UI/G + 150 MG/G POM DERM CX 50 BG AL X 45 G ; PZ8
1256801730027; PRATIGLÓS; PRATIGLOS; NOT FOUND; 5000 UI/G + 900 UI/G + 150 MG/G POM DERM CT BG AL X 45 G; PZ8
1256801730043; PRATIGLÓS; PRATIGLOS; NOT FOUND; 5.000 UI/G + 900 UI/G + 150 MG/G  POM DERM CT BG AL X 135 G; PZ8
1256801730035; PRATIGLÓS; PRATIGLOS; NOT FOUND; 5.000 UI/G + 900 UI/G + 150 MG/G POM DERM CT BG AL X 90 G; PZ8
1256801740014; PRATIGEL; PRATIGEL; NOT FOUND; 0.0444 ML/G + 0.0444 G/G + 0.0200 G/G + 0.2222 ML/G POM DERM CT BG AL X 20; PZ8
1256801380018; PRATIDERM; PRATIDERM; NOT FOUND; 100.000UI/G + 200MG/G POM DERM CT BG AL X 60G ; PZ8
1256801380034; PRATIDERM; PRATIDERM; NOT FOUND; 100.000 UI/G + 200 MG/G POM DERM CX 50 BG AL X 50 G; PZ8
1256801380026; PRATIDERM; PRATIDERM; NOT FOUND; 100.000 UI/G + 200 MG/G POM DERM CX 50 BG AL X 60 G; PZ8
1256801380050; PRATIDERM; PRATIDERM; NOT FOUND; 100.000UI/G + 200MG/G POM DERM CT BG AL X 100G; PZ8
1256800840198; PRATIPRAZOL; PRATIPRAZOL; NOT FOUND; 20 MG CAP DURA MICROG CT  BL AL PLAS TRANS X 60; PZ8
1256800840201; PRATIPRAZOL; PRATIPRAZOL; NOT FOUND; 20 MG CAP DURA MICROG CT  BL AL PLAS TRANS X 90; PZ8
1256800840120; PRATIPRAZOL; PRATIPRAZOL; NOT FOUND; 20 MG CAP GEL DURA MICROG CT BL AL PLAS X 350 (EMB HOSP) ; PZ8
1256800840015; PRATIPRAZOL; PRATIPRAZOL; NOT FOUND; 10 MG CAP GEL DURA MICROG CT BL AL PLAS INC X 30; PZ8
1256800840031; PRATIPRAZOL; PRATIPRAZOL; NOT FOUND; 10 MG CAP GEL DURA MICROG CT FR PLAS OPC X 14; PZ8
1256800840023; PRATIPRAZOL; PRATIPRAZOL; NOT FOUND; 10 MG CAP GEL DURA MICROG CT BL AL PLAS INC X 300 (EMB HOSP); PZ8
1256800840058; PRATIPRAZOL; PRATIPRAZOL; NOT FOUND; 20 MG CAP GEL DURA MICROG CT 30 BL AL PLAS INC X 10 (EMB HOSP); PZ8
1256800840041; PRATIPRAZOL; PRATIPRAZOL; NOT FOUND; 20 MG CAP GEL DURA MICROG CT BL AL PLAS INC X 30; PZ8
1256800840066; PRATIPRAZOL; PRATIPRAZOL; NOT FOUND; 20MG CAP GEL DURA MICROG CT FR PLAS OPC X 7; PZ8
1256800840074; PRATIPRAZOL; PRATIPRAZOL; NOT FOUND; 20MG CAP GEL DURA MICROG CT FR PLAS OPC X 28; PZ8
1256800840090; PRATIPRAZOL; PRATIPRAZOL; NOT FOUND; 40 MG CAP GEL DURA MICROG CT BL AL PLAS INC X 300 (EMB HOSP); PZ8
1256800840082; PRATIPRAZOL; PRATIPRAZOL; NOT FOUND; 40 MG CAP GEL DURA MICROG CT BL AL PLAS INC X 10 ; PZ8
1256800840104; PRATIPRAZOL; PRATIPRAZOL; NOT FOUND; 40MG CAP GEL DURA MICROG CT FR PLAS OPC X 7; PZ8
1256800840112; PRATIPRAZOL; PRATIPRAZOL; NOT FOUND; 20 MG CAP GEL DURA MICROG CT FR PLAS OPC X 14; PZ8
1256800840139; PRATIPRAZOL; PRATIPRAZOL; NOT FOUND; 20 MG CAP GEL DURA MICROG CX 100 FR PLAS OPC X 14 (EMB HOSP); PZ8
1256800840147; PRATIPRAZOL; PRATIPRAZOL; NOT FOUND; 20 MG CAP GEL DURA MICROG CT BL AL PLAS INC X 280; PZ8
1256800840155; PRATIPRAZOL; PRATIPRAZOL; NOT FOUND; 20 MG CAP GEL DURA CT BL AL PLAS INC X 320 (EMB FRAC); PZ8
1256800270014; PARACETAMOL; PARACETAMOL; PARACETAMOL; 200 MG/ML SOL OR CX 200 FR PLAS OPC GOT X 15 ML (EMB HOSP); PZ8
1256800270022; PARACETAMOL; PARACETAMOL; PARACETAMOL; 200MG/ML SOL OR CT FR PLAS OPC GOT X 15ML; PZ8
1256801890016; PARACETAMOL; PARACETAMOL; PARACETAMOL; 500 MG PO P/ SOL OR CT 5 SACH AL PE X 5 G; PZ8
1256801890024; PARACETAMOL; PARACETAMOL; PARACETAMOL; 500 MG PO P/ SOL OR CT 50 SACH AL PE X 5 G (EMB MULT); PZ8
1256800270030; PARACETAMOL; PARACETAMOL; PARACETAMOL; 200 MG/ML SOL OR CX 200 FR PLAS OPC GOT X 10 ML (EMB HOSP); PZ8
1256800500011; PARACETAMOL; PARACETAMOL; PARACETAMOL; 500 MG COM CT BL AL PLAS INC X 20; PZ8
1256800500028; PARACETAMOL; PARACETAMOL; PARACETAMOL; 500 MG COM CT BL AL PLAS INC X 500 (EMB HOSP); PZ8
1256800500036; PARACETAMOL; PARACETAMOL; PARACETAMOL; 750MG COM REV CT 2 BL AL PLAS INC X 12; PZ8
1256800500044; PARACETAMOL; PARACETAMOL; PARACETAMOL; 750 MG COM REV CT 40 BL AL PLAS INC X 12 (EMBL HOSP); PZ8
1256801030017; PARACETAMOL; PARACETAMOL; PARACETAMOL; 750 MG COM CT BL AL PLAS X 200 (EMB HOSP); PZ8
1256800500052; PARACETAMOL; PARACETAMOL; PARACETAMOL; 500 MG COM CT BL AL PLAS INC X 100 (EMB MULTI); PZ8
1256800500060; PARACETAMOL; PARACETAMOL; PARACETAMOL; 750 MG COM REV CT BL AL PLAS INC X 100 (EMB MULT); PZ8
1256800500109; PARACETAMOL; PARACETAMOL; PARACETAMOL; 500 MG COM CT BL AL PLAS INC X 200 (EMB MULT); PZ8
1256800500087; PARACETAMOL; PARACETAMOL; PARACETAMOL; 500 MG COM CT BL AL PLAS INC X 360 (EMB MULT); PZ8
1256800500095; PARACETAMOL; PARACETAMOL; PARACETAMOL; 750 MG COM REV CT BL AL PLAS INC X 240 (EMB MULT); PZ8
1256800500079; PARACETAMOL; PARACETAMOL; PARACETAMOL; 750 MG COM REV CT  BL AL PLAS INC X 300 (EMB MULT)  ; PZ8
1256800500133; PARACETAMOL; PARACETAMOL; PARACETAMOL; 750 MG COM REV CT BL AL PLAS AMB X 100 (EMB MULT); PZ8
1256800500141; PARACETAMOL; PARACETAMOL; PARACETAMOL; 750 MG COM REV CT BL AL PLAS AMB X 240 (EMB MULT); PZ8
1256800500117; PARACETAMOL; PARACETAMOL; PARACETAMOL; 750 MG COM REV CT BL AL PLAS AMB X 24; PZ8
1256800500125; PARACETAMOL; PARACETAMOL; PARACETAMOL; 750 MG COM REV CT BL AL PLAS AMB X 480 (EMB HOSP); PZ8
1256800500151; PARACETAMOL; PARACETAMOL; PARACETAMOL; 750 MG COM REV CT BL AL PLAS AMB X 300 (EMB HOSP); PZ8
1256800500230; PARACETAMOL; PARACETAMOL; PARACETAMOL; 750 MG COM REV CT BL AL PLAS AMB X 440 (EMB FRAC); PZ8
1256800500206; PARACETAMOL; PARACETAMOL; PARACETAMOL; 750 MG COM REV CT BL AL PLAS AMB X 280 (EMB FRAC); PZ8
1256802400012; PERMETRINA; PERMETRINA; PERMETRINA; 10 MG/G LOC CT FR PLAS OPC X 60 ML ; PZ8
1256802400020; PERMETRINA; PERMETRINA; PERMETRINA; 10 MG/G LOC CX 50 FR PLAS OPC X 60 ML (EMB HOSP); PZ8
1256801550010; PIROXICAM; PIROXICAM; PIROXICAM; 20 MG CAP GEL DURA CT BL AL PLAS INC X 15 ; PZ8
1256801550029; PIROXICAM; PIROXICAM; PIROXICAM; 20 MG CAP GEL DURA CT BL AL PLAS INC X 10; PZ8
1256801550037; PIROXICAM; PIROXICAM; PIROXICAM; 20 MG CAP GEL DURA CT BL AL PLAS INC X 300 (EMB HOSP); PZ8
1256801550053; PIROXICAM; PIROXICAM; PIROXICAM; 20 MG CAP GEL DURA CT BL AL PLAS INC X 80 (EMB FRAC); PZ8
1256801600050; PREDNISONA; PREDNISONA; PREDNISONA; 20 MG COM CT BL AL PLAS INC X 20; PZ8
1256801600042; PREDNISONA; PREDNISONA; PREDNISONA; 20 MG COM CT BL AL PLAS INC X 10 ; PZ8
1256801600069; PREDNISONA; PREDNISONA; PREDNISONA; 20 MG COM CT BL AL PLAS INC X 300 (EMB HOSP); PZ8
1256801600077; PREDNISONA; PREDNISONA; PREDNISONA; 20 MG COM CT BL AL PLAS INC X 600 (EMB HOSP); PZ8
1256801600018; PREDNISONA; PREDNISONA; PREDNISONA; 5 MG COM CT BL AL PLAS INC X 20 ; PZ8
1256801600026; PREDNISONA; PREDNISONA; PREDNISONA; 5 MG COM CT BL AL PLAS INC X 300 (EMB HOSP); PZ8
1256801600034; PREDNISONA; PREDNISONA; PREDNISONA; 5 MG COM CT BL AL PLAS INC X 600 (EMB HOSP); PZ8
1256802410042; PROPIONATO DE CLOBETASOL; PROPIONATO CLOBETASOL; PROPIONATO CLOBETASOL; 0.5 MG/G SOL CAP CX 50 FR PLAS OPC GOT X 50 G (EMB HOSP); PZ8
1256802410034; PROPIONATO DE CLOBETASOL; PROPIONATO CLOBETASOL; PROPIONATO CLOBETASOL; 0.5 MG/G SOL CAP CT FR PLAS OPC GOT X 50 G; PZ8
1256801150039; PROPIONATO DE CLOBETASOL; PROPIONATO CLOBETASOL; PROPIONATO CLOBETASOL; 0.5 MG/G CREM DERM CT BG AL X 30 G; PZ8
1256801150047; PROPIONATO DE CLOBETASOL; PROPIONATO CLOBETASOL; PROPIONATO CLOBETASOL; 0.5 MG/G CREM DERM CT BG PLAS OPC X 30 G; PZ8
1256801150020; PROPIONATO DE CLOBETASOL; PROPIONATO CLOBETASOL; PROPIONATO CLOBETASOL; 0.5 MG/G CREM DERM CX 100 BG AL X 30 G (EMB HOSP); PZ8
1256801150012; PROPIONATO DE CLOBETASOL; PROPIONATO CLOBETASOL; PROPIONATO CLOBETASOL; 0.5 MG/G CREM DERM CX 100 BG PLAS OPC X 30 G (EMB HOSP); PZ8
1256801190022; PROPIONATO DE CLOBETASOL; PROPIONATO CLOBETASOL; PROPIONATO CLOBETASOL; 0.5 MG/G POM DERM CT BG AL X 30 G; PZ8
1256801190049; PROPIONATO DE CLOBETASOL; PROPIONATO CLOBETASOL; PROPIONATO CLOBETASOL; 0.5 MG/G POM DERM CT BG PLAS OPC X 30 G; PZ8
1256801190014; PROPIONATO DE CLOBETASOL; PROPIONATO CLOBETASOL; PROPIONATO CLOBETASOL; 0.5 MG/G POM DERM CX 100 BG AL X 30 G (EMB HOSP); PZ8
1256801190030; PROPIONATO DE CLOBETASOL; PROPIONATO CLOBETASOL; PROPIONATO CLOBETASOL; 0.5 MG/G POM DERM CX 100 BG PLAS OPC X 30 G (EMB HOSP); PZ8
