1256801590063; ACEBROFILINA; ACEBROFILINA; ACEBROFILINA; 10 MG/ ML XPE CX 50 FR PLAS AMB X 120 ML + 50 CP MED (EMB HOSP); PZ8
1256801250076; ACETATO DE HIDROCORTISONA; ACETATO HIDROCORTISONA; ACETATO HIDROCORTISONA; 10 MG/G CREM DERM CX 100 BG AL X 15 G (EMB HOSP); PZ8
1256801250033; ACETATO DE HIDROCORTISONA; ACETATO HIDROCORTISONA; ACETATO HIDROCORTISONA; 10 MG/G CREM DERM CX 100 BG AL X 30 G (EMB HOSP); PZ8
1256801250084; ACETATO DE HIDROCORTISONA; ACETATO HIDROCORTISONA; ACETATO HIDROCORTISONA; 10 MG/G CREM DERM CX 100 BG PLAS OPC X 15 G (EMB HOSP); PZ8
1256801250041; ACETATO DE HIDROCORTISONA; ACETATO HIDROCORTISONA; ACETATO HIDROCORTISONA; 10 MG/G CREM DERM CX 100 BG PLAS OPC X 30 G (EMB HOSP); PZ8
1256801000010; ACETILCISTEÍNA; ACETILCISTEINA; ACETILCISTEINA; 20 MG/ML XPE 50 FR VD AMB X 80 ML + 50 CP MED (EMB HOSP); PZ8
1256801000029; ACETILCISTEÍNA; ACETILCISTEINA; ACETILCISTEINA; 20.0 MG/ML XPE CT FR VD AMB X 100ML + COPO MED; PZ8
1256801000037; ACETILCISTEÍNA; ACETILCISTEINA; ACETILCISTEINA; 20.0 MG/ML XPE CT FR VD AMB X 150ML + COPO MED; PZ8
1256801270018; ACETILCISTEÍNA; ACETILCISTEINA; ACETILCISTEINA; 40 MG/ G GRAN CT C/ 16 ENV X 5 G; PZ8
1256801270026; ACETILCISTEÍNA; ACETILCISTEINA; ACETILCISTEINA; 40 MG/ G GRAN CT C/ 200 ENV X 5 G (EMB MULT); PZ8
1256801270034; ACETILCISTEÍNA; ACETILCISTEINA; ACETILCISTEINA; 40 MG/ G GRAN SACO C/ 1000 ENV X 5 G (EMB HOSP); PZ8
1256801270050; ACETILCISTEÍNA; ACETILCISTEINA; ACETILCISTEINA; 20 MG/ G GRAN CT C/ 200 ENV X 5 G (EMB MULT); PZ8
1256801270069; ACETILCISTEÍNA; ACETILCISTEINA; ACETILCISTEINA; 20 MG/ G GRAN SAC C/ 1000 ENV X 5 G (EMB HOSP); PZ8
1256801270093; ACETILCISTEÍNA; ACETILCISTEINA; ACETILCISTEINA; 120 MG/G GRAN CT C/ 1000 ENV X 5 G (EMB HOSP); PZ8
1256801270085; ACETILCISTEÍNA; ACETILCISTEINA; ACETILCISTEINA; 120 MG/G GRAN CT C/ 200 ENV X 5 G (EMB MULT); PZ8
1256801270077; ACETILCISTEÍNA; ACETILCISTEINA; ACETILCISTEINA; 120 MG/G GRAN CT C/ 16 ENV X 5 G; PZ8
1256801000045; ACETILCISTEÍNA; ACETILCISTEINA; ACETILCISTEINA; 40 MG/ML XPE CT FR VD AMB X 100 ML + CP MED; PZ8
1256801000053; ACETILCISTEÍNA; ACETILCISTEINA; ACETILCISTEINA; 40 MG/ML XPE CT FR VD AMB X 120 ML + CP MED; PZ8
1256801000061; ACETILCISTEÍNA; ACETILCISTEINA; ACETILCISTEINA; 40 MG/ML XPE CT FR VD AMB X 150 ML + CP MED; PZ8
1256801000071; ACETILCISTEÍNA; ACETILCISTEINA; ACETILCISTEINA; 40 MG/ML XPE CX 50 FR VD AMB X 100 ML + 50 CP MED (EMB HOSP); PZ8
1256801270085; ACETILCISTEÍNA; ACETILCISTEINA; ACETILCISTEINA; 120 MG/G GRAN CT C/ 200 ENV X 5 G (EMB MULT); PZ8
1256801270042; ACETILCISTEÍNA; ACETILCISTEINA; ACETILCISTEINA; 20 MG/ G GRAN CT C/ 16 ENV X 5 G; PZ8
1256801110029; ACICLOVIR; ACICLOVIR; ACICLOVIR; 50MG/G CREM DERM CX 100 BG AL X 10 G (EMB HOSP); PZ8
1256801110010; ACICLOVIR; ACICLOVIR; ACICLOVIR; 50MG/G CREM DERM CT BG AL X 10 G; PZ8
1256801630014; ACICLOVIR; ACICLOVIR; ACICLOVIR; 200 MG COM CT BL AL PLAS INC X 10; PZ8
1256801630030; ACICLOVIR; ACICLOVIR; ACICLOVIR; 200 MG COM CT BL AL PLAS INC X 150 (EMB HOSP); PZ8
1256801630022; ACICLOVIR; ACICLOVIR; ACICLOVIR; 200 MG COM CT BL AL PLAS INC X 30; PZ8
1256801630049; ACICLOVIR; ACICLOVIR; ACICLOVIR; 200 MG COM CT BL AL PLAS INC X 450 (EMB HOSP); PZ8
1256801630057; ACICLOVIR; ACICLOVIR; ACICLOVIR; 200 MG COM CT BL AL PLAS INC X 280 (EMB FRAC) ; PZ8
1256800290015; ALBENDAZOL; ALBENDAZOL; ALBENDAZOL; 40 MG/ML SUS OR CT FR VD AMB X 10ML; PZ8
1256800290023; ALBENDAZOL; ALBENDAZOL; ALBENDAZOL; 40 MG/ML SUS OR CX 200 FR VD AMB X 10 ML (EMB HOSP); PZ8
1256800290031; ALBENDAZOL; ALBENDAZOL; ALBENDAZOL; 40 MG/ML SUS OR CT FR PLAS OPC X 10 ML; PZ8
1256800290041; ALBENDAZOL; ALBENDAZOL; ALBENDAZOL; 40 MG/ML SUS OR CX 200 FR PLAS OPC X 10 ML (EMB HOSP); PZ8
1256800520010; ALBENDAZOL; ALBENDAZOL; ALBENDAZOL; 400 MG COM MAST CT BL AL PLAS INC X 1; PZ8
1256800520029; ALBENDAZOL; ALBENDAZOL; ALBENDAZOL; 400 MG COM MAST CT BL AL PLAS INC X 100 (EMB FRAC); PZ8
1256800520037; ALBENDAZOL; ALBENDAZOL; ALBENDAZOL; 400 MG COM MAST CT BL AL PLAS INC X 80 (EMB HOSP); PZ8
1256800520029; ALBENDAZOL; ALBENDAZOL; ALBENDAZOL; 400 MG COM MAST CT BL AL PLAS INC X 100 (EMB FRAC); PZ8
1256801910076; ALOPURINOL; ALOPURINOL; ALOPURINOL; 100 MG COM CT BL AL PLAS TRANS X 80 (EMB FRAC); PZ8
1256801910114; ALOPURINOL; ALOPURINOL; ALOPURINOL; 300 MG COM CT BL AL PLAS TRANS X 80 (EMB FRAC); PZ8
1256801910017; ALOPURINOL; ALOPURINOL; ALOPURINOL; 100 MG COM CT BL AL PLAS INC X 30 ; PZ8
1256801910025; ALOPURINOL; ALOPURINOL; ALOPURINOL; 100 MG COM CT BL AL PLAS INC X 300 (EMB HOSP); PZ8
1256801910033; ALOPURINOL; ALOPURINOL; ALOPURINOL; 100 MG COM CT BL AL PLAS INC X 600 (EMB HOSP); PZ8
1256801910051; ALOPURINOL; ALOPURINOL; ALOPURINOL; 300 MG COM CT BL AL PLAS INC X 200 (EMB HOSP); PZ8
1256801910041; ALOPURINOL; ALOPURINOL; ALOPURINOL; 300 MG COM CT BL AL PLAS INC X 30 ; PZ8
1256801910068; ALOPURINOL; ALOPURINOL; ALOPURINOL; 300 MG COM CT BL AL PLAS INC X 500 (EMB HOSP); PZ8
1256801910084; ALOPURINOL; ALOPURINOL; ALOPURINOL; 100 MG COM CT BL AL PLAS TRANS X 120 (EMB FRAC); PZ8
1256801910122; ALOPURINOL; ALOPURINOL; ALOPURINOL; 300 MG COM CT BL AL PLAS TRANS X 120 (EMB FRAC); PZ8
1256801560113; AMOXICILINA; AMOXICILINA; AMOXICILINA; 100 MG/ML PO P/ SUSP OR CT FR VD AMB X 150 ML + CP MED; PZ8
1256801560075; AMOXICILINA; AMOXICILINA; AMOXICILINA; 50 MG/ML PO P/ SUSP OR CT FR PLAS AMB X 150 ML + CP MED; PZ8
1256801560091; AMOXICILINA; AMOXICILINA; AMOXICILINA; 100 MG/ML PO P/ SUSP OR CT FR PLAS AMB X 150 ML + CP MED; PZ8
1256801560040; AMOXICILINA; AMOXICILINA; AMOXICILINA; 50 MG/ML PO P/ SUSP OR CX 50 FR VD AMB X 150 ML + 50 CP MED (EMB HOSP); PZ8
1256801560121; AMOXICILINA; AMOXICILINA; AMOXICILINA; 100 MG/ML PO P/ SUSP OR CX 50 FR VD AMB X 150 ML + 50 CP MED (EMB HOSP); PZ8
1256801560105; AMOXICILINA; AMOXICILINA; AMOXICILINA; 100 MG/ML PO P/ SUSP OR CX 50 FR PLAS AMB X 150 ML + 50 CP MED (EMB HOSP); PZ8
1256801560059; AMOXICILINA; AMOXICILINA; AMOXICILINA; 50 MG/ML PO P/ SUSP OR CT FR PLAS AMB X 60 ML + CP MED; PZ8
1256801560032; AMOXICILINA; AMOXICILINA; AMOXICILINA; 50 MG/ML PO P/ SUSP OR CT FR VD AMB X 150 ML + CP MED; PZ8
1256801560016; AMOXICILINA; AMOXICILINA; AMOXICILINA; 50 MG/ML PO P/ SUSP OR CT FR VD AMB X 60 ML + CP MED; PZ8
1256801560083; AMOXICILINA; AMOXICILINA; AMOXICILINA; 50 MG/ML PO P/ SUSP OR CX 50 FR PLAS AMB X 150 ML + 50 CP MED ( EMB HOSP); PZ8
1256801560067; AMOXICILINA; AMOXICILINA; AMOXICILINA; 50 MG/ML PO P/ SUSP OR CX 50 FR PLAS AMB X 60 ML + 50 CP MED (EMB HOSP); PZ8
1256801560024; AMOXICILINA; AMOXICILINA; AMOXICILINA; 50 MG/ML PO P/ SUSP OR CX 50 FR VD AMB X 60 ML + 50 CP MED (EMB HOSP); PZ8
1256801470017; AMOXICILINA; AMOXICILINA; AMOXICILINA; 500 MG CAP GEL DURA CT BL AL PLAS INC X 12 ; PZ8
1256801470033; AMOXICILINA; AMOXICILINA; AMOXICILINA; 500 MG CAP GEL DURA CT BL AL PLAS INC X 120 (EMB HOSP); PZ8
1256801470025; AMOXICILINA; AMOXICILINA; AMOXICILINA; 500 MG CAP GEL DURA CT BL AL PLAS INC X 21; PZ8
1256801470041; AMOXICILINA; AMOXICILINA; AMOXICILINA; 500 MG CAP GEL DURA CT BL AL PLAS INC X 210 (EMB HOSP); PZ8
1256801470051; AMOXICILINA; AMOXICILINA; AMOXICILINA; 500 MG CAP GEL DURA CT BL AL PLAS INC X 480 (EMB HOSP); PZ8
1256801470068; AMOXICILINA; AMOXICILINA; AMOXICILINA; 500 MG CAP GEL DURA CT BL AL PLAS INC X 840 (EMB HOSP); PZ8
1256801470076; AMOXICILINA; AMOXICILINA; AMOXICILINA; 500 MG CAP GEL DURA CT BL AL PLAS INC X 280 (EMB FRAC); PZ8
1256801440126; AMPICILINA; AMPICILINA; AMPICILINA; 50 MG/ML SUS OR CX 50 FR PLAS OPC X 150 ML + 50 CP MED (EMB HOSP); PZ8
1256801440096; AMPICILINA; AMPICILINA; AMPICILINA; 50 MG/ ML SUS OR CT FR PLAS OPC X 60 ML + CP MED ; PZ8
1256801440101; AMPICILINA; AMPICILINA; AMPICILINA; 50 MG/ ML SUS OR CX 50 FR PLAS OPC X 60 ML + 50 CP MED (EMB HOSP); PZ8
1256801440118; AMPICILINA; AMPICILINA; AMPICILINA; 50 MG/ ML SUS OR CT FR PLAS OPC X 150 ML + CP MED 11; PZ8
1256801440029; AMPICILINA; AMPICILINA; AMPICILINA; 50 MG/ ML SUS OR CX 50 FR VD AMB X 60 ML + CP MED (EMB HOSP); PZ8
1256801440053; AMPICILINA; AMPICILINA; AMPICILINA; 50 MG/ ML SUS OR CT FR PLAS AMB X 60 ML + CP MED; PZ8
1256801440010; AMPICILINA; AMPICILINA; AMPICILINA; 50 MG/ ML SUS OR CT FR VD AMB X 60 ML + CP MED; PZ8
1256801440088; AMPICILINA; AMPICILINA; AMPICILINA; 50 MG/ ML SUS OR CX 50 FR PLAS AMB X 150 ML + CP MED (EMB HOSP); PZ8
1256801440037; AMPICILINA; AMPICILINA; AMPICILINA; 50 MG/ ML SUS OR CT FR VD AMB X 150 ML +CP MED; PZ8
1256801440061; AMPICILINA; AMPICILINA; AMPICILINA; 50 MG/ ML SUS OR CX 50 FR PLAS AMB X 60 ML + CP MED (EMB HOSP); PZ8
1256801440045; AMPICILINA; AMPICILINA; AMPICILINA; 50 MG/ ML SUS OR CX 50 FR VD AMB X 150 ML + CP MED (EMB HOSP); PZ8
1256801440071; AMPICILINA; AMPICILINA; AMPICILINA; 50 MG/ ML SUS OR CT FR PLAS AMB X 150 ML + CP MED; PZ8
1256802010079; AMPICILINA; AMPICILINA; AMPICILINA; 500 MG CAP GEL DURA CT BL AL PLAS TRANS X 70 (EMB FRAC); PZ8
1256802010087; AMPICILINA; AMPICILINA; AMPICILINA; 500 MG CAP GEL DURA CT BL AL PLAS TRANS X 140 (EMB FRAC); PZ8
1256802010095; AMPICILINA; AMPICILINA; AMPICILINA; 500 MG CAP GEL DURA CT BL AL PLAS TRANS X 280 (EMB FRAC); PZ8
1256802010109; AMPICILINA; AMPICILINA; AMPICILINA; 500 MG CAP GEL DURA CT BL AL PLAS TRANS X 350 (EMB FRAC); PZ8
1256802010011; AMPICILINA; AMPICILINA; AMPICILINA; 500 MG CAP GEL DURA CT BL AL PLAS INC X 12; PZ8
1256802010044; AMPICILINA; AMPICILINA; AMPICILINA; 500 MG CAP GEL DURA CT BL AL PLAS INC X 120 (EMB HOSP); PZ8
1256802010028; AMPICILINA; AMPICILINA; AMPICILINA; 500 MG CAP GEL DURA CT BL AL PLAS INC X 21; PZ8
1256802010036; AMPICILINA; AMPICILINA; AMPICILINA; 500 MG CAP GEL DURA CT BL AL PLAS INC X 210 (EMB HOSP); PZ8
1256802010060; AMPICILINA; AMPICILINA; AMPICILINA; 500 MG CAP GEL DURA CT BL AL PLAS INC X 480 (EMB HOSP); PZ8
1256802010052; AMPICILINA; AMPICILINA; AMPICILINA; 500 MG CAP GEL DURA CT BL AL PLAS INC X 840 (EMB HOSP); PZ8
1256801460135; ATENOLOL; ATENOLOL; ATENOLOL; 25 MG COM CT BL AL PLAS TRANS X 160 (EMB FRAC); PZ8
1256801460143; ATENOLOL; ATENOLOL; ATENOLOL; 25 MG COM CT BL AL PLAS TRANS X 200 (EMB FRAC); PZ8
1256801460151; ATENOLOL; ATENOLOL; ATENOLOL; 25 MG COM CT BL AL PLAS TRANS X 280 (EMB FRAC); PZ8
1256801460161; ATENOLOL; ATENOLOL; ATENOLOL; 25 MG COM CT BL AL PLAS TRANS X 400 (EMB FRAC); PZ8
1256801460178; ATENOLOL; ATENOLOL; ATENOLOL; 50 MG COM CT BL AL PLAS TRANS X 160 (EMB FRAC); PZ8
1256801460186; ATENOLOL; ATENOLOL; ATENOLOL; 50 MG COM CT BL AL PLAS TRANS X 200 (EMB FRAC); PZ8
1256801460194; ATENOLOL; ATENOLOL; ATENOLOL; 50 MG COM CT BL AL PLAS TRANS X 280 (EMB FRAC); PZ8
1256801460208; ATENOLOL; ATENOLOL; ATENOLOL; 50 MG COM CT BL AL PLAS TRANS X 400 (EMB FRAC); PZ8
1256801460216; ATENOLOL; ATENOLOL; ATENOLOL; 100 MG COM CT BL AL PLAS TRANS X 160 (EMB FRAC); PZ8
1256801460224; ATENOLOL; ATENOLOL; ATENOLOL; 100 MG COM CT BL AL PLAS TRANS X 200 (EMB FRAC); PZ8
1256801460232; ATENOLOL; ATENOLOL; ATENOLOL; 100 MG COM CT BL AL PLAS TRANS X 280 (EMB FRAC); PZ8
1256801460240; ATENOLOL; ATENOLOL; ATENOLOL; 100 MG COM CT BL AL PLAS TRANS X 400 (EMB FRAC); PZ8
1256801460062; ATENOLOL; ATENOLOL; ATENOLOL; 50 MG COM CT BL AL PLAS INC X 300 (EMB HOSP); PZ8
1256801460062; ATENOLOL; ATENOLOL; ATENOLOL; 50 MG COM CT BL AL PLAS INC X 300 (EMB HOSP); PZ8
1256801460046; ATENOLOL; ATENOLOL; ATENOLOL; 25 MG COM CT BL AL PLAS INC X 800 (EMB HOSP); PZ8
1256801460054; ATENOLOL; ATENOLOL; ATENOLOL; 50 MG COM CT BL AL PLAS INC X 30   ; PZ8
1256801460070; ATENOLOL; ATENOLOL; ATENOLOL; 50 MG COM CT BL AL PLAS INC X 600 (EMB HOSP); PZ8
1256801460127; ATENOLOL; ATENOLOL; ATENOLOL; 100 MG COM CT BL AL PLAS INC X 800 (EMB HOSP); PZ8
1256801460119; ATENOLOL; ATENOLOL; ATENOLOL; 100 MG COM CT BL AL PLAS INC X 600 (EMB HOSP); PZ8
1256801460089; ATENOLOL; ATENOLOL; ATENOLOL; 50 MG COM CT BL AL PLAS INC X 800 (EMB HOSP); PZ8
1256801460097; ATENOLOL; ATENOLOL; ATENOLOL; 100 MG COM CT BL AL PLAS INC X 30  ; PZ8
1256801460038; ATENOLOL; ATENOLOL; ATENOLOL; 25 MG COM CT BL AL PLAS INC X 600 (EMB HOSP); PZ8
1256801460021; ATENOLOL; ATENOLOL; ATENOLOL; 25 MG COM CT BL AL PLAS INC X 300 (EMB HOSP); PZ8
1256801460011; ATENOLOL; ATENOLOL; ATENOLOL; 25 MG COM CT BL AL PLAS INC X 30  ; PZ8
1256801460100; ATENOLOL; ATENOLOL; ATENOLOL; 100 MG COM CT BL AL PLAS INC X 300 (EMB HOSP); PZ8
1256801830129; AZITROMICINA; AZITROMICINA; AZITROMICINA; 500 MG COM REV CT BL AL PLAS TRANS X 5; PZ8
1256801870058; AZITROMICINA DIIDRATADA; AZITROMICINA DIIDRATADA; NOT FOUND; 1 G COM REV CT BL AL PLAS LEIT X 150 (EMB FRAC); PZ8
1256801850057; AZITROMICINA; AZITROMICINA; AZITROMICINA; 40 MG/ML PO SUS OR CT FR PLAS OPC X 22.5 ML + DIL FR PLAS OPC X 13.8 ML + SER DOSAD; PZ8
1256801850073; AZITROMICINA; AZITROMICINA; AZITROMICINA; 40 MG/ML PO SUS OR CT FR PLAS OPC X 15 ML + DIL FR PLAS OPC X 9.2 ML + SER DOSAD; PZ8
1256801850065; AZITROMICINA; AZITROMICINA; AZITROMICINA; 40 MG/ML PO SUS OR CX 50 FR PLAS OPC X 22.5 ML + 50 DIL FR PLAS OPC X 13.8 ML + 50 SER DOSAD (EMB HOSP); PZ8
1256801850081; AZITROMICINA; AZITROMICINA; AZITROMICINA; 40 MG/ML PO SUS OR CX 50 FR PLAS OPC X 15 ML + 50 DIL FR PLAS OPC X 9.2 ML + 50 SER DOSAD (EMB HOSP); PZ8
1256801850030; AZITROMICINA; AZITROMICINA; AZITROMICINA; 40 MG/ML PO SUS OR CT FR PLAS OPC X 15 ML + DIL FR PLAS OPC X 8 ML + SER DOSAD ; PZ8
1256801850014; AZITROMICINA; AZITROMICINA; AZITROMICINA; 40 MG/ML PO SUS OR CT FR PLAS OPC X 22.5 ML + DIL FR PLAS OPC X 12 ML + SER DOSAD; PZ8
1256801850022; AZITROMICINA; AZITROMICINA; AZITROMICINA; 40 MG/ML PO SUS OR CX 50 FR PLAS OPC X 22.5 ML + 50 DIL FR PLAS OPC X 12 ML + 50 SER DOSAD (EMB HOSP); PZ8
1256801850049; AZITROMICINA; AZITROMICINA; AZITROMICINA; 40 MG/ML PO SUS OR CX 50 FR PLAS OPC X 15 ML +  50 DIL FR PLAS OPC X 8 ML + 50 SER DOSAD (EMB HOSP); PZ8
1256801830013; AZITROMICINA; AZITROMICINA; AZITROMICINA; 500 MG COM REV CT BL AL PLAS INC X 2; PZ8
1256801830021; AZITROMICINA; AZITROMICINA; AZITROMICINA; 500 MG COM REV CT BL AL PLAS INC X 3; PZ8
1256801830056; AZITROMICINA; AZITROMICINA; AZITROMICINA; 500 MG COM REV CT BL AL PLAS INC X 300 (EMB HOSP); PZ8
1256801830064; AZITROMICINA; AZITROMICINA; AZITROMICINA; 500 MG COM REV CT BL AL PLAS INC X 450 (EMB HOSP); PZ8
1256801830031; AZITROMICINA; AZITROMICINA; AZITROMICINA; 500 MG COM REV CT BL AL PLAS INC X 80 (EMB HOSP); PZ8
1256801830048; AZITROMICINA; AZITROMICINA; AZITROMICINA; 500 MG COM REV CT BL AL PLAS INC X 120 (EMB HOSP); PZ8
1256801870015; AZITROMICINA; AZITROMICINA; AZITROMICINA; 1 G COM REV CT BL AL PLAS LEIT X 1; PZ8
1256801870058; AZITROMICINA; AZITROMICINA; AZITROMICINA; 1 G COM REV CT BL AL PLAS LEIT X 150 (EMB HOSP); PZ8
1256801870023; AZITROMICINA; AZITROMICINA; AZITROMICINA; 1 G COM REV CT BL AL PLAS LEIT X 2; PZ8
1256801870066; AZITROMICINA; AZITROMICINA; AZITROMICINA; 1 G COM REV CT BL AL PLAS LEIT X 300 (EMB HOSP); PZ8
1256801870031; AZITROMICINA; AZITROMICINA; AZITROMICINA; 1 G COM REV CT BL AL PLAS LEIT X 40 (EMB HOSP); PZ8
1256801870041; AZITROMICINA; AZITROMICINA; AZITROMICINA; 1 G COM REV CT BL AL PLAS LEIT X 80 (EMB HOSP); PZ8
1256801830056; AZITROMICINA; AZITROMICINA; AZITROMICINA; 500 MG COM REV CT BL AL PLAS INC X 300 (EMB FRAC); PZ8
1256801830102; AZITROMICINA; AZITROMICINA; AZITROMICINA; 500 MG COM REV CT BL AL PLAS INC X 150 (EMB FRAC); PZ8
1256801870090; AZITROMICINA; AZITROMICINA; AZITROMICINA; 1 G COM REV CT BL AL PLAS LEIT X 50 (EMB FRAC); PZ8
1256800360031; AMPLOBIOTIC; AMPLOBIOTIC; NOT FOUND; 250MG CAP GEL DURA CX 2 BL AL PLAS INC X 12; PZ8
1256800360013; AMPLOBIOTIC; AMPLOBIOTIC; NOT FOUND; 250 MG CAP GEL DURA CX 25 BL AL PLAS INC X 12; PZ8
1256800360048; AMPLOBIOTIC; AMPLOBIOTIC; NOT FOUND; 500 MG CAP GEL DURA CX 2 BL AL PLAS INC X 12; PZ8
1256800360021; AMPLOBIOTIC; AMPLOBIOTIC; NOT FOUND; 500 MG CAP GEL DURA CX 25 BL AL PLAS INC X 12; PZ8
SI/NC; ANALGIPLUS; ANALGIPLUS; NOT FOUND; 100 MG COM CX 30 ENV KRAFT POLIET X 10; PZ8
SI/NC; ANALGIPLUS; ANALGIPLUS; NOT FOUND; 500MG COM CX 30 ENV KRAFT POLIET X 10; PZ8
