1256800850101; MALEATO DE DEXCLORFENIRAMINA + BETAMETASONA; MALEATO DEXCLORFENIRAMINA BETAMETASONA; NOT FOUND; 0.4 MG/ML + 0.05 MG/ML XPE CT FR PLAS OPC X 120 ML + COP; PZ8
1256801520146; MALEATO DE ENALAPRIL; MALEATO ENALAPRIL; MALEATO ENALAPRIL; 10 MG COM CT BL AL/AL X 300 (EMB HOSP) ; PZ8
1256801520138; MALEATO DE ENALAPRIL; MALEATO ENALAPRIL; MALEATO ENALAPRIL; 10 MG COM CT BL AL/AL X 30 ; PZ8
1256800280011; MEBENDAZOL; MEBENDAZOL; MEBENDAZOL; 20 MG/ML SUS OR CT FR VD AMB X 30ML; PZ8
1256800280028; MEBENDAZOL; MEBENDAZOL; MEBENDAZOL; 20 MG/ML SUS OR CX 200 FR VD AMB X 30 ML (EMB HOSP); PZ8
1256800280036; MEBENDAZOL; MEBENDAZOL; MEBENDAZOL; 20 MG/ML SUS OR CT FR PLAS OPC X 30 ML; PZ8
1256800280044; MEBENDAZOL; MEBENDAZOL; MEBENDAZOL; 20 MG/ML SUS OR CX 200 FR PLAS OPC X 30 ML (EMB HOSP); PZ8
1256800280052; MEBENDAZOL; MEBENDAZOL; MEBENDAZOL; 20 MG/ML SUS OR CT FR VD AMB X 30 ML + CP MED; PZ8
1256800280079; MEBENDAZOL; MEBENDAZOL; MEBENDAZOL; 20 MG/ML SUS OR CT FR PLAS OPC X 30 ML + CP MED; PZ8
1256800280060; MEBENDAZOL; MEBENDAZOL; MEBENDAZOL; 20 MG/ML SUS OR CX 200 FR VD AMB X 30 ML + 200 CP MED (EMB HOSP); PZ8
1256800280087; MEBENDAZOL; MEBENDAZOL; MEBENDAZOL; 20 MG/ML SUS OR CX 200 FR PLAS OPC X 30 ML + 200 CP MED (EMB HOSP); PZ8
1256800350026; MEBENDAZOL; MEBENDAZOL; MEBENDAZOL; 100 MG COM CT BL AL PLAS INC X 300 (EMB HOSP); PZ8
1256800350018; MEBENDAZOL; MEBENDAZOL; MEBENDAZOL; 100 MG COM CT BL AL PLAS INC X 6; PZ8
1256800350034; MEBENDAZOL; MEBENDAZOL; MEBENDAZOL; 100 MG COM CT BL AL PLAS INC X 120 (EMB MULT); PZ8
1256800310024; MEBENDAZOL+TIABENDAZOL; MEBENDAZOL TIABENDAZOL; NOT FOUND; 20 MG/ML + 33.2 MG/ML SUS OR CX 200 FR VD AMB X 30 ML (EMB HOSP); PZ8
1256800310016; MEBENDAZOL+TIABENDAZOL; MEBENDAZOL TIABENDAZOL; NOT FOUND; 20 MG/ML+ 33.2 MG/ML SUS OR CT FR VD AMB X 30ML; PZ8
1256800420024; MEBENDAZOL+TIABENDAZOL; MEBENDAZOL TIABENDAZOL; NOT FOUND; 200 MG + 332 MG COM MAST CT 50 BL AL PLAS INC X 6 (EMBL HOSP); PZ8
1256800420016; MEBENDAZOL+TIABENDAZOL; MEBENDAZOL TIABENDAZOL; NOT FOUND; 200MG+332MG COM MAST CT BL AL PLAS INC X 6; PZ8
1256801450059; MELOXICAM; MELOXICAM; MELOXICAM; 15 MG COM CT BL AL PLAS INC X 10 ; PZ8
1256801450016; MELOXICAM; MELOXICAM; MELOXICAM; 7.5 MG COM CT BL AL PLAS INC X 10 ; PZ8
1256801450024; MELOXICAM; MELOXICAM; MELOXICAM; 7.5 MG COM CT BL AL PLAS INC X 200 (EMB HOSP); PZ8
1256801450040; MELOXICAM; MELOXICAM; MELOXICAM; 7.5 MG COM CT BL AL PLAS INC X 600 (EMB HOSP); PZ8
1256801450032; MELOXICAM; MELOXICAM; MELOXICAM; 7.5 MG COM CT BL AL PLAS INC X 500 (EMB HOSP); PZ8
1256801450067; MELOXICAM; MELOXICAM; MELOXICAM; 15 MG COM CT BL AL PLAS INC X 200 (EMB HOSP); PZ8
1256801450075; MELOXICAM; MELOXICAM; MELOXICAM; 15 MG COM CT BL AL PLAS INC X 500 (EMB HOSP); PZ8
1256801450083; MELOXICAM; MELOXICAM; MELOXICAM; 15 MG COM CT BL AL PLAS INC X 600 (EMB HOSP); PZ8
1256801450148; MELOXICAM; MELOXICAM; MELOXICAM; 15 MG COM CT BL AL PLAS TRANS X 140 (EMB FRAC); PZ8
1256801450091; MELOXICAM; MELOXICAM; MELOXICAM; 7.5 MG COM CT BL AL PLAS TRANS X 70 (EMB FRAC); PZ8
1256800430021; METRONIDAZOL; METRONIDAZOL; METRONIDAZOL; 100 MG/G GEL VAG CT BG AL X 50 G + APLIC; PZ8
1256800430011; METRONIDAZOL; METRONIDAZOL; METRONIDAZOL; 100 MG/G GEL VAG CX 50 BG AL X 50 G + APLIC (EMB HOSP); PZ8
1256800430046; METRONIDAZOL; METRONIDAZOL; METRONIDAZOL; 100 MG/G GEL VAG CT BG AL X 50 G + 10 APLIC; PZ8
1256800430038; METRONIDAZOL; METRONIDAZOL; METRONIDAZOL; 100 MG/G GEL VAG CX 50 BG AL X 50 G + 500 APLIC (EMB HOSP); PZ8
1256801820042; METRONIDAZOL; METRONIDAZOL; METRONIDAZOL; 250 MG COM REV CT BL AL PLAS OPC X 1000 (EMB HOSP); PZ8
1256801820018; METRONIDAZOL; METRONIDAZOL; METRONIDAZOL; 250 MG COM REV CT BL AL PLAS OPC X 20 ; PZ8
1256801820026; METRONIDAZOL; METRONIDAZOL; METRONIDAZOL; 250 MG COM REV CT BL AL PLAS OPC X 200 (EMB HOSP); PZ8
1256801820034; METRONIDAZOL; METRONIDAZOL; METRONIDAZOL; 250 MG COM REV CT BL AL PLAS OPC X 600 (EMB HOSP); PZ8
1256801820050; METRONIDAZOL; METRONIDAZOL; METRONIDAZOL; 250 MG COM REV CT BL AL PLAS OPC X 70 (EMB FRAC); PZ8
1256801820069; METRONIDAZOL; METRONIDAZOL; METRONIDAZOL; 250 MG COM REV CT BL AL PLAS OPC X 140 (EMB FRAC); PZ8
1256801820085; METRONIDAZOL; METRONIDAZOL; METRONIDAZOL; 250 MG COM REV CT BL AL PLAS OPC X 280 (EMB FRAC); PZ8
1256801820077; METRONIDAZOL; METRONIDAZOL; METRONIDAZOL; 250 MG COM REV CT BL AL PLAS OPC X 210 (EMB FRAC); PZ8
1256800440017; METRONIDAZOL+NISTATINA; METRONIDAZOL NISTATINA; NOT FOUND; 100 MG + 20.000 UI/G CREM VAG CT BG AL X 50 G + APLIC VAG; PZ8
1256800440025; METRONIDAZOL+NISTATINA; METRONIDAZOL NISTATINA; NOT FOUND; 100 MG + 20.000 UI/G CREM VAG CX 50 BG AL X 50 G + APLIC VAG (EMB HOSP); PZ8
1256800440041; METRONIDAZOL+NISTATINA; METRONIDAZOL NISTATINA; NOT FOUND; 100 MG/G + 20.000 UI/G CREM VAG CX 50 BG AL X 50 G + 500 APLIC (EMB HOSP); PZ8
1256800440033; METRONIDAZOL+NISTATINA; METRONIDAZOL NISTATINA; NOT FOUND; 100 MG/G + 20.000 UI/G CREM VAG CT BG AL X 50 G + 10 APLIC; PZ8
1256801570011; MUPIROCINA; MUPIROCINA; MUPIROCINA; 20 MG/G POM DERM CT BG AL X 15 G; PZ8
