1256801750028; BENZOILMETRONIDAZOL; BENZOILMETRONIDAZOL; BENZOILMETRONIDAZOL; 40 MG/ML SUS OR CX 50 FR PLAS AMB X 100 ML + 50 CP MED (EMB HOSP) ; PZ8
1256800600065; BETAMETASONA; BETAMETASONA; BETAMETASONA; 0.1 MG/ML ELX CT FR VD AMB X 120 ML + CP MED; PZ8
1256800600049; BETAMETASONA; BETAMETASONA; BETAMETASONA; 0.1 MG/ML ELX CX 50 FR VD AMB X 100 ML + 50 CP MED (EMB HOSP); PZ8
1256800600057; BETAMETASONA; BETAMETASONA; BETAMETASONA; 0.1 MG/ML ELX CX 50 FR VD AMB X 120 ML + 50 CP MED (EMB HOSP); PZ8
1256800850010; BETAMETASONA + MALEATO DE DEXCLORFENIRAMINA; BETAMETASONA MALEATO DEXCLORFENIRAMINA; NOT FOUND; 0.05MG/ML + 0.4MG/ML XPE CT FR VD AMB X 120ML; PZ8
1256800850029; BETAMETASONA + MALEATO DE DEXCLORFENIRAMINA; BETAMETASONA MALEATO DEXCLORFENIRAMINA; NOT FOUND; 0.05MG/ML + 0.4MG/ML XPE CX 50FR VD AMB X 120ML (EMB HOSP); PZ8
1256800850037; BETAMETASONA + MALEATO DE DEXCLORFENIRAMINA; BETAMETASONA MALEATO DEXCLORFENIRAMINA; NOT FOUND; 0.5MG/ML + 0.4MG/ML XPE CX 50FR VD AMB X 100ML (EMB HOSP); PZ8
1256800900026; BROMETO DE IPRATRÓPIO; BROMETO IPRATROPIO; BROMETO IPRATROPIO; 0.25 MG/ML SOL INAL CT 200 FR PLAS OPC GOT X 20 ML (EMB HOSP); PZ8
1256800900018; BROMETO DE IPRATRÓPIO; BROMETO IPRATROPIO; BROMETO IPRATROPIO; 0.25 MG/ML SOL INAL CT FR PLAS OPC GOT X 20 ML; PZ8
1256800900034; BROMETO DE IPRATRÓPIO; BROMETO IPRATROPIO; BROMETO IPRATROPIO; 0.25 MG/ML SOL INAL CT FR VD AMB GOT X 20 ML; PZ8
1256800900042; BROMETO DE IPRATRÓPIO; BROMETO IPRATROPIO; BROMETO IPRATROPIO; 0.25 MG/ML SOL INAL CX 200 FR VD AMB GOT X 20 ML (EMB HOSP); PZ8
1256801240011; BROMIDRATO DE FENOTEROL; BROMIDRATO FENOTEROL; BROMIDRATO FENOTEROL; 5 MG/ML SOL OR CT FR PLAS OPC GOT X 20 ML ; PZ8
1256801240038; BROMIDRATO DE FENOTEROL; BROMIDRATO FENOTEROL; BROMIDRATO FENOTEROL; 5 MG/ML SOL OR CT FR VD AMB GOT X 20 ML; PZ8
1256801240021; BROMIDRATO DE FENOTEROL; BROMIDRATO FENOTEROL; BROMIDRATO FENOTEROL; 5 MG/ML SOL OR CX 200 FR PLAS OPC GOT X 20 ML (EMB HOSP); PZ8
1256801240046; BROMIDRATO DE FENOTEROL; BROMIDRATO FENOTEROL; BROMIDRATO FENOTEROL; 5 MG/ML SOL OR CX 200 FR VD AMB GOT X 20 ML (EMB HOSP); PZ8
1256801240070; BROMIDRATO DE FENOTEROL; BROMIDRATO FENOTEROL; BROMIDRATO FENOTEROL; 5 MG/ML SOL OR CT FR PLAS OPC GOT X 30 ML; PZ8
1256801240054; BROMIDRATO DE FENOTEROL; BROMIDRATO FENOTEROL; BROMIDRATO FENOTEROL; 5 MG/ML SOL OR CT FR VD AMB GOT X 30 ML; PZ8
1256801240089; BROMIDRATO DE FENOTEROL; BROMIDRATO FENOTEROL; BROMIDRATO FENOTEROL; 5 MG/ML SOL OR CX 200 FR PLAS OPC GOT X 30 ML (EMB HOSP); PZ8
1256801240062; BROMIDRATO DE FENOTEROL; BROMIDRATO FENOTEROL; BROMIDRATO FENOTEROL; 5 MG/ML SOL OR CX 200 FR VD AMB GOT X 30 ML (EMB HOSP); PZ8
1256800870021; BROMOPRIDA; BROMOPRIDA; BROMOPRIDA; 1 MG/ML SOL OR CX 50 FR VD AMB X 120ML (EMB HOSP); PZ8
1256800870011; BROMOPRIDA; BROMOPRIDA; BROMOPRIDA; 1MG/ML SOL OR CT FR VD AMB X 120ML; PZ8
1256800930014; BROMOPRIDA; BROMOPRIDA; BROMOPRIDA; 4 MG/ML SOL OR CX 200 FR PLAS OPC GOT X 20 ML (EMB HOSP); PZ8
1256800930022; BROMOPRIDA; BROMOPRIDA; BROMOPRIDA; 4 MG/ML SOL OR CT FR PLAS OPC GOT X 20 ML; PZ8
1256801800041; BROMOPRIDA; BROMOPRIDA; BROMOPRIDA; 10 MG COM CT BL AL PLAS INC X 80 (EMB FRAC); PZ8
1256801800051; BROMOPRIDA; BROMOPRIDA; BROMOPRIDA; 10 MG COM CT BL AL PLAS INC X 120 (EMB FRAC); PZ8
1256801800076; BROMOPRIDA; BROMOPRIDA; BROMOPRIDA; 10 MG COM CT BL AL PLAS INC X 320 (EMB FRAC) ; PZ8
1256801800068; BROMOPRIDA; BROMOPRIDA; BROMOPRIDA; 10 MG COM CT BL AL PLAS INC X 240 (EMB FRAC) ; PZ8
1256801800017; BROMOPRIDA; BROMOPRIDA; BROMOPRIDA; 10 MG COM CT BL AL PLAS INC X 20; PZ8
1256801800025; BROMOPRIDA; BROMOPRIDA; BROMOPRIDA; 10 MG COM CT BL AL PLAS INC X 200 (EMB HOSP); PZ8
1256801800033; BROMOPRIDA; BROMOPRIDA; BROMOPRIDA; 10 MG COM CT BL AL PLAS INC X 800 (EMB HOSP); PZ8
1256800630010; BUTILBROMETO DE ESCOPOLAMINA; BUTILBROMETO ESCOPOLAMINA; BUTILBROMETO ESCOPOLAMINA; 10 MG/ML SOL OR CT FR PLAS OPC GOT X 20 ML; PZ8
1256800630029; BUTILBROMETO DE ESCOPOLAMINA; BUTILBROMETO ESCOPOLAMINA; BUTILBROMETO ESCOPOLAMINA; 10 MG/ML SOL OR CX 200 FR PLAS OPC GOT X 10 ML (EMB HOSP); PZ8
1256800630037; BUTILBROMETO DE ESCOPOLAMINA; BUTILBROMETO ESCOPOLAMINA; BUTILBROMETO ESCOPOLAMINA; 10 MG/ML SOL OR CX 200 FR PLAS OPC GOT X 20 ML (EMB HOSP); PZ8
1256800830011; BROMETO DE N-BUTILESCOPOLAMINA+DIPIRONA SÓDICA; BROMETO N BUTILESCOPOLAMINA DIPIRONA SODICA; NOT FOUND; 6.67MG/ML + 333.4MG/ML SOL ORAL CT FR PLAS OPC X 20 ML; PZ8
1256800830028; BROMETO DE N-BUTILESCOPOLAMINA+DIPIRONA SÓDICA; BROMETO N BUTILESCOPOLAMINA DIPIRONA SODICA; NOT FOUND; 6.67 MG/ML + 333.4 MG/ML SOL OR CX 200 FR PLAS OPC X 10 ML (EMB HOSP); PZ8
1256800830036; BROMETO DE N-BUTILESCOPOLAMINA+DIPIRONA SÓDICA; BROMETO N BUTILESCOPOLAMINA DIPIRONA SODICA; NOT FOUND; 6.67 MG/ML + 333.4 MG/ML SOL OR CX 200 FR PLAS OPC X 20 ML (EMB HOSP); PZ8
1256800630045; BUTILBROMETO DE ESCOPOLAMINA + DIPIRONA SÓDICA; BUTILBROMETO ESCOPOLAMINA DIPIRONA SODICA; NOT FOUND; 10 MG/ML SOL OR CT FR PLAS OPC GOT X 30 ML; PZ8
1256800630053; BUTILBROMETO DE ESCOPOLAMINA + DIPIRONA SÓDICA; BUTILBROMETO ESCOPOLAMINA DIPIRONA SODICA; NOT FOUND; 10 MG/ML SOL OR CX 200 FR PLAS OPC GOT X 30 ML (EMB HOSP); PZ8
1256800830044; BUTILBROMETO DE ESCOPOLAMINA + DIPIRONA SÓDICA; BUTILBROMETO ESCOPOLAMINA DIPIRONA SODICA; NOT FOUND; 6.67 MG/ML + 333.4 MG/ML SOL OR CT FR PLAS OPC GOT X 30 ML; PZ8
1256800830052; BUTILBROMETO DE ESCOPOLAMINA + DIPIRONA SÓDICA; BUTILBROMETO ESCOPOLAMINA DIPIRONA SODICA; NOT FOUND; 6.67 MG/ML + 333.4 MG/ML SOL OR CX 200 FR PLAS OPC GOT X 30 ML (EMB HOSP); PZ8
1256802060076; BENZIDROL; BENZIDROL; NOT FOUND; 1.5 MG/ML COLUT CT FR SPR PLAS TRANS X 30 ML (SABOR CEREJA); PZ8
1256802060157; BENZIDROL; BENZIDROL; NOT FOUND; 1.5 MG/ML COLUT CT FR SPR PLAS TRANS X 30 ML (SABOR LARANJA); PZ8
1256802060114; BENZIDROL; BENZIDROL; NOT FOUND; 1.5 MG/ML COLUT CT FR SPR PLAS TRANS X 30 ML (SABOR LIMAO); PZ8
1256802060033; BENZIDROL; BENZIDROL; NOT FOUND; 1.5 MG/ML COLUT CT FR SPR PLAS TRANS X 30 ML (SABOR MENTA); PZ8
1256802060084; BENZIDROL; BENZIDROL; NOT FOUND; 1.5 MG/ML COLUT CX 100 FR SPR PLAS TRANS X 30 ML (EMB HOSP) (SABOR CEREJA); PZ8
1256802060165; BENZIDROL; BENZIDROL; NOT FOUND; 1.5 MG/ML COLUT CX 100 FR SPR PLAS TRANS X 30 ML (EMB HOSP) (SABOR LARANJA); PZ8
1256802060122; BENZIDROL; BENZIDROL; NOT FOUND; 1.5 MG/ML COLUT CX 100 FR SPR PLAS TRANS X 30 ML (EMB HOSP) (SABOR LIMAO); PZ8
1256802060041; BENZIDROL; BENZIDROL; NOT FOUND; 1.5 MG/ML COLUT CX 100 FR SPR PLAS TRANS X 30 ML (EMB HOSP) (SABOR MENTA); PZ8
1256802060191; BENZIDROL; BENZIDROL; NOT FOUND; 1.5 MG/ML COLUT CT FR PLAS TRANS X 150 ML  (SABOR LARANJA); PZ8
1256802060211; BENZIDROL; BENZIDROL; NOT FOUND; 1.5 MG/ML COLUT CT FR PLAS TRANS X 150 ML (SABOR CEREJA); PZ8
1256802060238; BENZIDROL; BENZIDROL; NOT FOUND; 1.5 MG/ML COLUT CT FR PLAS TRANS X 150 ML (SABOR LIMAO); PZ8
1256802060173; BENZIDROL; BENZIDROL; NOT FOUND; 1.5 MG/ML COLUT CT FR PLAS TRANS X 150 ML (SABOR MENTA); PZ8
1256802060221; BENZIDROL; BENZIDROL; NOT FOUND; 1.5 MG/ML COLUT CT FR PLAS TRANS X 250 ML (SABOR CEREJA); PZ8
1256802060203; BENZIDROL; BENZIDROL; NOT FOUND; 1.5 MG/ML COLUT CT FR PLAS TRANS X 250 ML (SABOR LARANJA); PZ8
1256802060246; BENZIDROL; BENZIDROL; NOT FOUND; 1.5 MG/ML COLUT CT FR PLAS TRANS X 250 ML (SABOR LIMAO); PZ8
1256802060181; BENZIDROL; BENZIDROL; NOT FOUND; 1.5 MG/ML COLUT CT FR PLAS TRANS X 250 ML (SABOR MENTA); PZ8
1256802060149; BENZIDROL; BENZIDROL; NOT FOUND; 1.5 MG/ML COLUT CX 50 FR PLAS TRANS X 250 ML + COP (EMB HOSP) (SABOR LARANJA); PZ8
1256802060051; BENZIDROL; BENZIDROL; NOT FOUND; 1.5 MG/ML COLUT CX 50 FR PLAS TRANS X 150 ML + COP (EMB HOSP) (SABOR CEREJA); PZ8
1256802060130; BENZIDROL; BENZIDROL; NOT FOUND; 1.5 MG/ML COLUT CX 50 FR PLAS TRANS X 150 ML + COP (EMB HOSP) (SABOR LARANJA); PZ8
1256802060092; BENZIDROL; BENZIDROL; NOT FOUND; 1.5 MG/ML COLUT CX 50 FR PLAS TRANS X 150 ML + COP (EMB HOSP) (SABOR LIMAO); PZ8
1256802060017; BENZIDROL; BENZIDROL; NOT FOUND; 1.5 MG/ML COLUT CX 50 FR PLAS TRANS X 150 ML + COP (EMB HOSP) (SABOR MENTA); PZ8
1256802060068; BENZIDROL; BENZIDROL; NOT FOUND; 1.5 MG/ML COLUT CX 50 FR PLAS TRANS X 250 ML + COP (EMB HOSP) (SABOR CEREJA); PZ8
1256802060106; BENZIDROL; BENZIDROL; NOT FOUND; 1.5 MG/ML COLUT CX 50 FR PLAS TRANS X 250 ML + COP (EMB HOSP) (SABOR LIMAO); PZ8
1256802060025; BENZIDROL; BENZIDROL; NOT FOUND; 1.5 MG/ML COLUT CX 50 FR PLAS TRANS X 250 ML + COP (EMB HOSP) (SABOR MENTA); PZ8
