1256800320038; IONCLOR; IONCLOR; NOT FOUND; 60MG/ML SOL OR CT FR VD AMB X 150ML; PZ8
ISENTO; IODETO DE POTÁSSIO; IODETO POTASSIO; IODETO POTASSIO; 2% XPE CT FR PLAS OPC X 120 ML + CP MED; PZ8
ISENTO; IODETO DE POTÁSSIO; IODETO POTASSIO; IODETO POTASSIO; 2% XPE CT FR PLAS OPC X 100 ML + CP MED; PZ8
ISENTO; IODETO DE POTÁSSIO; IODETO POTASSIO; IODETO POTASSIO; 2% XPE CT FR VD AMB X 100 ML + CP MED; PZ8
ISENTO; IODETO DE POTÁSSIO; IODETO POTASSIO; IODETO POTASSIO; 2% XPE CT FR VD AMB X 120 ML + CP MED; PZ8
ISENTO; IODETO DE POTÁSSIO; IODETO POTASSIO; IODETO POTASSIO; 2% XPE CX 50 FR PLAS AMB X 100 ML + 50 CP MED; PZ8
ISENTO; IODETO DE POTÁSSIO; IODETO POTASSIO; IODETO POTASSIO; 2% XPE CX 50 FR PLAS AMB X 120 ML + 50 CP MED; PZ8
ISENTO; IODETO DE POTÁSSIO; IODETO POTASSIO; IODETO POTASSIO; 2% XPE CX 50 FR PLAS AMB X 60 ML + 50 CP MED; PZ8
ISENTO; IODETO DE POTÁSSIO; IODETO POTASSIO; IODETO POTASSIO; 2% XPE CX 50 FR PLAS AMB X 80 ML + 50 CP MED; PZ8
ISENTO; IODETO DE POTÁSSIO; IODETO POTASSIO; IODETO POTASSIO; 2% XPE CX 50 FR PLAS OPC X 120 ML + 50 CP MED; PZ8
ISENTO; IODETO DE POTÁSSIO; IODETO POTASSIO; IODETO POTASSIO; 2% XPE CX 50 FR PLAS OPC X 80 ML + 50 CP MED; PZ8
ISENTO; IODETO DE POTÁSSIO; IODETO POTASSIO; IODETO POTASSIO; 2% XPE CX 50 FR PLAS OPC X 100 ML + 50 CP MED; PZ8
ISENTO; IODETO DE POTÁSSIO; IODETO POTASSIO; IODETO POTASSIO; 2% XPE CX 50 FR VD AMB X 100 ML + 50 CP MED; PZ8
ISENTO; IODETO DE POTÁSSIO; IODETO POTASSIO; IODETO POTASSIO; 2% XPE CX 50 FR VD AMB X 120 ML + 50 CP MED; PZ8
ISENTO; IODETO DE POTÁSSIO; IODETO POTASSIO; IODETO POTASSIO; 2% XPE CX 50 FR VD AMB X 60 ML + 50 CP MED; PZ8
ISENTO; IODETO DE POTÁSSIO; IODETO POTASSIO; IODETO POTASSIO; 2% XPE CX 50 FR VD AMB X 80 ML + 50 CP MED; PZ8
1256801700012; ITRACONAZOL; ITRACONAZOL; ITRACONAZOL; 100 MG CAP GEL DURA CT BL AL PLAS INC X 4 ; PZ8
1256801700098; ITRACONAZOL; ITRACONAZOL; ITRACONAZOL; 100 MG CAP GEL DURA CT BL AL PLAS INC X 600 (EMB HOSP); PZ8
1256801700020; ITRACONAZOL; ITRACONAZOL; ITRACONAZOL; 100 MG CAP GEL DURA CT BL AL PLAS INC X 10; PZ8
1256801700055; ITRACONAZOL; ITRACONAZOL; ITRACONAZOL; 100 MG CAP GEL DURA CT BL AL PLAS INC X 100 (EMB HOSP); PZ8
1256801700039; ITRACONAZOL; ITRACONAZOL; ITRACONAZOL; 100 MG CAP GEL DURA CT BL AL PLAS INC X 15; PZ8
1256801700063; ITRACONAZOL; ITRACONAZOL; ITRACONAZOL; 100 MG CAP GEL DURA CT BL AL PLAS INC X 150 (EMB HOSP); PZ8
1256801700071; ITRACONAZOL; ITRACONAZOL; ITRACONAZOL; 100 MG CAP GEL DURA CT BL AL PLAS INC X 160 (EMB HOSP); PZ8
1256801700047; ITRACONAZOL; ITRACONAZOL; ITRACONAZOL; 100 MG CAP GEL DURA CT BL AL PLAS INC X 40 (EMB HOSP); PZ8
1256801700081; ITRACONAZOL; ITRACONAZOL; ITRACONAZOL; 100 MG CAP GEL DURA CT BL AL PLAS INC X 400 (EMB HOSP); PZ8
1256801700101; ITRACONAZOL; ITRACONAZOL; ITRACONAZOL; 100 MG CAP GEL DURA CT BL AL PLAS TRANS X 80 (EMB FRAC); PZ8
