1256800090024; DUZIMICIN; DUZIMICIN; NOT FOUND; 50 MG/ML PO SUS OR CT FR VD AMB X 150 ML; PZ8
1256801490018; DESONIDA; DESONIDA; DESONIDA; 0.5 MG/G LOC DERM CT FR PLAS OPC X 60 G; PZ8
SI/NC; DEXAMETASONA; DEXAMETASONA; DEXAMETASONA; ELIXIR 120ML GENERICO; PZ8
1256800560012; DEXAMETASONA; DEXAMETASONA; DEXAMETASONA; 0.1 MG/ML ELX CT FR VD AMB X 120 ML; PZ8
1256800560020; DEXAMETASONA; DEXAMETASONA; DEXAMETASONA; 0.1 MG/ML ELX CX 50 FR VD AMB X 100 ML (EMB HOSP); PZ8
1256800560039; DEXAMETASONA; DEXAMETASONA; DEXAMETASONA; 0.1 MG/ML ELX CX 50 FR VD AMB X 120 ML (EMB HOSP); PZ8
1256800560063; DEXAMETASONA; DEXAMETASONA; DEXAMETASONA; 0.1MG/ML ELX 50 FR PLAS AMB X 100ML; PZ8
1256800560063; DEXAMETASONA; DEXAMETASONA; DEXAMETASONA; 0.1 MG/ML ELX CX 50 FR PLAS AMB X 120 ML (EMB HOSP); PZ8
1256800560047; DEXAMETASONA; DEXAMETASONA; DEXAMETASONA; 0.1MG/ML ELX CT FR PLAS AMB X 120ML; PZ8
1256800560071; DEXAMETASONA; DEXAMETASONA; DEXAMETASONA; 0.1 MG/ML ELX CT FR PLAS OPC X 120 ML + CP MED; PZ8
1256800560081; DEXAMETASONA; DEXAMETASONA; DEXAMETASONA; 0.1 MG/ML ELX CX 50 FR PLAS OPC X 100ML; PZ8
1256800560081; DEXAMETASONA; DEXAMETASONA; DEXAMETASONA; 0.1 MG/ML ELX CX 50 FR PLAS OPC X 100 ML  + 50 CP MED   ( EMB HOSP) ; PZ8
1256800560098; DEXAMETASONA; DEXAMETASONA; DEXAMETASONA; 0.1 MG/ML ELX CX 50 FR PLAS OPC X 120 ML + 50 CP MED ( EMB HOSP); PZ8
1256802450011; DEXPROTENOL; DEXPROTENOL; NOT FOUND; 50 MG/G POM DERM CT BG AL X 30 G; PZ8
1256802450028; DEXPROTENOL; DEXPROTENOL; NOT FOUND; 50 MG/G POM DERM CX 100 BG AL X 30 G; PZ8
1256801180019; DICLOFENACO DIETILAMONIO; DICLOFENACO DIETILAMONIO; DICLOFENACO DIETILAMONIO; 10 MG/G GEL CREM CT BG AL X 60 G ; PZ8
1256801180051; DICLOFENACO DIETILAMONIO; DICLOFENACO DIETILAMONIO; DICLOFENACO DIETILAMONIO; 10MG/G GEL CREM CT BG AL X 80G; PZ8
1256801180027; DICLOFENACO DIETILAMONIO; DICLOFENACO DIETILAMONIO; DICLOFENACO DIETILAMONIO; 10MG/G GEL CREM CT BG PLAS OPC X 60G; PZ8
1256801180061; DICLOFENACO DIETILAMONIO; DICLOFENACO DIETILAMONIO; DICLOFENACO DIETILAMONIO; 10MG/G GEL CREM CT BG PLAS OPC X 80G; PZ8
1256801180043; DICLOFENACO DIETILAMONIO; DICLOFENACO DIETILAMONIO; DICLOFENACO DIETILAMONIO; 10 MG/G GEL CREM CX 50 BG PLAS OPC X 60 G (EMB HOSP); PZ8
1256801180035; DICLOFENACO DIETILAMONIO; DICLOFENACO DIETILAMONIO; DICLOFENACO DIETILAMONIO; 10 MG/G GEL CREM CX 50 BG AL X 60 G (EMB HOSP); PZ8
1256801180078; DICLOFENACO DIETILAMONIO; DICLOFENACO DIETILAMONIO; DICLOFENACO DIETILAMONIO; 10 MG/G GEL CREM CX 50 BG AL X 80 G (EMB HOSP); PZ8
1256801180086; DICLOFENACO DIETILAMONIO; DICLOFENACO DIETILAMONIO; DICLOFENACO DIETILAMONIO; 10 MG/G GEL CREM CX 50 BG PLAS OPC X 80 G (EMB HOSP); PZ8
1256800220041; DICLOKALIUM; DICLOKALIUM; NOT FOUND; 10 MG/G GEL CREM CT BG AL X 60 G; PZ8
1256800220084; DICLOKALIUM; DICLOKALIUM; NOT FOUND; 10 MG/G GEL CREM CT BG AL X 80 G; PZ8
1256800220051; DICLOKALIUM; DICLOKALIUM; NOT FOUND; 10 MG/G GEL CREM CT BG PLAS OPC X 60 G; PZ8
1256800220092; DICLOKALIUM; DICLOKALIUM; NOT FOUND; 10 MG/G GEL CREM CT BG PLAS OPC X 80 G; PZ8
1256800220068; DICLOKALIUM; DICLOKALIUM; NOT FOUND; 10 MG/G GEL CREM CX 50 BG AL X 60 G; PZ8
1256800220106; DICLOKALIUM; DICLOKALIUM; NOT FOUND; 10MG/G GEL CREME CX 50 BG AL X 80G; PZ8
1256800220076; DICLOKALIUM; DICLOKALIUM; NOT FOUND; 10 MG/G GEL CREM CX 50 BG PLAS OPC X 60 G; PZ8
1256800220114; DICLOKALIUM; DICLOKALIUM; NOT FOUND; 10 MG/G GEL CREM CX 50 BG PLAS OPC X 80 G; PZ8
1256800220025; DICLOKALIUM; DICLOKALIUM; NOT FOUND; 50 MG COM REV CX BL AL PLAS INC X 20; PZ8
1256800220033; DICLOKALIUM; DICLOKALIUM; NOT FOUND; 50 MG COM REV CX BL AL PLAS INC X 500 (EMB HOSP); PZ8
1256800220122; DICLOKALIUM; DICLOKALIUM; NOT FOUND; 50 MG COM REV CT BL AL PLAS INC X 200; PZ8
1256802000014; DICLOFENACO SÓDICO; DICLOFENACO SODICO; DICLOFENACO SODICO; 50 MG COM REV CT BL AL PLAS INC X 20 ; PZ8
1256802000022; DICLOFENACO SÓDICO; DICLOFENACO SODICO; DICLOFENACO SODICO; 50 MG COM REV CT BL AL PLAS INC X 500 (EMB HOSP); PZ8
1256802000030; DICLOFENACO SÓDICO; DICLOFENACO SODICO; DICLOFENACO SODICO; 50 MG COM REV CT BL AL PLAS INC X 400 (EMB FRAC); PZ8
1256800200024; DICLONATRIUM; DICLONATRIUM; NOT FOUND; 50MG COM REV CX 2 BL AL PLAS INC X 10; PZ8
1256800200032; DICLONATRIUM; DICLONATRIUM; NOT FOUND; 50 MG COM REV CT BL AL PLAS INC X 500 (EMB HOSP); PZ8
1256800200040; DICLONATRIUM; DICLONATRIUM; NOT FOUND; 50 MG COM REV CT BL AL PLAS INC X 400 (EMB HOSP); PZ8
1256800690031; DICLORIDRATO DE CETIRIZINA; DICLORIDRATO CETIRIZINA; DICLORIDRATO CETIRIZINA; 1 MG/ML SOL OR CT FR VD AMB X 120 ML; PZ8
1256800690013; DICLORIDRATO DE CETIRIZINA; DICLORIDRATO CETIRIZINA; DICLORIDRATO CETIRIZINA; 1 MG/ML SOL OR CT FR VD AMB X 80 ML; PZ8
1256800690048; DICLORIDRATO DE CETIRIZINA; DICLORIDRATO CETIRIZINA; DICLORIDRATO CETIRIZINA; 1 MG/ML SOL OR CX 50 FR VD AMB X 120 ML (EMB HOSP); PZ8
1256800690021; DICLORIDRATO DE CETIRIZINA; DICLORIDRATO CETIRIZINA; DICLORIDRATO CETIRIZINA; 1 MG/ML SOL OR CX 50 FR VD AMB X 80 ML (EMB HOSP); PZ8
1256800690021; DICLORIDRATO DE CETIRIZINA; DICLORIDRATO CETIRIZINA; DICLORIDRATO CETIRIZINA; 1 MG/ML SOL OR CX 50 FR VD AMB X 80 ML (EMB HOSP); PZ8
1256800790026; DIGOXINA; DIGOXINA; DIGOXINA; 0.5 MG/ML SOL OR CT 200 FR VD AMB X 10 ML (EMB HOSP); PZ8
1256800790018; DIGOXINA; DIGOXINA; DIGOXINA; 0.5MG/ML SOL OR CT FR VD AMB X 10 ML; PZ8
1256800920019; DIGOXINA; DIGOXINA; DIGOXINA; 0.05 MG/ML ELX CT FR VD AMB X 60 ML C/ CGT ; PZ8
1256800920027; DIGOXINA; DIGOXINA; DIGOXINA; 0.05 MG/ML ELIXIR CX 50 FR X 60ML; PZ8
1256800920027; DIGOXINA; DIGOXINA; DIGOXINA; 0.05 MG/ML ELX CT 50 FR VD AMB X 60 ML C/ CGT (EMB HOSP); PZ8
1256800400015; DIPIRONA SÓDICA; DIPIRONA SODICA; NOT FOUND; 500MG/ML SOL OR CT FR PLAS OPC GOT X 10ML; PZ8
1256800400023; DIPIRONA SÓDICA; DIPIRONA SODICA; NOT FOUND; 500MG/ML SOL OR CT FR PLAS OPC GOT X 20ML; PZ8
1256800400031; DIPIRONA SÓDICA; DIPIRONA SODICA; NOT FOUND; 500 MG/ML SOL OR CX 200 FR PLAS OPC GOT X 10 ML (EMB HOSP); PZ8
1256800400041; DIPIRONA SÓDICA; DIPIRONA SODICA; NOT FOUND; 50 MG/ML SOL OR CT FR VD AMB X 100 ML + CP MED; PZ8
1256800400058; DIPIRONA SÓDICA; DIPIRONA SODICA; NOT FOUND; 50 MG/ML SOL OR CX 50 FR VD AMB X 100 ML + CP MED (EMB HOSP); PZ8
1256800410010; DIPIRONA SÓDICA; DIPIRONA SODICA; NOT FOUND; 500 MG COM CT BL AL PLAS TRANS X 100 (EMB MULT); PZ8
1256800410029; DIPIRONA SÓDICA; DIPIRONA SODICA; NOT FOUND; 500 MG COM CT BL AL PLAS TRANS X 500 (EMB MULT); PZ8
1256800410037; DIPIRONA SÓDICA; DIPIRONA SODICA; NOT FOUND; 500 MG COM CT BL AL PLAS INC X 200 - (EMB MULTI); PZ8
1256800410045; DIPIRONA SÓDICA; DIPIRONA SODICA; NOT FOUND; 500 MG COM CT BL AL PLAS INC X 480 (EMB FRAC); PZ8
1256800410169; DIPIRONA SODICA; DIPIRONA SODICA; NOT FOUND; 1000 MG COM CT BL AL PLAS TRANS X 4; PZ8
1256800410150; DIPIRONA SODICA; DIPIRONA SODICA; NOT FOUND; 1000 MG COM CT BL AL PLAS TRANS X 10; PZ8
1256800410142; DIPIRONA SODICA; DIPIRONA SODICA; NOT FOUND; 1000 MG COM CT BL AL PLAS TRANS X 20; PZ8
1256800410134; DIPIRONA SODICA; DIPIRONA SODICA; NOT FOUND; 1000 MG COM CT BL AL PLAS TRANS X 80 (EMB MULT) ; PZ8
1256800410126; DIPIRONA SODICA; DIPIRONA SODICA; NOT FOUND; 1000 MG COM CT BL AL PLAS TRANS X 100 (EMB MULT) ; PZ8
1256800410118; DIPIRONA SODICA; DIPIRONA SODICA; NOT FOUND; 1000 MG COM CT BL AL PLAS TRANS X 90 (EMB FRAC); PZ8
1256800410101; DIPIRONA SODICA; DIPIRONA SODICA; NOT FOUND; 1000 MG COM CT BL AL PLAS TRANS X 120 (EMB FRAC) ; PZ8
1256800410096; DIPIRONA SODICA; DIPIRONA SODICA; NOT FOUND; 1000 MG COM CT BL AL PLAS TRANS X 240 (EMB FRAC); PZ8
1256800410088; DIPIRONA SODICA; DIPIRONA SODICA; NOT FOUND; 1000 MG COM CT BL AL PLAS TRANS X 360 (EMB FRAC) ; PZ8
1256800410071; DIPIRONA SODICA; DIPIRONA SODICA; NOT FOUND; 1000 MG COM CT BL AL PLAS TRANS X 300 (EMB HOSP) ; PZ8
1256800410061; DIPIRONA SODICA; DIPIRONA SODICA; NOT FOUND; 1000 MG COM CT BL AL PLAS TRANS X 500 (EMB HOSP) ; PZ8
1256800410053; DIPIRONA SODICA; DIPIRONA SODICA; NOT FOUND; 1000 MG COM CT BL AL PLAS TRANS X 800 (EMB HOSP) ; PZ8
1256801640011; DIPROPIONATO DE BETAMETASONA + SULFATO DE GENTAMICINA; DIPROPIONATO BETAMETASONA SULFATO GENTAMICINA; NOT FOUND; 0.5 MG/G + 1 MG/G CREM DERM CT BG AL X 30 G; PZ8
1256801640028; DIPROPIONATO DE BETAMETASONA + SULFATO DE GENTAMICINA; DIPROPIONATO BETAMETASONA SULFATO GENTAMICINA; NOT FOUND; 0.5 MG/G + 1 MG/G CREM DERM CX 100 BG AL X 30 G (EMB HOSP); PZ8
1256801650015; DIPROPIONATO DE BETAMETASONA + SULFATO DE GENTAMICINA; DIPROPIONATO BETAMETASONA SULFATO GENTAMICINA; NOT FOUND; 0.5 MG/G + 1 MG/G POM DERM CT BG AL X 30 G; PZ8
1256801650023; DIPROPIONATO DE BETAMETASONA + SULFATO DE GENTAMICINA; DIPROPIONATO BETAMETASONA SULFATO GENTAMICINA; NOT FOUND; 0.5 MG/G + 1 MG/G POM DERM CX 100 BG AL X 30 G (EMB HOSP); PZ8
1256801100015; DIPROPIONATO DE BETAMETASONA + ÁCIDO SALICÍLICO; DIPROPIONATO BETAMETASONA ACIDO SALICILICO; NOT FOUND; 0. 64 MG/ML + 20 MG/ML SOL TOP CT FR PLAS OPC GOT X 30 ML ; PZ8
1256801100023; DIPROPIONATO DE BETAMETASONA + ÁCIDO SALICÍLICO; DIPROPIONATO BETAMETASONA ACIDO SALICILICO; NOT FOUND; 0.64 MG/ML + 20 MG/ML SOL TOP CX 200 FR PLAS OPC GOT X 30 ML (EMB HOSP); PZ8
1256801140017; DIPROPIONATO DE BETAMETASONA + ÁCIDO SALICÍLICO; DIPROPIONATO BETAMETASONA ACIDO SALICILICO; NOT FOUND; 0.5 MG/G + 30 MG/G POM DERM CT BG AL X 30 G ; PZ8
1256801140033; DIPROPIONATO DE BETAMETASONA + ÁCIDO SALICÍLICO; DIPROPIONATO BETAMETASONA ACIDO SALICILICO; NOT FOUND; 0.5 MG/G + 30 MG/G POM DERM CT BG PLAS OPC X 30 G; PZ8
1256801140025; DIPROPIONATO DE BETAMETASONA + ÁCIDO SALICÍLICO; DIPROPIONATO BETAMETASONA ACIDO SALICILICO; NOT FOUND; 0.5 MG/G + 30 MG/G POM DERM CX 100 BG AL X 30 G (EMB HOSP); PZ8
1256801140041; DIPROPIONATO DE BETAMETASONA + ÁCIDO SALICÍLICO; DIPROPIONATO BETAMETASONA ACIDO SALICILICO; NOT FOUND; 0.5 MG/G + 30 MG/G POM DERM CX 100 BG PLAS OPC X 30 G (EMB HOSP); PZ8
1256800910013; DROPROPIZINA; DROPROPIZINA; DROPROPIZINA; 1.5 MG/ML XPE CT FR VD AMB X 120 ML + CP MED ; PZ8
1256800910031; DROPROPIZINA; DROPROPIZINA; DROPROPIZINA; 1.5MG/ML XPE CX 50FR VD AMB X 100ML + 50 CP MED (EMB HOSP); PZ8
1256800910021; DROPROPIZINA; DROPROPIZINA; DROPROPIZINA; 1.5 MG/ML XPE CX 50 FR VD AMB X 120 ML + 50 CP MED (EMB HOSP); PZ8
1256801020011; DROPROPIZINA; DROPROPIZINA; DROPROPIZINA; 30.0 MG/ML SOL OR CT FR PLAST OPC GOT X 10ML; PZ8
1256801020021; DROPROPIZINA; DROPROPIZINA; DROPROPIZINA; 30.0 MG/ML SOL OR CX 200 FR PLAST OPC GOT X 10 ML (EMB HOSP); PZ8
1256800910048; DROPROPIZINA; DROPROPIZINA; DROPROPIZINA; 3 MG/ML XPE CT FR VD AMB X 120 ML + CP MED; PZ8
1256800910064; DROPROPIZINA; DROPROPIZINA; DROPROPIZINA; 3MG/ML XPE CX 50FR VD AMB X 100ML + 50 CP MED (EMB HOSP); PZ8
1256800910056; DROPROPIZINA; DROPROPIZINA; DROPROPIZINA; 3.0 MG/ML XPE CX 50 FR VD AMB X 120 ML + 50 CP MED (EMB HOSP); PZ8
1256801940080; DUXIDINA; DUXIDINA; NOT FOUND; 10 MG/ML SOL TOP CX 100 FR PLAS OPC SPR X 45 ML (EMB HOSP); PZ8
1256801940072; DUXIDINA; DUXIDINA; NOT FOUND; 10 MG/ML SOL TOP CT FR PLAS OPC SPR X 45 ML; PZ8
1256801940110; DUXIDINA; DUXIDINA; NOT FOUND; 10 MG/ML SOL TOP CT FR PLAS OPC X 100 ML; PZ8
1256801940031; DUXIDINA; DUXIDINA; NOT FOUND; 10 MG/ML SOL TOP CT FR PLAS OPC X 30 ML; PZ8
1256801940056; DUXIDINA; DUXIDINA; NOT FOUND; 10 MG/ML SOL TOP CT FR VD AMB SPRAY X 45 ML; PZ8
1256801940099; DUXIDINA; DUXIDINA; NOT FOUND; 10 MG/ML SOL TOP CT FR VD AMB X 100 ML; PZ8
1256801940048; DUXIDINA; DUXIDINA; NOT FOUND; 10 MG/ML SOL TOP CX 100 FR PLAS OPC X 30ML (EMB HOSP); PZ8
1256801940064; DUXIDINA; DUXIDINA; NOT FOUND; 10 MG/ML SOL TOP CX 100 FR VD AMB SPRAY X 45 ML (EMB HOSP); PZ8
1256801940102; DUXIDINA; DUXIDINA; NOT FOUND; 10 MG/ML SOL TOP CX 100 FR VD AMB X 100 ML (EMB HOSP); PZ8
1256801940021; DUXIDINA; DUXIDINA; NOT FOUND; 10 MG/ML SOL TOP CX 100 FR VD AMB X 30 ML (EMB HOSP); PZ8
1256801940013; DUXIDINA; DUXIDINA; NOT FOUND; 10 MG/ML SOL TOP CT FR VD AMB X 30 ML; PZ8
