1256802230011; NERVAMIN; NERVAMIN; NOT FOUND; 300 MG COM REV CT BL AL PLAS INC X 30; PZ8
1256801400027; NISTATINA + ÓXIDO DE ZINCO; NISTATINA OXIDO ZINCO; NOT FOUND; 100.000 UI/G + 200 MG/G POM DERM CX 50 BG AL X 60 G (EMB HOSP); PZ8
1256801120040; NITRATO DE ISOCONAZOL; NITRATO ISOCONAZOL; NITRATO ISOCONAZOL; 10 MG/G CREM VAG CX 50 BG AL X 40 G + 7 APLIC VAG DESCART (EMB HOSP); PZ8
1256801080049; NITRATO DE ISOCONAZOL; NITRATO ISOCONAZOL; NITRATO ISOCONAZOL; 10MG/G CREM DERM CT BG PLAS OPC X 20G; PZ8
1256801080030; NITRATO DE ISOCONAZOL; NITRATO ISOCONAZOL; NITRATO ISOCONAZOL; 10 MG/G CREM DERM CT BG AL X 20 G; PZ8
1256801080022; NITRATO DE ISOCONAZOL; NITRATO ISOCONAZOL; NITRATO ISOCONAZOL; 10 MG/G CREM DERM CX 100 BG PLAS OPC X 20 G (EMB HOSP); PZ8
1256801080014; NITRATO DE ISOCONAZOL; NITRATO ISOCONAZOL; NITRATO ISOCONAZOL; 10 MG/G CREM DERM CX 100 BG AL X 20 G (EMB HOSP); PZ8
1256801120024; NITRATO DE ISOCONAZOL; NITRATO ISOCONAZOL; NITRATO ISOCONAZOL; 10 MG/G CREM VAG CT BG AL X 40 G + 7 APLIC VAG DESCART ; PZ8
1256801120016; NITRATO DE ISOCONAZOL; NITRATO ISOCONAZOL; NITRATO ISOCONAZOL; 10MG/G CREM VAG CT BG PLAS OPC X 40G + 7 APLIC VAG DESCART; PZ8
1256801120032; NITRATO DE ISOCONAZOL; NITRATO ISOCONAZOL; NITRATO ISOCONAZOL; 10 MG/G CREM VAG CX 50 BG PLAS OPC X 40 G +7 APLIC VAG DESCART (EMB HOSP); PZ8
1256800570018; NITRATO DE MICONAZOL; NITRATO MICONAZOL; NITRATO MICONAZOL; 20 MG/G LOC CT FR PLAST X 30 G; PZ8
1256800570026; NITRATO DE MICONAZOL; NITRATO MICONAZOL; NITRATO MICONAZOL; 20 MG/G LOC CX 200 FR PLAST X 30 G (EMB HOSP); PZ8
SI/NC; NITRATO DE MICONAZOL; NITRATO MICONAZOL; NITRATO MICONAZOL; 2% CREME VAGINAL 80G GENERICO; PZ8
1256800530024; NITRATO DE MICONAZOL; NITRATO MICONAZOL; NITRATO MICONAZOL; 20 MG/G CREM VAG CT BG AL X 80 G C/ APLIC VAG; PZ8
1256800530032; NITRATO DE MICONAZOL; NITRATO MICONAZOL; NITRATO MICONAZOL; 20 MG/G CREM VAG CX 50 BG AL X 80 G C/ 50 APLIC VAG (EMB HOSP); PZ8
1256800530016; NITRATO DE MICONAZOL; NITRATO MICONAZOL; NITRATO MICONAZOL; 20 MG/G CREM VAG CX 50 BG AL X 60 G C/ APLIC VAG (EMB HOSP); PZ8
1256801840019; NITRATO DE MICONAZOL; NITRATO MICONAZOL; NITRATO MICONAZOL; 20 MG/G CREM DERM CT BG AL X 28 G; PZ8
1256801840027; NITRATO DE MICONAZOL; NITRATO MICONAZOL; NITRATO MICONAZOL; 20 MG/G CREM DERM CX 100 BG AL X 28 G (EMB HOSP); PZ8
1256801840035; NITRATO DE MICONAZOL; NITRATO MICONAZOL; NITRATO MICONAZOL; 20 MG/G CREM DERM CT BG AL X 30 G; PZ8
1256801840043; NITRATO DE MICONAZOL; NITRATO MICONAZOL; NITRATO MICONAZOL; 20 MG/G CREM DERM CX 100 BG AL X 30 G (EMB HOSP); PZ8
1256800530040; NITRATO DE MICONAZOL; NITRATO MICONAZOL; NITRATO MICONAZOL; 20 MG/G CREM VAG CT BG AL X 80 G C/ 14 APLIC VAG; PZ8
1256800530059; NITRATO DE MICONAZOL; NITRATO MICONAZOL; NITRATO MICONAZOL; 20 MG/G CREM VAG CX 50 BG AL X 80 G C/ 700 APLIC VAG (EMB HOSP); PZ8
1256801130011; NITRATO DE OXICONAZOL; NITRATO OXICONAZOL; NITRATO OXICONAZOL; 10 MG/ML SOL TOP CT FR PLAS OPC GOT X 20 ML ; PZ8
1256801130021; NITRATO DE OXICONAZOL; NITRATO OXICONAZOL; NITRATO OXICONAZOL; 10 MG/ML SOL TOP CX 200 FR PLAS OPC GOT X 20 ML (EMB HOSP); PZ8
1256801160042; NITRATO DE OXICONAZOL; NITRATO OXICONAZOL; NITRATO OXICONAZOL; 10 MG/G CREM DERM CX 100 BG AL X 20 G (EMB HOSP); PZ8
1256801160026; NITRATO DE OXICONAZOL; NITRATO OXICONAZOL; NITRATO OXICONAZOL; 10 MG/G CREM DERM CT BG PLAS OPC X 20 G; PZ8
1256801160018; NITRATO DE OXICONAZOL; NITRATO OXICONAZOL; NITRATO OXICONAZOL; 10 MG/G CREM DERM CX 100 BG PLAS OPC X 20 G (EMB HOSP); PZ8
1256801160034; NITRATO DE OXICONAZOL; NITRATO OXICONAZOL; NITRATO OXICONAZOL; 10 MG/G CREM DERM CT BG AL X 20G ; PZ8
1256801540023; NORFLOXACINO; NORFLOXACINO; NORFLOXACINO; 400 MG COM REV CT BL AL PLAS LEIT X 140; PZ8
1256801540066; NORFLOXACINO; NORFLOXACINO; NORFLOXACINO; 400 MG COM REV CT BL AL PLAS LEIT X 14; PZ8
1256801540031; NORFLOXACINO; NORFLOXACINO; NORFLOXACINO; 400 MG COM REV CT BL AL PLAS LEIT X 280 (EMB HOSP); PZ8
1256801540058; NORFLOXACINO; NORFLOXACINO; NORFLOXACINO; 400 MG COM REV CT BL AL PLAS LEIT X 7 ; PZ8
1256801540015; NORFLOXACINO; NORFLOXACINO; NORFLOXACINO; 400 MG COM REV CT BL AL PLAS LEIT X 70; PZ8
1256801540041; NORFLOXACINO; NORFLOXACINO; NORFLOXACINO; 400 MG COM REV CT BL AL PLAS LEIT X 420 (EMB HOSP) ; PZ8
