508007801154110, GANCICLOVIR SÓDICO, GANCICLOVIR SODICO, GANCICLOVIR SODICO, 500 MG PO LIOF INJ CT 1 FA VD INC + DIL AMP PLAST INC X 10 ML, EUF
508007802150119, GANCICLOVIR SÓDICO, GANCICLOVIR SODICO, GANCICLOVIR SODICO, 500 MG PO LIOF INJ CT 25 FA VD INC + 25 DIL AMP PLAST INC X 10 ML, EUF
508007803157117, GANCICLOVIR SÓDICO, GANCICLOVIR SODICO, GANCICLOVIR SODICO, 500 MG PO LIOF INJ CT 50 FA VD INC +50 DIL AMP PLAST INC X 10 ML, EUF
508019101111110, GLIMEPIRIDA, GLIMEPIRIDA, GLIMEPIRIDA, 2 MG COM CT BL AL PLAS INC X 30, EUF
508019102116116, GLIMEPIRIDA, GLIMEPIRIDA, GLIMEPIRIDA, 4 MG CT C/ 30 CPR, EUF
508008101156410, GRANULEN, GRANULEN, NOT FOUND, FR AMP SOL INJ X 5, EUF
508007801154110, GANCICLOVIR SÓDICO, GANCICLOVIR SODICO, GANCICLOVIR SODICO, 500 MG PO LIOF INJ CT 1 FA VD INC + DIL AMP PLAST INC X 10 ML, EUF
508007802150119, GANCICLOVIR SÓDICO, GANCICLOVIR SODICO, GANCICLOVIR SODICO, 500 MG PO LIOF INJ CT 25 FA VD INC + 25 DIL AMP PLAST INC X 10 ML, EUF
508007803157117, GANCICLOVIR SÓDICO, GANCICLOVIR SODICO, GANCICLOVIR SODICO, 500 MG PO LIOF INJ CT 50 FA VD INC +50 DIL AMP PLAST INC X 10 ML, EUF
508019101111110, GLIMEPIRIDA, GLIMEPIRIDA, GLIMEPIRIDA, 2 MG COM CT BL AL PLAS INC X 30, EUF
508019102116116, GLIMEPIRIDA, GLIMEPIRIDA, GLIMEPIRIDA, 4 MG CT C/ 30 CPR, EUF
508008101156410, GRANULEN, GRANULEN, NOT FOUND, FR AMP SOL INJ X 5, EUF
508007801154110, GANCICLOVIR SÓDICO, GANCICLOVIR SODICO, GANCICLOVIR SODICO, 500 MG PO LIOF INJ CT 1 FA VD INC + DIL AMP PLAST INC X 10 ML, EUF
508007802150119, GANCICLOVIR SÓDICO, GANCICLOVIR SODICO, GANCICLOVIR SODICO, 500 MG PO LIOF INJ CT 25 FA VD INC + 25 DIL AMP PLAST INC X 10 ML, EUF
508007803157117, GANCICLOVIR SÓDICO, GANCICLOVIR SODICO, GANCICLOVIR SODICO, 500 MG PO LIOF INJ CT 50 FA VD INC +50 DIL AMP PLAST INC X 10 ML, EUF
508019101111110, GLIMEPIRIDA, GLIMEPIRIDA, GLIMEPIRIDA, 2 MG COM CT BL AL PLAS INC X 30, EUF
508019102116116, GLIMEPIRIDA, GLIMEPIRIDA, GLIMEPIRIDA, 4 MG CT C/ 30 CPR, EUF
508008101156410, GRANULEN, GRANULEN, NOT FOUND, FR AMP SOL INJ X 5, EUF
508007801154110, GANCICLOVIR SÓDICO, GANCICLOVIR SODICO, GANCICLOVIR SODICO, 500 MG PO LIOF INJ CT 1 FA VD INC + DIL AMP PLAST INC X 10 ML, EUF
508007802150119, GANCICLOVIR SÓDICO, GANCICLOVIR SODICO, GANCICLOVIR SODICO, 500 MG PO LIOF INJ CT 25 FA VD INC + 25 DIL AMP PLAST INC X 10 ML, EUF
508007803157117, GANCICLOVIR SÓDICO, GANCICLOVIR SODICO, GANCICLOVIR SODICO, 500 MG PO LIOF INJ CT 50 FA VD INC +50 DIL AMP PLAST INC X 10 ML, EUF
508019101111110, GLIMEPIRIDA, GLIMEPIRIDA, GLIMEPIRIDA, 2 MG COM CT BL AL PLAS INC X 30, EUF
508019102116116, GLIMEPIRIDA, GLIMEPIRIDA, GLIMEPIRIDA, 4 MG CT C/ 30 CPR, EUF
508008101156410, GRANULEN, GRANULEN, NOT FOUND, FR AMP SOL INJ X 5, EUF
508007801154110, GANCICLOVIR SÓDICO, GANCICLOVIR SODICO, GANCICLOVIR SODICO, 500 MG PO LIOF INJ CT 1 FA VD INC + DIL AMP PLAST INC X 10 ML, EUF
508007802150119, GANCICLOVIR SÓDICO, GANCICLOVIR SODICO, GANCICLOVIR SODICO, 500 MG PO LIOF INJ CT 25 FA VD INC + 25 DIL AMP PLAST INC X 10 ML, EUF
508007803157117, GANCICLOVIR SÓDICO, GANCICLOVIR SODICO, GANCICLOVIR SODICO, 500 MG PO LIOF INJ CT 50 FA VD INC +50 DIL AMP PLAST INC X 10 ML, EUF
508019101111110, GLIMEPIRIDA, GLIMEPIRIDA, GLIMEPIRIDA, 2 MG COM CT BL AL PLAS INC X 30, EUF
508019102116116, GLIMEPIRIDA, GLIMEPIRIDA, GLIMEPIRIDA, 4 MG CT C/ 30 CPR, EUF
508008101156410, GRANULEN, GRANULEN, NOT FOUND, FR AMP SOL INJ X 5, EUF
508008101156410, GRANULEN, GRANULEN, NOT FOUND, 30 MU/ML SOL INJ CX 5 FA VD INC X 1 ML, EUF
508007801154110, GANCICLOVIR SÓDICO, GANCICLOVIR SODICO, GANCICLOVIR SODICO, 500 MG PO LIOF INJ CT 1 FA VD INC + DIL AMP VD INC X 10 ML, EUF
508007802150119, GANCICLOVIR SÓDICO, GANCICLOVIR SODICO, GANCICLOVIR SODICO, 500 MG PO LIOF INJ CT 25 FA VD INC + 25 DIL AMP PLAS INC X 10 ML (EMB HOSP), EUF
508007803157117, GANCICLOVIR SÓDICO, GANCICLOVIR SODICO, GANCICLOVIR SODICO, 500 MG PO LIOF INJ CT 50 FA VD INC + 50 DIL AMP PLAS INC X 10 ML ( EMB HOSP), EUF
508019101111110, GLIMEPIRIDA, GLIMEPIRIDA, GLIMEPIRIDA, 2 MG COM CT BL AL PLAS INC X 30, EUF
508019102116116, GLIMEPIRIDA, GLIMEPIRIDA, GLIMEPIRIDA, 4 MG COM CT BL AL PLAS INC X 30, EUF
508008101156410, GRANULEN, GRANULEN, NOT FOUND, 30 MU/ML SOL INJ CX 5 FA VD INC X 1 ML, EUF
508007801154110, GANCICLOVIR SÓDICO, GANCICLOVIR SODICO, GANCICLOVIR SODICO, 500 MG PO LIOF INJ CT 1 FA VD INC + DIL AMP VD INC X 10 ML, EUF
508007802150119, GANCICLOVIR SÓDICO, GANCICLOVIR SODICO, GANCICLOVIR SODICO, 500 MG PO LIOF INJ CT 25 FA VD INC + 25 DIL AMP PLAS INC X 10 ML (EMB HOSP), EUF
508007803157117, GANCICLOVIR SÓDICO, GANCICLOVIR SODICO, GANCICLOVIR SODICO, 500 MG PO LIOF INJ CT 50 FA VD INC + 50 DIL AMP PLAS INC X 10 ML ( EMB HOSP), EUF
508019101111110, GLIMEPIRIDA, GLIMEPIRIDA, GLIMEPIRIDA, 2 MG COM CT BL AL PLAS INC X 30, EUF
508019102116116, GLIMEPIRIDA, GLIMEPIRIDA, GLIMEPIRIDA, 4 MG COM CT BL AL PLAS INC X 30, EUF
