1006302180022; MONOCEF; MONOCEF; NOT FOUND; 750 MG PO INJ IM/IV CX 50 FA VD INC; I_B
1006302290146; MEROPENÉM TRI-HIDRATADO; MEROPENEM TRI HIDRATADO; NOT FOUND; 1 G PO SOL INJ CT FA VD TRANS X 20 ML + BOLS PLAS TRANS SIST FECH X 100 ML (EMB HOSP); I_B
1006302290154; MEROPENÉM TRI-HIDRATADO; MEROPENEM TRI HIDRATADO; NOT FOUND; 1 G PO SOL INJ CX 10 FA VD TRANS X 20 ML + 10 BOLS PLAS TRANS SIST FECH X 100 ML (EMB HOSP); I_B
1006302290162; MEROPENÉM TRI-HIDRATADO; MEROPENEM TRI HIDRATADO; NOT FOUND; 1 G PO SOL INJ CX 50 FA VD TRANS X 20 ML + 50 BOLS PLAS TRANS SIST FECH X 100 ML (EMB HOSP); I_B
1006302290138; MEROPENÉM TRI-HIDRATADO; MEROPENEM TRI HIDRATADO; NOT FOUND; 1 G PO SOL INJ CX 100 FA VD TRANS X 20 ML; I_B
1006301900021; MEPENOX; MEPENOX; NOT FOUND; 1 G PO INJ CX 10 FA VD INC; I_B
1006301900013; MEPENOX; MEPENOX; NOT FOUND; 500 MG PO INJ CT 10 FA VD INC; I_B
1006301900056; MEPENOX; MEPENOX; NOT FOUND; 1 G PO INJ CT FA VD INC MONOVIAL  ; I_B
1006301900064; MEPENOX; MEPENOX; NOT FOUND; 1 G PO INJ CT 10 FA VD INC MONOVIAL ; I_B
1006301900031; MEPENOX; MEPENOX; NOT FOUND; 500 MG PO INJ CT FA VD INC MONOVIAL ; I_B
1006301900048; MEPENOX; MEPENOX; NOT FOUND; 500 MG PO INJ CX 10 FA VD INC MONOVIAL  ; I_B
1006301900110; MEPENOX; MEPENOX; NOT FOUND; 1 G PO INJ CT FA VD INC + BOLS PVC FLEX X 100ML (SIST FEC) (EMB HOSP) ; I_B
1006301900137; MEPENOX; MEPENOX; NOT FOUND; 1 G PO INJ CX 10 FA VD INC + 10 BOLS PVC FLEX X 100ML (SIST FEC) (EMB HOSP); I_B
1006301900145; MEPENOX; MEPENOX; NOT FOUND; 1 G PO INJ CX 50 FA VD INC + 50 BOLS PVC FLEX X 100ML (SIST FEC) (EMB HOSP); I_B
1006301900129; MEPENOX; MEPENOX; NOT FOUND; 1 G PO INJ CX 50 FA VD INC ; I_B
1006301900080; MEPENOX; MEPENOX; NOT FOUND; 500 MG PO INJ CT FA VD INC + BOLS PVC FLEX X 100ML (SIST FEC) (EMB HOSP); I_B
1006301900099; MEPENOX; MEPENOX; NOT FOUND; 500 MG PO INJ CX 10 FA VD INC + 10 BOLS PVC FLEX X 100ML (SIST FEC) (EMB HOSP); I_B
1006301900072; MEPENOX; MEPENOX; NOT FOUND; 500 MG PO INJ CX 50 FA VD INC; I_B
1006301900102; MEPENOX; MEPENOX; NOT FOUND; 500 MG PO INJ CX 50 FA VD INC + 50 BOLS PVC FLEX X 100ML (SIST FEC) (EMB HOSP); I_B
1006302280019; MOFILEN; MOFILEN; NOT FOUND; 500 MG COM REV CT BL AL/AL X 50; I_B
1006302280027; MOFILEN; MOFILEN; NOT FOUND; 500 MG COM REV CT BL AL/AL X 100; I_B
1006302280035; MOFILEN; MOFILEN; NOT FOUND; 500 MG COM REV CT BL AL/AL X 200 (EMB HOSP); I_B
1006302280043; MOFILEN; MOFILEN; NOT FOUND; 500 MG COM REV CT BL AL/AL X 500 (EMB HOSP); I_B
