520729501163115, BACITRACINA ZÍNCICA + SULFATO DE NEOMICINA, BACITRACINA ZINCICA SULFATO NEOMICINA, NOT FOUND, 5MG/G + 250 UI/G POM DERM CX 50 BG AL X 15 G (EMB HOSP), TTB
520703703117110, BESILATO DE ANLODIPINO, BESILATO ANLODIPINO, BESILATO ANLODIPINO, 10 MG COM CT BL AL PLAS AMB X 30, TTB
520703701114114, BESILATO DE ANLODIPINO, BESILATO ANLODIPINO, BESILATO ANLODIPINO, 5 MG COM  BL AL PLAS OPC X 20, TTB
520703702110112, BESILATO DE ANLODIPINO, BESILATO ANLODIPINO, BESILATO ANLODIPINO, 5 MG COM BL AL PLAS OPC X 30, TTB
520727402117119, BROMAZEPAM, BROMAZEPAM, BROMAZEPAM, 3 MG COM CT BL AL PLAS INC X 100 (EMB HOSP), TTB
520727403113117, BROMAZEPAM, BROMAZEPAM, BROMAZEPAM, 3 MG COM CT BL AL PLAS INC X 20 , TTB
520727401110110, BROMAZEPAM, BROMAZEPAM, BROMAZEPAM, 3 MG COM CT BL AL PLAS INC X 30, TTB
520727404111118, BROMAZEPAM, BROMAZEPAM, BROMAZEPAM, 6 MG COM CT BL AL PLAS INC X 100 (EMB HOSP), TTB
520727405116113, BROMAZEPAM, BROMAZEPAM, BROMAZEPAM, 6 MG COM CT BL AL PLAS INC X 20 , TTB
520727406112111, BROMAZEPAM, BROMAZEPAM, BROMAZEPAM, 6 MG COM CT BL AL PLAS INC X 30, TTB
520724901171114, BROMETO DE IPRATRÓPIO, BROMETO IPRATROPIO, BROMETO IPRATROPIO, 0.25 MG/ML SOL INAL CT FR VD AMB GOT X 20 ML , TTB
520724902178112, BROMETO DE IPRATRÓPIO, BROMETO IPRATROPIO, BROMETO IPRATROPIO, 0.25 MG/ML SOL INAL CX 100 FR VD AMB GOT X 20 ML (EMB HOSP), TTB
520714120093306, BROMETO DE PINAVERIO, BROMETO PINAVERIO, BROMETO PINAVERIO, 100 MG COM REV CT BL AL PLAS PVC OPC X 30, TTB
520714120093406, BROMETO DE PINAVERIO, BROMETO PINAVERIO, BROMETO PINAVERIO, 100 MG COM REV CT BL AL PLAS PVC OPC X 60, TTB
520712120086006, BROMETO DE PINAVERIO, BROMETO PINAVERIO, BROMETO PINAVERIO, 50 MG COM REV CT BL AL PLAS PVC TRANS X 10, TTB
520712120086106, BROMETO DE PINAVERIO, BROMETO PINAVERIO, BROMETO PINAVERIO, 50 MG COM REV CT BL AL PLAS PVC TRANS X 20, TTB
520712120086206, BROMETO DE PINAVERIO, BROMETO PINAVERIO, BROMETO PINAVERIO, 50 MG COM REV CT BL AL PLAS PVC TRANS X 30, TTB
520712120086306, BROMETO DE PINAVERIO, BROMETO PINAVERIO, BROMETO PINAVERIO, 50 MG COM REV CT BL AL PLAS PVC TRANS X 60, TTB
520729601133110, BROMIDRATO DE FENOTEROL, BROMIDRATO FENOTEROL, BROMIDRATO FENOTEROL, 5 MG/ML SOL OR CT FR VD AMB X 20 ML + CGT , TTB
520729602131111, BROMIDRATO DE FENOTEROL, BROMIDRATO FENOTEROL, BROMIDRATO FENOTEROL, 5 MG/ML SOL OR CX 100 FR VD AMB X 20 ML + CGT (EMB HOSP), TTB
520723501137115, BROMOPRIDA, BROMOPRIDA, BROMOPRIDA, 4 MG/ML SOL OR CT FR VD AMB X 20 ML + GOT, TTB
520703101117414, BENEUM, BENEUM, NOT FOUND, 300 MG COM REV CT BL AL PLAS INC X 30, TTB
520703102113412, BENEUM, BENEUM, NOT FOUND, 300 MG COM REV CT BL AL PLAS INC X 50 (EMB HOSP), TTB
520702803134418, BACTERACIN, BACTERACIN, NOT FOUND, 40 MG/ML + 8 MG / ML SUS OR CT FR VD AMB X 100 ML + COP, TTB
520702804130416, BACTERACIN, BACTERACIN, NOT FOUND, 40 MG/ML + 8 MG/ML SUS OR CT FR PLAS AMB X 100ML + COP, TTB
520702805110419, BACTERACIN, BACTERACIN, NOT FOUND, 400 MG + 80 MG COM CT BL AL PLAS INC X 20, TTB
520702801115416, BACTERACIN, BACTERACIN, NOT FOUND, 400 MG + 80 MG COM CT ENV PAP PLAS X 12, TTB
520702901111412, BACTERACIN, BACTERACIN, NOT FOUND, 800 MG + 160 MG COM CT BL AL PLAS TRANS X 10, TTB
520703201162411, BENEVAT, BENEVAT, NOT FOUND, 1 MG/G CREM DERM CT BG AL X 30 G, TTB
