520712701113419, LABIGERON, LABIGERON, NOT FOUND, COMP. 25 MG - CX. C/ 30, TTB
520728401114114, LORAZEPAM, LORAZEPAM, LORAZEPAM, 2 MG COM CT BL AL PLAS INC X 100 (EMB HOSP), TTB
520728402110112, LORAZEPAM, LORAZEPAM, LORAZEPAM, 2 MG COM CT BL AL PLAS INC X 30, TTB
520727901113119, LOSARTANA POTÁSSICA, LOSARTANA POTASSICA, LOSARTANA POTASSICA, 50 MG COM REV CT BL AL PLAS BCO OPC X 30, TTB
520727903116115, LOSARTANA POTÁSSICA, LOSARTANA POTASSICA, LOSARTANA POTASSICA, 50 MG COM REV CT BL AL PLAS BCO OPC X 60, TTB
520727902111111, LOSARTANA POTÁSSICA, LOSARTANA POTASSICA, LOSARTANA POTASSICA, 50 MG COM REV CT BL AL PLAS BCO OPC X 75 (EMB HOSP), TTB
520705401150413, LOSPORIN, LOSPORIN, NOT FOUND, 1G PO SOL INJ CT FR AMP VD AMB + AMP DIL X 4ML, TTB
520730101114412, LOTANOL, LOTANOL, NOT FOUND, 50 MG COM REV BL AL PLAS OPC X 30, TTB
520730102110410, LOTANOL, LOTANOL, NOT FOUND, 50 MG COM REV BL AL PLAS OPC X 60, TTB
520713901116411, LOZAN, LOZAN, NOT FOUND, COMP 200 MG CX C/ 10, TTB
520713902112418, LOZAN, LOZAN, NOT FOUND, COMP 200 MG CX C/ 30, TTB
520713903161412, LOZAN, LOZAN, NOT FOUND, CREME 2% BISN X 30 G, TTB
520713904174410, LOZAN, LOZAN, NOT FOUND, SHAMP X 100ML, TTB
520712701113419, LABIGERON, LABIGERON, NOT FOUND, COMP. 25 MG - CX. C/ 30, TTB
520712702111411, LABIGERON, LABIGERON, NOT FOUND, COMP. 75 MG - CX. C/ 30, TTB
520712801118412, LANOGASTRO, LANOGASTRO, NOT FOUND, CAPS 30MG CX C/07, TTB
520712802114410, LANOGASTRO, LANOGASTRO, NOT FOUND, CAPS 30MG CX C/14, TTB
520705603136411, LESTAMIL, LESTAMIL, NOT FOUND, 2 MG/5 ML + 0.25MG/5 ML XPE CT FR PET AMB X 120 ML + COP MED, TTB
520705602131416, LESTAMIL, LESTAMIL, NOT FOUND, 2 MG/5 ML + 0.25MG/5 ML XPE CT FR VD AMB X 120 ML , TTB
520705601117411, LESTAMIL, LESTAMIL, NOT FOUND, 2MG + 0.25MG COM CT BLIS AL PLAS INC X 15, TTB
520713004130417, LEXIN, LEXIN, NOT FOUND, 50 MG/ML PO SUS OR CT FR VD AMB X 100 ML + COP MED, TTB
520713001115417, LEXIN, LEXIN, NOT FOUND, COMP 500MG CX C/10, TTB
520713002138410, LEXIN, LEXIN, NOT FOUND, SUSP 250MG/5ML CX C/50 FR X 60ML, TTB
520713003134419, LEXIN, LEXIN, NOT FOUND, SUSP ORAL 250MG/5ML FR X 60ML, TTB
520713301151419, LINCOMYN, LINCOMYN, NOT FOUND, SOL INJ 600MG/ML C/1AMP, TTB
520713401113111, LISINOPRIL, LISINOPRIL, LISINOPRIL, COMP. 10 MG - CX C/ 30, TTB
520713402111110, LISINOPRIL, LISINOPRIL, LISINOPRIL, COMP. 20 MG - CX C/ 30, TTB
520713403116116, LISINOPRIL, LISINOPRIL, LISINOPRIL, COMP. 5 MG - CX C/ 30, TTB
520713501118415, LISONOTEC, LISONOTEC, NOT FOUND, COMP. 20 MG-12.5 MG - CX. C/ 30, TTB
520722501117418, LOPERIN, LOPERIN, NOT FOUND, 2 MG COM CT BL AL PLAS INC X 12, TTB
520722502113416, LOPERIN, LOPERIN, NOT FOUND, 2 MG COM CT BL AL PLAS INC X 200 (EMB HOSP), TTB
520713601112419, LOPRAZOL, LOPRAZOL, NOT FOUND, CAPS 10MG CX C/14, TTB
520713602119417, LOPRAZOL, LOPRAZOL, NOT FOUND, CAPS 20MG CX C/07, TTB
520713603115415, LOPRAZOL, LOPRAZOL, NOT FOUND, CAPS 20MG CX C/14, TTB
520713701117412, LORADINE, LORADINE, NOT FOUND, COMP 10MG CX C/12, TTB
520726801131117, LORATADINA + SULFATO DE PSEUDOEFEDRINA, LORATADINA SULFATO PSEUDOEFEDRINA, NOT FOUND, 1 MG/ML + 12 MG/ML XPE CT FR VD AMB X 60 ML + CP MED, TTB
520728401114114, LORAZEPAM, LORAZEPAM, LORAZEPAM, 2 MG COM CT BL AL PLAS INC X 100 (EMB HOSP), TTB
520728402110112, LORAZEPAM, LORAZEPAM, LORAZEPAM, 2 MG COM CT BL AL PLAS INC X 30, TTB
520727901113119, LOSARTANA POTÁSSICA, LOSARTANA POTASSICA, LOSARTANA POTASSICA, 50 MG COM REV CT BL AL PLAS BCO OPC X 30, TTB
520727903116115, LOSARTANA POTÁSSICA, LOSARTANA POTASSICA, LOSARTANA POTASSICA, 50 MG COM REV CT BL AL PLAS BCO OPC X 60, TTB
520727902111111, LOSARTANA POTÁSSICA, LOSARTANA POTASSICA, LOSARTANA POTASSICA, 50 MG COM REV CT BL AL PLAS BCO OPC X 75 (EMB HOSP), TTB
520705401150413, LOSPORIN, LOSPORIN, NOT FOUND, 1G PO SOL INJ CT FR AMP VD AMB + AMP DIL X 4ML, TTB
520730101114412, LOTANOL, LOTANOL, NOT FOUND, 50 MG COM REV BL AL PLAS OPC X 30, TTB
520730102110410, LOTANOL, LOTANOL, NOT FOUND, 50 MG COM REV BL AL PLAS OPC X 60, TTB
520713901116411, LOZAN, LOZAN, NOT FOUND, COMP 200 MG CX C/ 10, TTB
520713902112418, LOZAN, LOZAN, NOT FOUND, COMP 200 MG CX C/ 30, TTB
520713903161412, LOZAN, LOZAN, NOT FOUND, CREME 2% BISN X 30 G, TTB
520713904174410, LOZAN, LOZAN, NOT FOUND, SHAMP X 100ML, TTB
520712701113419, LABIGERON, LABIGERON, NOT FOUND, COMP. 25 MG - CX. C/ 30, TTB
520712702111411, LABIGERON, LABIGERON, NOT FOUND, COMP. 75 MG - CX. C/ 30, TTB
520712801118412, LANOGASTRO, LANOGASTRO, NOT FOUND, CAPS 30MG CX C/07, TTB
520712802114410, LANOGASTRO, LANOGASTRO, NOT FOUND, CAPS 30MG CX C/14, TTB
520705603136411, LESTAMIL, LESTAMIL, NOT FOUND, 2 MG/5 ML + 0.25MG/5 ML XPE CT FR PET AMB X 120 ML + COP MED, TTB
520705602131416, LESTAMIL, LESTAMIL, NOT FOUND, 2 MG/5 ML + 0.25MG/5 ML XPE CT FR VD AMB X 120 ML , TTB
520705601117411, LESTAMIL, LESTAMIL, NOT FOUND, 2MG + 0.25MG COM CT BLIS AL PLAS INC X 15, TTB
520713004130417, LEXIN, LEXIN, NOT FOUND, 50 MG/ML PO SUS OR CT FR VD AMB X 100 ML + COP MED, TTB
520713003134419, LEXIN, LEXIN, NOT FOUND, 50 MG/ML PO SUS OR CT FR VD AMB X 60 ML + COP MED , TTB
520713002138410, LEXIN, LEXIN, NOT FOUND, 50 MG/ML PO SUS OR CX 50 FR VD AMB X 60 ML + 50 COP MED (EMB HOSP) , TTB
520713001115417, LEXIN, LEXIN, NOT FOUND, COMP 500MG CX C/10, TTB
520713301151419, LINCOMYN, LINCOMYN, NOT FOUND, SOL INJ 600MG/ML C/1AMP, TTB
520713401113111, LISINOPRIL, LISINOPRIL, LISINOPRIL, COMP. 10 MG - CX C/ 30, TTB
520713402111110, LISINOPRIL, LISINOPRIL, LISINOPRIL, COMP. 20 MG - CX C/ 30, TTB
520713403116116, LISINOPRIL, LISINOPRIL, LISINOPRIL, COMP. 5 MG - CX C/ 30, TTB
520713501118415, LISONOTEC, LISONOTEC, NOT FOUND, COMP. 20 MG-12.5 MG - CX. C/ 30, TTB
520722501117418, LOPERIN, LOPERIN, NOT FOUND, 2 MG COM CT BL AL PLAS INC X 12, TTB
520722502113416, LOPERIN, LOPERIN, NOT FOUND, 2 MG COM CT BL AL PLAS INC X 200 (EMB HOSP), TTB
520713601112419, LOPRAZOL, LOPRAZOL, NOT FOUND, CAPS 10MG CX C/14, TTB
520713602119417, LOPRAZOL, LOPRAZOL, NOT FOUND, CAPS 20MG CX C/07, TTB
520713603115415, LOPRAZOL, LOPRAZOL, NOT FOUND, CAPS 20MG CX C/14, TTB
520713701117412, LORADINE, LORADINE, NOT FOUND, COMP 10MG CX C/12, TTB
520726801131117, LORATADINA + SULFATO DE PSEUDOEFEDRINA, LORATADINA SULFATO PSEUDOEFEDRINA, NOT FOUND, 1 MG/ML + 12 MG/ML XPE CT FR VD AMB X 60 ML + CP MED, TTB
520728401114114, LORAZEPAM, LORAZEPAM, LORAZEPAM, 2 MG COM CT BL AL PLAS INC X 100 (EMB HOSP), TTB
520728402110112, LORAZEPAM, LORAZEPAM, LORAZEPAM, 2 MG COM CT BL AL PLAS INC X 30, TTB
520727901113119, LOSARTANA POTÁSSICA, LOSARTANA POTASSICA, LOSARTANA POTASSICA, 50 MG COM REV CT BL AL PLAS BCO OPC X 30, TTB
520727903116115, LOSARTANA POTÁSSICA, LOSARTANA POTASSICA, LOSARTANA POTASSICA, 50 MG COM REV CT BL AL PLAS BCO OPC X 60, TTB
520727902111111, LOSARTANA POTÁSSICA, LOSARTANA POTASSICA, LOSARTANA POTASSICA, 50 MG COM REV CT BL AL PLAS BCO OPC X 75 (EMB HOSP), TTB
520705401150413, LOSPORIN, LOSPORIN, NOT FOUND, 1G PO SOL INJ CT FR AMP VD AMB + AMP DIL X 4ML, TTB
520730101114412, LOTANOL, LOTANOL, NOT FOUND, 50 MG COM REV BL AL PLAS OPC X 30, TTB
520730102110410, LOTANOL, LOTANOL, NOT FOUND, 50 MG COM REV BL AL PLAS OPC X 60, TTB
520713901116411, LOZAN, LOZAN, NOT FOUND, COMP 200 MG CX C/ 10, TTB
520713902112418, LOZAN, LOZAN, NOT FOUND, COMP 200 MG CX C/ 30, TTB
520713903161412, LOZAN, LOZAN, NOT FOUND, CREME 2% BISN X 30 G, TTB
520713904174410, LOZAN, LOZAN, NOT FOUND, SHAMP X 100ML, TTB
520712701113419, LABIGERON, LABIGERON, NOT FOUND, COMP. 25 MG - CX. C/ 30, TTB
520712702111411, LABIGERON, LABIGERON, NOT FOUND, COMP. 75 MG - CX. C/ 30, TTB
520712801118412, LANOGASTRO, LANOGASTRO, NOT FOUND, CAPS 30MG CX C/07, TTB
520712802114410, LANOGASTRO, LANOGASTRO, NOT FOUND, CAPS 30MG CX C/14, TTB
520705603136411, LESTAMIL, LESTAMIL, NOT FOUND, 2 MG/5 ML + 0.25MG/5 ML XPE CT FR PET AMB X 120 ML + COP MED, TTB
520705602131416, LESTAMIL, LESTAMIL, NOT FOUND, 2 MG/5 ML + 0.25MG/5 ML XPE CT FR VD AMB X 120 ML , TTB
520705601117411, LESTAMIL, LESTAMIL, NOT FOUND, 2MG + 0.25MG COM CT BLIS AL PLAS INC X 15, TTB
520713004130417, LEXIN, LEXIN, NOT FOUND, 50 MG/ML PO SUS OR CT FR VD AMB X 100 ML + COP MED, TTB
520713003134419, LEXIN, LEXIN, NOT FOUND, 50 MG/ML PO SUS OR CT FR VD AMB X 60 ML + COP MED , TTB
520713002138410, LEXIN, LEXIN, NOT FOUND, 50 MG/ML PO SUS OR CX 50 FR VD AMB X 60 ML + 50 COP MED (EMB HOSP) , TTB
520713001115417, LEXIN, LEXIN, NOT FOUND, COMP 500MG CX C/10, TTB
520713301151419, LINCOMYN, LINCOMYN, NOT FOUND, SOL INJ 600MG/ML C/1AMP, TTB
520713401113111, LISINOPRIL, LISINOPRIL, LISINOPRIL, COMP. 10 MG - CX C/ 30, TTB
520713402111110, LISINOPRIL, LISINOPRIL, LISINOPRIL, COMP. 20 MG - CX C/ 30, TTB
520713403116116, LISINOPRIL, LISINOPRIL, LISINOPRIL, COMP. 5 MG - CX C/ 30, TTB
520713501118415, LISONOTEC, LISONOTEC, NOT FOUND, COMP. 20 MG-12.5 MG - CX. C/ 30, TTB
520722501117418, LOPERIN, LOPERIN, NOT FOUND, 2 MG COM CT BL AL PLAS INC X 12, TTB
520722502113416, LOPERIN, LOPERIN, NOT FOUND, 2 MG COM CT BL AL PLAS INC X 200 (EMB HOSP), TTB
520713601112419, LOPRAZOL, LOPRAZOL, NOT FOUND, CAPS 10MG CX C/14, TTB
520713602119417, LOPRAZOL, LOPRAZOL, NOT FOUND, CAPS 20MG CX C/07, TTB
520713603115415, LOPRAZOL, LOPRAZOL, NOT FOUND, CAPS 20MG CX C/14, TTB
520713701117412, LORADINE, LORADINE, NOT FOUND, COMP 10MG CX C/12, TTB
520726801131117, LORATADINA + SULFATO DE PSEUDOEFEDRINA, LORATADINA SULFATO PSEUDOEFEDRINA, NOT FOUND, 1 MG/ML + 12 MG/ML XPE CT FR VD AMB X 60 ML + CP MED, TTB
520728401114114, LORAZEPAM, LORAZEPAM, LORAZEPAM, 2 MG COM CT BL AL PLAS INC X 100 (EMB HOSP), TTB
520728402110112, LORAZEPAM, LORAZEPAM, LORAZEPAM, 2 MG COM CT BL AL PLAS INC X 30, TTB
520727901113119, LOSARTANA POTÁSSICA, LOSARTANA POTASSICA, LOSARTANA POTASSICA, 50 MG COM REV CT BL AL PLAS BCO OPC X 30, TTB
520727903116115, LOSARTANA POTÁSSICA, LOSARTANA POTASSICA, LOSARTANA POTASSICA, 50 MG COM REV CT BL AL PLAS BCO OPC X 60, TTB
520727902111111, LOSARTANA POTÁSSICA, LOSARTANA POTASSICA, LOSARTANA POTASSICA, 50 MG COM REV CT BL AL PLAS BCO OPC X 75 (EMB HOSP), TTB
520705401150413, LOSPORIN, LOSPORIN, NOT FOUND, 1G PO SOL INJ CT FR AMP VD AMB + AMP DIL X 4ML, TTB
520730101114412, LOTANOL, LOTANOL, NOT FOUND, 50 MG COM REV BL AL PLAS OPC X 30, TTB
520730102110410, LOTANOL, LOTANOL, NOT FOUND, 50 MG COM REV BL AL PLAS OPC X 60, TTB
520713901116411, LOZAN, LOZAN, NOT FOUND, COMP 200 MG CX C/ 10, TTB
520713902112418, LOZAN, LOZAN, NOT FOUND, COMP 200 MG CX C/ 30, TTB
520713903161412, LOZAN, LOZAN, NOT FOUND, CREME 2% BISN X 30 G, TTB
520713904174410, LOZAN, LOZAN, NOT FOUND, SHAMP X 100ML, TTB
520712701113419, LABIGERON, LABIGERON, NOT FOUND, COMP. 25 MG - CX. C/ 30, TTB
520712702111411, LABIGERON, LABIGERON, NOT FOUND, COMP. 75 MG - CX. C/ 30, TTB
520712801118412, LANOGASTRO, LANOGASTRO, NOT FOUND, CAPS 30MG CX C/07, TTB
520712802114410, LANOGASTRO, LANOGASTRO, NOT FOUND, CAPS 30MG CX C/14, TTB
520705603136411, LESTAMIL, LESTAMIL, NOT FOUND, 2 MG/5 ML + 0.25MG/5 ML XPE CT FR PET AMB X 120 ML + COP MED, TTB
520705602131416, LESTAMIL, LESTAMIL, NOT FOUND, 2 MG/5 ML + 0.25MG/5 ML XPE CT FR VD AMB X 120 ML , TTB
520705601117411, LESTAMIL, LESTAMIL, NOT FOUND, 2MG + 0.25MG COM CT BLIS AL PLAS INC X 15, TTB
520713004130417, LEXIN, LEXIN, NOT FOUND, 50 MG/ML PO SUS OR CT FR VD AMB X 100 ML + COP MED, TTB
520713003134419, LEXIN, LEXIN, NOT FOUND, 50 MG/ML PO SUS OR CT FR VD AMB X 60 ML + COP MED , TTB
520713002138410, LEXIN, LEXIN, NOT FOUND, 50 MG/ML PO SUS OR CX 50 FR VD AMB X 60 ML + 50 COP MED (EMB HOSP) , TTB
520713001115417, LEXIN, LEXIN, NOT FOUND, COMP 500MG CX C/10, TTB
520713301151419, LINCOMYN, LINCOMYN, NOT FOUND, SOL INJ 600MG/ML C/1AMP, TTB
520713401113111, LISINOPRIL, LISINOPRIL, LISINOPRIL, COMP. 10 MG - CX C/ 30, TTB
520713402111110, LISINOPRIL, LISINOPRIL, LISINOPRIL, COMP. 20 MG - CX C/ 30, TTB
520713403116116, LISINOPRIL, LISINOPRIL, LISINOPRIL, COMP. 5 MG - CX C/ 30, TTB
520713501118415, LISONOTEC, LISONOTEC, NOT FOUND, COMP. 20 MG-12.5 MG - CX. C/ 30, TTB
520722501117418, LOPERIN, LOPERIN, NOT FOUND, 2 MG COM CT BL AL PLAS INC X 12, TTB
520722502113416, LOPERIN, LOPERIN, NOT FOUND, 2 MG COM CT BL AL PLAS INC X 200 (EMB HOSP), TTB
520713601112419, LOPRAZOL, LOPRAZOL, NOT FOUND, CAPS 10MG CX C/14, TTB
520713602119417, LOPRAZOL, LOPRAZOL, NOT FOUND, CAPS 20MG CX C/07, TTB
520713603115415, LOPRAZOL, LOPRAZOL, NOT FOUND, CAPS 20MG CX C/14, TTB
520713701117412, LORADINE, LORADINE, NOT FOUND, COMP 10MG CX C/12, TTB
520726801131117, LORATADINA + SULFATO DE PSEUDOEFEDRINA, LORATADINA SULFATO PSEUDOEFEDRINA, NOT FOUND, 1 MG/ML + 12 MG/ML XPE CT FR VD AMB X 60 ML + CP MED, TTB
520728401114114, LORAZEPAM, LORAZEPAM, LORAZEPAM, 2 MG COM CT BL AL PLAS INC X 100 (EMB HOSP), TTB
520728402110112, LORAZEPAM, LORAZEPAM, LORAZEPAM, 2 MG COM CT BL AL PLAS INC X 30, TTB
520727901113119, LOSARTANA POTÁSSICA, LOSARTANA POTASSICA, LOSARTANA POTASSICA, 50 MG COM REV CT BL AL PLAS BCO OPC X 30, TTB
520727903116115, LOSARTANA POTÁSSICA, LOSARTANA POTASSICA, LOSARTANA POTASSICA, 50 MG COM REV CT BL AL PLAS BCO OPC X 60, TTB
520727902111111, LOSARTANA POTÁSSICA, LOSARTANA POTASSICA, LOSARTANA POTASSICA, 50 MG COM REV CT BL AL PLAS BCO OPC X 75 (EMB HOSP), TTB
520705401150413, LOSPORIN, LOSPORIN, NOT FOUND, 1G PO SOL INJ CT FR AMP VD AMB + AMP DIL X 4ML, TTB
520730101114412, LOTANOL, LOTANOL, NOT FOUND, 50 MG COM REV BL AL PLAS OPC X 30, TTB
520730102110410, LOTANOL, LOTANOL, NOT FOUND, 50 MG COM REV BL AL PLAS OPC X 60, TTB
520713901116411, LOZAN, LOZAN, NOT FOUND, COMP 200 MG CX C/ 10, TTB
520713902112418, LOZAN, LOZAN, NOT FOUND, COMP 200 MG CX C/ 30, TTB
520713903161412, LOZAN, LOZAN, NOT FOUND, CREME 2% BISN X 30 G, TTB
520713904174410, LOZAN, LOZAN, NOT FOUND, SHAMP X 100ML, TTB
520712701113419, LABIGERON, LABIGERON, NOT FOUND, COMP. 25 MG - CX. C/ 30, TTB
520712702111411, LABIGERON, LABIGERON, NOT FOUND, COMP. 75 MG - CX. C/ 30, TTB
520712801118412, LANOGASTRO, LANOGASTRO, NOT FOUND, CAPS 30MG CX C/07, TTB
520712802114410, LANOGASTRO, LANOGASTRO, NOT FOUND, CAPS 30MG CX C/14, TTB
520705603136411, LESTAMIL, LESTAMIL, NOT FOUND, 2 MG/5 ML + 0.25MG/5 ML XPE CT FR PET AMB X 120 ML + COP MED, TTB
520705602131416, LESTAMIL, LESTAMIL, NOT FOUND, 2 MG/5 ML + 0.25MG/5 ML XPE CT FR VD AMB X 120 ML , TTB
520705601117411, LESTAMIL, LESTAMIL, NOT FOUND, 2MG + 0.25MG COM CT BLIS AL PLAS INC X 15, TTB
520713004130417, LEXIN, LEXIN, NOT FOUND, 50 MG/ML PO SUS OR CT FR VD AMB X 100 ML + COP MED, TTB
520713003134419, LEXIN, LEXIN, NOT FOUND, 50 MG/ML PO SUS OR CT FR VD AMB X 60 ML + COP MED , TTB
520713002138410, LEXIN, LEXIN, NOT FOUND, 50 MG/ML PO SUS OR CX 50 FR VD AMB X 60 ML + 50 COP MED (EMB HOSP) , TTB
520713001115417, LEXIN, LEXIN, NOT FOUND, COMP 500MG CX C/10, TTB
520713301151419, LINCOMYN, LINCOMYN, NOT FOUND, SOL INJ 600MG/ML C/1AMP, TTB
520713401113111, LISINOPRIL, LISINOPRIL, LISINOPRIL, COMP. 10 MG - CX C/ 30, TTB
520713402111110, LISINOPRIL, LISINOPRIL, LISINOPRIL, COMP. 20 MG - CX C/ 30, TTB
520713403116116, LISINOPRIL, LISINOPRIL, LISINOPRIL, COMP. 5 MG - CX C/ 30, TTB
520713501118415, LISONOTEC, LISONOTEC, NOT FOUND, COMP. 20 MG-12.5 MG - CX. C/ 30, TTB
520722501117418, LOPERIN, LOPERIN, NOT FOUND, 2 MG COM CT BL AL PLAS INC X 12, TTB
520722502113416, LOPERIN, LOPERIN, NOT FOUND, 2 MG COM CT BL AL PLAS INC X 200 (EMB HOSP), TTB
520713601112419, LOPRAZOL, LOPRAZOL, NOT FOUND, CAPS 10MG CX C/14, TTB
520713602119417, LOPRAZOL, LOPRAZOL, NOT FOUND, CAPS 20MG CX C/07, TTB
520713603115415, LOPRAZOL, LOPRAZOL, NOT FOUND, CAPS 20MG CX C/14, TTB
520713701117412, LORADINE, LORADINE, NOT FOUND, COMP 10MG CX C/12, TTB
520726801131117, LORATADINA + SULFATO DE PSEUDOEFEDRINA, LORATADINA SULFATO PSEUDOEFEDRINA, NOT FOUND, 1 MG/ML + 12 MG/ML XPE CT FR VD AMB X 60 ML + CP MED, TTB
520728401114114, LORAZEPAM, LORAZEPAM, LORAZEPAM, 2 MG COM CT BL AL PLAS INC X 100 (EMB HOSP), TTB
520728402110112, LORAZEPAM, LORAZEPAM, LORAZEPAM, 2 MG COM CT BL AL PLAS INC X 30, TTB
520727901113119, LOSARTANA POTÁSSICA, LOSARTANA POTASSICA, LOSARTANA POTASSICA, 50 MG COM REV CT BL AL PLAS BCO OPC X 30, TTB
520727903116115, LOSARTANA POTÁSSICA, LOSARTANA POTASSICA, LOSARTANA POTASSICA, 50 MG COM REV CT BL AL PLAS BCO OPC X 60, TTB
520727902111111, LOSARTANA POTÁSSICA, LOSARTANA POTASSICA, LOSARTANA POTASSICA, 50 MG COM REV CT BL AL PLAS BCO OPC X 75 (EMB HOSP), TTB
520705401150413, LOSPORIN, LOSPORIN, NOT FOUND, 1G PO SOL INJ CT FR AMP VD AMB + AMP DIL X 4ML, TTB
520730101114412, LOTANOL, LOTANOL, NOT FOUND, 50 MG COM REV BL AL PLAS OPC X 30, TTB
520730102110410, LOTANOL, LOTANOL, NOT FOUND, 50 MG COM REV BL AL PLAS OPC X 60, TTB
520713901116411, LOZAN, LOZAN, NOT FOUND, COMP 200 MG CX C/ 10, TTB
520713902112418, LOZAN, LOZAN, NOT FOUND, COMP 200 MG CX C/ 30, TTB
520713903161412, LOZAN, LOZAN, NOT FOUND, CREME 2% BISN X 30 G, TTB
520713904174410, LOZAN, LOZAN, NOT FOUND, SHAMP X 100ML, TTB
520712701113419, LABIGERON, LABIGERON, NOT FOUND, COMP. 25 MG - CX. C/ 30, TTB
520712702111411, LABIGERON, LABIGERON, NOT FOUND, COMP. 75 MG - CX. C/ 30, TTB
520712801118412, LANOGASTRO, LANOGASTRO, NOT FOUND, CAPS 30MG CX C/07, TTB
520712802114410, LANOGASTRO, LANOGASTRO, NOT FOUND, CAPS 30MG CX C/14, TTB
520731102114112, LANSOPRAZOL + CLARITROMICINA + AMOXICILINA  , LANSOPRAZOL CLARITROMICINA AMOXICILINA, NOT FOUND,  30 MG CAP + 500 MG COM REV + 500 MG CAP CT BL AL PLAS INC X 14 + 14 + 28, TTB
520731101118114, LANSOPRAZOL + CLARITROMICINA + AMOXICILINA  , LANSOPRAZOL CLARITROMICINA AMOXICILINA, NOT FOUND, 30 MG CAP + 500 MG COM REV + 500 MG CAP CT BL AL PLAS INC X 28 + BL AL PLAS INC X 14 + 14 + 28, TTB
520705603136411, LESTAMIL, LESTAMIL, NOT FOUND, 2 MG/5 ML + 0.25MG/5 ML XPE CT FR PET AMB X 120 ML + COP MED, TTB
520705602131416, LESTAMIL, LESTAMIL, NOT FOUND, 2 MG/5 ML + 0.25MG/5 ML XPE CT FR VD AMB X 120 ML , TTB
520705601117411, LESTAMIL, LESTAMIL, NOT FOUND, 2MG + 0.25MG COM CT BLIS AL PLAS INC X 15, TTB
520713004130417, LEXIN, LEXIN, NOT FOUND, 50 MG/ML PO SUS OR CT FR VD AMB X 100 ML + COP MED, TTB
520713003134419, LEXIN, LEXIN, NOT FOUND, 50 MG/ML PO SUS OR CT FR VD AMB X 60 ML + COP MED , TTB
520713002138410, LEXIN, LEXIN, NOT FOUND, 50 MG/ML PO SUS OR CX 50 FR VD AMB X 60 ML + 50 COP MED (EMB HOSP) , TTB
520713001115417, LEXIN, LEXIN, NOT FOUND, COMP 500MG CX C/10, TTB
520713301151419, LINCOMYN, LINCOMYN, NOT FOUND, SOL INJ 600MG/ML C/1AMP, TTB
520713401113111, LISINOPRIL, LISINOPRIL, LISINOPRIL, COMP. 10 MG - CX C/ 30, TTB
520713402111110, LISINOPRIL, LISINOPRIL, LISINOPRIL, COMP. 20 MG - CX C/ 30, TTB
520713403116116, LISINOPRIL, LISINOPRIL, LISINOPRIL, COMP. 5 MG - CX C/ 30, TTB
520713501118415, LISONOTEC, LISONOTEC, NOT FOUND, COMP. 20 MG-12.5 MG - CX. C/ 30, TTB
