504501201119315, CARDIZEM, CARDIZEM, NOT FOUND, 30 MG COM CT 5 BL AL/AL X 10, B_I
504501403110319, CARDIZEM SR, CARDIZEM SR, NOT FOUND, 90 MG CAP GEL DURA LIB PROL CT BL AL / AL X 20, B_I
504501501171312, COMBIVENT, COMBIVENT, NOT FOUND, 20MCG/50MCL+120 MCG/50MCL SOL AER CT FR AL X 10 ML, B_I
504501404117317, CARDIZEM SR, CARDIZEM SR, NOT FOUND, 120 MG CAPGEL DURA LIB PROL CT BL AL / AL X 20, B_I
504501304112313, CARDIZEM CD, CARDIZEM CD, NOT FOUND, 180 MG CAPGEL DURA LIB PROL CT BL AL / AL X 16, B_I
504501303116315, CARDIZEM CD, CARDIZEM CD, NOT FOUND, 240 MG CAP GEL DURA LIB PROL CT BL AL / AL X 16, B_I
504501201119315, CARDIZEM, CARDIZEM, NOT FOUND, 30 MG COM CT 5 BL AL/AL X 10, B_I
504501202115313, CARDIZEM, CARDIZEM, NOT FOUND, 30 MG COM CT BL AL/AL X 20, B_I
504501204118311, CARDIZEM, CARDIZEM, NOT FOUND, 60 MG COM CT 2 BL AL/AL X 10, B_I
504501203111311, CARDIZEM, CARDIZEM, NOT FOUND, 60 MG COM CT 5 BL AL/AL X 10, B_I
504501403110319, CARDIZEM SR, CARDIZEM SR, NOT FOUND, 90 MG CAP GEL DURA LIB PROL CT BL AL / AL X 20, B_I
