502800203133315, ADEROGIL GOTAS, ADEROGIL GOTAS, NOT FOUND, 5.500 UI/ML + 2.200 UI/ML SOL OR CT FR VD AMB X 10 ML + CGT, S_A
502800404112315, ALLEGRA, ALLEGRA, NOT FOUND, 60 MG COM REV CT BL AL/AL X 10, S_A
502812010059403, ALLEGRA, ALLEGRA, NOT FOUND, 60 MG COM REV CT BL AL PLAS INC X 10, S_A
502800504117319, ALLEGRA D, ALLEGRA D, NOT FOUND, 180 MG + 240 MG COM REV LIB PROL CT BL AL/AL X 2, S_A
502800505113317, ALLEGRA D, ALLEGRA D, NOT FOUND, 180 MG + 240 MG COM REV LIB PROL CT BL AL/AL X 5, S_A
502800502114312, ALLEGRA D, ALLEGRA D, NOT FOUND, 60 MG + 120 MG COM CT STR AL/AL X 10, S_A
502812070064003, ALLEGRA D, ALLEGRA D, NOT FOUND, 60 MG + 120 MG COM CT  BL AL PLAS INC X 10, S_A
502800501118217, ALLEGRA D, ALLEGRA D, NOT FOUND, 60 MG + 120 MG COM CT  BL AL/AL X 6, S_A
502816401118319, AMARYL MET, AMARYL MET, NOT FOUND, 2 MG + 500 MG COM REV CT BL AL PLAS INC X 30, S_A
502816402114317, AMARYL MET, AMARYL MET, NOT FOUND, 1 MG + 250 MG COM REV CT BL AL PLAS INC X 30 , S_A
502816403110315, AMARYL MET, AMARYL MET, NOT FOUND, 1 MG + 250 MG COM REV CT FR PLAS OPC X 60, S_A
502816405113311, AMARYL MET, AMARYL MET, NOT FOUND, 2 MG + 500 MG COM REV CT FR PLAS OPC X 60, S_A
502816404117313, AMARYL MET, AMARYL MET, NOT FOUND, 1 MG + 250 MG COM REV CT FR PLAS OPC X 90, S_A
502816406111312, AMARYL MET, AMARYL MET, NOT FOUND, 2 MG + 500 MG COM REV CT FR PLAS OPC X 90 , S_A
502820801117318, AMARYL MET XR, AMARYL MET XR, NOT FOUND, 2 MG + 500 MG COM REV LIB PROL CT BL AL PLAS INC X 10, S_A
502815001116310, AMARYL FLEX, AMARYL FLEX, NOT FOUND, 2 MG COM CT BL AL PLAS INC X 30 + 500 MG COM REV CT BL AL PLAS INC X 120, S_A
502820802113316, AMARYL MET XR, AMARYL MET XR, NOT FOUND, 2 MG + 500 MG COM REV LIB PROL CT BL AL PLAS INC X 30, S_A
502815002112319, AMARYL FLEX, AMARYL FLEX, NOT FOUND, 1 MG COM CT BL AL PLAS INC X 30 + 500 MG COM REV CT BL AL PLAS INC X 120, S_A
502822301170410, ATURGYL, ATURGYL, NOT FOUND, 0.5 MG/ML SOL NASAL CT FR PLAS OPC SPRAY X 15 ML, S_A
502800901116319, ANTIETANOL, ANTIETANOL, NOT FOUND, 250 MG COM CT 2 BL AL PLAS LAR X 10, S_A
502801001151310, ANZEMET, ANZEMET, NOT FOUND, 20MG/ML SOL INJ CT AMP VD INC X 5 ML, S_A
502800601112318, AMARYL, AMARYL, NOT FOUND, 1 MG COM CT BL AL PLAS INC X 30, S_A
502800602119316, AMARYL, AMARYL, NOT FOUND, 2 MG COM CT BL AL PLAS INC X 30 , S_A
502800604111312, AMARYL, AMARYL, NOT FOUND, 3 MG COM CT BL AL PLAS INC X 10, S_A
502800605118310, AMARYL, AMARYL, NOT FOUND, 3 MG COM CT BL AL PLAS INC X 15, S_A
502800606114319, AMARYL, AMARYL, NOT FOUND, 3 MG COM CT BL AL PLAS INC X 30, S_A
502800607110317, AMARYL, AMARYL, NOT FOUND, 3 MG COM CT BL AL PLAS INC X 7 , S_A
502800603115314, AMARYL, AMARYL, NOT FOUND, 4 MG COM CT BL AL PLAS INC X 30, S_A
502800608117315, AMARYL, AMARYL, NOT FOUND, 6 MG COM CT BL AL/AL X 10, S_A
502800609113313, AMARYL, AMARYL, NOT FOUND, 6 MG COM CT BL AL/AL X 15, S_A
502800610111310, AMARYL, AMARYL, NOT FOUND, 6 MG COM CT BL AL/AL X 30, S_A
502817603113316, APROZIDE, APROZIDE, NOT FOUND, 150 MG + 12.5 MG COM REV CT BL AL PLAS INC X 14   , S_A
502817606112310, APROZIDE, APROZIDE, NOT FOUND, 300 MG + 12.5 MG COM REV CT BL AL PLAS INC X 14, S_A
502817607119319, APROZIDE, APROZIDE, NOT FOUND, 150 MG + 12.5 MG COM REV CT BL AL PLAS OPC X 15, S_A
502817609111315, APROZIDE, APROZIDE, NOT FOUND, 300 MG + 12.5 MG COM REV CT BL AL PLAS OPC X 15, S_A
502817604111317, APROZIDE, APROZIDE, NOT FOUND, 300 MG + 12.5 MG COM REV CT BL AL PLAS INC X 28  , S_A
502817605116312, APROZIDE, APROZIDE, NOT FOUND, 150 MG + 12.5 MG COM REV CT BL AL PLAS INC X 28, S_A
502817608115317, APROZIDE, APROZIDE, NOT FOUND, 150 MG + 12.5 MG COM REV CT BL AL PLAS OPC X 30, S_A
502817610111315, APROZIDE, APROZIDE, NOT FOUND, 300 MG + 12.5 MG COM REV CT BL AL PLAS OPC X 30, S_A
502817601110311, APROZIDE, APROZIDE, NOT FOUND, 300 MG + 25 MG COM REV CT BL AL PLAS INC X 14, S_A
502817611116310, APROZIDE, APROZIDE, NOT FOUND, 300 MG + 25 MG COM REV CT BL AL PLAS OPC X 15, S_A
502817602117318, APROZIDE, APROZIDE, NOT FOUND, 300 MG + 25 MG COM REV CT BL AL PLAS INC X 28, S_A
502817612112319, APROZIDE, APROZIDE, NOT FOUND, 300 MG + 25 MG COM REV CT BL AL PLAS OPC X 30, S_A
502814501158316, APIDRA, APIDRA, NOT FOUND, 100 UI/ML SOL INJ CT 1 FA VD INC X 10 ML , S_A
502814502154314, APIDRA, APIDRA, NOT FOUND, 100 UI/ML SOL INJ CT 1 CARP VD INC X 3 ML , S_A
502814503150312, APIDRA, APIDRA, NOT FOUND, 100 UI/ML SOL INJ CT 5 CARP VD INC X 3 ML  , S_A
502814504157310, APIDRA, APIDRA, NOT FOUND, 100 UI/ML SOL INJ CT 1 CARP VD INC X 3 ML + 1 SISTEMA APLIC PLAS, S_A
502818802111311, APROVEL, APROVEL, NOT FOUND, 150 MG COM REV CT BL AL PLAS INC X 14  , S_A
502818808118318, APROVEL, APROVEL, NOT FOUND, 150 MG COM REV CT BL AL PLAS OPC X 15, S_A
502818801113310, APROVEL, APROVEL, NOT FOUND, 150 MG COM CT BL AL PLAS INC X 28, S_A
502818807111311, APROVEL, APROVEL, NOT FOUND, 150 MG COM REV CT BL AL PLAS OPC X 30, S_A
502818803116317, APROVEL, APROVEL, NOT FOUND, 300 MG COM CT BL AL PLAS INC X 14, S_A
502818806115311, APROVEL, APROVEL, NOT FOUND, 300 MG COM REV CT BL AL PLAS OPC X 15, S_A
502818804112315, APROVEL, APROVEL, NOT FOUND, 300 MG COM CT BL AL PLAS INC X 28, S_A
502818805119313, APROVEL, APROVEL, NOT FOUND, 300 MG COM REV CT BL AL PLAS OPC X 30, S_A
502801103116311, ARAVA, ARAVA, NOT FOUND, 10 MG COM REV CT FR PLAS OPC X 30, S_A
502801101113216, ARAVA, ARAVA, NOT FOUND, 100 MG COM REV CT BL AL/AL X 3, S_A
502801102111217, ARAVA, ARAVA, NOT FOUND, 20 MG COM REV CT FR PLAS OPC X 30, S_A
502814080067004, ASTRALE, ASTRALE, NOT FOUND, 10 MG COM REV CT BL AL PLAS INC X 15, S_A
502814080067104, ASTRALE, ASTRALE, NOT FOUND, 10 MG COM REV CT BL AL PLAS INC X 30, S_A
502814080067204, ASTRALE, ASTRALE, NOT FOUND, 20 MG COM REV CT BL AL PLAS INC X 15, S_A
502814080067304, ASTRALE, ASTRALE, NOT FOUND, 20 MG COM REV CT BL AL PLAS INC X 30, S_A
502801201118317, ARELIX, ARELIX, NOT FOUND, 6 MG CAP GEL DESINT GRAD CT STR AL X 20, S_A
502800105115312, ACTONEL, ACTONEL, NOT FOUND, 150 MG COM REV CT BL AL/PLAS INC X 1, S_A
502800103112316, ACTONEL, ACTONEL, NOT FOUND, 35 MG COM REV BL AL/PVC INC X 2, S_A
502813060065305, ACTONEL, ACTONEL, NOT FOUND, 35 MG COM REV LIB RETARD CT BL AL PLAS TRANS X 2, S_A
502800104119314, ACTONEL, ACTONEL, NOT FOUND, 35 MG COM REV BL AL/PVC INC X 4, S_A
502813060065205, ACTONEL, ACTONEL, NOT FOUND, 35 MG COM REV LIB RETARD CT BL AL PLAS TRANS X 4, S_A
502800102116318, ACTONEL, ACTONEL, NOT FOUND, 5 MG COM REV CT BL AL PVC OPC X 14, S_A
502800101111312, ACTONEL, ACTONEL, NOT FOUND, 5 MG COM REV CT BL AL PVC OPC X 28, S_A
502818101154413, ADACEL POLIO, ADACEL POLIO, NOT FOUND, SUS INJ CT SER PRE-ENCH X 0.5 ML , S_A
502818102150411, ADACEL POLIO, ADACEL POLIO, NOT FOUND, SUS INJ CT FA VD INC X 0.5 ML, S_A
502818103157411, ADACEL POLIO, ADACEL POLIO, NOT FOUND, SUS INJ CT SER PREENCH VD INC + 2 AGULHAS X 0.5 ML, S_A
502823102155411, AVAXIM, AVAXIM, NOT FOUND, 160 U/ML SUS INJ CT SER PRE-ENCH C/ AGU ACOPLADA X 0.5 ML, S_A
502813050065113, AVAXIM, AVAXIM, NOT FOUND, 160 U/ML SUS INJ CT 10 FA VD INC X 5 ML  , S_A
502823101159411, AVAXIM, AVAXIM, NOT FOUND, 320 U/ML SUS INJ CT 1 SER PRE-ENCH C/ AGU ACOPLADA X 0.5 ML, S_A
502813060065403, AAS PROTECT, AAS PROTECT, NOT FOUND, 100 MG COM REV CT BL AL/AL X 10, S_A
502821801110419, AAS, AAS, NOT FOUND, 100 MG COM CT FR PLAS OPC X 120, S_A
502821802117417, AAS, AAS, NOT FOUND, 100 MG COM CT BL AL PLAS INC X 200 (EMB MULT), S_A
502821803113415, AAS, AAS, NOT FOUND, 100 MG COM CT BL AL PLAS INC X 30, S_A
502822201117410, AAS PROTECT, AAS PROTECT, NOT FOUND, 100 MG COM REV CT BL AL/AL X 30, S_A
502821901115412, AAS, AAS, NOT FOUND, 500 MG COM CT BL AL PLAS INC X 20, S_A
502821902111410, AAS, AAS, NOT FOUND, 500 MG COM CT BL AL PLAS INC X 200 (EMB MULT), S_A
502821903118419, AAS, AAS, NOT FOUND, 500 MG COM CT BL AL PLAS INC X 500 (EMB MULT), S_A
