502817302113317, PLAVIX, PLAVIX, NOT FOUND, 300 MG COM REV CT BL AL/AL X 100, S_A
502809401116313, PERIODONTIL, PERIODONTIL, NOT FOUND, 750.000 UI + 125 MG COM REV CT BL AL PVC X 20, S_A
502810101139311, PREDNISOLON, PREDNISOLON, NOT FOUND, 1.34 MG/ML SOL OR CT FR VD AMB X 100 ML + SER DOS , S_A
502814070066303, PREDNISOLON, PREDNISOLON, NOT FOUND, 1.34 MG/ML SOL OR CT FR VD AMB X 100 ML + CP MED, S_A
502822903111315, PEPSAMAR, PEPSAMAR, NOT FOUND, 230 MG COM MAST CT STR CELOF OPC X 100 (EMB MULTIPLA), S_A
502822901119319, PEPSAMAR, PEPSAMAR, NOT FOUND, 230 MG COM MAST CT BL AL PLAS INC X 200 (EMB MULTIPLA), S_A
502822905114311, PEPSAMAR, PEPSAMAR, NOT FOUND, 230 MG COM MAST CT STR CELOF OPC X 30, S_A
502822902115317, PEPSAMAR, PEPSAMAR, NOT FOUND, 230 MG COM MAST CT BL AL PLAS INC X 50, S_A
502822904134319, PEPSAMAR, PEPSAMAR, NOT FOUND, 61.5 MG/ML SUS OR CT FR PLAS OPC X 240 ML, S_A
502821201156310, PRIMACOR, PRIMACOR, NOT FOUND, 1MG/ML SOL INJ CT 10 AMP VD INC X 10 ML, S_A
502814100068003, PURAN T4, PURAN T4, NOT FOUND, 12.5 MCG COM CT BL AL AL X 30, S_A
502814100068103, PURAN T4, PURAN T4, NOT FOUND, 37.5 MCG COM CT BL AL AL X 30 , S_A
502814100068203, PURAN T4, PURAN T4, NOT FOUND, 62.5 MCG COM CT BL AL AL X 30 , S_A
502815010068303, PURAN T4, PURAN T4, NOT FOUND, 300 MCG COM CT BL AL AL X 30, S_A
502816901110317, PURAN T4, PURAN T4, NOT FOUND, 100 MCG COM CT BL AL PLAS INC X 28, S_A
502816911116318, PURAN T4, PURAN T4, NOT FOUND, 100 MCG COM CT BL AL PLAS INC X 30, S_A
502816902117315, PURAN T4, PURAN T4, NOT FOUND, 112 MCG COM CT BL AL PLAS INC X 28, S_A
502816912112316, PURAN T4, PURAN T4, NOT FOUND, 112 MCG COM CT BL AL PLAS INC X 30 , S_A
502816903113313, PURAN T4, PURAN T4, NOT FOUND, 125 MCG COM CT BL AL PLAS INC X 28, S_A
502816913119314, PURAN T4, PURAN T4, NOT FOUND, 125 MCG COM CT BL AL PLAS INC X 30, S_A
502816904111314, PURAN T4, PURAN T4, NOT FOUND, 150 MCG COM CT BL AL PLAS INC X 28, S_A
502816914115312, PURAN T4, PURAN T4, NOT FOUND, 150 MCG COM CT BL AL PLAS INC X 30, S_A
502816909111312, PURAN T4, PURAN T4, NOT FOUND, 175 MCG COM CT BL AL PLAS INC X 28, S_A
502816915111310, PURAN T4, PURAN T4, NOT FOUND, 175 MCG COM CT BL AL PLAS INC X 30, S_A
502816905116311, PURAN T4, PURAN T4, NOT FOUND, 200 MCG COM CT BL AL PLAS INC X 28, S_A
502816916118319, PURAN T4, PURAN T4, NOT FOUND, 200 MCG COM CT BL AL PLAS INC X 30, S_A
502816906112318, PURAN T4, PURAN T4, NOT FOUND, 25 MCG COM CT BL AL PLAS INC X 28, S_A
502816917114317, PURAN T4, PURAN T4, NOT FOUND, 25 MCG COM CT BL AL PLAS INC X 30, S_A
502816907119316, PURAN T4, PURAN T4, NOT FOUND, 50 MCG COM CT BL AL PLAS INC X 28, S_A
502816918110315, PURAN T4, PURAN T4, NOT FOUND, 50 MCG COM CT BL AL PLAS INC X 30, S_A
502816910111312, PURAN T4, PURAN T4, NOT FOUND, 75 MCG COM CT BL AL PLAS INC X 28, S_A
502816920115310, PURAN T4, PURAN T4, NOT FOUND, 75 MCG COM CT BL AL PLAS INC X 30, S_A
502816908115314, PURAN T4, PURAN T4, NOT FOUND, 88 MCG COM CT BL AL PLAS INC X 28, S_A
502816919117313, PURAN T4, PURAN T4, NOT FOUND, 88 MCG COM CT BL AL PLAS INC X 30, S_A
502809602154311, PIPORTIL L4, PIPORTIL L4, NOT FOUND, 25 MG/ML SOL INJ CX 3 AMP VD AMB X 1 ML, S_A
502809601158311, PIPORTIL L4, PIPORTIL L4, NOT FOUND, 25 MG/ML SOL INJ CX 1 AMP VD AMB X 4 ML, S_A
502815401114129, PARACETAMOL, PARACETAMOL, PARACETAMOL, 750 MG COM CT BL AL PLAS INC X 20, S_A
502815402110127, PARACETAMOL, PARACETAMOL, PARACETAMOL, 750 MG COM CT BL AL PLAS INC X 200 (EMB MULT), S_A
502817101169110, PROMETAZINA, PROMETAZINA, PROMETAZINA, 20 MG/G CREM DERM CT BG AL X 30 G , S_A
502819501113313, PLAQUINOL, PLAQUINOL, NOT FOUND, 400 MG COM REV CT BL AL PLAS INC X 30, S_A
