502812030062704, CORASTORVA (ATORVASTATINA CÁLCICA), CORASTORVA ATORVASTATINA CALCICA, NOT FOUND, 10MG COM REV CT BL AL/AL X 10 , S_A
502812070063913, CLORANA, CLORANA, NOT FOUND, 50 MG COM CT BL AL PLAS INC X 20, S_A
530501202114416, CLORANA, CLORANA, NOT FOUND, 50 MG COM CT BL AL PLAS INC X 20, S_A
502802901156317, COLTRAX INJ, COLTRAX INJ, NOT FOUND, 2 MG/ML SOL INJ CT 3 AMP VD INC X 2 ML, S_A
502812060063403, COLTRAX, COLTRAX, NOT FOUND, 4 MG COM CT BL AL PLAS LARANJA X 4, S_A
502802903116312, COLTRAX, COLTRAX, NOT FOUND, 4 MG COM CT BL AL PLAS LARANJA X 20, S_A
502822401132413,  CEWIN, CEWIN, NOT FOUND, 1 G COM EFEV CT STR AL X 10 (LARANJA), S_A
502822402139411,  CEWIN, CEWIN, NOT FOUND, 2 G COM EFEV CT STR AL X 10 (LARANJA), S_A
502822403135411,  CEWIN, CEWIN, NOT FOUND, 200 MG/ML SOL OR CT FR PLAS OPC X 20 ML, S_A
502822405138416,  CEWIN, CEWIN, NOT FOUND, 500 MG COM EFEV CT STR X 10, S_A
502822404115412,  CEWIN, CEWIN, NOT FOUND, 500 MG COM DESINT LENTA CT BL AL/AL X 30, S_A
