502813030064504, VECLESA, VECLESA, NOT FOUND, 2 MG + 0.03 MG COM REV CT BL AL PLAS TRANS X 21, S_A
502823203156411, VACINA HEPATITE B (RECOMBINANTE), VACINA HEPATITE B RECOMBINANTE, VACINA HEPATITE B RECOMBINANTE, 20 MCG/ML SUS INJ CT 20 FA VD INC X 1.0 ML, S_A
502812020062203, VACINA HEPATITE B (RECOMBINANTE), VACINA HEPATITE B RECOMBINANTE, VACINA HEPATITE B RECOMBINANTE, 20MCG/ML SUS INJ CT  FA VD INC X 10 ML    , S_A
502812020062303, VACINA HEPATITE B (RECOMBINANTE), VACINA HEPATITE B RECOMBINANTE, VACINA HEPATITE B RECOMBINANTE, 20MCG/ML SUS INJ CT 20 FA VD INC X 10 ML, S_A
502812020062403, VACINA HEPATITE B (RECOMBINANTE), VACINA HEPATITE B RECOMBINANTE, VACINA HEPATITE B RECOMBINANTE, 20MCG/ML SUS INJ CT 50 FA VD INC X 10 ML   , S_A
502823901155410, VACINA PNEUMOCÓCICA 23-VALENTE (POLISSACARÍDICA), VACINA PNEUMOCOCICA 23 VALENTE POLISSACARIDICA, NOT FOUND, 1 DOSE IMUNIZ SOL INJ CT SER VD INC PRE-ENCH X 0.5 ML, S_A
502823401152412, VACINA RAIVA (INATIVADA), VACINA RAIVA INATIVADA, VACINA RAIVA INATIVADA, 2.5 UI PO LIOF INJ CT FR VD INC + SER DIL X 0.5 ML, S_A
502823301158419, VACINA TÉTANO, VACINA TETANO, VACINA TETANO INATIVADA, SUS INJ CT 1 SER PREENCH X 0.5 ML, S_A
502823701156413, VACINA VARICELA (ATENUADA), VACINA VARICELA ATENUADA, VACINA VARICELA ATENUADA, 1000 UFP PO LIOF INJ CT FA VD INC 1 DOSE X FA DIL X 0.7 ML, S_A
502821601154412, VACINA INFLUENZA (FRAGMENTADA E INATIVADA), VACINA INFLUENZA FRAGMENTADA E INATIVADA, NOT FOUND, 15 MCG SUS INJ ID CT SER PREENC VD INC X 0.1 ML, S_A
502821602150410, VACINA INFLUENZA (FRAGMENTADA E INATIVADA), VACINA INFLUENZA FRAGMENTADA E INATIVADA, NOT FOUND, 9 MCG SUS INJ ID CT SER PREENC VD INC X 0.1 ML, S_A
502821101151317, VACINA INFLUENZA (FRAGMENTADA E INATIVADA), VACINA INFLUENZA FRAGMENTADA E INATIVADA, NOT FOUND, SUS INJ CT 1 SER X 0.25 ML, S_A
502821605151418, VACINA INFLUENZA (FRAGMENTADA E INATIVADA), VACINA INFLUENZA FRAGMENTADA E INATIVADA, NOT FOUND, SUS INJ CT 1 SER X 0.25 ML, S_A
502821103154313, VACINA INFLUENZA (FRAGMENTADA E INATIVADA), VACINA INFLUENZA FRAGMENTADA E INATIVADA, NOT FOUND, SUS INJ CT 1 SER X 0.5 ML, S_A
502821604153417, VACINA INFLUENZA (FRAGMENTADA E INATIVADA), VACINA INFLUENZA FRAGMENTADA E INATIVADA, NOT FOUND, SUS INJ CT 1 SER X 0.5 ML, S_A
502821102158315, VACINA INFLUENZA (FRAGMENTADA E INATIVADA), VACINA INFLUENZA FRAGMENTADA E INATIVADA, NOT FOUND, SUS INJ CT 1 FA VD INC X 5 ML, S_A
502821603157419, VACINA INFLUENZA (FRAGMENTADA E INATIVADA), VACINA INFLUENZA FRAGMENTADA E INATIVADA, NOT FOUND, SUS INJ CT 1 FA VD INC X 5 ML, S_A
502819402115415, VALPAKINE, VALPAKINE, NOT FOUND, 200 MG COM REV CT FR VD AMB X 40, S_A
502819401135412, VALPAKINE, VALPAKINE, NOT FOUND, 200 MG/ML SOL ORAL CT FR VD AMB X 40 ML, S_A
502819403111413, VALPAKINE, VALPAKINE, NOT FOUND, 500 MG COM REV CT FR VD AMB X 40, S_A
