531625801131414; TROPINAL; TROPINAL; NOT FOUND; 300 MG + 1 MG + 0.0065 MG + 0.104 MG SOL OR CT FR VD AMB CGT X 15 ML; EMS
507738001111114; TINIDAZOL; TINIDAZOL; TINIDAZOL; 500 MG COM REV CT BL AL PLAS LEIT X 8; EMS
507723901162116; TIOCONAZOL+TINIDAZOL; TIOCONAZOL TINIDAZOL; NOT FOUND; 20 MG/G + 30 MG/G CREM VAG CT BG AL X 35 G + 7 APLIC; EMS
507724001165419; TIOTRAX; TIOTRAX; NOT FOUND; CREME BISN 35G+7 APLIC.-E; EMS
507725501072116; TIOCONAZOL; TIOCONAZOL; TIOCONAZOL; 10 MG/G LOC DERM CT FR PLAS OPC X 30 G; EMS
507725502176111; TIOCONAZOL; TIOCONAZOL; TIOCONAZOL; 10 MG/G PO DERM CT FR PLAS OPC X 30 G; EMS
507725601069117; TIOCONAZOL; TIOCONAZOL; TIOCONAZOL; 10 MG/G CREM DERM CT BG AL X 30 G; EMS
507743001175410; TOBRALOX; TOBRALOX; NOT FOUND; 3 MG/ML SOL OFT CT FR PLAS OPC GOT X 5 ML; EMS
531613080069906; TOBRAMICINA; TOBRAMICINA; TOBRAMICINA; 3 MG/ML SOL OFT CT FR PLAS OPC GOT X 5 ML ; EMS
507735001110113; TOPIRAMATO; TOPIRAMATO; TOPIRAMATO; 100 MG COM REV CT BL AL PLAS LEIT X 60; EMS
507735002117111; TOPIRAMATO; TOPIRAMATO; TOPIRAMATO; 25 MG COM REV CT BL AL PLAS LEIT X 60 ; EMS
507735003113111; TOPIRAMATO; TOPIRAMATO; TOPIRAMATO; 50 MG COM REV CT BL AL PLAS LEIT X 60; EMS
541812070002803; TRAVOP; TRAVOP; NOT FOUND; 0.04 MG/ML SOL OFT CT FR PLAS OPC GOT X 2.5 ML; EMS
507744201178111; TRAVOPROSTA; TRAVOPROSTA; TRAVOPROSTA; 0.04 MG/ML SOL OFT CT FR PLAS OPC GOT X 2.5 ML; EMS
531613202114411; TORAGESIC; TORAGESIC; NOT FOUND; 10 MG COM SUB-LING CT FR VD AMB X 10; EMS
531613201134419; TORAGESIC; TORAGESIC; NOT FOUND; 20 MG/ML SOL OR CT FR VD CGT X 10 ML; EMS
531613204151411; TORAGESIC; TORAGESIC; NOT FOUND; 30 MG/ML SOL INJ CT 3 AMP VD AMB X 2 ML; EMS
531613203153410; TORAGESIC; TORAGESIC; NOT FOUND; 30 MG/ML SOL INJ CT 3 AMP VD AMB X 1 ML; EMS
