507723503132411; SUPLEVIT; SUPLEVIT; NOT FOUND; SOL FR C/120ML; EMS
531623302111411; SUVVIA; SUVVIA; NOT FOUND; 100 MG COM REV CT BL AL PLAS OPC X 4; EMS
507744504111410; SOLLEVARE; SOLLEVARE; NOT FOUND; 100 MG COM REV CT BL AL PLAS OPC X 4; EMS
507744501112416; SOLLEVARE; SOLLEVARE; NOT FOUND; 25 MG COM REV CT BL AL PLAS OPC X 1; EMS
507744505118419; SOLLEVARE; SOLLEVARE; NOT FOUND; 25 MG COM REV CT BL AL PLAS OPC X 2; EMS
531623303118411; SUVVIA; SUVVIA; NOT FOUND; 25 MG COM REV CT BL AL PLAS OPC X 4; EMS
507744506114417; SOLLEVARE; SOLLEVARE; NOT FOUND; 25 MG COM REV CT BL AL PLAS OPC X 4; EMS
531623304114418; SUVVIA; SUVVIA; NOT FOUND; 50 MG COM REV CT BL AL PLAS OPC X 1; EMS
507744507110415; SOLLEVARE; SOLLEVARE; NOT FOUND; 50 MG COM REV CT BL AL PLAS OPC X 1; EMS
507744511118417; SOLLEVARE; SOLLEVARE; NOT FOUND; 50 MG COM REV CT BL AL PLAS OPC X 12; EMS
531623305110416; SUVVIA; SUVVIA; NOT FOUND; 50 MG COM REV CT BL AL PLAS OPC X 2; EMS
507744508117413; SOLLEVARE; SOLLEVARE; NOT FOUND; 50 MG COM REV CT BL AL PLAS OPC X 2; EMS
531623306117414; SUVVIA; SUVVIA; NOT FOUND; 50 MG COM REV CT BL AL PLAS OPC X 4; EMS
507744509113411; SOLLEVARE; SOLLEVARE; NOT FOUND; 50 MG COM REV CT BL AL PLAS OPC X 4; EMS
531623301115413; SUVVIA; SUVVIA; NOT FOUND; 50 MG COM REV CT BL AL PLAS OPC X 8; EMS
507744510111419; SOLLEVARE; SOLLEVARE; NOT FOUND; 50 MG COM REV CT BL AL PLAS OPC X 8; EMS
507745401170412; SALVELOX; SALVELOX; NOT FOUND; 21 MG/ML + 1.33 MG/ML SOL TOP CT FR PLAS OPC SPRAY X 50 ML; EMS
507741302119416; SIBUCTIL; SIBUCTIL; NOT FOUND; 10 MG CAP GEL DURA CT BL AL PLAS OPC X 30; EMS
507741301112418; SIBUCTIL; SIBUCTIL; NOT FOUND; 15 MG CAP GEL DURA CT BL AL PLAS OPC X 30; EMS
531622902131415; SIGMALIV; SIGMALIV; NOT FOUND; 0.5 MG/ML XPE CT FR VD AMB X 100 ML + SER DOSAD; EMS
531622903138413; SIGMALIV; SIGMALIV; NOT FOUND; 0.5 MG/ML XPE CT FR VD AMB X 60 ML + SER DOSAD; EMS
531622901119411; SIGMALIV; SIGMALIV; NOT FOUND; 5 MG COM REV CT BL AL PLAS OPC X 10; EMS
531612040066703; SIGMALIV; SIGMALIV; NOT FOUND; 5 MG COM REV CT BL AL PLAS OPC X 30; EMS
531614060074804; SOMAFLEX AP; SOMAFLEX AP; NOT FOUND; 100 MG COM REV DESINT LENTA CT BL AL PLAS INC X 10 ; EMS
507739501177112; SULFATO DE GENTAMICINA + FOSFATO DISSÓDICO DE BETAMETASONA; SULFATO GENTAMICINA FOSFATO DISSODICO BETAMETASONA; NOT FOUND; 3 MG/ML + 1 MG/ML SOL OFT CT FR PLAS TRANS GOT X 10 ML; EMS
507736901131115; SULFATO DE SALBUTAMOL + GUAIFENESINA; SULFATO SALBUTAMOL GUAIFENESINA; NOT FOUND; 0.4 MG/ML + 20 MG/ML SOL OR CT FR VD AMB X 120 ML + CP MED; EMS
531613090070206; SULFATO DE TERBUTALINA + GUAIFENESINA; SULFATO TERBUTALINA GUAIFENESINA; NOT FOUND; 0.3 MG/ML + 13.3 MG/ML XPE CT FR VD AMB X 100 ML + CP MED; EMS
531617501159411; SUPLASYN; SUPLASYN; NOT FOUND; 20 MG/2ML SOL INJ CT SER PREENCHIDA VD INC X 2.0 ML ; EMS
531616702177417; SIGMALAC; SIGMALAC; NOT FOUND; PO ORAL CT 10 SACHE X 10 G ; EMS
531616705176314; SIGMALAC; SIGMALAC; NOT FOUND; PO ORAL CT 20 SACHE X 10 G (EMB. FRAC.); EMS
531616703173415; SIGMALAC; SIGMALAC; NOT FOUND; PO ORAL CT 10 SACHE X 2.5 G ; EMS
531616707111317; SIGMALAC; SIGMALAC; NOT FOUND; PO ORAL CT 20 SACHE X 2.5 G (EMB. FRAC.); EMS
531616704171416; SIGMALAC; SIGMALAC; NOT FOUND; PO ORAL CT 10 SACHE X 5 G; EMS
531616706172312; SIGMALAC; SIGMALAC; NOT FOUND; PO ORAL CT 20 SACHE X 5 G (EMB. FRAC.); EMS
531625701110415; SONEBON; SONEBON; NOT FOUND; 5 MG COM CT BL AL PLAS INC X 20; EMS
507722401115412; SECNAXIDOL; SECNAXIDOL; NOT FOUND; 1 G COM REV CT BL AL PLAS INC X 2; EMS
531612601139118; SECNIDAZOL; SECNIDAZOL; SECNIDAZOL; 30 MG/ML PO SUS OR CT FR VR AMB X 15 ML + CP MED; EMS
507728701137119; SECNIDAZOL; SECNIDAZOL; SECNIDAZOL; 30 MG/ML PO P/ SUS OR CT FR VD AMB X 15 ML + CP MED; EMS
531612602135116; SECNIDAZOL; SECNIDAZOL; SECNIDAZOL; 30 MG/ML PO SUS OR CT FR VR AMB X 30 ML + CP MED; EMS
507728702133117; SECNIDAZOL; SECNIDAZOL; SECNIDAZOL; 30 MG/ML PO P/ SUS OR CT FR VD AMB X 30 ML + CP MED; EMS
531614070075103; SINVALIP; SINVALIP; NOT FOUND; 10 MG COM REV CT BL AL PLAS LEIT X 30; EMS
531614070075203; SINVALIP; SINVALIP; NOT FOUND; 40 MG COM REV CT BL AL PLAS LEIT X 30; EMS
531614080075606; SINVASTATINA; SINVASTATINA; SINVASTATINA; 10MG COM REV CT BL AL PLAS OPC X 30; EMS
531614080075706; SINVASTATINA; SINVASTATINA; SINVASTATINA; 20MG COM REV CT BL AL PLAS OPC X 30; EMS
531614080075806; SINVASTATINA; SINVASTATINA; SINVASTATINA; 20MG COM REV CT BL AL PLAS OPC X 60; EMS
531614080075906; SINVASTATINA; SINVASTATINA; SINVASTATINA; 40 MG COM REV CT BL AL PLAS OPC X 30; EMS
531614090076503; SINVALIP; SINVALIP; NOT FOUND; 20 MG COM REV CT BL AL PLAS LEIT X 30; EMS
531603807110418; SINVALIP; SINVALIP; NOT FOUND; 10 MG COM REV CT BL AL PLAS INC X 30; EMS
507722502116112; SINVASTATINA; SINVASTATINA; SINVASTATINA; 10 MG COM REV CT BL AL PLAS INC X 30; EMS
507722505115117; SINVASTATINA; SINVASTATINA; SINVASTATINA; 10 MG COM REV CT BL AL PLAS INC X 90 (EMB FRAC); EMS
507722603117416; SINVATROX; SINVATROX; NOT FOUND; 20 MG COM REV CT 3 BL AL PLAS INC X 10; EMS
531603801112419; SINVALIP; SINVALIP; NOT FOUND; 20 MG COM REV CT BL AL PLAS INC X 30; EMS
507722508114111; SINVASTATINA; SINVASTATINA; SINVASTATINA; 20 MG COM REV CT BL AL PLAS OPC X 30; EMS
507722506111115; SINVASTATINA; SINVASTATINA; SINVASTATINA; 20 MG COM REV CT BL AL PLAS OPC X 60; EMS
531603805118411; SINVALIP; SINVALIP; NOT FOUND; 20 MG COM REV CT BL AL PLAS LEIT X 70 (EMB FRAC); EMS
531603802119417; SINVALIP; SINVALIP; NOT FOUND; 40 MG COM REV CT BL AL PLAS INC X 30; EMS
507722509110111; SINVASTATINA; SINVASTATINA; SINVASTATINA; 40 MG COM REV CT BL AL PLAS OPC X 30; EMS
531603806114411; SINVALIP; SINVALIP; NOT FOUND; 40 MG COM REV CT BL AL PLAS LEIT X 70 (EMB FRAC); EMS
507722507118113; SINVASTATINA; SINVASTATINA; SINVASTATINA; 80 MG COM REV CT BL AL PLAS OPC X 10; EMS
531603803115415; SINVALIP; SINVALIP; NOT FOUND; 80 MG COM REV CT BL AL PLAS INC X 30; EMS
531603804111413; SINVALIP; SINVALIP; NOT FOUND; 80 MG COM REV CT BL AL PLAS LEIT X 72 (EMB FRAC); EMS
531626902111417; SUCRAFILM; SUCRAFILM; NOT FOUND; 1G COM MAST CT BL AL PVDC BCO LEIT X 30; EMS
531626901131414; SUCRAFILM; SUCRAFILM; NOT FOUND; 200 MG/ML SUS OR CT 20 FLAC X 10 ML; EMS
541815020009706; SULFAMETOXAZOL + TRIMETOPRIMA; SULFAMETOXAZOL TRIMETOPRIMA; NOT FOUND; 40 MG/ML + 8 MG/ML SUS OR CT FR PLAS AMB X 100 ML + COP; EMS
531614080075306; SULFATO DE GLICOSAMINA; SULFATO GLICOSAMINA; SULFATO GLICOSAMINA; 1.5 G PO SOL OR CT 30 ENV AL PE X 3.95 G; EMS
507744901137416; SULGLIC; SULGLIC; NOT FOUND; 1.5 G PO P/ SOL OR CT 30 ENV AL PLAS X 3.95 G; EMS
531615001159112; SULFATO DE MORFINA; SULFATO MORFINA; NOT FOUND; 0.2 MG/ML SOL INJ CT 50 AMP VD AMB X 1 ML (EMB HOSP); EMS
507732801159112; SULFATO DE MORFINA; SULFATO MORFINA; NOT FOUND; 0.2 MG/ML SOL INJ CT 50 AMP VD AMB X 1 ML (EMB HOSP); EMS
531615002155110; SULFATO DE MORFINA; SULFATO MORFINA; NOT FOUND; 1 MG/ML SOL INJ CT 50 AMP VD AMB X 2 ML (EMB HOSP); EMS
507732802155110; SULFATO DE MORFINA; SULFATO MORFINA; NOT FOUND; 1 MG/ML SOL INJ CT 50 AMP VD AMB X 2 ML (EMB HOSP); EMS
531615003151119; SULFATO DE MORFINA; SULFATO MORFINA; NOT FOUND; 10 MG/ML SOL INJ CT 50 AMP VD AMB X 1 ML (EMB HOSP); EMS
507732803151119; SULFATO DE MORFINA; SULFATO MORFINA; NOT FOUND; 10 MG/ML SOL INJ CT 50 AMP VD AMB X 1 ML (EMB HOSP); EMS
507732804131111; SULFATO DE MORFINA; SULFATO MORFINA; NOT FOUND; 10 MG/ML SOL OR CT FR VD AMB X 60 ML + CGT; EMS
507723301130116; SULFATO SALBUTAMOL; SULFATO SALBUTAMOL; SULFATO SALBUTAMOL; 0.4 MG/ML SOL OR CT FR VD AMB X 120 ML + CP MED; EMS
507738101132113; SULFATO DE TERBUTALINA; SULFATO TERBUTALINA; SULFATO TERBUTALINA; 0.3 MG/ML XPE CT FR VD AMB X 100 ML + CP MED ; EMS
531619601118411; SIGMAX; SIGMAX; NOT FOUND; 100 MG COM REV BL AL PVDC  LEIT X 60; EMS
531612020065403; SIGMAX; SIGMAX; NOT FOUND; 25 MG COM REV BL AL PVDC  LEIT X 20; EMS
531612020065603; SIGMAX; SIGMAX; NOT FOUND; 25 MG COM REV BL AL PVDC  LEIT X 60; EMS
531612020065503; SIGMAX; SIGMAX; NOT FOUND; 50 MG COM REV BL AL PVDC  LEIT X 60; EMS
