1057303720068; FEMME CÁLCIO D 400; FEMME CALCIO D 400; NOT FOUND; 500 MG + 400 UI COM REV CT FR PLAS OPC X 60; A4H
1057303130562; FLOGORAL; FLOGORAL; NOT FOUND; 3.0 MG PAST DROPS CT 25 STRIP PAPEL POLI/AL POLI X 4 (SABOR MENTA) (EMB. MULT.); A4H
1057303130961; FLOGORAL; FLOGORAL; NOT FOUND; 3.0 MG PAST DROPS CT 25 STRIP PAPEL POLI/AL POLI X 4 (SABOR LARANJA) (EMB. MULT.); A4H
1057303130538; FLOGORAL; FLOGORAL; NOT FOUND; 3.0 MG PAST DROPS CT STRIP PAPEL POLI/AL POLI X 2 (SABOR MENTA); A4H
1057302410014; FREENAL; FREENAL; NOT FOUND; 0.5 MG / ML SOL NAS CT FR PLAS OPC X 20 ML; A4H
1057302170013; FEMINA; FEMINA; NOT FOUND; 150MCG + 20MCG COM CT FLOW PACK BL AL PLAS INC X 2; A4H
1057302170031; FEMINA; FEMINA; NOT FOUND; 150 MCG + 20 MCG COM REV CT BL AL PLAS INC X 21; A4H
1057302170048; FEMINA; FEMINA; NOT FOUND; 150 MCG + 20 MCG COM REV CT BL AL PLAS INC X 63; A4H
1057303090036; FLUNARIN; FLUNARIN; NOT FOUND; 5MG/ML SOL OR CT FR PLAS TRANS GOT X 30 ML; A4H
1057303090028; FLUNARIN; FLUNARIN; NOT FOUND; 10MG CAP GEL DURA MICROG CT 4 BL AL PLAS INC X 15; A4H
1057302510027; FLAGASS; FLAGASS; NOT FOUND; 75 MG / ML EMU OR CT FR PLAS OPC GOT X 10 ML; A4H
1057302510019; FLAGASS; FLAGASS; NOT FOUND; 40 MG COM CT BL AL PLAS INC X 20; A4H
1057302520014; FLAGASS BABY; FLAGASS BABY; NOT FOUND; 80 MG / ML + 2.5 MG / ML EMU OR CT FR PLAS OPC GOT X 15 ML; A4H
1057301440033; FAMOX; FAMOX; NOT FOUND; 20 MG COM CT BL AL PLAS INC X 10; A4H
1057301440041; FAMOX; FAMOX; NOT FOUND; 40 MG COM CT BL AL PLAS INC X 10; A4H
1057303630018; FACTIVE; FACTIVE; NOT FOUND; 320 MG COM REV CT BL AL PLAS INC X 5  ; A4H
1057303630026; FACTIVE; FACTIVE; NOT FOUND; 320 MG COM REV CT BL AL PLAS INC X 7; A4H
1057304020019; FUMARATO DE QUETIAPINA; FUMARATO QUETIAPINA; NOT FOUND; 25MG COM REV CT BL AL PLAS OPC X 15; A4H
1057304020108; FUMARATO DE QUETIAPINA; FUMARATO QUETIAPINA; NOT FOUND; 200MG COM REV CT BL AL PLAS OPC X 30; A4H
1057304020061; FUMARATO DE QUETIAPINA; FUMARATO QUETIAPINA; NOT FOUND; 100MG COM REV CT BL AL PLAS OPC X 30; A4H
1057303270054; FENTIZOL; FENTIZOL; NOT FOUND; 0.02 G/G CREM VAG CT BG AL X 40 G + 7 APLIC ; A4H
1057303270089; FENTIZOL; FENTIZOL; NOT FOUND; 0.02 G/G CREM DERM CT BG AL X 30 G; A4H
1057303270161; FENTIZOL; FENTIZOL; NOT FOUND; 0.02 G/G CREM DERM CT BG AL X 20G; A4H
1057303270151; FENTIZOL; FENTIZOL; NOT FOUND; 20 MG/ML SOL DERM CT FR PLAS OPC SPR X 30 ML; A4H
1057303270021; FENTIZOL; FENTIZOL; NOT FOUND; 600 MG OVL CT BL AL PLAS INC X 1 + 1 APLIC + 2 DEDEIRAS  ; A4H
1057303270178; FENTIZOL; FENTIZOL; NOT FOUND; 600 MG OVL CT BL AL PLAS INC X 1 + 1 APLIC; A4H
1057301420067; FLOGENE; FLOGENE; NOT FOUND; 10 MG/ML SUS OR CT FR PLAS OPC GOT X 20 ML; A4H
1057301420083; FLOGENE; FLOGENE; NOT FOUND; 20 MG CAP GEL DURA CT BL AL PLAS INC X 10; A4H
