1057302100120; NOVAMOX; NOVAMOX; NOT FOUND; (200MG+50MG APOS RECONS) PO P/ PREP EXT CT FR VD A; A4H
1057300120027; NOVACORT; NOVACORT; NOT FOUND; 20 MG/G + 0.64 MG/G + 2.5 MG/G CREM DERM CT BG AL X 30 G; A4H
1057300120043; NOVACORT; NOVACORT; NOT FOUND; 20 MG/G + 0.64 MG/G + 2.5 MG/G POM DERM CT BG AL X 30 G; A4H
1057300120051; NOVACORT; NOVACORT; NOT FOUND; 20 MG/G + 0.64 MG/G + 2.5 MG/G CREM DERM CT BG AL X 10 G; A4H
1057301510120; NOTUSS; NOTUSS; NOT FOUND; 1.5 MG + 12 MG + 1.5 MG + 1.5 MG XPE CT FR PLAS PET AMB X 120 ML + CP MED X 10 ML; A4H
1057301510104; NOTUSS; NOTUSS; NOT FOUND; 3 MG + 50 MG+ 3 MG + 3 MG XPE CT FR PLAS PET AMB X 120 ML + CP MED X 10 ML; A4H
1057301510090; NOTUSS; NOTUSS; NOT FOUND; 3 MG + 50 MG + 3 MG + 3 MG PAS CT STR X 12 (SABOR MENTA); A4H
1057304490023; NOTUSS TSS; NOTUSS TSS; NOT FOUND; 1.5 MG/ML XPE CT FR PLAS AMB X 60 ML + SER DOS; A4H
1057304490031; NOTUSS TSS; NOTUSS TSS; NOT FOUND; 1.5 MG/ML XPE CT FR PLAS AMB X 120 ML + SER DOS; A4H
1057304490041; NOTUSS TSS; NOTUSS TSS; NOT FOUND; 1.5 MG/ML XPE CT FR PLAS AMB X 120 ML + COP; A4H
1057304490058; NOTUSS TSS; NOTUSS TSS; NOT FOUND; 3 MG/ML XPE CT FR PLAS AMB X 60 ML + COP ; A4H
1057304490066; NOTUSS TSS; NOTUSS TSS; NOT FOUND; 3 MG/ML XPE CT FR PLAS AMB X 120 COP; A4H
1057300780108; NOVOFER; NOVOFER; NOT FOUND; SOL OR CT FR VD AMB X 120 ML + CP MED X 10 ML; A4H
1057300780056; NOVOFER; NOVOFER; NOT FOUND; SOL OR CT FR VD AMB X 30ML + CGT; A4H
1057300780027; NOVOFER; NOVOFER; NOT FOUND; DRG CT 3 BL AL PLAS INC X 15; A4H
1057303740042; NOVOFER; NOVOFER; NOT FOUND; 126 MG COM REV CT BL AL PLAS INC X 45; A4H
1057303750013; NOVOFER PED; NOVOFER PED; NOT FOUND; 52.63 MG/ML SUS OR CT FR PLAS PET AMB X 120 ML + CP MED X 10ML; A4H
1057303750056; NOVOFER PED; NOVOFER PED; NOT FOUND; 263.16 MG/ML SUS OR CT FR VD AMB X 30 ML + CGT; A4H
1057303750048; NOVOFER PED; NOVOFER PED; NOT FOUND; 263.16 MG/ML SUS OR CT FR PLAS AMB X 30 ML + CGT; A4H
1057300750025; NECAMIN; NECAMIN; NOT FOUND; 20 MG/ML SUS OR CT FR VD AMB X 30 ML + CP MED 10 ML; A4H
1057300750017; NECAMIN; NECAMIN; NOT FOUND; 100 MG COM CT BL AL PLAS INC X 6; A4H
1057303010079; NISULID; NISULID; NOT FOUND; 50 MG/ML SUS OR CT FR PLAS OPC GOT X 15 ML ; A4H
1057303010028; NISULID; NISULID; NOT FOUND;  100 MG GRAN CT 12 ENV PAP/PE/AL/PE X 2 G; A4H
1057303010011; NISULID; NISULID; NOT FOUND; 10 MG/ML SUS OR CT FR VD AMB X 60 ML; A4H
1057303010109; NISULID; NISULID; NOT FOUND; 20 MG/G GEL CT BG AL X 40 G; A4H
1057303010052; NISULID; NISULID; NOT FOUND; 100 MG SUP CT STR X 12; A4H
1057303010044; NISULID; NISULID; NOT FOUND; 50 MG SUP CT STR X 12; A4H
1057303010036; NISULID; NISULID; NOT FOUND; 100 MG COM CT BL AL PLAS INC X 12; A4H
1057303010060; NISULID; NISULID; NOT FOUND; 100 MG COM DISP CT STR AL X 12; A4H
1057303010133; NISULID; NISULID; NOT FOUND; 100 MG COM DISP CT BL AL PLAS INC X 12; A4H
1057303010184; NISULID; NISULID; NOT FOUND; 100 MG COM DISP CT BL AL PLAS TRANS X 4; A4H
