1057300080076; COLPISTATIN; COLPISTATIN; NOT FOUND; 62.5 MG/G + 25.000 UI/G + 1.25 MG/G CREM VAG CT BG AL X 40 G + 10 APLIC; A4H
1057304350061; CLORIDRATO DE DONEPEZILA; CLORIDRATO DONEPEZILA; CLORIDRATO DONEPEZILA; 10 MG COM REV CT BL AL PLAS TRANS X 15 ; A4H
1057304630011; CLORIDRATO DE RANITIDINA; CLORIDRATO RANITIDINA; CLORIDRATO RANITIDINA; 15 MG/ML XPE CT FR VD AMB X 120 ML + COP; A4H
1057304110026; CLORIDRATO DE RANITIDINA; CLORIDRATO RANITIDINA; CLORIDRATO RANITIDINA; 150MG COM REV CT BL AL/AL X 20; A4H
1057304110107; CLORIDRATO DE RANITIDINA; CLORIDRATO RANITIDINA; CLORIDRATO RANITIDINA; 300MG COM REV CT BL AL/AL X 20; A4H
1057304120021; CLORIDRATO DE TERBINAFINA; CLORIDRATO TERBINAFINA; CLORIDRATO TERBINAFINA; 250 MG COM CT BL AL PLAS INC X 14; A4H
1057304120048; CLORIDRATO DE TERBINAFINA; CLORIDRATO TERBINAFINA; CLORIDRATO TERBINAFINA; 250 MG COM CT BL AL PLAS INC X 28; A4H
1057304390029; CLORIDRATO DE TRAMADOL+PARACETAMOL; CLORIDRATO TRAMADOL PARACETAMOL; NOT FOUND; 37.5 MG + 325 MG COM REV CT BL AL PLAS TRANS X 10; A4H
1057304390037; CLORIDRATO DE TRAMADOL+PARACETAMOL; CLORIDRATO TRAMADOL PARACETAMOL; NOT FOUND; 37.5 MG + 325 MG COM REV CT BL AL PLAS TRANS X 20; A4H
1057303890087; CLORIDRATO DE VERAPAMIL; CLORIDRATO VERAPAMIL; CLORIDRATO VERAPAMIL; 240 MG COM REV RETARD CT BL AL PLAS INC X 30; A4H
1057303890036; CLORIDRATO DE VERAPAMIL; CLORIDRATO VERAPAMIL; CLORIDRATO VERAPAMIL; 120 MG COM REV LIB RETARD CT BL AL PLAS INC X 20; A4H
1057301210027; CAUTEREX; CAUTEREX; NOT FOUND; 1 UL + 666 U + 1.0 MG UNG CT BG AL X 10 G; A4H
1057302140017; CANDIZOL; CANDIZOL; NOT FOUND; 150 MG CAP GEL DURA CT BL AL PLAS INC X 1; A4H
1057302140025; CANDIZOL; CANDIZOL; NOT FOUND; 150 MG CAP GEL DURA CT BL AL PLAS INC X 2; A4H
