501300802153413, KEFADIM, KEFADIM, NOT FOUND, 1G PO INJ CT 25 FA VD INC, AB3
501300202156314, KEFAZOL, KEFAZOL, NOT FOUND, 250 MG PO INJ CT FA VD INC + AMP DIL, AB3
501300203152312, KEFAZOL, KEFAZOL, NOT FOUND, 500MG PO INJ CT FA VD INC + AMP DIL, AB3
501300301154311, KEFLIN, KEFLIN, NOT FOUND, 1 G PO INJ CT 50 FA VD INC, AB3
501300302150318, KEFLIN, KEFLIN, NOT FOUND, 1 G PO INJ CT 50 FA VD INC + 50 AMP DIL, AB3
501300404115414, KEFORAL, KEFORAL, NOT FOUND, 500 MG CAP GEL CT 25 BL X 8, AB3
501300401116411, KEFORAL, KEFORAL, NOT FOUND, 500 MG CAP GEL CT 5 BL X 8, AB3
501300402112418, KEFORAL, KEFORAL, NOT FOUND, 500 MG CAP GEL CT BL X 8, AB3
501300403119319, KEFORAL, KEFORAL, NOT FOUND, 500 MG CAP GEL DURA CT 20 BL AL PLAS INC X 10 (EMB HOSP), AB3
501300903154415, KEFOX, KEFOX, NOT FOUND, 1 G PO INJ CX 25 FA VD INC X 10 ML + 25 BOLS FLEX (SIST FECH) X 100 ML (EMB HOSP), AB3
501300901151419, KEFOX, KEFOX, NOT FOUND, 1G PO INJ 25 FA VD INC, AB3
501300902158417, KEFOX, KEFOX, NOT FOUND, 1G PO INJ CT 25 FA VD INC + 25 AMP DIL, AB3
501300701152411, KEFTRON, KEFTRON, NOT FOUND, 1G PO INJ CT 25 FA VD INC X 10 ML, AB3
501300702159411, KEFTRON, KEFTRON, NOT FOUND, 1G PO INJ CT 25 FA VD INC X 10 ML + 25 AMP VD INC X 10 ML, AB3
501301201153417, KEROXIME, KEROXIME, NOT FOUND, 750 MG PO INJ CT 25 FA VD INC X 10 ML, AB3
501301202151418, KEROXIME, KEROXIME, NOT FOUND, 750 MG PO INJ CT 25 FA VD INC X 10 ML + 25 AMP DIL X 10 ML, AB3
501301203156413, KEROXIME, KEROXIME, NOT FOUND, 750 MG PO INJ CT 50 FA VD INC X 10 ML, AB3
501301204152411, KEROXIME, KEROXIME, NOT FOUND, 750 MG PO INJ CT 50 FA VD INC X 10 ML + 50 AMP DIL X 10 ML, AB3
501301205159411, KEROXIME, KEROXIME, NOT FOUND, 750 MG PO INJ CT FA VD INC X 10 ML, AB3
501301206155418, KEROXIME, KEROXIME, NOT FOUND, 750 MG PO INJ CT FA VD INC X 10 ML + AMP DIL X 10 ML, AB3
501300801157415, KEFADIM, KEFADIM, NOT FOUND, 1G PO INJ 1 FA VD INC, AB3
501300802153413, KEFADIM, KEFADIM, NOT FOUND, 1G PO INJ CT 25 FA VD INC, AB3
501301301158410, KEFAXIM, KEFAXIM, NOT FOUND, 1G PO INJ CT 25 FA VD INC X 10 ML, AB3
501301302154419, KEFAXIM, KEFAXIM, NOT FOUND, 1G PO INJ CT 50 FA VD INC X 10 ML, AB3
501301303150417, KEFAXIM, KEFAXIM, NOT FOUND, 1G PO INJ CT FA VD INC X 10 ML, AB3
501300201151319, KEFAZOL, KEFAZOL, NOT FOUND, 1 G PO INJ CT 50 FA VD INC, AB3
501300204159418, KEFAZOL, KEFAZOL, NOT FOUND, 1 G PO INJ CX 50 FA VD INC CAPAC. 10 ML + 50 BOLS FLEX (SIST FEC) X 100ML (EMB HOSP), AB3
501300202156314, KEFAZOL, KEFAZOL, NOT FOUND, 250 MG PO INJ CT FA VD INC + AMP DIL, AB3
501300203152312, KEFAZOL, KEFAZOL, NOT FOUND, 500MG PO INJ CT FA VD INC + AMP DIL, AB3
501300301154311, KEFLIN, KEFLIN, NOT FOUND, 1 G PO INJ CT 50 FA VD INC, AB3
501300302150318, KEFLIN, KEFLIN, NOT FOUND, 1 G PO INJ CT 50 FA VD INC + 50 AMP DIL, AB3
501300404115414, KEFORAL, KEFORAL, NOT FOUND, 500 MG CAP GEL CT 25 BL X 8, AB3
501300401116411, KEFORAL, KEFORAL, NOT FOUND, 500 MG CAP GEL CT 5 BL X 8, AB3
501300402112418, KEFORAL, KEFORAL, NOT FOUND, 500 MG CAP GEL CT BL X 8, AB3
501300403119319, KEFORAL, KEFORAL, NOT FOUND, 500 MG CAP GEL DURA CT 20 BL AL PLAS INC X 10 (EMB HOSP), AB3
501300903154415, KEFOX, KEFOX, NOT FOUND, 1 G PO INJ CX 25 FA VD INC X 10 ML + 25 BOLS FLEX (SIST FECH) X 100 ML (EMB HOSP), AB3
501300901151419, KEFOX, KEFOX, NOT FOUND, 1G PO INJ 25 FA VD INC, AB3
501300902158417, KEFOX, KEFOX, NOT FOUND, 1G PO INJ CT 25 FA VD INC + 25 AMP DIL, AB3
501300701152411, KEFTRON, KEFTRON, NOT FOUND, 1G PO INJ CT 25 FA VD INC X 10 ML, AB3
501300702159411, KEFTRON, KEFTRON, NOT FOUND, 1G PO INJ CT 25 FA VD INC X 10 ML + 25 AMP VD INC X 10 ML, AB3
501300703155418, KEFTRON, KEFTRON, NOT FOUND, 1G PO INJ CT 50 FA VD INC X 10 ML, AB3
501300704151416, KEFTRON, KEFTRON, NOT FOUND, 1G PO INJ CT 50 FA VD INC X 10 ML + 50 AMP PLAS DIL X 10 ML, AB3
501301201153417, KEROXIME, KEROXIME, NOT FOUND, 750 MG PO INJ CT 25 FA VD INC X 10 ML, AB3
501301202151418, KEROXIME, KEROXIME, NOT FOUND, 750 MG PO INJ CT 25 FA VD INC X 10 ML + 25 AMP DIL X 10 ML, AB3
501301203156413, KEROXIME, KEROXIME, NOT FOUND, 750 MG PO INJ CT 50 FA VD INC X 10 ML, AB3
501301204152411, KEROXIME, KEROXIME, NOT FOUND, 750 MG PO INJ CT 50 FA VD INC X 10 ML + 50 AMP DIL X 10 ML, AB3
501301205159411, KEROXIME, KEROXIME, NOT FOUND, 750 MG PO INJ CT FA VD INC X 10 ML, AB3
501301206155418, KEROXIME, KEROXIME, NOT FOUND, 750 MG PO INJ CT FA VD INC X 10 ML + AMP DIL X 10 ML, AB3
501300403119319, KEFORAL, KEFORAL, NOT FOUND, 500 MG CAP GEL DURA CT BL AL PLAS INC X 200 (EMB HOSP), AB3
501300404115414, KEFORAL, KEFORAL, NOT FOUND, 500 MG CAP GEL DURA CT BL AL PLAS INC X 200 (EMB HOSP), AB3
501300401116411, KEFORAL, KEFORAL, NOT FOUND, 500 MG CAP GEL DURA CT BL AL PLAS INC X 40, AB3
501300402112418, KEFORAL, KEFORAL, NOT FOUND, 500 MG CAP GEL DURA CT BL AL PLAS INC X 8, AB3
501300301154311, KEFLIN, KEFLIN, NOT FOUND, 1 G PO INJ CT 50 FA VD INC, AB3
501300302150318, KEFLIN, KEFLIN, NOT FOUND, 1 G PO INJ CT 50 FA VD INC + 50 AMP DIL, AB3
501300201151319, KEFAZOL, KEFAZOL, NOT FOUND, 1 G PO INJ CT 50 FA VD INC, AB3
501300204159418, KEFAZOL, KEFAZOL, NOT FOUND, 1 G PO INJ CX 50 FA VD INC CAPAC. 10 ML + 50 BOLS FLEX (SIST FEC) X 100ML (EMB HOSP), AB3
501300202156314, KEFAZOL, KEFAZOL, NOT FOUND, 250 MG PO INJ CT FA VD INC + AMP DIL, AB3
501300203152312, KEFAZOL, KEFAZOL, NOT FOUND, 500MG PO INJ CT FA VD INC + AMP DIL, AB3
501301301158410, KEFAXIM, KEFAXIM, NOT FOUND, 1G PO INJ CT 25 FA VD INC X 10 ML, AB3
501301302154419, KEFAXIM, KEFAXIM, NOT FOUND, 1G PO INJ CT 50 FA VD INC X 10 ML, AB3
501301303150417, KEFAXIM, KEFAXIM, NOT FOUND, 1G PO INJ CT FA VD INC X 10 ML, AB3
501300903154415, KEFOX, KEFOX, NOT FOUND, 1 G PO INJ CX 25 FA VD INC X 10 ML + 25 BOLS FLEX (SIST FECH) X 100 ML (EMB HOSP), AB3
501300901151419, KEFOX, KEFOX, NOT FOUND, 1G PO INJ 25 FA VD INC, AB3
501300902158417, KEFOX, KEFOX, NOT FOUND, 1G PO INJ CT 25 FA VD INC + 25 AMP DIL, AB3
501300802153413, KEFADIM, KEFADIM, NOT FOUND, 1 G PO INJ CT 25 FA VD INC (EMB. HOSP), AB3
501300801157415, KEFADIM, KEFADIM, NOT FOUND, 1G PO INJ 1 FA VD INC, AB3
501300701152411, KEFTRON, KEFTRON, NOT FOUND, 1G PO INJ CT 25 FA VD INC X 10 ML, AB3
501300702159411, KEFTRON, KEFTRON, NOT FOUND, 1G PO INJ CT 25 FA VD INC X 10 ML + 25 AMP VD INC X 10 ML, AB3
501300703155418, KEFTRON, KEFTRON, NOT FOUND, 1G PO INJ CT 50 FA VD INC X 10 ML, AB3
501300704151416, KEFTRON, KEFTRON, NOT FOUND, 1G PO INJ CT 50 FA VD INC X 10 ML + 50 AMP PLAS DIL X 10 ML, AB3
501301201153417, KEROXIME, KEROXIME, NOT FOUND, 750 MG PO INJ CT 25 FA VD INC X 10 ML, AB3
501301202151418, KEROXIME, KEROXIME, NOT FOUND, 750 MG PO INJ CT 25 FA VD INC X 10 ML + 25 AMP DIL X 10 ML, AB3
501301203156413, KEROXIME, KEROXIME, NOT FOUND, 750 MG PO INJ CT 50 FA VD INC X 10 ML, AB3
501301204152411, KEROXIME, KEROXIME, NOT FOUND, 750 MG PO INJ CT 50 FA VD INC X 10 ML + 50 AMP DIL X 10 ML, AB3
501301205159411, KEROXIME, KEROXIME, NOT FOUND, 750 MG PO INJ CT FA VD INC X 10 ML, AB3
501301206155418, KEROXIME, KEROXIME, NOT FOUND, 750 MG PO INJ CT FA VD INC X 10 ML + AMP DIL X 10 ML, AB3
501300403119319, KEFORAL, KEFORAL, NOT FOUND, 500 MG CAP GEL DURA CT BL AL PLAS INC X 200 (EMB HOSP), AB3
501300404115414, KEFORAL, KEFORAL, NOT FOUND, 500 MG CAP GEL DURA CT BL AL PLAS INC X 200 (EMB HOSP), AB3
501300401116411, KEFORAL, KEFORAL, NOT FOUND, 500 MG CAP GEL DURA CT BL AL PLAS INC X 40, AB3
501300402112418, KEFORAL, KEFORAL, NOT FOUND, 500 MG CAP GEL DURA CT BL AL PLAS INC X 8, AB3
501300301154311, KEFLIN, KEFLIN, NOT FOUND, 1 G PO INJ CT 50 FA VD INC, AB3
501300302150318, KEFLIN, KEFLIN, NOT FOUND, 1 G PO INJ CT 50 FA VD INC + 50 AMP DIL, AB3
501300201151319, KEFAZOL, KEFAZOL, NOT FOUND, 1 G PO INJ CT 50 FA VD INC, AB3
501300204159418, KEFAZOL, KEFAZOL, NOT FOUND, 1 G PO INJ CX 50 FA VD INC CAPAC. 10 ML + 50 BOLS FLEX (SIST FEC) X 100ML (EMB HOSP), AB3
501300202156314, KEFAZOL, KEFAZOL, NOT FOUND, 250 MG PO INJ CT FA VD INC + AMP DIL, AB3
501300203152312, KEFAZOL, KEFAZOL, NOT FOUND, 500MG PO INJ CT FA VD INC + AMP DIL, AB3
501301301158410, KEFAXIM, KEFAXIM, NOT FOUND, 1G PO INJ CT 25 FA VD INC X 10 ML, AB3
501301302154419, KEFAXIM, KEFAXIM, NOT FOUND, 1G PO INJ CT 50 FA VD INC X 10 ML, AB3
501301303150417, KEFAXIM, KEFAXIM, NOT FOUND, 1G PO INJ CT FA VD INC X 10 ML, AB3
501300903154415, KEFOX, KEFOX, NOT FOUND, 1 G PO INJ CX 25 FA VD INC X 10 ML + 25 BOLS FLEX (SIST FECH) X 100 ML (EMB HOSP), AB3
501300901151419, KEFOX, KEFOX, NOT FOUND, 1G PO INJ 25 FA VD INC, AB3
501300902158417, KEFOX, KEFOX, NOT FOUND, 1G PO INJ CT 25 FA VD INC + 25 AMP DIL, AB3
501300802153413, KEFADIM, KEFADIM, NOT FOUND, 1 G PO INJ CT 25 FA VD INC (EMB. HOSP), AB3
501300801157415, KEFADIM, KEFADIM, NOT FOUND, 1G PO INJ 1 FA VD INC, AB3
501300701152411, KEFTRON, KEFTRON, NOT FOUND, 1G PO INJ CT 25 FA VD INC X 10 ML, AB3
501300702159411, KEFTRON, KEFTRON, NOT FOUND, 1G PO INJ CT 25 FA VD INC X 10 ML + 25 AMP VD INC X 10 ML, AB3
501300703155418, KEFTRON, KEFTRON, NOT FOUND, 1G PO INJ CT 50 FA VD INC X 10 ML, AB3
501300704151416, KEFTRON, KEFTRON, NOT FOUND, 1G PO INJ CT 50 FA VD INC X 10 ML + 50 AMP PLAS DIL X 10 ML, AB3
501301201153417, KEROXIME, KEROXIME, NOT FOUND, 750 MG PO INJ CT 25 FA VD INC X 10 ML, AB3
501301202151418, KEROXIME, KEROXIME, NOT FOUND, 750 MG PO INJ CT 25 FA VD INC X 10 ML + 25 AMP DIL X 10 ML, AB3
501301203156413, KEROXIME, KEROXIME, NOT FOUND, 750 MG PO INJ CT 50 FA VD INC X 10 ML, AB3
501301204152411, KEROXIME, KEROXIME, NOT FOUND, 750 MG PO INJ CT 50 FA VD INC X 10 ML + 50 AMP DIL X 10 ML, AB3
501301205159411, KEROXIME, KEROXIME, NOT FOUND, 750 MG PO INJ CT FA VD INC X 10 ML, AB3
501301206155418, KEROXIME, KEROXIME, NOT FOUND, 750 MG PO INJ CT FA VD INC X 10 ML + AMP DIL X 10 ML, AB3
