501301601151411, ÁGUA PARA INJEÇÃO, AGUA PARA INJECAO, NOT FOUND, SOL INJ CT 25 AMP PLAS INC X 10 ML, AB3
501302605150116, AMPICILINA SÓDICA + SULBACTAM SÓDICA, AMPICILINA SODICA SULBACTAM SODICA, NOT FOUND, 1 G + 0.5 G PO SOL INJ IV CX 50 FA VD INC X 30 , AB3
501302607153112, AMPICILINA SÓDICA + SULBACTAM SÓDICA, AMPICILINA SODICA SULBACTAM SODICA, NOT FOUND, 2 G + 1 G PO SOL INJ IV CT FA VD INC X 30 , AB3
501302606157114, AMPICILINA SÓDICA + SULBACTAM SÓDICA, AMPICILINA SODICA SULBACTAM SODICA, NOT FOUND, 2 G + 1 G PO SOL INJ IV CX 10 FA VD INC X 30 , AB3
501302608151113, AMPICILINA SÓDICA + SULBACTAM SÓDICA, AMPICILINA SODICA SULBACTAM SODICA, NOT FOUND, 2 G + 1 G PO SOL INJ IV CX 100 FA VD INC X 30 , AB3
501302609156119, AMPICILINA SÓDICA + SULBACTAM SÓDICA, AMPICILINA SODICA SULBACTAM SODICA, NOT FOUND, 2 G + 1 G PO SOL INJ IV CX 25 FA VD INC X 30 , AB3
501302610154116, AMPICILINA SÓDICA + SULBACTAM SÓDICA, AMPICILINA SODICA SULBACTAM SODICA, NOT FOUND, 2 G + 1 G PO SOL INJ IV CX 50 FA VD INC X 30 , AB3
501301601151411, ÁGUA PARA INJEÇÃO, AGUA PARA INJECAO, NOT FOUND, SOL INJ CT 25 AMP PLAS INC X 10 ML, AB3
501301602158411, ÁGUA PARA INJEÇÃO, AGUA PARA INJECAO, NOT FOUND, SOL INJ CT 50 AMP PLAS INC X 10 ML, AB3
501301603154418, ÁGUA PARA INJEÇÃO, AGUA PARA INJECAO, NOT FOUND, SOL INJ CT AMP PLAS INC X 10 ML, AB3
501302601155113, AMPICILINA SÓDICA + SULBACTAM SÓDICA, AMPICILINA SODICA SULBACTAM SODICA, NOT FOUND, 1 G + 0.5 G PO SOL INJ IV CT FA VD INC X 30 , AB3
501302602151111, AMPICILINA SÓDICA + SULBACTAM SÓDICA, AMPICILINA SODICA SULBACTAM SODICA, NOT FOUND, 1 G + 0.5 G PO SOL INJ IV CX 10 FA VD INC X 30 , AB3
501302603158111, AMPICILINA SÓDICA + SULBACTAM SÓDICA, AMPICILINA SODICA SULBACTAM SODICA, NOT FOUND, 1 G + 0.5 G PO SOL INJ IV CX 100 FA VD INC X 30 , AB3
501302604154118, AMPICILINA SÓDICA + SULBACTAM SÓDICA, AMPICILINA SODICA SULBACTAM SODICA, NOT FOUND, 1 G + 0.5 G PO SOL INJ IV CX 25 FA VD INC X 30 , AB3
501302605150116, AMPICILINA SÓDICA + SULBACTAM SÓDICA, AMPICILINA SODICA SULBACTAM SODICA, NOT FOUND, 1 G + 0.5 G PO SOL INJ IV CX 50 FA VD INC X 30 , AB3
501302607153112, AMPICILINA SÓDICA + SULBACTAM SÓDICA, AMPICILINA SODICA SULBACTAM SODICA, NOT FOUND, 2 G + 1 G PO SOL INJ IV CT FA VD INC X 30 , AB3
501302606157114, AMPICILINA SÓDICA + SULBACTAM SÓDICA, AMPICILINA SODICA SULBACTAM SODICA, NOT FOUND, 2 G + 1 G PO SOL INJ IV CX 10 FA VD INC X 30 , AB3
501302608151113, AMPICILINA SÓDICA + SULBACTAM SÓDICA, AMPICILINA SODICA SULBACTAM SODICA, NOT FOUND, 2 G + 1 G PO SOL INJ IV CX 100 FA VD INC X 30 , AB3
501302609156119, AMPICILINA SÓDICA + SULBACTAM SÓDICA, AMPICILINA SODICA SULBACTAM SODICA, NOT FOUND, 2 G + 1 G PO SOL INJ IV CX 25 FA VD INC X 30 , AB3
501302610154116, AMPICILINA SÓDICA + SULBACTAM SÓDICA, AMPICILINA SODICA SULBACTAM SODICA, NOT FOUND, 2 G + 1 G PO SOL INJ IV CX 50 FA VD INC X 30 , AB3
501301601151411, ÁGUA PARA INJEÇÃO, AGUA PARA INJECAO, NOT FOUND, SOL INJ CT 25 AMP PLAS INC X 10 ML, AB3
501301602158411, ÁGUA PARA INJEÇÃO, AGUA PARA INJECAO, NOT FOUND, SOL INJ CT 50 AMP PLAS INC X 10 ML, AB3
501301603154418, ÁGUA PARA INJEÇÃO, AGUA PARA INJECAO, NOT FOUND, SOL INJ CT AMP PLAS INC X 10 ML, AB3
501302601155113, AMPICILINA SÓDICA + SULBACTAM SÓDICA, AMPICILINA SODICA SULBACTAM SODICA, NOT FOUND, 1 G + 0.5 G PO SOL INJ IV CT FA VD INC X 30 , AB3
501302602151111, AMPICILINA SÓDICA + SULBACTAM SÓDICA, AMPICILINA SODICA SULBACTAM SODICA, NOT FOUND, 1 G + 0.5 G PO SOL INJ IV CX 10 FA VD INC X 30 , AB3
501302603158111, AMPICILINA SÓDICA + SULBACTAM SÓDICA, AMPICILINA SODICA SULBACTAM SODICA, NOT FOUND, 1 G + 0.5 G PO SOL INJ IV CX 100 FA VD INC X 30 , AB3
501302604154118, AMPICILINA SÓDICA + SULBACTAM SÓDICA, AMPICILINA SODICA SULBACTAM SODICA, NOT FOUND, 1 G + 0.5 G PO SOL INJ IV CX 25 FA VD INC X 30 , AB3
501302605150116, AMPICILINA SÓDICA + SULBACTAM SÓDICA, AMPICILINA SODICA SULBACTAM SODICA, NOT FOUND, 1 G + 0.5 G PO SOL INJ IV CX 50 FA VD INC X 30 , AB3
501302607153112, AMPICILINA SÓDICA + SULBACTAM SÓDICA, AMPICILINA SODICA SULBACTAM SODICA, NOT FOUND, 2 G + 1 G PO SOL INJ IV CT FA VD INC X 30 , AB3
501302606157114, AMPICILINA SÓDICA + SULBACTAM SÓDICA, AMPICILINA SODICA SULBACTAM SODICA, NOT FOUND, 2 G + 1 G PO SOL INJ IV CX 10 FA VD INC X 30 , AB3
501302608151113, AMPICILINA SÓDICA + SULBACTAM SÓDICA, AMPICILINA SODICA SULBACTAM SODICA, NOT FOUND, 2 G + 1 G PO SOL INJ IV CX 100 FA VD INC X 30 , AB3
501302609156119, AMPICILINA SÓDICA + SULBACTAM SÓDICA, AMPICILINA SODICA SULBACTAM SODICA, NOT FOUND, 2 G + 1 G PO SOL INJ IV CX 25 FA VD INC X 30 , AB3
501302610154116, AMPICILINA SÓDICA + SULBACTAM SÓDICA, AMPICILINA SODICA SULBACTAM SODICA, NOT FOUND, 2 G + 1 G PO SOL INJ IV CX 50 FA VD INC X 30 , AB3
501301601151411, ÁGUA PARA INJEÇÃO, AGUA PARA INJECAO, NOT FOUND, SOL INJ CT 25 AMP PLAS INC X 10 ML, AB3
501301602158411, ÁGUA PARA INJEÇÃO, AGUA PARA INJECAO, NOT FOUND, SOL INJ CT 50 AMP PLAS INC X 10 ML, AB3
501301603154418, ÁGUA PARA INJEÇÃO, AGUA PARA INJECAO, NOT FOUND, SOL INJ CT AMP PLAS INC X 10 ML, AB3
501302601155113, AMPICILINA SÓDICA + SULBACTAM SÓDICA, AMPICILINA SODICA SULBACTAM SODICA, NOT FOUND, 1 G + 0.5 G PO SOL INJ IV CT FA VD INC X 30 , AB3
501302602151111, AMPICILINA SÓDICA + SULBACTAM SÓDICA, AMPICILINA SODICA SULBACTAM SODICA, NOT FOUND, 1 G + 0.5 G PO SOL INJ IV CX 10 FA VD INC X 30 , AB3
501302603158111, AMPICILINA SÓDICA + SULBACTAM SÓDICA, AMPICILINA SODICA SULBACTAM SODICA, NOT FOUND, 1 G + 0.5 G PO SOL INJ IV CX 100 FA VD INC X 30 , AB3
501302604154118, AMPICILINA SÓDICA + SULBACTAM SÓDICA, AMPICILINA SODICA SULBACTAM SODICA, NOT FOUND, 1 G + 0.5 G PO SOL INJ IV CX 25 FA VD INC X 30 , AB3
501302605150116, AMPICILINA SÓDICA + SULBACTAM SÓDICA, AMPICILINA SODICA SULBACTAM SODICA, NOT FOUND, 1 G + 0.5 G PO SOL INJ IV CX 50 FA VD INC X 30 , AB3
501302607153112, AMPICILINA SÓDICA + SULBACTAM SÓDICA, AMPICILINA SODICA SULBACTAM SODICA, NOT FOUND, 2 G + 1 G PO SOL INJ IV CT FA VD INC X 30 , AB3
501302606157114, AMPICILINA SÓDICA + SULBACTAM SÓDICA, AMPICILINA SODICA SULBACTAM SODICA, NOT FOUND, 2 G + 1 G PO SOL INJ IV CX 10 FA VD INC X 30 , AB3
501302608151113, AMPICILINA SÓDICA + SULBACTAM SÓDICA, AMPICILINA SODICA SULBACTAM SODICA, NOT FOUND, 2 G + 1 G PO SOL INJ IV CX 100 FA VD INC X 30 , AB3
501302609156119, AMPICILINA SÓDICA + SULBACTAM SÓDICA, AMPICILINA SODICA SULBACTAM SODICA, NOT FOUND, 2 G + 1 G PO SOL INJ IV CX 25 FA VD INC X 30 , AB3
501302610154116, AMPICILINA SÓDICA + SULBACTAM SÓDICA, AMPICILINA SODICA SULBACTAM SODICA, NOT FOUND, 2 G + 1 G PO SOL INJ IV CX 50 FA VD INC X 30 , AB3
501301601151411, ÁGUA PARA INJEÇÃO, AGUA PARA INJECAO, NOT FOUND, SOL INJ CT 25 AMP PLAS INC X 10 ML, AB3
501301602158411, ÁGUA PARA INJEÇÃO, AGUA PARA INJECAO, NOT FOUND, SOL INJ CT 50 AMP PLAS INC X 10 ML, AB3
501301603154418, ÁGUA PARA INJEÇÃO, AGUA PARA INJECAO, NOT FOUND, SOL INJ CT AMP PLAS INC X 10 ML, AB3
501302601155113, AMPICILINA SÓDICA + SULBACTAM SÓDICA, AMPICILINA SODICA SULBACTAM SODICA, NOT FOUND, 1 G + 0.5 G PO SOL INJ IV CT FA VD INC X 30 , AB3
501302602151111, AMPICILINA SÓDICA + SULBACTAM SÓDICA, AMPICILINA SODICA SULBACTAM SODICA, NOT FOUND, 1 G + 0.5 G PO SOL INJ IV CX 10 FA VD INC X 30 , AB3
501302603158111, AMPICILINA SÓDICA + SULBACTAM SÓDICA, AMPICILINA SODICA SULBACTAM SODICA, NOT FOUND, 1 G + 0.5 G PO SOL INJ IV CX 100 FA VD INC X 30 , AB3
501302604154118, AMPICILINA SÓDICA + SULBACTAM SÓDICA, AMPICILINA SODICA SULBACTAM SODICA, NOT FOUND, 1 G + 0.5 G PO SOL INJ IV CX 25 FA VD INC X 30 , AB3
501302605150116, AMPICILINA SÓDICA + SULBACTAM SÓDICA, AMPICILINA SODICA SULBACTAM SODICA, NOT FOUND, 1 G + 0.5 G PO SOL INJ IV CX 50 FA VD INC X 30 , AB3
501302607153112, AMPICILINA SÓDICA + SULBACTAM SÓDICA, AMPICILINA SODICA SULBACTAM SODICA, NOT FOUND, 2 G + 1 G PO SOL INJ IV CT FA VD INC X 30 , AB3
501302606157114, AMPICILINA SÓDICA + SULBACTAM SÓDICA, AMPICILINA SODICA SULBACTAM SODICA, NOT FOUND, 2 G + 1 G PO SOL INJ IV CX 10 FA VD INC X 30 , AB3
501302608151113, AMPICILINA SÓDICA + SULBACTAM SÓDICA, AMPICILINA SODICA SULBACTAM SODICA, NOT FOUND, 2 G + 1 G PO SOL INJ IV CX 100 FA VD INC X 30 , AB3
501302609156119, AMPICILINA SÓDICA + SULBACTAM SÓDICA, AMPICILINA SODICA SULBACTAM SODICA, NOT FOUND, 2 G + 1 G PO SOL INJ IV CX 25 FA VD INC X 30 , AB3
501302610154116, AMPICILINA SÓDICA + SULBACTAM SÓDICA, AMPICILINA SODICA SULBACTAM SODICA, NOT FOUND, 2 G + 1 G PO SOL INJ IV CX 50 FA VD INC X 30 , AB3
