78364; BALSAMO BENGUE ; BALSAMO BENGUE; NOT FOUND; AERO 60 G x 1; E3S
76953; BISURAN ; BISURAN; NOT FOUND; XAR. 4 MG 120 ML x 1 (/5ML); E3S
78250; BISURAN ; BISURAN; NOT FOUND; XAR. AD 8 MG 120 ML x 1 (/5ML); E3S
81110; BONECAL D ; BONECAL D; NOT FOUND; CPR REVEST 600 MG x 30 (/400); E3S
81111; BONECAL D ; BONECAL D; NOT FOUND; CPR REVEST 600 MG x 60 (/400); E3S
79280; BRASART ; BRASART; NOT FOUND; CPR. REV. 160 MG x 30; E3S
79281; BRASART ; BRASART; NOT FOUND; CPR. REV. 320 MG x 30; E3S
79279; BRASART ; BRASART; NOT FOUND; CPR. REV. 80 MG x 30; E3S
154089; BRASART BCC ; BRASART BCC; NOT FOUND; CPR REV 160 MG x 10 (/5); E3S
154090; BRASART BCC ; BRASART BCC; NOT FOUND; CPR REV 160 MG x 30 (/5); E3S
154088; BRASART BCC ; BRASART BCC; NOT FOUND; CPR REV 160 MG x 60 (/5); E3S
154085; BRASART BCC ; BRASART BCC; NOT FOUND; CPR REV 320 MG x 30 (/10); E3S
154087; BRASART BCC ; BRASART BCC; NOT FOUND; CPR REV 320 MG x 30 (/5); E3S
154086; BRASART BCC ; BRASART BCC; NOT FOUND; CPR REV 320 MG x 60 (/5); E3S
158154; BRASART HCT ; BRASART HCT; NOT FOUND; CPR REVEST 12.5 MG x 30 (/320); E3S
93533; BRASART HCT ; BRASART HCT; NOT FOUND; CPR REVEST 160 MG x 30 (/12.); E3S
93534; BRASART HCT ; BRASART HCT; NOT FOUND; CPR REVEST 160 MG x 30 (/25); E3S
93535; BRASART HCT ; BRASART HCT; NOT FOUND; CPR REVEST 320 MG x 30 (/25); E3S
93532; BRASART HCT ; BRASART HCT; NOT FOUND; CPR REVEST 80 MG x 30 (/12.); E3S
104555; BROM PINAVERIO MG ; BROM PINAVERIO; BROMETO PINAVERIO; CPR REV 100 MG x 30; E3S
104556; BROM PINAVERIO MG ; BROM PINAVERIO; BROMETO PINAVERIO; CPR REV 100 MG x 60; E3S
63782; BROM.FENOTEROL MG ; BROM FENOTEROL; NOT FOUND; GOTAS 5 MG 20 ML x 1 (/ML); E3S
67945; BROM.FENOTEROL MG ; BROM FENOTEROL; NOT FOUND; XPE ADLT 0.50 MG 120 ML x 1 (/M; E3S
67946; BROM.FENOTEROL MG ; BROM FENOTEROL; NOT FOUND; XPE INF. 0.25 MG 120 ML x 1 (/ML; E3S
63984; BROMAZEPAM MG ; BROMAZEPAM; BROMAZEPAM; CPR 3 MG x 20; E3S
68168; BROMAZEPAM MG ; BROMAZEPAM; BROMAZEPAM; CPR 3 MG x 30; E3S
57021; BROMAZEPAM MG ; BROMAZEPAM; BROMAZEPAM; CPR 6 MG x 20; E3S
67942; BROMAZEPAM MG ; BROMAZEPAM; BROMAZEPAM; CPR 6 MG x 30; E3S
71978; BROMAZEPAM MG ; BROMAZEPAM; BROMAZEPAM; GOTAS 2.50 MG 20 ML x 1 (/ML); E3S
76329; BROMETO IPRATRO.MG ; BROMETO IPRATRO; BROMETO IPRATROPIO; SOLN INALT 0.25 MG 20 ML x 1 (; E3S
55367; BROMIL ; BROMIL; NOT FOUND; PAST LIMAO 1 G x 10; E3S
55366; BROMIL ; BROMIL; NOT FOUND; PAST MENTA 1 G x 10; E3S
47788; BROMIL EXPECTORANT ; BROMIL EXPECTORANT; NOT FOUND; XAR. AD 150 ML x 1; E3S
47787; BROMIL EXPECTORANT ; BROMIL EXPECTORANT; NOT FOUND; XAR. INF 150 ML x 1; E3S
55369; BROMIL GRIPE ; BROMIL GRIPE; NOT FOUND; SACH.MEL/LIM 5 G x 50; E3S
33306; BROMOPIRIN ; BROMOPIRIN; NOT FOUND; CAPS x 20; E3S
78671; BROMOPRIDA MG ; BROMOPRIDA; BROMOPRIDA; CAPS 10 MG x 20; E3S
57688; BROMOPRIDA MG ; BROMOPRIDA; BROMOPRIDA; GOTAS 4 MG 20 ML x 1 (/ML); E3S
67949; BROMOPRIDA MG ; BROMOPRIDA; BROMOPRIDA; SOLN ORAL 1 MG 120 ML x 1 (/ML); E3S
100566; BRONDELIX ; BRONDELIX; NOT FOUND; XAROPE 7 MG 100 ML x 1 (/ML); E3S
86645; BUPIUM ; BUPIUM; NOT FOUND; CPR REV L L 150 MG x 30; E3S
86646; BUPIUM ; BUPIUM; NOT FOUND; CPR REV L L 150 MG x 60; E3S
57950; BUTIL ES+D S GO MG ; BUTIL ES D S GO; NOT FOUND; GOTAS 20 ML x 1; E3S
66530; BUTILB ESCOPOLA MG ; BUTILB ESCOPOLA; BUTILBROMETO ESCOPOLAMINA; GOTAS 10 MG 20 ML x 1 (/ML); E3S
