46644; C.CALCIO ; C CALCIO; NOT FOUND; CPR EFER x 10; E3S
59874; CARBAMAZEPINA MG ; CARBAMAZEPINA; CARBAMAZEPINA; CPR 400 MG x 20; E3S
67448; CARBOCISTEINA MG ; CARBOCISTEINA; CARBOCISTEINA; GOTAS 50 MG 20 ML x 1 (/ML); E3S
57133; CARBOCISTEINA MG ; CARBOCISTEINA; CARBOCISTEINA; XAR. 20 MG 100 ML x 1 (/ML); E3S
57134; CARBOCISTEINA MG ; CARBOCISTEINA; CARBOCISTEINA; XAR. 50 MG 100 ML x 1 (/ML); E3S
69472; CARDIOAAS ; CARDIOAAS; NOT FOUND; CPR ENTERIC 165 MG x 30; E3S
63652; CARDIOAAS ; CARDIOAAS; NOT FOUND; CPR ENTERIC 325 MG x 30; E3S
63651; CARDIOAAS ; CARDIOAAS; NOT FOUND; CPR ENTERIC 85 MG x 30; E3S
64368; CARVEDILAT ; CARVEDILAT; NOT FOUND; CPR 12.5 MG x 30; E3S
64369; CARVEDILAT ; CARVEDILAT; NOT FOUND; CPR 25 MG x 30; E3S
64366; CARVEDILAT ; CARVEDILAT; NOT FOUND; CPR 3.12 MG x 30; E3S
64367; CARVEDILAT ; CARVEDILAT; NOT FOUND; CPR 6.25 MG x 30; E3S
102175; CARVEDILOL MG ; CARVEDILOL; CARVEDILOL; CPR 12.5 MG x 15; E3S
102176; CARVEDILOL MG ; CARVEDILOL; CARVEDILOL; CPR 12.5 MG x 30; E3S
102177; CARVEDILOL MG ; CARVEDILOL; CARVEDILOL; CPR 25 MG x 15; E3S
102178; CARVEDILOL MG ; CARVEDILOL; CARVEDILOL; CPR 25 MG x 30; E3S
102179; CARVEDILOL MG ; CARVEDILOL; CARVEDILOL; CPR 25 MG x 60; E3S
102171; CARVEDILOL MG ; CARVEDILOL; CARVEDILOL; CPR 3.12 MG x 15; E3S
102172; CARVEDILOL MG ; CARVEDILOL; CARVEDILOL; CPR 3.12 MG x 30; E3S
102173; CARVEDILOL MG ; CARVEDILOL; CARVEDILOL; CPR 6.25 MG x 15; E3S
102174; CARVEDILOL MG ; CARVEDILOL; CARVEDILOL; CPR 6.25 MG x 30; E3S
44860; CECLOR ; CECLOR; NOT FOUND; CAPS 250 MG x 10; E3S
47792; CECLOR ; CECLOR; NOT FOUND; CAPS 500 MG x 10; E3S
76241; CECLOR ; CECLOR; NOT FOUND; CPR REVES.BD 500 MG x 10; E3S
72517; CECLOR ; CECLOR; NOT FOUND; CPR REVES.BD 750 MG x 14; E3S
69832; CECLOR ; CECLOR; NOT FOUND; SUSP 250 MG 100 ML x 1 (/5ML); E3S
46585; CECLOR ; CECLOR; NOT FOUND; SUSP 250 MG 80 ML x 1 (/5ML); E3S
69833; CECLOR ; CECLOR; NOT FOUND; SUSP 375 MG 100 ML x 1 (/5ML); E3S
50421; CECLOR ; CECLOR; NOT FOUND; SUSP 375 MG 80 ML x 1 (/5ML); E3S
65530; CECLOR AF ; CECLOR AF; NOT FOUND; DRAG L.P 500 MG x 10; E3S
51080; CECLOR AF ; CECLOR AF; NOT FOUND; DRAG L.P 750 MG x 10; E3S
57410; CECLOR AF ; CECLOR AF; NOT FOUND; DRAG L.P 750 MG x 14; E3S
59800; CEFACLOR MG ; CEFACLOR; CEFACLOR; CAPS 250 MG x 10; E3S
59801; CEFACLOR MG ; CEFACLOR; CEFACLOR; CAPS 500 MG x 10; E3S
70464; CEFACLOR MG ; CEFACLOR; CEFACLOR; CAPS 500 MG x 30; E3S
60834; CEFACLOR MG ; CEFACLOR; CEFACLOR; SUSP 250 MG 80 ML x 1 (/5ML); E3S
60835; CEFACLOR MG ; CEFACLOR; CEFACLOR; SUSP 375 MG 80 ML x 1 (/5ML); E3S
69653; CEFADROXILA MG ; CEFADROXILA; CEFADROXILA; CAPS 500 MG x 60; E3S
58361; CEFADROXILA MG ; CEFADROXILA; CEFADROXILA; CAPS 500 MG x 8; E3S
58362; CEFADROXILA MG ; CEFADROXILA; CEFADROXILA; PO P/SUSP 250 MG 100 ML x 1 (/5ML); E3S
58363; CEFADROXILA MG ; CEFADROXILA; CEFADROXILA; PO P/SUSP 500 MG 100 ML x 1 (/5ML); E3S
67450; CEFALEXINA MG ; CEFALEXINA; CEFALEXINA; CPR REVEST 1 G x 8; E3S
60458; CEFALEXINA MG ; CEFALEXINA; CEFALEXINA; CPR REVEST 500 MG x 10; E3S
69654; CEFALEXINA MG ; CEFALEXINA; CEFALEXINA; CPR REVEST 500 MG x 60; E3S
56116; CEFALEXINA MG ; CEFALEXINA; CEFALEXINA; CPR REVEST 500 MG x 8; E3S
61185; CEFALEXINA MG ; CEFALEXINA; CEFALEXINA; SUSP 250 MG 100 ML x 1 (/5ML); E3S
54139; CEFTRIAX ; CEFTRIAX; NOT FOUND; F.IM SOLV. 1 G 3.50 ML x 1; E3S
54137; CEFTRIAX ; CEFTRIAX; NOT FOUND; F.IM SOLV. 250 MG 2 ML x 1; E3S
54138; CEFTRIAX ; CEFTRIAX; NOT FOUND; F.IM SOLV. 500 MG 2 ML x 1; E3S
58191; CEFTRIAX ; CEFTRIAX; NOT FOUND; F.IV SOLV 1 G x 1; E3S
58190; CEFTRIAX ; CEFTRIAX; NOT FOUND; F.IV SOLV 500 MG x 1; E3S
59052; CEFTRIAXONA SOD.MG ; CEFTRIAXONA SOD; CEFTRIAXONA SODICA; F.IM SOLV. 1 G 3.50 ML x 1; E3S
59051; CEFTRIAXONA SOD.MG ; CEFTRIAXONA SOD; CEFTRIAXONA SODICA; F.IM SOLV. 500 MG 2 ML x 1; E3S
62443; CELERGIN ; CELERGIN; NOT FOUND; CPR x 20; E3S
62454; CELERGIN ; CELERGIN; NOT FOUND; XAR. 120 ML x 1; E3S
51797; CENALFAN ; CENALFAN; NOT FOUND; CPR REVEST x 30; E3S
33532; CENALFAN ; CENALFAN; NOT FOUND; GOTAS 24 ML x 1; E3S
50495; CENALFAN PLUS ; CENALFAN PLUS; NOT FOUND; CPR REVEST x 32; E3S
69920; CET+D.BET+S.NEO MG ; CET D BET S NEO; NOT FOUND; CREME 10 G x 1; E3S
61843; CET+D.BET+S.NEO MG ; CET D BET S NEO; NOT FOUND; CREME 30 G x 1; E3S
69919; CET+D.BET+S.NEO MG ; CET D BET S NEO; NOT FOUND; POM. 10 G x 1; E3S
61844; CET+D.BET+S.NEO MG ; CET D BET S NEO; NOT FOUND; POM. 30 G x 1; E3S
62645; CETO+DIP BETAME MG ; CETO DIP BETAME; NOT FOUND; CREME 30 G x 1; E3S
62644; CETO+DIP BETAME MG ; CETO DIP BETAME; NOT FOUND; POM. 30 G x 1; E3S
57233; CETOCONAZOL MG ; CETOCONAZOL; CETOCONAZOL; CPR 200 MG x 10; E3S
58103; CETOCONAZOL MG ; CETOCONAZOL; CETOCONAZOL; CPR 200 MG x 30; E3S
70465; CETOCONAZOL MG ; CETOCONAZOL; CETOCONAZOL; CPR 200 MG x 60; E3S
56559; CETOCONAZOL MG ; CETOCONAZOL; CETOCONAZOL; CREME 30 G x 1 (/G); E3S
57695; CETOCONAZOL SHA.MG ; CETOCONAZOL SHA; NOT FOUND; XAMP 20 MG 100 ML x 1 (/ML); E3S
61965; CETOPROFENO GEL MG ; CETOPROFENO GEL; NOT FOUND; GEL. 25 MG 30 G x 1 (/G); E3S
62931; CETOPROFENO MG ; CETOPROFENO; CETOPROFENO; CAPS 50 MG x 24; E3S
70466; CETOPROFENO MG ; CETOPROFENO; CETOPROFENO; CAPS 50 MG x 60; E3S
69924; CETORO.TROMETAM.MG ; CETORO TROMETAM; NOT FOUND; CPR SUBLING. 10 MG x 10; E3S
63155; CETORO.TROMETAM.MG ; CETORO TROMETAM; NOT FOUND; SOLN OFTAL 5 MG 5 ML x 1 (/ML); E3S
66532; CHRON-ASA 5 ; CHRON ASA 5; NOT FOUND; CPR REVEST 400 MG x 30; E3S
70519; CHRON-ASA 5 ; CHRON ASA 5; NOT FOUND; CPR REVEST 500 MG x 50; E3S
66531; CHRON-ASA 5 ; CHRON ASA 5; NOT FOUND; CPR REVEST 800 MG x 20; E3S
66533; CHRON-ASA 5 ; CHRON ASA 5; NOT FOUND; ENEMA 3 G 100 ML x 1; E3S
78468; CICATENOL ; CICATENOL; NOT FOUND; POM. 30 G x 1; E3S
76774; CICLOPIROX OLAM.MG ; CICLOPIROX OLAM; CICLOPIROX OLAMINA; SOLN TOP. 10 MG 15 ML x 1 (/ML; E3S
51798; CINCORDIL ; CINCORDIL; NOT FOUND; CPR 20 MG x 30; E3S
51799; CINCORDIL ; CINCORDIL; NOT FOUND; CPR 40 MG x 30; E3S
74055; CIPROFL+DEXAMET MG ; CIPROFL DEXAMET; NOT FOUND; SOLN OFTAL 5 ML x 1; E3S
77923; CIT SILDENAFILA MG ; CIT SILDENAFILA; CITRATO SILDENAFILA; CPR REVEST 100 MG x 1; E3S
77924; CIT SILDENAFILA MG ; CIT SILDENAFILA; CITRATO SILDENAFILA; CPR REVEST 100 MG x 2; E3S
77925; CIT SILDENAFILA MG ; CIT SILDENAFILA; CITRATO SILDENAFILA; CPR REVEST 100 MG x 4; E3S
77915; CIT SILDENAFILA MG ; CIT SILDENAFILA; CITRATO SILDENAFILA; CPR REVEST 25 MG x 1; E3S
77916; CIT SILDENAFILA MG ; CIT SILDENAFILA; CITRATO SILDENAFILA; CPR REVEST 25 MG x 2; E3S
77917; CIT SILDENAFILA MG ; CIT SILDENAFILA; CITRATO SILDENAFILA; CPR REVEST 25 MG x 4; E3S
77918; CIT SILDENAFILA MG ; CIT SILDENAFILA; CITRATO SILDENAFILA; CPR REVEST 50 MG x 1; E3S
77922; CIT SILDENAFILA MG ; CIT SILDENAFILA; CITRATO SILDENAFILA; CPR REVEST 50 MG x 12; E3S
77919; CIT SILDENAFILA MG ; CIT SILDENAFILA; CITRATO SILDENAFILA; CPR REVEST 50 MG x 2; E3S
77920; CIT SILDENAFILA MG ; CIT SILDENAFILA; CITRATO SILDENAFILA; CPR REVEST 50 MG x 4; E3S
77921; CIT SILDENAFILA MG ; CIT SILDENAFILA; CITRATO SILDENAFILA; CPR REVEST 50 MG x 8; E3S
68331; CIT.ORF+D.S+CAF MG ; CIT ORF D S CAF; NOT FOUND; GOTAS 20 ML x 1; E3S
77324; CITALOPRAM MG ; CITALOPRAM; CITALOPRAM; CPR REVEST 20 MG x 14; E3S
77323; CITALOPRAM MG ; CITALOPRAM; CITALOPRAM; CPR REVEST 20 MG x 28; E3S
77322; CITALOPRAM MG ; CITALOPRAM; CITALOPRAM; CPR REVEST 20 MG x 30; E3S
57701; CLARITROMICINA MG ; CLARITROMICINA; CLARITROMICINA; CPR REVEST 500 MG x 10; E3S
57700; CLARITROMICINA MG ; CLARITROMICINA; CLARITROMICINA; CPR REVEST 500 MG x 14; E3S
70295; CLARITROMICINA MG ; CLARITROMICINA; CLARITROMICINA; CPR REVEST 500 MG x 30; E3S
61431; CLARITROMICINA MG ; CLARITROMICINA; CLARITROMICINA; SUSP 25 MG 60 ML x 1 (/ML); E3S
61432; CLARITROMICINA MG ; CLARITROMICINA; CLARITROMICINA; SUSP 50 MG 60 ML x 1 (/ML); E3S
62534; CLO ; CLO; NOT FOUND; CPR REVEST 10 MG x 20; E3S
62535; CLO ; CLO; NOT FOUND; CPR REVEST 25 MG x 20; E3S
64399; CLO ; CLO; NOT FOUND; CPR REVEST 75 MG x 20; E3S
71312; CLO CLINDAMICIN MG ; CLO CLINDAMICIN; CLORIDRATO CLINDAMICINA; CAPS 300 MG x 16; E3S
71561; CLO CLINDAMICIN MG ; CLO CLINDAMICIN; CLORIDRATO CLINDAMICINA; CAPS 300 MG x 72; E3S
79575; CLO DOR+MAL TIM MG ; CLO DOR MAL TIM; NOT FOUND; SOLN OFTAL. 5 ML x 1; E3S
76779; CLO DORZOLAMIDA MG ; CLO DORZOLAMIDA; CLORIDRATO DORZOLAMIDA; SOLN OFTAL 20 MG 5 ML x 1 (/ML; E3S
57055; CLO DOXICICLINA MG ; CLO DOXICICLINA; CLORIDRATO DOXICICLINA; CPR 100 MG x 15; E3S
70589; CLO DOXICICLINA MG ; CLO DOXICICLINA; CLORIDRATO DOXICICLINA; CPR 100 MG x 60; E3S
78655; CLO HIDROXIZINA MG ; CLO HIDROXIZINA; NOT FOUND; CPR 25 MG x 30; E3S
95591; CLO PIOGLITAZO MG ; CLO PIOGLITAZO; CLORIDRATO PIOGLITAZONA; CPR 15 MG x 15; E3S
95594; CLO PIOGLITAZO MG ; CLO PIOGLITAZO; CLORIDRATO PIOGLITAZONA; CPR 30 MG x 15; E3S
95598; CLO PIOGLITAZO MG ; CLO PIOGLITAZO; CLORIDRATO PIOGLITAZONA; CPR 45 MG x 15; E3S
76245; CLO SIBUTRAMINA MG ; CLO SIBUTRAMINA; NOT FOUND; CAPS 10 MG x 30; E3S
76246; CLO SIBUTRAMINA MG ; CLO SIBUTRAMINA; NOT FOUND; CAPS 15 MG x 30; E3S
61433; CLO TERBINAFINA MG ; CLO TERBINAFINA; CLORIDRATO TERBINAFINA; CPR 125 MG x 14; E3S
61436; CLO TERBINAFINA MG ; CLO TERBINAFINA; CLORIDRATO TERBINAFINA; CPR 250 MG x 14; E3S
61437; CLO TERBINAFINA MG ; CLO TERBINAFINA; CLORIDRATO TERBINAFINA; CPR 250 MG x 28; E3S
62646; CLO TETR+ANFO B MG ; CLO TETR ANFO B; NOT FOUND; CREME VAG. 45 G x 1; E3S
73810; CLO TICLOPIDINA MG ; CLO TICLOPIDINA; CLORIDRATO TICLOPIDINA; CPR REVEST 250 MG x 20; E3S
73811; CLO TICLOPIDINA MG ; CLO TICLOPIDINA; CLORIDRATO TICLOPIDINA; CPR REVEST 250 MG x 30; E3S
76468; CLO VENLAFAXINA MG ; CLO VENLAFAXINA; CLORIDRATO VENLAFAXINA; CAPS L.P. 150 MG x 14; E3S
76467; CLO VENLAFAXINA MG ; CLO VENLAFAXINA; CLORIDRATO VENLAFAXINA; CAPS L.P. 150 MG x 30; E3S
112596; CLO VENLAFAXINA MG ; CLO VENLAFAXINA; CLORIDRATO VENLAFAXINA; CAPS L.P. 75 MG x 15; E3S
112597; CLO VENLAFAXINA MG ; CLO VENLAFAXINA; CLORIDRATO VENLAFAXINA; CAPS L.P. 75 MG x 30; E3S
67515; CLO.ANFEPRAMONA MG ; CLO ANFEPRAMONA; CLORIDRATO ANFEPRAMONA; CPR 25 MG x 20; E3S
67807; CLO.ANFEPRAMONA MG ; CLO ANFEPRAMONA; CLORIDRATO ANFEPRAMONA; CPR 75 MG x 20; E3S
69158; CLO.OXIBUTININA MG ; CLO OXIBUTININA; CLORIDRATO OXIBUTININA; XAR. 1 MG 120 ML x 1 (/ML); E3S
75010; CLONAZEPAM MG ; CLONAZEPAM; CLONAZEPAM; CPR 2 MG x 30; E3S
67454; CLONAZEPAM MG ; CLONAZEPAM; CLONAZEPAM; GOTAS 2.50 MG 20 ML x 1 (/ML); E3S
82086; CLOPIDOGREL MG ; CLOPIDOGREL; CLOPIDOGREL; CPR REVEST 75 MG x 14; E3S
82088; CLOPIDOGREL MG ; CLOPIDOGREL; CLOPIDOGREL; CPR REVEST 75 MG x 28; E3S
68102; CLOR BETAXOLOL MG ; CLOR BETAXOLOL; CLORIDRATO BETAXOLOL; SOLN OFTAL 5 MG 5 ML x 1 (/ML); E3S
104557; CLOR MOXIFLOXA MG ; CLOR MOXIFLOXA; CLORIDRATO MOXIFLOXACINO; CPR REV 400 MG x 5; E3S
104558; CLOR MOXIFLOXA MG ; CLOR MOXIFLOXA; CLORIDRATO MOXIFLOXACINO; CPR REV 400 MG x 7; E3S
83412; CLOR NARATRIPTA MG ; CLOR NARATRIPTA; CLORIDRATO NARATRIPTANA; CPR REVEST 2.50 MG x 4; E3S
57703; CLOR TERB CREME MG ; CLOR TERB CREME; NOT FOUND; CREME 1 % 20 G x 1; E3S
66536; CLOR TERB SOL MG ; CLOR TERB SOL; NOT FOUND; SOLN TOP. 10 MG 30 ML x 1 (/G); E3S
66535; CLOR TERB SPRAY MG ; CLOR TERB SPRAY; NOT FOUND; SPRAY 10 MG 30 ML x 1 (/G); E3S
67810; CLOR TRAMADOL MG ; CLOR TRAMADOL; CLORIDRATO TRAMADOL; CAPS GELATIN 50 MG x 10; E3S
61767; CLOR TRAMADOL MG ; CLOR TRAMADOL; CLORIDRATO TRAMADOL; CPR REVEST 100 MG x 10; E3S
62761; CLOR. AMBROXOL MG ; CLOR AMBROXOL; CLORIDRATO AMBROXOL; XAROPE S/A 120 ML x 1 (ADLT); E3S
62763; CLOR. AMBROXOL MG ; CLOR AMBROXOL; CLORIDRATO AMBROXOL; XAROPE S/A 120 ML x 1 (PAED); E3S
71706; CLOR. BROMEXINA MG ; CLOR BROMEXINA; CLORIDRATO BROMEXINA; XPE INF. 4 MG 120 ML x 1 (/5ML); E3S
74350; CLOR. LIDOCAINA MG ; CLOR LIDOCAINA; CLORIDRATO LIDOCAINA; CREME DERMAT 40 MG 30 G x 1 (/G; E3S
68728; CLOR. LIDOCAINA MG ; CLOR LIDOCAINA; CLORIDRATO LIDOCAINA; GEL. 20 MG 30 G x 1 (/G); E3S
74349; CLOR. LIDOCAINA MG ; CLOR LIDOCAINA; CLORIDRATO LIDOCAINA; POM LARANJA 50 MG 25 G x 1 (/G); E3S
74351; CLOR. LIDOCAINA MG ; CLOR LIDOCAINA; CLORIDRATO LIDOCAINA; POM.DERMAT 50 MG 25 G x 1 (/G); E3S
64311; CLOR. VERAPAMIL MG ; CLOR VERAPAMIL; CLORIDRATO VERAPAMIL; CPR REVEST 80 MG x 30; E3S
71452; CLOR. VERAPAMIL MG ; CLOR VERAPAMIL; CLORIDRATO VERAPAMIL; CPR REVEST 80 MG x 90; E3S
64570; CLOR.AMILO+HCT MG ; CLOR AMILO HCT; NOT FOUND; CPR 2.50 MG x 30 (/25); E3S
70762; CLOR.AMILO+HCT MG ; CLOR AMILO HCT; NOT FOUND; CPR 2.50 MG x 90 (/25); E3S
64571; CLOR.AMILO+HCT MG ; CLOR AMILO HCT; NOT FOUND; CPR 5 MG x 30 (/50); E3S
70298; CLOR.AMILO+HCT MG ; CLOR AMILO HCT; NOT FOUND; CPR 5 MG x 90 (/50); E3S
76777; CLOR.AMITRIPTIL.MG ; CLOR AMITRIPTIL; CLORIDRATO AMITRIPTILINA; CPR REVEST 25 MG x 30; E3S
74943; CLOR.AMITRIPTIL.MG ; CLOR AMITRIPTIL; CLORIDRATO AMITRIPTILINA; CPR REVEST 75 MG x 30; E3S
59461; CLOR.AZELASTINA MG ; CLOR AZELASTINA; CLORIDRATO AZELASTINA; SOLN NASAL 1 MG 10 ML x 1 (/ML; E3S
89910; CLOR.BUPROPIONA MG ; CLOR BUPROPIONA; CLORIDRATO BUPROPIONA; CPR REV A P 150 MG x 30; E3S
89901; CLOR.BUPROPIONA MG ; CLOR BUPROPIONA; CLORIDRATO BUPROPIONA; CPR REV A P 150 MG x 60; E3S
77053; CLOR.CICLOBENZA.MG ; CLOR CICLOBENZA; CLORIDRATO CICLOBENZAPRINA; CPR REVEST 10 MG x 10; E3S
77054; CLOR.CICLOBENZA.MG ; CLOR CICLOBENZA; CLORIDRATO CICLOBENZAPRINA; CPR REVEST 10 MG x 15; E3S
77055; CLOR.CICLOBENZA.MG ; CLOR CICLOBENZA; CLORIDRATO CICLOBENZAPRINA; CPR REVEST 10 MG x 30; E3S
78672; CLOR.CICLOBENZA.MG ; CLOR CICLOBENZA; CLORIDRATO CICLOBENZAPRINA; CPR REVEST 5 MG x 30; E3S
57486; CLOR.CIPROFLOXA.MG ; CLOR CIPROFLOXA; CLORIDRATO CIPROFLOXACINO; CPR REVEST 250 MG x 14; E3S
57485; CLOR.CIPROFLOXA.MG ; CLOR CIPROFLOXA; CLORIDRATO CIPROFLOXACINO; CPR REVEST 250 MG x 6; E3S
69929; CLOR.CIPROFLOXA.MG ; CLOR CIPROFLOXA; CLORIDRATO CIPROFLOXACINO; CPR REVEST 500 MG x 10; E3S
57488; CLOR.CIPROFLOXA.MG ; CLOR CIPROFLOXA; CLORIDRATO CIPROFLOXACINO; CPR REVEST 500 MG x 14; E3S
57487; CLOR.CIPROFLOXA.MG ; CLOR CIPROFLOXA; CLORIDRATO CIPROFLOXACINO; CPR REVEST 500 MG x 6; E3S
67455; CLOR.CIPROFLOXA.MG ; CLOR CIPROFLOXA; CLORIDRATO CIPROFLOXACINO; POM. OFTAL 3 MG 3.50 G x 1 (/G; E3S
68364; CLOR.CIPROFLOXA.MG ; CLOR CIPROFLOXA; CLORIDRATO CIPROFLOXACINO; SOLN OFTAL 0.35 % 5 ML x 1; E3S
71875; CLOR.CLOBUTINOL MG ; CLOR CLOBUTINOL; CLORIDRATO CLOBUTINOL; XAR. 4 MG 120 ML x 1 (/ML); E3S
64446; CLOR.CLOMIPRAMI.MG ; CLOR CLOMIPRAMI; CLORIDRATO CLOMIPRAMINA; CPR REVEST 10 MG x 20; E3S
58110; CLOR.CLOMIPRAMI.MG ; CLOR CLOMIPRAMI; CLORIDRATO CLOMIPRAMINA; CPR REVEST 25 MG x 20; E3S
66534; CLOR.DILTIAZEM MG ; CLOR DILTIAZEM; CLORIDRATO DILTIAZEM; CPR 30 MG x 50; E3S
57053; CLOR.DILTIAZEM MG ; CLOR DILTIAZEM; CLORIDRATO DILTIAZEM; CPR 60 MG x 25; E3S
57054; CLOR.DILTIAZEM MG ; CLOR DILTIAZEM; CLORIDRATO DILTIAZEM; CPR 60 MG x 50; E3S
71607; CLOR.FENOXAZOLI.MG ; CLOR FENOXAZOLI; CLORIDRATO FENOXAZOLINA; GOTAS NA AD 1 MG 10 ML x 1 (/ML; E3S
71608; CLOR.FENOXAZOLI.MG ; CLOR FENOXAZOLI; CLORIDRATO FENOXAZOLINA; GOTAS NA PED 0.50 MG 10 ML x 1; E3S
71447; CLOR.FLUOXETINA MG ; CLOR FLUOXETINA; CLORIDRATO FLUOXETINA; CAPS 10 MG x 20; E3S
71446; CLOR.FLUOXETINA MG ; CLOR FLUOXETINA; CLORIDRATO FLUOXETINA; CAPS 10 MG x 28; E3S
57056; CLOR.FLUOXETINA MG ; CLOR FLUOXETINA; CLORIDRATO FLUOXETINA; CAPS 20 MG x 14; E3S
57057; CLOR.FLUOXETINA MG ; CLOR FLUOXETINA; CLORIDRATO FLUOXETINA; CAPS 20 MG x 28; E3S
103098; CLOR.FLUOXETINA MG ; CLOR FLUOXETINA; CLORIDRATO FLUOXETINA; CAPS 20 MG x 30; E3S
64449; CLOR.METFORMINA MG ; CLOR METFORMINA; CLORIDRATO METFORMINA; CPR REVEST 1 G x 30; E3S
64447; CLOR.METFORMINA MG ; CLOR METFORMINA; CLORIDRATO METFORMINA; CPR REVEST 500 MG x 30; E3S
67097; CLOR.METFORMINA MG ; CLOR METFORMINA; CLORIDRATO METFORMINA; CPR REVEST 500 MG x 60; E3S
64448; CLOR.METFORMINA MG ; CLOR METFORMINA; CLORIDRATO METFORMINA; CPR REVEST 850 MG x 30; E3S
67098; CLOR.METFORMINA MG ; CLOR METFORMINA; CLORIDRATO METFORMINA; CPR REVEST 850 MG x 60; E3S
70470; CLOR.METFORMINA MG ; CLOR METFORMINA; CLORIDRATO METFORMINA; CPR REVEST 850 MG x 90; E3S
66394; CLOR.METOCLOP. MG ; CLOR METOCLOP; CLORIDRATO METOCLOPRAMIDA; GOTAS 4 MG 10 ML x 1 (/ML); E3S
66696; CLOR.NAFAZOLINA MG ; CLOR NAFAZOLINA; CLORIDRATO NAFAZOLINA; SOLN NASAL 0.50 MG 30 ML x 1 (; E3S
69769; CLOR.ONDANSETRO MG ; CLOR ONDANSETRO; CLORIDRATO ONDANSETRONA; CPR REVEST 8 MG x 10; E3S
68366; CLOR.OXIMETAZOL.MG ; CLOR OXIMETAZOL; CLORIDRATO OXIMETAZOLINA; SOLN NASAL 0.25 MG 20 ML x 1 (; E3S
68365; CLOR.OXIMETAZOL.MG ; CLOR OXIMETAZOL; CLORIDRATO OXIMETAZOLINA; SOLN NASAL 0.50 MG 30 ML x 1 (; E3S
89119; CLOR.PAROXETINA MG ; CLOR PAROXETINA; NOT FOUND; CPR REVEST 20 MG x 20; E3S
89121; CLOR.PAROXETINA MG ; CLOR PAROXETINA; NOT FOUND; CPR REVEST 20 MG x 30; E3S
69179; CLOR.RANITIDINA MG ; CLOR RANITIDINA; CLORIDRATO RANITIDINA; CPR REVEST 150 MG x 10; E3S
57494; CLOR.RANITIDINA MG ; CLOR RANITIDINA; CLORIDRATO RANITIDINA; CPR REVEST 150 MG x 20; E3S
69178; CLOR.RANITIDINA MG ; CLOR RANITIDINA; CLORIDRATO RANITIDINA; CPR REVEST 300 MG x 10; E3S
61841; CLOR.RANITIDINA MG ; CLOR RANITIDINA; CLORIDRATO RANITIDINA; CPR REVEST 300 MG x 20; E3S
71743; CLOR.RANITIDINA MG ; CLOR RANITIDINA; CLORIDRATO RANITIDINA; XPE 75 MG 120 ML x 1 (/5ML); E3S
