66547; MAL.DEX+PSE+GUA.MG ; MAL DEX PSE GUA; NOT FOUND; SOLN ORAL 120 ML x 1; E3S
69184; MALENA HCT ; MALENA HCT; NOT FOUND; CPR 25 MG x 30 (/10); E3S
71275; MALENA HCT ; MALENA HCT; NOT FOUND; CPR 25 MG x 70 (/10); E3S
63618; MALU ; MALU; NOT FOUND; CPR x 21; E3S
66398; MEBENDA+TIABEND.MG ; MEBENDA TIABEND; NOT FOUND; CPR MASC 200 MG x 6 (/332); E3S
58750; MEBENDAZOL MG ; MEBENDAZOL; MEBENDAZOL; CPR 100 MG x 6; E3S
57761; MEBENDAZOL SUSP MG ; MEBENDAZOL SUSP; NOT FOUND; SUSP 20 MG 30 ML x 1 (/ML); E3S
59012; MELOTEC ; MELOTEC; NOT FOUND; CPR 15 MG x 10; E3S
55235; MELOTEC ; MELOTEC; NOT FOUND; CPR 7.50 MG x 10; E3S
65164; MELOXICAM MG ; MELOXICAM; MELOXICAM; CPR 15 MG x 10; E3S
70483; MELOXICAM MG ; MELOXICAM; MELOXICAM; CPR 15 MG x 60; E3S
59503; MELOXICAM MG ; MELOXICAM; MELOXICAM; CPR 7.50 MG x 10; E3S
70613; MELOXICAM MG ; MELOXICAM; MELOXICAM; CPR 7.50 MG x 60; E3S
68975; MESALAZINA MG ; MESALAZINA; MESALAZINA; CPR REVEST 800 MG x 30; E3S
68109; MESALAZINA MG ; MESALAZINA; MESALAZINA; ENEMA 3 G 100 ML x 1; E3S
68110; MESI.DOXAZOSINA MG ; MESI DOXAZOSINA; MESILATO DOXAZOSINA; CPR 2 MG x 30; E3S
28411; MESMERIN ; MESMERIN; NOT FOUND; CPR 1 MG x 20; E3S
28412; MESMERIN ; MESMERIN; NOT FOUND; CPR 2 MG x 20; E3S
61440; METILDOPA MG ; METILDOPA; METILDOPA; CPR REVEST 250 MG x 30; E3S
70873; METILDOPA MG ; METILDOPA; METILDOPA; CPR REVEST 250 MG x 90; E3S
61441; METILDOPA MG ; METILDOPA; METILDOPA; CPR REVEST 500 MG x 30; E3S
70776; METILDOPA MG ; METILDOPA; METILDOPA; CPR REVEST 500 MG x 90; E3S
61506; METILPRESS ; METILPRESS; NOT FOUND; CPR F.C 250 MG x 30; E3S
58874; METILPRESS ; METILPRESS; NOT FOUND; CPR F.C 500 MG x 30; E3S
58027; METRONIDAZOL MG ; METRONIDAZOL; METRONIDAZOL; CPR 250 MG x 20; E3S
58028; METRONIDAZOL MG ; METRONIDAZOL; METRONIDAZOL; CPR 400 MG x 24; E3S
56612; METRONIDAZOL MG ; METRONIDAZOL; METRONIDAZOL; GEL. VAG. 100 MG 50 G x 1; E3S
73523; MICOF.MOFETILA MG ; MICOF MOFETILA; MICOFENOLATO MOFETILA; CPR REVEST 500 MG x 50; E3S
56743; MICROPIL ; MICROPIL; NOT FOUND; CPR 20 MG x 21 (/75); E3S
69748; MICROPIL ; MICROPIL; NOT FOUND; CPR 30 MG x 21 (/75); E3S
59909; MICROPIL R28 ; MICROPIL R28; NOT FOUND; DRAG x 28; E3S
57140; MIGRALIV ; MIGRALIV; NOT FOUND; CPR x 12; E3S
48475; MIGRANE ; MIGRANE; NOT FOUND; CPR x 20; E3S
58429; MINIPIL ; MINIPIL; NOT FOUND; DRAG 30 Y x 35; E3S
62956; MINIPIL 2 POST ; MINIPIL 2 POST; NOT FOUND; CPR 0.75 MG x 2; E3S
49163; MUCOTOSS ; MUCOTOSS; NOT FOUND; XAR. AD 50 MG 100 ML x 1 (/ML); E3S
49162; MUCOTOSS ; MUCOTOSS; NOT FOUND; XAR. INF 20 MG 100 ML x 1 (/ML); E3S
77345; MUPIROX ; MUPIROX; NOT FOUND; SOLN TOP. 10 MG 15 ML x 1 (/ML); E3S
62816; MUSCORIL ; MUSCORIL; NOT FOUND; AMP. 2 MG 2 ML x 3; E3S
62817; MUSCORIL ; MUSCORIL; NOT FOUND; CPR 4 MG x 12; E3S
61827; MUSCORIL ; MUSCORIL; NOT FOUND; CREME 0.25 % 30 G x 1; E3S
76668; MUSCUPRINA ; MUSCUPRINA; NOT FOUND; CPR REVEST 10 MG x 15; E3S
76669; MUSCUPRINA ; MUSCUPRINA; NOT FOUND; CPR REVEST 10 MG x 30; E3S
