510405201116412; FLEXALGEX; FLEXALGEX; NOT FOUND; 35 MG + 300 MG + 50 MG COM CT BL AL PLAS AMB X 100; GOB
510413100098606; FUMARATO DE QUETIAPINA; FUMARATO QUETIAPINA; NOT FOUND; 100 MG COM REV CT BL AL PLAS OPC X 100 (EMB HOSP); GOB
510413100098206; FUMARATO DE QUETIAPINA; FUMARATO QUETIAPINA; NOT FOUND; 100 MG COM REV CT BL AL PLAS OPC X 14 ; GOB
510413100098306; FUMARATO DE QUETIAPINA; FUMARATO QUETIAPINA; NOT FOUND; 100 MG COM REV CT BL AL PLAS OPC X 15; GOB
510413100098406; FUMARATO DE QUETIAPINA; FUMARATO QUETIAPINA; NOT FOUND; 100 MG COM REV CT BL AL PLAS OPC X 28; GOB
510413100098506; FUMARATO DE QUETIAPINA; FUMARATO QUETIAPINA; NOT FOUND; 100 MG COM REV CT BL AL PLAS OPC X 30; GOB
510413100098706; FUMARATO DE QUETIAPINA; FUMARATO QUETIAPINA; NOT FOUND; 100 MG COM REV CT BL AL PLAS OPC X 500 (EMB HOSP); GOB
510413100099206; FUMARATO DE QUETIAPINA; FUMARATO QUETIAPINA; NOT FOUND; 200 MG COM REV CT BL AL PLAS OPC X 100 (EMB HOSP); GOB
510413100098806; FUMARATO DE QUETIAPINA; FUMARATO QUETIAPINA; NOT FOUND; 200 MG COM REV CT BL AL PLAS OPC X 14 ; GOB
510413100098906; FUMARATO DE QUETIAPINA; FUMARATO QUETIAPINA; NOT FOUND; 200 MG COM REV CT BL AL PLAS OPC X 15; GOB
510413100099006; FUMARATO DE QUETIAPINA; FUMARATO QUETIAPINA; NOT FOUND; 200 MG COM REV CT BL AL PLAS OPC X  28; GOB
510413100099106; FUMARATO DE QUETIAPINA; FUMARATO QUETIAPINA; NOT FOUND; 200 MG COM REV CT BL AL PLAS OPC X 30; GOB
510413100099306; FUMARATO DE QUETIAPINA; FUMARATO QUETIAPINA; NOT FOUND; 200 MG COM REV CT BL AL PLAS OPC X 500 (EMB HOSP); GOB
510413100098006; FUMARATO DE QUETIAPINA; FUMARATO QUETIAPINA; NOT FOUND; 25 MG COM REV CT BL AL PLAS OPC X 100 (EMB HOSP); GOB
510413100097606; FUMARATO DE QUETIAPINA; FUMARATO QUETIAPINA; NOT FOUND; 25 MG COM REV CT BL AL PLAS OPC X 14 ; GOB
510413100097706; FUMARATO DE QUETIAPINA; FUMARATO QUETIAPINA; NOT FOUND; 25 MG COM REV CT BL AL PLAS OPC X 15; GOB
510413100097806; FUMARATO DE QUETIAPINA; FUMARATO QUETIAPINA; NOT FOUND; 25 MG COM REV CT BL AL PLAS OPC X 28; GOB
510413100097906; FUMARATO DE QUETIAPINA; FUMARATO QUETIAPINA; NOT FOUND; 25 MG COM REV CT BL AL PLAS OPC X 30; GOB
510413100098106; FUMARATO DE QUETIAPINA; FUMARATO QUETIAPINA; NOT FOUND; 25 MG COM REV CT BL AL PLAS OPC X 500  (EMB HOSP); GOB
510400702117410; FELDANAX; FELDANAX; NOT FOUND; 20 MG CAP GEL DURA CT 01 BL AL PLAS INC X 15; GOB
510400704111411; FELDANAX; FELDANAX; NOT FOUND; 20 MG CAP GEL DURA CT 30 BL AL PLAS INC X 15 ( EMB HOSPITALAR ); GOB
510412902116411; FOLONIN; FOLONIN; NOT FOUND; 5 MG COM REV CT BL AL PLAS INC X 20 ; GOB
510412901111416; FOLONIN; FOLONIN; NOT FOUND; 5 MG COM REV CT BL AL PLAS INC X 500; GOB
