510414070107903; IBUVIX; IBUVIX; NOT FOUND; 600 MG COM REV CT BL AL PLAS TRANS X 4; GOB
510411713131415; IBUVIX; IBUVIX; NOT FOUND; 20 MG/ML SUSP OR CX 50 FR PET AMB X 120 ML + 50 SER DOS (EMB HOSP); GOB
510411906134114; IBUPROFENO; IBUPROFENO; IBUPROFENO; 20 MG/ML SUSP OR CT FR PEAD X 120 ML + CP MED; GOB
510411907130112; IBUPROFENO; IBUPROFENO; IBUPROFENO; 20 MG/ML SUSP OR CT FR PEAD X 120 ML + SER DOS; GOB
510411908137110; IBUPROFENO; IBUPROFENO; IBUPROFENO; 20 MG/ML SUSP OR CT FR PET AMB X 120 ML + CP MED; GOB
510411909133119; IBUPROFENO; IBUPROFENO; IBUPROFENO; 20 MG/ML SUSP OR CT FR PET AMB X 120 ML + SER DOS; GOB
510411910131116; IBUPROFENO; IBUPROFENO; IBUPROFENO; 20 MG/ML SUSP OR CX 50 FR PEAD X 120 ML + 50 CP MED (EMB HOSP); GOB
510411911138114; IBUPROFENO; IBUPROFENO; IBUPROFENO; 20 MG/ML SUSP OR CX 50 FR PEAD X 120 ML + 50 SER DOS (EMB HOSP); GOB
510411912134112; IBUPROFENO; IBUPROFENO; IBUPROFENO; 20 MG/ML SUSP OR CX 50 FR PET AMB X 120 ML + 50 CP MED (EMB HOSP); GOB
510411913130110; IBUPROFENO; IBUPROFENO; IBUPROFENO; 20 MG/ML SUSP OR CX 50 FR PET AMB X 120 ML + 50 SER DOS (EMB HOSP); GOB
510411714111418; IBUVIX; IBUVIX; NOT FOUND; 200 MG COM CT BL AL PVC INC X 10; GOB
510411715118416; IBUVIX; IBUVIX; NOT FOUND; 200 MG COM CT BL AL PVC INC X 100 (EMB HOSP); GOB
510411737111414; IBUVIX; IBUVIX; NOT FOUND; 200 MG COM CT BL AL PVC INC X 100 (EMB MULT); GOB
510411716114414; IBUVIX; IBUVIX; NOT FOUND; 200 MG COM CT BL AL PVC INC X 20; GOB
510411717110412; IBUVIX; IBUVIX; NOT FOUND; 200 MG COM CT BL AL PVC INC X 200 (EMB HOSP); GOB
510411718117410; IBUVIX; IBUVIX; NOT FOUND; 200 MG COM CT BL AL PVC INC X 200 (EMB MULT); GOB
510411719113419; IBUVIX; IBUVIX; NOT FOUND; 200 MG COM CT BL AL PVC INC X 30; GOB
510411720111416; IBUVIX; IBUVIX; NOT FOUND; 200 MG COM CT BL AL PVC INC X 500 (EMB HOSP); GOB
510411721118414; IBUVIX; IBUVIX; NOT FOUND; 300 MG COM CT BL AL PVC INC X 10; GOB
510411722114412; IBUVIX; IBUVIX; NOT FOUND; 300 MG COM CT BL AL PVC INC X 100 (EMB HOSP); GOB
510411723110410; IBUVIX; IBUVIX; NOT FOUND; 300 MG COM CT BL AL PVC INC X 100 (EMB MULT); GOB
510411724117419; IBUVIX; IBUVIX; NOT FOUND; 300 MG COM CT BL AL PVC INC X 20; GOB
510411725113417; IBUVIX; IBUVIX; NOT FOUND; 300 MG COM CT BL AL PVC INC X 200 (EMB HOSP); GOB
510411726111418; IBUVIX; IBUVIX; NOT FOUND; 300 MG COM CT BL AL PVC INC X 200 (EMB MULT); GOB
510411727116413; IBUVIX; IBUVIX; NOT FOUND; 300 MG COM CT BL AL PVC INC X 30; GOB
510411728112411; IBUVIX; IBUVIX; NOT FOUND; 300 MG COM CT BL AL PVC INC X 500 (EMB HOSP); GOB
510411729119411; IBUVIX; IBUVIX; NOT FOUND; 400 MG COM CT BL AL PVC INC X 10; GOB
510411730117417; IBUVIX; IBUVIX; NOT FOUND; 400 MG COM CT BL AL PVC INC X 100 (EMB HOSP); GOB
510411731113415; IBUVIX; IBUVIX; NOT FOUND; 400 MG COM CT BL AL PVC INC X 100 (EMB MULT); GOB
510411732111416; IBUVIX; IBUVIX; NOT FOUND; 400 MG COM CT BL AL PVC INC X 20; GOB
510411733116411; IBUVIX; IBUVIX; NOT FOUND; 400 MG COM CT BL AL PVC INC X 200 (EMB HOSP); GOB
510411734112411; IBUVIX; IBUVIX; NOT FOUND; 400 MG COM CT BL AL PVC INC X 200 (EMB MULT); GOB
510411735119418; IBUVIX; IBUVIX; NOT FOUND; 400 MG COM CT BL AL PVC INC X 30; GOB
510411736115416; IBUVIX; IBUVIX; NOT FOUND; 400 MG COM CT BL AL PVC INC X 500 (EMB HOSP); GOB
510411701133418; IBUVIX; IBUVIX; NOT FOUND; 50 MG/ML SUS OR CT FR PLAS GOT X 30 ML; GOB
510411901132113; IBUPROFENO; IBUPROFENO; IBUPROFENO; 50 MG/ML SUSP OR FR PLAS GOT X 30 ML; GOB
510411902139111; IBUPROFENO; IBUPROFENO; IBUPROFENO; 50 MG/ML SUSP OR CX 50 FR PLAS GOT X 30 ML (EMB HOSP); GOB
