1018106340024; LUPTAS; LUPTAS; NOT FOUND; 0.3 MG/ML SOL OFT CT FR PLAS OPC GOT X 3 ML ; MD7
1018103580059; LANSOPRAZOL; LANSOPRAZOL; LANSOPRAZOL; 15 MG CAP GEL DURA MCGRAN DESINT GRAD CT BL AL PLAS INC X 14; MD7
1018103580067; LANSOPRAZOL; LANSOPRAZOL; LANSOPRAZOL; 15 MG CAP GEL DURA MCGRAN DESINT GRAD CT BL AL PLAS INC X 28; MD7
1018103580024; LANSOPRAZOL; LANSOPRAZOL; LANSOPRAZOL; 30 MG CAP GEL DURA MCGRAN DESINT GRAD CT BL AL PLAS INC X 14; MD7
1018103580032; LANSOPRAZOL; LANSOPRAZOL; LANSOPRAZOL; 30 MG CAP GEL DURA MCGRAN DESINT GRAD CT BL AL PLAS INC X 28; MD7
1018103580016; LANSOPRAZOL; LANSOPRAZOL; LANSOPRAZOL; 30 MG CAP GEL DURA MCGRAN DESINT GRAD CT BL AL PLAS INC X 7; MD7
1018103580148; LANSOPRAZOL; LANSOPRAZOL; LANSOPRAZOL; 30 MG CAP GEL DURA MCGRAN DESINT GRAD CT BL AL PLAS INC X 60 (EMB FRAC); MD7
1018103990087; LISINOPRIL; LISINOPRIL; LISINOPRIL; 10 MG COM CT BL AL PLAS INC X 30; MD7
1018103990060; LISINOPRIL; LISINOPRIL; LISINOPRIL; 10 MG COM CT BL AL PLAS INC X 10; MD7
1018103990125; LISINOPRIL; LISINOPRIL; LISINOPRIL; 20 MG COM CT BL AL PLAS INC X 30; MD7
1018103990109; LISINOPRIL; LISINOPRIL; LISINOPRIL; 20 MG COM CT BL AL PLAS INC X 10; MD7
1018103990011; LISINOPRIL; LISINOPRIL; LISINOPRIL; 5 MG COM CT BL AL PLAS INC X 10; MD7
1018103990028; LISINOPRIL; LISINOPRIL; LISINOPRIL; 5 MG COM CT BL AL PLAS INC X 30; MD7
1018103430014; LORATADINA; LORATADINA; LORATADINA; 1 MG/ML XPE CT FR VD AMB X 100 ML + CP MED; MD7
1018104730011; LORATADINA +SULFATO DE PSEUDOEFEDRINA; LORATADINA SULFATO PSEUDOEFEDRINA; NOT FOUND; 1 MG/ML + 12 MG/ML XPE CT FR VD AMB X 60 ML + DOSADOR ; MD7
1018104580011; LORAZEPAM; LORAZEPAM; LORAZEPAM; 1 MG COM CT BL AL PLAS INC X 20 ; MD7
1018104580028; LORAZEPAM; LORAZEPAM; LORAZEPAM; 1 MG COM CT 5 BL AL PLAS INC X 20; MD7
1018104580036; LORAZEPAM; LORAZEPAM; LORAZEPAM; 2 MG COM CT BL AL PLAS INC X 20 ; MD7
1018104580044; LORAZEPAM; LORAZEPAM; LORAZEPAM; 2 MG COM CT 5 BL AL PLAS INC X 20; MD7
1018104340027; LOSARTANA POTÁSSICA; LOSARTANA POTASSICA; LOSARTANA POTASSICA; 50 MG COM REV CT BL AL PLAS OPC X 30; MD7
1018104340035; LOSARTANA POTÁSSICA; LOSARTANA POTASSICA; LOSARTANA POTASSICA; 50 MG COM REV CT BL AL PLAS OPC X 60; MD7
1018104340019; LOSARTANA POTÁSSICA; LOSARTANA POTASSICA; LOSARTANA POTASSICA; 50 MG COM REV CT BL AL PLAST OPC X 15 POTASSICO; MD7
1018104340043; LOSARTANA POTÁSSICA; LOSARTANA POTASSICA; LOSARTANA POTASSICA; 100 MG COM REV CT BL AL PLAS OPC X 15; MD7
1018104340051; LOSARTANA POTÁSSICA; LOSARTANA POTASSICA; LOSARTANA POTASSICA; 100 MG COM REV CT BL AL PLAS OPC X 30; MD7
1018104340061; LOSARTANA POTÁSSICA; LOSARTANA POTASSICA; LOSARTANA POTASSICA; 100 MG COM REV CT BL AL PLAS OPC X 60 (EMB FRAC); MD7
1018106030017; LANELI; LANELI; NOT FOUND; CAP GEL MOLE CT BL AL PLAS INC X 8; MD7
1018106030025; LANELI; LANELI; NOT FOUND; CAP GEL MOLE CT BL AL PLAS INC X 10; MD7
1018106030033; LANELI; LANELI; NOT FOUND; CAP GEL MOLE CT BL AL PLAS INC X 14; MD7
1018106030041; LANELI; LANELI; NOT FOUND; CAP GEL MOLE CT BL AL PLAS INC X 15; MD7
1018106030051; LANELI; LANELI; NOT FOUND; CAP GEL MOLE CT BL AL PLAS INC X 28; MD7
1018106030068; LANELI; LANELI; NOT FOUND; CAP GEL MOLE CT BL AL PLAS INC X 30; MD7
1018106030076; LANELI; LANELI; NOT FOUND; CAP GEL MOLE CT BL AL PLAS INC X 60; MD7
1018106030084; LANELI; LANELI; NOT FOUND; CAP GEL MOLE CT BL AL PLAS INC X 120; MD7
