1018105180015; BENZOILMETRONIDAZOL + NISTATINA + CLORETO DE BENZALCÔNIO; BENZOILMETRONIDAZOL NISTATINA CLORETO BENZALCONIO; NOT FOUND; 62.5 MG/G + 25.000 UI/G + 1.25 MG/G CREM VAG CT BG AL X 40 G + 10 APLIC; MD7
1018104460030; BROMOPRIDA; BROMOPRIDA; BROMOPRIDA; 10MG CAP GEL DURA CT BL AL PLAS INC X 20; MD7
1018104460065; BROMOPRIDA; BROMOPRIDA; BROMOPRIDA; 10 MG CAP GEL DURA CT BL AL PLAS INC X 60 (EMB FRAC); MD7
1018104620011; BUTILBROMETO DE ESCOPOLAMINA + DIPIRONA SÓDICA 6,67 MG/ML + 334,60 MG/ML; BUTILBROMETO ESCOPOLAMINA DIPIRONA SODICA 6 67 ML 334 60 ML; NOT FOUND; 6.67MG/ML + 333.40 SOL OR CX C/ 50 CT C/ 1 FR VD AMB GOT X 20 ML; MD7
1018104620021; BUTILBROMETO DE ESCOPOLAMINA + DIPIRONA SÓDICA 6,67 MG/ML + 334,60 MG/ML; BUTILBROMETO ESCOPOLAMINA DIPIRONA SODICA 6 67 ML 334 60 ML; NOT FOUND; 6.67 MG/ML + 333.40 MG/ML SOL OR CT FR VD AMB GOT X 20 ML; MD7
1018105980119; BECARVE; BECARVE; NOT FOUND; 3.125 MG COM CT BL AL/AL X 15; MD7
1018105980046; BECARVE; BECARVE; NOT FOUND; 12.5 MG COM CT BL AL/AL X 15; MD7
1018105980054; BECARVE; BECARVE; NOT FOUND; 12.5 MG COM CT BL AL/AL X 30; MD7
1018105980062; BECARVE; BECARVE; NOT FOUND; 12.5 MG COM CT BL AL/AL X 90 (EMB FRAC); MD7
1018105980070; BECARVE; BECARVE; NOT FOUND; 25 MG COM CT BL AL/AL X 15; MD7
1018105980089; BECARVE; BECARVE; NOT FOUND; 25 MG COM CT BL AL/AL X 30; MD7
1018105980097; BECARVE; BECARVE; NOT FOUND; 25 MG COM CT BL AL/AL X 60; MD7
1018105980100; BECARVE; BECARVE; NOT FOUND; 25 MG COM CT BL AL/AL X 90 (EMB FRAC); MD7
1018105980127; BECARVE; BECARVE; NOT FOUND; 3.125 MG COM CT BL AL/AL X 30; MD7
1018105980135; BECARVE; BECARVE; NOT FOUND; 3.125 MG COM CT BL AL/AL X 60 (EMB HOSP); MD7
1018105980151; BECARVE; BECARVE; NOT FOUND; 3.125 MG COM CT BL AL/AL X 500 (EMB HOSP); MD7
1018105980011; BECARVE; BECARVE; NOT FOUND; 6.25 MG COM CT BL AL/AL X 15; MD7
1018105980021; BECARVE; BECARVE; NOT FOUND; 6.25 MG COM CT BL AL/AL X 30; MD7
1018105980038; BECARVE; BECARVE; NOT FOUND; 6.25 MG COM CT BL AL/AL X 90 (EMB FRAC); MD7
1018105980143; BECARVE; BECARVE; NOT FOUND; 3.125 MG COM CT BL AL/AL X 90 (EMB FRAC); MD7
1018102570051; BENTYL; BENTYL; NOT FOUND; 20 MG/ML SOL OR CT FR VD AMB X 15 ML + CGT (BULBO+CANDULA); MD7
1018105680026; BENESTARE; BENESTARE; NOT FOUND; 625 MG COM REV CT BL AL PLAS INC X 30; MD7
1018105680018; BENESTARE; BENESTARE; NOT FOUND; 625 MG COM REV CT BL AL PLAS INC X 14; MD7
