1018103180026; MOXIPLUS; MOXIPLUS; NOT FOUND; 500 MG CAPS GEL DURA CT 3 BL AL PLAS INC X 7; MD7
1018104510089; MESILATO DE DOXAZOSINA; MESILATO DOXAZOSINA; MESILATO DOXAZOSINA; 2 MG COM CT BL AL PLAS INC X 50 (EMB HOSP); MD7
1018104510100; MESILATO DE DOXAZOSINA; MESILATO DOXAZOSINA; MESILATO DOXAZOSINA; 2 MG COM CT BL AL PLAS INC X 500 (EMB HOSP); MD7
1018104510046; MESILATO DE DOXAZOSINA; MESILATO DOXAZOSINA; MESILATO DOXAZOSINA; 2 MG COM EST FR PLAS OPC X 100 (EMB HOSP); MD7
1018104510011; MESILATO DE DOXAZOSINA; MESILATO DOXAZOSINA; MESILATO DOXAZOSINA; 2 MG COM EST FR PLAS OPC X 20; MD7
1018104510021; MESILATO DE DOXAZOSINA; MESILATO DOXAZOSINA; MESILATO DOXAZOSINA; 2 MG COM EST FR PLAS OPC X 30; MD7
1018104510038; MESILATO DE DOXAZOSINA; MESILATO DOXAZOSINA; MESILATO DOXAZOSINA; 2 MG COM EST FR PLAS OPC X 50 (EMB HOSP); MD7
1018104510054; MESILATO DE DOXAZOSINA; MESILATO DOXAZOSINA; MESILATO DOXAZOSINA; 2 MG COM EST FR PLAS OPC X 500 (EMB HOSP); MD7
1018103770044; METILDOPA; METILDOPA; METILDOPA; 250 MG COM REV BL AL PLAS INC X 30; MD7
1018103770052; METILDOPA; METILDOPA; METILDOPA; 250 MG COM REVV CT 50 BL AL PLAS INC X 10; MD7
1018103770011; METILDOPA; METILDOPA; METILDOPA; 500 MG COM REV CT BL AL PLAS INC X 30; MD7
1018105140013; MUPIROCINA; MUPIROCINA; MUPIROCINA; 20 MG/G POM DERM CT BG AL X 10G; MD7
1018105140021; MUPIROCINA; MUPIROCINA; MUPIROCINA; 20 MG/G POM DERM CT BG AL X 15 G; MD7
1018105140031; MUPIROCINA; MUPIROCINA; MUPIROCINA; 20 MG/G POM DERM CT BG AL X 20G; MD7
1018105140048; MUPIROCINA; MUPIROCINA; MUPIROCINA; 20 MG/G POM DERM CT BG AL X 30G; MD7
