1018104760018; ACEBROFILINA; ACEBROFILINA; ACEBROFILINA; 5 MG/ML XPE CT FR VD AMB X 120 ML + DOSADOR  ; MD7
1018104950038; ALBENDAZOL; ALBENDAZOL; ALBENDAZOL; 400 MG COM MAST CT BL AL PLAS INC X 300 (EMB HOSP); MD7
1018105690031; ALOPURINOL; ALOPURINOL; ALOPURINOL; 300 MG COM CT BL AL PLAS INC X 30; MD7
1018105690013; ALOPURINOL; ALOPURINOL; ALOPURINOL; 100 MG COM CT BL AL PLAS INC X 30 ; MD7
1018105310016; ALPRAZOLAM; ALPRAZOLAM; ALPRAZOLAM; 0.25 MG COM CT BL AL PLAS INC X 20 ; MD7
1018105310024; ALPRAZOLAM; ALPRAZOLAM; ALPRAZOLAM; 0.25 MG COM CT BL AL PLAS INC X 30; MD7
1018105310105; ALPRAZOLAM; ALPRAZOLAM; ALPRAZOLAM; 0.25 MG COM CT BL AL PLAS OPC X 20 ; MD7
1018105310113; ALPRAZOLAM; ALPRAZOLAM; ALPRAZOLAM; 0.25 MG COM CT BL AL PLAS OPC X 30; MD7
1018105310032; ALPRAZOLAM; ALPRAZOLAM; ALPRAZOLAM; 0.5 MG COM CT BL AL PLAS INC X 20 ; MD7
1018105310040; ALPRAZOLAM; ALPRAZOLAM; ALPRAZOLAM; 0.5 MG COM CT BL AL PLAS INC X 30; MD7
1018105310083; ALPRAZOLAM; ALPRAZOLAM; ALPRAZOLAM; 0.5 MG COM CT BL AL PLAS OPC X 20; MD7
1018105310091; ALPRAZOLAM; ALPRAZOLAM; ALPRAZOLAM; 0.5 MG COM CT BL AL PLAS OPC X 30; MD7
1018105310059; ALPRAZOLAM; ALPRAZOLAM; ALPRAZOLAM; 1 MG COM CT BL AL PLAS INC X 20 ; MD7
1018105310067; ALPRAZOLAM; ALPRAZOLAM; ALPRAZOLAM; 1 MG COM CT BL AL PLAS INC X 30; MD7
1018105310121; ALPRAZOLAM; ALPRAZOLAM; ALPRAZOLAM; 1 MG COM CT BL AL PLAS OPC X 20 ; MD7
1018105310131; ALPRAZOLAM; ALPRAZOLAM; ALPRAZOLAM; 1 MG COM CT BL AL PLAS OPC X 30; MD7
1018105310075; ALPRAZOLAM; ALPRAZOLAM; ALPRAZOLAM; 2 MG COM CT BL AL PLAS INC X 30 ; MD7
1018105310148; ALPRAZOLAM; ALPRAZOLAM; ALPRAZOLAM; 2 MG COM CT BL AL PLAS OPC X 30 ; MD7
1018103300013; AMOXICILINA; AMOXICILINA; AMOXICILINA; 125 MG/5 ML PO P/ SUS OR CT FR VD AMB X 150 ML + SER DOS; MD7
1018103300072; AMOXICILINA; AMOXICILINA; AMOXICILINA; 200 MG/5ML PO P/ SUS OR CT FR VD AMB X 100 ML + SER DOS; MD7
1018103300031; AMOXICILINA; AMOXICILINA; AMOXICILINA; 250 MG/5 ML PO P/ SUS OR CT FR VD AMB X 150 ML + SER DOS; MD7
1018103300099; AMOXICILINA; AMOXICILINA; AMOXICILINA; 400 MG/5ML PO P/ SUS OR CT FR VD AMB X 100 ML + SER DOS; MD7
1018103300056; AMOXICILINA; AMOXICILINA; AMOXICILINA; 500 MG/5 ML PO P/ SUS OR CT FR VD AMB X 150 ML + SER DOS; MD7
1018103310019; AMOXICILINA; AMOXICILINA; AMOXICILINA; 500 MG CAP GEL DURA CT BL AL PLAS INC X 15; MD7
1018103310027; AMOXICILINA; AMOXICILINA; AMOXICILINA; 500 MG CAP GEL DURA CT BL AL PLAS INC X 30; MD7
1018103310035; AMOXICILINA; AMOXICILINA; AMOXICILINA; 500 MG CAP GEL DURA CT BL AL PLAS INC X 21; MD7
1018105380014; AMPICILINA; AMPICILINA; AMPICILINA; 50 MG/ML PO P/ SUS OR CT FR VD AMB X 60 ML + SER DOSAD; MD7
1018105380022; AMPICILINA; AMPICILINA; AMPICILINA; 50 MG/ML PO P/ SUS OR CT FR VD AMB X 150 ML + SER DOSAD; MD7
1018102920034; AMPLOTAL; AMPLOTAL; NOT FOUND; 1000 MG CX C/FA + DIL; MD7
1018102920018; AMPLOTAL; AMPLOTAL; NOT FOUND; 250 MG CX C/FR AMP + DIL; MD7
1018102920026; AMPLOTAL; AMPLOTAL; NOT FOUND; 500 MG CX C/FR AMP + DIL; MD7
1018102520060; AMPICIL; AMPICIL; NOT FOUND; 1 G INJ CX C/10 FA + DIL EMB MULT; MD7
1018102520044; AMPICIL; AMPICIL; NOT FOUND; 500 MG INJ CX C/25 FA EMB MULT; MD7
1018102520036; AMPICIL; AMPICIL; NOT FOUND; 250MG/5ML SUSP EXT FR C/60 ML + ENV 3 G; MD7
1018102520011; AMPICIL; AMPICIL; NOT FOUND; 500 MG CAPS CX C/1 BL X 6; MD7
1018102520028; AMPICIL; AMPICIL; NOT FOUND; 500 MG CAPS CX C/8 BL X 6 EMB MULT; MD7
1018103780058; ATENOLOL; ATENOLOL; ATENOLOL; 100 MG COM CT BL AL PLAS INC X 30 ; MD7
1018103780015; ATENOLOL; ATENOLOL; ATENOLOL; 25 MG COM CT BL AL PLAS INC X 30 ; MD7
1018103780031; ATENOLOL; ATENOLOL; ATENOLOL; 50 MG COM CT BL AL PLAS INC X 30 ; MD7
1018105510023; ATENOLOL + CLORTALIDONA; ATENOLOL CLORTALIDONA; NOT FOUND; 50 MG + 12.5 MG COM CT BL AL PLAS INC X 60; MD7
1018105510041; ATENOLOL + CLORTALIDONA; ATENOLOL CLORTALIDONA; NOT FOUND; 100 MG + 25 MG COM CT BL AL PLAS INC X 30 ; MD7
1018105510058; ATENOLOL + CLORTALIDONA; ATENOLOL CLORTALIDONA; NOT FOUND; 100 MG + 25 MG COM CT BL AL PLAS INC X 60  ; MD7
1018105510015; ATENOLOL + CLORTALIDONA; ATENOLOL CLORTALIDONA; NOT FOUND; 50 MG + 12.5 MG COM CT BL AL PLAS INC X 30 ; MD7
1018106070019; ATORVASTATINA CÁLCICA; ATORVASTATINA CALCICA; ATORVASTATINA CALCICA; 10 MG COM REV CT BL AL/AL X 10; MD7
1018106070043; ATORVASTATINA CÁLCICA; ATORVASTATINA CALCICA; ATORVASTATINA CALCICA; 10 MG COM REV CT BL AL/AL X 90 (EMB FRAC); MD7
1018106070051; ATORVASTATINA CÁLCICA; ATORVASTATINA CALCICA; ATORVASTATINA CALCICA; 10 MG COM REV CT BL AL/AL X 200 (EMB HOSP); MD7
1018106070027; ATORVASTATINA CÁLCICA; ATORVASTATINA CALCICA; ATORVASTATINA CALCICA; 10 MG COM REV CT BL AL/AL X 30; MD7
1018106070061; ATORVASTATINA CÁLCICA; ATORVASTATINA CALCICA; ATORVASTATINA CALCICA; 10 MG COM REV CT BL AL/AL X 500 (EMB HOSP); MD7
1018106070035; ATORVASTATINA CÁLCICA; ATORVASTATINA CALCICA; ATORVASTATINA CALCICA; 10 MG COM REV CT BL AL/AL X 60; MD7
1018106070078; ATORVASTATINA CÁLCICA; ATORVASTATINA CALCICA; ATORVASTATINA CALCICA; 20 MG COM REV CT BL AL/AL X 10; MD7
1018106070116; ATORVASTATINA CÁLCICA; ATORVASTATINA CALCICA; ATORVASTATINA CALCICA; 20 MG COM REV CT BL AL/AL X 200 (EMB HOSP); MD7
1018106070086; ATORVASTATINA CÁLCICA; ATORVASTATINA CALCICA; ATORVASTATINA CALCICA; 20 MG COM REV CT BL AL/AL X 30; MD7
1018106070124; ATORVASTATINA CÁLCICA; ATORVASTATINA CALCICA; ATORVASTATINA CALCICA; 20 MG COM REV CT BL AL/AL X 500 (EMB HOSP); MD7
1018106070094; ATORVASTATINA CÁLCICA; ATORVASTATINA CALCICA; ATORVASTATINA CALCICA; 20 MG COM REV CT BL AL/AL X 60; MD7
1018106070108; ATORVASTATINA CÁLCICA; ATORVASTATINA CALCICA; ATORVASTATINA CALCICA; 20 MG COM REV CT BL AL/AL X 90 (EMB FRAC); MD7
1018106070132; ATORVASTATINA CÁLCICA; ATORVASTATINA CALCICA; ATORVASTATINA CALCICA; 40 MG COM REV CT BL AL/AL X 10; MD7
1018106070175; ATORVASTATINA CÁLCICA; ATORVASTATINA CALCICA; ATORVASTATINA CALCICA; 40 MG COM REV CT BL AL/AL X 200 (EMB HOSP); MD7
1018106070140; ATORVASTATINA CÁLCICA; ATORVASTATINA CALCICA; ATORVASTATINA CALCICA; 40 MG COM REV CT BL AL/AL X 30; MD7
1018106070183; ATORVASTATINA CÁLCICA; ATORVASTATINA CALCICA; ATORVASTATINA CALCICA; 40 MG COM REV CT BL AL/AL X 500 (EMB HOSP); MD7
1018106070159; ATORVASTATINA CÁLCICA; ATORVASTATINA CALCICA; ATORVASTATINA CALCICA; 40 MG COM REV CT BL AL/AL X 60; MD7
1018106070167; ATORVASTATINA CÁLCICA; ATORVASTATINA CALCICA; ATORVASTATINA CALCICA; 40 MG COM REV CT BL AL/AL X 90 (EMB FRAC); MD7
1018106070191; ATORVASTATINA CÁLCICA; ATORVASTATINA CALCICA; ATORVASTATINA CALCICA; 80 MG COM REV CT BL AL/AL X 10; MD7
1018106070231; ATORVASTATINA CÁLCICA; ATORVASTATINA CALCICA; ATORVASTATINA CALCICA; 80 MG COM REV CT BL AL/AL X 200( EMB HOSP); MD7
1018106070205; ATORVASTATINA CÁLCICA; ATORVASTATINA CALCICA; ATORVASTATINA CALCICA; 80 MG COM REV CT BL AL/AL X 30; MD7
1018106070248; ATORVASTATINA CÁLCICA; ATORVASTATINA CALCICA; ATORVASTATINA CALCICA; 80 MG COM REV CT BL AL/AL X 500 (EMB HOSP); MD7
1018106070213; ATORVASTATINA CÁLCICA; ATORVASTATINA CALCICA; ATORVASTATINA CALCICA; 80 MG COM REV CT BL AL/AL X 60; MD7
1018106070221; ATORVASTATINA CÁLCICA; ATORVASTATINA CALCICA; ATORVASTATINA CALCICA; 80 MG COM REV CT BL AL/AL X 90 ( EMB FRAC); MD7
1018105210011; AZITROMICINA; AZITROMICINA; AZITROMICINA; 500 MG COM REV CT BL AL PLAS INC X 2; MD7
1018105210021; AZITROMICINA; AZITROMICINA; AZITROMICINA; 500 MG COM REV CT BL AL PLAS INC X 3; MD7
1018105210038; AZITROMICINA; AZITROMICINA; AZITROMICINA; 500 MG COM REV CT BL AL PLAS INC X 5; MD7
1018105210046; AZITROMICINA; AZITROMICINA; AZITROMICINA; 500 MG COM REV CT BL AL PLAS INC X 40 (EMB FRAC); MD7
1018105210054; AZITROMICINA; AZITROMICINA; AZITROMICINA; 500 MG COM REV CT BL AL PLAS INC X 60 (EMB HOSP); MD7
1018105400023; ALENTHUS XR; ALENTHUS XR; NOT FOUND; 75 MG CAP GEL DURA LIB CONTROL CT BL AL PLAS INC X 30; MD7
1018105400031; ALENTHUS XR; ALENTHUS XR; NOT FOUND; 150 MG CAP GEL DURA LIB CONTROL CT BL AL PLAS INC X 15; MD7
1018105400041; ALENTHUS XR; ALENTHUS XR; NOT FOUND; 150 MG CAP GEL DURA LIB CONTROL CT BL AL PLAS INC X 30; MD7
1018105400015; ALENTHUS XR; ALENTHUS XR; NOT FOUND; 75 MG CAP GEL DURA LIB CONTROL CT BL AL PLAS INC X 15; MD7
1018105400058; ALENTHUS XR; ALENTHUS XR; NOT FOUND; 37.5 MG CAP GEL DURA LIB CONTROL CT BL AL PLAS INC X 7; MD7
1018105400066; ALENTHUS XR; ALENTHUS XR; NOT FOUND; 37.5 MG CAP GEL DURA LIB CONTROL CT BL AL PLAS INC X 15; MD7
1018105400074; ALENTHUS XR; ALENTHUS XR; NOT FOUND; 37.5 MG CAP GEL DURA LIB CONTROL CT BL AL PLAS INC X 30; MD7
1018106440010; ARACELI; ARACELI; NOT FOUND; 0.075 MG COM REV CT BL AL PLAS TRANS X 28; MD7
1018106440053; ARACELI; ARACELI; NOT FOUND; 0.075 MG COM REV CT BL AL PLAS TRANS X 84; MD7
1018102830019; ABSTEN S; ABSTEN S; NOT FOUND; 1 MG COM CT 2 STR X 10; MD7
1018105430100; ALZEPINOL; ALZEPINOL; NOT FOUND; 300 MG COM REV CT BL AL PVC/PVDC INC X 20; MD7
1018105430143; ALZEPINOL; ALZEPINOL; NOT FOUND; 600 MG COM REV CT BL AL PVC/PVDC INC X 20; MD7
1018105430062; ALZEPINOL; ALZEPINOL; NOT FOUND; 600 MG COM REV CT BL AL PVC INC X 20; MD7
1018105430021; ALZEPINOL; ALZEPINOL; NOT FOUND; 300 MG COM REV CT BL AL PVC INC X 20; MD7
1018105430011; ALZEPINOL; ALZEPINOL; NOT FOUND; 300 MG COM REV CT BL AL PVC INC X 10; MD7
1018105430038; ALZEPINOL; ALZEPINOL; NOT FOUND; 300 MG COM REV CT BL AL PVC INC X 30; MD7
1018105430054; ALZEPINOL; ALZEPINOL; NOT FOUND; 600 MG COM REV CT BL AL PVC INC X 10; MD7
1018105430046; ALZEPINOL; ALZEPINOL; NOT FOUND; 300 MG COM REV CT BL AL PVC INC X 60; MD7
1018105430070; ALZEPINOL; ALZEPINOL; NOT FOUND; 600 MG COM REV CT BL AL PVC INC X 30; MD7
1018105430089; ALZEPINOL; ALZEPINOL; NOT FOUND; 600 MG COM REV CT BL AL PVC INC X 60; MD7
1018102650096; ACETOFEN; ACETOFEN; NOT FOUND; 200 MG/ML SOL OR FR 15 ML; MD7
1018102650045; ACETOFEN; ACETOFEN; NOT FOUND; FR C/ 10 ML; MD7
1018102650061; ACETOFEN; ACETOFEN; NOT FOUND; 500 MG COMP CX C/ 50 BL X 4 EMB MULT; MD7
1018102650071; ACETOFEN; ACETOFEN; NOT FOUND; 750 MG COMP CX C/ 5 BL X 4; MD7
1018102650088; ACETOFEN; ACETOFEN; NOT FOUND; 750 MG COMP CX C/ 50 BL X 4 EMB MULT; MD7
