1018106010016; DOU-CETOFEN; DOU CETOFEN; NOT FOUND; 150 MG COM AP CT BL AL PLAS INC X 10; MD7
1018104820029; DESONIDA; DESONIDA; DESONIDA; 5 MG/G LOC CT FR PLAST OPC X 30 G; MD7
1018104820037; DESONIDA; DESONIDA; DESONIDA; 0.5 MG/G LOC CT FR PLAS OPC X 60 G; MD7
1018102200041; DESONOL; DESONOL; NOT FOUND; 1 MG/G LOC CAP CT FR PLAS OPC GOT X 30 G; MD7
1018102200090; DESONOL; DESONOL; NOT FOUND; 0.5 MG/G LOC CT FR PLAS OPC X 60 G; MD7
1018102200031; DESONOL; DESONOL; NOT FOUND; 0.5 MG/G POM DERM CT BG AL X 30 G; MD7
1018102200082; DESONOL; DESONOL; NOT FOUND; 0.5 MG/G LOC CT FR PLAS OPC X 30 G; MD7
1018102200058; DESONOL; DESONOL; NOT FOUND; 0.5 MG/G CREM DERM CT BG AL X 10 G; MD7
1018102200015; DESONOL; DESONOL; NOT FOUND; 0.5 MG/G CREM DERM CT BG AL X 30 G; MD7
1018104720024; DESONIDA; DESONIDA; DESONIDA; 0.5 MG/G CREM DERM 90 CT BG AL X 30G (EMBA HOSP); MD7
1018104830016; DESONIDA; DESONIDA; DESONIDA; 0.5 MG/G POM DERM CT BG AL X 10 G; MD7
1018104830024; DESONIDA; DESONIDA; DESONIDA; 0.5 MG/G POM DERM CT BG AL X 15 G; MD7
1018104830032; DESONIDA; DESONIDA; DESONIDA; 0.5 MG/G POM DERM CT BG AL X 30G ; MD7
1018104720016; DESONIDA; DESONIDA; DESONIDA; 0.5 MG/G CREM DERM CT BG AL X 30 G ; MD7
1018104940016; DESONIDA; DESONIDA; DESONIDA; 1 MG/G LOC CAP CT FR PLAS OPC GOT X 30 G; MD7
1018104080025; DEXAMETASONA; DEXAMETASONA; DEXAMETASONA; 0.1 MG/ML ELX CT FR VD AMB X 120 ML + CP MED X 10 ML; MD7
1018101330010; DEXAMETASONA; DEXAMETASONA; DEXAMETASONA; CREME TOPICO 0.1%; MD7
1018103320014; DICLOFENACO RESINATO; DICLOFENACO RESINATO; NOT FOUND; 15 MG/ML SUS OR CT FR PLAS OPC GOT X 20 ML; MD7
1018104260023; DICLOFENACO DE COLESTIRAMINA; DICLOFENACO COLESTIRAMINA; DICLOFENACO COLESTIRAMINA; 140 MG CAP GEL DURA CT BL AL PLAS INC X 14; MD7
1018104260031; DICLOFENACO DE COLESTIRAMINA; DICLOFENACO COLESTIRAMINA; DICLOFENACO COLESTIRAMINA; 140 MG CAP GEL DURA CT BL AL PLAS INC X 20; MD7
1018103330011; DICLOFENACO DIETILAMÔNIO; DICLOFENACO DIETILAMONIO; DICLOFENACO DIETILAMONIO; 10 MG/G GEL CREM CT BG AL X 60 G; MD7
1018103360016; DICLOFENACO POTÁSSICO; DICLOFENACO POTASSICO; DICLOFENACO POTASSICO; 50 MG COM REV CT BL AL PLAS INC X 20; MD7
1018103340015; DICLOFENACO SÓDICO; DICLOFENACO SODICO; DICLOFENACO SODICO; 25 MG/ML SOL INJ IM CT 5 AMP VD INC X 3 ML; MD7
1018103380017; DICLOFENACO SÓDICO; DICLOFENACO SODICO; DICLOFENACO SODICO; 50 MG COM REV CT BL AL PLAS INC X 20; MD7
1018103380033; DICLOFENACO SÓDICO; DICLOFENACO SODICO; DICLOFENACO SODICO; 50 MG COM REV CT BL AL PLAS INC X 60 (EMB FRAC) ; MD7
1018103970019; DICLORIDRATO DE CETIRIZINA; DICLORIDRATO CETIRIZINA; DICLORIDRATO CETIRIZINA; 1 MG/ML SOL OR CT FR VD AMB X 60 ML + CP MED X 10 ML; MD7
1018103970035; DICLORIDRATO DE CETIRIZINA; DICLORIDRATO CETIRIZINA; DICLORIDRATO CETIRIZINA; 1 MG/ML SOL OR CT FR VD AMB X 120 ML + CP  MED X 10 ML; MD7
1018104010019; DICLORIDRATO DE CETIRIZINA; DICLORIDRATO CETIRIZINA; DICLORIDRATO CETIRIZINA; 10 MG COM REV CT BL AL PLAS INC X 6; MD7
1018104010027; DICLORIDRATO DE CETIRIZINA; DICLORIDRATO CETIRIZINA; DICLORIDRATO CETIRIZINA; 10 MG COM REV CT BL AL PLAS INC X 12; MD7
1018105070015; DIMETICONA + METILBROMETO DE HOMATROPINA; DIMETICONA METILBROMETO HOMATROPINA; NOT FOUND; 80 MG/ML + 2.5 MG/ML EMU OR CT FR PLAS OPC GOT X 10 ML; MD7
1018105070023; DIMETICONA + METILBROMETO DE HOMATROPINA; DIMETICONA METILBROMETO HOMATROPINA; NOT FOUND; 80 MG/ML + 2.5 MG/ML EMU OR CT FR PLAS OPC GOT X 20 ML ; MD7
1018105070031; DIMETICONA + METILBROMETO DE HOMATROPINA; DIMETICONA METILBROMETO HOMATROPINA; NOT FOUND; 80 MG/ML + 2.5 MG/ML EMU OR CX 24 FR PLAS OPC GOT X 10 ML (EMB HOSP); MD7
1018105070041; DIMETICONA + METILBROMETO DE HOMATROPINA; DIMETICONA METILBROMETO HOMATROPINA; NOT FOUND; 80 MG/ML + 2.5 MG/ML EMU OR CX 24 FR PLAS OPC GOT X 20 ML (EMB HOSP); MD7
1018103960013; DIPIRONA SÓDICA; DIPIRONA SODICA; NOT FOUND; 50 MG/ML SOL OR CT FR VD AMB X 100 ML + CP MED X 1; MD7
1018103910016; DIPIRONA SÓDICA; DIPIRONA SODICA; NOT FOUND; 500 MG/ML SOL OR CT C/ 1 FR PLAST OPC GOT X 20 ML; MD7
1018103910024; DIPIRONA SÓDICA; DIPIRONA SODICA; NOT FOUND; 500 MG/ML SOL OR CT C/ 1 FR PLAST OPC GOT X10 ML; MD7
1018103910059; DIPIRONA SÓDICA; DIPIRONA SODICA; NOT FOUND; 500 MG/ML SOL OR CT FR VD AMB GOT X 10 ML; MD7
1018103910067; DIPIRONA SÓDICA; DIPIRONA SODICA; NOT FOUND; 500 MG/ML SOL OR CT FR VD AMB GOT X 20 ML ; MD7
1018104160053; DIPIRONA SÓDICA; DIPIRONA SODICA; NOT FOUND; 500 MG COM CT 24 BL AL PLAS INC X 10; MD7
1018104160037; DIPIRONA SÓDICA; DIPIRONA SODICA; NOT FOUND; 500 MG COM CT 25 BL AL PLAS INC X 4; MD7
1018104160029; DIPIRONA SÓDICA; DIPIRONA SODICA; NOT FOUND; 500 MG COM CT 3 BL AL PLAS INC X 10; MD7
1018104160045; DIPIRONA SÓDICA; DIPIRONA SODICA; NOT FOUND; 500 MG COM CT 50 BL AL PLAS INC X 4; MD7
1018104040015; DIPROPIONATO DE BETAMETASONA + SULFATO DE GENTAMICINA; DIPROPIONATO BETAMETASONA SULFATO GENTAMICINA; NOT FOUND; 0.5 MG/G + 1.0 MG/G POM DERM CT BG AL X 30 G; MD7
1018104030011; DIPROPIONATO DE BETAMETASONA + SULFATO DE GENTAMICINA; DIPROPIONATO BETAMETASONA SULFATO GENTAMICINA; NOT FOUND; 0.5 MG/G + 1.0 MG/G CREM DERM CT BG AL X 30 G; MD7
1018105420083; DUOTRAT; DUOTRAT; NOT FOUND; 0.5 MG/G + 1.0 MG/G POM DERM CT BG AL X 30 G; MD7
1018105420032; DUOTRAT; DUOTRAT; NOT FOUND; 0.5 MG/G + 1.0 MG/G CREM DERM CT BG AL X 30 G; MD7
1018105420016; DUOTRAT; DUOTRAT; NOT FOUND; 0.5 MG/G + 1.0 MG/G CREM DERM CT BG AL X 10 G; MD7
1018103690016; DIPROPIONATO DE BETAMETASONA + ACIDO SALICILICO; DIPROPIONATO BETAMETASONA ACIDO SALICILICO; NOT FOUND; POM DERM CT BG X 30 G; MD7
1018105170036; DOMPERIDONA; DOMPERIDONA; DOMPERIDONA; 1 MG/ML SUS OR CT FR VD AMB X 100 ML + SER DOSAD; MD7
1018105170011; DOMPERIDONA; DOMPERIDONA; DOMPERIDONA; 1 MG/ML SUS OR CT FR VD AMB X 100 ML +  PIPET DOSAD; MD7
1018105170028; DOMPERIDONA; DOMPERIDONA; DOMPERIDONA; 1 MG/ML SUS OR CX 24 FR VD AMB X 100 ML + 24 PIPET DOSAD (EMB HOSP); MD7
1018103900010; DROPROPIZINA; DROPROPIZINA; DROPROPIZINA; 1.5 MG/ML XPE CT FR VD AMB X 120 ML + CP MED; MD7
1018103900029; DROPROPIZINA; DROPROPIZINA; DROPROPIZINA; 3.0 MG/ML XPE CT FR VD AMB X 120 ML + CP MED; MD7
1018106290019; DROSPIRENONA+ETINILESTRADIOL; DROSPIRENONA ETINILESTRADIOL; NOT FOUND; 3 MG + 0.03 MG COM REV CT BL AL PLAS TRANS X 21 ; MD7
1018106290035; DROSPIRENONA+ETINILESTRADIOL; DROSPIRENONA ETINILESTRADIOL; NOT FOUND; 3 MG + 0.03 MG COM REV CT BL AL PLAS TRANS X 63; MD7
1018104770021; DIGEDRAT; DIGEDRAT; NOT FOUND; 200 MG CAP GEL MOLE CT BL AL PLAS INC X 20; MD7
1018104770031; DIGEDRAT; DIGEDRAT; NOT FOUND; 200 MG CAP GEL MOLE CT BL AL PLAS INC X 30; MD7
1018104770048; DIGEDRAT; DIGEDRAT; NOT FOUND; 200 MG CAP GEL MOLE CT BL AL PLAS INC X 60; MD7
1018102130025; DILAFLUX RETARD; DILAFLUX RETARD; NOT FOUND; 10 MG C SUB-LING. CT C/ 3 BL X 10; MD7
1018102130017; DILAFLUX RETARD; DILAFLUX RETARD; NOT FOUND; 10 MG C/ 30 COMP; MD7
1018102130106; DILAFLUX RETARD; DILAFLUX RETARD; NOT FOUND; 10 MG COMP C/ 300; MD7
1018102130084; DILAFLUX RETARD; DILAFLUX RETARD; NOT FOUND; 10 MG CX C/ 400 COMP; MD7
1018102130076; DILAFLUX RETARD; DILAFLUX RETARD; NOT FOUND; 10MG CAPS GEL MOLE CT FR X 60; MD7
1018102130033; DILAFLUX RETARD; DILAFLUX RETARD; NOT FOUND; 20 MG COM REV CT BL AL PLAS AMB X 20; MD7
1018102130114; DILAFLUX RETARD; DILAFLUX RETARD; NOT FOUND; 20 MG COM REV CT BL AL PLAS AMB X 400 (EMB HOSP); MD7
1018102130051; DILAFLUX RETARD; DILAFLUX RETARD; NOT FOUND; RET. 20MG COMP REV. CT C/2 BL X 10; MD7
1018102130122; DILAFLUX RETARD; DILAFLUX RETARD; NOT FOUND; 20 MG COM REV CT BL AL PLAS AMB X 200 (EMB HOSP); MD7
