1018104180011; CLOTRIMAZOL + ACETADO DE DEXAMETASONA; CLOTRIMAZOL ACETADO DEXAMETASONA; NOT FOUND; 10 MG/G + 0.4 MG/G CREM DERM CT BG AL X 40 G ; MD7
1018105850029; CARVEDILOL; CARVEDILOL; CARVEDILOL; 6.25 MG COM CT BL AL/AL X 30; MD7
1018105850118; CARVEDILOL; CARVEDILOL; CARVEDILOL; 3.125 MG COMP CT BL AL/AL X 15; MD7
1018105850126; CARVEDILOL; CARVEDILOL; CARVEDILOL; 3.125 MG COMP CT BL AL/AL X 30; MD7
1018105850134; CARVEDILOL; CARVEDILOL; CARVEDILOL; 3.125 MG COM CT BL AL/AL X 60 (EMB HOSP); MD7
1018105850142; CARVEDILOL; CARVEDILOL; CARVEDILOL; 3.125 MG COMP CT BL AL/AL X 90 (EMB FRAC); MD7
1018105850150; CARVEDILOL; CARVEDILOL; CARVEDILOL; 3.125 MG COMP CT BL AL/AL X 500 (EMB HOSP); MD7
1018104640020; CEFACLOR; CEFACLOR; CEFACLOR; 50MG/ML SUS OR CX 25 FR VD AMB X 80ML + 25 DOS; MD7
1018104640012; CEFACLOR; CEFACLOR; CEFACLOR; 50 MG/ML SUS OR CT FR VD AMB X 80 ML + DOSADOR; MD7
1018104640039; CEFACLOR; CEFACLOR; CEFACLOR; 75 MG/ML SUS OR CT FR VD AMB X 80 ML + DOSADOR; MD7
1018104700015; CEFACLOR; CEFACLOR; CEFACLOR; 500 MG CAP GEL DURA CT BL AL PLAS INC X 10 ; MD7
1018104700031; CEFACLOR; CEFACLOR; CEFACLOR; 500 MG CAP CT BL AL PLAS INC X 100; MD7
1018104700023; CEFACLOR; CEFACLOR; CEFACLOR; 500 MG CAP CT BL AL PLAS INC X 30; MD7
1018104500032; CEFADROXILA; CEFADROXILA; CEFADROXILA; 100 MG/ML PO P/ SUS OR CT 1 FR VD AMB X 100 ML + SER DOS; MD7
1018104500016; CEFADROXILA; CEFADROXILA; CEFADROXILA; 50 MG/ML PO P/ SUS OR CT 1 FR VD AMB X 100 ML + SER DOS; MD7
1018104500040; CEFADROXILA; CEFADROXILA; CEFADROXILA; 100 MG/ML PO P/ SUS OR CX 25 FR VD AMB X 100 ML + 25 SER DOS; MD7
1018104500024; CEFADROXILA; CEFADROXILA; CEFADROXILA; 50 MG/ML PO P/ SUS OR CX 25 FR VD AMB X 100 ML + 25 SER DOS; MD7
1018104690028; CEFADROXILA; CEFADROXILA; CEFADROXILA; 500 MG CAP GEL DURA CT 2 BL AL PLAS INC X 8; MD7
1018104690036; CEFADROXILA; CEFADROXILA; CEFADROXILA; 500 MG CAP GEL DURA CT 6 BL AL PLAS INC X 8; MD7
1018104690011; CEFADROXILA; CEFADROXILA; CEFADROXILA; 500 MG CAP GEL DURA CT BL AL PLAS INC X 8 ; MD7
1018104670027; CEFALEXINA; CEFALEXINA; CEFALEXINA; 50 MG/ML SUS OR CT FR VD AMB X 100ML + SER DOSAD; MD7
1018104670019; CEFALEXINA; CEFALEXINA; CEFALEXINA; 100 MG/ML SUS OR CT FR VD AMB X 100ML + SER DOSAD; MD7
1018104670043; CEFALEXINA; CEFALEXINA; CEFALEXINA; 50 MG/ML SUS OR CT 25 FR VD AMB X 100 ML + 25 DOSADORES; MD7
1018104670035; CEFALEXINA; CEFALEXINA; CEFALEXINA; 100 MG/ML SUS OR CT 25 FR VD AMB X 100 ML + 25 DOSADORES; MD7
1018104990021; CEFALEXINA; CEFALEXINA; CEFALEXINA; 500 MG CAP GEL DURA CT BL AL PLAS INC X 10; MD7
1018104990013; CEFALEXINA; CEFALEXINA; CEFALEXINA; 500 MG CAP GEL DURA CT BL AL PLAS INC X 8; MD7
1018104990048; CEFALEXINA MONOIDRATADA; CEFALEXINA MONOIDRATADA; CEFALEXINA MONOIDRATADA; 500 MG CAP GEL DURA CT BL AL PLAS INC X 200 (EMB FRAC X 2); MD7
1018104990031; CEFALEXINA MONOIDRATADA; CEFALEXINA MONOIDRATADA; CEFALEXINA MONOIDRATADA; 500 MG CAP GEL DURA CT BL AL PLAS INC X 40 (EMB FRAC X 2); MD7
1018104240014; CETOCONAZOL; CETOCONAZOL; CETOCONAZOL; 20 MG/G SHAMP CT FR PLAS OPC X 110 ML; MD7
1018103820017; CETOCONAZOL; CETOCONAZOL; CETOCONAZOL; 20.0 MG/G CREM DERM CT BG AL X 30 G; MD7
1018104330021; CETOCONAZOL; CETOCONAZOL; CETOCONAZOL; 200 MG COM CT 2 BL AL PLAS INC X 10; MD7
1018104330031; CETOCONAZOL; CETOCONAZOL; CETOCONAZOL; 200 MG COM CT 3 BL AL PLAS INC X 10 ; MD7
1018104330056; CETOCONAZOL; CETOCONAZOL; CETOCONAZOL; 200 MG COM CT 10 BL AL PLAS INC X 10; MD7
1018104330048; CETOCONAZOL; CETOCONAZOL; CETOCONAZOL; 200 MG COM CT 4 BL AL PLAS INC X 10; MD7
1018104330013; CETOCONAZOL; CETOCONAZOL; CETOCONAZOL; 200 MG COM CT BL AL PLAS INC X 10 ; MD7
1018103830012; CETOCONAZOL + DIPROPIONATO DE BETAMETASONA; CETOCONAZOL DIPROPIONATO BETAMETASONA; NOT FOUND; 20.0 MG/G + 0.5 MG/G CREM DERM CT BG AL X 30 G; MD7
1018103920011; CETOCONAZOL + DIPROPIONATO DE BETAMETASONA; CETOCONAZOL DIPROPIONATO BETAMETASONA; NOT FOUND; 20 MG/G + 0.5 MG/G POM DERM CT C/ 1 BG AL X 30 G; MD7
1018104230019; CETOCONAZOL + DIPROPIONATO DE BETAMETASONA + SULFATO DE NEOMICINA; CETOCONAZOL DIPROPIONATO BETAMETASONA SULFATO NEOMICINA; NOT FOUND; 20 MG/G + 0.5 MG/G + 2.5 MG/G CREM DERM CT BG AL X 30 G; MD7
1018104210018; CETOCONAZOL + DIPROPIONATO DE BETAMETASONA + SULFATO DE NEOMICINA; CETOCONAZOL DIPROPIONATO BETAMETASONA SULFATO NEOMICINA; NOT FOUND; 20 MG/G + 0.5 MG/G + 2.5 MG/G POM DERM CT BG AL X 30 G; MD7
1018103980014; CETOPROFENO; CETOPROFENO; CETOPROFENO; 20 MG/ML SOL OR CT FR PLAS OPC X 20 ML; MD7
1018103940020; CETOPROFENO; CETOPROFENO; CETOPROFENO; 25 MG / G GEL CT BG AL X 30 G; MD7
1018106010032; CETOFEN RETARD; CETOFEN RETARD; NOT FOUND; 200 MG COM DES LENTA CT BL AL PLAS INC X 4; MD7
1018104170016; CETOPROFENO; CETOPROFENO; CETOPROFENO; 100 MG COM REV CT 2 BL AL PLAS INC X 10; MD7
1018104250011; CETOPROFENO; CETOPROFENO; CETOPROFENO; 50 MG CAP GEL DURA CT 2 BL AL PLAS INC X 12; MD7
1018106010040; CETOFEN RETARD; CETOFEN RETARD; NOT FOUND; 200 MG COM DES LENTA CT BL AL PLAS INC X 10; MD7
1018104900014; CICLOPIROX OLAMINA; CICLOPIROX OLAMINA; CICLOPIROX OLAMINA; 10 MG/ML SOL TOP CT FR PLAS TRANSL GOT X 15 ML ; MD7
1018104900022; CICLOPIROX OLAMINA; CICLOPIROX OLAMINA; CICLOPIROX OLAMINA; 10 MG/ML SOL TOP CX 50 FR PLAS TRANSL GOT X 15 ML; MD7
1018104910011; CICLOPIROX OLAMINA; CICLOPIROX OLAMINA; CICLOPIROX OLAMINA; 10 MG/G CREM DERM CT BG AL X 20G; MD7
1018105390011; CITALOPRAM; CITALOPRAM; CITALOPRAM; 20 MG COM REV CT BL AL PLAS INC X 15; MD7
1018105390028; CITALOPRAM; CITALOPRAM; CITALOPRAM; 20 MG COM REV CT BL AL PLAS INC X 30; MD7
1018102550024; CLOMID; CLOMID; NOT FOUND; 50 MG COM CT BL AL PLAS INC X 10; MD7
1018106260047; CITRATO DE SILDENAFILA; CITRATO SILDENAFILA; CITRATO SILDENAFILA; 20 MG COMP REV CT BL AL PLAS INC X 90 (EMB HOSP); MD7
1018106100015; CITRATO DE SILDENAFILA; CITRATO SILDENAFILA; CITRATO SILDENAFILA; 25 MG COM REV CT BL AL PLAS INC X 1; MD7
1018106100120; CITRATO DE SILDENAFILA; CITRATO SILDENAFILA; CITRATO SILDENAFILA; 100 MG COM REV CT BL AL PLAS INC X 1; MD7
1018106100139; CITRATO DE SILDENAFILA; CITRATO SILDENAFILA; CITRATO SILDENAFILA; 100 MG COM REV CT BL AL PLAS INC X 2; MD7
1018106100147; CITRATO DE SILDENAFILA; CITRATO SILDENAFILA; CITRATO SILDENAFILA; 100 MG COM REV CT BL AL PLAS INC X 4; MD7
1018106100155; CITRATO DE SILDENAFILA; CITRATO SILDENAFILA; CITRATO SILDENAFILA; 100 MG COM REV CT BL AL PLAS INC X 8; MD7
1018106100163; CITRATO DE SILDENAFILA; CITRATO SILDENAFILA; CITRATO SILDENAFILA; 100 MG COM REV CT BL AL PLAS INC X 15; MD7
1018106100023; CITRATO DE SILDENAFILA; CITRATO SILDENAFILA; CITRATO SILDENAFILA; 25 MG COM REV CT BL AL PLAS INC X 2; MD7
1018106100031; CITRATO DE SILDENAFILA; CITRATO SILDENAFILA; CITRATO SILDENAFILA; 25 MG COM REV CT BL AL PLAS INC X 4; MD7
1018106100041; CITRATO DE SILDENAFILA; CITRATO SILDENAFILA; CITRATO SILDENAFILA; 25 MG COM REV CT BL AL PLAS INC X 8; MD7
1018106100058; CITRATO DE SILDENAFILA; CITRATO SILDENAFILA; CITRATO SILDENAFILA; 25 MG COM REV CT BL AL PLAS INC X 15; MD7
1018106100066; CITRATO DE SILDENAFILA; CITRATO SILDENAFILA; CITRATO SILDENAFILA; 50 MG COM REV CT BL AL PLAS INC X 1; MD7
1018106100074; CITRATO DE SILDENAFILA; CITRATO SILDENAFILA; CITRATO SILDENAFILA; 50 MG COM REV CT BL AL PLAS INC X 2; MD7
1018106100082; CITRATO DE SILDENAFILA; CITRATO SILDENAFILA; CITRATO SILDENAFILA; 50 MG COM REV CT BL AL PLAS INC X 4; MD7
1018106100090; CITRATO DE SILDENAFILA; CITRATO SILDENAFILA; CITRATO SILDENAFILA; 50 MG COM REV CT BL AL PLAS INC X 8; MD7
1018106100104; CITRATO DE SILDENAFILA; CITRATO SILDENAFILA; CITRATO SILDENAFILA; 50 MG COM REV CT BL AL PLAS INC X 12; MD7
1018106100112; CITRATO DE SILDENAFILA; CITRATO SILDENAFILA; CITRATO SILDENAFILA; 50 MG COM REV CT BL AL PLAS INC X15; MD7
1018103110133; CLAMICIN; CLAMICIN; NOT FOUND; 500 MG COMP REV CT 10; MD7
1018103110087; CLAMICIN; CLAMICIN; NOT FOUND; 500 MG COMP REV CT 2 BL X 7; MD7
1018103280063; CLARITROMICINA; CLARITROMICINA; CLARITROMICINA; 250 MG COM REV CT BL AL PLAS INC X 10; MD7
1018103280071; CLARITROMICINA; CLARITROMICINA; CLARITROMICINA; 250 MG COM REV CT BL AL PLAS INC X 14; MD7
1018103280012; CLARITROMICINA; CLARITROMICINA; CLARITROMICINA; 500 MG COM REV CT BL AL PLAS INC X 10 ; MD7
1018103280020; CLARITROMICINA; CLARITROMICINA; CLARITROMICINA; 500 MG COM REV CT  BL AL PLAS INC X 14; MD7
1018104870018; CLONAZEPAM; CLONAZEPAM; CLONAZEPAM; 2.5 MG/ML SOL OR CT FR VD AMB GOT X 20 ML; MD7
1018104870026; CLONAZEPAM; CLONAZEPAM; CLONAZEPAM; 2.5 MG/ML SOL OR CX 24 FR VD AMB GOT X 20 ML; MD7
1018105260086; CLONAZEPAM; CLONAZEPAM; CLONAZEPAM; 0.5 MG COM CT BL AL PLAS OPC X 30; MD7
1018105260094; CLONAZEPAM; CLONAZEPAM; CLONAZEPAM; 0.5 MG COM CT BL AL PLAS OPC X 60; MD7
1018105260108; CLONAZEPAM; CLONAZEPAM; CLONAZEPAM; 2 MG COM CT BL AL PLAS OPC X 20; MD7
1018105260116; CLONAZEPAM; CLONAZEPAM; CLONAZEPAM; 2 MG COM CT BL AL PLAS OPC X 30; MD7
1018105260124; CLONAZEPAM; CLONAZEPAM; CLONAZEPAM; 2 MG COM CT BL AL PLAS OPC X 60; MD7
1018105260061; CLONAZEPAM; CLONAZEPAM; CLONAZEPAM; 2 MG COM CT BL AL PLAS INC X 60; MD7
1018105260027; CLONAZEPAM; CLONAZEPAM; CLONAZEPAM; 0.5 MG COM CT BL AL PLAS INC X 30; MD7
1018105260019; CLONAZEPAM; CLONAZEPAM; CLONAZEPAM; 0.5 MG COM CT BL AL PLAS INC X 20; MD7
1018105260043; CLONAZEPAM; CLONAZEPAM; CLONAZEPAM; 2 MG COM CT BL AL PLAS INC X 20; MD7
1018105260051; CLONAZEPAM; CLONAZEPAM; CLONAZEPAM; 2 MG COM CT BL AL PLAS INC X 30; MD7
1018105260035; CLONAZEPAM; CLONAZEPAM; CLONAZEPAM; 0.5 MG COM CT BL AL PLAS INC X 60; MD7
1018103730018; CLORIDRATO DE AMBROXOL; CLORIDRATO AMBROXOL; CLORIDRATO AMBROXOL; 3MG/ML XPE PED CT FR X 120 ML + CP MED; MD7
1018103730050; CLORIDRATO DE AMBROXOL; CLORIDRATO AMBROXOL; CLORIDRATO AMBROXOL; 6MG/ML XPE ADU CT FR X 120 ML + CP MED; MD7
1018104880013; CLORIDRATO DE AMITRIPTILINA; CLORIDRATO AMITRIPTILINA; CLORIDRATO AMITRIPTILINA; 25 MG COM REV CT BL AL PLAS INC X 10; MD7
1018104880021; CLORIDRATO DE AMITRIPTILINA; CLORIDRATO AMITRIPTILINA; CLORIDRATO AMITRIPTILINA; 25 MG COM REV CT BL AL PLAS INC X 20; MD7
1018104880031; CLORIDRATO DE AMITRIPTILINA; CLORIDRATO AMITRIPTILINA; CLORIDRATO AMITRIPTILINA; 25 MG COM REV CT BL AL PLAS INC X 30; MD7
1018104880048; CLORIDRATO DE AMITRIPTILINA; CLORIDRATO AMITRIPTILINA; CLORIDRATO AMITRIPTILINA; 25 MG COM REV CT BL AL PLAS INC X 60 (EMB HOSP); MD7
1018104880056; CLORIDRATO DE AMITRIPTILINA; CLORIDRATO AMITRIPTILINA; CLORIDRATO AMITRIPTILINA; 75 MG COM REV CT BL AL PLAS INC X 10; MD7
1018104880064; CLORIDRATO DE AMITRIPTILINA; CLORIDRATO AMITRIPTILINA; CLORIDRATO AMITRIPTILINA; 75 MG COM REV CT BL AL PLAS INC X 20; MD7
1018104880072; CLORIDRATO DE AMITRIPTILINA; CLORIDRATO AMITRIPTILINA; CLORIDRATO AMITRIPTILINA; 75 MG COM REV CT BL AL PLAS INC X 30; MD7
1018104880080; CLORIDRATO DE AMITRIPTILINA; CLORIDRATO AMITRIPTILINA; CLORIDRATO AMITRIPTILINA; 75 MG COM REV CT BL AL PLAS INC X 60 (EMB HOSP); MD7
1018103560015; CLORIDRATO DE BROMEXINA; CLORIDRATO BROMEXINA; CLORIDRATO BROMEXINA; 0.8 MG/ML XPE CT FR VD AMB X 120 ML + CP MED; MD7
1018103560058; CLORIDRATO DE BROMEXINA; CLORIDRATO BROMEXINA; CLORIDRATO BROMEXINA; 1.6 MG/ML XPE CT FR VD AMB X 120 ML + CP MED; MD7
1018102230021; CIFLOX; CIFLOX; NOT FOUND; 250 MG COMP REV CT FR VD AMB X 14; MD7
1018102230011; CIFLOX; CIFLOX; NOT FOUND; 250 MG COMP REV CT FR VD AMB X 7; MD7
1018102230046; CIFLOX; CIFLOX; NOT FOUND; 500 MG COMP REV CT FR VD AMB X 14; MD7
1018102230038; CIFLOX; CIFLOX; NOT FOUND; 500 MG COMP REV CT FR VD AMB X 7; MD7
1018105120020; CLORIDRATO DE CIPROFLOXACINO; CLORIDRATO CIPROFLOXACINO; NOT FOUND; 250 MG COM REV CT BL AL PLAS INC X 14; MD7
1018105120047; CLORIDRATO DE CIPROFLOXACINO; CLORIDRATO CIPROFLOXACINO; NOT FOUND; 250 MG COM REV CT BL AL PLAS INC X 140 (EMB HOSP); MD7
1018105120039; CLORIDRATO DE CIPROFLOXACINO; CLORIDRATO CIPROFLOXACINO; NOT FOUND; 250 MG COM REV CT BL AL PLAS INC X 50 (EMB HOSP); MD7
1018105120012; CLORIDRATO DE CIPROFLOXACINO; CLORIDRATO CIPROFLOXACINO; NOT FOUND; 250 MG COM REV CT BL AL PLAS INC X 7 ; MD7
1018105120063; CLORIDRATO DE CIPROFLOXACINO; CLORIDRATO CIPROFLOXACINO; NOT FOUND; 500 MG COM REV CT BL AL PLAS INC X 14; MD7
1018105120081; CLORIDRATO DE CIPROFLOXACINO; CLORIDRATO CIPROFLOXACINO; NOT FOUND; 500 MG COM REV CT BL AL PLAS INC X 140 (EMB HOSP); MD7
1018105120071; CLORIDRATO DE CIPROFLOXACINO; CLORIDRATO CIPROFLOXACINO; NOT FOUND; 500 MG COM REV CT BL AL PLAS INC X 50 (EMB HOSP); MD7
1018105120055; CLORIDRATO DE CIPROFLOXACINO; CLORIDRATO CIPROFLOXACINO; NOT FOUND; 500 MG COM REV CT BL AL PLAS INC X 7; MD7
1018103860019; CLOR.CLOBUTINOL; CLOR CLOBUTINOL; CLORIDRATO CLOBUTINOL; 60 MG/ML SOL OR CT FR VD AMB X 20 ML + CGT; MD7
1018103870014; CLOR.CLOBUTINOL; CLOR CLOBUTINOL; CLORIDRATO CLOBUTINOL; 4 MG/ML XPE CT FR VD AMB X 120 ML + CP. MED.; MD7
1018104750020; CLORIDRATO DE CLOBUTINOL + SUCCINATO DOXILAMINA; CLORIDRATO CLOBUTINOL SUCCINATO DOXILAMINA; NOT FOUND; 4MG/ML + 0.75 MG/ML XPES CT 24 FR VD AMB X 120ML + DOSADOR; MD7
1018104750012; CLORIDRATO DE CLOBUTINOL + SUCCINATO DOXILAMINA; CLORIDRATO CLOBUTINOL SUCCINATO DOXILAMINA; NOT FOUND; 4 MG/ML + 0.75 MG/ML XPE CT FR VD AMB X 120 ML + DOS; MD7
1018106320015; CLORIDRATO DE DORZOLAMIDA; CLORIDRATO DORZOLAMIDA; CLORIDRATO DORZOLAMIDA; 20 MG / ML SOL OFT CT FR PLAS OPC GOT X 5 ML; MD7
1018105930111; CLORIDRATO DE FEXOFENADINA; CLORIDRATO FEXOFENADINA; CLORIDRATO FEXOFENADINA; 180 MG COM REV CT BL AL PLAS INC X 10; MD7
1018105930081; CLORIDRATO DE FEXOFENADINA; CLORIDRATO FEXOFENADINA; CLORIDRATO FEXOFENADINA; 120 MG COM REV CT BL AL PLAS INC X 10; MD7
1018105930091; CLORIDRATO DE FEXOFENADINA; CLORIDRATO FEXOFENADINA; CLORIDRATO FEXOFENADINA; 120 MG COM REV CT BL AL PLAS INC X 20; MD7
1018105930073; CLORIDRATO DE FEXOFENADINA; CLORIDRATO FEXOFENADINA; CLORIDRATO FEXOFENADINA; 120 MG COM REV CT BL AL PLAS INC X 5; MD7
1018105930103; CLORIDRATO DE FEXOFENADINA; CLORIDRATO FEXOFENADINA; CLORIDRATO FEXOFENADINA; 180 MG COM REV CT BL AL PLAS INC X 5; MD7
1018105930121; CLORIDRATO DE FEXOFENADINA; CLORIDRATO FEXOFENADINA; CLORIDRATO FEXOFENADINA; 180 MG COM REV CT BL AL PLAS INC X 20; MD7
1018105930022; CLORIDRATO DE FEXOFENADINA; CLORIDRATO FEXOFENADINA; CLORIDRATO FEXOFENADINA; 30 MG COM REV CT STR AL/AL X 10; MD7
1018105930030; CLORIDRATO DE FEXOFENADINA; CLORIDRATO FEXOFENADINA; CLORIDRATO FEXOFENADINA; 30 MG COM REV CT STR AL/AL X 20; MD7
1018105930014; CLORIDRATO DE FEXOFENADINA; CLORIDRATO FEXOFENADINA; CLORIDRATO FEXOFENADINA; 30 MG COM REV CT STR AL/AL X 5; MD7
1018105930065; CLORIDRATO DE FEXOFENADINA; CLORIDRATO FEXOFENADINA; CLORIDRATO FEXOFENADINA; 60 MG COM REV CT BL AL PLAS INC X 20; MD7
1018105930049; CLORIDRATO DE FEXOFENADINA; CLORIDRATO FEXOFENADINA; CLORIDRATO FEXOFENADINA; 60 MG COM REV CT BL AL PLAS INC X 5; MD7
1018105930057; CLORIDRATO DE FEXOFENADINA; CLORIDRATO FEXOFENADINA; CLORIDRATO FEXOFENADINA; 60 MG COM REV CT BL AL PLAS INC X 10; MD7
1018106270069; CLORIDRATO DE FEXOFENADINA+CLORIDRATO DE PSEUDOEFEDRINA; CLORIDRATO FEXOFENADINA CLORIDRATO PSEUDOEFEDRINA; NOT FOUND; 60 MG + 120 MG COM REV CT BL AL PLAS TRANS X 10; MD7
1018105040078; CLORIDRATO DE FLUOXETINA; CLORIDRATO FLUOXETINA; CLORIDRATO FLUOXETINA; 20 MG/ML SOL OR CT 24 FR PLAS TRANSL GOT X 10 ML (EMB HOSP); MD7
1018105040086; CLORIDRATO DE FLUOXETINA; CLORIDRATO FLUOXETINA; CLORIDRATO FLUOXETINA; 20 MG/ML SOL OR CT 24 FR PLAS TRANSL GOT X 20 ML (EMB HOSP); MD7
1018105040035; CLORIDRATO DE FLUOXETINA; CLORIDRATO FLUOXETINA; CLORIDRATO FLUOXETINA; 20 MG/ML SOL OR CT FR PLAS TRANSL GOT X 10 ML; MD7
1018105040043; CLORIDRATO DE FLUOXETINA; CLORIDRATO FLUOXETINA; CLORIDRATO FLUOXETINA; 20 MG/ML SOL OR CT FR PLAS TRANSL GOT X 20 ML; MD7
1018105150019; CLORIDRATO DE FLUOXETINA; CLORIDRATO FLUOXETINA; CLORIDRATO FLUOXETINA; 20 MG CAP GEL DURA CT BL AL PLAS INC X 14; MD7
1018105150027; CLORIDRATO DE FLUOXETINA; CLORIDRATO FLUOXETINA; CLORIDRATO FLUOXETINA; 20 MG CAP GEL DURA CT BL AL PLAS INC X 28; MD7
1018104470125; CLORIDRATO DE METFORMINA; CLORIDRATO METFORMINA; CLORIDRATO METFORMINA; 1 G COM REV CT 15 BL AL PLAS INC X 10 (EMB HOSP); MD7
1018104470095; CLORIDRATO DE METFORMINA; CLORIDRATO METFORMINA; CLORIDRATO METFORMINA; 1 G COM REV CT  BL AL PLAS INC X 30  ; MD7
1018104470109; CLORIDRATO DE METFORMINA; CLORIDRATO METFORMINA; CLORIDRATO METFORMINA; 1 G COM REV CT 6 BL AL PLAS INC X 10 (EMB HOSP); MD7
