508012901269412, VAGITRENE, VAGITRENE, NOT FOUND, BISN 40 G + 10 APLICADOR, EUF
508024505118415, VASATIV, VASATIV, NOT FOUND, 100 MG COM CT BL AL PLAS INC X 15, EUF
508024501112412, VASATIV, VASATIV, NOT FOUND, 100 MG COM CT BL AL PLAS INC X 30, EUF
508024503115419, VASATIV, VASATIV, NOT FOUND, 100 MG COM CT BL AL PLAS INC X 60, EUF
508024506114413, VASATIV, VASATIV, NOT FOUND, 50 MG COM CT BL AL PLAS INC X 15, EUF
508024502119410, VASATIV, VASATIV, NOT FOUND, 50 MG COM CT BL AL PLAS INC X 30, EUF
508024504111417, VASATIV, VASATIV, NOT FOUND, 50 MG COM CT BL AL PLAS INC X 60, EUF
508021901111419, VENLAXIN, VENLAXIN, NOT FOUND, 150MG CAP GEL DURA CT BL AL PLAST INC X14, EUF
508021903112412, VENLAXIN, VENLAXIN, NOT FOUND, 37.5 MG CAP GEL DURA LIB PROL CT BL AL PLAS INC X 14, EUF
508021902116414, VENLAXIN, VENLAXIN, NOT FOUND, 75MG CAP GEL DURA CT BL AL PLAST INC X14, EUF
508012901269412, VAGITRENE, VAGITRENE, NOT FOUND, BISN 40 G + 10 APLICADOR, EUF
508027402115418, VAGIVIT, VAGIVIT, NOT FOUND, 250 MG COM VAG CT BL AL/AL X 3 + 3 APLICADORES, EUF
508027401119411, VAGIVIT, VAGIVIT, NOT FOUND, 250 MG COM VAG CT BL AL/AL X 6 + 6 APLIC, EUF
508013001164116, VALERATO DE BETAMETASONA, VALERATO BETAMETASONA, VALERATO BETAMETASONA, CT BISN AL 30G, EUF
508013002160114, VALERATO DE BETAMETASONA, VALERATO BETAMETASONA, VALERATO BETAMETASONA, CT BISN AL 30G POMADA, EUF
508019402160110, VALERATO DE BETAMETASONA+SULFATO DE GENTAMICINA+TOLNAFTATO+CLIOQUINOL, VALERATO BETAMETASONA SULFATO GENTAMICINA TOLNAFTATO CLIOQUINOL, NOT FOUND, 0.5 MG/G + 1 MG/G + 10 MG/G +10 MG/G CREME, EUF
508019401164112, VALERATO DE BETAMETASONA+SULFATO DE GENTAMICINA+TOLNAFTATO+CLIOQUINOL, VALERATO BETAMETASONA SULFATO GENTAMICINA TOLNAFTATO CLIOQUINOL, NOT FOUND, 0.5 MG/G+1.0 MG/G+10 MG/G+10 MG/G POMADA CT BG AL X 20 GR, EUF
508013101150117, VANCOMICINA, VANCOMICINA, VANCOMICINA, CT C/ 1 FR AMP, EUF
508024505118415, VASATIV, VASATIV, NOT FOUND, 100 MG COM CT BL AL PLAS INC X 15, EUF
508024501112412, VASATIV, VASATIV, NOT FOUND, 100 MG COM CT BL AL PLAS INC X 30, EUF
508024503115419, VASATIV, VASATIV, NOT FOUND, 100 MG COM CT BL AL PLAS INC X 60, EUF
508024506114413, VASATIV, VASATIV, NOT FOUND, 50 MG COM CT BL AL PLAS INC X 15, EUF
508024502119410, VASATIV, VASATIV, NOT FOUND, 50 MG COM CT BL AL PLAS INC X 30, EUF
508024504111417, VASATIV, VASATIV, NOT FOUND, 50 MG COM CT BL AL PLAS INC X 60, EUF
508021901111419, VENLAXIN, VENLAXIN, NOT FOUND, 150MG CAP GEL DURA CT BL AL PLAST INC X14, EUF
508021903112412, VENLAXIN, VENLAXIN, NOT FOUND, 37.5 MG CAP GEL DURA LIB PROL CT BL AL PLAS INC X 14, EUF
508021902116414, VENLAXIN, VENLAXIN, NOT FOUND, 75MG CAP GEL DURA CT BL AL PLAST INC X14, EUF
508028901158412, VERSA, VERSA, NOT FOUND, 100 MG/ML SOL INJ CT 2 SER PREENCH X 0.2 ML , EUF
508012901269412, VAGITRENE, VAGITRENE, NOT FOUND, BISN 40 G + 10 APLICADOR, EUF
508027402115418, VAGIVIT, VAGIVIT, NOT FOUND, 250 MG COM VAG CT BL AL/AL X 3 + 3 APLICADORES, EUF
508027401119411, VAGIVIT, VAGIVIT, NOT FOUND, 250 MG COM VAG CT BL AL/AL X 6 + 6 APLIC, EUF
508013001164116, VALERATO DE BETAMETASONA, VALERATO BETAMETASONA, VALERATO BETAMETASONA, CT BISN AL 30G, EUF
508013002160114, VALERATO DE BETAMETASONA, VALERATO BETAMETASONA, VALERATO BETAMETASONA, CT BISN AL 30G POMADA, EUF
508019402160110, VALERATO DE BETAMETASONA+SULFATO DE GENTAMICINA+TOLNAFTATO+CLIOQUINOL, VALERATO BETAMETASONA SULFATO GENTAMICINA TOLNAFTATO CLIOQUINOL, NOT FOUND, 0.5 MG/G + 1 MG/G + 10 MG/G +10 MG/G CREME, EUF
508019401164112, VALERATO DE BETAMETASONA+SULFATO DE GENTAMICINA+TOLNAFTATO+CLIOQUINOL, VALERATO BETAMETASONA SULFATO GENTAMICINA TOLNAFTATO CLIOQUINOL, NOT FOUND, 0.5 MG/G+1.0 MG/G+10 MG/G+10 MG/G POMADA CT BG AL X 20 GR, EUF
508013101150117, VANCOMICINA, VANCOMICINA, VANCOMICINA, CT C/ 1 FR AMP, EUF
508024505118415, VASATIV, VASATIV, NOT FOUND, 100 MG COM CT BL AL PLAS INC X 15, EUF
508024501112412, VASATIV, VASATIV, NOT FOUND, 100 MG COM CT BL AL PLAS INC X 30, EUF
508024503115419, VASATIV, VASATIV, NOT FOUND, 100 MG COM CT BL AL PLAS INC X 60, EUF
508024506114413, VASATIV, VASATIV, NOT FOUND, 50 MG COM CT BL AL PLAS INC X 15, EUF
508024502119410, VASATIV, VASATIV, NOT FOUND, 50 MG COM CT BL AL PLAS INC X 30, EUF
508024504111417, VASATIV, VASATIV, NOT FOUND, 50 MG COM CT BL AL PLAS INC X 60, EUF
508021901111419, VENLAXIN, VENLAXIN, NOT FOUND, 150MG CAP GEL DURA CT BL AL PLAST INC X14, EUF
508021903112412, VENLAXIN, VENLAXIN, NOT FOUND, 37.5 MG CAP GEL DURA LIB PROL CT BL AL PLAS INC X 14, EUF
508021902116414, VENLAXIN, VENLAXIN, NOT FOUND, 75MG CAP GEL DURA CT BL AL PLAST INC X14, EUF
508028901158412, VERSA, VERSA, NOT FOUND, 100 MG/ML SOL INJ CT 2 SER PREENCH X 0.2 ML , EUF
508027402115418, VAGIVIT, VAGIVIT, NOT FOUND, 250 MG COM VAG CT BL AL/AL X 3 + 3 APLICADORES, EUF
508027401119411, VAGIVIT, VAGIVIT, NOT FOUND, 250 MG COM VAG CT BL AL/AL X 6 + 6 APLIC, EUF
508024505118415, VASATIV, VASATIV, NOT FOUND, 100 MG COM CT BL AL PLAS INC X 15, EUF
508024501112412, VASATIV, VASATIV, NOT FOUND, 100 MG COM CT BL AL PLAS INC X 30, EUF
508024503115419, VASATIV, VASATIV, NOT FOUND, 100 MG COM CT BL AL PLAS INC X 60, EUF
508024506114413, VASATIV, VASATIV, NOT FOUND, 50 MG COM CT BL AL PLAS INC X 15, EUF
508024502119410, VASATIV, VASATIV, NOT FOUND, 50 MG COM CT BL AL PLAS INC X 30, EUF
508024504111417, VASATIV, VASATIV, NOT FOUND, 50 MG COM CT BL AL PLAS INC X 60, EUF
508019402160110, VALERATO DE BETAMETASONA+SULFATO DE GENTAMICINA+TOLNAFTATO+CLIOQUINOL, VALERATO BETAMETASONA SULFATO GENTAMICINA TOLNAFTATO CLIOQUINOL, NOT FOUND, 0.5 MG/G + 1.0 MG/G + 10.0 MG/G + 10.0 MG/G CREM DERM CT BG AL X 20 G, EUF
508019401164112, VALERATO DE BETAMETASONA+SULFATO DE GENTAMICINA+TOLNAFTATO+CLIOQUINOL, VALERATO BETAMETASONA SULFATO GENTAMICINA TOLNAFTATO CLIOQUINOL, NOT FOUND, 0.5 MG/G + 1.0 MG/G + 10.0 MG/G + 10.0 MG/G POM DERM CT BG AL X 20 G, EUF
508013101150117, VANCOMICINA, VANCOMICINA, VANCOMICINA, 500 MG PO LIOF P/ SOL INJ CT FA VD INC, EUF
508021901111419, VENLAXIN, VENLAXIN, NOT FOUND, 150 MG CAP GEL DURA LIB PROL CT BL AL PLAS INC X 14, EUF
508021903112412, VENLAXIN, VENLAXIN, NOT FOUND, 37.5 MG CAP GEL DURA LIB PROL CT BL AL PLAS INC X 14, EUF
508021904119410, VENLAXIN, VENLAXIN, NOT FOUND, 37.5 MG CAP GEL DURA LIB PROL CT BL AL PLAS INC X 7, EUF
508021902116414, VENLAXIN, VENLAXIN, NOT FOUND, 75 MG CAP DURA LIB PROL CT BL AL PLAS INC X 14, EUF
508021905115419, VENLAXIN, VENLAXIN, NOT FOUND, 75 MG CAP GEL DURA LIB PROL CT BL AL PLAS INC X 07, EUF
508028902154410, VERSA, VERSA, NOT FOUND, 100 MG/ML SOL INJ CT 10 SER PREENCH X 0.2 ML, EUF
508028903150419, VERSA, VERSA, NOT FOUND, 100 MG/ML SOL INJ CT 10 SER PREENCH X 0.4 ML, EUF
508028901158412, VERSA, VERSA, NOT FOUND, 100 MG/ML SOL INJ CT 2 SER PREENCH X 0.2 ML , EUF
508028904157417, VERSA, VERSA, NOT FOUND, 100 MG/ML SOL INJ CT 2 SER PREENCH X 0.4 ML, EUF
508028905153415, VERSA, VERSA, NOT FOUND, 100 MG/ML SOL INJ CT 2 SER PREENCH X 0.6 ML, EUF
508028906151416, VERSA, VERSA, NOT FOUND, 100 MG/ML SOL INJ CT 2 SER PREENCH X 0.8 ML, EUF
508028907156411, VERSA, VERSA, NOT FOUND, 100 MG/ML SOL INJ CT 2 SER PREENCH X 1 ML, EUF
508012901269412, VAGITRENE, VAGITRENE, NOT FOUND, 150 MG/G CREM VAG CT BG AL X 40 G + 10 APLIC, EUF
508013001164116, VALERATO DE BETAMETASONA, VALERATO BETAMETASONA, VALERATO BETAMETASONA, 1 MG/G CREM DERM CT BG AL X 30 G, EUF
508013002160114, VALERATO DE BETAMETASONA, VALERATO BETAMETASONA, VALERATO BETAMETASONA, 1 MG/G POM DERM CT BG AL X 30 G, EUF
508027402115418, VAGIVIT, VAGIVIT, NOT FOUND, 250 MG COM VAG CT BL AL/AL X 3 + 3 APLICADORES, EUF
508027401119411, VAGIVIT, VAGIVIT, NOT FOUND, 250 MG COM VAG CT BL AL/AL X 6 + 6 APLIC, EUF
508024505118415, VASATIV, VASATIV, NOT FOUND, 100 MG COM CT BL AL PLAS INC X 15, EUF
508024501112412, VASATIV, VASATIV, NOT FOUND, 100 MG COM CT BL AL PLAS INC X 30, EUF
508024503115419, VASATIV, VASATIV, NOT FOUND, 100 MG COM CT BL AL PLAS INC X 60, EUF
508024506114413, VASATIV, VASATIV, NOT FOUND, 50 MG COM CT BL AL PLAS INC X 15, EUF
508024502119410, VASATIV, VASATIV, NOT FOUND, 50 MG COM CT BL AL PLAS INC X 30, EUF
508024504111417, VASATIV, VASATIV, NOT FOUND, 50 MG COM CT BL AL PLAS INC X 60, EUF
508019402160110, VALERATO DE BETAMETASONA+SULFATO DE GENTAMICINA+TOLNAFTATO+CLIOQUINOL, VALERATO BETAMETASONA SULFATO GENTAMICINA TOLNAFTATO CLIOQUINOL, NOT FOUND, 0.5 MG/G + 1.0 MG/G + 10.0 MG/G + 10.0 MG/G CREM DERM CT BG AL X 20 G, EUF
508019401164112, VALERATO DE BETAMETASONA+SULFATO DE GENTAMICINA+TOLNAFTATO+CLIOQUINOL, VALERATO BETAMETASONA SULFATO GENTAMICINA TOLNAFTATO CLIOQUINOL, NOT FOUND, 0.5 MG/G + 1.0 MG/G + 10.0 MG/G + 10.0 MG/G POM DERM CT BG AL X 20 G, EUF
508013101150117, VANCOMICINA, VANCOMICINA, VANCOMICINA, 500 MG PO LIOF P/ SOL INJ CT FA VD INC, EUF
508021906111417, VENLAXIN, VENLAXIN, NOT FOUND, 150 MG CAP DURA LIB PROL CT BL AL PLAS INC X 28, EUF
508021901111419, VENLAXIN, VENLAXIN, NOT FOUND, 150 MG CAP GEL DURA LIB PROL CT BL AL PLAS INC X 14, EUF
508021907118415, VENLAXIN, VENLAXIN, NOT FOUND, 37.5 MG CAP DURA LIB PROL CT BL AL PLAS INC X 28, EUF
508021903112412, VENLAXIN, VENLAXIN, NOT FOUND, 37.5 MG CAP GEL DURA LIB PROL CT BL AL PLAS INC X 14, EUF
508021904119410, VENLAXIN, VENLAXIN, NOT FOUND, 37.5 MG CAP GEL DURA LIB PROL CT BL AL PLAS INC X 7, EUF
508021902116414, VENLAXIN, VENLAXIN, NOT FOUND, 75 MG CAP DURA LIB PROL CT BL AL PLAS INC X 14, EUF
508021908114413, VENLAXIN, VENLAXIN, NOT FOUND, 75 MG CAP DURA LIB PROL CT BL AL PLAS INC X 28, EUF
508021905115419, VENLAXIN, VENLAXIN, NOT FOUND, 75 MG CAP GEL DURA LIB PROL CT BL AL PLAS INC X 07, EUF
508028902154410, VERSA, VERSA, NOT FOUND, 100 MG/ML SOL INJ CT 10 SER PREENCH X 0.2 ML, EUF
