508012050091803; TRIAXIN; TRIAXIN; NOT FOUND; 1 G PO P/ SOL INJ IM CT FA VD INC + AMP DIL VD INC X 3.5 ML  ; EUF
508017103115419; TAMIRAM; TAMIRAM; NOT FOUND; 500 MG COM REV CT BL AL PLAS INC X 3; EUF
508017104111417; TAMIRAM; TAMIRAM; NOT FOUND; 500 MG COM REV CT BL AL PLAS INC X 7; EUF
508013100099604; TRIMEB; TRIMEB; NOT FOUND; 200 MG CAP GEL MOLE CT BL AL PLAS TRANS X 20; EUF
508013100099704; TRIMEB; TRIMEB; NOT FOUND; 200 MG CAP GEL MOLE CT BL AL PLAS TRANS X 30; EUF
508013100099804; TRIMEB; TRIMEB; NOT FOUND; 200 MG CAP GEL MOLE CT BL AL PLAS TRANS X 60; EUF
508015020106804; TADALAFILA; TADALAFILA; TADALAFILA; 5 MG COM REV CT BL AL PLAS INC X 30; EUF
508015020106904; TADALAFILA; TADALAFILA; TADALAFILA; 20 MG COM REV CT BL AL PLAS INC X 2; EUF
508022801151115; TEICOPLANINA; TEICOPLANINA; TEICOPLANINA; 200 MG PO LIOF P/ SOL INJ CT 5 FA VD INC + 5 DIL AMP PLAS X 3 ML; EUF
508022802158113; TEICOPLANINA; TEICOPLANINA; TEICOPLANINA; 400 MG PO LIOF P/ SOL INJ CT 5 FA VD INC + 5 DIL AMP PLAS X 3 ML; EUF
508012603152118; TENOXICAM; TENOXICAM; TENOXICAM; 20 MG PO LIOF P/ SOL INJ CX 50 FA VD INC +  50 AMP PLAS DIL X 2 ML (EMB HOSP)  ; EUF
508012604159116; TENOXICAM; TENOXICAM; TENOXICAM; 40 MG PO LIOF P/ SOL INJ CX 50 FA VD INC + 50 AMP PLAS DIL X 2 ML (EMB HOSP) ; EUF
508022301116116; TOPIRAMATO; TOPIRAMATO; TOPIRAMATO; 100 MG COM REV CT BL AL/AL X 60; EUF
508022302112114; TOPIRAMATO; TOPIRAMATO; TOPIRAMATO; 25 MG COM REV CT BL AL/AL X 60; EUF
508022303119112; TOPIRAMATO; TOPIRAMATO; TOPIRAMATO; 50 MG COM REV CT BL AL/AL X 60; EUF
508030101163111; TRIANCINOLONA ACETONIDA; TRIANCINOLONA ACETONIDA; TRIANCINOLONA ACETONIDA; 1 MG/G POM BUCAL CT BG PLAS LAM X 10 G; EUF
508030102161112; TRIANCINOLONA ACETONIDA; TRIANCINOLONA ACETONIDA; TRIANCINOLONA ACETONIDA; 1 MG/G POM BUCAL CT BG AL X 10 G; EUF
508017302169411; TROK; TROK; NOT FOUND; 20MG/G+0.64MG/G POM DERM CT BG AL X 10G; EUF
508017301162413; TROK; TROK; NOT FOUND; 20MG/G+0.64MG/G CREM DERM CT BG AL X 10G; EUF
508017305168416; TROK; TROK; NOT FOUND; 20MG/G+0.64MG/G CREM DERM CT BG AL X 30G; EUF
508017306164414; TROK; TROK; NOT FOUND; 20MG/G+0.64MG/G POM DERM CT BG AL X 30G; EUF
508017303165411; TROK-N; TROK N; NOT FOUND; 20 MG/G + 0.5 MG/G + 2.5 MG/G CR DERM CT BG AL X 10G ; EUF
508017304161418; TROK-N; TROK N; NOT FOUND; 20 MG/G + 0.5 MG/G + 2.5 MG/G POM DERM CT BG AL X 10G ; EUF
508017307160412; TROK-N; TROK N; NOT FOUND; 20 MG/G + 0.5 MG/G + 2.5 MG/G CR DERM CT BG AL X 30G; EUF
508017308167410; TROK-N; TROK N; NOT FOUND; 20 MG/G + 0.5 MG/G + 2.5 MG/G POM DERM CT BG AL X 30 G; EUF
