508030501153415, GLICOSE + CLORETO DE SÓDIO, GLICOSE CLORETO SODIO, NOT FOUND, 50 MG/ML + 9 MG/ML SOL INJ IV FA PLAS TRANS SIST FECH X 1000 ML, EUF
508030703155419, GLICOSE MONOIDRATADA, GLICOSE MONOIDRATADA, GLICOSE MONOIDRATADA, 100 MG/ML SOL INJ IV BOLS PP TRANS SIST FECH X 250 ML, EUF
508030705158415, GLICOSE MONOIDRATADA, GLICOSE MONOIDRATADA, GLICOSE MONOIDRATADA, 100 MG/ML SOL INJ IV FA PLAS TRANS SIST FECH X 250 ML, EUF
508030706154413, GLICOSE MONOIDRATADA, GLICOSE MONOIDRATADA, GLICOSE MONOIDRATADA, 100 MG/ML SOL INJ IV FA PLAS TRANS SIST FECH X 500 ML, EUF
508030715153416, GLICOSE MONOIDRATADA, GLICOSE MONOIDRATADA, GLICOSE MONOIDRATADA, 100 MG/ML SOL INJ IV BOLS PP TRANS SIST FECH X 500 ML, EUF
508030707150411, GLICOSE MONOIDRATADA, GLICOSE MONOIDRATADA, GLICOSE MONOIDRATADA, 50 MG/ML SOL INJ IV BOLS PP TRANS SIST FECH X 100 ML, EUF
508030710151415, GLICOSE MONOIDRATADA, GLICOSE MONOIDRATADA, GLICOSE MONOIDRATADA, 50 MG/ML SOL INJ IV FA PLAS TRANS SIST FECH X 100 ML, EUF
508030701152412, GLICOSE MONOIDRATADA, GLICOSE MONOIDRATADA, GLICOSE MONOIDRATADA, 50 MG/ML SOL INJ IV BOLS PP TRANS SIST FECH X 1000 ML, EUF
508030712154411, GLICOSE MONOIDRATADA, GLICOSE MONOIDRATADA, GLICOSE MONOIDRATADA, 50 MG/ML SOL INJ IV FA PLAS TRANS SIST FECH X 1000 ML, EUF
508030709153418, GLICOSE MONOIDRATADA, GLICOSE MONOIDRATADA, GLICOSE MONOIDRATADA, 50 MG/ML SOL INJ IV BOLS PP TRANS SIST FECH X 250 ML, EUF
508030713150411, GLICOSE MONOIDRATADA, GLICOSE MONOIDRATADA, GLICOSE MONOIDRATADA, 50 MG/ML SOL INJ IV FA PLAS TRANS SIST FECH X 250 ML, EUF
508030708157411, GLICOSE MONOIDRATADA, GLICOSE MONOIDRATADA, GLICOSE MONOIDRATADA, 50 MG/ML SOL INJ IV BOLS PP TRANS SIST FECH X 100 ML(CONT 50 ML), EUF
508030711158413, GLICOSE MONOIDRATADA, GLICOSE MONOIDRATADA, GLICOSE MONOIDRATADA, 50 MG/ML SOL INJ IV FA PLAS TRANS SIST FECH X 100 ML(CONT 50 ML), EUF
508030714157418, GLICOSE MONOIDRATADA, GLICOSE MONOIDRATADA, GLICOSE MONOIDRATADA, 50 MG/ML SOL INJ IV FA PLAS TRANS SIST FECH X 500 ML, EUF
508030716151417, GLICOSE MONOIDRATADA, GLICOSE MONOIDRATADA, GLICOSE MONOIDRATADA, 50 MG/ML SOL INJ IV BOLS PP TRANS SIST FECH X 500 ML, EUF
508019101111110, GLIMEPIRIDA, GLIMEPIRIDA, GLIMEPIRIDA, 2 MG COM CT BL AL PLAS INC X 30 , EUF
508019102116116, GLIMEPIRIDA, GLIMEPIRIDA, GLIMEPIRIDA, 4 MG COM CT BL AL PLAS INC X 30, EUF
508013040096204, GINNA, GINNA, NOT FOUND, 0.02 G/G CREM VAG CT BG AL X 40 G + 7 APLIC, EUF
508013040096304, GINNA, GINNA, NOT FOUND, 0.02 G/G CREM VAG CT BG PLAS X 40 G + 7 APLIC, EUF
