508019002111112, CITALOPRAM, CITALOPRAM, CITALOPRAM, 20 MG COM REV CT BL AL PLAS INC X 14, EUF
508024803119118, CILOSTAZOL, CILOSTAZOL, CILOSTAZOL, 100 MG COM CT BL AL PLAS INC X 60, EUF
508024802112111, CILOSTAZOL, CILOSTAZOL, CILOSTAZOL, 50 MG COM CT BL AL PLAS INC X 30, EUF
508024804115116, CILOSTAZOL, CILOSTAZOL, CILOSTAZOL, 50 MG COM CT BL AL PLAS INC X 60, EUF
508002503155118, CIPROFLOXACINO, CIPROFLOXACINO, CIPROFLOXACINO, 2 MG/ML SOL INJ CT BOLS PLAS INC X 100 ML, EUF
508002505158114, CIPROFLOXACINO, CIPROFLOXACINO, CIPROFLOXACINO, 2 MG/ML SOL INJ CT 6 BOLS PLAS INC X 100 ML, EUF
508002502159111, CIPROFLOXACINO, CIPROFLOXACINO, CIPROFLOXACINO, 2 MG/ML SOL INJ CT BOLSA PLAS INC X 200 ML, EUF
508002504151116, CIPROFLOXACINO, CIPROFLOXACINO, CIPROFLOXACINO, 2 MG/ML SOL INJ CT 6 BOLS PLAS INC X 200 ML, EUF
508018701113418, CITTÀ, CITTA, NOT FOUND, 20 MG COM REV CT BL AL PLAS INC X 14 , EUF
508018702111419, CITTÀ, CITTA, NOT FOUND, 20 MG COM REV CT BL AL PLAS INC X 28, EUF
508018703116414, CITTÀ, CITTA, NOT FOUND, 20 MG COM REV CT BL AL PLAS INC X 7, EUF
508023101153113, CITRATO DE FENTANILA, CITRATO FENTANILA, CITRATO FENTANILA, 50 MCG/ML SOL INJ CX 25 AMP VD INC X 10 ML  , EUF
508023102151114, CITRATO DE FENTANILA, CITRATO FENTANILA, CITRATO FENTANILA, 50 MCG/ML SOL INJ CX 25 AMP VD INC X 2 ML  , EUF
508023103156111, CITRATO DE FENTANILA, CITRATO FENTANILA, CITRATO FENTANILA, 50 MCG/ML SOL INJ CX 25 AMP VD INC X 5 ML, EUF
508029302118111, CITRATO DE SILDENAFILA, CITRATO SILDENAFILA, CITRATO SILDENAFILA, 100 MG COM REV CT BL AL PLAS INC X 1 , EUF
508029301111111, CITRATO DE SILDENAFILA, CITRATO SILDENAFILA, CITRATO SILDENAFILA, 100 MG COM REV CT BL AL PLAS INC X 2, EUF
508029306113112, CITRATO DE SILDENAFILA, CITRATO SILDENAFILA, CITRATO SILDENAFILA, 100 MG COM REV CT BL AL PLAS INC X 4, EUF
508029304110116, CITRATO DE SILDENAFILA, CITRATO SILDENAFILA, CITRATO SILDENAFILA, 50 MG COM REV CT BL AL PLAS INC X 1 , EUF
508029305117114, CITRATO DE SILDENAFILA, CITRATO SILDENAFILA, CITRATO SILDENAFILA, 50 MG COM REV CT BL AL PLAS INC X 2, EUF
508029303114118, CITRATO DE SILDENAFILA, CITRATO SILDENAFILA, CITRATO SILDENAFILA, 50 MG COM REV CT BL AL PLAS INC X 4, EUF
508026701119115, CITRATO DE TAMOXIFENO, CITRATO TAMOXIFENO, CITRATO TAMOXIFENO, 20 MG COM REV CT BL AL PLAS OPC X 30 , EUF
508013701158119, CLARITROMICINA, CLARITROMICINA, CLARITROMICINA, 500 MG PO LIOF P/ SOL INJ CT 5 FA VD INC , EUF
508024002116110, CLONAZEPAM, CLONAZEPAM, CLONAZEPAM, 2 MG COM REV CT BL AL PLAS INC X 20, EUF
508024001111115, CLONAZEPAM, CLONAZEPAM, CLONAZEPAM, 2 MG COM REV CT BL AL PLAS INC X 30, EUF
508030404158416, CLORETO DE SÓDIO 0,9%, CLORETO SODIO 0 9, NOT FOUND, 9 MG/ML SOL INJ IV CX BOLS PP TRANS SIST FECH X 100 ML, EUF
508030408153419, CLORETO DE SÓDIO 0,9%, CLORETO SODIO 0 9, NOT FOUND, 9 MG/ML SOL INJ IV CX FA PP TRANS SIST FECH X 100 ML, EUF
508030405154414, CLORETO DE SÓDIO 0,9%, CLORETO SODIO 0 9, NOT FOUND, 9 MG/ML SOL INJ IV CX BOLS PP TRANS SIST FECH X 1000 ML, EUF
508030409151411, CLORETO DE SÓDIO 0,9%, CLORETO SODIO 0 9, NOT FOUND, 9 MG/ML SOL INJ IV CX FA PP TRANS SIST FECH X 1000 ML, EUF
508030406150412, CLORETO DE SÓDIO 0,9%, CLORETO SODIO 0 9, NOT FOUND, 9 MG/ML SOL INJ IV CX BOLS PP TRANS SIST FECH X 250 ML, EUF
508030410158414, CLORETO DE SÓDIO 0,9%, CLORETO SODIO 0 9, NOT FOUND, 9 MG/ML SOL INJ IV CX FA PP TRANS SIST FECH X 250 ML, EUF
508030402155411, CLORETO DE SÓDIO 0,9%, CLORETO SODIO 0 9, NOT FOUND, 9 MG/ML SOL INJ IV CX 60 BOLS PP TRANS SIST FECH X 100 ML (CONT 50 ML), EUF
508030403151418, CLORETO DE SÓDIO 0,9%, CLORETO SODIO 0 9, NOT FOUND, 9 MG/ML SOL INJ IV CX 60 FA PP TRANS SIST FECH X 100 ML (CONT 50 ML), EUF
508030401159411, CLORETO DE SÓDIO 0,9%, CLORETO SODIO 0 9, NOT FOUND, 9 MG/ML SOL INJ IV CX FA PP TRANS SIST FECH X 500 ML, EUF
508030407157410, CLORETO DE SÓDIO 0,9%, CLORETO SODIO 0 9, NOT FOUND, 9 MG/ML SOL INJ IV CX BOLS PP TRANS SIST FECH X 500 ML, EUF
508002901118115, CLORIDRATO DE AMITRIPTILINA, CLORIDRATO AMITRIPTILINA, CLORIDRATO AMITRIPTILINA, 25 MG COM REV CT BL AL PLAS INC X 20 , EUF
508002902114113, CLORIDRATO DE AMITRIPTILINA, CLORIDRATO AMITRIPTILINA, CLORIDRATO AMITRIPTILINA, 75 MG COM REV CT BL AL PLAS INC X 20 , EUF
508003005159111, CLORIDRATO DE CEFEPIMA, CLORIDRATO CEFEPIMA, CLORIDRATO CEFEPIMA, 1 G PO P/ SOL INJ CT 50 FA VD INC + 50 AMP PLAS DIL X 3 ML (EMB HOSP), EUF
508003002151118, CLORIDRATO DE CEFEPIMA, CLORIDRATO CEFEPIMA, CLORIDRATO CEFEPIMA, 2 G PO P/ SOL INJ CT 25 FA VD INC , EUF
508003004152111, CLORIDRATO DE CEFEPIMA, CLORIDRATO CEFEPIMA, CLORIDRATO CEFEPIMA, 2 G PO P/ SOL INJ FA VD INC, EUF
508021803118117, CLORIDRATO DE CICLOBENZAPRINA, CLORIDRATO CICLOBENZAPRINA, CLORIDRATO CICLOBENZAPRINA, 10 MG COM REV CT BL AL PLAS INC X 15, EUF
508021801115110, CLORIDRATO DE CICLOBENZAPRINA, CLORIDRATO CICLOBENZAPRINA, CLORIDRATO CICLOBENZAPRINA, 10 MG COM REV CT BL AL PLAS INC X 30  , EUF
508021804114115, CLORIDRATO DE CICLOBENZAPRINA, CLORIDRATO CICLOBENZAPRINA, CLORIDRATO CICLOBENZAPRINA, 5 MG COM REV CT BL AL PLAS INC X 15, EUF
508021802111119, CLORIDRATO DE CICLOBENZAPRINA, CLORIDRATO CICLOBENZAPRINA, CLORIDRATO CICLOBENZAPRINA, 5 MG COM REV CT BL AL PLAS INC X 30 , EUF
508003801151119, CLORIDRATO DE DOXORRUBICINA, CLORIDRATO DOXORRUBICINA, CLORIDRATO DOXORRUBICINA, 10 MG PO LIOF SOL INJ CT FA VD INC X 15 ML, EUF
508003802156114, CLORIDRATO DE DOXORRUBICINA, CLORIDRATO DOXORRUBICINA, CLORIDRATO DOXORRUBICINA, 50 MG PO LIOF SOL INJ CT FA VD INC X 50 ML , EUF
508003803152112, CLORIDRATO DE DOXORRUBICINA, CLORIDRATO DOXORRUBICINA, CLORIDRATO DOXORRUBICINA, 50 MG PO LIOF SOL INJ CT 10 FA VD INC X 50 ML, EUF
508014001151111, CLORIDRATO DE GRANISETRONA, CLORIDRATO GRANISETRONA, CLORIDRATO GRANISETRONA, 1 MG/ML SOL INJ CT AMP VD INC X 1 ML, EUF
508014004159111, CLORIDRATO DE GRANISETRONA, CLORIDRATO GRANISETRONA, CLORIDRATO GRANISETRONA, 1 MG/ML SOL INJ CT 10 AMP VD INC X 1ML, EUF
508014002156115, CLORIDRATO DE GRANISETRONA, CLORIDRATO GRANISETRONA, CLORIDRATO GRANISETRONA, 1 MG/ML SOL INJ CT AMP VD INC X 3 ML, EUF
508014003152113, CLORIDRATO DE GRANISETRONA, CLORIDRATO GRANISETRONA, CLORIDRATO GRANISETRONA, 1 MG/ML SOL INJ CT 10 AMP VD INC X 3ML, EUF
508003203155110, CLORIDRATO DE GENCITABINA, CLORIDRATO GENCITABINA, CLORIDRATO GENCITABINA, 1 G PO LIOF P/ SOL INJ IV CT FA VD INC X 50 ML , EUF
508003205158117, CLORIDRATO DE GENCITABINA, CLORIDRATO GENCITABINA, CLORIDRATO GENCITABINA, 1 G PO LIOF P/ SOL INJ IV CT 10 FA VD INC X 50 ML , EUF
508003204151119, CLORIDRATO DE GENCITABINA, CLORIDRATO GENCITABINA, CLORIDRATO GENCITABINA, 200 MG PO LIOF P/ SOL INJ IV CT FA VD INC X 10 ML , EUF
508003206154115, CLORIDRATO DE GENCITABINA, CLORIDRATO GENCITABINA, CLORIDRATO GENCITABINA, 200 MG PO LIOF P/ SOL INJ IV CT 10 FA VD INC X 10 ML , EUF
508015302153111, CLORIDRATO DE IRINOTECANO, CLORIDRATO IRINOTECANO, CLORIDRATO IRINOTECANO, 20 MG/ML SOL INJ CT FA VD AMB X 2 ML , EUF
508015301157111, CLORIDRATO DE IRINOTECANO, CLORIDRATO IRINOTECANO, CLORIDRATO IRINOTECANO, 20 MG/ML SOL INJ CT FA VD AMB X 5 ML, EUF
508012080094006, CLORIDRATO DE IRINOTECANO, CLORIDRATO IRINOTECANO, CLORIDRATO IRINOTECANO, 20 MG/ML SOL INJ IV CT 10 FA VD AMB X 5 ML, EUF
508029801114111, CLORIDRATO DE MEMANTINA, CLORIDRATO MEMANTINA, CLORIDRATO MEMANTINA, 10 MG COM REV CT BL AL PLAS INC X 30, EUF
508029802110118, CLORIDRATO DE MEMANTINA, CLORIDRATO MEMANTINA, CLORIDRATO MEMANTINA, 10 MG COM REV CT BL AL PLAS INC X 60, EUF
508019805117116, CLORIDRATO DE NORTRIPTILINA, CLORIDRATO NORTRIPTILINA, CLORIDRATO NORTRIPTILINA, 10 MG CAP GEL DURA CT BL AL PLAS INC X 30, EUF
508019806113114, CLORIDRATO DE NORTRIPTILINA, CLORIDRATO NORTRIPTILINA, CLORIDRATO NORTRIPTILINA, 25 MG CAP GEL DURA CT BL AL PLAS INC X 30, EUF
508019807111115, CLORIDRATO DE NORTRIPTILINA, CLORIDRATO NORTRIPTILINA, CLORIDRATO NORTRIPTILINA, 50 MG CAP GEL DURA CT BL AL PLAS INC X 30, EUF
508003301114117, CLORIDRATO DE PAROXETINA, CLORIDRATO PAROXETINA, CLORIDRATO PAROXETINA HEMI-HIDRATADO, 20 MG COM REV CT BL AL PLAS INC X 20 , EUF
508003302110115, CLORIDRATO DE PAROXETINA, CLORIDRATO PAROXETINA, CLORIDRATO PAROXETINA HEMI-HIDRATADO, 20 MG COM REV CT BL AL PLAS INC X 30 , EUF
508003401119110, CLORIDRATO DE RANITIDINA, CLORIDRATO RANITIDINA, CLORIDRATO RANITIDINA, 150 MG COM REV CT STR AL X 20, EUF
508022601152118, CLORIDRATO DE ROPIVACAÍNA, CLORIDRATO ROPIVACAINA, CLORIDRATO ROPIVACAINA, 10 MG/ ML SOL INJ CT 5 AMP VD INC X 10 ML, EUF
508022602159116, CLORIDRATO DE ROPIVACAÍNA, CLORIDRATO ROPIVACAINA, CLORIDRATO ROPIVACAINA, 10 MG/ ML SOL INJ CT 5 AMP VD INC X 20 ML, EUF
508022604151112, CLORIDRATO DE ROPIVACAÍNA, CLORIDRATO ROPIVACAINA, CLORIDRATO ROPIVACAINA, 2 MG/ ML SOL P/ INFUS CX 5 BOLS PLAS INC X 100 ML, EUF
508022603155114, CLORIDRATO DE ROPIVACAÍNA, CLORIDRATO ROPIVACAINA, CLORIDRATO ROPIVACAINA, 2 MG/ ML SOL INJ CT 5 AMP VD INC X 20 ML, EUF
508022605158110, CLORIDRATO DE ROPIVACAÍNA, CLORIDRATO ROPIVACAINA, CLORIDRATO ROPIVACAINA, 7.5 MG/ ML SOL INJ CT 5 AMP VD INC X 20 ML, EUF
508003504112119, CLORIDRATO DE SERTRALINA, CLORIDRATO SERTRALINA, CLORIDRATO SERTRALINA, 100 MG COM REV CT BL AL PLAS INC X 20, EUF
508012040090906, CLORIDRATO DE SERTRALINA, CLORIDRATO SERTRALINA, CLORIDRATO SERTRALINA, 100 MG COM REV CT BL AL PLAS INC X 30, EUF
508012040091006, CLORIDRATO DE SERTRALINA, CLORIDRATO SERTRALINA, CLORIDRATO SERTRALINA, 25 MG COM REV CT BL AL PLAS INC X 30, EUF
508003501113114, CLORIDRATO DE SERTRALINA, CLORIDRATO SERTRALINA, CLORIDRATO SERTRALINA, 50 MG COM REV CT BL AL PLAS INC X 20, EUF
508003502111115, CLORIDRATO DE SERTRALINA, CLORIDRATO SERTRALINA, CLORIDRATO SERTRALINA, 50 MG COM REV CT BL AL PLAS INC X 28, EUF
508003505119117, CLORIDRATO DE SERTRALINA, CLORIDRATO SERTRALINA, CLORIDRATO SERTRALINA, 50 MG COM REV CT BL AL PLAS INC X 30, EUF
508023902113111, CLORIDRATO DE SIBUTRAMINA MONOHIDRATADO, CLORIDRATO SIBUTRAMINA MONOHIDRATADO, NOT FOUND, 10 MG CAP GEL DURA CT BL AL PLAS INC X 30, EUF
508023901117111, CLORIDRATO DE SIBUTRAMINA MONOHIDRATADO, CLORIDRATO SIBUTRAMINA MONOHIDRATADO, NOT FOUND, 15 MG CAP GEL DURA CT BL AL PLAS INC X 30, EUF
508026301110110, CLORIDRATO DE TICLOPIDINA, CLORIDRATO TICLOPIDINA, CLORIDRATO TICLOPIDINA, 250 MG COM REV CT BL AL PLAS INC X 20, EUF
508026302117119, CLORIDRATO DE TICLOPIDINA, CLORIDRATO TICLOPIDINA, CLORIDRATO TICLOPIDINA, 250 MG COM REV CT BL AL PLAS INC X 30, EUF
508013101150117, CLORIDRATO DE VANCOMICINA, CLORIDRATO VANCOMICINA, CLORIDRATO VANCOMICINA, 500 MG PO LIOF SOL INJ CT FA VD INC, EUF
508013901157116, CLORIDRATO DE VANCOMICINA, CLORIDRATO VANCOMICINA, CLORIDRATO VANCOMICINA, 500 MG PO LIOF P/ SOL INJ CT 50 FA VD INC (EMB HOSP), EUF
508015010106506, CLORIDRATO DE VENLAFAXINA (PORT 344/98 LISTA C1), CLORIDRATO VENLAFAXINA PORT 344 98 LISTA C1, NOT FOUND, 37.5 MG CAP GEL DURA LIB PROL CT BL AL PLAS INC X 30, EUF
508015010106606, CLORIDRATO DE VENLAFAXINA (PORT 344/98 LISTA C1), CLORIDRATO VENLAFAXINA PORT 344 98 LISTA C1, NOT FOUND, 75 MG CAP GEL DURA CT BL AL PLAS INC X 30, EUF
508015010106706, CLORIDRATO DE VENLAFAXINA (PORT 344/98 LISTA C1), CLORIDRATO VENLAFAXINA PORT 344 98 LISTA C1, NOT FOUND, 150 MG CAP GEL DURA CT BL AL PLAS INC X 30, EUF
508020601112111, CLORIDRATO DE VENLAFAXINA, CLORIDRATO VENLAFAXINA, CLORIDRATO VENLAFAXINA, 150 MG CAP GEL DURA CT BL AL PLAS INC X 14, EUF
508020604111114, CLORIDRATO DE VENLAFAXINA, CLORIDRATO VENLAFAXINA, CLORIDRATO VENLAFAXINA, 150 MG CAP GEL DURA CT BL AL PLAS INC X 28, EUF
508020603115116, CLORIDRATO DE VENLAFAXINA, CLORIDRATO VENLAFAXINA, CLORIDRATO VENLAFAXINA, 37.5 MG CAP GEL DURA LIB PROL CT BL AL PLAS INC X 14, EUF
508020605118112, CLORIDRATO DE VENLAFAXINA, CLORIDRATO VENLAFAXINA, CLORIDRATO VENLAFAXINA, 37.5 MG CAP GEL DURA LIB PROL CT BL AL PLAS INC X 28, EUF
508020602119118, CLORIDRATO DE VENLAFAXINA, CLORIDRATO VENLAFAXINA, CLORIDRATO VENLAFAXINA, 75 MG CAP GEL DURA CT BL AL PLAS INC X 14, EUF
508020606114110, CLORIDRATO DE VENLAFAXINA, CLORIDRATO VENLAFAXINA, CLORIDRATO VENLAFAXINA, 75 MG CAP GEL DURA CT BL AL PLAS INC X 28, EUF
508013301117113, CLOXAZOLAM, CLOXAZOLAM, CLOXAZOLAM, 1 MG COM CT STR AL X 20, EUF
508013304116118, CLOXAZOLAM, CLOXAZOLAM, CLOXAZOLAM, 1 MG COM CT STR AL X 30, EUF
508013302113111, CLOXAZOLAM, CLOXAZOLAM, CLOXAZOLAM, 2 MG COM CT STR AL X 20, EUF
508013305112116, CLOXAZOLAM, CLOXAZOLAM, CLOXAZOLAM, 2 MG COM CT STR AL X 30, EUF
508013303111112, CLOXAZOLAM, CLOXAZOLAM, CLOXAZOLAM, 4 MG COM CT STR AL X 20 , EUF
508024701162413, CREVAGIN, CREVAGIN, NOT FOUND, 30 MG/G +20MG/G CREM VAG CT BG AL X 40 G +7 APLIC , EUF
508027801151213, CIMAHER, CIMAHER, NOT FOUND, 50 MG SOL INJ IV CT FA VD INC X 10 ML , EUF
508027802156219, CIMAHER, CIMAHER, NOT FOUND, 50 MG SOL INJ IV CT 4 FA VD INC X 10 ML , EUF
508014040103603, CALNATE, CALNATE, NOT FOUND, 900 MG/G PO SUS OR CT 20 ENV PAP AL/PLAS X 30G (EMB FRAC), EUF
508028301134415, CALNATE, CALNATE, NOT FOUND, 900 MG/G PO OR CT 60 ENV PAP AL/PLAS X 30, EUF
