508023401157416, DAIVA, DAIVA, NOT FOUND, 150 MG/ML + 10 MG/ML SOL INJ IM CT AMP VD AMB X 1 ML , EUF
508013404137117, DIPIRONA SÓDICA, DIPIRONA SODICA, NOT FOUND, 500 MG/ML SOL OR CT FR PLAS OPC GOT X 20 ML, EUF
508006001154411, DEXALGEN, DEXALGEN, NOT FOUND, 5 MG/ML SOL INJ CX 3 AMP VD AMB X 1 ML +1.5 MG/ML +500MG/ML SOL INJ 3 AMP VD AMB X 1 ML, EUF
508006002150418, DEXALGEN, DEXALGEN, NOT FOUND, 5 MG/ML SOL INJ CX AMP VD AMB X 1 ML + 1.5 MG/ML + 500 MG/ML SOL INJ AMP VD AMB X 1 ML, EUF
508014040104106, DIPROPIONATO DE BETAMETASONA + FOSFATO DISSÓDICO DE BETAMETASONA, DIPROPIONATO BETAMETASONA FOSFATO DISSODICO BETAMETASONA, NOT FOUND, 5 MG/ML + 2 MG/ML SUS INJ CT AMP VD INC X 1 ML, EUF
508015601150112, DIPROPIONATO DE BETAMETASONA + FOSFATO DISSÓDICO DE BETAMETASONA, DIPROPIONATO BETAMETASONA FOSFATO DISSODICO BETAMETASONA, NOT FOUND, 5 MG/ML + 2 MG/ML SUS INJ CT 1 AMP VD INC X 1 ML + SER, EUF
508013801152112, DOCETAXEL, DOCETAXEL, DOCETAXEL, 20 MG SOL INJ CT FA VD INC X 0.5 ML + AMP DIL VD INC X 1.5 ML , EUF
508013802159412, DOCETAXEL, DOCETAXEL, DOCETAXEL, 80 MG SOL INJ CT FA VD INC X 2.0 ML + AMP DIL VD INC X 6.0 ML, EUF
508012060092504, DOMPERIX, DOMPERIX, NOT FOUND, 1 MG/ML SUS OR CT FR VD AMB X 100 ML + 1 SER DOS, EUF
508029201117118, DOMPERIDONA, DOMPERIDONA, DOMPERIDONA, 10 MG COM CT BL AL PLAS INC X 30, EUF
508029501110410, DOMPERIX, DOMPERIX, NOT FOUND, 10 MG COM CT BL AL PLAS INC X 30, EUF
508023203118414, DIACQUA, DIACQUA, NOT FOUND, 100 MG COM CT BL AL PLAS INC X 16, EUF
508023204114412, DIACQUA, DIACQUA, NOT FOUND, 25 MG COM CT BL AL PLAS INC X 10 , EUF
508023201115418, DIACQUA, DIACQUA, NOT FOUND, 25 MG COM CT BL AL PLAS INC X 30, EUF
508023205110410, DIACQUA, DIACQUA, NOT FOUND, 50 MG COM CT BL AL PLAS INC X 10 , EUF
508023202111416, DIACQUA, DIACQUA, NOT FOUND, 50 MG COM CT BL AL PLAS INC X 30, EUF
508013080098703, DUOMO HP, DUOMO HP, NOT FOUND, 2 MG COMP + 5 MG COMP REV CAP GEL DURA CT BL AL/PLAS INC X 20, EUF
508013050096805, DUOMO HP, DUOMO HP, NOT FOUND, 2 MG COMP + 5 MG COMP REV CAP GEL DURA CT BL AL/PLAS INC X 30, EUF
508026101111113, DICLORIDRATO DE LEVOCETIRIZINA, DICLORIDRATO LEVOCETIRIZINA, DICLORIDRATO LEVOCETIRIZINA, 5 MG COM REV CT BL AL/AL X 10, EUF
508015801117410, DOPO, DOPO, NOT FOUND, 0.75 MG COM CT BL AL PLAS INC X 2, EUF
508025602117418, DUOMO, DUOMO, NOT FOUND, 2 MG COM CT BL AL PLAS INC X 10 , EUF
508025601110411, DUOMO, DUOMO, NOT FOUND, 2 MG COM CT BL AL PLAS INC X 30, EUF
508006101167114, DICLOFENACO DIETILAMONIO, DICLOFENACO DIETILAMONIO, DICLOFENACO DIETILAMONIO, 10 MG/G GEL CT BG AL X 60 G, EUF
