508014102118411; SELENE; SELENE; NOT FOUND; (0.035 + 2) MG COM REV CT BL AL PLAS INC X 21; EUF
508030804156410; SOLUÇÃO FISIOLÓGICA DE RINGER; SOLUCAO FISIOLOGICA RINGER; NOT FOUND; 8.6 MG/ML + 0.3 MG/ML + 0.33 MG/ML SOL INJ IV CX BOLS PP TRANS SIST FECH X 1000 ML; EUF
508030805152419; SOLUÇÃO FISIOLÓGICA DE RINGER; SOLUCAO FISIOLOGICA RINGER; NOT FOUND; 8.6 MG/ML + 0.3 MG/ML + 0.33 MG/ML SOL INJ IV CX FA PP TRANS SIST FECH X 1000 ML; EUF
508030803151415; SOLUÇÃO FISIOLÓGICA DE RINGER; SOLUCAO FISIOLOGICA RINGER; NOT FOUND; 8.6 MG/ML + 0.3 MG/ML + 0.33 MG/ML SOL INJ IV CX BOLS PP TRANS SIST FECH X 250 ML; EUF
508030806159417; SOLUÇÃO FISIOLÓGICA DE RINGER; SOLUCAO FISIOLOGICA RINGER; NOT FOUND; 8.6 MG/ML + 0.3 MG/ML + 0.33 MG/ML SOL INJ IV CX FA PP TRANS SIST FECH X 250 ML; EUF
508030801157416; SOLUÇÃO FISIOLÓGICA DE RINGER; SOLUCAO FISIOLOGICA RINGER; NOT FOUND; 8.6 MG/ML + 0.3 MG/ML + 0.33 MG/ML SOL INJ IV CX FA PP TRANS SIST FECH X 500 ML; EUF
508030802153414; SOLUÇÃO FISIOLÓGICA DE RINGER; SOLUCAO FISIOLOGICA RINGER; NOT FOUND; 8.6 MG/ML + 0.3 MG/ML + 0.33 MG/ML SOL INJ IV CX BOLS PP TRANS SIST FECH X 500 ML; EUF
508017001177415; SNIF SOL NASAL GOTAS; SNIF SOL NASAL GOTAS; NOT FOUND; 9 MG/ML SOL NAS CT FR VD AMB X 20 ML + CGT; EUF
508026202171413; SNIF; SNIF; NOT FOUND; 9 MG/ML SOL NAS CT FR GOT PLAS AMB X 20 ML; EUF
508027901170414; SNIF SC; SNIF SC; NOT FOUND; 9 MG/ML SOL NASAL CT FR PLAS SPRAY X 20 ML ; EUF
508027902177412; SNIF SC; SNIF SC; NOT FOUND; 9 MG/ML SOL NASAL CT FR PLAS GOT X 20 ML   ; EUF
508026201175415; SNIF; SNIF; NOT FOUND; 9 MG/ML SOL NAS CT FR GOT PLAS AMB X 30 ML; EUF
508027302110414; SIBUS; SIBUS; NOT FOUND; 10 MG CAP GEL DURA CT BL AL PLAS INC X 30; EUF
508027301114416; SIBUS; SIBUS; NOT FOUND; 15 MG CAP GEL DURA CT BL AL PLAS INC X 30; EUF
508011803131418; SIMECO PLUS; SIMECO PLUS; NOT FOUND; 120 MG/ML + 41.5 MG/ML +7 MG/ML SUS OR CT 5O FLAC PLAS TRANS X 10 ML; EUF
508011802135411; SIMECO PLUS; SIMECO PLUS; NOT FOUND; 120 MG/ML + 41.5 MG/ML + 7 MG/ML SUS OR CT FR VD AMB X 240 ML ; EUF
508011804138416; SIMECO PLUS; SIMECO PLUS; NOT FOUND; 120 MG/ML + 41.5 MG/ML + 7 MG/ML SUS OR CT FR VD AMB X 60 ML; EUF
508025701158414; SUPRAFEN; SUPRAFEN; NOT FOUND; 20 MG/ML SOL INJ IV CT 5 AMP VD INC X 5 ML; EUF
508025702154412; SUPRAFEN; SUPRAFEN; NOT FOUND; 20 MG/ML SOL INJ IV CT 3 AMP VD INC X 5 ML; EUF
508025703150410; SUPRAFEN; SUPRAFEN; NOT FOUND; 20 MG/ML SOL INJ IV CT 50 AMP VD INC X 5 ML ; EUF
508011903152115; SUCCINATO SÓDICO DE HIDROCORTISONA; SUCCINATO SODICO HIDROCORTISONA; SUCCINATO SODICO HIDROCORTISONA; 100 MG PO LIOF P/ SOL INJ CT 50 FA VD INC + 50 DIL AMP VD INC X 2 ML ; EUF
508011905155111; SUCCINATO SÓDICO DE HIDROCORTISONA; SUCCINATO SODICO HIDROCORTISONA; SUCCINATO SODICO HIDROCORTISONA; 100 MG  PO LIOF P/ SOL INJ CT 50 FA VD INC + 50 AMP PLAS DIL X 2 ML; EUF
508011906151111; SUCCINATO SÓDICO DE HIDROCORTISONA; SUCCINATO SODICO HIDROCORTISONA; SUCCINATO SODICO HIDROCORTISONA; 500 MG  PO LIOF P/ SOL INJ CT 50 FA VD INC + 50 AMP PLAS DIL X 4 ML  ; EUF
508012102153111; SULFATO DE AMICACINA; SULFATO AMICACINA; SULFATO AMICACINA; 250 MG/ML SOL INJ CT AMP VD INC X 2 ML; EUF
508012103151112; SULFATO DE AMICACINA; SULFATO AMICACINA; SULFATO AMICACINA; 250 MG/ML SOL INJ CT 50 AMP VD INC X 2 ML (EMB HOSP); EUF
508020001158119; SULFATO POLIMIXINA B; SULFATO POLIMIXINA B; SULFATO POLIMIXINA B; 500.000 UI PO LIOF P/ SOL INJ CT 5 FA VD INC; EUF
508017002173413; SNIF 3%; SNIF 3; NOT FOUND; 30 MG/ML SOL NAS CT FR PLAS OPC SPRAY X 45 ML ; EUF
508017004176411; SNIF SC; SNIF SC; NOT FOUND; 9 MG/ML SOL NASAL CT FR PLAS SPRAY X 50 ML; EUF
