502406301113428, ZIRVIT E, ZIRVIT E, NOT FOUND, 400 UI CX C/ 30 CAPS, NO_ACR
510609401113315, ZYBAN, ZYBAN, NOT FOUND, 150 MG COM REV LIB LENTA CT BL AL/AL X 30, NO_ACR
510609402111316, ZYBAN, ZYBAN, NOT FOUND, 150 MG COM REV LIB LENTA CT BL AL/AL X 60, NO_ACR
510609205152311, ZOFRAN, ZOFRAN, NOT FOUND, 2 MG/ML SOL INJ CT 5 AMP PLAS X 2 ML, NO_ACR
510609206159311, ZOFRAN, ZOFRAN, NOT FOUND, 2 MG/ML SOL INJ CT 5 AMP PLAS X 4 ML, NO_ACR
510609201114318, ZOFRAN, ZOFRAN, NOT FOUND, 4 MG COM REV CT BL AL PLAS OPC BCO X 10, NO_ACR
510609203117314, ZOFRAN, ZOFRAN, NOT FOUND, 8 MG COM REV CT BL AL PLAS OPC BCO X 10, NO_ACR
540900701111414, ZYLIUM, ZYLIUM, NOT FOUND, 300 MG COMP REV CT BL AL PLAST INC X 8, NO_ACR
531621103111415, ZOLTRALINA, ZOLTRALINA, NOT FOUND, 100 MG COM REV CT BL AL PLAS OPC X 14, NO_ACR
531621102115417, ZOLTRALINA, ZOLTRALINA, NOT FOUND, 50 MG COM REV CT BL AL PLAS OPC X 20, NO_ACR
531621101119419, ZOLTRALINA, ZOLTRALINA, NOT FOUND, 50 MG COM REV CT BL AL PLAS OPC X 28, NO_ACR
519507304155412, ZAMADOL, ZAMADOL, NOT FOUND, 100 MG/2 ML SOL INJ CT 50 AMP VD AMB X 2 ML (EMB HOSP), NO_ACR
510609603131314, ZYRTEC, ZYRTEC, NOT FOUND, 1.0 MG/ML SOL OR CT FR VD AMB X 120 ML, NO_ACR
532904902137411, ZETALERG, ZETALERG, NOT FOUND, 1 MG/ML SOL OR CT FR VD AMB X 75 ML, NO_ACR
510609601112312, ZYRTEC, ZYRTEC, NOT FOUND, 10 MG COM REV CT BL AL PLAS INC X 12, NO_ACR
532904901114416, ZETALERG, ZETALERG, NOT FOUND, 10 MG COM REV CT BL AL PLAS INC X 6, NO_ACR
514800601132421, ZITALGIN, ZITALGIN, NOT FOUND, 500 MG/ML SOL.OR. CT FR PLAS OPC GOT X 20 ML, NO_ACR
521113090059104, ZIPTUSS, ZIPTUSS, NOT FOUND, 1.5 MG/ML XPE CT FR PLAS AMB X 120 ML + SER DOS, NO_ACR
521113090059204, ZIPTUSS, ZIPTUSS, NOT FOUND, 1.5 MG/ML XPE CT FR PLAS AMB X 120 ML + COP, NO_ACR
521113090059004, ZIPTUSS, ZIPTUSS, NOT FOUND, 1.5 MG/ML XPE CT FR PLAS AMB X 60 ML + SER DOS, NO_ACR
521113090059404, ZIPTUSS, ZIPTUSS, NOT FOUND, 3 MG/ML XPE CT FR PLAS AMB X 120 ML + COP , NO_ACR
521113090059304, ZIPTUSS, ZIPTUSS, NOT FOUND, 3 MG/ML XPE CT FR PLAS AMB X 60 ML + COP, NO_ACR
507725002114115, ZOPICLONA, ZOPICLONA, ZOPICLONA, 100 MG COM CT BL AL PLAS INC X 16, NO_ACR
507725003110113, ZOPICLONA, ZOPICLONA, ZOPICLONA, 100 MG COM CT BL AL PLAS INC X 30, NO_ACR
527314100015503, ZETIA, ZETIA, NOT FOUND, 10 MG COM CT BL AL PLAS INC X 60, NO_ACR
537700401114419, ZETIA, ZETIA, NOT FOUND, 10 MG COM CT BL AL PLAS INC X 10 , NO_ACR
537700402110311, ZETIA, ZETIA, NOT FOUND, 10 MG COM CT BL AL PLAS INC X 20 , NO_ACR
537700403117318, ZETIA, ZETIA, NOT FOUND, 10 MG COM CT BL AL PLAS INC X 30, NO_ACR
527313080010604, ZETSIM, ZETSIM, NOT FOUND, 10 MG + 20 MG COM CT BL AL PVC BRANCO ACLAR X 14 , NO_ACR
527313080010804, ZETSIM, ZETSIM, NOT FOUND, 10 MG + 40 MG COM CT BL AL PVC BRANCO ACLAR X 14 , NO_ACR
527313080011004, ZETSIM, ZETSIM, NOT FOUND, 10 MG + 10 MG COM CT BL AL PVC X 14 , NO_ACR
527313080011104, ZETSIM, ZETSIM, NOT FOUND, 10 MG + 80 MG COM CT BL AL PVC BRANCO ACLAR X 14 
 , NO_ACR
537700202111312, ZETSIM, ZETSIM, NOT FOUND, 10 MG + 10 MG COM CT BL AL AL X 14 , NO_ACR
537700203118310, ZETSIM, ZETSIM, NOT FOUND, 10 MG + 20 MG COM CT BL AL PVC BRANCO ACLAR X 14 , NO_ACR
537700205110317, ZETSIM, ZETSIM, NOT FOUND, 10 MG + 40 MG COM CT BL AL PVC BRANCO ACLAR X 14 , NO_ACR
537700207113313, ZETSIM, ZETSIM, NOT FOUND, 10 MG + 80 MG COM CT BL AL PVC BRANCO ACLAR X 14 
 , NO_ACR
527313080010504, ZETSIM, ZETSIM, NOT FOUND, 10 MG + 10 MG COM CT BL AL PVC X 28 , NO_ACR
527313080010704, ZETSIM, ZETSIM, NOT FOUND, 10 MG + 20 MG COM CT BL AL PVC BRANCO ACLAR X 28 , NO_ACR
527313080010904, ZETSIM, ZETSIM, NOT FOUND, 10 MG + 40 MG COM CT BL AL PVC BRANCO ACLAR X 28, NO_ACR
537700201115314, ZETSIM, ZETSIM, NOT FOUND, 10 MG + 10 MG COM CT BL AL AL X 28 , NO_ACR
537700204114319, ZETSIM, ZETSIM, NOT FOUND, 10 MG + 20 MG COM CT BL AL PVC BRANCO ACLAR X 28 , NO_ACR
537700206117315, ZETSIM, ZETSIM, NOT FOUND, 10 MG + 40 MG COM CT BL AL PVC OPC ACLAR X 28, NO_ACR
502405901117418, ZELIX, ZELIX, NOT FOUND, 150 MG CAP GEL DURA CT ENV AL POLIET X 1, NO_ACR
502405902113416, ZELIX, ZELIX, NOT FOUND, 150 MG CAP GEL DURA CT ENV AL POLIET X 2, NO_ACR
521123901167418, ZINDACLIN, ZINDACLIN, NOT FOUND, 10 MG/G GEL DERMATOLOGICO CT BG PLAS LAMINADA X 30 G , NO_ACR
532905003136419, ZETITEC, ZETITEC, NOT FOUND, 0.2 MG/ML XPE CT FR VD AMB X 120 ML, NO_ACR
532905001117417, ZETITEC, ZETITEC, NOT FOUND, 1 MG COM CT BL AL PLAS X 20, NO_ACR
532905002131413, ZETITEC, ZETITEC, NOT FOUND, 1 MG/ML SOL OR FR VD AMB X 30 ML + CGT, NO_ACR
527304801171315, ZENHALE, ZENHALE, NOT FOUND, 100 MCG + 5 MCG/ATOM SUS AER CT TB AL X 13 G (120 ATOM) + BOCAL + DOSADOR, NO_ACR
527304802178313, ZENHALE, ZENHALE, NOT FOUND, 200 MCG + 5 MCG/ATOM SUS AER CT TB AL X 13 G (120 ATOM) + BOCAL + DOSADOR, NO_ACR
527304803174311, ZENHALE, ZENHALE, NOT FOUND, 50 MCG + 5 MCG/ATOM SUS AER CT TB AL X 13 G (120 ATOM) + BOCAL + DOSADOR, NO_ACR
522712110028904, ZOLPIREST, ZOLPIREST, NOT FOUND, 10 MG COM REV CT BL AL PVC TRANS X 10, NO_ACR
522712110029304, ZOLPIREST, ZOLPIREST, NOT FOUND, 10 MG COM REV CT BL AL PVDC TRANS X 10, NO_ACR
522712110029004, ZOLPIREST, ZOLPIREST, NOT FOUND, 10 MG COM REV CT BL AL PVC TRANS X 15, NO_ACR
522712110029404, ZOLPIREST, ZOLPIREST, NOT FOUND, 10 MG COM REV CT BL AL PVDC TRANS X 15, NO_ACR
522712110029104, ZOLPIREST, ZOLPIREST, NOT FOUND, 10 MG COM REV CT BL AL PVC TRANS X 20, NO_ACR
522712110029504, ZOLPIREST, ZOLPIREST, NOT FOUND, 10 MG COM REV CT BL AL PVDC TRANS X 20, NO_ACR
522712110029204, ZOLPIREST, ZOLPIREST, NOT FOUND, 10 MG COM REV CT BL AL PVC TRANS X 30, NO_ACR
522712110029604, ZOLPIREST, ZOLPIREST, NOT FOUND, 10 MG COM REV CT BL AL PVDC TRANS X 30, NO_ACR
531622102119410, ZAARPRESS HTC, ZAARPRESS HTC, NOT FOUND, 50 MG + 12.5 MG COM REV CT BL AL PLAS LEIT X 30, NO_ACR
531622101112412, ZAARPRESS HTC, ZAARPRESS HTC, NOT FOUND, 100 MG + 25 MG COM REV CT BL AL PLAS LEIT X 30, NO_ACR
508503701111311, ZYXEM, ZYXEM, NOT FOUND, 5.0 MG COM REV CT BL AL/AL X 10 , NO_ACR
508503705117314, ZYXEM, ZYXEM, NOT FOUND, 5.0 MG COM REV CT BL AL/AL X 14 , NO_ACR
508503704110316, ZYXEM, ZYXEM, NOT FOUND, 5.0 MG COM REV CT BL AL/AL X 21, NO_ACR
508503703114318, ZYXEM, ZYXEM, NOT FOUND, 5.0 MG COM REV CT BL AL/AL X 4 , NO_ACR
508503702118311, ZYXEM, ZYXEM, NOT FOUND, 5.0 MG COM REV CT BL AL/AL X 7 , NO_ACR
508503707136316, ZYXEM, ZYXEM, NOT FOUND, 5 MG/ML SOL OR CT FR VD AMB + CTG X 10 ML, NO_ACR
508503708132314, ZYXEM, ZYXEM, NOT FOUND, 5 MG/ML SOL OR CT FR VD AMB + CTG X 15 ML, NO_ACR
508503706131310, ZYXEM, ZYXEM, NOT FOUND, 5 MG/ML SOL OR CT FR VD AMB + CTG X 20 ML, NO_ACR
531604401118418, ZAARPRESS, ZAARPRESS, NOT FOUND, 100 MG COM REV CT BL AL PVDC LEIT X 15, NO_ACR
531604405113410, ZAARPRESS, ZAARPRESS, NOT FOUND, 100 MG COM REV CT BL AL PVDC LEIT X 70 (EMB FRAC), NO_ACR
531604402114416, ZAARPRESS, ZAARPRESS, NOT FOUND, 25 MG COM REV CT 2 BL AL PVDC LEIT X 15, NO_ACR
531604406111411, ZAARPRESS, ZAARPRESS, NOT FOUND, 25 MG COM REV CT BL AL PVDC LEIT X 70 (EMB FRAC), NO_ACR
531604403110414, ZAARPRESS, ZAARPRESS, NOT FOUND, 50 MG COM REV CT 2 BL AL PVDC LEIT X 15, NO_ACR
531604407116417, ZAARPRESS, ZAARPRESS, NOT FOUND, 50 MG COM REV CT BL AL PVDC LEIT X 70 (EMB FRAC), NO_ACR
503101201131314, ZYLET, ZYLET, NOT FOUND, 5 MG/ML + 3 MG/ML SUS OFT CT FR PLAS OPC GOT X 5 ML, NO_ACR
505607402159412, ZYLPEN, ZYLPEN, NOT FOUND, 1 G PO INJ CT 10 FA VD INC , NO_ACR
505607403155410, ZYLPEN, ZYLPEN, NOT FOUND, 1 G PO INJ CT 10 FA VD INC + 10 BOLS PLAS FLEX SIST FECH X 100 ML , NO_ACR
505607404151419, ZYLPEN, ZYLPEN, NOT FOUND, 1 G PO INJ CT FA VD INC + BOLS PLAS FLEX SIST FECH X 100 ML, NO_ACR
505607401152414, ZYLPEN, ZYLPEN, NOT FOUND, 500 MG PO INJ CT 10 FA VD INC , NO_ACR
505607405158417, ZYLPEN, ZYLPEN, NOT FOUND, 500 MG PO INJ CT FA VD INC + BOLS PLAS FLEX SIST FECH X 100 ML, NO_ACR
505607406154415, ZYLPEN, ZYLPEN, NOT FOUND, 500 MG PO INJ CT 10 FA VD INC + BOLS PLAS FLEX SIST FECH X 100 ML, NO_ACR
507603201112212, ZYPREXA, ZYPREXA, NOT FOUND, 10 MG COM REV CT BL AL/AL X 14, NO_ACR
531623203113416, ZOPIX, ZOPIX, NOT FOUND, 10 MG COM REV CT BL AL AL X 28, NO_ACR
507603202119210, ZYPREXA, ZYPREXA, NOT FOUND, 10 MG COM REV CT BL AL/AL  X 28 , NO_ACR
507603701115318, ZYPREXA, ZYPREXA, NOT FOUND, 10 MG COM ORODISPERSIVEL CT BL AL/AL X 28, NO_ACR
507603210111312, ZYPREXA, ZYPREXA, NOT FOUND, 10 MG COM REV CT BL AL/AL X 30, NO_ACR
507603209113218, ZYPREXA, ZYPREXA, NOT FOUND, 10 MG COM REV CT BL AL/AL  X 7, NO_ACR
507603602117312, ZYPREXA, ZYPREXA, NOT FOUND, 10 MG COM ORODISPERSIVEL CT BL AL/AL X 7, NO_ACR
507603208151310, ZYPREXA, ZYPREXA, NOT FOUND, 10 MG PO LIOF CT FA VD INC X 5 ML, NO_ACR
507603204111217, ZYPREXA, ZYPREXA, NOT FOUND, 2.5 MG COM REV CT BL AL/AL X 14, NO_ACR
531623202117418, ZOPIX, ZOPIX, NOT FOUND, 2.5 MG COM REV CT BL AL AL X 28, NO_ACR
507603205118215, ZYPREXA, ZYPREXA, NOT FOUND, 2.5 MG COM REV CT BL AL/AL X 28, NO_ACR
531623204111417, ZOPIX, ZOPIX, NOT FOUND, 5 MG COM REV CT BL AL/AL X 14, NO_ACR
507603206114213, ZYPREXA, ZYPREXA, NOT FOUND, 5 MG COM REV CT BL AL/AL X 14, NO_ACR
531623201110411, ZOPIX, ZOPIX, NOT FOUND, 5 MG COM REV CT BL AL AL X 28, NO_ACR
507603207110211, ZYPREXA, ZYPREXA, NOT FOUND, 5 MG COM REV CT BL AL/AL X 28, NO_ACR
507603901114315, ZYPREXA, ZYPREXA, NOT FOUND, 5 MG COM ORODISPERSIVEL CT BL AL/AL X 28, NO_ACR
507603211118310, ZYPREXA, ZYPREXA, NOT FOUND, 2.5 MG COM REV CT BL AL/AL X 30, NO_ACR
507603212114319, ZYPREXA, ZYPREXA, NOT FOUND, 5 MG COM REV CT BL AL/AL X 30, NO_ACR
506904003117414, ZUPLYN, ZUPLYN, NOT FOUND, 500 MG COM DISP BL AL PLAS INC X 200, NO_ACR
506904001114418, ZUPLYN, ZUPLYN, NOT FOUND, 750 MG COM CT BL AL PLAS INC X 20, NO_ACR
506904002110416, ZUPLYN, ZUPLYN, NOT FOUND, 750 MG COM CT BL AL PLAS INC X 200 , NO_ACR
502406001111421, ZIRVIT, ZIRVIT, NOT FOUND, COM REV CT BL AL PLAS INC X 30, NO_ACR
502406401118421, ZIRVIT MULTI, ZIRVIT MULTI, NOT FOUND, COM REV CT BL AL PLAS INC X 30, NO_ACR
521113501115413, ZARGUS, ZARGUS, NOT FOUND, 1 MG COM REV CT BL AL PLAS INC X 20, NO_ACR
521113506117414, ZARGUS, ZARGUS, NOT FOUND, 1 MG COM REV CT BL AL PLAS INC X 30, NO_ACR
521113507113412, ZARGUS, ZARGUS, NOT FOUND, 1 MG COM REV CT BL AL PLAS INC X 6, NO_ACR
521113508111413, ZARGUS, ZARGUS, NOT FOUND, 1 MG COM REV CT BL AL PLAS INC X 7, NO_ACR
521113502111411, ZARGUS, ZARGUS, NOT FOUND, 2 MG COM REV CT BL AL PLAS INC X 20, NO_ACR
521113505110416, ZARGUS, ZARGUS, NOT FOUND, 2 MG COM REV CT BL AL PLAS INC X 30, NO_ACR
521113509116419, ZARGUS, ZARGUS, NOT FOUND, 2 MG COM REV CT BL AL PLAS INC X 7, NO_ACR
521113503118411, ZARGUS, ZARGUS, NOT FOUND, 3 MG COM REV CT BL AL PLAS INC X 20, NO_ACR
521113504114418, ZARGUS, ZARGUS, NOT FOUND, 3 MG COM REV CT BL AL PLAS INC X 30, NO_ACR
521113510114416, ZARGUS, ZARGUS, NOT FOUND, 3 MG COM REV CT BL AL PLAS INC X 7, NO_ACR
525503102110310, ZOCOR, ZOCOR, NOT FOUND, 10 MG COM REV CT BL AL PVC/PE/PVDC INC X 30, NO_ACR
525503103117319, ZOCOR, ZOCOR, NOT FOUND, 20 MG COM REV CT BL AL PVC/PE/PVDC INC X 30 , NO_ACR
525503104113317, ZOCOR, ZOCOR, NOT FOUND, 40 MG COM REV CT BL AL PVC/PE/PVDC INC X 10, NO_ACR
525503106116313, ZOCOR, ZOCOR, NOT FOUND, 80 MG COM REV CT BL AL PVC/PE/PVDC INC X 10, NO_ACR
510608902135216, ZIAGENAVIR, ZIAGENAVIR, NOT FOUND, 20 MG/ML SOL OR CT FR PLAS OPC X 240 ML, NO_ACR
510608901112212, ZIAGENAVIR, ZIAGENAVIR, NOT FOUND, 300 MG COM REV CT 6 BL AL PLAS BR OPC X 10, NO_ACR
509402101117417, ZINC, ZINC, NOT FOUND, 220 MG COM CT FR X 50, NO_ACR
519513100021702, ZYDENA, ZYDENA, NOT FOUND, 100 MG COM REV CT BL AL PLAS INC X 1, NO_ACR
519513100022002, ZYDENA, ZYDENA, NOT FOUND, 100 MG COM REV CT BL AL PLAS INC X 8, NO_ACR
519513100022102, ZYDENA, ZYDENA, NOT FOUND, 100 MG COM REV CT BL AL PLAS INC X 12, NO_ACR
519513100021802, ZYDENA, ZYDENA, NOT FOUND, 100 MG COM REV CT BL AL PLAS INC X 2, NO_ACR
519513100021902, ZYDENA, ZYDENA, NOT FOUND, 100 MG COM REV CT BL AL PLAS INC X 4, NO_ACR
506902601114110, ZOPICLONA, ZOPICLONA, ZOPICLONA, 7.5MG COM REV CT BL AL PLAS OPC X 20 , NO_ACR
