527302501154311; ORGALUTRAN; ORGALUTRAN; NOT FOUND; 0.5 MG/ML SOL INJ CT SER VD PREENCHIDA X 0.5 ML; NO_ACR
524500418151211; OPTIRAY; OPTIRAY; NOT FOUND; 741 MG/ML SOL INJ CT 20 SER PLAS X 100 ML ; NO_ACR
524500406153214; OPTIRAY; OPTIRAY; NOT FOUND; 741 MG/ML SOL INJ CT 20 SER PLAS X 125 ML ; NO_ACR
524500408156210; OPTIRAY; OPTIRAY; NOT FOUND; 741 MG/ML SOL INJ CT 25 FA VD INC X 50 ML; NO_ACR
524500417155213; OPTIRAY; OPTIRAY; NOT FOUND; 741 MG/ML SOL INJ CT 20 SER PLAS X 75 ML ; NO_ACR
521110903115413; OXCORD; OXCORD; NOT FOUND; 10 MG COM CT BL AL PLAS AMB X 30; NO_ACR
521110904111411; OXCORD; OXCORD; NOT FOUND; 20 MG COM CT BL AL PLAS AMB X 20; NO_ACR
521111002111416; OXCORD RETARD; OXCORD RETARD; NOT FOUND; 20 MG COM REV CT BL AL PLAS AMB X 30; NO_ACR
521111001115418; OXCORD RETARD; OXCORD RETARD; NOT FOUND; 20 MG COM REV CT BL AL PLAS AMB X 60; NO_ACR
521111101152412; OXIGEN; OXIGEN; NOT FOUND; 0.2 MG/ML SOL INJ CT FA VD AMB X 50 ML + PERFUSOR POLIET; NO_ACR
521111102116411; OXIGEN; OXIGEN; NOT FOUND; 30 MG COM REV CT BL AL PLAS INC X 30; NO_ACR
521111103112418; OXIGEN; OXIGEN; NOT FOUND; 30 MG COM REV CT BL AL PLAS INC X 60; NO_ACR
521111104135411; OXIGEN; OXIGEN; NOT FOUND; 40 MG/ML SOL OR CT FR VD AMB GOT X 25 ML; NO_ACR
510015020037706; OLANZAPINA; OLANZAPINA; OLANZAPINA; 2.5 MG COM REV CT BL AL AL X 7 ; NO_ACR
510015020037806; OLANZAPINA; OLANZAPINA; OLANZAPINA; 2.5 MG COM REV CT BL AL AL X 14; NO_ACR
510015020037906; OLANZAPINA; OLANZAPINA; OLANZAPINA; 2.5 MG COM REV CT BL AL AL X 28; NO_ACR
510015020038006; OLANZAPINA; OLANZAPINA; OLANZAPINA; 5 MG COM REV CT BL AL AL X 7; NO_ACR
510015020038106; OLANZAPINA; OLANZAPINA; OLANZAPINA; 2.5 MG COM REV CT BL AL AL X 60; NO_ACR
510015020038206; OLANZAPINA; OLANZAPINA; OLANZAPINA; 2.5 MG COM REV CT BL AL AL X 56; NO_ACR
510015020038306; OLANZAPINA; OLANZAPINA; OLANZAPINA; 2.5 MG COM REV CT BL AL AL X 450 (EMB HOSP); NO_ACR
510015020038406; OLANZAPINA; OLANZAPINA; OLANZAPINA; 2.5 MG COM REV CT BL AL AL X 500 (EMB HOSP); NO_ACR
510015020038506; OLANZAPINA; OLANZAPINA; OLANZAPINA; 5 MG COM REV CT BL AL AL X 14; NO_ACR
510015020038606; OLANZAPINA; OLANZAPINA; OLANZAPINA; 5 MG COM REV CT BL AL AL X 28; NO_ACR
510015020038706; OLANZAPINA; OLANZAPINA; OLANZAPINA; 5 MG COM REV CT BL AL AL X 56; NO_ACR
510015020038806; OLANZAPINA; OLANZAPINA; OLANZAPINA; 5 MG COM REV CT BL AL AL X 60; NO_ACR
510015020038906; OLANZAPINA; OLANZAPINA; OLANZAPINA; 5 MG COM REV CT BL AL AL X 450 (EMB HOSP); NO_ACR
510015020039006; OLANZAPINA; OLANZAPINA; OLANZAPINA; 5 MG COM REV CT BL AL AL X 500 (EMB HOSP); NO_ACR
510015020039106; OLANZAPINA; OLANZAPINA; OLANZAPINA; 10 MG COM REV CT BL AL AL X 7; NO_ACR
510015020039206; OLANZAPINA; OLANZAPINA; OLANZAPINA; 10 MG COM REV CT BL AL AL X 14; NO_ACR
510015020039306; OLANZAPINA; OLANZAPINA; OLANZAPINA; 10 MG COM REV CT BL AL AL X 28; NO_ACR
510015020039406; OLANZAPINA; OLANZAPINA; OLANZAPINA; 10 MG COM REV CT BL AL AL X 56; NO_ACR
510015020039506; OLANZAPINA; OLANZAPINA; OLANZAPINA; 10 MG COM REV CT BL AL AL X 60; NO_ACR
510015020039606; OLANZAPINA; OLANZAPINA; OLANZAPINA; 10 MG COM REV CT BL AL AL X 450 (EMB HOSP); NO_ACR
510015020039706; OLANZAPINA; OLANZAPINA; OLANZAPINA; 10 MG COM REV CT BL AL AL X 500 (EMB HOSP); NO_ACR
526712030002806; OLANZAPINA; OLANZAPINA; OLANZAPINA; 10 MG COM REV CT BL AL PLAS INC X 14; NO_ACR
526712030002906; OLANZAPINA; OLANZAPINA; OLANZAPINA; 10 MG COM REV CT BL AL PLAS INC X 28; NO_ACR
521112100057006; OLANZAPINA; OLANZAPINA; OLANZAPINA; 10 MG COM CT BL AL/AL X 30; NO_ACR
526712030002706; OLANZAPINA; OLANZAPINA; OLANZAPINA; 10 MG COM REV CT BL AL PLAS INC X 7 ; NO_ACR
521112100056806; OLANZAPINA; OLANZAPINA; OLANZAPINA; 2.5 MG COM CT BL AL/AL X 30; NO_ACR
526712030002506; OLANZAPINA; OLANZAPINA; OLANZAPINA; 5 MG COM REV CT BL AL PLAS INC X 14; NO_ACR
521112100056906; OLANZAPINA; OLANZAPINA; OLANZAPINA; 5 MG COM CT BL AL/AL X 30; NO_ACR
526712030002406; OLANZAPINA; OLANZAPINA; OLANZAPINA; 5 MG COM REV CT BL AL PLAS INC X 7 ; NO_ACR
530402301114114; OLMESARTANA MEDOXOMILA; OLMESARTANA MEDOXOMILA; OLMESARTANA MEDOXOMILA; 20 MG COM REV CT BL AL/ AL X 10; NO_ACR
530402304113119; OLMESARTANA MEDOXOMILA; OLMESARTANA MEDOXOMILA; OLMESARTANA MEDOXOMILA; 20 MG COM REV CT BL AL/ AL X 20; NO_ACR
530402302110112; OLMESARTANA MEDOXOMILA; OLMESARTANA MEDOXOMILA; OLMESARTANA MEDOXOMILA;  20 MG COM REV CT BL AL/ AL X 30; NO_ACR
530402305111111; OLMESARTANA MEDOXOMILA; OLMESARTANA MEDOXOMILA; OLMESARTANA MEDOXOMILA; 20 MG COM REV CT BL AL/ AL X 40; NO_ACR
530402306116115; OLMESARTANA MEDOXOMILA; OLMESARTANA MEDOXOMILA; OLMESARTANA MEDOXOMILA; 40 MG COM REV CT BL AL/ AL X 10; NO_ACR
530402307112113; OLMESARTANA MEDOXOMILA; OLMESARTANA MEDOXOMILA; OLMESARTANA MEDOXOMILA; 40 MG COM REV CT BL AL/ AL X 20; NO_ACR
530402308119111; OLMESARTANA MEDOXOMILA; OLMESARTANA MEDOXOMILA; OLMESARTANA MEDOXOMILA; 40 MG COM REV CT BL AL/ AL X 30; NO_ACR
530402303117110; OLMESARTANA MEDOXOMILA; OLMESARTANA MEDOXOMILA; OLMESARTANA MEDOXOMILA;  40 MG COM REV CT BL AL/ AL X 40; NO_ACR
521110601119114; OMEPRAZOL; OMEPRAZOL; OMEPRAZOL; 10 MG CAP GEL MCGRAN CT 2 BL AL PLAS INC X 7; NO_ACR
506502203111116; OMEPRAZOL; OMEPRAZOL; OMEPRAZOL; 20 MG CAP GEL DURA CT 2 BL AL/AL X 7 ; NO_ACR
521110602115112; OMEPRAZOL; OMEPRAZOL; OMEPRAZOL; 20 MG CAP GEL MCGRAN CT 2 BL AL PLAS INC X 7; NO_ACR
514601502118416; OMEPRAZOLEX; OMEPRAZOLEX; NOT FOUND; 20 MG CAP GEL DURA CT FR PLAS OPC X 14; NO_ACR
506502202115118; OMEPRAZOL; OMEPRAZOL; OMEPRAZOL; 20 MG CAP GEL DURA CT 4 BL AL/AL X 7 ; NO_ACR
506502204118114; OMEPRAZOL; OMEPRAZOL; OMEPRAZOL; 20 MG CAP GEL DURA CT BL AL/AL X 7; NO_ACR
521110603111110; OMEPRAZOL; OMEPRAZOL; OMEPRAZOL; 20 MG CAP GEL MCGRAN CT BL AL PLAS INC X 7; NO_ACR
521110604118119; OMEPRAZOL; OMEPRAZOL; OMEPRAZOL; 40 MG CAP GEL MCGRAN CT BL AL PLAS INC X 7; NO_ACR
514601503114414; OMEPRAZOLEX; OMEPRAZOLEX; NOT FOUND; 40 MG CAP GEL DURA CT FR PLAS OPC X 7; NO_ACR
501806902159415; OPRAZON; OPRAZON; NOT FOUND; 40 MG PO LIOF INJ CX 20 FA VD INC + AMP DIL X 10 ML; NO_ACR
541312030010704; OPRAZON; OPRAZON; NOT FOUND; 40 MG PO INJ CX 20 FA VD INC + 20 AMP DIL X 10 ML; NO_ACR
505607903158117; OXACILINA SÓDICA; OXACILINA SODICA; NOT FOUND; 500 MG PO LIOF P/ SOL INJ CT FA VD INC X 7.5 ML; NO_ACR
505607904154115; OXACILINA SÓDICA; OXACILINA SODICA; NOT FOUND; 500 MG PO LIOF P/ SOL INJ CT 50 FA VD INC X 7.5 ML (EMB HOSP); NO_ACR
541312030001404; OXANON; OXANON; NOT FOUND; 500 MG PO INJ CX 50 FA VD INC + 50 AMP DIL X 3 ML (EMB  HOSP); NO_ACR
541312030001504; OXANON; OXANON; NOT FOUND; 500 MG PO INJ CX 50 FA VD INC + 50 AMP DIL PLAS X 5 ML; NO_ACR
541312030001604; OXANON; OXANON; NOT FOUND; 500 MG PO INJ CX 50 FA VD INC ; NO_ACR
541312030001704; OXANON; OXANON; NOT FOUND; 500 MG PO INJ CX 100 FA VD INC; NO_ACR
501804901155419; OXANON; OXANON; NOT FOUND; 500 MG PO INJ CX 50 FA VD INC + 50 AMP DIL X 3 ML ( EMB. HOSP.); NO_ACR
501804902151417; OXANON; OXANON; NOT FOUND; 500 MG PO INJ CX 50 FA VD INC + 50 AMP DIL PLAS X 5 ML (EMB HOSP) ; NO_ACR
501804903158415; OXANON; OXANON; NOT FOUND; 500 MG PO INJ CX 100 FA VD INC; NO_ACR
501804904154413; OXANON; OXANON; NOT FOUND; 500 MG PO INJ CX 50 FA VD INC ; NO_ACR
521125302112116; OXALATO DE ESCITALOPRAM; OXALATO ESCITALOPRAM; OXALATO ESCITALOPRAM; 10 MG COM REV CT BL AL PLAS INC X 15; NO_ACR
521125301116118; OXALATO DE ESCITALOPRAM; OXALATO ESCITALOPRAM; OXALATO ESCITALOPRAM; 10 MG COM REV CT BL AL PLAS INC X 30; NO_ACR
521112100056506; OXALATO DE ESCITALOPRAM; OXALATO ESCITALOPRAM; OXALATO ESCITALOPRAM; 15 MG COM REV CT BL AL PLAS TRANS X 7; NO_ACR
521112100056606; OXALATO DE ESCITALOPRAM; OXALATO ESCITALOPRAM; OXALATO ESCITALOPRAM; 20 MG COM REV CT BL AL PLAS INC X 30; NO_ACR
521112070056306; OXALATO DE ESCITALOPRAM; OXALATO ESCITALOPRAM; OXALATO ESCITALOPRAM; 20 MG/ML SOL OR CT FR VD AMB GOT X 15 ML ; NO_ACR
516301001179414; OTICERIM; OTICERIM; NOT FOUND; 100 MG/ML SOL OTO CT FR PLAS OPC GOT X 8 ML; NO_ACR
538400201134412; OPTI-BAR; OPTI BAR; NOT FOUND; 66.7 PCC SUS OR CX 24 FR PLAS OPC X 150 ML; NO_ACR
538400202130410; OPTI-BAR; OPTI BAR; NOT FOUND; 66.7 PCC SUS OR CX 4 FR PLAS OPC X 1900 ML; NO_ACR
538400203137419; OPTI-BAR; OPTI BAR; NOT FOUND; 98 PCC PO BOLSA PVC 24 CX 340 GR; NO_ACR
513901701134415; OXITEROL; OXITEROL; NOT FOUND; FR SOL COM 120 ML; NO_ACR
501301401152414; ONCOVIN; ONCOVIN; NOT FOUND; 1 MG PO LIOF INJ CT FA VD AMB + DIL; NO_ACR
