502304701163314, XYLOPROCT, XYLOPROCT, NOT FOUND, 50MG + 2.5MG + 180MG + 35MG POM RET CT BG AL X 25 G + 10 APLICADORES, NO_ACR
506715020056403, XYLESTESIN ISOBÁRICO, XYLESTESIN ISOBARICO, NOT FOUND, 20 MG/ML SOL INJ CX 10 AMP VD INC X 5 ML (EMB HOSP), NO_ACR
506715308158419, XYLESTESIN ISOBÁRICO, XYLESTESIN ISOBARICO, NOT FOUND, 20 MG/ML SOL INJ CX 50 AMP VD INC X 5 ML (EMB HOSP), NO_ACR
506714110053603, XYLESTESIN PESADA, XYLESTESIN PESADA, NOT FOUND, 50 MG/ML + 75 MG/ML SOL INJ CX 50 AMP VD INC X 2 ML (EMB HOSP) , NO_ACR
506715010055703, XYLESTESIN PESADA, XYLESTESIN PESADA, NOT FOUND, 50 MG/ML + 75 MG/ML SOL INJ CX 10 EST X 5 AMP VD INC X 2 ML(EMB HOSP) , NO_ACR
528700901134428, XAROPE VICK, XAROPE VICK, NOT FOUND, 200 MG/15ML. XPE EXPEC. FR. 120ML., NO_ACR
528700904133317, XAROPE VICK, XAROPE VICK, NOT FOUND, 16 MG/ML XPE FR PLAS TRANS X 100 ML (MEL E LIMAO), NO_ACR
528700903137327, XAROPE VICK, XAROPE VICK, NOT FOUND, 200 MG/12.5 ML. XPE EXPEC. FR. 120ML. MEL, NO_ACR
528700905131318, XAROPE VICK, XAROPE VICK, NOT FOUND, 16 MG/ML XPE FR PLAS TRANS X 120 ML (MEL E LIMAO), NO_ACR
528700902130329, XAROPE VICK, XAROPE VICK, NOT FOUND, 200 MG/12.5 ML. XPE EXPEC. FR. 240ML. MEL, NO_ACR
528700906136313, XAROPE VICK, XAROPE VICK, NOT FOUND, 16 MG/ML XPE FR PLAS TRANS X 240 ML (MEL E LIMAO), NO_ACR
501603201164317, XILODASE, XILODASE, NOT FOUND, POM DERM CT BG AL X 15 G + 5 APLIC + 3 DEDEIRAS DESC, NO_ACR
501603202160315, XILODASE, XILODASE, NOT FOUND, POM DERM CT BG AL X 30 G + 10 APLIC + 3 DEDEIRAS DESC, NO_ACR
504613050016814, XAROPE NEO, XAROPE NEO, NOT FOUND, 20 MG/ML XPE CT FR VD AMB X 100 ML, NO_ACR
519016801132418, XAROPE NEO, XAROPE NEO, NOT FOUND, XPE (VD C/100ML), NO_ACR
510413060084504, XALOFTAL, XALOFTAL, NOT FOUND, 0.05 MG/ML SOL OFT CT FR GOT PLAS TRANS X 2.5 ML, NO_ACR
510413060084704, XALOFTAL, XALOFTAL, NOT FOUND, 0.05 MG/ML SOL OFT CT 50 FR GOT PLAS TRANS X 2.5 ML (EMB HOSP), NO_ACR
510413060084604, XALOFTAL, XALOFTAL, NOT FOUND, 0.05 MG/ML SOL OFT CT FR GOT PLAS TRANS X 5 ML, NO_ACR
510413060084804, XALOFTAL, XALOFTAL, NOT FOUND, 0.05 MG/ML SOL OFT CT 50 FR GOT PLAS TRANS X 5 ML (EMB HOSP), NO_ACR
522240001179314, XALATAN, XALATAN, NOT FOUND, 50 MCG/ML SOL OFT CT FR PLAS TRANS GOT X 2.5 ML , NO_ACR
522239901171413, XALACOM, XALACOM, NOT FOUND, 50 MCG/ML + 5 MG/ML SOL OFT CT FR PLAS TRANS GOT X 2.5 ML, NO_ACR
510413060085104, XALANOFT, XALANOFT, NOT FOUND, 50 MCG/ML + 5 MG/ML SOL OFT CX 50 FR GOT PLAS TRANS X 2.5 ML (EMB HOSP), NO_ACR
510413060084904, XALANOFT, XALANOFT, NOT FOUND, 50 MCG/ML + 5 MG/ML SOL OFT CT FR GOT PLAS TRANS X 2.5 ML, NO_ACR
510413060085004, XALANOFT, XALANOFT, NOT FOUND, 50 MCG/ML + 5 MG/ML SOL OFT CT FR GOT PLAS TRANS X 5 ML, NO_ACR
510413060085204, XALANOFT, XALANOFT, NOT FOUND, 50 MCG/ML + 5 MG/ML SOL OFT CX 50 FR GOT PLAS TRANS X 5 ML (EMB HOSP), NO_ACR
506715401158415, XYLESTESIN COM EPINEFRINA, XYLESTESIN EPINEFRINA, NOT FOUND, 10 MG/ML + 9.1 MCG/ML SOL INJ CX 10 EST FA VD INC X 20 ML, NO_ACR
506715402154413, XYLESTESIN COM EPINEFRINA, XYLESTESIN EPINEFRINA, NOT FOUND, 20 MG/ML + 9.1 MCG/ML SOL INJ CX 10 EST FA VD INC X 20 ML, NO_ACR
506715403150411, XYLESTESIN COM EPINEFRINA, XYLESTESIN EPINEFRINA, NOT FOUND, 20 MG/ML + 9.1 MCG/ML SOL INJ CX 10 FA VD INC X 20 ML, NO_ACR
506715302151412, XYLESTESIN, XYLESTESIN, NOT FOUND, 1 PCC SOL INJ CX 10 FA VD INC X 20 ML(EMB HOSP), NO_ACR
506715301153411, XYLESTESIN, XYLESTESIN, NOT FOUND, 10 MG/ML SOL INJ CX 10 EST FA VD INC X 20 ML (EMB HOSP), NO_ACR
506715303172413, XYLESTESIN, XYLESTESIN, NOT FOUND, 100 MG/ML SOL TOP SPRAY CT FR VD INC NEB X 50 ML, NO_ACR
506715304179411, XYLESTESIN, XYLESTESIN, NOT FOUND, 2 PCC GELEIA TOP CX 10 EST SER PLAST PRE-ENCH X 10 G, NO_ACR
506715306155412, XYLESTESIN, XYLESTESIN, NOT FOUND, 20 MG/ML SOL INJ CX 10 EST X FA VD INC X 20 ML (EMB HOSP), NO_ACR
506715307151410, XYLESTESIN, XYLESTESIN, NOT FOUND, 2 PCC SOL INJ CX 10 FA VD INC X 20 ML (EMB. HOSP.), NO_ACR
506715305167417, XYLESTESIN, XYLESTESIN, NOT FOUND, 2 PCC GELEIA TOP CX 10 BG AL X 30 G + APLICADORES, NO_ACR
504114102117310, XEFO, XEFO, NOT FOUND, 4 MG COM REV CT BL AL/AL X 10, NO_ACR
504114103113319, XEFO, XEFO, NOT FOUND, 4 MG COM REV CT BL AL/AL X 20, NO_ACR
504114104111311, XEFO, XEFO, NOT FOUND, 4 MG COM REV CT BL AL/AL X 30, NO_ACR
504114101110312, XEFO, XEFO, NOT FOUND, 4 MG COM REV CT BL AL/AL X 4, NO_ACR
504114108115311, XEFO, XEFO, NOT FOUND, 8 MG COM REV CT BL AL/AL X 10, NO_ACR
504114105116315, XEFO, XEFO, NOT FOUND, 8 MG COM REV CT BL AL/AL X 20, NO_ACR
504114106112313, XEFO, XEFO, NOT FOUND, 8 MG COM REV CT BL AL/AL X 30, NO_ACR
504114107119311, XEFO, XEFO, NOT FOUND, 8 MG COM REV CT BL AL/AL X 4, NO_ACR
526525701155210, XOLAIR, XOLAIR, NOT FOUND, 150 MG PO LIOF INJ CT FA VD INC + AMP VD INC DIL X 2 ML , NO_ACR
529214020025403, XENICAL, XENICAL, NOT FOUND, 120 MG CAP GEL DURA CT BL AL PLAS INC X 21, NO_ACR
529206802110213, XENICAL, XENICAL, NOT FOUND, 120 MG CAP GEL DURA BL AL PLAS INC X 42 , NO_ACR
529214020025503, XENICAL, XENICAL, NOT FOUND, 120 MG CAP GEL DURA CT BL AL PLAS INC X 42, NO_ACR
529206803117211, XENICAL, XENICAL, NOT FOUND, 120 MG CAP GEL DURA BL AL PLAS INC X 84, NO_ACR
529214020025603, XENICAL, XENICAL, NOT FOUND, 120 MG CAP GEL DURA CT BL AL PLAS INC X 84, NO_ACR
538901202117211, XARELTO, XARELTO, NOT FOUND, 10 MG COM REV CT BL AL PP X 10, NO_ACR
538901203113218, XARELTO, XARELTO, NOT FOUND, 10 MG COM REV CT BL AL PP X 100, NO_ACR
538901204111219, XARELTO, XARELTO, NOT FOUND, 10 MG COM REV CT BL AL PP X 30 , NO_ACR
538901201110211, XARELTO, XARELTO, NOT FOUND, 10 MG COM REV CT BL AL PP X 5, NO_ACR
538912030010102, XARELTO, XARELTO, NOT FOUND, 15 MG COM REV CT BL AL PVC/PVDC X 14, NO_ACR
538912030010202, XARELTO, XARELTO, NOT FOUND, 15 MG COM REV CT BL AL PP X 14, NO_ACR
538912030010302, XARELTO, XARELTO, NOT FOUND, 15 MG COM REV CT BL AL PVC/PVDC X 28, NO_ACR
538912030011402, XARELTO, XARELTO, NOT FOUND, 15 MG COM REV CT BL AL PP X 28, NO_ACR
538912030010402, XARELTO, XARELTO, NOT FOUND, 15 MG COM REV CT BL AL PVC/PVDC X 42, NO_ACR
538912030010502, XARELTO, XARELTO, NOT FOUND, 15 MG COM REV CT BL AL PP X 42, NO_ACR
538912030010602, XARELTO, XARELTO, NOT FOUND, 15 MG COM REV CT BL AL PVC/PVDC X 98 , NO_ACR
538912030010702, XARELTO, XARELTO, NOT FOUND, 15 MG COM REV CT BL AL PP X 98, NO_ACR
538912030010802, XARELTO, XARELTO, NOT FOUND, 20 MG COM REV CT BL AL PP X 14 , NO_ACR
538912030011502, XARELTO, XARELTO, NOT FOUND, 20 MG COM REV CT BL AL PVC/PVDC X 14 , NO_ACR
538912030010902, XARELTO, XARELTO, NOT FOUND, 20 MG COM REV CT BL AL PVC/PVDC X 28, NO_ACR
538912030011002, XARELTO, XARELTO, NOT FOUND, 20 MG COM REV CT BL AL PP X 28, NO_ACR
538912030010002, XARELTO, XARELTO, NOT FOUND, 20 MG COM REV CT BL AL PP X 42, NO_ACR
538912030011102, XARELTO, XARELTO, NOT FOUND, 20 MG COM REV CT BL AL PVC/PVDC X 42 , NO_ACR
538912030011202, XARELTO, XARELTO, NOT FOUND, 20 MG COM REV CT BL AL PVC/PVDC X 98, NO_ACR
538912030011302, XARELTO, XARELTO, NOT FOUND, 20 MG COM REV CT BL AL PP X 98, NO_ACR
504114201158414, XEOMIN, XEOMIN, NOT FOUND, 100 U PO LIOF INJ CT 1 FA VD INC, NO_ACR
504114202154412, XEOMIN, XEOMIN, NOT FOUND, 100 U PO LIOF INJ CT 2 FA VD INC, NO_ACR
504114203150410, XEOMIN, XEOMIN, NOT FOUND, 100 U PO LIOF INJ CT 3 FA VD INC, NO_ACR
504114204157419, XEOMIN, XEOMIN, NOT FOUND, 100 U PO LIOF INJ CT 6 FA VD INC, NO_ACR
502304604168315, XYLOCAINA, XYLOCAINA, NOT FOUND, 20 MG/ML GELEIA TOP CT BG AL X 30 G, NO_ACR
502304602173311, XYLOCAINA, XYLOCAINA, NOT FOUND, 100 MG/ML SOL TOP CT FR VD INC SPRAY X 50 ML, NO_ACR
502304608163318, XYLOCAINA, XYLOCAINA, NOT FOUND, 50 MG/G POM DERM CT BG AL X 25 G, NO_ACR
502304609161319, XYLOCAINA, XYLOCAINA, NOT FOUND, 50 MG/G POM DERM CT BG AL X 25 G SABOR LARANJA, NO_ACR
