510005601133416; FURP-DESMOPRESSINA; FURP DESMOPRESSINA; NOT FOUND; 0.1 MG/ML SOL NAS CT FR VD AMB X 5ML + CAN; NO_ACR
541312030008304; FAZOLON; FAZOLON; NOT FOUND; 1000 MG PO INJ CX 50 FA VD INC; NO_ACR
541312030008404; FAZOLON; FAZOLON; NOT FOUND; 1000 MG PO INJ CX 100 FA VD INC; NO_ACR
501807701157412; FAZOLON; FAZOLON; NOT FOUND; 1000 MG PO INJ CX 20 FA VD INC + AMP DIL X 10 ML   ; NO_ACR
501807702153410; FAZOLON; FAZOLON; NOT FOUND; 1000 MG PO INJ CX 100 FA VD INC; NO_ACR
501807703151411; FAZOLON; FAZOLON; NOT FOUND; 1000 MG PO INJ CX 20 FA VD INC; NO_ACR
501807704156417; FAZOLON; FAZOLON; NOT FOUND; 1000 MG PO INJ CX 20 FA VD INC +  AMP DIL  PLAS X 10 ML; NO_ACR
510603401154314; FORTAZ; FORTAZ; NOT FOUND; 1G PO INJ CT 01 FA VD INC + DIL 10 ML; NO_ACR
510603402150312; FORTAZ; FORTAZ; NOT FOUND;  2 G PO INJ CT 01 FA VD INC + DIL 10 ML; NO_ACR
510615020053202; FLUARIX TETRA; FLUARIX TETRA; NOT FOUND; SUS INJ CT SER PREENC VD TRANS X 0.5 ML + AGU; NO_ACR
510615020053302; FLUARIX TETRA; FLUARIX TETRA; NOT FOUND; SUS INJ CT 10 SER PREENC VD TRANS X 0.5 ML + AGU; NO_ACR
510615020053402; FLUARIX TETRA; FLUARIX TETRA; NOT FOUND; SUS INJ CT SER PREENC VD TRANS X 0.5 ML S/ AGU; NO_ACR
510615020053502; FLUARIX TETRA; FLUARIX TETRA; NOT FOUND; SUS INJ CT 10 SER PREENC VD TRANS X 0.5 ML S/ AGU; NO_ACR
510001401113419; FURP-CIMETIDINA; FURP CIMETIDINA; NOT FOUND; 200 MG COM CX 50 BL AL PLAS AMB X 10 ( EMB HOSP); NO_ACR
505602904113418; FLOXEN; FLOXEN; NOT FOUND; 500 MG COM REV CT BL AL PLAS INC X 50; NO_ACR
505602905111419; FLOXEN; FLOXEN; NOT FOUND; 500 MG COM REV CT BL AL PLAS INC X 6; NO_ACR
510005001136414; FURP-SAIS PARA REIDRAT.ORAL; FURP SAIS PARA REIDRAT ORAL; NOT FOUND; PO OR CX 100 ENV AL POLIET X 27.9 G  (EMB HOSP); NO_ACR
508600302153411; FARMARIN CPHD; FARMARIN CPHD; NOT FOUND; (137+ 1.5+ 2.5+ 1.0) MEQ/L + 1.0 G/L SOL HEMO CX FR PLAS TRANS X 5 L; NO_ACR
508600301157413; FARMARIN CPHD; FARMARIN CPHD; NOT FOUND; (137+ 1.5+ 3.5+ 1.0) MEQ/L + 1.0 G/L SOL HEMO CX FR PLAS TRANS X 5 L; NO_ACR
508601601170413; FARMARIN CPHD; FARMARIN CPHD; NOT FOUND; (138+ 1.0+ 2.5+ 1.0) MEQ/L + 1.0 G/L SOL HEMO CX FR PLAS TRANS X 5 L; NO_ACR
508601801171413; FARMARIN CPHD; FARMARIN CPHD; NOT FOUND; (138+ 2.0+ 2.5+ 1.0) MEQ/L + 1.0 G/L SOL HEMO CX FR PLAS TRANS X 5 L; NO_ACR
508601501176411; FARMARIN CPHD; FARMARIN CPHD; NOT FOUND; (138+ 1.0+ 3.5+ 1.0) MEQ/L + 1.0 G/L SOL HEMO CX FR PLAS TRANS X 5 L; NO_ACR
508601701175417; FARMARIN CPHD; FARMARIN CPHD; NOT FOUND; (138+ 1.5+ 3.5+ 1.0) MEQ/L + 1.0 G/L SOL HEMO CX FR PLAS TRANS X 5 L; NO_ACR
509900501117411; FUNED-AMITRIPTILINA; FUNED AMITRIPTILINA; NOT FOUND; 25 MG COM CX ENV AL POLIET X 200 (EMB HOSP); NO_ACR
510014050013403; FURP-DONEPEZILA; FURP DONEPEZILA; NOT FOUND; 5 MG COM REV CT BL AL PLAS TRANS X 30 (EMB HOSP); NO_ACR
510014050013503; FURP-DONEPEZILA; FURP DONEPEZILA; NOT FOUND; 5 MG COM REV CX BL AL PLAS TRANS X 200 (EMB HOSP); NO_ACR
510014050013603; FURP-DONEPEZILA; FURP DONEPEZILA; NOT FOUND; 5 MG COM REV CX BL AL PLAS TRANS X 250 (EMB HOSP) ; NO_ACR
510014050013703; FURP-DONEPEZILA; FURP DONEPEZILA; NOT FOUND; 5 MG COM REV CX BL AL PLAS TRANS X 500 (EMB HOSP); NO_ACR
510014050013803; FURP-DONEPEZILA; FURP DONEPEZILA; NOT FOUND; 10 MG COM REV CT BL AL PLAS TRANS X 30 (EMB HOSP) ; NO_ACR
510014050013903; FURP-DONEPEZILA; FURP DONEPEZILA; NOT FOUND; 10 MG COM REV CX BL AL PLAS TRANS X 200 (EMB HOSP) ; NO_ACR
510014050014003; FURP-DONEPEZILA; FURP DONEPEZILA; NOT FOUND; 10 MG COM REV CX BL AL PLAS TRANS X 250 (EMB HOSP); NO_ACR
510014050014103; FURP-DONEPEZILA; FURP DONEPEZILA; NOT FOUND; 10 MG COM REV CX BL AL PLAS TRANS X 500 (EMB HOSP) ; NO_ACR
540901601137411; FLUVIRAL; FLUVIRAL; NOT FOUND; (400 + 4 + 4) MG COM DISP BL AL PLAS AMB X 150 (EMB MULT); NO_ACR
522714080040604; FLOZURA; FLOZURA; NOT FOUND; 20 MG CAP DURA CT BL AL PLAS TRANS X 10; NO_ACR
522714080040704; FLOZURA; FLOZURA; NOT FOUND; 20 MG CAP DURA CT BL AL PLAS TRANS X 15; NO_ACR
522714080040804; FLOZURA; FLOZURA; NOT FOUND; 20 MG CAP DURA CT BL AL PLAS TRANS X 20; NO_ACR
522714080040904; FLOZURA; FLOZURA; NOT FOUND; 20 MG CAP DURA CT BL AL PLAS TRANS X 30; NO_ACR
522714080041004; FLOZURA; FLOZURA; NOT FOUND; 20 MG CAP DURA CT BL AL PLAS TRANS X 60; NO_ACR
509902301115411; FUNED CLORIDRATO DE IMIPRAMINA; FUNED CLORIDRATO IMIPRAMINA; NOT FOUND; 25 MG COM REV CX 20 ENV AL POLIET X 10 (EMB HOSP); NO_ACR
505613030036904; FORMET XR; FORMET XR; NOT FOUND; 500 MG COM LIB PROL CT BL AL/AL X 10; NO_ACR
505613030037004; FORMET XR; FORMET XR; NOT FOUND; 500 MG COM LIB PROL CT BL AL/AL X 20; NO_ACR
505603003111413; FORMET; FORMET; NOT FOUND; 500 MG COM REV CT BL AL PLAS INC X 200 ( EMB HOSP); NO_ACR
505613030037104; FORMET XR; FORMET XR; NOT FOUND; 500 MG COM LIB PROL CT BL AL/AL X 30; NO_ACR
505613030037204; FORMET XR; FORMET XR; NOT FOUND; 500 MG COM LIB PROL CT BL AL/AL X 60; NO_ACR
505603004116419; FORMET; FORMET; NOT FOUND; 850 MG COM REV CT BL AL PLAS  INC X 200 ( EMB HOSP); NO_ACR
510012120012303; FURP - METOCLOPRAMIDA; FURP METOCLOPRAMIDA; NOT FOUND; 10 MG COM CX BL AL PLAS AMB X 500 (EMB HOSP); NO_ACR
509400601112418; FONTO-VIT; FONTO VIT; NOT FOUND; FR C/50 COMP REV 40 MG; NO_ACR
541914070005004; FARMANGUINHOS - PROPRANOLOL; FARMANGUINHOS PROPRANOLOL; NOT FOUND; 40 MG COM CX ENV KRAFT POLIET X 500; NO_ACR
510012120012403; FURP - PROPRANOLOL; FURP PROPRANOLOL; NOT FOUND; 40 MG COM CX BL AL PLAS MARROM X 500 (EMB HOSP); NO_ACR
510004601131415; FURP-POLIVITAMÍNICO; FURP POLIVITAMINICO; NOT FOUND; SOL OR CX 50 FR VD AMB CGT X 30ML; NO_ACR
510012050010603; FURP-POLIVITAMÍNICO; FURP POLIVITAMINICO; NOT FOUND; SOL OR CX 50 FR VD AMB CGT X 30 ML; NO_ACR
502414010021304; FOSTEO D; FOSTEO D; NOT FOUND; 600 MG + 400 UI COM REV CT BL AL PLAS BCO X 30; NO_ACR
502414010021404; FOSTEO D; FOSTEO D; NOT FOUND; 600 MG + 400 UI COM REV CT BL AL PLAS BCO X 60; NO_ACR
510001701117411; FURP-DAPSONA; FURP DAPSONA; NOT FOUND; 100 MG COM CX BL AL PLAS INC X 500 (EMB HOSP); NO_ACR
510001702113310; FURP-DAPSONA; FURP DAPSONA; NOT FOUND; 100 MG COM CX BL AL PLAS AMB X 500 (EMB HOSP); NO_ACR
510001801162417; FURP-DEXAMETASONA; FURP DEXAMETASONA; NOT FOUND; 0.1 PCC CR DERM CX 50 BG AL X 10 G (EMB. HOSP.); NO_ACR
509900901166418; FUNED-DEXAMETASONA; FUNED DEXAMETASONA; NOT FOUND; 10 MG CREM CX 50 BG AL X 10 G (EMB HOSP); NO_ACR
516200801110414; FILOGASTER; FILOGASTER; NOT FOUND; CX C/ 30 DRAGEAS; NO_ACR
510015010030703; FURP-DIAZEPAM; FURP DIAZEPAM; NOT FOUND; 5 MG COM CX BL AL PLAS TRANS X 500 (EMB HOSP) ; NO_ACR
509901001118415; FUNED-DIAZEPAM; FUNED DIAZEPAM; NOT FOUND; 10 MG COM CX BL AL PLAS INC X 200 (EMB HOSP); NO_ACR
510001901116417; FURP-DIAZEPAM; FURP DIAZEPAM; NOT FOUND; 10 MG COM CX BL AL PLAS INC X 500 (EMB. HOSP.); NO_ACR
510013060012803; FURP-DIAZEPAM; FURP DIAZEPAM; NOT FOUND; 10 MG COM CX BL AL PLAS INC X 500 (EMB HOSP); NO_ACR
510002001135413; FURP-DICLOFENACO; FURP DICLOFENACO; NOT FOUND; 15 MG/ML SUS OR 50 FR PLAS OPC GOT X 10 ML (EMB HOSP); NO_ACR
510002004134418; FURP-DICLOFENACO; FURP DICLOFENACO; NOT FOUND; 15 MG/ML SUS OR PACK 50 FR PLAS OPC GOT X 10 ML (EMB HOSP); NO_ACR
510002002158417; FURP-DICLOFENACO; FURP DICLOFENACO; NOT FOUND; 25 MG/ML SOL INJ CX 50 AMP VD INC X 3 ML (EMB HOSP); NO_ACR
510002003111414; FURP-DICLOFENACO; FURP DICLOFENACO; NOT FOUND; 50 MG COM REV CX BL AL PLAS INC X 500 (EMB.HOSP.); NO_ACR
510013020012704; FURP - ETAMBUTOL; FURP ETAMBUTOL; NOT FOUND; 25 MG/ML SOL OR CX 30 FR VD AMB X 200 ML (EMB HOSP); NO_ACR
541914040004104; FARMANGUINHOS CLOROQUINA; FARMANGUINHOS CLOROQUINA; NOT FOUND; 150 MG COM CT 50 ENV KRAFT POLIET X 10; NO_ACR
509901201117412; FUNED-DIGOXINA; FUNED DIGOXINA; NOT FOUND; 0.25 MG COM CX ENV KRAFT POLIET X 200 (EMB HOSP); NO_ACR
510002201118415; FURP-DIGOXINA; FURP DIGOXINA; NOT FOUND; 0.25 MG COM CX 25 BL AL PLAS INC X 20 (EMB HOSP); NO_ACR
515101302118416; FLUCOLIC; FLUCOLIC; NOT FOUND; 125 MG CAP GEL MOLE CT BL AL PLAS INC X 12; NO_ACR
515101305117410; FLUCOLIC; FLUCOLIC; NOT FOUND; 125 MG CAP GEL MOLE CT BL AL PLAS INC X 120; NO_ACR
515101304137418; FLUCOLIC; FLUCOLIC; NOT FOUND; 75 MG/ML EMUL OR CT FR PLAS OPC GOT X 15 ML; NO_ACR
516200903150415; FINDOR; FINDOR; NOT FOUND; CX C/ 50 AMP DE 2 ML; NO_ACR
509901402139413; FUNED-DIPIRONA; FUNED DIPIRONA; NOT FOUND; 500 MG/ML SOL OR CX 50 FR PLAS OPC GOT X 10 ML (EMB. HOSP.); NO_ACR
516200902111424; FINDOR; FINDOR; NOT FOUND; CX C/ 200 COMPRIMIDOS; NO_ACR
516200901131421; FINDOR; FINDOR; NOT FOUND; FR C/ 10 ML; NO_ACR
510002301112419; FURP-DIPIRONA; FURP DIPIRONA; NOT FOUND; 500 MG COM CX 50 BL AL PLAS INC X 10 (EMB HOSP)  ; NO_ACR
510002305118411; FURP-DIPIRONA; FURP DIPIRONA; NOT FOUND; 500 MG COM CX  BL AL PLAS AMB X 500 (EMB HOSP); NO_ACR
510002303131410; FURP-DIPIRONA; FURP DIPIRONA; NOT FOUND; 500 MG/ML CX C/ 50 FRASCOS POLIETILENO C/ 10 ML - GOTAS; NO_ACR
510002304138419; FURP-DIPIRONA; FURP DIPIRONA; NOT FOUND; 500 MG/ML SOL OR CX 50 FR PET GOT X 10 ML (EMB HOSP); NO_ACR
510002402113410; FURP-ERITROMICINA; FURP ERITROMICINA; NOT FOUND; 250 MG COM REV CX 50 BL AL PLAS INC X 10 (EMB HOSP); NO_ACR
510002502118414; FURP-ESTAVUDINA; FURP ESTAVUDINA; NOT FOUND; 30 MG CAP GEL DURA FR PLAS OPC X 60 (EMB HOSP); NO_ACR
510002501111416; FURP-ESTAVUDINA; FURP ESTAVUDINA; NOT FOUND; 40 MG CAP GEL DURA FR PLAS OPC X 60 (EMB HOSP); NO_ACR
510002701110413; FURP-ETAMBUTOL; FURP ETAMBUTOL; NOT FOUND; 400 MG COM REV CX 50 ENV AL POLIET X 10 (EMB HOSP); NO_ACR
541914050004804; FARMANGUINHOS - ETIONAMIDA; FARMANGUINHOS ETIONAMIDA; NOT FOUND; 250 MG COM REV CT ENV AL POLIET X 500; NO_ACR
511301701110411; FAMOXIL; FAMOXIL; NOT FOUND; 20 MG BL. C/ 10 COMPR.; NO_ACR
511301702117418; FAMOXIL; FAMOXIL; NOT FOUND; 20 MG BL. C/ 30 COMPR.; NO_ACR
511301703113416; FAMOXIL; FAMOXIL; NOT FOUND; 40 MG BL. C/ 10 COMPR.; NO_ACR
511301704111417; FAMOXIL; FAMOXIL; NOT FOUND; 40 MG BL. C/ 30 COMPR.; NO_ACR
502600801150415; FIBROGAMMIN-P; FIBROGAMMIN P; NOT FOUND; 62.5 UI/ML PO LIOF INJ CT FA VD INC + DIL X 4 ML; NO_ACR
509901601115417; FUNED-FENITOÍNA; FUNED FENITOINA; NOT FOUND; 100 MG COM CX ENV KRAFT POLIET X 200 (EMB HOSP); NO_ACR
510002801115417; FURP-FENITOINA; FURP FENITOINA; NOT FOUND; 100 MG COM CX BL AL PLAS INC X 500 (EMB. HOSP.); NO_ACR
509901701111413; FUNED-FENOBARBITAL; FUNED FENOBARBITAL; NOT FOUND; 100 MG COM CX 20 ENV KRAFT POLIET X 10; NO_ACR
510002901111413; FURP-FENOBARBITAL; FURP FENOBARBITAL; NOT FOUND; 100 MG COM CX 25 BL AL PLAS INC X 20 (EMB HOSP); NO_ACR
510014120019106; FENOFIBRATO; FENOFIBRATO; FENOFIBRATO; 200MG CAP GEL DURA CT BL AL PLAS OPC X 10 ; NO_ACR
510014120019206; FENOFIBRATO; FENOFIBRATO; FENOFIBRATO; 200MG CAP GEL DURA CT BL AL PLAS OPC X 30; NO_ACR
510014120019306; FENOFIBRATO; FENOFIBRATO; FENOFIBRATO; 200 MG CAP GEL DURA CT BL AL PLAS OPC X 60; NO_ACR
502408802136311; FERRINI; FERRINI; NOT FOUND; 15 MG/ML SOL OR CT FR VD AMB X 100 ML + DOSAD; NO_ACR
502408801113318; FERRINI; FERRINI; NOT FOUND; 150 MG COM REV CT BL AL PVDC INC X 30; NO_ACR
502408803132311; FERRINI; FERRINI; NOT FOUND; 30 MG/ML SOL OR CT FR VD AMB X 30 ML + CGT; NO_ACR
510012080011004; FURP-FERRO AMINOÁCIDO QUELATO + ÁCIDO FÓLICO; FURP FERRO AMINOACIDO QUELATO ACIDO FOLICO; NOT FOUND; 15 MG/ML + 0.5 MG/ML SOL OR CX 50 FR VD AMB X 30 ML + COP X 10 ML (EMB HOSP); NO_ACR
510012080010904; FURP-FERRO AMINOÁCIDO QUELATO + ÁCIDO FÓLICO; FURP FERRO AMINOACIDO QUELATO ACIDO FOLICO; NOT FOUND; 150 MG + 5 MG COM REV CX BL AL PLAS INC X 500 (EMB HOSP); NO_ACR
502409002117418; FELATO; FELATO; NOT FOUND; 250 MG COM MAST CT BL AL PVDC INC X 30; NO_ACR
502409003131414; FELATO; FELATO; NOT FOUND; 250 MG/ML SUS OR CT FR PET AMB X 30 ML + CGT; NO_ACR
502409004111417; FELATO; FELATO; NOT FOUND; 300 MG COM REV CT BL AL PVC INC X 30; NO_ACR
502409001110411; FELATO; FELATO; NOT FOUND; 500 MG COM MAST CT BL AL PVDC INC X 30; NO_ACR
502401703132418; FERRINI FÓLICO; FERRINI FOLICO; NOT FOUND; 15 MG/ML + 0.5 MG/ML SOL OR CT FR VD AMB X 100 ML ; NO_ACR
502402103139411; FOLIFER; FOLIFER; NOT FOUND; 15 MG/ML + 0.5 MG/ML SOL OR CT FR VD AMB X 100 ML ; NO_ACR
502401702136411; FERRINI FÓLICO; FERRINI FOLICO; NOT FOUND; 30 MG/ML + 0.2 MG/ML SOL OR CT FR VD AMB CGT X 30 ML ; NO_ACR
502402102132411; FOLIFER; FOLIFER; NOT FOUND; 30 MG/ML + 0.2 MG/ML SOL OR CT FR VD AMB CGT X 30 ML ; NO_ACR
502401701113416; FERRINI FÓLICO; FERRINI FOLICO; NOT FOUND; 150 MG + 5 MG COM REV CT BL AL PLAS INC X 30; NO_ACR
502402101111410; FOLIFER; FOLIFER; NOT FOUND; 150 MG + 5 MG COM REV CT BL AL PLAS INC X 30; NO_ACR
502402105131416; FOLIFER; FOLIFER; NOT FOUND; 15 MG/ML + 0.5 MG/ML SOL OR CT FR PET AMB X 100 ML; NO_ACR
502402104135418; FOLIFER; FOLIFER; NOT FOUND; 15 MG/ML + 0.5 MG/ML SOL OR CT FR PET AMB X 30 ML; NO_ACR
502402106138414; FOLIFER; FOLIFER; NOT FOUND; 30 MG/ML + 0.2 MG/ML SOL OR CT FR PET AMB CGT X 15 ML; NO_ACR
502402107134412; FOLIFER; FOLIFER; NOT FOUND; 30 MG/ML + 0.2 MG/ML SOL OR CT FR PET AMB CGT X 30 ML; NO_ACR
521106201152418; FILGRASTIM; FILGRASTIM; FILGRASTIM; 30 MU (300 MCG) SOL INJ CT 5 FA VD INC X 1 ML; NO_ACR
521121701111110; FINASTERIDA; FINASTERIDA; FINASTERIDA; 1 MG COM REV CT BL AL PLAS INC X 30; NO_ACR
521121702116116; FINASTERIDA; FINASTERIDA; FINASTERIDA; 5 MG COM REV CT BL AL PLAS INC X 30; NO_ACR
528101001111413; FLUCONAN; FLUCONAN; NOT FOUND; 150 MG CAP GEL DURA CT BL AL PLAS INC X 1; NO_ACR
528101002116419; FLUCONAN; FLUCONAN; NOT FOUND; 150 MG CAP GEL DURA CT BL AL PLAS INC X 2; NO_ACR
541313050014504; FUNGICIDEN; FUNGICIDEN; NOT FOUND; 2 MG/ML SOL INJ INFUS IV CT FR PLAS TRANS SIST FECH X 100 ML ; NO_ACR
519508401154113; FLUORURACILA; FLUORURACILA; FLUORURACILA; 25 MG/ML SOL INJ CT 5 FA VD INC X 10 ML; NO_ACR
519508402150111; FLUORURACILA; FLUORURACILA; FLUORURACILA; 25 MG/ML SOL INJ CT 10 FA VD INC X 10 ML; NO_ACR
519508403157111; FLUORURACILA; FLUORURACILA; FLUORURACILA; 25 MG/ML SOL INJ CT 20 FA VD INC X 10 ML; NO_ACR
519508404153118; FLUORURACILA; FLUORURACILA; FLUORURACILA; 25 MG/ML SOL INJ CT FA VD INC X 10 ML; NO_ACR
