502601001158411, KYBERNIN P, KYBERNIN P, NOT FOUND, 50 UI/ML PO LIOF INJ CT FA + DIL X 20 ML+ DISPOSITIVO DE TRANSFERENCIA, NO_ACR
501300704151416, KEFTRON, KEFTRON, NOT FOUND, 1G PO INJ CT 50 FA VD INC X 10 ML + 50 AMP PLAS DIL X 10 ML, NO_ACR
501301201153417, KEROXIME, KEROXIME, NOT FOUND, 750 MG PO INJ CT 25 FA VD INC X 10 ML, NO_ACR
501301202151418, KEROXIME, KEROXIME, NOT FOUND, 750 MG PO INJ CT 25 FA VD INC X 10 ML + 25 AMP DIL X 10 ML , NO_ACR
501301203156413, KEROXIME, KEROXIME, NOT FOUND, 750 MG PO INJ CT 50 FA VD INC X 10 ML , NO_ACR
501301204152411, KEROXIME, KEROXIME, NOT FOUND, 750 MG PO INJ CT 50 FA VD INC X 10 ML + 50 AMP DIL X 10 ML, NO_ACR
501301205159411, KEROXIME, KEROXIME, NOT FOUND, 750 MG PO INJ CT FA VD INC X 10 ML, NO_ACR
501301206155418, KEROXIME, KEROXIME, NOT FOUND, 750 MG PO INJ CT FA VD INC X 10 ML + AMP DIL X 10 ML, NO_ACR
505205203178415, KETONAZOL, KETONAZOL, NOT FOUND, 20 MG/G XAMP CT FR PLAS OPC X 100 ML, NO_ACR
505205202163414, KETONAZOL, KETONAZOL, NOT FOUND, 20 MG/G CREM DERM CT BG AL X 30 G, NO_ACR
505205201116412, KETONAZOL, KETONAZOL, NOT FOUND, 200 MG COM CT BL AL PLAS INC X 10, NO_ACR
528105102115417, KAOSEC, KAOSEC, NOT FOUND, 2.0 MG COM CT BL AL PLAS INC X 12, NO_ACR
528105101119419, KAOSEC, KAOSEC, NOT FOUND, 2.0 MG COM CT 50 BL AL PLAS INC X 4, NO_ACR
531618001117414, KELLY, KELLY, NOT FOUND, 0.075MG COM REV CT BL AL PLAS INC X 28 , NO_ACR
505607302154419, KIDAZOM, KIDAZOM, NOT FOUND, 1 MG/ML SOL INJ CT AMP VD INC X 1 ML, NO_ACR
505607303150417, KIDAZOM, KIDAZOM, NOT FOUND, 1 MG/ML SOL INJ CT AMP VD INC X 3 ML, NO_ACR
506906502110411, KITAPEN, KITAPEN, NOT FOUND, 100 MG COM REV CT BL PLAS OPC X 15, NO_ACR
506906503117411, KITAPEN, KITAPEN, NOT FOUND, 100 MG COM REV CT BL PLAS OPC X 30, NO_ACR
506906507112412, KITAPEN, KITAPEN, NOT FOUND, 100MG COM REV CT BL PLAS OPC X 60, NO_ACR
506912040024603, KITAPEN, KITAPEN, NOT FOUND, 100MG COM REV CT BL PLAS OPC X 7 , NO_ACR
506906504113418, KITAPEN, KITAPEN, NOT FOUND, 200 MG COM REV CT BL AL PLAS OPC X 15, NO_ACR
506906505111419, KITAPEN, KITAPEN, NOT FOUND, 200 MG COM REV CT BL AL PLAS OPC X 30, NO_ACR
506906508119410, KITAPEN, KITAPEN, NOT FOUND, 200 MG COM REV CT BL AL PLAS OPC X 60, NO_ACR
506913070027803, KITAPEN, KITAPEN, NOT FOUND, 200MG COM REV CT BL AL PLAS OPC X 7, NO_ACR
506906501114413, KITAPEN, KITAPEN, NOT FOUND, 25 MG COM REV CT BL AL PLAST OPC X 15, NO_ACR
506906506116414, KITAPEN, KITAPEN, NOT FOUND, 25 MG COM REV CT BL AL PLAST OPC X 30, NO_ACR
506906509115419, KITAPEN, KITAPEN, NOT FOUND, 25 MG COM REV CT BL AL PLAS OPC X 7, NO_ACR
510610901116317, KIVEXA, KIVEXA, NOT FOUND, 600 MG + 300 MG COM REV CT FR PLAS X 30 (PORT. 344 LIST C4) , NO_ACR
542614030001204, KOTICO, KOTICO, NOT FOUND, 10 MG COM REV CT BL AL/AL X 15, NO_ACR
542614030001304, KOTICO, KOTICO, NOT FOUND, 10 MG COM REV CT BL AL/AL X 30, NO_ACR
542614030000804, KOTICO, KOTICO, NOT FOUND, 2.5 MG COM REV CT BL AL/AL X 15 , NO_ACR
542614030000904, KOTICO, KOTICO, NOT FOUND, 2.5 MG COM REV CT BL AL/AL X 30, NO_ACR
542614030001004, KOTICO, KOTICO, NOT FOUND, 5 MG COM REV CT BL AL/AL X 15  , NO_ACR
542614030001104, KOTICO, KOTICO, NOT FOUND, 5 MG COM REV CT BL AL/AL X 30, NO_ACR
510604301171411, KWELL, KWELL, NOT FOUND, 10 MG/G LOC CT FR PLAS OPC X 60 ML, NO_ACR
540901001172419, KALLOPLAST, KALLOPLAST, NOT FOUND, 240 MG/G ADES EST X 4, NO_ACR
