507723503132411; SUPLEVIT; SUPLEVIT; NOT FOUND; SOL FR C/120ML; NO_ACR
521112405112311; SINERGEN; SINERGEN; NOT FOUND; 5 MG + 10 MG CAP GEL DURA CT STR X 7; NO_ACR
521112406119311; SINERGEN; SINERGEN; NOT FOUND; 5 MG + 20 MG CAP GEL DURA CT STR X 7; NO_ACR
510607304137411; SONRISAL LIMÃO; SONRISAL LIMAO; NOT FOUND; COM EFERV CT 5 ENV AL POLIET X 2; NO_ACR
510607303130413; SONRISAL LIMÃO; SONRISAL LIMAO; NOT FOUND; COM EFERV CT 30 ENV AL POLIET X 2; NO_ACR
510607302134415; SONRISAL; SONRISAL; NOT FOUND; COM EFER CT 5 ENV AL POLIET X 2; NO_ACR
510607301138417; SONRISAL; SONRISAL; NOT FOUND; COM EFERV CT 30 ENV AL POLIET X 2; NO_ACR
510606911137416; SAL DE FRUTA ENO; SAL FRUTA ENO; NOT FOUND; PO EFEV ENV AL POLIET X 5 G (GUARANA) ; NO_ACR
510606909132410; SAL DE FRUTA ENO; SAL FRUTA ENO; NOT FOUND; PO EFEV 2 ENV AL POLIET X 5 G (GUARANA); NO_ACR
510606910130418; SAL DE FRUTA ENO; SAL FRUTA ENO; NOT FOUND; PO EFEV CT 60 ENV AL POLIET X 5 G (GUARANA) ; NO_ACR
510606912133414; SAL DE FRUTA ENO; SAL FRUTA ENO; NOT FOUND; PO EFEV FR PLAS TRANS X 100 G (GUARANA) ; NO_ACR
510606913131415; SAL DE FRUTA ENO; SAL FRUTA ENO; NOT FOUND; PO EFEV 2 ENV AL POLIET X 5 G (LIMAO); NO_ACR
510606914136410; SAL DE FRUTA ENO; SAL FRUTA ENO; NOT FOUND; PO EFEV CT 60 ENV AL POLIET X 5 G (LIMAO); NO_ACR
510606902138413; SAL DE FRUTA ENO; SAL FRUTA ENO; NOT FOUND; PO EFEV CT 60 ENV AL POLIET X 5 G (LARANJA); NO_ACR
510606904130411; SAL DE FRUTA ENO; SAL FRUTA ENO; NOT FOUND; PO EFEV FR PLAS TRANS X 100 G (LARANJA); NO_ACR
510606916139417; SAL DE FRUTA ENO; SAL FRUTA ENO; NOT FOUND; PO EFEV 2 ENV AL POLIET X 5 G (ABACAXI)  ; NO_ACR
510606917135415; SAL DE FRUTA ENO; SAL FRUTA ENO; NOT FOUND; PO EFEV CT 60 ENV AL POLIET X 5 G (ABACAXI); NO_ACR
510606918131413; SAL DE FRUTA ENO; SAL FRUTA ENO; NOT FOUND; PO EFEV FR PLAS OPC X 100 G (ABACAXI)  ; NO_ACR
510606906133416; SAL DE FRUTA ENO; SAL FRUTA ENO; NOT FOUND; PO EFEV CT 60 ENV AL POLIET X 5 G; NO_ACR
510606908136412; SAL DE FRUTA ENO; SAL FRUTA ENO; NOT FOUND; PO EFEV CX FR PLAS TRANS X 100 G ; NO_ACR
510606915132419; SAL DE FRUTA ENO; SAL FRUTA ENO; NOT FOUND; PO EFEV FR PLAS TRANS X 100 G (LIMAO); NO_ACR
510606802133411; SAL DE ANDREWS; SAL ANDREWS; NOT FOUND; 176.50 MG PO EFEV CX FR PLAS OPC X 100 G; NO_ACR
510606801137411; SAL DE ANDREWS; SAL ANDREWS; NOT FOUND; 176.50 MG PO EFEV CX 60 ENV AL POLIET X 5 G ; NO_ACR
507722801172413; STILUX; STILUX; NOT FOUND; 0.15 MG/ML + 0.30 MG/ML SOL OFT CT FR PLAS OPC GOT X 20 ML; NO_ACR
531612090067804; SINAVEL; SINAVEL; NOT FOUND; 100 MG COM REV CT BL AL PLAS OPC X 30; NO_ACR
531612090067904; SINAVEL; SINAVEL; NOT FOUND; 100 MG COM REV CT BL AL PLAS OPC X 60; NO_ACR
539600801117411; SINUTAB; SINUTAB; NOT FOUND; 2 MG + 324 MG + 32.4 MG CAP GEL DURA CT BL AL PLAS INC X 12; NO_ACR
510610201114427; SONRIDOR CAF; SONRIDOR CAF; NOT FOUND; 500 MG + 65 MG COM EFEV CT STR AL POLIET X 24; NO_ACR
510610202110425; SONRIDOR CAF; SONRIDOR CAF; NOT FOUND; 500 MG + 65 MG COM EFEV CT STR AL POLIET X 10; NO_ACR
510610204131314; SONRIDOR CAF; SONRIDOR CAF; NOT FOUND; 500 MG + 65 MG COM EFEV CT STR AL POLIET X 4; NO_ACR
510610203133313; SONRIDOR CAF; SONRIDOR CAF; NOT FOUND; 500 MG + 65 MG COM EFEV CT STR AL POLIET X 60; NO_ACR
505207801161415; SOLARDRIL; SOLARDRIL; NOT FOUND; 80 MG + 10 MG + 1 MG CREM DERM CT BG AL PLAS INC X 28 G; NO_ACR
505207802176416; SOLARDRIL; SOLARDRIL; NOT FOUND; 80 MG + 10 MG + 1 MG LOC CT FR PLAS OPC X 120 ML; NO_ACR
519507701138417; SEACALCIT; SEACALCIT; NOT FOUND; 200 UI/DOSE SOL NAS CT FR VD INC X 2 ML + NEB; NO_ACR
525504701115318; SINEMET; SINEMET; NOT FOUND; 25 MG + 250 MG COM CT 6 BL AL PLAS INC X 5; NO_ACR
507738401111413; SUPRICAL D; SUPRICAL D; NOT FOUND; 500MG + 200 UI COM REV CT FR PLAS OPC X 75; NO_ACR
521602102132418; SANGOTONE; SANGOTONE; NOT FOUND; SOLUCAO CX. FR. VD. 500ML; NO_ACR
507744502119414; SOLLEVARE; SOLLEVARE; NOT FOUND; 100 MG COM REV CT BL AL PLAS OPC X 1; NO_ACR
507744503115412; SOLLEVARE; SOLLEVARE; NOT FOUND; 100 MG COM REV CT BL AL PLAS OPC X 2; NO_ACR
531623302111411; SUVVIA; SUVVIA; NOT FOUND; 100 MG COM REV CT BL AL PLAS OPC X 4; NO_ACR
507744504111410; SOLLEVARE; SOLLEVARE; NOT FOUND; 100 MG COM REV CT BL AL PLAS OPC X 4; NO_ACR
507744501112416; SOLLEVARE; SOLLEVARE; NOT FOUND; 25 MG COM REV CT BL AL PLAS OPC X 1; NO_ACR
507744505118419; SOLLEVARE; SOLLEVARE; NOT FOUND; 25 MG COM REV CT BL AL PLAS OPC X 2; NO_ACR
531623303118411; SUVVIA; SUVVIA; NOT FOUND; 25 MG COM REV CT BL AL PLAS OPC X 4; NO_ACR
507744506114417; SOLLEVARE; SOLLEVARE; NOT FOUND; 25 MG COM REV CT BL AL PLAS OPC X 4; NO_ACR
531623304114418; SUVVIA; SUVVIA; NOT FOUND; 50 MG COM REV CT BL AL PLAS OPC X 1; NO_ACR
507744507110415; SOLLEVARE; SOLLEVARE; NOT FOUND; 50 MG COM REV CT BL AL PLAS OPC X 1; NO_ACR
507744511118417; SOLLEVARE; SOLLEVARE; NOT FOUND; 50 MG COM REV CT BL AL PLAS OPC X 12; NO_ACR
531623305110416; SUVVIA; SUVVIA; NOT FOUND; 50 MG COM REV CT BL AL PLAS OPC X 2; NO_ACR
507744508117413; SOLLEVARE; SOLLEVARE; NOT FOUND; 50 MG COM REV CT BL AL PLAS OPC X 2; NO_ACR
531623306117414; SUVVIA; SUVVIA; NOT FOUND; 50 MG COM REV CT BL AL PLAS OPC X 4; NO_ACR
507744509113411; SOLLEVARE; SOLLEVARE; NOT FOUND; 50 MG COM REV CT BL AL PLAS OPC X 4; NO_ACR
531623301115413; SUVVIA; SUVVIA; NOT FOUND; 50 MG COM REV CT BL AL PLAS OPC X 8; NO_ACR
507744510111419; SOLLEVARE; SOLLEVARE; NOT FOUND; 50 MG COM REV CT BL AL PLAS OPC X 8; NO_ACR
510006001131410; SOLUÇÃO FISIOLÓGICA NASAL; SOLUCAO FISIOLOGICA NASAL; NOT FOUND; 9 MG/ML SOL NAS CX 50 FR PLAS AMB X 30 ML; NO_ACR
522102001173414; SORUM; SORUM; NOT FOUND; 9 MG/ML SOL NAS CX 50 FR PLAS OPC GOT X 30 ML; NO_ACR
522102002171415; SORUM; SORUM; NOT FOUND; 9 MG/ML SOL NAS CT FR PLAS OPC GOT X 30 ML; NO_ACR
534300502271410; SINUSTRAT; SINUSTRAT; NOT FOUND; FRASCO COM 10 ML TRADICIONAL; NO_ACR
534300503179410; SINUSTRAT; SINUSTRAT; NOT FOUND; 0.5MG/ML 10ML SOL NAS FR PLAS OPC GOT; NO_ACR
528102701174416; SORINAN; SORINAN; NOT FOUND; SOL NAS CT FR PLAS OPC X 30 ML; NO_ACR
534300501176414; SINUSTRAT; SINUSTRAT; NOT FOUND; FRASCO COM 30 ML SOLUCAO NATURAL; NO_ACR
507745401170412; SALVELOX; SALVELOX; NOT FOUND; 21 MG/ML + 1.33 MG/ML SOL TOP CT FR PLAS OPC SPRAY X 50 ML; NO_ACR
541312030005104; SUCCITRAT; SUCCITRAT; NOT FOUND; 100 MG PO INJ CT FA; NO_ACR
501805301151410; SUCCITRAT; SUCCITRAT; NOT FOUND; 100 MG PO LIOF INJ CT FA; NO_ACR
541312030005204; SUCCITRAT; SUCCITRAT; NOT FOUND; 500 MG PO INJ CT FA; NO_ACR
501805302158419; SUCCITRAT; SUCCITRAT; NOT FOUND; 500 MG PO LIOF INJ CT FA; NO_ACR
541200101136417; SEDAVAN; SEDAVAN; NOT FOUND; 3 MG/ML XPE CT FR VD AMB X 100 ML; NO_ACR
541200102132415; SEDAVAN; SEDAVAN; NOT FOUND; 6 MG/ML XPE CT FR VD AMB X 100 ML; NO_ACR
507605207118316; STRATTERA; STRATTERA; NOT FOUND; 10 MG CAP GEL DURA CT BL AL PLAS INC X 7; NO_ACR
507605206111318; STRATTERA; STRATTERA; NOT FOUND; 18 MG CAP GEL DURA CT BL AL PLAS INC X 7; NO_ACR
507605205115311; STRATTERA; STRATTERA; NOT FOUND; 25 MG CAP GEL DURA CT BL AL PLAS INC X 30; NO_ACR
507605204119311; STRATTERA; STRATTERA; NOT FOUND; 25 MG CAP GEL DURA CT BL AL PLAS INC X 7; NO_ACR
507605202116315; STRATTERA; STRATTERA; NOT FOUND; 40 MG CAP GEL DURA CT BL AL PLAS INC X 30; NO_ACR
507605203112313; STRATTERA; STRATTERA; NOT FOUND; 40 MG CAP GEL DURA CT BL AL PLAS INC X 7; NO_ACR
507605201111311; STRATTERA; STRATTERA; NOT FOUND; 60 MG CAP GEL DURA CT BL AL PLAS INC X 30; NO_ACR
542614060002104; SENES; SENES; NOT FOUND; 5 MG COM REV CT BL AL PLAS TRANS X 10; NO_ACR
542614060002204; SENES; SENES; NOT FOUND; 5 MG COM REV CT BL AL PLAS TRANS X 30; NO_ACR
542614060002304; SENES; SENES; NOT FOUND; 10 MG COM REV CT BL AL PLAS TRANS X 10; NO_ACR
542614060002404; SENES; SENES; NOT FOUND; 10 MG COM REV CT BL AL PLAS TRANS X 30; NO_ACR
515102701113416; STILGRIP; STILGRIP; NOT FOUND; 400 MG + 4 MG + 4 MG CAP CT BL AL PLAS INC X 12; NO_ACR
515102705119419; STILGRIP; STILGRIP; NOT FOUND; 400 MG + 4 MG + 4 MG CAP CT BL AL PLAS INC X 120; NO_ACR
515102706115417; STILGRIP; STILGRIP; NOT FOUND; 400MG + 4MG + 4MG CAP CT BL AL PLAS INC X 20; NO_ACR
515102703132418; STILGRIP; STILGRIP; NOT FOUND; 400 MG + 4 MG + 4 MG PO SOL OR CT 50 ENV AL POLIET X 5 G; NO_ACR
537113020009904; SORISMA N; SORISMA N; NOT FOUND; 0.50 MG/ML SOL NASAL CT FR PLAS INC GOT X 30 ML ; NO_ACR
537113020010004; SORISMA N; SORISMA N; NOT FOUND; 0.50 MG/ML SOL NASAL CX 24 FR PLAS INC GOT X 30 ML (EMB HOSP); NO_ACR
537113020010104; SORISMA N; SORISMA N; NOT FOUND; 0.50 MG/ML SOL NASAL CX 48 FR PLAS INC GOT X 30 ML (EMB HOSP); NO_ACR
537113020010204; SORISMA N; SORISMA N; NOT FOUND; 0.50 MG/ML SOL NASAL CX 96 FR PLAS INC GOT X 30 ML (EMB HOSP); NO_ACR
505605802151412; SETRONAX; SETRONAX; NOT FOUND; 2 MG/ML SOL INJ CT 5 AMP VD AMB X 2 ML; NO_ACR
505605804152416; SETRONAX; SETRONAX; NOT FOUND; 2 MG/ML SOL INJ CT 5 AMP VD AMB X 4 ML; NO_ACR
506904401112412; SERTERO; SERTERO; NOT FOUND; 20 MG COM REV CT BL AL PLAST TRANS X 10; NO_ACR
506904402119410; SERTERO; SERTERO; NOT FOUND; 20 MG COM REV CT BL AL PLAST TRANS X 20; NO_ACR
506904403115419; SERTERO; SERTERO; NOT FOUND; 20 MG COM REV CT BL AL PLAST TRANS X 30; NO_ACR
507500901111412; SERED; SERED; NOT FOUND; 100 MG COM REV CT BL AL PVC PVDC BRANCO X 10; NO_ACR
507500903114419; SERED; SERED; NOT FOUND; 100 MG COM REV CT BL AL PVC PVDC BRANCO X 14; NO_ACR
507500902118410; SERED; SERED; NOT FOUND; 50 MG COM REV CT BL AL PVC PVDC BRANCO X 10; NO_ACR
507500906113413; SERED; SERED; NOT FOUND; 50 MG COM REV CT BL AL PVC PVDC BRANCO X 14; NO_ACR
507500904110417; SERED; SERED; NOT FOUND; 50 MG COM REV CT BL AL PVC PVDC BRANCO X 20; NO_ACR
507500907111414; SERED; SERED; NOT FOUND; 50 MG COM REV CT BL AL PVC PVDC BRANCO X 28; NO_ACR
532904103110413; SERONIP; SERONIP; NOT FOUND; 50 MG COM REV CT BL AL PLAS INC X 28; NO_ACR
507500905117415; SERED; SERED; NOT FOUND; 50 MG COM REV CT BL AL PVC PVDC BRANCO X 30; NO_ACR
532907901115417; SIBUTRAN; SIBUTRAN; NOT FOUND; 10 MG CAP GEL DURA CT BL AL PLAS INC X 30 ; NO_ACR
507741302119416; SIBUCTIL; SIBUCTIL; NOT FOUND; 10 MG CAP GEL DURA CT BL AL PLAS OPC X 30; NO_ACR
507741301112418; SIBUCTIL; SIBUCTIL; NOT FOUND; 15 MG CAP GEL DURA CT BL AL PLAS OPC X 30; NO_ACR
506913120028003; STUB; STUB; NOT FOUND; 0.4 MG CAP DURA CT BL AL PLAS TRANS X 20; NO_ACR
506913120028103; STUB; STUB; NOT FOUND; 0.4 MG CAP DURA CT BL AL PLAS TRANS X 30; NO_ACR
532908003110414; SINEDOL; SINEDOL; NOT FOUND; 100 MG COM AB RETARD CT 01 BL AL PLAS AMB X 10; NO_ACR
532908002130411; SINEDOL; SINEDOL; NOT FOUND; 100 MG/ML SOL OR CT 01 FR PLAS OPC GOT X 10 ML; NO_ACR
532908001118418; SINEDOL; SINEDOL; NOT FOUND; 50 MG CAP GEL DURA CT 01 BL AL PLAS AMB X 10; NO_ACR
531622902131415; SIGMALIV; SIGMALIV; NOT FOUND; 0.5 MG/ML XPE CT FR VD AMB X 100 ML + SER DOSAD; NO_ACR
531622903138413; SIGMALIV; SIGMALIV; NOT FOUND; 0.5 MG/ML XPE CT FR VD AMB X 60 ML + SER DOSAD; NO_ACR
531622901119411; SIGMALIV; SIGMALIV; NOT FOUND; 5 MG COM REV CT BL AL PLAS OPC X 10; NO_ACR
531612040066703; SIGMALIV; SIGMALIV; NOT FOUND; 5 MG COM REV CT BL AL PLAS OPC X 30; NO_ACR
531614060074804; SOMAFLEX AP; SOMAFLEX AP; NOT FOUND; 100 MG COM REV DESINT LENTA CT BL AL PLAS INC X 10 ; NO_ACR
510607501110419; STELAZINE; STELAZINE; NOT FOUND; 2 MG COM REV CT BL AL PLAS INC X 20; NO_ACR
510607502117417; STELAZINE; STELAZINE; NOT FOUND; 5 MG COM REV CT BL AL PLAS INC X 20; NO_ACR
521125003115113; SIMETICONA; SIMETICONA; SIMETICONA; 40 MG COM CT BL AL PLAS INC X 20; NO_ACR
521125002135110; SIMETICONA; SIMETICONA; SIMETICONA; 75 MG/ML EMU OR CT FR PLAS OPC GOT X 10 ML ; NO_ACR
521125001139112; SIMETICONA; SIMETICONA; SIMETICONA; 75 MG/ML EMU OR CT FR PLAS OPC GOT X 15 ML; NO_ACR
525502104111219; STOCRIN; STOCRIN; NOT FOUND; 600 MG COM REV CT FR PLAS BCO OPC HPDE X 30; NO_ACR
527303501166318; SANDRENA; SANDRENA; NOT FOUND; 0.1 PCC GEL CT 28 SACH X 0.5 G; NO_ACR
527303502162316; SANDRENA; SANDRENA; NOT FOUND; 0.1 PCC GEL CT 28 SACH X 1.0 G; NO_ACR
525514060016607; STEZZA; STEZZA; NOT FOUND; 2.5 MG + 1.5 MG COM REV CT BL AL PVC CALEND X 24 + 4 PLACEBO; NO_ACR
525514060016707; STEZZA; STEZZA; NOT FOUND; 2.5 MG + 1.5 MG COM REV CT BL AL PVC CALEND X 72 + 12 PLACEBO ; NO_ACR
502601401156414; STREPTASE; STREPTASE; NOT FOUND; 1500000 UI PO LIOF INJ CT FA VD INC; NO_ACR
502601402152412; STREPTASE; STREPTASE; NOT FOUND; 250.000 UI PO LIOF INJ CT FA VD INC; NO_ACR
502601403159410; STREPTASE; STREPTASE; NOT FOUND; 750000 UI PO LIOF INJ CT FA VD INC; NO_ACR
507739501177112; SULFATO DE GENTAMICINA + FOSFATO DISSÓDICO DE BETAMETASONA; SULFATO GENTAMICINA FOSFATO DISSODICO BETAMETASONA; NOT FOUND; 3 MG/ML + 1 MG/ML SOL OFT CT FR PLAS TRANS GOT X 10 ML; NO_ACR
519502901155411; SOLUSTREP; SOLUSTREP; NOT FOUND; 1.500.000 UI PO LIOF CT FA VD INC; NO_ACR
528102904131411; SPECTOSAN; SPECTOSAN; NOT FOUND; (6.60 + 3.30 + 0.12) MG/ML XPE CT FR VD AMB X 150 ML SABOR MEL; NO_ACR
507736901131115; SULFATO DE SALBUTAMOL + GUAIFENESINA; SULFATO SALBUTAMOL GUAIFENESINA; NOT FOUND; 0.4 MG/ML + 20 MG/ML SOL OR CT FR VD AMB X 120 ML + CP MED; NO_ACR
531613090070206; SULFATO DE TERBUTALINA + GUAIFENESINA; SULFATO TERBUTALINA GUAIFENESINA; NOT FOUND; 0.3 MG/ML + 13.3 MG/ML XPE CT FR VD AMB X 100 ML + CP MED; NO_ACR
540714090002202; SONOVUE; SONOVUE; NOT FOUND; 25 MG PO LIOF INJ C GAS 8uL / ML CX DIL 5 ML C APLIC; NO_ACR
531617501159411; SUPLASYN; SUPLASYN; NOT FOUND; 20 MG/2ML SOL INJ CT SER PREENCHIDA VD INC X 2.0 ML ; NO_ACR
502613030006704; SANDOGLOBULINA PRIVIGEN; SANDOGLOBULINA PRIVIGEN; NOT FOUND; 0.1 G/ML SOL INJ CT FA VD TRANS X 100 ML; NO_ACR
502613030006804; SANDOGLOBULINA PRIVIGEN; SANDOGLOBULINA PRIVIGEN; NOT FOUND; 0.1 G/ML SOL INJ CT FA VD TRANS X 200 ML; NO_ACR
502613030006504; SANDOGLOBULINA PRIVIGEN; SANDOGLOBULINA PRIVIGEN; NOT FOUND; 0.1 G/ML SOL INJ CT FA VD TRANS X 25 ML; NO_ACR
502613030006604; SANDOGLOBULINA PRIVIGEN; SANDOGLOBULINA PRIVIGEN; NOT FOUND; 0.1 G/ML SOL INJ CT FA VD TRANS X 50 ML; NO_ACR
502602101156417; SANDOGLOBULINA; SANDOGLOBULINA; NOT FOUND; 1 G PO LIOF INJ CT FA VD INC + FA VD INC DIL X 33 ML + EQP INFUS; NO_ACR
502602102152415; SANDOGLOBULINA; SANDOGLOBULINA; NOT FOUND; 12 G PO LIOF INJ CT FA VD INC + FA VD INC DIL X 200 ML + EQP INFUS; NO_ACR
502602103159413; SANDOGLOBULINA; SANDOGLOBULINA; NOT FOUND; 3 G PO LIOF INJ CT FA VD INC + FA VD INC DIL X 100 ML + EQP INFUS; NO_ACR
502602104155411; SANDOGLOBULINA; SANDOGLOBULINA; NOT FOUND; 6 G PO LIOF INJ CT FA VD INC + FA VD INC DIL X 200 ML + EQP INFUS; NO_ACR
531616702177417; SIGMALAC; SIGMALAC; NOT FOUND; PO ORAL CT 10 SACHE X 10 G ; NO_ACR
531616705176314; SIGMALAC; SIGMALAC; NOT FOUND; PO ORAL CT 20 SACHE X 10 G (EMB. FRAC.); NO_ACR
531616703173415; SIGMALAC; SIGMALAC; NOT FOUND; PO ORAL CT 10 SACHE X 2.5 G ; NO_ACR
531616707111317; SIGMALAC; SIGMALAC; NOT FOUND; PO ORAL CT 20 SACHE X 2.5 G (EMB. FRAC.); NO_ACR
531616704171416; SIGMALAC; SIGMALAC; NOT FOUND; PO ORAL CT 10 SACHE X 5 G; NO_ACR
531616706172312; SIGMALAC; SIGMALAC; NOT FOUND; PO ORAL CT 20 SACHE X 5 G (EMB. FRAC.); NO_ACR
527312070008502; SAPHRIS; SAPHRIS; NOT FOUND; 10 MG COM SUBL CT BL AL X 20  ; NO_ACR
527312070008602; SAPHRIS; SAPHRIS; NOT FOUND; 10 MG COM SUBL CT BL AL X 60; NO_ACR
527312030008202; SAPHRIS; SAPHRIS; NOT FOUND; 5 MG COM SUBL CT BL AL X 20 ; NO_ACR
527312030008102; SAPHRIS; SAPHRIS; NOT FOUND; 5 MG COM SUBL CT BL AL X 60; NO_ACR
525502001116218; SINGULAIR; SINGULAIR; NOT FOUND; 10 MG CX. 1 BL X 10 CPD; NO_ACR
525502002112216; SINGULAIR; SINGULAIR; NOT FOUND; 10 MG CX. 3 BL X 10 CPD; NO_ACR
525502003119214; SINGULAIR; SINGULAIR; NOT FOUND; 4 MG CX. 1 BL X 10 CPD; NO_ACR
525502007130311; SINGULAIR; SINGULAIR; NOT FOUND; 4 MG GRAN OR CT 10 SACH AL/POLIET X 500 MG  ; NO_ACR
525502004115212; SINGULAIR; SINGULAIR; NOT FOUND; 4 MG CX. 3 BL X 10 CPD; NO_ACR
525502008137318; SINGULAIR; SINGULAIR; NOT FOUND; 4 MG GRAN OR CT 30 SACH AL/POLIET X 500 MG ; NO_ACR
