513200702150411; TREZEVIT AB; TREZEVIT AB; NOT FOUND; SOL INJ IV A CX 25 FA VD AMB X 5 ML + SOL INJ IV B CX 25 FA VD AMB X 5 ML - ADULTO; NO_ACR
510611501111219; TYKERB; TYKERB; NOT FOUND; 250 MG COM REV CT BL AL/AL X 70 (EMB HOSP); NO_ACR
510612090048302; TYKERB; TYKERB; NOT FOUND; 250 MG COM REV FR PLAS OPC X 70 (EMB HOSP); NO_ACR
510614080052502; TIVICAY; TIVICAY; NOT FOUND; 50MG COM REV FR PLAS OPAC X 30; NO_ACR
533213020001202; TRUVADA; TRUVADA; NOT FOUND; 200 MG + 300 MG COM REV FR PLAS OPC X 30; NO_ACR
520500901178410; TALCO ALIVIO; TALCO ALIVIO; NOT FOUND; TALQUEIRA C/ 100 G; NO_ACR
535400101135313; TROMAXIL; TROMAXIL; NOT FOUND; 1000 MG PO INJ CT 10 FA VD INC (EMB HOSP); NO_ACR
522709901111313; TOTELLE; TOTELLE; NOT FOUND; 1.0 MG + 0.125 MG DRG CT BL AL PLAS INC X 28  ; NO_ACR
522709902118311; TOTELLE; TOTELLE; NOT FOUND; 1.0 MG DRG X 14/1 MG + 0.250 MG DRG X 14 CT BL AL PLAS INC X 28; NO_ACR
522709903114311; TOTELLE; TOTELLE; NOT FOUND; 1.0 MG + 0.125 MG DRG CT ENV BL AL PLAS INC X 28; NO_ACR
522709904110318; TOTELLE; TOTELLE; NOT FOUND; 1.0 MG DRG + 1.0 MG + 0.250 MG DRG CT ENV BL AL PLAS INC X 28; NO_ACR
530904201116318; TRIQUILAR; TRIQUILAR; NOT FOUND; 0.05 MG + 0.03 MG (DRAGEA A) + 0.075 MG + 0.04 MG(DRAGEA B) + 0.125 MG + 0.03 MG (DRAGEA C) CT BL AL PLAS INC CALEND X 21; NO_ACR
522703501111317; TRINORDIOL; TRINORDIOL; NOT FOUND; (0.05MG + 0.03MG) DRG MARROM + (0.075MG + 0.04MG) DRG BRANCA + (0.125MG  + 0.03MG) DRG OCRE CT BL AL PLAS INC X 21; NO_ACR
507741501162419; TRINULOX; TRINULOX; NOT FOUND; 40 MG/G + 0.5 MG/G + 0.1 MG/G CREM DERM CT BG AL X 15 G; NO_ACR
510610601112219; TELZIR; TELZIR; NOT FOUND; 700 MG COM REV FR PLAS OPC X 60; NO_ACR
510614060051805; TELZIR; TELZIR; NOT FOUND; 50 MG/ML SUS OR CT FR PLAS OPC X 225 ML + SER DOS; NO_ACR
507723801117410; TETRAMICIN; TETRAMICIN; NOT FOUND; 500 MG CAP CT ENV AL X 100; NO_ACR
502601501150418; TETANOGAMMA; TETANOGAMMA; NOT FOUND; 250 UI/ML SOL INJ CT AMP VD INC X 1ML; NO_ACR
539400101154417; TEGELINE; TEGELINE; NOT FOUND; PO LIOF 5G CX FA E DIL 100 ML ; NO_ACR
531621602118415; TAVAFLOX; TAVAFLOX; NOT FOUND; 500 MG COM REV CT BL AL PLAS LEIT X 10; NO_ACR
531621601111417; TAVAFLOX; TAVAFLOX; NOT FOUND; 500 MG COM REV CT BL AL PLAS LEIT X 7; NO_ACR
542814070000102; TOPERMA; TOPERMA; NOT FOUND; 5% EMPL CT ENV PE/AL X 5 ; NO_ACR
542814070000202; TOPERMA; TOPERMA; NOT FOUND; 5% EMPL CT ENV PE/AL X 10 ; NO_ACR
542814070000302; TOPERMA; TOPERMA; NOT FOUND; 5% EMPL CT ENV PE/AL X 20; NO_ACR
542814070000402; TOPERMA; TOPERMA; NOT FOUND; 5% EMPL CT ENV PE/AL X 25; NO_ACR
542814070000502; TOPERMA; TOPERMA; NOT FOUND; 5% EMPL CT ENV PE/AL X 30; NO_ACR
525502301179312; TIMOPTOL; TIMOPTOL; NOT FOUND; 0.25% SOL OFT CT FR PLAS OPC GOT OCUMETRO X 5 ML; NO_ACR
525502302175310; TIMOPTOL; TIMOPTOL; NOT FOUND; 0.25% SOL OFT CT FR PLAS OPC GOT X 5 ML; NO_ACR
525502304178317; TIMOPTOL; TIMOPTOL; NOT FOUND; 0.5% SOL OFT CT FR PLAS OPC GOT X 5 ML; NO_ACR
525502303171319; TIMOPTOL; TIMOPTOL; NOT FOUND; 0.5% SOL OFT CT FR PLAS OPC GOT OCUMETRO X 5 ML; NO_ACR
538300201159311; TYSABRI; TYSABRI; NOT FOUND; 20 MG/ML SOL INJ CT FA VD INC X 15 ML; NO_ACR
532904602168417; TRINIZOL-M; TRINIZOL M; NOT FOUND; 30 MG + 20MG CR VAG CT BG AL X 40 G + 7 APLIC; NO_ACR
532904601161419; TRINIZOL-M; TRINIZOL M; NOT FOUND; 30 MG + 20MG CR VAG CT BG AL X 80 G ; NO_ACR
540901801160113; TINIDAZOL + NITRATO DE MICONAZOL; TINIDAZOL NITRATO MICONAZOL; NOT FOUND; 30 MG/G + 20 MG/G CREM VAG CT BG AL X 40 G + 7 APLIC; NO_ACR
507727501169116; TINIDAZOL + NITRATO DE MICONAZOL; TINIDAZOL NITRATO MICONAZOL; NOT FOUND; 30 MG/G + 20 MG/G CREM VAG CT BG AL X 45 G + 7 APLIC; NO_ACR
522712090026604; TROFURIM; TROFURIM; NOT FOUND; 100 MG CAP GEL DURA CT BL AL PLAS INC X 140 (EMB HOSP); NO_ACR
522712090026504; TROFURIM; TROFURIM; NOT FOUND; 100 MG CAP GEL DURA CT BL AL PLAS INC X 28; NO_ACR
522712090026704; TROFURIM; TROFURIM; NOT FOUND; 100 MG CAP GEL DURA CT BL AL PLAS INC X 280 (EMB HOSP); NO_ACR
519503001158412; TAXILAN; TAXILAN; NOT FOUND; 6 MG/ML SOL INJ CT FA VD INC X 16.7 ML (REST. HOSP.); NO_ACR
519503002154410; TAXILAN; TAXILAN; NOT FOUND; 6 MG/ML SOL INJ CT FA VD INC  X 5 ML; NO_ACR
519503003150419; TAXILAN; TAXILAN; NOT FOUND; 6 MG/ML SOL INJ CT FA VD INC X 50 ML (REST. HOSP.); NO_ACR
515102903131423; TRIFEN; TRIFEN; NOT FOUND; 100MG/ML SOL ORAL FR X 20ML GOTAS; NO_ACR
522102305131428; THYLOM; THYLOM; NOT FOUND; 200 MG/ML SOL OR CX 50 FR PLAS OPC GOT X 15 ML (EMB HOSP); NO_ACR
522102306136423; THYLOM; THYLOM; NOT FOUND; 200 MG/ML SOL OR CT FR PLAS OPC GOT X 15 ML; NO_ACR
528103101138417; TYLOL; TYLOL; NOT FOUND; 200 MG/ML SOL OR CT FR PLAS GOT X 15 ML; NO_ACR
515102904138413; TRIFEN; TRIFEN; NOT FOUND; 200 MG/ML SOL OR CT FR PLAS OPC GOT X 20 ML; NO_ACR
522102307116418; THYLOM; THYLOM; NOT FOUND; 750 MG COM CT BL AL PLAS LAR X 20; NO_ACR
522102308112416; THYLOM; THYLOM; NOT FOUND; 750 MG COM CT BL AL PLAS LAR X 200 (EMB MULT); NO_ACR
515102901112421; TRIFEN; TRIFEN; NOT FOUND; 750MG COMP 3 BL AL X 4; NO_ACR
515102902119421; TRIFEN; TRIFEN; NOT FOUND; 750MG COMP 30 BL AL X 4; NO_ACR
528103102118411; TYLOL; TYLOL; NOT FOUND; 750 MG COM CT 5 BL AL PLAS LARANJA X 4; NO_ACR
522102304117421; THYLOM; THYLOM; NOT FOUND; 750 MG COM CT BL AL PLAS INC X 200 (EMB MULT); NO_ACR
528103103114418; TYLOL; TYLOL; NOT FOUND; 750 MG COM CT 50 BL AL PLAS LARANJA X 4; NO_ACR
531612801111411; TRENTAFILINA; TRENTAFILINA; NOT FOUND; 400 MG COM REV CT 01 BL AL PVDC LEIT X 20; NO_ACR
532904501116411; TRENTOFIL; TRENTOFIL; NOT FOUND; 400 MG COM REV CT 2 BL AL PVC X 10 ; NO_ACR
532904502112411; TRENTOFIL; TRENTOFIL; NOT FOUND; 400 MG COM REV CX CT 20 BL AL PVC X 10 ; NO_ACR
531612802118411; TRENTAFILINA; TRENTAFILINA; NOT FOUND; 400 MG COM REV CT 01 BL AL PVDC LEIT X 30; NO_ACR
531612803114418; TRENTAFILINA; TRENTAFILINA; NOT FOUND; 600 MG COM REV CT 01 BL AL PVDC LEIT X 20; NO_ACR
541512030001614; TAZPEN; TAZPEN; NOT FOUND; 2.000 MG + 250 MG PO INJ CT FA VD INC X 30 ML; NO_ACR
541512050002413; TAZPEN; TAZPEN; NOT FOUND; 2.000 MG + 250 MG PO INJ CT 10 FA VD INC X 30 ML ; NO_ACR
522703401151317; TAZOCIN; TAZOCIN; NOT FOUND; 2 G + 250 MG PO LIOF INJ CT FA VD INC; NO_ACR
541512030001714; TAZPEN; TAZPEN; NOT FOUND; 4.000 MG + 500 MG PO INJ CT FA VD INC X 50 ML; NO_ACR
541512050002513; TAZPEN; TAZPEN; NOT FOUND; 4.000 MG + 500 MG PO INJ CT 10 FA VD INC X 50 ML; NO_ACR
522703402156312; TAZOCIN; TAZOCIN; NOT FOUND; 4 G + 500 MG PO LIOF INJ CT FA VD INC; NO_ACR
502404701114417; TECNID; TECNID; NOT FOUND; 1000 MG COM CT BL AL PLAS INC X 2; NO_ACR
502404702137410; TECNID; TECNID; NOT FOUND; 30 MG/ML PO SUS OR CT FR VD AMB X 15 ML + DOSADOR; NO_ACR
502404703133419; TECNID; TECNID; NOT FOUND; 30 MG/ML PO SUS OR CT FR VD AMB X 30 ML + DOSADOR; NO_ACR
501300502151318; TOBRAMINA; TOBRAMINA; NOT FOUND; 50 MG/ML SOL INJ CT 2 AMP VD INC X 1.5 ML; NO_ACR
510014120018606; TACROLIMO; TACROLIMO; TACROLIMO; 1 MG CAP GEL DURA CT BL AL PLAS OPC X 10 COM SACHE DE SILICA EM EMBALAGEM DE ALUMINIO (FLOW PACK); NO_ACR
510014120018706; TACROLIMO; TACROLIMO; TACROLIMO; 1 MG CAP GEL DURA CT BL AL PLAS OPC X 50 COM SACHE DE SILICA EM EMBALAGEM DE ALUMINIO (FLOW PACK); NO_ACR
510014120018806; TACROLIMO; TACROLIMO; TACROLIMO; 1 MG CAP GEL DURA CT BL AL PLAS OPC X 100 COM SACHE DE SILICA EM EMBALAGEM DE ALUMINIO (FLOW PACK); NO_ACR
510014120018906; TACROLIMO; TACROLIMO; TACROLIMO; 5 MG CAP GEL DURA CT BL AL PLAS OPC X 50 ENV AL; NO_ACR
510014120019006; TACROLIMO; TACROLIMO; TACROLIMO; 5 MG CAP GEL DURA CT BL AL PLAS OPC X 100 ENV AL (EMB HOSP); NO_ACR
518001501113112; TACROLIMO; TACROLIMO; TACROLIMO; 1 MG CAP GEL DURA CT BL AL PLAS OPC X 10 CO SACHE DE SILICA EM EMBALAGEM DE ALUMINIO(FLOW PACK); NO_ACR
518001502111113; TACROLIMO; TACROLIMO; TACROLIMO; 1 MG CAP GEL DURA CT BL AL PLAS OPC X 100 COM SACHE DE SILICA EM EMBALAGEM DE ALUMINIO (FLOW PACK); NO_ACR
541912040000006; TACROLIMO; TACROLIMO; TACROLIMO; 1MG CAP GEL DURA CT BL AL AL X 100; NO_ACR
507745701115417; TACROLIL; TACROLIL; NOT FOUND; 1 MG CAP GEL DURA CT BL AL PLAS OPC X 100 ENV AL (EMB. HOSP); NO_ACR
507746801113112; TACROLIMO; TACROLIMO; TACROLIMO; 1 MG CAP GEL DURA CT BL AL PLAS OPC X 100 COM SACHE DE SILICA EM EMBALAGEM DE ALUMINIO (FLOW PACK); NO_ACR
518001503116119; TACROLIMO; TACROLIMO; TACROLIMO; 1 MG CAP GEL DURA CT BL AL PLAS OPC X 50 COM SACHE DE SILICAEM EMBALAGEM DE ALUMINIO (FLOW PACK); NO_ACR
518001504112117; TACROLIMO; TACROLIMO; TACROLIMO; 5 MG CAP GEL DURA CT BL AL PLAS OPC X 50 ENV AL (EMB. HOSP).; NO_ACR
541912040000106; TACROLIMO; TACROLIMO; TACROLIMO; 5 MG CAP GEL DURA CT BL AL AL X 50; NO_ACR
507745702111415; TACROLIL; TACROLIL; NOT FOUND; 5 MG CAP GEL DURA CT BL AL PLAS OPC X 50 ENV AL (EMB. HOSP); NO_ACR
507746802111113; TACROLIMO; TACROLIMO; TACROLIMO; 5 MG CAP GEL DURA CT BL AL PLAS OPC X 50 ENV AL; NO_ACR
507614120018106; TADALAFILA; TADALAFILA; TADALAFILA; 20 MG COM REV CT BL AL PLAS INC X 2 ; NO_ACR
507614120018206; TADALAFILA; TADALAFILA; TADALAFILA; 20 MG COM REV CT  BL AL PLAS INC X 4; NO_ACR
507614120018306; TADALAFILA; TADALAFILA; TADALAFILA; 20 MG COM REV CT BL AL PLAS INC X 8; NO_ACR
507614120018406; TADALAFILA; TADALAFILA; TADALAFILA; 20 MG COM REV CT BL AL PLAS INC X 1; NO_ACR
507614120018506; TADALAFILA; TADALAFILA; TADALAFILA; 20 MG COM REV CT BL AL PLAS INC X 12 ; NO_ACR
507614120018606; TADALAFILA; TADALAFILA; TADALAFILA; 5 MG COM REV CT BL AL PLAS INC X 7; NO_ACR
507614120018706; TADALAFILA; TADALAFILA; TADALAFILA; 5 MG COM REV CT BL AL PLAS INC X 14; NO_ACR
507614120018806; TADALAFILA; TADALAFILA; TADALAFILA; 5 MG COM REV CT BL AL PLAS INC X 15; NO_ACR
507614120018906; TADALAFILA; TADALAFILA; TADALAFILA; 5 MG COM REV CT BL AL PLAS INC X 28; NO_ACR
507614120019006; TADALAFILA; TADALAFILA; TADALAFILA; 5 MG COM REV CT BL AL PLAS INC X 30; NO_ACR
