531618501136418; EXPECDILAT; EXPECDILAT; NOT FOUND; 10 MG/ML XPE CT FR VD AMB X 120 ML + CP MED; NO_ACR
515101103131412; ENTEROFIGON; ENTEROFIGON; NOT FOUND; (50 + 10)MG/ML SOL OR CX 60 FLAC X 10 ML ; NO_ACR
515101104138410; ENTEROFIGON; ENTEROFIGON; NOT FOUND; (50 + 10)MG/ML SOL OR CT FR VD AMB X 150 ML; NO_ACR
515101105134419; ENTEROFIGON; ENTEROFIGON; NOT FOUND; (50 + 10) MG/ ML SOL OR CX 60 FLAC X 10 ML; NO_ACR
540901501132416; ESTOMAZIL; ESTOMAZIL; NOT FOUND; (462 + 90 + 438) MG/G PO EFERV CT 50 ENV AL POLIET X 5 G (LARANJA); NO_ACR
540913070012403; ESTOMAZIL; ESTOMAZIL; NOT FOUND; 462 MG/G + 90 MG/G + 438 MG/G PO EFERV CT 50 ENV AL PE X 5 G (MORANGO); NO_ACR
540913070012503; ESTOMAZIL; ESTOMAZIL; NOT FOUND; 462 MG/G + 90 MG/G + 438 MG/G PO EFERV CT 50 ENV AL PE X 5 G (ABACAXI); NO_ACR
527300701156311; ESMERON; ESMERON; NOT FOUND; 10 MG/ML SOL INJ CT 12 FA VD INC X 2.5 ML; NO_ACR
505614120039903; ENABLEX; ENABLEX; NOT FOUND; 7.5 MG COM REV LIB PROL CT BL AL/AL X 07 ; NO_ACR
505614120040013; ENABLEX; ENABLEX; NOT FOUND; 7.5 MG COM REV LIB PROL CT BL AL/AL X 14; NO_ACR
505614120040113; ENABLEX; ENABLEX; NOT FOUND; 7.5 MG COM REV LIB PROL CT BL AL/AL X 28; NO_ACR
505614120040203; ENABLEX; ENABLEX; NOT FOUND; 7.5 MG COM REV LIB PROL CT BL AL/AL X 56; NO_ACR
505614120040303; ENABLEX; ENABLEX; NOT FOUND; 7.5 MG COM REV LIB PROL CT BL AL/AL X 98; NO_ACR
505614120040403; ENABLEX; ENABLEX; NOT FOUND; 15 MG COM REV LIB PROL CT BL AL/AL X 07; NO_ACR
505614120040513; ENABLEX; ENABLEX; NOT FOUND; 15 MG COM REV LIB PROL CT BL AL/AL X 14; NO_ACR
505614120040613; ENABLEX; ENABLEX; NOT FOUND; 15 MG COM REV LIB PROL CT BL AL/AL X 28; NO_ACR
505614120040703; ENABLEX; ENABLEX; NOT FOUND; 15 MG COM REV LIB PROL CT BL AL/AL X 56; NO_ACR
505614120040803; ENABLEX; ENABLEX; NOT FOUND; 15 MG COM REV LIB PROL CT BL AL/AL X 98; NO_ACR
540914090013503; ENGOV; ENGOV; NOT FOUND; 15 MG + 150 MG +150 MG + 50 MG COM CT ENV AL POLIET X 24; NO_ACR
540900801132413; ENGOV; ENGOV; NOT FOUND; 15 MG + 150 MG +150 MG + 50 MG COM DISP ENV AL POLIET X 150; NO_ACR
532901402133410; EXELMIN; EXELMIN; NOT FOUND; 5 MG/ML + 13.33 MG/ML SUS OR CT FR VD AMB X 30 ML; NO_ACR
532901401110417; EXELMIN; EXELMIN; NOT FOUND; 75 MG + 200 MG COM CT BL AL PLAS INC X 6; NO_ACR
510614060052303; ENO TABS FRUTAS SORTIDAS; ENO TABS FRUTAS SORTIDAS; NOT FOUND; 750 MG COM MAST CX 6 FR PLAS X 48; NO_ACR
510614060052403; ENO TABS FRUTAS SORTIDAS; ENO TABS FRUTAS SORTIDAS; NOT FOUND; 750 MG COM MAST FR PLAS X 48; NO_ACR
510612060048104; ENO TABS FRUTAS SORTIDAS; ENO TABS FRUTAS SORTIDAS; NOT FOUND; 750 MG COM MAST LAM AL/PAP X 8; NO_ACR
510612060048204; ENO TABS FRUTAS SORTIDAS; ENO TABS FRUTAS SORTIDAS; NOT FOUND; 750 MG COM MAST CT PLAS LAM AL/PAP X 96 ; NO_ACR
540902001117416; ESTOMAZIL PASTILHAS; ESTOMAZIL PASTILHAS; NOT FOUND; 230 MG + 185 MG + 185 MG COM MAST CT BL AL PLAS INC X 20 - ABACAXI; NO_ACR
540902002113414; ESTOMAZIL PASTILHAS; ESTOMAZIL PASTILHAS; NOT FOUND; 230 MG + 185 MG + 185 MG COM MAST CT BL AL PLAS INC X 20 - FRAMBOESA; NO_ACR
540902003111415; ESTOMAZIL PASTILHAS; ESTOMAZIL PASTILHAS; NOT FOUND; 230 MG + 185 MG + 185 MG COM MAST CT BL AL PLAS INC X 20 - LIMAO; NO_ACR
540902004116410; ESTOMAZIL PASTILHAS; ESTOMAZIL PASTILHAS; NOT FOUND; 230 MG + 185 MG + 185 MG COM MAST CT BL AL PLAS INC X 20 - MENTA; NO_ACR
540902005112419; ESTOMAZIL PASTILHAS; ESTOMAZIL PASTILHAS; NOT FOUND; 230 MG + 185 MG + 185 MG COM MAST CT BL AL PLAS INC X 20 - TANGERINA; NO_ACR
540902006119417; ESTOMAZIL PASTILHAS; ESTOMAZIL PASTILHAS; NOT FOUND; 230 MG + 185 MG + 185 MG COM MAST CT BL AL PLAS INC X 250 (EMB MULT) - ABACAXI; NO_ACR
540902007115415; ESTOMAZIL PASTILHAS; ESTOMAZIL PASTILHAS; NOT FOUND; 230 MG + 185 MG + 185 MG COM MAST CT BL AL PLAS INC X 250 (EMB MULT) - FRAMBOESA; NO_ACR
540902008111413; ESTOMAZIL PASTILHAS; ESTOMAZIL PASTILHAS; NOT FOUND; 230 MG + 185 MG + 185 MG COM MAST CT BL AL PLAS INC X 250 (EMB MULT) - LIMAO; NO_ACR
540902009118411; ESTOMAZIL PASTILHAS; ESTOMAZIL PASTILHAS; NOT FOUND; 230 MG + 185 MG + 185 MG COM MAST CT BL AL PLAS INC X 250 (EMB MULT) - MENTA; NO_ACR
540902010116419; ESTOMAZIL PASTILHAS; ESTOMAZIL PASTILHAS; NOT FOUND; 230 MG + 185 MG + 185 MG COM MAST CT BL AL PLAS INC X 250 (EMB MULT) - TANGERINA; NO_ACR
540902011112417; ESTOMAZIL PASTILHAS; ESTOMAZIL PASTILHAS; NOT FOUND; 230 MG + 185 MG + 185 MG COM MAST CT BL AL PLAS INC X 40 - ABACAXI; NO_ACR
540902012119415; ESTOMAZIL PASTILHAS; ESTOMAZIL PASTILHAS; NOT FOUND; 230 MG + 185 MG + 185 MG COM MAST CT BL AL PLAS INC X 40 - FRAMBOESA; NO_ACR
540902013115413; ESTOMAZIL PASTILHAS; ESTOMAZIL PASTILHAS; NOT FOUND; 230 MG + 185 MG + 185 MG COM MAST CT BL AL PLAS INC X 40 - LIMAO; NO_ACR
540902014111411; ESTOMAZIL PASTILHAS; ESTOMAZIL PASTILHAS; NOT FOUND; 230 MG + 185 MG + 185 MG COM MAST CT BL AL PLAS INC X 40 - MENTA; NO_ACR
540902015118411; ESTOMAZIL PASTILHAS; ESTOMAZIL PASTILHAS; NOT FOUND; 230 MG + 185 MG + 185 MG COM MAST CT BL AL PLAS INC X 40 - TANGERINA; NO_ACR
507711901162414; EMSCORT; EMSCORT; NOT FOUND; 20 MG + 0.5 MG + 2.5 MG CREM DERM CT BG AL X 30 G; NO_ACR
511301301112415; ENERGICLIN; ENERGICLIN; NOT FOUND; (400 + 150 + 1.5 + 1.7 + 2 + 6 + 65 + 10 + 20 + 60) MG COM REV CT ENV AL POLIET X 30 ; NO_ACR
507711502136411; EMIDRAT; EMIDRAT; NOT FOUND; SOL SABOR GUARANA FR 500ML; NO_ACR
507711503132418; EMIDRAT; EMIDRAT; NOT FOUND; SOL OR CT FR PET X 500 ML (CEREJA); NO_ACR
505203501139411; EXPECTIL; EXPECTIL; NOT FOUND; 2.4 MG/ML + 24 MG/ML + 10 MG/ML + 3 MG/ML XPE CT FR VD AMB X 100 ML; NO_ACR
507744002132411; ENERGIL ZINCO; ENERGIL ZINCO; NOT FOUND; 1 G + 10 MG COM EFEV CT TB PLAS X 10; NO_ACR
507744001136413; ENERGIL ZINCO; ENERGIL ZINCO; NOT FOUND; 1 G + 10 MG COM EFEV CT TB PLAS X 30; NO_ACR
537400203139319; EVICEL SELANTE DE FIBRINA HUMANA; EVICEL SELANTE FIBRINA HUMANA; NOT FOUND; KIT C/ 2 FA VD INC X 1 ML; NO_ACR
537400201136312; EVICEL SELANTE DE FIBRINA HUMANA; EVICEL SELANTE FIBRINA HUMANA; NOT FOUND; KIT C/ 2 FA VD INC X 2 ML; NO_ACR
537400202132310; EVICEL SELANTE DE FIBRINA HUMANA; EVICEL SELANTE FIBRINA HUMANA; NOT FOUND; KIT C/ 2 FA VD INC X 5 ML; NO_ACR
507713102135420; EXPECTUSS; EXPECTUSS; NOT FOUND; XPE INF FR C/100ML; NO_ACR
507713101139422; EXPECTUSS; EXPECTUSS; NOT FOUND; XPE ADULTO FR C/100ML; NO_ACR
522701201110319; ERANZ; ERANZ; NOT FOUND; 10MG COM REV CT BL AL PLAS INC X 28; NO_ACR
522701202117317; ERANZ; ERANZ; NOT FOUND; 5 MG COM REV CT BL AL PLAS INC X 28 ; NO_ACR
522701203113315; ERANZ; ERANZ; NOT FOUND; 5 MG COM REV CT BL AL PLAS INC X 7; NO_ACR
507712603114411; ESSEDIN; ESSEDIN; NOT FOUND; 400 MG + 4 MG + 4 MG CAP GEL DURA CT FR VD AMB X 20; NO_ACR
530412030008603; EFFIENT; EFFIENT; NOT FOUND; 10 MG COM REV CT BL AL/AL X 14; NO_ACR
530412030008703; EFFIENT; EFFIENT; NOT FOUND; 10 MG COM REV CT BL AL/AL X 30; NO_ACR
530412030008503; EFFIENT; EFFIENT; NOT FOUND; 5 MG COM REV CT BL AL/AL X 14; NO_ACR
507601201115215; EVISTA; EVISTA; NOT FOUND; 60 MG COM REV CT BL AL PLAS INC X 14; NO_ACR
507601202111213; EVISTA; EVISTA; NOT FOUND; 60 MG COM REV CT 2 BL AL PLAS INC X 14 ; NO_ACR
507601204114317; EVISTA; EVISTA; NOT FOUND; 60 MG COM REV CT BL AL PLAS INC X 30; NO_ACR
507601203118211; EVISTA; EVISTA; NOT FOUND; 60 MG COM REV CT BL AL PLAS INC X 7; NO_ACR
522700901119310; EFEXOR XR; EFEXOR XR; NOT FOUND; 150 MG CAP GEL DURA CT BL AL PLAST INC X 14; NO_ACR
522700907117311; EFEXOR XR; EFEXOR XR; NOT FOUND; 150 MG CAP GEL DURA CT BL AL PLAS INC X 30; NO_ACR
522700905114313; EFEXOR XR; EFEXOR XR; NOT FOUND; 150 MG CAP GEL DURA CT BL AL PLAST INC X 7; NO_ACR
522700904118315; EFEXOR XR; EFEXOR XR; NOT FOUND; 37.5 MG CAP GEL DURA CT BL AL PLAST INC X 14; NO_ACR
522700908113318; EFEXOR XR; EFEXOR XR; NOT FOUND; 37.5 MG CAP GEL DURA CT BL AL PLAS INC X 30; NO_ACR
522700903111317; EFEXOR XR; EFEXOR XR; NOT FOUND; 37.5 MG CAP GEL DURA CT BL AL PLAST INC X 7; NO_ACR
522700906110311; EFEXOR XR; EFEXOR XR; NOT FOUND; 75 MG CAP GEL DURA CT BL AL PLAST INC X 7; NO_ACR
522700902115319; EFEXOR XR; EFEXOR XR; NOT FOUND; 75 MG CAP GEL DURA CT BL AL PLAST INC X 14; NO_ACR
522700909111319; EFEXOR XR; EFEXOR XR; NOT FOUND; 75 MG CAP GEL DURA CT BL AL PLAS INC X 30; NO_ACR
505203401150413; EUCALIPTAN; EUCALIPTAN; NOT FOUND; CX 100 AMP; NO_ACR
510602413132312; EMULSÃO SCOTT; EMULSAO SCOTT; NOT FOUND; EMU OR CX FR PLAS OPC X 200 ML CEREJA EXPORT; NO_ACR
510602401134412; EMULSÃO SCOTT; EMULSAO SCOTT; NOT FOUND; SOL FR X 200 ML-LARANJA; NO_ACR
510602402130410; EMULSÃO SCOTT; EMULSAO SCOTT; NOT FOUND; SOL FR X 200 ML-MORANGO; NO_ACR
510602403137419; EMULSÃO SCOTT; EMULSAO SCOTT; NOT FOUND; SOL FR X 200 ML-REGULAR; NO_ACR
510602404133417; EMULSÃO SCOTT; EMULSAO SCOTT; NOT FOUND; SOL FR X 400 ML-LARANJA; NO_ACR
510602405131418; EMULSÃO SCOTT; EMULSAO SCOTT; NOT FOUND; SOL FR X 400 ML-MORANGO; NO_ACR
510602406136413; EMULSÃO SCOTT; EMULSAO SCOTT; NOT FOUND; SOL FR X 400 ML-REGULAR; NO_ACR
511301501162416; ESCABRON; ESCABRON; NOT FOUND; 0.083 MG/G CREM DERM CT BG AL X 60 G; NO_ACR
511301504171416; ESCABRON; ESCABRON; NOT FOUND; 0.20 MG/ML XAMP CT FR PLAS OPC X 100 ML; NO_ACR
540913040011414; ESCABIN; ESCABIN; NOT FOUND; 0.2 MG/ML LOC CT FR PLAS OPC X 100 ML; NO_ACR
540913040011514; ESCABIN; ESCABIN; NOT FOUND; 0.2 MG/ML SHAMP CT FR PLAS OPC X 100 ML; NO_ACR
511301502177417; ESCABRON; ESCABRON; NOT FOUND; 0.20 MG/ML LOC CT FR PLAS OPC X 100 ML; NO_ACR
511301503173415; ESCABRON; ESCABRON; NOT FOUND; 0.3 MG/G SAB CT FILME POLIP X 60 G; NO_ACR
507711701112413; EMISTIN; EMISTIN; NOT FOUND; 1 MG + 0.5 MG COM CT ENV AL X 20 ; NO_ACR
528100902113418; ENTEROFTAL; ENTEROFTAL; NOT FOUND; 40 MG COM CT BL AL PLAS INC X 20; NO_ACR
528100901133415; ENTEROFTAL; ENTEROFTAL; NOT FOUND; 75 MG / ML SOL OR CT FR PLAS OPC GOT X 15 ML; NO_ACR
507712401139411; ESPASMO DIMETILIV; ESPASMO DIMETILIV; NOT FOUND; 80 MG/ML + 2.5 MG/ML EMU OR CT FR PLAS OPC GOT X 20 ML; NO_ACR
507746901118418; ELÔ; ELO; NOT FOUND; 3 MG + 0.03 MG COM REV CT BL AL PLAS OPC X 21; NO_ACR
541913070002406; EFAVIRENZ; EFAVIRENZ; EFAVIRENZ; 600MG COM REV CX 35 FR PLAS OPC X 30 (EMB HOSP); NO_ACR
531623701113418; ENTARKIN; ENTARKIN; NOT FOUND; 200 MG COM REV CT BL AL PLAS OPC X 30; NO_ACR
510014030013006; ENTACAPONA; ENTACAPONA; ENTACAPONA; 200 MG COM REV CT BL AL PLAS OPC X 30 (EMB HOSP) ; NO_ACR
507744701111111; ENTACAPONA; ENTACAPONA; ENTACAPONA; 200 MG COM REV CT BL AL PLAS OPC X 30; NO_ACR
510014030013106; ENTACAPONA; ENTACAPONA; ENTACAPONA; 200 MG COM REV CT BL AL PLAS OPC X 500 (EMB HOSP); NO_ACR
501803301154413; EFRINALIN; EFRINALIN; NOT FOUND; 1 MG/ML SOL INJ CX 100 AMP VD AMB X 1 ML; NO_ACR
517002301136413; ERITROMICINA; ERITROMICINA; ERITROMICINA; CX. C/50 FRASCOS X 60 ML; NO_ACR
539500102152414; ERITROPOIETINA; ERITROPOIETINA; ERITROPOIETINA; 10000 UI/ML INJ CT 1 FA VD INC X 1 ML; NO_ACR
539500103159412; ERITROPOIETINA; ERITROPOIETINA; ERITROPOIETINA; 10000 UI/ML INJ CT 10 FA VD INC X 1 ML; NO_ACR
539500104155410; ERITROPOIETINA; ERITROPOIETINA; ERITROPOIETINA; 10000 UI/ML INJ CT 20 FA VD INC X 1 ML; NO_ACR
539500105151419; ERITROPOIETINA; ERITROPOIETINA; ERITROPOIETINA; 10000 UI/ML INJ CT 6 FA VD INC X 1 ML; NO_ACR
539500101156416; ERITROPOIETINA; ERITROPOIETINA; ERITROPOIETINA; 2000 UI/ML SOL INJ CT 1 FA VD INC X 1 ML; NO_ACR
539500106158417; ERITROPOIETINA; ERITROPOIETINA; ERITROPOIETINA; 2000 UI/ML INJ CT 10 FA VD INC X 1 ML; NO_ACR
539500107154415; ERITROPOIETINA; ERITROPOIETINA; ERITROPOIETINA; 2000 UI/ML INJ CT 20 FA VD INC X 1 ML; NO_ACR
539500108150413; ERITROPOIETINA; ERITROPOIETINA; ERITROPOIETINA; 2000 UI/ML INJ CT 6 FA VD INC X 1 ML; NO_ACR
539500109157411; ERITROPOIETINA; ERITROPOIETINA; ERITROPOIETINA; 3000 UI/ML INJ CT 1 FA VD INC X 1 ML; NO_ACR
539500110155419; ERITROPOIETINA; ERITROPOIETINA; ERITROPOIETINA; 3000 UI/ML INJ CT 10 FA VD INC X 1 ML; NO_ACR
539500111151417; ERITROPOIETINA; ERITROPOIETINA; ERITROPOIETINA; 3000 UI/ML INJ CT 20 FA VD INC X 1 ML; NO_ACR
539500112158415; ERITROPOIETINA; ERITROPOIETINA; ERITROPOIETINA; 3000 UI/ML INJ CT 6 FA VD INC X 1 ML; NO_ACR
539500113154413; ERITROPOIETINA; ERITROPOIETINA; ERITROPOIETINA; 4000 UI/ML INJ CT 1 FA VD INC X 1 ML; NO_ACR
539500114150411; ERITROPOIETINA; ERITROPOIETINA; ERITROPOIETINA; 4000 UI/ML INJ CT 10 FA VD INC X 1 ML; NO_ACR
539500115157411; ERITROPOIETINA; ERITROPOIETINA; ERITROPOIETINA; 4000 UI/ML INJ CT 20 FA VD INC X 1 ML; NO_ACR
539500116153418; ERITROPOIETINA; ERITROPOIETINA; ERITROPOIETINA; 4000 UI/ML INJ CT 6 FA VD INC X 1 ML; NO_ACR
531613010068404; ESOMEX; ESOMEX; NOT FOUND; 20 MG COM REV CT BL AL AL X 14; NO_ACR
541812110004406; ESOMPERAZOL; ESOMPERAZOL; NOT FOUND; 20 MG COM REV CT BL AL AL X 14; NO_ACR
541813030004804; ESOGASTRO; ESOGASTRO; NOT FOUND; 20 MG COM REV CT BL AL AL X 14; NO_ACR
531613010068504; ESOMEX; ESOMEX; NOT FOUND; 20 MG COM REV CT BL AL AL X 28; NO_ACR
541812110004506; ESOMPERAZOL; ESOMPERAZOL; NOT FOUND; 20 MG COM REV CT BL AL AL X 28; NO_ACR
541813030004904; ESOGASTRO; ESOGASTRO; NOT FOUND; 20 MG COM REV CT BL AL AL X 28; NO_ACR
531613010068604; ESOMEX; ESOMEX; NOT FOUND; 40 MG COM REV CT BL AL AL X 14; NO_ACR
541812110004606; ESOMPERAZOL; ESOMPERAZOL; NOT FOUND; 40 MG COM REV CT BL AL AL X 14; NO_ACR
541813030005104; ESOGASTRO; ESOGASTRO; NOT FOUND; 40 MG COM REV CT BL AL AL X 14; NO_ACR
531613010068704; ESOMEX; ESOMEX; NOT FOUND; 40 MG COM REV CT BL AL AL X 28; NO_ACR
541812110004706; ESOMPERAZOL; ESOMPERAZOL; NOT FOUND; 40 MG COM REV CT BL AL AL X 28; NO_ACR
541813030005204; ESOGASTRO; ESOGASTRO; NOT FOUND; 40 MG COM REV CT BL AL AL X 28; NO_ACR
541813030005004; ESOGASTRO; ESOGASTRO; NOT FOUND; 40 MG COM REV CT BL AL AL X 7; NO_ACR
510015010025706; ESPIRONOLACTONA; ESPIRONOLACTONA; ESPIRONOLACTONA; 25 MG COM CT  BL AL PLAS TRANS X 15  ; NO_ACR
510015010025806; ESPIRONOLACTONA; ESPIRONOLACTONA; ESPIRONOLACTONA; 25 MG COM CT BL AL PLAS TRANS X 30   ; NO_ACR
510015010025906; ESPIRONOLACTONA; ESPIRONOLACTONA; ESPIRONOLACTONA; 25 MG COM CT BL AL PLAS TRANS X 60 (EMB FRAC); NO_ACR
510015010026006; ESPIRONOLACTONA; ESPIRONOLACTONA; ESPIRONOLACTONA; 25 MG COM CT BL AL PLAS TRANS X 75 (EMB HOSP)   ; NO_ACR
510015010026106; ESPIRONOLACTONA; ESPIRONOLACTONA; ESPIRONOLACTONA; 25 MG COM CT BL AL PLAS TRANS X 90 (EMB FRAC)  ; NO_ACR
510015010026206; ESPIRONOLACTONA; ESPIRONOLACTONA; ESPIRONOLACTONA; 25 MG COM CT BL AL PLAS TRANS X 450 (EMB HOSP) ; NO_ACR
510015010026306; ESPIRONOLACTONA; ESPIRONOLACTONA; ESPIRONOLACTONA; 25 MG COM CT BL AL PLAS TRANS  X 500 (EMB HOSP)  ; NO_ACR
510015010026406; ESPIRONOLACTONA; ESPIRONOLACTONA; ESPIRONOLACTONA; 50 MG COM CT BL AL PLAS TRANS X 15    ; NO_ACR
510015010026506; ESPIRONOLACTONA; ESPIRONOLACTONA; ESPIRONOLACTONA; 50 MG COM CT BL AL PLAS TRANS X 30   ; NO_ACR
510015010026606; ESPIRONOLACTONA; ESPIRONOLACTONA; ESPIRONOLACTONA; 50 MG COM CT BL AL PLAS TRANS X 60 (EMB FRAC); NO_ACR
510015010026706; ESPIRONOLACTONA; ESPIRONOLACTONA; ESPIRONOLACTONA; 50 MG COM CT BL AL PLAS TRANS X 75 (EMB HOSP) ; NO_ACR
510015010026806; ESPIRONOLACTONA; ESPIRONOLACTONA; ESPIRONOLACTONA; 50 MG COM CT BL AL PLAS TRANS X 90 (EMB FRAC); NO_ACR
510015010026906; ESPIRONOLACTONA; ESPIRONOLACTONA; ESPIRONOLACTONA; 50 MG COM CT BL AL PLAS TRANS X 450 (EMB HOSP); NO_ACR
510015010027006; ESPIRONOLACTONA; ESPIRONOLACTONA; ESPIRONOLACTONA; 50 MG COM CT BL AL PLAS TRANS X 500 (EMB HOSP); NO_ACR
510015010027106; ESPIRONOLACTONA; ESPIRONOLACTONA; ESPIRONOLACTONA; 100 MG COM CT BL AL PLAS TRANS X 15  ; NO_ACR
510015010027206; ESPIRONOLACTONA; ESPIRONOLACTONA; ESPIRONOLACTONA; 100 MG COM CT BL AL PLAS TRANS X 16  ; NO_ACR
510015010027306; ESPIRONOLACTONA; ESPIRONOLACTONA; ESPIRONOLACTONA; 100 MG COM CT BL AL PLAS TRANS X 30 ; NO_ACR
510015010027406; ESPIRONOLACTONA; ESPIRONOLACTONA; ESPIRONOLACTONA; 100 MG COM CT BL AL PLAS TRANS X 60 (EMB FRAC); NO_ACR
510015010027506; ESPIRONOLACTONA; ESPIRONOLACTONA; ESPIRONOLACTONA; 100 MG COM CT BL AL PLAS TRANS X 75 (EMB HOSP) ; NO_ACR
510015010027606; ESPIRONOLACTONA; ESPIRONOLACTONA; ESPIRONOLACTONA; 100 MG COM CT BL AL PLAS TRANS X 90 (EMB FRAC) ; NO_ACR
510015010027706; ESPIRONOLACTONA; ESPIRONOLACTONA; ESPIRONOLACTONA; 100 MG COM CT BL AL PLAS TRANS X 450 (EMB HOSP); NO_ACR
510015010027806; ESPIRONOLACTONA; ESPIRONOLACTONA; ESPIRONOLACTONA; 100 MG COM CT BL AL PLAS TRANS X 500  (EMB HOSP) ; NO_ACR
507712501117118; ESPIRONOLACTONA; ESPIRONOLACTONA; ESPIRONOLACTONA; 100 MG COM CT BL AL PLAS INC X 15; NO_ACR
507712504116112; ESPIRONOLACTONA; ESPIRONOLACTONA; ESPIRONOLACTONA; 100 MG COM CT BL AL PLAS INC X 60 (EMB FRAC); NO_ACR
507712502113116; ESPIRONOLACTONA; ESPIRONOLACTONA; ESPIRONOLACTONA; 25 MG COM CT BL AL PLAS INC X 30   ; NO_ACR
507712505112110; ESPIRONOLACTONA; ESPIRONOLACTONA; ESPIRONOLACTONA; 25 MG COM CT BL AL PLAS INC X 60 (EMB FRAC); NO_ACR
507712503012119; ESPIRONOLACTONA; ESPIRONOLACTONA; ESPIRONOLACTONA; 50 MG COM CT BL AL PLAS INC X 30   ; NO_ACR
507712506119119; ESPIRONOLACTONA; ESPIRONOLACTONA; ESPIRONOLACTONA; 50 MG COM CT BL AL PLAS INC X 60 (EMB FRAC); NO_ACR
507712701116417; ESTRINOLON; ESTRINOLON; NOT FOUND; 0.625 MG COM REV CT BL AL PLAS INC X 21; NO_ACR
507712702112415; ESTRINOLON; ESTRINOLON; NOT FOUND; 0.625 MG COM REV CT BL AL PLAS INC X 28; NO_ACR
507712703161411; ESTRINOLON; ESTRINOLON; NOT FOUND; 0.625 MG/G CREM VAG CT BG AL X 25 G ; NO_ACR
522701005151318; ENBREL; ENBREL; NOT FOUND; 25 MG SOL INJ CT 2 SER PREENCH C/ AGU X 0.5 ML + 4 LENCOS; NO_ACR
522701006156313; ENBREL; ENBREL; NOT FOUND; 25 MG SOL INJ CT 4 SER PREENCH C/ AGU X 0.5 ML + 8 LENCOS; NO_ACR
522713030030303; ENBREL PFS; ENBREL PFS; NOT FOUND; 25 MG SOL INJ CT 2 SER PREENCH C/ AGU X 0.5 ML + 2 LENCOS; NO_ACR
522713030030403; ENBREL PFS; ENBREL PFS; NOT FOUND; 25 MG SOL INJ CT 4 SER PREENCH C/ AGU X 0.5 ML + 4 LENCOS; NO_ACR
522701002150310; ENBREL; ENBREL; NOT FOUND; 25 MG PO LIOF INJ CT 4 EST X 1 FA VD INC + 1 SER PREENCH DIL X 1 ML + 1 AGU+ 1 ADAPT + 2 LENCOS; NO_ACR
522701007152311; ENBREL; ENBREL; NOT FOUND; 50 MG SOL INJ CT 2 SER PREENCH C/ AGU X 0.5 ML + 4 LENCOS; NO_ACR
522701008159311; ENBREL; ENBREL; NOT FOUND; 50 MG SOL INJ CT 4 SER PREENCH C/ AGU X 1.0 ML + 8 LENCOS; NO_ACR
