507731401130410; BRONCOLEX; BRONCOLEX; NOT FOUND; 10 MG/ML XPE AD CT FR VD AMB X 120 ML + CP MED X 10 ML; NO_ACR
528100602179413; BENZODERM; BENZODERM; NOT FOUND; 9.0 G SAB CT FILME POLIEST X 60 G ; NO_ACR
507200301178411; BENZOTOP; BENZOTOP; NOT FOUND; 200 MG/G GEL PT PLAS X 12 G (SABOR MENTA); NO_ACR
507200302174418; BENZOTOP; BENZOTOP; NOT FOUND; 200 MG/G GEL PT PLAS X 12 G (SABOR PINA COLADA); NO_ACR
507200303170416; BENZOTOP; BENZOTOP; NOT FOUND; 200 MG/G GEL PT PLAS X 12 G (SABOR TUTTI-FRUTTI); NO_ACR
507733701131117; BENZOILMETRONIDAZOL; BENZOILMETRONIDAZOL; BENZOILMETRONIDAZOL; 40 MG/ML SUS OR CT FA VD AMB X  120 ML; NO_ACR
506905102119111; BESILATO DE ANLODIPINO; BESILATO ANLODIPINO; BESILATO ANLODIPINO; 10 MG COM CT BL AL PLAS AMB X 100 (EMB HOSP); NO_ACR
500103302117112; BESILATO DE ANLODIPINO; BESILATO ANLODIPINO; BESILATO ANLODIPINO; 10 MG COM CT BL AL PLAS INC X 20; NO_ACR
506905103115111; BESILATO DE ANLODIPINO; BESILATO ANLODIPINO; BESILATO ANLODIPINO; 10 MG COM CT BL AL PLAS AMB X 20; NO_ACR
521101203114113; BESILATO DE ANLODIPINO; BESILATO ANLODIPINO; BESILATO ANLODIPINO; 10 MG COM CT BL AL PLAS AMB X 20; NO_ACR
506905104111118; BESILATO DE ANLODIPINO; BESILATO ANLODIPINO; BESILATO ANLODIPINO; 10 MG COM CT BL AL PLAS AMB X 200 (EMB HOSP); NO_ACR
500103303113110; BESILATO DE ANLODIPINO; BESILATO ANLODIPINO; BESILATO ANLODIPINO; 10 MG COM CT BL AL PLAS INC X 30; NO_ACR
506905105118116; BESILATO DE ANLODIPINO; BESILATO ANLODIPINO; BESILATO ANLODIPINO; 10 MG COM CT BL AL PLAS AMB X 30; NO_ACR
521101201111117; BESILATO DE ANLODIPINO; BESILATO ANLODIPINO; BESILATO ANLODIPINO; 10 MG COM CT BL AL PLAS AMB X 30 ; NO_ACR
507730502111111; BESILATO DE ANLODIPINO; BESILATO ANLODIPINO; BESILATO ANLODIPINO; 10 MG COM CT BL AL PLAS AMB X 30; NO_ACR
506905106114114; BESILATO DE ANLODIPINO; BESILATO ANLODIPINO; BESILATO ANLODIPINO; 10 MG COM CT BL AL PLAS AMB X 60; NO_ACR
521101204110111; BESILATO DE ANLODIPINO; BESILATO ANLODIPINO; BESILATO ANLODIPINO; 10 MG COM CT BL AL PLAS AMB X 60; NO_ACR
507730505110116; BESILATO DE ANLODIPINO; BESILATO ANLODIPINO; BESILATO ANLODIPINO; 10 MG COM CT BL AL PLAS LAR X 90 (EMB FRAC); NO_ACR
506905107110112; BESILATO DE ANLODIPINO; BESILATO ANLODIPINO; BESILATO ANLODIPINO; 5 MG COM CT BL AL PLAS AMB X 100 (EMB HOSP); NO_ACR
500103301110114; BESILATO DE ANLODIPINO; BESILATO ANLODIPINO; BESILATO ANLODIPINO; 5 MG COM CT BL AL PLAS INC X 20; NO_ACR
506905108117110; BESILATO DE ANLODIPINO; BESILATO ANLODIPINO; BESILATO ANLODIPINO; 5 MG COM CT BL AL PLAS AMB X 20; NO_ACR
521101205117111; BESILATO DE ANLODIPINO; BESILATO ANLODIPINO; BESILATO ANLODIPINO; 5 MG COM CT BL AL PLAS AMB X 20; NO_ACR
506905109113119; BESILATO DE ANLODIPINO; BESILATO ANLODIPINO; BESILATO ANLODIPINO; 5 MG COM CT BL AL PLAS AMB X 200 (EMB HOSP); NO_ACR
500103304111111; BESILATO DE ANLODIPINO; BESILATO ANLODIPINO; BESILATO ANLODIPINO; 5 MG COM CT BL AL PLAS INC X 30; NO_ACR
506905101112113; BESILATO DE ANLODIPINO; BESILATO ANLODIPINO; BESILATO ANLODIPINO; 5 MG COM CT BL AL PLAS AMB X 30; NO_ACR
521101202118115; BESILATO DE ANLODIPINO; BESILATO ANLODIPINO; BESILATO ANLODIPINO; 5 MG COM CT BL AL PLAS AMB X 30  ; NO_ACR
507730504114118; BESILATO DE ANLODIPINO; BESILATO ANLODIPINO; BESILATO ANLODIPINO; 5 MG COM CT BL AL PLAS AMB X 30; NO_ACR
506905110111116; BESILATO DE ANLODIPINO; BESILATO ANLODIPINO; BESILATO ANLODIPINO; 5 MG COM CT BL AL PLAS AMB X 60; NO_ACR
521101206113118; BESILATO DE ANLODIPINO; BESILATO ANLODIPINO; BESILATO ANLODIPINO; 5 MG COM CT BL AL PLAS AMB X 60; NO_ACR
507730506117114; BESILATO DE ANLODIPINO; BESILATO ANLODIPINO; BESILATO ANLODIPINO; 5 MG COM CT BL AL PLAS LAR X 90 (EMB FRAC); NO_ACR
531614040073704; BRASART BCC; BRASART BCC; NOT FOUND; 320 MG + 10 MG  COM REV CT BL AL AL X 30; NO_ACR
531614040073204; BRASART BCC; BRASART BCC; NOT FOUND; 160 MG + 5 MG COM REV CT BL AL AL X 10 ; NO_ACR
531614040073304; BRASART BCC; BRASART BCC; NOT FOUND; 160 MG + 5 MG COM REV CT BL AL AL X 30; NO_ACR
531614040073404; BRASART BCC; BRASART BCC; NOT FOUND; 160 MG + 5 MG COM REV CT BL AL AL X 60; NO_ACR
531614040073504; BRASART BCC; BRASART BCC; NOT FOUND; 320 MG + 5 MG COM REV CT BL AL AL X 30; NO_ACR
531614040073604; BRASART BCC; BRASART BCC; NOT FOUND; 320 MG + 5 MG COM REV CT BL AL AL X 60; NO_ACR
507736001157411; BETROSPAM; BETROSPAM; NOT FOUND; (5 + 2) MG/ML SUS INJ CT AMP VD INC; NO_ACR
507726503133110; BETAMETASONA; BETAMETASONA; BETAMETASONA; 0.1 MG/ML ELX CT FR VD AMB X 120 ML; NO_ACR
531604503115116; BETAMETASONA; BETAMETASONA; BETAMETASONA; 0.5 MG COM CT BL AL PLAS BCO LEIT X 20; NO_ACR
507726501114119; BETAMETASONA; BETAMETASONA; BETAMETASONA; 0.5 MG COM CT BL AL PLAS BCO LEIT X 20 ; NO_ACR
507726505111114; BETAMETASONA; BETAMETASONA; BETAMETASONA; 0.5 MG COM CT BL AL PLAS BCO LEIT X 90 (EMB FRAC); NO_ACR
531604501139115; BETAMETASONA; BETAMETASONA; BETAMETASONA; 0.5 MG/ML SOL OR CT FR VD AMB X 15 ML; NO_ACR
531604502119118; BETAMETASONA; BETAMETASONA; BETAMETASONA; 2.0MG COM CT BL AL PLAS BCO LEIT X 10 ; NO_ACR
507726502110117; BETAMETASONA; BETAMETASONA; BETAMETASONA; 2.0 MG COM CT BL AL PLAS OPC X 10  ; NO_ACR
507726506116111; BETAMETASONA; BETAMETASONA; BETAMETASONA; 2.0 MG COM CT BL AL PLAS BCO LEIT X 90 (EMB FRAC); NO_ACR
507726801118111; BEZAFIBRATO; BEZAFIBRATO; BEZAFIBRATO; 200 MG COM REV CT BL AL PLAS BRANCO X 20 ; NO_ACR
507726802114118; BEZAFIBRATO; BEZAFIBRATO; BEZAFIBRATO; 200 MG COM REV CT BL AL PLAS BCO X 60 (EMB FRAC); NO_ACR
538001701117110; BICALUTAMIDA; BICALUTAMIDA; BICALUTAMIDA; 50 MG COM REV CT BL AL PLAS INC X 28; NO_ACR
517000801158411; BICARB. DE SÓDIO; BICARB SODIO; BICARBONATO SODIO; 100 MG/ML SOL INJ CX 100 AMP VD INC X 10 ML; NO_ACR
540901403130419; BISUISAN; BISUISAN; NOT FOUND; PO OR CT 12 ENV AL POLIET X 5.5 G; NO_ACR
540901402134410; BISUISAN; BISUISAN; NOT FOUND; PO OR CT 25 ENV AL POLIET X 5.5 G; NO_ACR
540901401138412; BISUISAN; BISUISAN; NOT FOUND; PO OR CT FR PLAS OPC X 50 G; NO_ACR
531613090070306; BIMATOPROSTA; BIMATOPROSTA; BIMATOPROSTA; 0.3 MG/ML SOL OFT CT FR PLAS OPC GOT X 3 ML; NO_ACR
507740201173115; BIMATOPROSTA; BIMATOPROSTA; BIMATOPROSTA; 0.3 MG/ML SOL OFT CT FR PLAS OPC GOT X  3 ML; NO_ACR
531613120072406; BIMATOPROSTA; BIMATOPROSTA; BIMATOPROSTA; 0.3 MG/ML SOL OFT CT FR PLAS OPC GOT X 5 ML; NO_ACR
507740202171116; BIMATOPROSTA; BIMATOPROSTA; BIMATOPROSTA; 0.3 MG/ML SOL OFT CT FR PLAS OPC GOT X 5 ML; NO_ACR
510014120018306; BISSULFATO DE CLOPIDOGREL; BISSULFATO CLOPIDOGREL; BISSULFATO CLOPIDOGREL; 75 MG COM REV CT BL AL AL X 14 ; NO_ACR
510014120018406; BISSULFATO DE CLOPIDOGREL; BISSULFATO CLOPIDOGREL; BISSULFATO CLOPIDOGREL; 75 MG COM REV CT BL AL AL X 28; NO_ACR
510014120018506; BISSULFATO DE CLOPIDOGREL; BISSULFATO CLOPIDOGREL; BISSULFATO CLOPIDOGREL; 75 MG COM REV CT BL AL AL X 98 EMB HOSP; NO_ACR
521126602111113; BISSULFATO DE CLOPIDOGREL; BISSULFATO CLOPIDOGREL; BISSULFATO CLOPIDOGREL; 75 MG COM REV CT BL AL AL X 15; NO_ACR
521126601113112; BISSULFATO DE CLOPIDOGREL; BISSULFATO CLOPIDOGREL; BISSULFATO CLOPIDOGREL; 75 MG COM REV CT BL AL AL X 30; NO_ACR
506906001111113; BISSULFATO DE CLOPIDOGREL; BISSULFATO CLOPIDOGREL; BISSULFATO CLOPIDOGREL; 75 MG COM REV CT BL AL PLAS INC X 10; NO_ACR
506913070027706; BISSULFATO DE CLOPIDOGREL; BISSULFATO CLOPIDOGREL; BISSULFATO CLOPIDOGREL; 75MG COM REV CT BL AL PLAS INC X 100 (EMB HOSP) ; NO_ACR
506913070027506; BISSULFATO DE CLOPIDOGREL; BISSULFATO CLOPIDOGREL; BISSULFATO CLOPIDOGREL; 75MG COM REV CT BL AL PLAS INC X 14; NO_ACR
507744601117118; BISSULFATO DE CLOPIDOGREL; BISSULFATO CLOPIDOGREL; BISSULFATO CLOPIDOGREL; 75 MG COM REV CT BL AL/AL X 14; NO_ACR
506913070027606; BISSULFATO DE CLOPIDOGREL; BISSULFATO CLOPIDOGREL; BISSULFATO CLOPIDOGREL; 75MG COM REV CT BL AL PLAS INC X 28; NO_ACR
507744602113116; BISSULFATO DE CLOPIDOGREL; BISSULFATO CLOPIDOGREL; BISSULFATO CLOPIDOGREL; 75 MG COM REV CT BL AL/AL X 28; NO_ACR
506906002118111; BISSULFATO DE CLOPIDOGREL; BISSULFATO CLOPIDOGREL; BISSULFATO CLOPIDOGREL; 75 MG COM REV CT BL AL PLAS INC X 30; NO_ACR
538015020016403; BORTYZ; BORTYZ; NOT FOUND; 3.5 MG PO LIOF INJ CT FA VD TRANS; NO_ACR
538014010014106; BORTEZOMIBE; BORTEZOMIBE; BORTEZOMIBE; 3.5 MG PO LIOF INJ CT FA VC INC; NO_ACR
531600501118417; BROMOPIRIN; BROMOPIRIN; NOT FOUND; 1.05 MG + 25 MG CAP GEL DURA CT 2 BL AL PLAS INC X 10; NO_ACR
507725205139112; BROMAZEPAM; BROMAZEPAM; BROMAZEPAM; 2.5 MG/ML SOL OR CT FR VD AMB0 GOT X 20 ML; NO_ACR
506902301110111; BROMAZEPAM; BROMAZEPAM; BROMAZEPAM; 3 MG COM CT BL AL PLAS INC X 20 ; NO_ACR
521121602111112; BROMAZEPAM; BROMAZEPAM; BROMAZEPAM; 3 MG COM CT BL AL PLAS INC X 20; NO_ACR
507725201011111; BROMAZEPAM; BROMAZEPAM; BROMAZEPAM; 3 MG COM CT BL AL PLAS INC X 20; NO_ACR
506902305116112; BROMAZEPAM; BROMAZEPAM; BROMAZEPAM; 3 MG COM CT BL AL PLAS INC X 200 (EMB HOSP); NO_ACR
506902303113116; BROMAZEPAM; BROMAZEPAM; BROMAZEPAM; 3 MG COM CT BL AL PLAS INC X 30; NO_ACR
521121603118110; BROMAZEPAM; BROMAZEPAM; BROMAZEPAM; 3 MG COM CT BL AL PLAS INC X 30  ; NO_ACR
507725203111113; BROMAZEPAM; BROMAZEPAM; BROMAZEPAM; 3 MG COM CT BL AL PLAS INC X 30; NO_ACR
506902302117118; BROMAZEPAM; BROMAZEPAM; BROMAZEPAM; 6 MG COM CT BL AL PLAS INC X 20; NO_ACR
521121604114119; BROMAZEPAM; BROMAZEPAM; BROMAZEPAM; 6 MG COM CT BL AL PLAS INC X 20; NO_ACR
507725204116119; BROMAZEPAM; BROMAZEPAM; BROMAZEPAM; 6 MG COM CT BL AL PLAS INC X 20; NO_ACR
506902306112110; BROMAZEPAM; BROMAZEPAM; BROMAZEPAM; 6 MG COM CT BL AL PLAS INC X 200 (EMB HOSP); NO_ACR
506902304111117; BROMAZEPAM; BROMAZEPAM; BROMAZEPAM; 6 MG COM CT BL AL PLAS INC X 30 ; NO_ACR
521121601115114; BROMAZEPAM; BROMAZEPAM; BROMAZEPAM; 6 MG COM CT BL AL PLAS INC X 30; NO_ACR
507725202113112; BROMAZEPAM; BROMAZEPAM; BROMAZEPAM; 6 MG COM CT BL AL PLAS INC X 30; NO_ACR
521123601171118; BROMETO DE IPRATRÓPIO; BROMETO IPRATROPIO; BROMETO IPRATROPIO; 0.25 MG/ML SOL P/ INAL CT FR VD AMB GOT X 20 ML; NO_ACR
507739601171116; BROMETO DE IPRATRÓPRIO; BROMETO IPRATROPRIO; NOT FOUND; 0.25 MG/ML SOL P/ INAL CT FR VD AMB GOT X 20 ML; NO_ACR
541812080003506; BROMETO DE PINAVÉRIO; BROMETO PINAVERIO; BROMETO PINAVERIO; 100 MG COM REV CT BL AL PLAS OPC X 30; NO_ACR
541812080003606; BROMETO DE PINAVÉRIO; BROMETO PINAVERIO; BROMETO PINAVERIO; 100 MG COM REV CT BL AL PLAS OPC X 60; NO_ACR
500102201112117; BROMIDRATO DE CITALOPRAM; BROMIDRATO CITALOPRAM; BROMIDRATO CITALOPRAM; 20 MG COM REV CT BL AL PVC/PVDC INC X 14; NO_ACR
507740801111110; BROMIDRATO DE CITALOPRAM; BROMIDRATO CITALOPRAM; BROMIDRATO CITALOPRAM; 20 MG COM REV CT BL AL PLAS OPC X 14; NO_ACR
500113070014506; BROMIDRATO DE CITALOPRAM; BROMIDRATO CITALOPRAM; BROMIDRATO CITALOPRAM; 20 MG COM REV CT BL AL PVC/PVDC INC X 140 (EMB HOSP); NO_ACR
500102202119115; BROMIDRATO DE CITALOPRAM; BROMIDRATO CITALOPRAM; BROMIDRATO CITALOPRAM; 20 MG COM REV CT BL AL PVC/PVDC INC X 28; NO_ACR
507740802118119; BROMIDRATO DE CITALOPRAM; BROMIDRATO CITALOPRAM; BROMIDRATO CITALOPRAM; 20 MG COM REV CT BL AL PLAS OPC X 28; NO_ACR
500113070014606; BROMIDRATO DE CITALOPRAM; BROMIDRATO CITALOPRAM; BROMIDRATO CITALOPRAM; 20 MG COM REV CT BL AL PVC/PVDC INC X 280 (EMB HOSP); NO_ACR
507740803114117; BROMIDRATO DE CITALOPRAM; BROMIDRATO CITALOPRAM; BROMIDRATO CITALOPRAM; 20 MG COM REV CT BL AL PLAS OPC X 30; NO_ACR
500113070014706; BROMIDRATO DE CITALOPRAM; BROMIDRATO CITALOPRAM; BROMIDRATO CITALOPRAM; 20 MG COM REV CT BL AL PVC/PVDC INC X 560 (EMB HOSP); NO_ACR
500102203115113; BROMIDRATO DE CITALOPRAM; BROMIDRATO CITALOPRAM; BROMIDRATO CITALOPRAM; 20 MG COM REV CT BL AL PVC/PVDC INC X 7; NO_ACR
531610401132113; BROMIDRATO DE FENOTEROL; BROMIDRATO FENOTEROL; BROMIDRATO FENOTEROL; 0.25 MG/ML  XPE CT FR VD AMB X 120 ML + CP MED ; NO_ACR
507725102135114; BROMIDRATO FENOTEROL; BROMIDRATO FENOTEROL; BROMIDRATO FENOTEROL; 0.25 MG/ML XPE CT FR VD AMB X 120 ML + CP MED; NO_ACR
531610402139111; BROMIDRATO DE FENOTEROL; BROMIDRATO FENOTEROL; BROMIDRATO FENOTEROL; 0.5 MG/ML  XPE CT FR VD AMB X 120 ML + CP MED ; NO_ACR
507725103131112; BROMIDRATO FENOTEROL; BROMIDRATO FENOTEROL; BROMIDRATO FENOTEROL; 0.5 MG/ML XPE CT FR VD AMB X 120 ML + CP MED; NO_ACR
531610403135111; BROMIDRATO DE FENOTEROL; BROMIDRATO FENOTEROL; BROMIDRATO FENOTEROL; 5 MG/ML SOL OR CT FR VD AMB GOT X 20 ML; NO_ACR
507725101074111; BROMIDRATO FENOTEROL; BROMIDRATO FENOTEROL; BROMIDRATO FENOTEROL; 5 MG/ML SOL OR CT FR VD AMB GOT X 20 ML ; NO_ACR
521123201130112; BROMOPRIDA; BROMOPRIDA; BROMOPRIDA; 1.0 MG/ML SOL OR CT FR VD AMB X 120 ML + CP MED ; NO_ACR
507733101134115; BROMOPRIDA; BROMOPRIDA; BROMOPRIDA; 1MG/ML SOL OR CT FR VD AMB X 120 ML + CP MED; NO_ACR
532900601116410; BROMOPAN; BROMOPAN; NOT FOUND; 10 MG CAP GEL DURA CT 2 BL AL PLAS INC X 10; NO_ACR
507733103110116; BROMOPRIDA; BROMOPRIDA; BROMOPRIDA; 10 MG CAP GEL DURA CT BL AL PLAS OPC X 20; NO_ACR
537101401133111; BROMOPRIDA; BROMOPRIDA; BROMOPRIDA; 4 MG/ML SOL OR CT FR PLAS OPC X 20 ML; NO_ACR
537101402131112; BROMOPRIDA; BROMOPRIDA; BROMOPRIDA; 4 MG/ML SOL OR CX 48 FR PLAS OPC X 20 ML (EMB HOSP); NO_ACR
537101403136118; BROMOPRIDA; BROMOPRIDA; BROMOPRIDA; 4 MG/ML SOL OR CX 96 FR PLAS OPC X 20 ML (EMB HOSP); NO_ACR
532900602139414; BROMOPAN; BROMOPAN; NOT FOUND; 4 MG/ML SOL OR PEDIAT CT FR PLAS OPC X 20 ML + CGT; NO_ACR
521123202137110; BROMOPRIDA; BROMOPRIDA; BROMOPRIDA; 4.0 MG/ML SOL OR CT FR VD AMB GOT X 20 ML; NO_ACR
507733102130113; BROMOPRIDA; BROMOPRIDA; BROMOPRIDA; 4 MG/ML SOL OR CT FR VD CGT X 20 ML; NO_ACR
540000101150411; BROMOGEX; BROMOGEX; NOT FOUND; 5 MG/ML SOL INJ CT 5 AMP VD AMB X 2 ML; NO_ACR
540000102157411; BROMOGEX; BROMOGEX; NOT FOUND; 5 MG/ML SOL INJ CT 50 AMP VD AMB X 2 ML (EMB HOSP); NO_ACR
521102901133413; BUSONID; BUSONID; NOT FOUND; 0.05 MG/DOSE AER BUCAL CT FR AL X 5 ML (100 DOSES); NO_ACR
521102902172412; BUSONID; BUSONID; NOT FOUND; 0.05 MG/DOSE AER NASAL CT FR AL X 10 ML (200 DOSES); NO_ACR
521102903136411; BUSONID; BUSONID; NOT FOUND; 0.200 MG/DOSE  AER BUCAL CT FR AL X 5 ML (100 DOSES); NO_ACR
521102914170312; BUSONID; BUSONID; NOT FOUND; 100 MCG/DOSE SUS AQUOSA NAS CT FR PLAS OPC X 6 ML(120 DOSES); NO_ACR
521102915177310; BUSONID; BUSONID; NOT FOUND; 100 MCG/DOSE SUS AQUOSA NAS CT FR PLAS OPC X 3 ML(60 DOSES); NO_ACR
521102905171417; BUSONID; BUSONID; NOT FOUND; 100 MCG/DOSE SUS AQUOSA NASAL CT FR PLAS OPC X 10 ML (200 DOSES); NO_ACR
521125801178317; BUSONID CAPS; BUSONID CAPS; NOT FOUND; 200 MCG CAP GEL DURA PO INAL CT BL AL/PVDC X 15; NO_ACR
521125802174315; BUSONID CAPS; BUSONID CAPS; NOT FOUND; 200 MCG CAP GEL DURA PO INAL CT BL AL/PVDC X 15 C/INAL; NO_ACR
521102908111415; BUSONID; BUSONID; NOT FOUND; 200 MCG CAP GEL DURA PO INAL CT BL AL/PVDC X 60; NO_ACR
521102909118413; BUSONID; BUSONID; NOT FOUND; 200 MCG CAP GEL DURA PO INAL CT BL AL/PVDC X 60 C/INAL; NO_ACR
521102912135412; BUSONID; BUSONID; NOT FOUND; 32 MCG/ DOSE SUS AQUOSA NAS CT FR PLAS OPC X 6 ML (120 DOSES); NO_ACR
521102917171311; BUSONID; BUSONID; NOT FOUND; 32 MCG/ DOSE SUS AQUOSA NAS CT FR PLAS OPC X 3 ML (60 DOSES); NO_ACR
521102916173319; BUSONID; BUSONID; NOT FOUND; 400 MCG CAP GEL DURA PO INAL CT BL AL/PVDC X 15 C/INAL; NO_ACR
521125803170313; BUSONID CAPS; BUSONID CAPS; NOT FOUND; 400 MCG CAP GEL DURA PO INAL CT BL AL/PVDC X 15; NO_ACR
521102910116410; BUSONID; BUSONID; NOT FOUND; 400 MCG CAP GEL DURA PO INAL CT BL AL/PVDC X 60; NO_ACR
521102911112419; BUSONID; BUSONID; NOT FOUND; 400 MCG CAP GEL DURA PO INAL CT BL AL/PVDC X 60 C/INAL; NO_ACR
521102906178415; BUSONID; BUSONID; NOT FOUND; 50 MCG/DOSE SUS AQUOSA NAS CT FR PLAS OPC X 6 ML(120 DOSES); NO_ACR
521102907174413; BUSONID; BUSONID; NOT FOUND; 50 MCG/DOSE SUS AQUOSA NASAL CT FR PLAS OPC X 10 ML (200 DOSES); NO_ACR
521102918176315; BUSONID; BUSONID; NOT FOUND; 50 MCG/DOSE SUS AQUOSA NAS CT FR PLAS OPC X 3 ML(60 DOSES); NO_ACR
521102913131410; BUSONID; BUSONID; NOT FOUND; 64 MCG/DOSE SUS AQUOSA NAS CT FR PLAS OPC X 6 ML (120 DOSES); NO_ACR
521102919172313; BUSONID; BUSONID; NOT FOUND; 64 MCG/DOSE SUS AQUOSA NAS CT FR PLAS OPC X 3 ML (60 DOSES); NO_ACR
