520733801133414, DILABRONCO, DILABRONCO, NOT FOUND, 10 MG/ML XPE CT FR PLAS OPC X 120 ML + CP MED, NO_ACR
521400203175318, DDAVP, DDAVP, NOT FOUND, 0.1MG/ML SOL NAS CT FR VD AMB 2.5ML + 2 TUB, NO_ACR
532412050004814, D-VOID, D VOID, NOT FOUND, 0.1 MG/ML SOL NAS CT FR VD AMB NEB X 5 ML, NO_ACR
504112604131410, DESMURIN, DESMURIN, NOT FOUND, 0.1 MG/ML SOL NAS CT FR PLAS OPC SPR X 5 ML , NO_ACR
521400206131311, DDAVP, DDAVP, NOT FOUND, 0.1 MG/ML SOL NAS CT FR VD AMB SPR 5.0 ML, NO_ACR
504112605111413, DESMURIN, DESMURIN, NOT FOUND, 0.2 MG COM CT FR PLAS OPC X 14 , NO_ACR
504112606118411, DESMURIN, DESMURIN, NOT FOUND, 0.2 MG COM CT FR PLAS OPC X 30, NO_ACR
521400204112311, DDAVP, DDAVP, NOT FOUND, 0.2 MG COM CT FR PLAS OPC X 30, NO_ACR
521400207154315, DDAVP, DDAVP, NOT FOUND, 15 MCG /ML SOL INJ CT 1 AMP VD INC X 1ML , NO_ACR
521400210155319, DDAVP, DDAVP, NOT FOUND, 15 MCG /ML SOL INJ CT 10 AMP VD INC X 1ML (EMB FRAC), NO_ACR
521400212158315, DDAVP, DDAVP, NOT FOUND, 15 MCG /ML SOL INJ CT 10 AMP VD INC X 1ML , NO_ACR
521400208150313, DDAVP, DDAVP, NOT FOUND, 15 MCG /ML SOL INJ CT 1 AMP VD INC X 2ML , NO_ACR
521400209157311, DDAVP, DDAVP, NOT FOUND, 15 MCG /ML SOL INJ CT 10 AMP VD INC X 2ML , NO_ACR
521400211151317, DDAVP, DDAVP, NOT FOUND, 15 MCG /ML SOL INJ CT 10 AMP VD INC X 2ML  (EMB FRAC), NO_ACR
521400205151319, DDAVP, DDAVP, NOT FOUND, 4 MCG/ML SOL INJ CT 10 AMP VD INC X 1 ML, NO_ACR
538811101168413, DEXADERMIL, DEXADERMIL, NOT FOUND, 1MG/G CREM DERM CT BG AL X 10 G, NO_ACR
506302801163419, DEXADEN, DEXADEN, NOT FOUND, 1 MG/G CREM DERM CT BG AL X 10 G, NO_ACR
510802401162419, DEXAGREEN, DEXAGREEN, NOT FOUND, 1 MG/G CREM DERM CT BG AL X 10 G , NO_ACR
507709401166419, DEXADERMIL, DEXADERMIL, NOT FOUND, 1MG/G CREM DERM CT BG AL X 10 G, NO_ACR
511502902164410, DEXAMETONAL, DEXAMETONAL, NOT FOUND, 1 MG/G CREM DERM CT BG AL X 10 G, NO_ACR
515106301160411, DEXAMETAX, DEXAMETAX, NOT FOUND, 1 MG/G CREM DERM CT BG AL X 10 G, NO_ACR
500507801158416, DECADRONAL, DECADRONAL, NOT FOUND, 8MG/ML SUS INJ CT FA INC X 2 ML, NO_ACR
520708401151414, DEXADOZE, DEXADOZE, NOT FOUND, 4 MG/ML SUS INJ CT 3 AMP VD INC X1 ML + 5 MG/2 ML + 100 MG/ 2 ML + 100 MG/ 2 ML SOL INJ CT 3 AMP VD INC X 2 ML, NO_ACR
533003901155414, DEXACOBAL, DEXACOBAL, NOT FOUND, SOL INJ CT 3 AMP X 2 ML + 3 AMP X 1 ML, NO_ACR
520708403154410, DEXADOZE, DEXADOZE, NOT FOUND, 4 MG/ML SUSP INJ CT 60 AMP VD INC X 1 ML + 5 MG/2 ML + 100 MG/2 ML + 100 MG/2 ML SOL INJ CT 60 AMP VD INC X 2 ML (EMB HOSP), NO_ACR
525403202113412, DEXA CITONEURIN, DEXA CITONEURIN, NOT FOUND, COM REV EST 2 BL AL PLAS AMB X 10, NO_ACR
525403201151418, DEXA CITONEURIN, DEXA CITONEURIN, NOT FOUND, SOL INJ EST 3 AMP VD INC X 2 ML + 3 AMP VD INC X 1 ML, NO_ACR
500508002151419, DUO-DECADRON, DUO DECADRON, NOT FOUND, 8 MG/ML + 2 MG/ML SUS INJ CT FA VD INC X 1 ML + SER DOS  , NO_ACR
500508001155410, DUO-DECADRON, DUO DECADRON, NOT FOUND, 8 MG/ML + 2 MG/ML SUS INJ CT FA VD INC X 2 ML + SER DOS , NO_ACR
514001602138410, DELTAVIT, DELTAVIT, NOT FOUND, SUS OR CT FR VD AMB X 120 ML, NO_ACR
514001601115417, DELTAVIT, DELTAVIT, NOT FOUND, DRG CT FR VD AMB X 50, NO_ACR
522235401156412, DEPO PROVERA, DEPO PROVERA, NOT FOUND, 150 MG/ML SUS INJ CT FA VD INC X 1 ML, NO_ACR
522235402152410, DEPO PROVERA, DEPO PROVERA, NOT FOUND, 150 MG/ML SUS INJ CT BL PLAS PLAS INC X SER VD INC PREENC X 1 ML + AG DESC, NO_ACR
533026202156410, DEMEDROX, DEMEDROX, NOT FOUND, 150 MG/ML SUS INJ CT 25 AMP VD INC X 1 ML, NO_ACR
533026203152419, DEMEDROX, DEMEDROX, NOT FOUND, 150 MG/ML SUS INJ CT 25 FA VD INC X 1 ML (EMB HOSP), NO_ACR
533026204159417, DEMEDROX, DEMEDROX, NOT FOUND, 150 MG/ML SUS INJ CT AMP VD INC X 1 ML, NO_ACR
533026205155415, DEMEDROX, DEMEDROX, NOT FOUND, 150 MG/ML SUS INJ CT FA VD INC X 1 ML, NO_ACR
533026206151413, DEMEDROX, DEMEDROX, NOT FOUND, 150 MG/ML SUS INJ CT FA VD INC X 1 ML + SER + AGULHA, NO_ACR
533026207158411, DEMEDROX, DEMEDROX, NOT FOUND, 150 MG/ML SUS INJ CT SER PREENCHIDA X 1 ML, NO_ACR
522235403159419, DEPO PROVERA, DEPO PROVERA, NOT FOUND, 50 MG/ML SUS INJ CT FA VD INC X 1 ML, NO_ACR
533026208154411, DEMEDROX, DEMEDROX, NOT FOUND, 50 MG/ML SUS INJ CT AMP VD INC X 1 ML, NO_ACR
533026201151415, DEMEDROX, DEMEDROX, NOT FOUND, 50 MG/ML SUS INJ CT FA VD INC X 1 ML, NO_ACR
504110102155414, DEPOMÊS, DEPOMES, NOT FOUND, 25 MG/ML + 5 MG/ML SUS INJ CT 1 SER HYPAK X 1 ML, NO_ACR
504110103151412, DEPOMÊS, DEPOMES, NOT FOUND, 25 MG/ML + 5 MG/ML SUS INJ CT 3 AMP VD AMB X 1 ML, NO_ACR
504110104158410, DEPOMÊS, DEPOMES, NOT FOUND, 25 MG/ML + 5 MG/ML SUS INJ CT 3 SER HYPAK X 1 ML, NO_ACR
504110105154419, DEPOMÊS, DEPOMES, NOT FOUND, 25 MG /ML+ 5 MG/ML SUS INJ CT 50 AMP X 1 ML, NO_ACR
504110106150417, DEPOMÊS, DEPOMES, NOT FOUND, 25 MG/ML + 5 MG/ML SUS INJ CT 50  SER HYPAK X 1 ML, NO_ACR
504110101159416, DEPOMÊS, DEPOMES, NOT FOUND, 25 MG /ML+ 5 MG/ML SUS INJ CT AMP VD AMB  X 1 ML, NO_ACR
527300501114313, DILENA, DILENA, NOT FOUND, 2MG COM X 11/ 2MG + 10 MG COM X 10 CT ENV AL X BL PLAST INC X 21, NO_ACR
522235501150416, DEPO-MEDROL, DEPO MEDROL, NOT FOUND, 40 MG/ML SUS INJ CT FA VD INC X 2 ML , NO_ACR
533020501119410, DIAMOX, DIAMOX, NOT FOUND, 250 MG COM CT FR VD AMB X 25  , NO_ACR
516703801110410, DUCTOVIRAX, DUCTOVIRAX, NOT FOUND, 200 MG COM CT 5 BL AL PLAS INC X 5, NO_ACR
516703802168412, DUCTOVIRAX, DUCTOVIRAX, NOT FOUND, 50 MG/G CT BG AL X 10 G, NO_ACR
521905501173316, DERIVA MICRO, DERIVA MICRO, NOT FOUND, 1 MG/G GEL DERM LIB PROL CT BG AL REV X 30 G, NO_ACR
510100601161318, DIFFERIN, DIFFERIN, NOT FOUND, 1.0 MG/G CREM DERM CT BG AL X 30 G (PORT 344/98 LISTA C2), NO_ACR
521122801169410, DALAP, DALAP, NOT FOUND, 1.0 MG/G GEL DERM CTBG POLIET OPC X 30 G, NO_ACR
510100602168316, DIFFERIN, DIFFERIN, NOT FOUND, 1 MG/G GEL CT BL PLAST LAM X 30 G, NO_ACR
510100604160312, DIFFERIN, DIFFERIN, NOT FOUND, 3 MG/G GEL DERM CT BG PLAS LAM X 30 G (PORT 344/98 LISTA C2), NO_ACR
510100603164314, DIFFERIN, DIFFERIN, NOT FOUND, 3 MG/G GEL DERM CT BG PLAS LAM X 4 G (PORT 344/98 LISTA C2), NO_ACR
510100605167310, DIFFERIN, DIFFERIN, NOT FOUND, 3 MG/G GEL CT BG PLAS LAM X 45 G, NO_ACR
521905701172313, DERIVA C MICRO, DERIVA C MICRO, NOT FOUND, 1 MG/G + 10 MG/G GEL DERM LIB PROL CT BG PLAS LAM X 30 G, NO_ACR
521905702179311, DERIVA C MICRO, DERIVA C MICRO, NOT FOUND, 1 MG/G + 10 MG/G GEL DERM LIB PROL CT BG PLAS LAM X 45 G, NO_ACR
538816901111417, DORILEN, DORILEN, NOT FOUND, 500 MG + 10 MG + 5 MG COM CT BL AL PLAS OPC X 12, NO_ACR
538816904110411, DORILEN, DORILEN, NOT FOUND, 500 MG + 10 MG + 5 MG COM CT BL AL PLAS OPC X 16, NO_ACR
538816902134410, DORILEN, DORILEN, NOT FOUND, (500 MG + 10 MG + 5 MG) / 1.5 ML SOL OR CT FR VD CGT X 15 ML, NO_ACR
538816903130419, DORILEN, DORILEN, NOT FOUND, (500 MG + 10 MG + 5 MG) / 1.5 ML SOL OR CT FR VD CGT X 20 ML, NO_ACR
534101601154418, DIAMIN, DIAMIN, NOT FOUND, 200 MG/ML SOL INJ CX FA VD INC X 100 ML, NO_ACR
509503301154418, DIPEPTIVEN, DIPEPTIVEN, NOT FOUND, 200 MG/ML SOL INJ IV CX FR VD INC X 100 ML, NO_ACR
534101603157414, DIAMIN, DIAMIN, NOT FOUND, 200 MG/ML SOL INJ CX FA VD INC X 250 ML, NO_ACR
534101602150416, DIAMIN, DIAMIN, NOT FOUND, 200 MG/ML SOL INJ CX FA VD INC X 50 ML, NO_ACR
509503302150319, DIPEPTIVEN, DIPEPTIVEN, NOT FOUND, 200 MG/ML SOL INJ IV CX FR VD INC X 50 ML, NO_ACR
534101604153412, DIAMIN, DIAMIN, NOT FOUND, 200 MG/ML SOL INJ CX FA VD INC X 500 ML, NO_ACR
508023401157416, DAIVA, DAIVA, NOT FOUND, 150 MG/ML + 10 MG/ML SOL INJ IM CT AMP VD AMB X 1 ML , NO_ACR
541312030006204, DOCLAXIN, DOCLAXIN, NOT FOUND, 1000 MG + 200 MG PO INJ CX 10 FA VD INC + 10 AMP DIL X 10 ML , NO_ACR
541312030006304, DOCLAXIN, DOCLAXIN, NOT FOUND, 1000 MG + 200 MG PO INJ CX 20 FA VD INC + 20 AMP DIL X 10 ML , NO_ACR
541312030006404, DOCLAXIN, DOCLAXIN, NOT FOUND, 1000 MG + 200 MG PO INJ CX 50 FA VD INC + 50 AMP DIL X 10 ML , NO_ACR
541312030006504, DOCLAXIN, DOCLAXIN, NOT FOUND, 1000 MG + 200 MG PO INJ CX 10 FA VD INC, NO_ACR
541312030006604, DOCLAXIN, DOCLAXIN, NOT FOUND, 1000 MG + 200 MG PO INJ CX 20 FA VD INC, NO_ACR
541312030006704, DOCLAXIN, DOCLAXIN, NOT FOUND, 1000 MG + 200 MG PO INJ CX 100 FA VD INC, NO_ACR
541312030005904, DOCLAXIN, DOCLAXIN, NOT FOUND, 500 MG + 100 MG PO INJ CX 10 FA VD INC + 10 AMP DIL X 10 ML , NO_ACR
541312030006004, DOCLAXIN, DOCLAXIN, NOT FOUND, 500 MG + 100 MG PO INJ CX 20 FA VD INC + 20 AMP DIL X 10 ML , NO_ACR
541312030006104, DOCLAXIN, DOCLAXIN, NOT FOUND, 500 MG + 100 MG PO INJ CX 50 FA VD INC + 50 AMP DIL X 10 ML , NO_ACR
541312030006804, DOCLAXIN, DOCLAXIN, NOT FOUND, 500 MG + 100 MG PO INJ CX 10 FA VD INC, NO_ACR
541312030006904, DOCLAXIN, DOCLAXIN, NOT FOUND, 500 MG + 100 MG PO INJ CX 20 FA VD INC, NO_ACR
541312030007004, DOCLAXIN, DOCLAXIN, NOT FOUND, 500 MG + 100 MG PO INJ CX 100 FA VD INC, NO_ACR
528513100124103, DUZIMICIN, DUZIMICIN, NOT FOUND, 50 MG/ML PO SUS OR CX 50 FR VD AMB X 60 ML (EMB HOSP) , NO_ACR
528502703131418, DUZIMICIN, DUZIMICIN, NOT FOUND, 50 MG/ML PO SUS OR CT FR VD AMB X 150 ML, NO_ACR
528502704138416, DUZIMICIN, DUZIMICIN, NOT FOUND, 50 MG/ML PO SUS OR CX 50 FR VD AMB X 150 ML (EMB HOSP), NO_ACR
528502701112416, DUZIMICIN, DUZIMICIN, NOT FOUND, 500 MG CAP GEL DURA CX BL AL/PLAS TRANS X 300 (EMB HOSP), NO_ACR
528502702119414, DUZIMICIN, DUZIMICIN, NOT FOUND, 500 MG CAP GEL DURA CT BL AL/PLAS TRANS X 12, NO_ACR
504414010043118, DOCLAXIN, DOCLAXIN, NOT FOUND, 1000 MG + 200 MG PO INJ CX 20 FA VD INC (EMB HOSP), NO_ACR
504414010043418, DOCLAXIN, DOCLAXIN, NOT FOUND, 1000 MG + 200 MG PO INJ CX 10 FA VD INC + 10 AMP DIL X 10 ML (EMB HOSP), NO_ACR
504414010043518, DOCLAXIN, DOCLAXIN, NOT FOUND, 1000 MG + 200 MG PO INJ CX 20 FA VD INC + 20 AMP DIL X 10 ML (EMB HOSP), NO_ACR
504414010043618, DOCLAXIN, DOCLAXIN, NOT FOUND, 1000 MG + 200 MG PO INJ CX 50 FA VD INC + 50 AMP DIL X 10 ML (EMB HOSP), NO_ACR
504414010043718, DOCLAXIN, DOCLAXIN, NOT FOUND, 1000 MG + 200 MG PO INJ CX 100 FA VD INC (EMB HOSP), NO_ACR
504414010044018, DOCLAXIN, DOCLAXIN, NOT FOUND, 1000 MG + 200 MG PO INJ CX 10 FA VD INC (EMB HOSP), NO_ACR
504414010043018, DOCLAXIN, DOCLAXIN, NOT FOUND, 500 MG + 100 MG PO INJ CX 20 FA VD INC (EMB HOSP), NO_ACR
504414010043218, DOCLAXIN, DOCLAXIN, NOT FOUND, 500 MG + 100 MG PO INJ CX 20 FA VD INC + 20 AMP DIL X 10 ML (EMB HOSP), NO_ACR
504414010043318, DOCLAXIN, DOCLAXIN, NOT FOUND, 500 MG + 100 MG PO INJ CX 50 FA VD INC + 50 AMP DIL X 10 ML (EMB HOSP), NO_ACR
504414010043818, DOCLAXIN, DOCLAXIN, NOT FOUND, 500 MG + 100 MG PO INJ CX 10 FA VD INC (EMB HOSP), NO_ACR
504414010043918, DOCLAXIN, DOCLAXIN, NOT FOUND, 500 MG + 100 MG PO INJ CX 10 FA VD INC + 10 AMP DIL X 10 ML (EMB HOSP), NO_ACR
504414010044118, DOCLAXIN, DOCLAXIN, NOT FOUND, 500 MG + 100 MG PO INJ CX 100 FA VD INC (EMB HOSP), NO_ACR
501807101151413, DOCLAXIN, DOCLAXIN, NOT FOUND, 1000 MG + 200 MG PO LIOF CX 10 FA VD INC + 10 AMP DIL X 10 ML , NO_ACR
501807102156419, DOCLAXIN, DOCLAXIN, NOT FOUND, 1000 MG + 200 MG PO LIOF CX 20 FA VD INC + 20 AMP DIL X 10 ML , NO_ACR
501807103152417, DOCLAXIN, DOCLAXIN, NOT FOUND, 1000 MG + 200 MG PO LIOF CX 50 FA VD INC + 50 AMP DIL X 10 ML (EMB HOSP) , NO_ACR
501807107158411, DOCLAXIN, DOCLAXIN, NOT FOUND, 1000 MG + 200 MG PO LIOF CX 10 FA VD INC (EMB HOSP), NO_ACR
501807108154418, DOCLAXIN, DOCLAXIN, NOT FOUND, 1000 MG + 200 MG PO LIOF CX 100 FA VD INC, NO_ACR
501807111155411, DOCLAXIN, DOCLAXIN, NOT FOUND, 1000 MG + 200 MG PO LIOF CX 20 FA VD INC (EMB HOSP), NO_ACR
501807104159415, DOCLAXIN, DOCLAXIN, NOT FOUND, 500 MG + 100 MG PO LIOF CX 10 FA VD INC + 10 AMP DIL X 10 ML , NO_ACR
501807105155413, DOCLAXIN, DOCLAXIN, NOT FOUND, 500 MG + 100 MG PO LIOF CX 20 FA VD INC + 20 AMP DIL X 10 ML , NO_ACR
501807106151411, DOCLAXIN, DOCLAXIN, NOT FOUND, 500 MG + 100 MG PO LIOF CX 50 FA VD INC + 50 AMP DIL X 10 ML (EMB HOSP) , NO_ACR
501807109150416, DOCLAXIN, DOCLAXIN, NOT FOUND, 500 MG + 100 MG PO LIOF CX 100 FA VD INC (EMB HOSP), NO_ACR
501807110159413, DOCLAXIN, DOCLAXIN, NOT FOUND, 500 MG + 100 MG PO LIOF CX 20 FA VD INC (EMB HOSP), NO_ACR
501807112151411, DOCLAXIN, DOCLAXIN, NOT FOUND, 500 MG + 100 MG PO LIOF CX 10 FA VD INC (EMB HOSP), NO_ACR
525403401116411, DINAVITAL, DINAVITAL, NOT FOUND, 1G + 1G COM EFER CT TB PLAS INC X 10, NO_ACR
508024303116411, DIUBLOK, DIUBLOK, NOT FOUND, 100 MG + 25 MG COM CT BL AL PLAS INC X 10, NO_ACR
508024301113415, DIUBLOK, DIUBLOK, NOT FOUND, 100MG +25MG COM CT BL AL PLAS INC X 30, NO_ACR
508024304112411, DIUBLOK, DIUBLOK, NOT FOUND, 50 MG + 12.5MG COM CT BL AL PLAS INC X 10, NO_ACR
508024302111416, DIUBLOK, DIUBLOK, NOT FOUND, 50 MG + 12.5MG COM CT BL AL PLAS INC X 30, NO_ACR
509001401111313, DEQUADIN, DEQUADIN, NOT FOUND, 0.25 MG + 5 MG PAST CT 2 STR AL X 10 (SABOR LARANJA), NO_ACR
509001402116319, DEQUADIN, DEQUADIN, NOT FOUND, 0.25 MG + 5 MG PAST CT 2 STR AL X 10 (SABOR LIMAO), NO_ACR
509001403112317, DEQUADIN, DEQUADIN, NOT FOUND, 0.25 MG + 5 MG PAST CT 2 STR AL X 10 (SABOR MENTA), NO_ACR
526530701117315, DIOVAN TRIPLO, DIOVAN TRIPLO, NOT FOUND, 160 MG + 12.5 MG COM REV + 5 MG COM CT BL AL/AL X 14 + 14, NO_ACR
526530702113313, DIOVAN TRIPLO, DIOVAN TRIPLO, NOT FOUND, 160 MG + 12.5 MG COM REV + 10 MG COM CT BL AL/AL X 14 + 14, NO_ACR
526530705112318, DIOVAN TRIPLO, DIOVAN TRIPLO, NOT FOUND, 160 MG + 25 MG COM REV + 10 MG COM CT BL AL/AL X 14 + 14, NO_ACR
526530707115314, DIOVAN TRIPLO, DIOVAN TRIPLO, NOT FOUND, 160 MG + 25 MG COM REV + 5 MG COM CT BL AL/AL X 14 + 14, NO_ACR
526530703111314, DIOVAN TRIPLO, DIOVAN TRIPLO, NOT FOUND, 160 MG + 12.5 MG COM REV + 10 MG COM CT BL AL/AL X 28 + 28, NO_ACR
526530704116311, DIOVAN TRIPLO, DIOVAN TRIPLO, NOT FOUND, 160 MG + 12.5 MG COM REV + 5 MG COM CT BL AL/AL X 28 + 28, NO_ACR
526530706119316, DIOVAN TRIPLO, DIOVAN TRIPLO, NOT FOUND, 160 MG + 25 MG COM REV + 10 MG COM CT BL AL/AL X 28 + 28, NO_ACR
526530708111312, DIOVAN TRIPLO, DIOVAN TRIPLO, NOT FOUND, 160 MG + 25 MG COM REV + 5 MG COM CT BL AL/AL X 28 + 28, NO_ACR
526505001115319, DIOVAN AMLO, DIOVAN AMLO, NOT FOUND, 80 MG COM REV + 5 MG COM CT BL AL/AL X 28 + 28 , NO_ACR
526528606110315, DIOVAN AMLO FIX, DIOVAN AMLO FIX, NOT FOUND, 160 MG + 10 MG COM REV CT BL AL/AL X 14 , NO_ACR
526528607117313, DIOVAN AMLO FIX, DIOVAN AMLO FIX, NOT FOUND, 160 MG + 5 MG COM REV CT BL AL/AL X 14 , NO_ACR
526528608113311, DIOVAN AMLO FIX, DIOVAN AMLO FIX, NOT FOUND, 320 MG + 5 MG COM REV CT BL AL/AL X 14, NO_ACR
526528609111312, DIOVAN AMLO FIX, DIOVAN AMLO FIX, NOT FOUND, 80 MG + 5 MG COM REV CT BL AL/AL X 14 , NO_ACR
526528601119314, DIOVAN AMLO FIX, DIOVAN AMLO FIX, NOT FOUND, 80 MG + 5 MG COM REV CT BL AL/AL X 28, NO_ACR
526528602115312, DIOVAN AMLO FIX, DIOVAN AMLO FIX, NOT FOUND, 160 MG + 5 MG COM REV CT BL AL/AL X 28, NO_ACR
526528603111310, DIOVAN AMLO FIX, DIOVAN AMLO FIX, NOT FOUND, 320 MG + 5 MG COM REV CT BL AL/AL X 28, NO_ACR
526528604118319, DIOVAN AMLO FIX, DIOVAN AMLO FIX, NOT FOUND, 160 MG + 10 MG COM REV CT BL AL/AL X 28, NO_ACR
526528605114317, DIOVAN AMLO FIX, DIOVAN AMLO FIX, NOT FOUND, 320 MG + 10 MG COM REV CT BL AL/AL X 28, NO_ACR
526504901112318, DIOVAN AMLO, DIOVAN AMLO, NOT FOUND, 160 MG COM REV + 5 MG COM CT BL AL/AL X 28 + 28 , NO_ACR
506302902131415, DEXTAMINE, DEXTAMINE, NOT FOUND, (0.4 + 0.05) MG/ML XPE CT FR VD AMB X 120 ML + CP MED, NO_ACR
506412060026004, DEXMINE, DEXMINE, NOT FOUND, 0.05 MG/ML + 0.40 MG/ML XPE CT FR PET AMB X 120 ML, NO_ACR
506314070028604, DEXTAMINE, DEXTAMINE, NOT FOUND, 2 MG + 0.25 MG COM CT BL AL PLAS OPC X 20, NO_ACR
506401602118411, DEXMINE, DEXMINE, NOT FOUND, 0.25MG +2.0MG COM CT 01 BL AL PLAS INC X 20, NO_ACR
520906601173310, DUOSOL COM POTÁSSIO, DUOSOL POTASSIO, NOT FOUND, SOL INJ IV CX BOLS PLAS SIST FECH X 5000 ML COM 2MMOL/L DE POTASSIO, NO_ACR
520906602171311, DUOSOL COM POTÁSSIO, DUOSOL POTASSIO, NOT FOUND, SOL INJ IV CX 2 BOLS PLAS SIST FECH X 5000 ML COM 4 MMOL/L DE POTASSIO, NO_ACR
520906603176317, DUOSOL COM POTÁSSIO, DUOSOL POTASSIO, NOT FOUND, SOL INJ IV CX 2 BOLS PLAS SIST FECH X 5000 ML COM 2 MMOL/L DE POTASSIO, NO_ACR
520906604172315, DUOSOL COM POTÁSSIO, DUOSOL POTASSIO, NOT FOUND, SOL INJ IV CX BOLS PLAS SIST FECH X 5000 ML COM 4 MMOL/L DE POTASSIO, NO_ACR
520906501179317, DUOSOL SEM POTÁSSIO, DUOSOL POTASSIO, NOT FOUND, SOL INJ IV CX 2 BOLS PLAS INC SIST FECH X 5000 ML, NO_ACR
520906502175315, DUOSOL SEM POTÁSSIO, DUOSOL POTASSIO, NOT FOUND, SOL INJ IV CX BOLS PLAS INC SIST FECH X 5000 ML, NO_ACR
506411301110419, DUCODIL, DUCODIL, NOT FOUND, 5 MG COM REV CT BL AL PLAS INC X 20, NO_ACR
504501702118311, DULCOLAX, DULCOLAX, NOT FOUND, 5 MG DRG CT BL AL PLAS INC  X 20 , NO_ACR
502821302114311, DUOPLAVIX, DUOPLAVIX, NOT FOUND, 75 MG + 100 MG COM REV CT BL AL/AL X 14, NO_ACR
502821303110311, DUOPLAVIX, DUOPLAVIX, NOT FOUND, 75 MG + 100 MG COM REV CT BL AL/AL X 28, NO_ACR
502821301118313, DUOPLAVIX, DUOPLAVIX, NOT FOUND, 75 MG + 100 MG COM REV CT BL AL/AL X 7, NO_ACR
504505701175314, DUOVENT N, DUOVENT N, NOT FOUND, 0.02 MG/ 50MCL + 0.05 MG/ 50MCL SOL AER CT TB ACO INOX X 10 ML + BOCAL, NO_ACR
504501801175313, DUOVENT, DUOVENT, NOT FOUND, 0.8 MG/ML + 2.0 MG/ML AER DOSIF CT TB AL X 15 ML + BOCAL + AEROCAMERA, NO_ACR
500214110033417, DICETEL, DICETEL, NOT FOUND, 50 MG COM REV CT BL AL PLAS INC X 20, NO_ACR
500214110033517, DICETEL, DICETEL, NOT FOUND, 100 MG COM REV CT BL AL PLAS INC X 20, NO_ACR
506703601114418, DENYL, DENYL, NOT FOUND, 20 MG COM CT BL AL PLAS INC X 14, NO_ACR
506703602110416, DENYL, DENYL, NOT FOUND, 20 MG COM CT 2 BL AL PLAS INC X 14, NO_ACR
506703603117414, DENYL, DENYL, NOT FOUND, 40 MG COM CT BL AL PLAS INC X 14, NO_ACR
531614060074404, DIGESIGMA, DIGESIGMA, NOT FOUND, 10 MG CAP GEL DURA CT BL AL PLAS OPC X 20 , NO_ACR
531614060074504, DIGESIGMA, DIGESIGMA, NOT FOUND, 10 MG CAP GEL DURA CT BL AL PLAS OPC X 60 (EMB FRAC), NO_ACR
502822701136317, DIGESAN, DIGESAN, NOT FOUND, 1 MG/ML SOL OR CT FR VD AMB X 120 ML + MED, NO_ACR
502822702116311, DIGESAN, DIGESAN, NOT FOUND, 10 MG CAP GEL DURA CT BL AL PLAS INC X 20, NO_ACR
520703801119411, DIGESTIL, DIGESTIL, NOT FOUND, 10 MG COM CT BL AL PLAS INC X 20, NO_ACR
520712100085003, DIGESTIL, DIGESTIL, NOT FOUND, 10 MG COM CT BL AL PLAS PVC BRANCO OPC X 20 , NO_ACR
533004602119414, DIGESTINA, DIGESTINA, NOT FOUND, 10 MG COM CT BL AL PLAS INC X 20, NO_ACR
502812030062503, DIGESAN, DIGESAN, NOT FOUND, 10 MG CAP GEL DURA CT BL AL PLAS INC X 6, NO_ACR
538504504133411, DIGESPRID, DIGESPRID, NOT FOUND, 4 MG/ML SOL OR CX 50 FR PLAS OPC GOT X 20 ML (EMB HOSP), NO_ACR
