505204301117412; GEROTREX H3; GEROTREX H3; NOT FOUND; FR 30 DRG; NO_ACR
540915010014117; GELOL; GELOL; NOT FOUND; POM DERM CT BG AL X 20 G; NO_ACR
527301601112310; GRACIAL; GRACIAL; NOT FOUND; 0.125/0.030 MG 15 COM BRANCOS + 0.025/0.040 MG 7 COM AZUIS CT BL AL PLAS INC X 22; NO_ACR
502402401164412; GYNAX N; GYNAX N; NOT FOUND; 60 MG/G + 0.064 MG/G + 20.000 UI + 10 MG/G + 2 MG/G + 0.40 MG/G CREM VAG CT 10 APLIC DESCART PRE-ENVASADO X 5G; NO_ACR
502402402160410; GYNAX N; GYNAX N; NOT FOUND; 60 MG/G + 0.064 MG/G + 20.000 UI + 10 MG/G + 2 MG/G + 0.40 MG/G CREM VAG CT BG AL X 60 G + 1 APLIC; NO_ACR
502402403167419; GYNAX N; GYNAX N; NOT FOUND; 60 MG/G + 0.064 MG/G + 20.000 UI + 10 MG/G + 2 MG/G + 0.40 MG/G CREM VAG CT BG AL X 60 G + 10 APLIC; NO_ACR
505204101118415; GASTROFLAT MAX; GASTROFLAT MAX; NOT FOUND; 125 MG CAP GEL MOLE CT BL AL PLAS INC X 10; NO_ACR
505204001113411; GASTROFLAT; GASTROFLAT; NOT FOUND; 40 MG COM CT BL AL PLAS INC X 20; NO_ACR
505204002136415; GASTROFLAT; GASTROFLAT; NOT FOUND; 75 MG/ML EMU OR CT FR PLAS OPC CGT X 10 ML; NO_ACR
507739102132417; GELMAX DIM; GELMAX DIM; NOT FOUND; (400 + 400 + 30)MG/5ML SUS OR CT FR PLAS OPC X 240 ML (TRADICIONAL) ; NO_ACR
507739101136419; GELMAX DIM; GELMAX DIM; NOT FOUND; (400 + 400 + 30)MG/5 ML SUS OR CT FR PLAS OPC X 240 ML (MORANGO) ; NO_ACR
515106704133410; GASTROBION; GASTROBION; NOT FOUND; 37 MG +40 MG + 5 MG/ML SUS OR CT FR PLAS OPC X 240 ML; NO_ACR
505204801152411; GRIPONIA INJETÁVEL A & B; GRIPONIA INJETAVEL A B; NOT FOUND; CX 50 A & 50 B; NO_ACR
505204701115417; GRIPONIA; GRIPONIA; NOT FOUND; CX 20 DRG; NO_ACR
516300602136411; GOTAS BINELLI; GOTAS BINELLI; NOT FOUND; 30 MG/ML SOL ORAL CT FR PLAS OPC GOT X 10 ML; NO_ACR
522710802113117; GESTODENO + ETINILESTRADIOL; GESTODENO ETINILESTRADIOL; NOT FOUND; 0.060MG + 0.0015MG COM REV CT BL AL PLAS INC X 24; NO_ACR
522710801117119; GESTODENO + ETINILESTRADIOL; GESTODENO ETINILESTRADIOL; NOT FOUND; 0.060MG + 0.0015MG COM REV CT BL AL PLAS INC X 72; NO_ACR
522710803111118; GESTODENO + ETINILESTRADIOL; GESTODENO ETINILESTRADIOL; NOT FOUND; 0.075 MG + 0.03 MG DRG CT BL AL PLAS INC X 21; NO_ACR
507500701155416; GRANOMAX; GRANOMAX; NOT FOUND; 300 MCG SOL INJ CT 5 FA VD INC X 1 ML ; NO_ACR
507500702151414; GRANOMAX; GRANOMAX; NOT FOUND; 300 MCG SOL INJ CT 5 SER PREENCH PLAS INC X 1 ML ; NO_ACR
507500703158412; GRANOMAX; GRANOMAX; NOT FOUND; 300 MCG SOL INJ CT 10 SER PREENCH PLAS INC X 1 ML  ; NO_ACR
507500704154410; GRANOMAX; GRANOMAX; NOT FOUND; 300 MCG SOL INJ CT 1 SER PREENCH PLAS INC X 1 ML  ; NO_ACR
507714701113422; GEROVITAL; GEROVITAL; NOT FOUND; CAP GEL MOLE CT BL AL PLAS INC X 60; NO_ACR
531621901174414; GENTASONE; GENTASONE; NOT FOUND; 3 MG/ML + 1 MG/ML SOL OFT CT FR PLAS TRANS GOT X 5 ML; NO_ACR
532901902136419; GIARLAM; GIARLAM; NOT FOUND; 10 MG/ML SUS OR CT FR VD AMB X 70 ML; NO_ACR
500113070013806; GABAPENTINA (PORT. 344/98 – LISTA C1); GABAPENTINA PORT 344 98 LISTA C1; NOT FOUND; 300 MG CAP DURA CT BL AL AL X 10; NO_ACR
506901205118417; GAMIBETAL; GAMIBETAL; NOT FOUND; 300 MG CAP GEL DURA CT BL AL PLAS INC X 10 ; NO_ACR
531619101115411; GABANEURIN; GABANEURIN; NOT FOUND; 300 MG CAP GEL DURA CT BL AL PLAS LEIT X 30; NO_ACR
500113070013906; GABAPENTINA (PORT. 344/98 – LISTA C1); GABAPENTINA PORT 344 98 LISTA C1; NOT FOUND; 300 MG CAP DURA CT BL AL AL X 30; NO_ACR
506901203115410; GAMIBETAL; GAMIBETAL; NOT FOUND; 300 MG CAP GEL DURA CT BL AL PLAS INC X 30; NO_ACR
506904802117113; GABAPENTINA; GABAPENTINA; GABAPENTINA; 300 MG CAP GEL DURA CT BL AL PLAS INC X 30 ; NO_ACR
521106801117117; GABAPENTINA; GABAPENTINA; GABAPENTINA; 300 MG CAP GEL DURA CT BL AL PLAS INC X 30; NO_ACR
507736801110116; GABAPENTINA; GABAPENTINA; GABAPENTINA; 300 MG CAP GEL DURA CT BL AL PLAS LEIT X 30; NO_ACR
500113070014006; GABAPENTINA (PORT. 344/98 – LISTA C1); GABAPENTINA PORT 344 98 LISTA C1; NOT FOUND; 400 MG CAP DURA CT BL AL AL X 10; NO_ACR
531619102111411; GABANEURIN; GABANEURIN; NOT FOUND; 400 MG CAP GEL DURA CT BL AL PLAS LEIT X 30; NO_ACR
500113070014106; GABAPENTINA (PORT. 344/98 – LISTA C1); GABAPENTINA PORT 344 98 LISTA C1; NOT FOUND; 400 MG CAP DURA CT BL AL AL X 30; NO_ACR
506901204111419; GAMIBETAL; GAMIBETAL; NOT FOUND; 400 MG CAP GEL DURA CT BL AL PLAS INC X 30; NO_ACR
506904801110115; GABAPENTINA; GABAPENTINA; GABAPENTINA; 400 MG CAP GEL DURA CT BL AL PLAS INC X 30; NO_ACR
507736802117114; GABAPENTINA; GABAPENTINA; GABAPENTINA; 400 MG CAP GEL DURA CT BL AL PLAS LEIT X 30; NO_ACR
531619103118418; GABANEURIN; GABANEURIN; NOT FOUND; 600 MG COM REV CT BL AL PLAS OPC X 27; NO_ACR
507736803113112; GABAPENTINA; GABAPENTINA; GABAPENTINA; 600MG COM REV CT BL AL PLAS OPC X 27; NO_ACR
510015020039806; GENFIBROZILA; GENFIBROZILA; GENFIBROZILA; 600 MG COM REV CT BL AL PLAS OPC X 24   ; NO_ACR
510015020039906; GENFIBROZILA; GENFIBROZILA; GENFIBROZILA; 600 MG COM REV CT BL AL PLAS OPC X 240 (EMB HOSP)   ; NO_ACR
510015020040006; GENFIBROZILA; GENFIBROZILA; GENFIBROZILA; 600 MG COM REV CT BL AL PLAS OPC X 30 (EMB FRAC); NO_ACR
510015020040106; GENFIBROZILA; GENFIBROZILA; GENFIBROZILA; 600 MG COM REV CT BL AL PLAS OPC X 60 (EMB FRAC); NO_ACR
510015020040206; GENFIBROZILA; GENFIBROZILA; GENFIBROZILA; 600 MG COM REV CT BL AL PLAS OPC X 90 (EMB FRAC); NO_ACR
510015020040306; GENFIBROZILA; GENFIBROZILA; GENFIBROZILA; 900 MG COM REV CT BL AL PLAS OPC X 12 ; NO_ACR
510015020040406; GENFIBROZILA; GENFIBROZILA; GENFIBROZILA; 900 MG COM REV CT BL AL PLAS OPC X 200 (EMB HOSP); NO_ACR
510015020040506; GENFIBROZILA; GENFIBROZILA; GENFIBROZILA; 900 MG COM REV CT BL AL PLAS OPC X 30 (EMB FRAC); NO_ACR
510015020040606; GENFIBROZILA; GENFIBROZILA; GENFIBROZILA; 900 MG COM REV CT BL AL PLAS OPC X 60 (EMB FRAC); NO_ACR
510015020040706; GENFIBROZILA; GENFIBROZILA; GENFIBROZILA; 900 MG COM REV CT BL AL PLAS OPC X 90 (EMB FRAC); NO_ACR
531604701111117; GENFIBROZILA; GENFIBROZILA; GENFIBROZILA; 600 MG COM REV CT BL AL PLAS INC X 24   ; NO_ACR
507729401110116; GENFIBROZILA; GENFIBROZILA; GENFIBROZILA; 600 MG COM REV CT BL AL PLAS INC X 24  ; NO_ACR
541814030007106; GENFIBROZILA; GENFIBROZILA; GENFIBROZILA; 600 MG COM REV CT BL AL PLAS OPC X 24   ; NO_ACR
521106901111110; GENFIBROZILA; GENFIBROZILA; GENFIBROZILA; 600 MG COM REV CT BL AL PLAS INC X 30; NO_ACR
507729404111113; GENFIBROZILA; GENFIBROZILA; GENFIBROZILA; 600 MG COM REV CT BL AL PLAS INC X 60 (EMB FRAC); NO_ACR
531604702118115; GENFIBROZILA; GENFIBROZILA; GENFIBROZILA; 900 MG COM REV CT BL AL PLAS INC X 12  ; NO_ACR
507729402117114; GENFIBROZILA; GENFIBROZILA; GENFIBROZILA; 900 MG COM REV CT BL AL PLAS INC X 12; NO_ACR
541814030007206; GENFIBROZILA; GENFIBROZILA; GENFIBROZILA; 900 MG COM REV CT BL AL PLAS OPC X 12 ; NO_ACR
507729403113112; GENFIBROZILA; GENFIBROZILA; GENFIBROZILA; 900 MG COM REV CT BL AL PLAS INC X 60 (EMB FRAC) ; NO_ACR
531608901115119; GLIBENCLAMIDA; GLIBENCLAMIDA; GLIBENCLAMIDA; 5 MG COM CT BL AL PLAS INC X 30 ; NO_ACR
531611901112411; GLIBENDIAB; GLIBENDIAB; NOT FOUND; 5 MG COM CT BL AL PVDC BCO LEIT X 30 ; NO_ACR
521107001114111; GLIBENCLAMIDA; GLIBENCLAMIDA; GLIBENCLAMIDA; 5 MG COM CT BL AL PLAS INC X 30 ; NO_ACR
507730201111112; GLIBENCLAMIDA; GLIBENCLAMIDA; GLIBENCLAMIDA; 5 MG COM CT BL AL PLAS INC X 30 ; NO_ACR
517002801112416; GLIBENCLAMIDA; GLIBENCLAMIDA; GLIBENCLAMIDA; 5 MG COMP CX 50 ENV ALUM X 10; NO_ACR
507730202118110; GLIBENCLAMIDA; GLIBENCLAMIDA; GLIBENCLAMIDA; 5 MG COM CT BL AL PLAS INC X 60; NO_ACR
505301501141416; GLICEROL; GLICEROL; GLICEROL; SUP RET CT STR X 6 (ADULTO); NO_ACR
505301502148414; GLICEROL; GLICEROL; GLICEROL; SUP RET CT STR X 6 (INFANTIL); NO_ACR
517002902156419; GLICOSE; GLICOSE; GLICOSE; 50% SOL INJ CX 100 AMP VD INC X 10 ML; NO_ACR
538000801118110; GLIMEPIRIDA; GLIMEPIRIDA; GLIMEPIRIDA; 1 MG COM CT BL AL PLAS INC X 10 ; NO_ACR
531623102112414; GLYCOPIRIDA; GLYCOPIRIDA; NOT FOUND; 1 MG COM CT BL AL PLAS OPC X 30; NO_ACR
505210201110119; GLIMEPIRIDA; GLIMEPIRIDA; GLIMEPIRIDA; 1 MG COM CT BL AL PLAS INC X 30; NO_ACR
521120503111116; GLIMEPIRIDA; GLIMEPIRIDA; GLIMEPIRIDA; 1 MG COM CT BL AL PLAS INC X 30; NO_ACR
507740603115111; GLIMEPIRIDA; GLIMEPIRIDA; GLIMEPIRIDA; 1 MG COM CT BL AL PLAS OPC X 30; NO_ACR
538000802114119; GLIMEPIRIDA; GLIMEPIRIDA; GLIMEPIRIDA; 1 MG COM CT BL AL PLAS INC X 30; NO_ACR
538000803110117; GLIMEPIRIDA; GLIMEPIRIDA; GLIMEPIRIDA; 1 MG COM CT BL AL PLAS INC X 450 (EMB HOSP); NO_ACR
538000804117115; GLIMEPIRIDA; GLIMEPIRIDA; GLIMEPIRIDA; 2 MG COM CT BL AL PLAS INC X 10; NO_ACR
531623103119412; GLYCOPIRIDA; GLYCOPIRIDA; NOT FOUND; 2 MG COM CT BL AL PLAS OPC X 30; NO_ACR
505210202117117; GLIMEPIRIDA; GLIMEPIRIDA; GLIMEPIRIDA; 2 MG COM CT BL AL PLAS INC X 30; NO_ACR
521120502113115; GLIMEPIRIDA; GLIMEPIRIDA; GLIMEPIRIDA; 2 MG COM CT BL AL PLAS INC X 30  ; NO_ACR
507731701118416; GLIANSOR; GLIANSOR; NOT FOUND; 2 MG COM CT BL AL PLAS INC X 30; NO_ACR
507740604111118; GLIMEPIRIDA; GLIMEPIRIDA; GLIMEPIRIDA; 2 MG COM CT BL AL PLAS OPC X 30; NO_ACR
538000805113113; GLIMEPIRIDA; GLIMEPIRIDA; GLIMEPIRIDA; 2 MG COM CT BL AL PLAS INC X 30; NO_ACR
538000806111114; GLIMEPIRIDA; GLIMEPIRIDA; GLIMEPIRIDA; 2 MG COM CT BL AL PLAS INC X 450 (EMB HOSP); NO_ACR
507740605118116; GLIMEPIRIDA; GLIMEPIRIDA; GLIMEPIRIDA; 2 MG COM CT BL AL PLAS OPC X 60; NO_ACR
538000807116111; GLIMEPIRIDA; GLIMEPIRIDA; GLIMEPIRIDA; 4 MG COM CT BL AL PLAS INC X 10
; NO_ACR
531623101116416; GLYCOPIRIDA; GLYCOPIRIDA; NOT FOUND; 4 MG COM CT BL AL PLAS OPC X 30; NO_ACR
505210203113115; GLIMEPIRIDA; GLIMEPIRIDA; GLIMEPIRIDA; 4 MG COM CT BL AL PLAS INC X 30; NO_ACR
521120501117117; GLIMEPIRIDA; GLIMEPIRIDA; GLIMEPIRIDA; 4 MG COM CT BL AL PLAS INC X 30   ; NO_ACR
507731702114414; GLIANSOR; GLIANSOR; NOT FOUND; 4 MG COM CT BL AL PLAS INC X 30; NO_ACR
507740601112113; GLIMEPIRIDA; GLIMEPIRIDA; GLIMEPIRIDA; 4 MG COM CT BL AL PLAS OPC X 30; NO_ACR
538000808112118; GLIMEPIRIDA; GLIMEPIRIDA; GLIMEPIRIDA; 4 MG COM CT BL AL PLAS INC X 30; NO_ACR
538000809119116; GLIMEPIRIDA; GLIMEPIRIDA; GLIMEPIRIDA; 4 MG COM CT BL AL PLAS INC X 450 (EMB HOSP); NO_ACR
507740602119111; GLIMEPIRIDA; GLIMEPIRIDA; GLIMEPIRIDA; 4 MG COM CT BL AL PLAS OPC X 60; NO_ACR
541312030007706; GLUCONATO DE CALCIO; GLUCONATO CALCIO; NOT FOUND; 100 MG/ML SOL INJ CX 100 AMP VD INC X 10 ML; NO_ACR
507726401136110; GUAIFENESINA; GUAIFENESINA; GUAIFENESINA; 13.33 MG/ML XPE CT FR PLAS AMB X 120 ML + CP MED  ; NO_ACR
515107102137416; GLYTEOL; GLYTEOL; NOT FOUND; 13.333 MG/ML XPE CT FR VD AMB X 100 ML + CP MED (SAB. BAUNILHA); NO_ACR
515107103133414; GLYTEOL; GLYTEOL; NOT FOUND; 13.333 MG/ML XPE CT FR VD AMB X 100 ML + CP MED (SAB. MORANGO); NO_ACR
515107104131415; GLYTEOL; GLYTEOL; NOT FOUND; 13.333 MG/ML XPE CT FR VD AMB X 120 ML + CP MED (SBR BAUNILHA); NO_ACR
515107105136410; GLYTEOL; GLYTEOL; NOT FOUND; 13.333 MG/ML XPE CT FR VD AMB X 120 ML + CP MED (SBR MORANGO); NO_ACR
515107101130418; GLYTEOL; GLYTEOL; NOT FOUND; 13.333 MG/ML XPE CT FR VD AMB X 150 ML + CP MED (SAB. BAUNILHA); NO_ACR
507726402132119; GUAIFENESINA; GUAIFENESINA; GUAIFENESINA; 16 MG/ML XPE CT FR PLAS AMB X 120 ML + CP MED    ; NO_ACR
514602201138416; GASTRONOL; GASTRONOL; NOT FOUND; 62 MG/ML SUS OR CT FR VD AMB X 100 ML; NO_ACR
514602202134414; GASTRONOL; GASTRONOL; NOT FOUND; 62 MG/ML SUS OR CT FR VD AMB X 200 ML ; NO_ACR
510913010003503; GAMA ANTI-D GRIFOLS; GAMA ANTI D GRIFOLS; NOT FOUND; 750 UI/ML SOL INJ CX SER PREENCH X 2 ML + AGULHA; NO_ACR
510912050002403; GAMA ANTI-TETANO GRIFOLS; GAMA ANTI TETANO GRIFOLS; NOT FOUND; 250 UI/ML SOL. INJ. CX. SERINGA X 1 ML + AGULHA ; NO_ACR
510912050002503; GAMA ANTI-TETANO GRIFOLS; GAMA ANTI TETANO GRIFOLS; NOT FOUND; 250 UI/ML SOL. INJ. CX. SERINGA X 2 ML + AGULHA; NO_ACR
510900503156418; GAMA ANTI-HEPATITE B GRIFOLS; GAMA ANTI HEPATITE B GRIFOLS; NOT FOUND; 100 UI SOL INJ CX AMP VD INC X 0.5 ML; NO_ACR
510913010003603; GAMA ANTI-HEPATITE B GRIFOLS; GAMA ANTI HEPATITE B GRIFOLS; NOT FOUND; 100 UI SOL INJ CX AMP VD INC X 0.5 ML + SER + AGU; NO_ACR
510900502151412; GAMA ANTI-HEPATITE B GRIFOLS; GAMA ANTI HEPATITE B GRIFOLS; NOT FOUND; 600 UI SOL INJ CX AMP VD INC X 3 ML ; NO_ACR
510913010003703; GAMA ANTI-HEPATITE B GRIFOLS; GAMA ANTI HEPATITE B GRIFOLS; NOT FOUND; 600 UI SOL INJ CX AMP VD INC X 3 ML  + SER + AGU; NO_ACR
510900501153411; GAMA ANTI-HEPATITE B GRIFOLS; GAMA ANTI HEPATITE B GRIFOLS; NOT FOUND; 1000 UI SOL INJ CX AMP VD INC X 5 ML  ; NO_ACR
510913010003803; GAMA ANTI-HEPATITE B GRIFOLS; GAMA ANTI HEPATITE B GRIFOLS; NOT FOUND; 1000 UI SOL INJ CX AMP VD INC X 5 ML  + SER + AGU; NO_ACR
510913120004203; GAMAGLOBULINA IM GRIFOLS; GAMAGLOBULINA IM GRIFOLS; NOT FOUND; 320 MG SOL INJ CX AMP VD INC X 2 ML + SER + AGU; NO_ACR
510913120004303; GAMAGLOBULINA IM GRIFOLS; GAMAGLOBULINA IM GRIFOLS; NOT FOUND; 800 MG SOL INJ CX AMP VD INC X 5 ML + SER + AGU; NO_ACR
541814030006904; GLIMATIN; GLIMATIN; NOT FOUND; 100 MG COM REV CT BL AL PLAS OPC X 60 ; NO_ACR
541814030007004; GLIMATIN; GLIMATIN; NOT FOUND; 400 MG COM REV CT BL AL PLAS OPC X 30 ; NO_ACR
531601501162317; GYNAZOLE-1; GYNAZOLE 1; NOT FOUND; 20 MG/G CREM VAG CT APLIC PRE-ENVAS X 5 G; NO_ACR
530902501163315; GYNO ICADEN; GYNO ICADEN; NOT FOUND; 10 MG/G CREM VAG CT BG X 40 G + 7 APLIC; NO_ACR
530902601117315; GYNO-ICADEN; GYNO ICADEN; NOT FOUND; 600 MG/OVULO CT 1 STRIP X 1 + LUVA; NO_ACR
530913070012203; GYNO ICADEN; GYNO ICADEN; NOT FOUND; 600 MG OVL CT STRIP  X 1 + DEDEIRA; NO_ACR
505204501167413; GINOTARIN; GINOTARIN; NOT FOUND; 20 MG/G CREM DERM BG CT X 28 G; NO_ACR
505204503178412; GINOTARIN; GINOTARIN; NOT FOUND; 20 MG/G PO POTE CT 30 G; NO_ACR
505204504166418; GINOTARIN; GINOTARIN; NOT FOUND; 20 MG/G CREM VAG CT BG AL X 50 + APLIC; NO_ACR
505204502171414; GINOTARIN; GINOTARIN; NOT FOUND; 20 MG-ML LOC TOP CT FR PLAS OPC X 30 ML; NO_ACR
516201101139418; GADUOL; GADUOL; NOT FOUND; FR C/ 10 ML; NO_ACR
511302201138410; GINOFLORAX; GINOFLORAX; NOT FOUND; 100 MILHOES/ML SUS GINEC CT 7 FLAC X 5 ML + 7 APLIC GINEC; NO_ACR
531700501160411; GINO-DERMAZINE; GINO DERMAZINE; NOT FOUND; 10 MG/G CREM VAG CT BG PLAS OPC X 30 G + 6 APLIC; NO_ACR
507714601161417; GENTAGRAN; GENTAGRAN; NOT FOUND; POM OT BISN C/3 G; NO_ACR
511302101168415; GINCONAZOL; GINCONAZOL; NOT FOUND; 40 MG/5G CREM VAG CT BG AL X 30 G + 5 APLIC X 5 G; NO_ACR
532907101161414; GYMBEM; GYMBEM; NOT FOUND; 20 MG/G + 30 MG/G CREM VAG CT BG AL X 35 G + 7 APLIC ; NO_ACR
