531613701110411; AGLUCOSE; AGLUCOSE; NOT FOUND; 100 MG COM CT 3 BL AL PVDC LEIT X 10; NO_ACR
507730601160110; ADAPALENO; ADAPALENO; ADAPALENO; 1 MG/G CREM DERM CT BG AL X 30 G; NO_ACR
507730602167119; ADAPALENO; ADAPALENO; ADAPALENO; 1 MG/G GEL CT BG AL X 30 G; NO_ACR
513214110001004; ALAGLU; ALAGLU; NOT FOUND; 200 MG/ML SOL INJ IV BOLS X 100 ML; NO_ACR
531608502113112; ALBENDAZOL; ALBENDAZOL; ALBENDAZOL; 200 MG COM MAST CT BL AL PLAS OPC X 2 ; NO_ACR
507700803113111; ALBENDAZOL; ALBENDAZOL; ALBENDAZOL; 200 MG COM MAST CT BL AL PLAS LEIT X 2 ; NO_ACR
507700801137110; ALBENDAZOL; ALBENDAZOL; ALBENDAZOL; 40 MG/ML SUS OR CT FR VD AMB X 10 ML ; NO_ACR
515106401130415; ALBENDY; ALBENDY; NOT FOUND; 40 MG/ML SUS OR CT FR VD AMB X 10 ML ; NO_ACR
531608501117114; ALBENDAZOL; ALBENDAZOL; ALBENDAZOL; 400 MG COM MAST CT BL AL PLAS OPC X 1 ; NO_ACR
507700802117113; ALBENDAZOL; ALBENDAZOL; ALBENDAZOL; 400 MG COM MAST CT STR X 1; NO_ACR
515106402110418; ALBENDY; ALBENDY; NOT FOUND; 400 MG COM MAST CX BL AL PLAS INC X 1; NO_ACR
513900102131410; ALBAVERMIN; ALBAVERMIN; NOT FOUND; FR COM 10 ML SUSP; NO_ACR
510900101155417; ALBUMINA HUMANA GRIFOLS 20%; ALBUMINA HUMANA GRIFOLS 20; NOT FOUND; 0.2 G/ML SOL INJ FA VD INC 10 ML; NO_ACR
510912120002603; ALBUMINA HUMANA GRIFOLS 20%; ALBUMINA HUMANA GRIFOLS 20; NOT FOUND; 0.2G/ML SOL INJ FA VD INC 100ML; NO_ACR
524614020001804; ALBIOMIN; ALBIOMIN; NOT FOUND; 200G/L SOL INJ CT FA VD INC X 100ML ; NO_ACR
502601805151414; ALBUREX 20; ALBUREX 20; NOT FOUND; 200G/L SOL INJ CT FA VD INC X 100ML  ; NO_ACR
502601801154419; ALBUREX 20; ALBUREX 20; NOT FOUND; 200G/L SOL INJ CT FA VD INC X 20ML ; NO_ACR
502601802150417; ALBUREX 20; ALBUREX 20; NOT FOUND; 200G/L SOL INJ CT 5 FA VD INC X 20ML ; NO_ACR
510900102151415; ALBUMINA HUMANA GRIFOLS 20%; ALBUMINA HUMANA GRIFOLS 20; NOT FOUND; 0.2G/ML SOL INJ FA VD INC 50ML; NO_ACR
524600401153417; ALBUMINA HUMANA 20%; ALBUMINA HUMANA 20; NOT FOUND; 20% SOL INJ CX FA INC X 50 ML; NO_ACR
524614020001704; ALBIOMIN; ALBIOMIN; NOT FOUND; 200G/L SOL INJ CT FA VD INC X 50ML; NO_ACR
502600101159411; ALBUMINAR; ALBUMINAR; NOT FOUND; 20 PCC CT FA VD INC X 50 ML; NO_ACR
502601803157415; ALBUREX 20; ALBUREX 20; NOT FOUND; 200G/L SOL INJ CT 5 FA VD INC X 50ML  ; NO_ACR
502601804153413; ALBUREX 20; ALBUREX 20; NOT FOUND; 200G/L SOL INJ CT FA VD INC X 50ML; NO_ACR
510913080003903; ALBUMINA HUMANA GRIFOLS; ALBUMINA HUMANA GRIFOLS; NOT FOUND; 0.05G/ML SOL INJ FA VD INC 100ML ; NO_ACR
510913080004003; ALBUMINA HUMANA GRIFOLS; ALBUMINA HUMANA GRIFOLS; NOT FOUND; 0.05G/ML SOL INJ FA VD INC 250ML; NO_ACR
510913080004103; ALBUMINA HUMANA GRIFOLS; ALBUMINA HUMANA GRIFOLS; NOT FOUND; 0.05G/ML SOL INJ FA VD INC 500ML; NO_ACR
522714080041104; ALENOST; ALENOST; NOT FOUND; 70 MG COM CT BL AL PVC TRANS X 2 ; NO_ACR
522714080041204; ALENOST; ALENOST; NOT FOUND; 70 MG COM CT BL AL PVC TRANS X 4; NO_ACR
522714080041304; ALENOST; ALENOST; NOT FOUND; 70 MG COM CT BL AL PVC TRANS X 8; NO_ACR
522714080041404; ALENOST; ALENOST; NOT FOUND; 70 MG COM CT BL AL PVC TRANS X 12; NO_ACR
522714080041504; ALENOST; ALENOST; NOT FOUND; 70 MG COM CT BL AL PVDC TRANS X 2 ; NO_ACR
522714080041604; ALENOST; ALENOST; NOT FOUND; 70 MG COM CT BL AL PVDC TRANS X 4; NO_ACR
522714080041704; ALENOST; ALENOST; NOT FOUND; 70 MG COM CT BL AL PVDC TRANS X 8; NO_ACR
522714080041804; ALENOST; ALENOST; NOT FOUND; 70 MG COM CT BL AL PVDC TRANS X 12; NO_ACR
507731501119419; ALENDRONATO SÓDICO; ALENDRONATO SODICO; NOT FOUND; 70 MG COM CT BL AL PLAS LEIT X 2; NO_ACR
506902902114111; ALENDRONATO DE SÓDIO; ALENDRONATO SODIO; NOT FOUND; 70 MG COM CT BL AL PLAS INC X 4; NO_ACR
521113090058706; ALENDRONATO DE SODIO; ALENDRONATO SODIO; NOT FOUND; 70 MG COM CT BL AL/AL X 4; NO_ACR
507731502115115; ALENDRONATO SÓDICO; ALENDRONATO SODICO; NOT FOUND; 70 MG COM CT BL AL PLAS LEIT X 4; NO_ACR
507739701117415; ALENDÓSSEO; ALENDOSSEO; NOT FOUND; 70 MG COM CT BL AL PLAS OPC X 4; NO_ACR
519514100023402; ARANESP; ARANESP; NOT FOUND; 25 MCG / ML SOL INJ CT SER PREENC VD TRANS X 0.4 ML + AGU ; NO_ACR
519514100023502; ARANESP; ARANESP; NOT FOUND; 25 MCG / ML SOL INJ CT 4 SER PREENC VD TRANS X 0.4 ML + AGU  ; NO_ACR
519514100023602; ARANESP; ARANESP; NOT FOUND; 40 MCG / ML SOL INJ CT SER PREENC VD TRANS X 0.5 ML + AGU  ; NO_ACR
519514100023702; ARANESP; ARANESP; NOT FOUND; 40 MCG / ML SOL INJ CT 4 SER PREENC VD TRANS X 0.5 ML + AGU   ; NO_ACR
519514100023802; ARANESP; ARANESP; NOT FOUND; 100 MCG / ML SOL INJ CT SER PREENC VD TRANS X 0.3 ML + AGU   ; NO_ACR
519514100023902; ARANESP; ARANESP; NOT FOUND; 100 MCG / ML SOL INJ CT 4 SER PREENC VD TRANS X 0.3 ML + AGU; NO_ACR
519514100024002; ARANESP; ARANESP; NOT FOUND; 100 MCG / ML SOL INJ CT SER PREENC VD TRANS X 0.4 ML + AGU    ; NO_ACR
519514100024102; ARANESP; ARANESP; NOT FOUND; 100 MCG / ML SOL INJ CT 4 SER PREENC VD TRANS X 0.4 ML + AGU; NO_ACR
519514100024202; ARANESP; ARANESP; NOT FOUND; 100 MCG / ML SOL INJ CT SER PREENC VD TRANS X 0.5 ML + AGU     ; NO_ACR
519514100024302; ARANESP; ARANESP; NOT FOUND; 100 MCG / ML SOL INJ CT 4 SER PREENC VD TRANS X 0.5 ML + AGU; NO_ACR
519514100024402; ARANESP; ARANESP; NOT FOUND; 200 MCG / ML SOL INJ CT SER PREENC VD TRANS X 0.3 ML + AGU      ; NO_ACR
519514100024502; ARANESP; ARANESP; NOT FOUND; 200 MCG / ML SOL INJ CT 4 SER PREENC VD TRANS X 0.3 ML + AGU ; NO_ACR
519514100024602; ARANESP; ARANESP; NOT FOUND; 200 MCG / ML SOL INJ CT SER PREENC VD TRANS X 0.4 ML + AGU       ; NO_ACR
519514100024702; ARANESP; ARANESP; NOT FOUND; 200 MCG / ML SOL INJ CT 4 SER PREENC VD TRANS X 0.4 ML + AGU; NO_ACR
519514100024802; ARANESP; ARANESP; NOT FOUND; 200 MCG / ML SOL INJ CT SER PREENC VD TRANS X 0.5 ML + AGU        ; NO_ACR
519514100024902; ARANESP; ARANESP; NOT FOUND; 200 MCG / ML SOL INJ CT 4 SER PREENC VD TRANS X 0.5 ML + AGU; NO_ACR
519514100025002; ARANESP; ARANESP; NOT FOUND; 500 MCG / ML SOL INJ CT SER PREENC VD TRANS X 0.3 ML + AGU         ; NO_ACR
519514100025102; ARANESP; ARANESP; NOT FOUND; 500 MCG / ML SOL INJ CT 4 SER PREENC VD TRANS X 0.3 ML + AGU; NO_ACR
519514100025202; ARANESP; ARANESP; NOT FOUND; 500 MCG / ML SOL INJ CT SER PREENC VD TRANS X 0.6 ML + AGU          ; NO_ACR
519514100025302; ARANESP; ARANESP; NOT FOUND; 500 MCG / ML SOL INJ CT 4 SER PREENC VD TRANS X 0.6 ML + AGU; NO_ACR
519514100025402; ARANESP; ARANESP; NOT FOUND; 500 MCG / ML SOL INJ CT SER PREENC VD TRANS X 1.0 ML + AGU           ; NO_ACR
519514100025502; ARANESP; ARANESP; NOT FOUND; 500 MCG / ML SOL INJ CT 4 SER PREENC VD TRANS X 1.0 ML + AGU           ; NO_ACR
541912100001704; ALFAEPOETINA; ALFAEPOETINA; ALFAEPOETINA; 2000 UI SOL INJ CT 10 FA VD INC X 1 ML; NO_ACR
541912100001904; ALFAEPOETINA; ALFAEPOETINA; ALFAEPOETINA; 2000 UI SOL INJ CT 12 FA VD INC X 1 ML ; NO_ACR
541912100001804; ALFAEPOETINA; ALFAEPOETINA; ALFAEPOETINA; 4000 UI SOL INJ CT 10 FA VD INC X 1 ML; NO_ACR
541912100002004; ALFAEPOETINA; ALFAEPOETINA; ALFAEPOETINA; 4000 UI SOL INJ CT 12 FA VD INC X 1 ML ; NO_ACR
519513070020904; ALOZEX; ALOZEX; NOT FOUND; 0.25 MG/ML SOL CAP CT FR APLIC PLAS OPC X 100ML; NO_ACR
519513090021606; ALFAESTRADIOL; ALFAESTRADIOL; ALFAESTRADIOL; 0.25 MG/ML SOL CAP CT FR APLIC PLAS OPC X 100 ML; NO_ACR
541914050004204; ALFAINTERFERONA 2B; ALFAINTERFERONA 2B; ALFAINTERFERONA 2B; 3000000 UI PO LIOF INJ CT 1 FA VD INC X 1 DOS + 1 AMP SOL DIL; NO_ACR
541914050004304; ALFAINTERFERONA 2B; ALFAINTERFERONA 2B; ALFAINTERFERONA 2B; 10000000 UI PO LIOF INJ CT 1 FA VD INC X 1 DOS + 1 AMP SOL DIL; NO_ACR
541914050004404; ALFAINTERFERONA 2B; ALFAINTERFERONA 2B; ALFAINTERFERONA 2B; 5000000 UI PO LIOF INJ CT 1 FA VD INC X 1 DOS + 1 AMP SOL DIL; NO_ACR
541914050004504; ALFAINTERFERONA 2B; ALFAINTERFERONA 2B; ALFAINTERFERONA 2B; 3000000 UI PO LIOF INJ CT 3 FA VD INC X 1 DOS + 3 AMP SOL DIL  ; NO_ACR
541914050004604; ALFAINTERFERONA 2B; ALFAINTERFERONA 2B; ALFAINTERFERONA 2B; 5000000 UI PO LIOF INJ CT 3 FA VD INC X 1 DOS + 3 AMP SOL DIL   ; NO_ACR
541914050004704; ALFAINTERFERONA 2B; ALFAINTERFERONA 2B; ALFAINTERFERONA 2B; 10000000 UI PO LIOF INJ CT 3 FA VD INC X 1 DOS + 3 AMP SOL DIL  ; NO_ACR
521107501151415; ALFAINTERFERONA 2B (RECOMBINANTE); ALFAINTERFERONA 2B RECOMBINANTE; NOT FOUND; 10.000.000 UI PO LIOF INJ CT 5 FA VD INC + 5 AMP DIL X 1 ML; NO_ACR
521107502156410; ALFAINTERFERONA 2B (RECOMBINANTE); ALFAINTERFERONA 2B RECOMBINANTE; NOT FOUND; 3.000.000 UI PO LIOF INJ CT 5 FA VD INC + 5 AMP DIL X 1 ML; NO_ACR
521107503152419; ALFAINTERFERONA 2B (RECOMBINANTE); ALFAINTERFERONA 2B RECOMBINANTE; NOT FOUND; 5.000.000 UI PO LIOF INJ CT 5 FA VD INC + 5 AMP DIL X 1 ML; NO_ACR
542614030001704; ALDIJET; ALDIJET; NOT FOUND; 150 MG/ML + 10 MG/ML SOL INJ IM CT AMP VD AMB X 1 ML ; NO_ACR
507733001156117; ALGESTONA ACETONIDA + ENANTATO DE ESTRADIOL; ALGESTONA ACETONIDA ENANTATO ESTRADIOL; NOT FOUND; 150 MG/ML + 10 MG/ML SOL INJ IM CT AMP VD AMB X 1 ML ; NO_ACR
531615501151110; ALGESTONA ACETONIDA + ENANTATO DE ESTRADIOL; ALGESTONA ACETONIDA ENANTATO ESTRADIOL; NOT FOUND; 150 MG/ML + 10 MG/ML SOL INJ IM CT AMP VD AMB X 1 ML ; NO_ACR
531620206111411; ALFRON; ALFRON; NOT FOUND; 0.25 MG COM CT BL AL PVDC BCO LEIT X 20 ; NO_ACR
506900201119119; ALPRAZOLAM; ALPRAZOLAM; ALPRAZOLAM; 0.25 MG COM CT BL AL PLAS INC X 20; NO_ACR
507727801111113; ALPRAZOLAM; ALPRAZOLAM; ALPRAZOLAM; 0.25 MG COM CT BL AL PLAS INC X 20 ; NO_ACR
531620207118418; ALFRON; ALFRON; NOT FOUND; 0.25 MG COM CT BL AL PVDC BCO LEIT X 30; NO_ACR
507727804110118; ALPRAZOLAM; ALPRAZOLAM; ALPRAZOLAM; 0.25 MG COM CT BL AL PLAS INC X 30 ; NO_ACR
531620203112415; ALFRON; ALFRON; NOT FOUND; 0.5 MG COM CT BL AL PVDC BCO LEIT X 20; NO_ACR
506900203111115; ALPRAZOLAM; ALPRAZOLAM; ALPRAZOLAM; 0.5 MG COM CT BL AL PLAS INC X 20; NO_ACR
507727802118111; ALPRAZOLAM; ALPRAZOLAM; ALPRAZOLAM; 0.5 MG COM CT BL AL PLAS INC X 20 ; NO_ACR
531620208114416; ALFRON; ALFRON; NOT FOUND; 0.5 MG COM CT BL AL PVDC BCO LEIT X 30; NO_ACR
521112030052006; ALPRAZOLAM; ALPRAZOLAM; ALPRAZOLAM; 0.5 MG COM CT BL AL PLAS INC X 30; NO_ACR
507727805117116; ALPRAZOLAM; ALPRAZOLAM; ALPRAZOLAM; 0.5 MG COM CT BL AL PLAS INC X 30; NO_ACR
531620205115411; ALFRON; ALFRON; NOT FOUND; 1 MG COM CT BL AL PVDC BCO LEIT X 20; NO_ACR
506900205114111; ALPRAZOLAM; ALPRAZOLAM; ALPRAZOLAM; 1.0 MG COM CT BL AL PLAS INC X 20; NO_ACR
507727803114111; ALPRAZOLAM; ALPRAZOLAM; ALPRAZOLAM; 1 MG COM CT BL AL PLAS INC X 20 ; NO_ACR
531620204119413; ALFRON; ALFRON; NOT FOUND; 1 MG COM CT BL AL PVDC BCO LEIT X 30; NO_ACR
521112010051806; ALPRAZOLAM; ALPRAZOLAM; ALPRAZOLAM; 1.0 MG COM CT BL AL PLAS INC X 30; NO_ACR
507727806113114; ALPRAZOLAM; ALPRAZOLAM; ALPRAZOLAM; 1 MG COM CT BL AL PLAS INC X 30; NO_ACR
531620201111411; ALFRON; ALFRON; NOT FOUND; 2 MG COM CT BL AL PVDC BCO LEIT X 20; NO_ACR
507727807111115; ALPRAZOLAM; ALPRAZOLAM; ALPRAZOLAM; 2 MG COM CT BL AL PLAS INC X 20; NO_ACR
531620202116417; ALFRON; ALFRON; NOT FOUND; 2 MG COM CT BL AL PVDC BCO LEIT X 30; NO_ACR
521112010051906; ALPRAZOLAM; ALPRAZOLAM; ALPRAZOLAM; 2.0 MG COM CT BL AL PLAS INC X 30; NO_ACR
507727808116110; ALPRAZOLAM; ALPRAZOLAM; ALPRAZOLAM; 2 MG COM CT BL AL PLAS INC X 30; NO_ACR
531622001150411; ALPRODIL; ALPRODIL; NOT FOUND; 20 MCG/ML SOL INJ CT 2 AMP VD AMB X 1 ML  ; NO_ACR
500102505138116; AMOXICILINA; AMOXICILINA; AMOXICILINA; 100 MG/ ML PO P/ SUS OR CT FR VD AMB X 150 ML + COL MED; NO_ACR
510613020049903; AMOXIL; AMOXIL; NOT FOUND; 500 MG/5 ML PO SUS OR CT FR VD TRANS X 150 ML ; NO_ACR
510613020049703; AMOXIL; AMOXIL; NOT FOUND; 125 MG/5 ML PO SUS OR CT FR VD TRANS X 150 ML ; NO_ACR
500102506134114; AMOXICILINA; AMOXICILINA; AMOXICILINA; 50 MG/ ML PO P/ SUS OR CT FR VD AMB X 150 ML + COL MED; NO_ACR
510613020049803; AMOXIL; AMOXIL; NOT FOUND; 250 MG/5 ML PO SUS OR CT FR VD TRANS X 150 ML ; NO_ACR
505200604131419; AMOXITAN; AMOXITAN; NOT FOUND; 50 MG/ML PO PREP EXTEMP SUS OR CT FR VD AMB X 150 ML; NO_ACR
505200601132414; AMOXITAN; AMOXITAN; NOT FOUND; 50 MG/ML PO PREP EXTEMP SUS OR CT FR VD AMB X 60 ML; NO_ACR
538600102113118; AMOXICILINA; AMOXICILINA; AMOXICILINA; 500 MG CAP GEL DURA CT BL AL PLAS INC X 100 (EMB HOSP); NO_ACR
538600103111119; AMOXICILINA; AMOXICILINA; AMOXICILINA; 500 MG CAP GEL DURA CT BL AL PLAS INC X 1000(EMB HOSP); NO_ACR
505200602112417; AMOXITAN; AMOXITAN; NOT FOUND; 500 MG CAP GEL DURA CT BL AL PLAS INC X 12; NO_ACR
500102501116118; AMOXICILINA; AMOXICILINA; AMOXICILINA; 500 MG CAP GEL DURA CT BL AL PLAS INC X 15; NO_ACR
538600104116114; AMOXICILINA; AMOXICILINA; AMOXICILINA; 500 MG CAP GEL DURA CT BL AL PLAS INC X 15; NO_ACR
538600105112112; AMOXICILINA; AMOXICILINA; AMOXICILINA; 500 MG CAP GEL DURA CT BL AL PLAS INC X 200 (EMB HOSP); NO_ACR
531608602118116; AMOXICILINA; AMOXICILINA; AMOXICILINA; 500 MG COM CT BL AL PLAS LEIT X 21; NO_ACR
531608603114114; AMOXICILINA; AMOXICILINA; AMOXICILINA; 500 MG CAP GEL DURA CT BL AL PLAS INC X 21; NO_ACR
500102503119114; AMOXICILINA; AMOXICILINA; AMOXICILINA; 500 MG CAP GEL DURA CT BL AL PLAS INC X 21; NO_ACR
538600106119110; AMOXICILINA; AMOXICILINA; AMOXICILINA; 500 MG CAP GEL DURA CT BL AL PLAS INC X 21; NO_ACR
500102502112116; AMOXICILINA; AMOXICILINA; AMOXICILINA; 500 MG CAP GEL DURA CT BL AL PLAS INC X 30; NO_ACR
538600107115119; AMOXICILINA; AMOXICILINA; AMOXICILINA; 500 MG CAP GEL DURA CT BL AL PLAS INC X 30; NO_ACR
507735401119118; AMOXICILINA TRIIDRATADA; AMOXICILINA TRIIDRATADA; NOT FOUND; 500 MG CAP GEL DURA CT BL AL PLAS INC X 30; NO_ACR
500102504115112; AMOXICILINA; AMOXICILINA; AMOXICILINA; 500 MG CAP GEL DURA CT BL AL PLAS INC X 350 (EMB HOSP); NO_ACR
538600101117111; AMOXICILINA; AMOXICILINA; AMOXICILINA; 500 MG CAP GEL DURA CT BL AL PLAS INC X 500 (EMB HOSP); NO_ACR
505200603119415; AMOXITAN; AMOXITAN; NOT FOUND; 500 MG CAP GEL DURA CT BL AL PLAS INC X 6; NO_ACR
531608601111118; AMOXICILINA; AMOXICILINA; AMOXICILINA; 875 MG COM REV CT BL AL AL X 14; NO_ACR
541512030000416; AMOXICILINA + CLAVULANATO DE POTÁSSIO; AMOXICILINA CLAVULANATO POTASSIO; NOT FOUND; 500 MG + 100 MG PO P/ SOL INJ IV CX 50 FA VD INC X 10 ML (EMB HOSP); NO_ACR
521114090060306; AMOXICILINA + CLAVULANATO DE POTÁSSIO; AMOXICILINA CLAVULANATO POTASSIO; NOT FOUND; 875 MG + 125 MG COM REV CT FR VD AMB X 14; NO_ACR
521114090060406; AMOXICILINA + CLAVULANATO DE POTÁSSIO; AMOXICILINA CLAVULANATO POTASSIO; NOT FOUND; 875 MG + 125 MG COM REV CT FR VD AMB X 20; NO_ACR
500114080016606; AMOXICILINA; AMOXICILINA; AMOXICILINA; 500 MG CAP GEL DURA CT BL AL PLAS INC X 70 (EMB HOSP) ; NO_ACR
500114080016706; AMOXICILINA; AMOXICILINA; AMOXICILINA; 500 MG CAP GEL DURA CT BL AL PLAS INC X 140 (EMB HOSP) ; NO_ACR
510600603139311; AMOXIL; AMOXIL; NOT FOUND;  500 MG/5 ML PO EXT CT FR VD AMB X 150 ML; NO_ACR
510600601136315; AMOXIL; AMOXIL; NOT FOUND; 125 MG/5 ML PO PREP EXT CT FR VD AMB X 150 ML; NO_ACR
510600701130319; AMOXIL BD; AMOXIL BD; NOT FOUND; 200MG / 5ML PO SUS OR CT FR VD AMB X 100 ML; NO_ACR
510600602132313; AMOXIL; AMOXIL; NOT FOUND; 250 MG/5ML PO EXT CT FR VD AMB X 150 ML; NO_ACR
521125702137116; AMOXICILINA TRIIDRATADA; AMOXICILINA TRIIDRATADA; NOT FOUND; 250 MG/5ML PO PREP EXT SUS OR CT FR VD AMB X 150 ML + SER DOS X 10 ML; NO_ACR
507701702132410; AMOX; AMOX; NOT FOUND; EMS - SUSP PO 250MG/5ML FR 150ML; NO_ACR
510600605115312; AMOXIL; AMOXIL; NOT FOUND; 500 MG CAP GEL DURA CT BL AL PLAS INC X 15; NO_ACR
521126402110113; AMOXICILINA; AMOXICILINA; AMOXICILINA; 500 MG CAP GEL DURA CT BL AL PLAS INC X 15; NO_ACR
505600601113415; AXEPEN; AXEPEN; NOT FOUND; 500 MG CAP GEL DURA CT BL AL PLAS INC X 200 (EMB HOSP); NO_ACR
541512030001014; AXEPEN; AXEPEN; NOT FOUND; 500 MG CAP GEL DURA CT BL AL PLAS INC X 200 (EMB HOSP); NO_ACR
