531612040066614; NATIVIT; NATIVIT; NOT FOUND; COM REV CT FR PLAS OPC X 30; NO_ACR
528101901110413; NEOSALDOR; NEOSALDOR; NOT FOUND; 30 MG + 300 MG + 30 MG COM REV CT BL AL PLAS INC X 20; NO_ACR
528101902117411; NEOSALDOR; NEOSALDOR; NOT FOUND; 30 MG + 300 MG +30 MG COM REV CX BL AL PLAS INC X 200 EMB HOSP; NO_ACR
507719202166416; NORIDERM; NORIDERM; NOT FOUND; 20 MG/G CREM DERM CT BG AL X 20 G; NO_ACR
515107204169414; NIZONAZOL; NIZONAZOL; NOT FOUND; 20 MG/G CREM DERM CT BG AL X 30 G; NO_ACR
515107201178412; NIZONAZOL; NIZONAZOL; NOT FOUND; 20 MG/ML SHAMP CT FR PLAS OPC X 100 ML; NO_ACR
507719201119414; NORIDERM; NORIDERM; NOT FOUND; 200 MG COM CT BL AL PLAS INC X 10; NO_ACR
502409101158414; NEVRIX IM; NEVRIX IM; NOT FOUND; 50 MG/ML + 50 MG/ML + 2500 MCG/ML SOL INJ IM CT 3 AMP VD AMB X 2 ML; NO_ACR
502409102154412; NEVRIX IM; NEVRIX IM; NOT FOUND; 50 MG/ML + 50 MG/ML + 2500 MCG/ML SOL INJ IM CT 6 AMP VD AMB X 2 ML; NO_ACR
502413020021103; NEVRIX IM; NEVRIX IM; NOT FOUND; 50 MG/ML + 50 MG/ML + 2500 MCG/ML SOL INJ CT 1 AMP VD AMB X 2 ML; NO_ACR
502413020021203; NEVRIX IM; NEVRIX IM; NOT FOUND; 50 MG/ML + 50 MG/ML + 2500 MCG/ML SOL INJ CT 2 AMP VD AMB X 2 ML; NO_ACR
502409201111411; NEVRIX; NEVRIX; NOT FOUND; 100 MG + 100 MG + 5000 MCG COM REV CT BL AL PVC INC X 20; NO_ACR
502409202116415; NEVRIX; NEVRIX; NOT FOUND; 100 MG + 100 MG + 5000 MCG COM REV CT BL AL PVC INC X 8; NO_ACR
505206402174418; NOVO RINO; NOVO RINO; NOT FOUND; S INFANTIL FR 15 ML; NO_ACR
505206401178411; NOVO RINO; NOVO RINO; NOT FOUND; 0.5 MG/ML SOL NAS CT FR PLAS OPC GOT X 15 ML; NO_ACR
531624102116418; NEUROTRYPT; NEUROTRYPT; NOT FOUND; 25 MG COM REV CT BL AL PLAS LEIT X 30; NO_ACR
531624101111412; NEUROTRYPT; NEUROTRYPT; NOT FOUND; 75 MG COM REV CT BL AL PLAS LEIT X 30; NO_ACR
505601006154419; NEPECEF; NEPECEF; NOT FOUND; 1000 MG PO SOL INJ CX 50 FA VD INC; NO_ACR
541512030001814; NEPECEF; NEPECEF; NOT FOUND; 1000 MG PO SOL INJ CT FA VD INC; NO_ACR
541512030001914; NEPECEF; NEPECEF; NOT FOUND; 1000 MG PO SOL INJ CX 50 FA VD INC + 50 AMP DIL X 3 ML ; NO_ACR
541512030002014; NEPECEF; NEPECEF; NOT FOUND; 2000 MG PO SOL INJ CT FA VD INC; NO_ACR
505601009153413; NEPECEF; NEPECEF; NOT FOUND; 500 MG PO SOL INJ CX 25 FA VD INC + 25 AMP DIL X 1.5 ML; NO_ACR
505601011158419; NEPECEF; NEPECEF; NOT FOUND; 500 MG PO SOL INJ CX 50 FA VD INC + 50 AMP DIL X 1.5 ML; NO_ACR
514800401176415; NASO-JOSP; NASO JOSP; NOT FOUND; 1.0 MG/ML +0.5 MG/ML SOL NAS CT FR VD AMB X 20 ML + CGT; NO_ACR
505612080036104; NEPEZIL; NEPEZIL; NOT FOUND; 10 MG COM REV CT BL AL/AL X 10 ; NO_ACR
505612080036204; NEPEZIL; NEPEZIL; NOT FOUND; 10 MG COM REV CT BL AL/AL X 30; NO_ACR
505612080035904; NEPEZIL; NEPEZIL; NOT FOUND; 5 MG COM REV CT BL AL/AL X 10; NO_ACR
505612080036004; NEPEZIL; NEPEZIL; NOT FOUND; 5 MG COM REV CT BL AL/AL X 30; NO_ACR
519507102153419; NUOVODOX; NUOVODOX; NOT FOUND; 50 MG PO LIOF INJ CT FA VD INC ; NO_ACR
532100101151410; NOVOCOL; NOVOCOL; NOT FOUND; CX.C/50 CARP.1.8ML; NO_ACR
507718102176411; NARIDRIN; NARIDRIN; NOT FOUND; 1.0 MG/ML + 0.2 MG/ML + 5 MG/ML SOL NAS CT FR PLAS OPC GOT X 15 ML; NO_ACR
507718103172411; NARIDRIN; NARIDRIN; NOT FOUND; 0.5 MG/ML + 0.2 MG/ML + 5 MG/ML SOL NAS CT FR PLAS OPC GOT X 15 ML ; NO_ACR
507718101171416; NARIDRIN; NARIDRIN; NOT FOUND; 1 MG/ML + 0.2 MG/ML + 5MG/ML SOL NAS CT FR PLAS OPC NEB X 30 ML; NO_ACR
531614060074904; NARATANO; NARATANO; NOT FOUND; 2.5MG COM REV CT BL AL PLAS OPC X 10; NO_ACR
531614060075004; NARATANO; NARATANO; NOT FOUND; 2.5MG COM REV CT BL AL PLAS OPC X 40 (EMB FRAC); NO_ACR
510614050051703; NARAMIG; NARAMIG; NOT FOUND; 2.5 MG COM REV CT BL AL / AL X 2; NO_ACR
510605201111316; NARAMIG; NARAMIG; NOT FOUND; 2.5 MG COM REV CT BL AL PLAS INC X 4; NO_ACR
507745801111413; NARATRIN; NARATRIN; NOT FOUND; 2.5 MG COM REV CT BL AL PLAS OPC X 4; NO_ACR
507500801151412; NANTRON; NANTRON; NOT FOUND; 4 MG/ML SOL INJ CT 5 AMP VD INC X 2 ML ; NO_ACR
507500803152416; NANTRON; NANTRON; NOT FOUND; 4 MG/ML SOL INJ CT 25 AMP VD INC X 2 ML ; NO_ACR
507500802156418; NANTRON; NANTRON; NOT FOUND; 8 MG/ML SOL INJ CT 5 AMP VD INC X 4 ML ; NO_ACR
507500804159414; NANTRON; NANTRON; NOT FOUND; 8 MG/ML SOL INJ CT 25 AMP VD INC X 4 ML ; NO_ACR
507719003139427; NOFEBRIN; NOFEBRIN; NOT FOUND; GOTAS FR C/10ML; NO_ACR
507719004135425; NOFEBRIN; NOFEBRIN; NOT FOUND; GOTAS FR C/20ML; NO_ACR
531614100077003; NIKI; NIKI; NOT FOUND; 3 MG + 0.02 MG COM REV CT BL AL PLAS OPC X 24; NO_ACR
531614100077103; NIKI; NIKI; NOT FOUND; 3 MG + 0.02 MG COM REV CT 3 BL AL PLAS OPC X 24; NO_ACR
527302401176313; NUVARING; NUVARING; NOT FOUND; 11.7 MG/2.7 MG ANEL VAG CT SACH X 1; NO_ACR
507718901117416; NOCICLIN; NOCICLIN; NOT FOUND; 0.15 MG + 0.03 MG COM CT BL AL PLAS INC X 21; NO_ACR
522702203117319; NORDETTE; NORDETTE; NOT FOUND; 0.15 MG + 0.03 MG 1 BL X 21 DRG; NO_ACR
522702204113317; NORDETTE; NORDETTE; NOT FOUND; 0.15 MG + 0.03 MG DRG CT BL AL PLAS INC X 63; NO_ACR
531602606111419; NEUTROFER; NEUTROFER; NOT FOUND; 100 MG COM MAST CT FR PLAS OPC X 30; NO_ACR
531602602116416; NEUTROFER; NEUTROFER; NOT FOUND; 30 MG COM REV CT FR PLAS OPC X 30; NO_ACR
531602607134412; NEUTROFER; NEUTROFER; NOT FOUND; 50 MG/ML SUS OR CT FR PLAS OPC GOT X 15 ML; NO_ACR
531602604135418; NEUTROFER; NEUTROFER; NOT FOUND; 50 MG/ML SUS OR CT FR PLAS OPC GOT X 30 ML; NO_ACR
531602603139411; NEUTROFER; NEUTROFER; NOT FOUND; 50 MG/ML SUS OR CT 20 FLAC X 5 ML; NO_ACR
531602605115410; NEUTROFER; NEUTROFER; NOT FOUND; 60 MG COM REV CT FR PLAS OPC X 30; NO_ACR
531625402131410; NEUTROFER FÓLICO; NEUTROFER FOLICO; NOT FOUND; 15 MG/ML + 0.5 MG/ML SUS OR CT 20 FLAC X 5 ML; NO_ACR
531625401117414; NEUTROFER FÓLICO; NEUTROFER FOLICO; NOT FOUND; 150 MG + 5 MG COM REV CT FR PLAS OPC X 30; NO_ACR
531625403136416; NEUTROFER FÓLICO; NEUTROFER FOLICO; NOT FOUND; 250 MG/ML + 0.2 MG/ML CT SUS OR CT FR PLAS OPC GOT X 30; NO_ACR
502403901111413; NASTERID - A; NASTERID A; NOT FOUND; NASTERID A / 1 MG COM REV CT 2 BL AL PLAS INC X 15; NO_ACR
538002202157417; NEUGRAST; NEUGRAST; NOT FOUND; 50 MG/ML SOL INJ CT FA VD INC X 10 ML; NO_ACR
538002203153415; NEUGRAST; NEUGRAST; NOT FOUND; 50 MG/ML SOL INJ CT FA VD INC X 20 ML; NO_ACR
538002201150419; NEUGRAST; NEUGRAST; NOT FOUND; 50 MG/ML SOL INJ CT FA VD INC X 5 ML; NO_ACR
537700801171312; NASONEX; NASONEX; NOT FOUND; 0.5 MG/G SUS NAS CT FR PLAS OPC SPR X 120 ATOMIZACOES ; NO_ACR
537700802178310; NASONEX; NASONEX; NOT FOUND; 0.5 MG/G SUS NAS CT FR PLAS OPC SPR X 60 ATOMIZACOES ; NO_ACR
542413080000002; NAGLAZYME; NAGLAZYME; NOT FOUND; 5.0 MG SOL INJ CT FA VD INC X 5 ML; NO_ACR
507718301136411; NEUROTONICO; NEUROTONICO; NOT FOUND; SOL FR C/480ML; NO_ACR
541813040005604; NEUROQUEL; NEUROQUEL; NOT FOUND; 300 MG COM REV CT BL AL PLAS OPC X 30; NO_ACR
535400201156411; NOREPINE; NOREPINE; NOT FOUND; 8 MG SOL INJ CX 10 AMP VD INC X 4 ML; NO_ACR
535413080000903; NOREPINE; NOREPINE; NOT FOUND; 8 MG SOL INJ CX AMP VD AMB X 4 ML; NO_ACR
535413080001003; NOREPINE; NOREPINE; NOT FOUND; 8 MG SOL INJ CX 10 AMP VD AMB X 4 ML; NO_ACR
507741101131419; NORMOLAX; NORMOLAX; NOT FOUND; 667 MG/ML XPE CT FR VD AMB X 120 ML + CP MED (SABOR AMEIXA) ; NO_ACR
505206302137413; NOVELMIN; NOVELMIN; NOT FOUND; LIQUIDO FR 30 ML; NO_ACR
521120402119111; NAPROXENO; NAPROXENO; NAPROXENO; 250 MG COM CT BL AL PVC X 15 ; NO_ACR
503600301113419; NAXOTEC; NAXOTEC; NOT FOUND; 250 MG COM CT BL AL PLAS INC X 24 ; NO_ACR
521120401112113; NAPROXENO; NAPROXENO; NAPROXENO; 500 MG COM CT BL AL PVC X 20 ; NO_ACR
503600302111411; NAXOTEC; NAXOTEC; NOT FOUND; 500 MG COM CT BL AL PLAS INC X 24 ; NO_ACR
510614120052703; NIQUITIN; NIQUITIN; NOT FOUND; 7 MG ADES TRANSD TRANS CT ENV AL PE X 7; NO_ACR
510614120052803; NIQUITIN; NIQUITIN; NOT FOUND; 14 MG ADES TRANSD TRANS CT ENV AL PE X 7; NO_ACR
510614120052903; NIQUITIN; NIQUITIN; NOT FOUND; 21 MG ADES TRANSD TRANS CT ENV AL PE X 7; NO_ACR
510605401178414; NIQUITIN; NIQUITIN; NOT FOUND; 14 MG ADES TRANSD CT ENV AL PE X 7; NO_ACR
539600102170311; NICORETTE; NICORETTE; NOT FOUND; 16.6 MG ADS TRANSD CT X 7 ENV AL; NO_ACR
539600201179317; NICORETTE FRESHFRUIT; NICORETTE FRESHFRUIT; NOT FOUND; 2 MG TABLE MAST CT BL AL PLAS INC X 30; NO_ACR
539600108111317; NICORETTE; NICORETTE; NOT FOUND; 2 MG TABLE MAST CT BL AL PLAS INC X 30; NO_ACR
510605405114313; NIQUITIN; NIQUITIN; NOT FOUND; 2 MG PAS CT BL AL/AL X 36  ; NO_ACR
510605406110311; NIQUITIN; NIQUITIN; NOT FOUND; 2 MG PAS BL AL/AL X 4  ; NO_ACR
510605402174412; NIQUITIN; NIQUITIN; NOT FOUND; 21 MG ADES TRANSD CT ENV AL PE X 7; NO_ACR
539600103177311; NICORETTE; NICORETTE; NOT FOUND; 24.9 MG ADS TRANSD CT X 7 ENV AL; NO_ACR
539600104173318; NICORETTE; NICORETTE; NOT FOUND; 4 MG GOMA MAST CT DISPLAY BL AL PLAS INC X 210 - MENTA; NO_ACR
539600105171319; NICORETTE; NICORETTE; NOT FOUND; 4 MG GOMA MAST CT BL AL PLAS INC X 30 - MENTA; NO_ACR
539600202175315; NICORETTE FRESHFRUIT; NICORETTE FRESHFRUIT; NOT FOUND; 4 MG TABLE MAST CT BL AL PLAS INC X 30; NO_ACR
539600107113316; NICORETTE; NICORETTE; NOT FOUND; 4 MG TABLE MAST CT BL AL PLAS INC X 30; NO_ACR
510605407117311; NIQUITIN; NIQUITIN; NOT FOUND; 4 MG PAS CT BL AL/AL X 36  ; NO_ACR
510605408113318; NIQUITIN; NIQUITIN; NOT FOUND; 4 MG PAS BL AL/AL X 4  ; NO_ACR
539600106176314; NICORETTE; NICORETTE; NOT FOUND; 4 MG GOMA MAST CT BL AL PLAS INC X 60 - MENTA; NO_ACR
510605404177419; NIQUITIN; NIQUITIN; NOT FOUND; 7 MG ADES TRANSD CT ENV AL PE X 7; NO_ACR
539600101174313; NICORETTE; NICORETTE; NOT FOUND; 8.3 MG ADS TRANSD CT X 7 ENV AL; NO_ACR
531624201114413; NIMESILAN; NIMESILAN; NOT FOUND; 100 MG COM CT BL AL PLAS INC X 12; NO_ACR
506903901111115; NIMESULIDA; NIMESULIDA; NIMESULIDA; 100 MG COM CT BL AL PLAS BCO OPC X 12; NO_ACR
532903001111412; NISALGEN; NISALGEN; NOT FOUND; 100 MG COM CT BL AL PLAS INC X 12; NO_ACR
521124902116114; NIMESULIDA; NIMESULIDA; NIMESULIDA; 100 MG COM CT BL AL PLAS INC X 12; NO_ACR
507718501119411; NIMESILAM; NIMESILAM; NOT FOUND; 100 MG COM CT BL AL PLAS INC X 12; NO_ACR
507718601113113; NIMESULIDA; NIMESULIDA; NIMESULIDA; 100 MG COM CT BL AL PLAS INC X 12; NO_ACR
514601302119419; NIXLIDE; NIXLIDE; NOT FOUND; 100 MG/ML COM CT BL AL PLAS INC X 12; NO_ACR
532903005166416; NISALGEN; NISALGEN; NOT FOUND; 20 MG/G GEL CT BG AL X 30 G; NO_ACR
507718603167113; NIMESULIDA; NIMESULIDA; NIMESULIDA; 20 MG/G GEL DERM CT BG AL X 30 G; NO_ACR
532903006162414; NISALGEN; NISALGEN; NOT FOUND; 20 MG/G GEL CT BG AL X 40 G; NO_ACR
532903002167411; NISALGEN; NISALGEN; NOT FOUND; 5 PCC GEL TOP  CT BG AL X 40 G; NO_ACR
531624202137417; NIMESILAN; NIMESILAN; NOT FOUND; 50 MG/ML SUS OR CT FR PLAS OPC GOT X 15 ML; NO_ACR
521124901136111; NIMESULIDA; NIMESULIDA; NIMESULIDA; 50 MG/ML SUS OR CT FR PLAS OPC GOT X 15 ML; NO_ACR
507718502131415; NIMESILAM; NIMESILAM; NOT FOUND; 50 MG/ML SUS OR CT FR PLAS OPC GOT X 15 ML; NO_ACR
507718602136117; NIMESULIDA; NIMESULIDA; NIMESULIDA; 50 MG/ML SUS OR CT FR PLAS OPC GOT X 15 ML; NO_ACR
514601304138410; NIXLIDE; NIXLIDE; NOT FOUND; 50 MG/ML SUS OR CT FR PLAS OPC GOT X 15 ML; NO_ACR
507301202116410; NIMOVAS; NIMOVAS; NOT FOUND; 30 MG COM REV CT 2 BL AL/AL X 5; NO_ACR
531618101111116; NIMODIPINO; NIMODIPINO; NIMODIPINO; 30 MG COM REV CT BL AL PLAS LEIT X 30; NO_ACR
507301201111415; NIMOVAS; NIMOVAS; NOT FOUND; 30 MG COM REV CT 6 BL AL/AL X 5; NO_ACR
507735601118115; NIMODIPINO; NIMODIPINO; NIMODIPINO; 30 MG COM REV CT BL AL PLAS LEIT X 30; NO_ACR
507735602114113; NIMODIPINO; NIMODIPINO; NIMODIPINO; 30 MG COM REV CT BL AL PLAS LEIT X 80 (EMB FRAC); NO_ACR
532315020008506; NISTATINA; NISTATINA; NISTATINA; 25000 UI/G CREM VAG CX 50 BG AL X 60 G + 700 APLIC (EMB HOSP); NO_ACR
532315020008606; NISTATINA; NISTATINA; NISTATINA; 25000 UI/G CREM VAG CX 100 BG AL X 60 G + 1400 APLIC  ; NO_ACR
505206202132411; NIDAZOLIN; NIDAZOLIN; NOT FOUND; 100.000 UI-ML SUS OR CT FR VD AMB GOT X 50 ML; NO_ACR
507718702130110; NISTATINA; NISTATINA; NISTATINA; 100.000 UI/ML SUS OR CT FR VD AMB X 50 ML + CGT; NO_ACR
505206201160411; NIDAZOLIN; NIDAZOLIN; NOT FOUND; 25.000 UI/G CREM VAG CT BG AL X 40 G + APLIC; NO_ACR
507718703171112; NISTATINA; NISTATINA; NISTATINA; 25.000 UI/G CREM VAG CT BG AL X 60 G + 14 APLIC; NO_ACR
531614702161115; NISTATINA; NISTATINA; NISTATINA; 25.000 UI/G CREM VAG CT BG AL X 60 G + 14 APLIC; NO_ACR
532301601161114; NISTATINA; NISTATINA; NISTATINA; 25000 UI/G CREM VAG CT BG AL X 60 G + 14 APLIC ; NO_ACR
532301602166111; NISTATINA; NISTATINA; NISTATINA; 25000 UI/G CREM VAG CX 100 BG AL X 60 G (EMB HOSP) + 1400 APLIC; NO_ACR
507718701169110; NISTATINA; NISTATINA; NISTATINA; 25.000 UI/G CREM VAG CT BG AL X 60 G + APLIC; NO_ACR
507729701165110; NISTATINA + ÓXIDO DE ZINCO; NISTATINA OXIDO ZINCO; NOT FOUND; 100.000 UI/G + 200 MG/G POM DERM CT BG AL X 60 G  ; NO_ACR
507743501161117; NITRATO DE FENTICONAZOL; NITRATO FENTICONAZOL; NITRATO FENTICONAZOL; 0.02 G/G CREM VAG CT BG AL X 40 G + 7 APL; NO_ACR
531612402160117; NITRATO DE ISOCONAZOL; NITRATO ISOCONAZOL; NITRATO ISOCONAZOL; 10 MG/G CREM DERM CT BG AL X 20G; NO_ACR
507729801161117; NITRATO DE ISOCONAZOL; NITRATO ISOCONAZOL; NITRATO ISOCONAZOL; 10 MG/G CREM DERM CT BG AL X 20 G; NO_ACR
531612401164119; NITRATO DE ISOCONAZOL; NITRATO ISOCONAZOL; NITRATO ISOCONAZOL; 10 MG/G CREM VAG CT BG AL X 40 G + 7 APLIC; NO_ACR
507729802166112; NITRATO DE ISOCONAZOL; NITRATO ISOCONAZOL; NITRATO ISOCONAZOL; 10 MG/G CREM VAG CT BG AL X 40 G + 7 APLIC; NO_ACR
502404001163113; NITRATO ISOCONAZOL; NITRATO ISOCONAZOL; NITRATO ISOCONAZOL; 10 MG/G CREM VAG CT BG AL X 40 G + 7 APLIC DESC X 5 G; NO_ACR
531607901111115; NITRATO DE MICONAZOL; NITRATO MICONAZOL; NITRATO MICONAZOL; 20 MG/G PO TOP CT FR PLAS OPC X 30 G; NO_ACR
507725703163112; NITRATO DE MICONAZOL; NITRATO MICONAZOL; NITRATO MICONAZOL; 20 MG/G CREM DERM CT BG AL X 28 G; NO_ACR
507718801171117; NITRATO DE MICONAZOL; NITRATO MICONAZOL; NITRATO MICONAZOL; 20 MG/G PO TOP CT FR PLAS OPC X 30 G; NO_ACR
507725701071113; NITRATO DE MICONAZOL; NITRATO MICONAZOL; NITRATO MICONAZOL; 20 MG/G LOC CREM CT FR PLAS OPC X 30 G; NO_ACR
531607902169117; NITRATO DE MICONAZOL; NITRATO MICONAZOL; NITRATO MICONAZOL; 20 MG/G CREM VAG CT BG AL X 80 G + 14 APLIC; NO_ACR
507725702167114; NITRATO DE MICONAZOL; NITRATO MICONAZOL; NITRATO MICONAZOL; 20 MG/G CREM VAG CT BG AL X 80 G + 14 APLIC; NO_ACR
531607601118114; NITRAZEPAM; NITRAZEPAM; NITRAZEPAM; 5 MG COM CT BL AL PLAS BCO LEIT X 20; NO_ACR
507727401113119; NITRAZEPAM; NITRAZEPAM; NITRAZEPAM; 5 MG COM CT BL AL PLAS BCO LEIT X 20; NO_ACR
521110201110314; NITRENCORD; NITRENCORD; NOT FOUND; 10 MG COM REV CT BL AL PLAST AMB X 30; NO_ACR
521110301115113; NITRENDIPINO; NITRENDIPINO; NITRENDIPINO; 10 MG COM REV CT BL AL PLAS AMB X 30; NO_ACR
521110202117312; NITRENCORD; NITRENCORD; NOT FOUND; 20 MG COM REV CT BL AL PLAST AMB X 30; NO_ACR
521110302111111; NITRENDIPINO; NITRENDIPINO; NITRENDIPINO; 20 MG COM REV CT BL AL PLAS AMB X 30  ; NO_ACR
522712080026006; NITROFURANTOINA; NITROFURANTOINA; NITROFURANTOINA; 100 MG CAP GEL DURACT BL AL PLAS INC X 140 (EMB HOSP); NO_ACR
522712080025906; NITROFURANTOINA; NITROFURANTOINA; NITROFURANTOINA; 100 MG CAP GEL DURACT BL AL PLAS INC X 28; NO_ACR
522712080026106; NITROFURANTOINA; NITROFURANTOINA; NITROFURANTOINA; 100 MG CAP GEL DURACT BL AL PLAS INC X 280 (EMB HOSP); NO_ACR
531622501171319; NITRONAL; NITRONAL; NOT FOUND; 0.4 MG/DOSE LIQ PULV CT FR VD INC NEBUL X 4.5 ML (60 DOSES); NO_ACR
523500101151417; NPS; NPS; NOT FOUND; 50 MG PO INJ CX 25 FA VD AMB ; NO_ACR
531613101113411; NORF; NORF; NOT FOUND; 400 MG COM REV CT FR PLAS OPC X 14; NO_ACR
528112050011806; NORFLOXACINO; NORFLOXACINO; NORFLOXACINO; 400 MG COM REV CT STR AL X 14; NO_ACR
528112100015104; NORFLOXINOX; NORFLOXINOX; NOT FOUND; 400 MG COM REV CT STR AL X 14; NO_ACR
521110501114110; NORFLOXACINO; NORFLOXACINO; NORFLOXACINO; 400 MG COM REV CT STR AL X 14; NO_ACR
507719101114119; NORFLOXACINO; NORFLOXACINO; NORFLOXACINO; 400 MG COM REV CT BL AL PLAS INC X 14  ; NO_ACR
505604903114417; NORFLURIN; NORFLURIN; NOT FOUND; 400 MG COM REV CT BL AL PLAS INC X 6; NO_ACR
507719102110117; NORFLOXACINO; NORFLOXACINO; NORFLOXACINO; 400 MG COM REV CT BL AL PLAS LEIT X 60 (EMB FRAC); NO_ACR
521110502110119; NORFLOXACINO; NORFLOXACINO; NORFLOXACINO; 400 MG COM REV CT STR AL X 7; NO_ACR
505604901111410; NORFLURIN; NORFLURIN; NOT FOUND; 400 MG COM REV CT BL AL PLAS INC X 700 (EMB HOSP) ; NO_ACR
510612702110412; NEUPINE; NEUPINE; NOT FOUND; 10 MG COM REV CT BL AL/AL X 14; NO_ACR
510612703117410; NEUPINE; NEUPINE; NOT FOUND; 10 MG COM REV CT BL AL/AL X 28; NO_ACR
510612704113419; NEUPINE; NEUPINE; NOT FOUND; 10 MG COM REV CT BL AL/AL X 30; NO_ACR
510612705111411; NEUPINE; NEUPINE; NOT FOUND; 10 MG COM REV CT BL AL/AL X 7; NO_ACR
510612706116415; NEUPINE; NEUPINE; NOT FOUND; 5 MG COM REV CT BL AL/AL X 14; NO_ACR
510612707112413; NEUPINE; NEUPINE; NOT FOUND; 5 MG COM REV CT BL AL/AL X 28; NO_ACR
510612708119411; NEUPINE; NEUPINE; NOT FOUND; 5 MG COM REV CT BL AL/AL X 30; NO_ACR
510612701114414; NEUPINE; NEUPINE; NOT FOUND; 5 MG COM REV CT BL AL/AL X 7; NO_ACR
522702101152311; NEUMEGA; NEUMEGA; NOT FOUND; 5 MG PO LIOF INJ CX FA VD INC + FA VD INC DIL X 1 ML; NO_ACR
541814050007604; NEUROPRAM; NEUROPRAM; NOT FOUND; 15 MG COM REV CT BL AL PLAS OPC X 30; NO_ACR
541812110004103; NEUROPRAM; NEUROPRAM; NOT FOUND; 10 MG COM REV CT BL AL PLAS OPC X 30; NO_ACR
541812110004203; NEUROPRAM; NEUROPRAM; NOT FOUND; 10 MG COM REV CT BL AL PLAS OPC X 60; NO_ACR
541813080005903; NEUROPRAM; NEUROPRAM; NOT FOUND; 10 MG COM REV CT BL AL PLAS OPC X 7 ; NO_ACR
541812110004303; NEUROPRAM; NEUROPRAM; NOT FOUND; 20 MG COM REV CT BL AL PLAS OPC X 30; NO_ACR
521110402116417; NOOTRON; NOOTRON; NOT FOUND; 400 MG COM REV CT BL AL PLAS INC X 60; NO_ACR
521110403139410; NOOTRON; NOOTRON; NOT FOUND; 60 MG/ML SOL OR PED CT FR VD AMB X 110 ML; NO_ACR
519514030023318; NPLATE; NPLATE; NOT FOUND; 250 MCG PO LIOF SOL INJ CT FA VD TRANS ; NO_ACR
