511302301116419; HINOX; HINOX; NOT FOUND; COM REV CX FR PLAS INC X 30; NO_ACR
522714120044906; HEMIFUMARATO DE QUETIAPINA; HEMIFUMARATO QUETIAPINA; HEMIFUMARATO QUETIAPINA; 25 MG COM REV CT BL AL PVDC OPC X 20; NO_ACR
522714120045006; HEMIFUMARATO DE QUETIAPINA; HEMIFUMARATO QUETIAPINA; HEMIFUMARATO QUETIAPINA; 25 MG COM REV CT BL AL PVDC OPC X 30; NO_ACR
522714120045106; HEMIFUMARATO DE QUETIAPINA; HEMIFUMARATO QUETIAPINA; HEMIFUMARATO QUETIAPINA; 100 MG COM REV CT BL AL PVC OPC X 10; NO_ACR
522714120045206; HEMIFUMARATO DE QUETIAPINA; HEMIFUMARATO QUETIAPINA; HEMIFUMARATO QUETIAPINA; 100 MG COM REV CT BL AL PVC OPC X 15; NO_ACR
522714120045306; HEMIFUMARATO DE QUETIAPINA; HEMIFUMARATO QUETIAPINA; HEMIFUMARATO QUETIAPINA; 100 MG COM REV CT BL AL PVC OPC X 20; NO_ACR
522714120045406; HEMIFUMARATO DE QUETIAPINA; HEMIFUMARATO QUETIAPINA; HEMIFUMARATO QUETIAPINA; 100 MG COM REV CT BL AL PVC OPC X 30; NO_ACR
522714120045506; HEMIFUMARATO DE QUETIAPINA; HEMIFUMARATO QUETIAPINA; HEMIFUMARATO QUETIAPINA; 100 MG COM REV CT BL AL PVDC OPC X 10; NO_ACR
522714120045606; HEMIFUMARATO DE QUETIAPINA; HEMIFUMARATO QUETIAPINA; HEMIFUMARATO QUETIAPINA; 100 MG COM REV CT BL AL PVDC OPC X 15; NO_ACR
522714120045706; HEMIFUMARATO DE QUETIAPINA; HEMIFUMARATO QUETIAPINA; HEMIFUMARATO QUETIAPINA; 100 MG COM REV CT BL AL PVDC OPC X 20; NO_ACR
522714120045806; HEMIFUMARATO DE QUETIAPINA; HEMIFUMARATO QUETIAPINA; HEMIFUMARATO QUETIAPINA; 100 MG COM REV CT BL AL PVDC OPC X 30; NO_ACR
522714120045906; HEMIFUMARATO DE QUETIAPINA; HEMIFUMARATO QUETIAPINA; HEMIFUMARATO QUETIAPINA; 200 MG COM REV CT BL AL PVC OPC X 10; NO_ACR
522714120046006; HEMIFUMARATO DE QUETIAPINA; HEMIFUMARATO QUETIAPINA; HEMIFUMARATO QUETIAPINA; 200 MG COM REV CT BL AL PVC OPC X 15; NO_ACR
522714120046106; HEMIFUMARATO DE QUETIAPINA; HEMIFUMARATO QUETIAPINA; HEMIFUMARATO QUETIAPINA; 200 MG COM REV CT BL AL PVC OPC X 20; NO_ACR
522714120046206; HEMIFUMARATO DE QUETIAPINA; HEMIFUMARATO QUETIAPINA; HEMIFUMARATO QUETIAPINA; 200 MG COM REV CT BL AL PVC OPC X 30; NO_ACR
522714120046306; HEMIFUMARATO DE QUETIAPINA; HEMIFUMARATO QUETIAPINA; HEMIFUMARATO QUETIAPINA; 200 MG COM REV CT BL AL PVDC OPC X 10; NO_ACR
522714120046406; HEMIFUMARATO DE QUETIAPINA; HEMIFUMARATO QUETIAPINA; HEMIFUMARATO QUETIAPINA; 200 MG COM REV CT BL AL PVDC OPC X 15; NO_ACR
522714120046506; HEMIFUMARATO DE QUETIAPINA; HEMIFUMARATO QUETIAPINA; HEMIFUMARATO QUETIAPINA; 200 MG COM REV CT BL AL PVDC OPC X 20; NO_ACR
522714120046606; HEMIFUMARATO DE QUETIAPINA; HEMIFUMARATO QUETIAPINA; HEMIFUMARATO QUETIAPINA; 200 MG COM REV CT BL AL PVDC OPC X 30; NO_ACR
514113070005306; HEMITARTARATO DE RIVASTIGMINA; HEMITARTARATO RIVASTIGMINA; HEMITARTARATO RIVASTIGMINA; 1.5 MG CAP GEL DURA CT BL AL PLAS OPC X 30; NO_ACR
521112060055406; HEMITARTARATO DE RIVASTIGMINA; HEMITARTARATO RIVASTIGMINA; HEMITARTARATO RIVASTIGMINA; 1.5 MG CAP DURA CT BL AL PLAS INC X 30; NO_ACR
507746601114115; HEMITARTARATO DE RIVASTIGMINA; HEMITARTARATO RIVASTIGMINA; HEMITARTARATO RIVASTIGMINA; 1.5 MG CAP GEL DURA CT BL AL PLAS OPC X 30; NO_ACR
519508901130116; HEMITARTARATO DE RIVASTIGMINA; HEMITARTARATO RIVASTIGMINA; HEMITARTARATO RIVASTIGMINA; 2 MG/ML SOL OR CT FR VD AMB X 120 ML + SER DOSAD; NO_ACR
514113070005406; HEMITARTARATO DE RIVASTIGMINA; HEMITARTARATO RIVASTIGMINA; HEMITARTARATO RIVASTIGMINA; 3 MG CAP GEL DURA CT BL AL PLAS OPC X 30; NO_ACR
521112060055506; HEMITARTARATO DE RIVASTIGMINA; HEMITARTARATO RIVASTIGMINA; HEMITARTARATO RIVASTIGMINA; 3 MG CAP DURA CT BL AL PLAS INC X 30; NO_ACR
507746602110113; HEMITARTARATO DE RIVASTIGMINA; HEMITARTARATO RIVASTIGMINA; HEMITARTARATO RIVASTIGMINA; 3.0 MG CAP GEL DURA CT BL AL PLAS OPC X 30; NO_ACR
521112060055606; HEMITARTARATO DE RIVASTIGMINA; HEMITARTARATO RIVASTIGMINA; HEMITARTARATO RIVASTIGMINA; 3 MG CAP DURA CT BL AL PLAS INC X 60; NO_ACR
514113070005506; HEMITARTARATO DE RIVASTIGMINA; HEMITARTARATO RIVASTIGMINA; HEMITARTARATO RIVASTIGMINA; 4.5 MG CAP GEL DURA CT BL AL PLAS OPC X 30; NO_ACR
521112060055706; HEMITARTARATO DE RIVASTIGMINA; HEMITARTARATO RIVASTIGMINA; HEMITARTARATO RIVASTIGMINA; 4.5 MG CAP DURA CT BL AL PLAS INC X 30; NO_ACR
507746603117111; HEMITARTARATO DE RIVASTIGMINA; HEMITARTARATO RIVASTIGMINA; HEMITARTARATO RIVASTIGMINA; 4.5 MG CAP GEL DURA CT BL AL PLAS OPC X 30; NO_ACR
514113070005206; HEMITARTARATO DE RIVASTIGMINA; HEMITARTARATO RIVASTIGMINA; HEMITARTARATO RIVASTIGMINA; 6 MG CAP GEL DURA CT BL AL PLAS OPC X 30; NO_ACR
521112060055806; HEMITARTARATO DE RIVASTIGMINA; HEMITARTARATO RIVASTIGMINA; HEMITARTARATO RIVASTIGMINA; 6 MG CAP DURA CT BL AL PLAS INC  X 30; NO_ACR
507746604113111; HEMITARTARATO DE RIVASTIGMINA; HEMITARTARATO RIVASTIGMINA; HEMITARTARATO RIVASTIGMINA; 6.0 MG CAP GEL DURA CT BL AL PLAS OPC X 30; NO_ACR
541812060000206; HEMITARTARATO DE ZOLPIDEM (PORT. 344/98 - LISTA B1); HEMITARTARATO ZOLPIDEM PORT 344 98 LISTA B1; NOT FOUND; 10 MG COM REV CT BL AL PLAS OPC X 10; NO_ACR
522712050024306; HEMITARTARATO DE ZOLPIDEM; HEMITARTARATO ZOLPIDEM; HEMITARTARATO ZOLPIDEM; 10 MG COM REV CT BL AL PVC INC X 10; NO_ACR
522712050024706; HEMITARTARATO DE ZOLPIDEM; HEMITARTARATO ZOLPIDEM; HEMITARTARATO ZOLPIDEM; 10 MG COM REV CT BL AL PVDC INC X 10; NO_ACR
522712050024406; HEMITARTARATO DE ZOLPIDEM; HEMITARTARATO ZOLPIDEM; HEMITARTARATO ZOLPIDEM; 10 MG COM REV CT BL AL PVC INC X 15; NO_ACR
522712050024806; HEMITARTARATO DE ZOLPIDEM; HEMITARTARATO ZOLPIDEM; HEMITARTARATO ZOLPIDEM; 10 MG COM REV CT BL AL PVDC INC X 15; NO_ACR
541812060000306; HEMITARTARATO DE ZOLPIDEM (PORT. 344/98 - LISTA B1); HEMITARTARATO ZOLPIDEM PORT 344 98 LISTA B1; NOT FOUND; 10 MG COM REV CT BL AL PLAS OPC X 20; NO_ACR
522712050024506; HEMITARTARATO DE ZOLPIDEM; HEMITARTARATO ZOLPIDEM; HEMITARTARATO ZOLPIDEM; 10 MG COM REV CT BL AL PVC INC X 20; NO_ACR
522712050024906; HEMITARTARATO DE ZOLPIDEM; HEMITARTARATO ZOLPIDEM; HEMITARTARATO ZOLPIDEM; 10 MG COM REV CT BL AL PVDC INC X 20; NO_ACR
522712050024606; HEMITARTARATO DE ZOLPIDEM; HEMITARTARATO ZOLPIDEM; HEMITARTARATO ZOLPIDEM; 10 MG COM REV CT BL AL PVC INC X 30; NO_ACR
522712050025006; HEMITARTARATO DE ZOLPIDEM; HEMITARTARATO ZOLPIDEM; HEMITARTARATO ZOLPIDEM; 10 MG COM REV CT BL AL PVDC INC X 30; NO_ACR
507734601114111; HIDROCLOROTIAZIDA; HIDROCLOROTIAZIDA; HIDROCLOROTIAZIDA; 25 MG COM CT BL AL PLAS LEIT X 30; NO_ACR
517003001111413; HIDROCLOROTIAZIDA; HIDROCLOROTIAZIDA; HIDROCLOROTIAZIDA; CX. C/50 ENV. X 10 COMP. 25 MG; NO_ACR
507734602110111; HIDROCLOROTIAZIDA; HIDROCLOROTIAZIDA; HIDROCLOROTIAZIDA; 50 MG COM CT BL AL PLAS LEIT X 20; NO_ACR
503600801116417; HIDROSAN; HIDROSAN; NOT FOUND; 50 MG COM CT BL AL PLAS INC PVC X 20; NO_ACR
517003002116419; HIDROCLOROTIAZIDA; HIDROCLOROTIAZIDA; HIDROCLOROTIAZIDA; CX. C/50 ENV. X 10 COMP. 50 MG; NO_ACR
525512070015103; HYZAAR; HYZAAR; NOT FOUND; 50 MG + 12.5 MG COM REV CT BL AL PLAS BCO OPC X 15; NO_ACR
525501202118317; HYZAAR; HYZAAR; NOT FOUND; 50 MG + 12.5 MG COM REV CT BL AL PLAS BCO OPC X 30; NO_ACR
525512070015203; HYZAAR; HYZAAR; NOT FOUND; 100 MG + 25 MG COM REV CT BL AL PLAS BCO OPC X 15; NO_ACR
525501201111319; HYZAAR; HYZAAR; NOT FOUND; 100 MG + 25 MG COM REV CT BL AL PLAS BCO OPC X 30; NO_ACR
531617601161114; HIDROCORTISONA; HIDROCORTISONA; HIDROCORTISONA; 10 MG/G POM DERM CT BG AL X 30 G ; NO_ACR
507734701161111; HIDROCORTISONA; HIDROCORTISONA; HIDROCORTISONA; 10 MG/G POM DERM CT BG AL X 30 G ; NO_ACR
531617602176115; HIDROCORTISONA; HIDROCORTISONA; HIDROCORTISONA; 10 MG/ML SOL CAPIL CT FR PLAS OPC GOT X 60 ML ; NO_ACR
507734702174111; HIDROCORTISONA; HIDROCORTISONA; HIDROCORTISONA; 10 MG/ML SOL CAPIL CT FR PLAS OPC GOT X 60 ML  ; NO_ACR
531613080069806; HIDROQUINONA; HIDROQUINONA; HIDROQUINONA; 40 MG/G CREM CT BG AL X 30G; NO_ACR
507742301167113; HIDROQUINONA; HIDROQUINONA; HIDROQUINONA; 40 MG/G CREM CT BG AL X 30G; NO_ACR
507742401161419; HIDROPEEK; HIDROPEEK; NOT FOUND; 40 MG/G CREM CT BG AL X 30 G; NO_ACR
541813120006604; HIDROPEEK; HIDROPEEK; NOT FOUND; 40 MG/G GEL CT BG AL X 30 G; NO_ACR
507743701134415; HIXILERG; HIXILERG; NOT FOUND; 2 MG/ ML SOL OR CT FR PLAS AMB X 120 ML + COP; NO_ACR
507715501134114; HIDRÓXIDO DE ALUMÍNIO; HIDROXIDO ALUMINIO; HIDROXIDO ALUMINIO; 61.5 MG/ML SUS OR CT FR PLAS OPC X 240 ML; NO_ACR
524600102156414; HEPATECT CP; HEPATECT CP; NOT FOUND; 50 UI/ ML SOL INJ FR VD INC X 10 ML; NO_ACR
524600101151419; HEPATECT CP; HEPATECT CP; NOT FOUND; 50 UI/ ML SOL INJ FR VD INC X 02 ML; NO_ACR
524600103152412; HEPATECT CP; HEPATECT CP; NOT FOUND; 50 UI/ ML SOL INJ FR VD INC X 40 ML; NO_ACR
507601613154412; HUMULIN N; HUMULIN N; NOT FOUND; 100 UI/ML SUS INJ CT FA VD INC X 10 ML; NO_ACR
507604502159410; HUMULIN 70N/30R; HUMULIN 70N 30R; NOT FOUND; 100 UI/ML SUS INJ CT FA VD INC X 10 ML; NO_ACR
507604603151415; HUMULIN R; HUMULIN R; NOT FOUND; 100 UI/ML SOL INJ CT FA VD INC X 10 ML; NO_ACR
507601614150410; HUMULIN N; HUMULIN N; NOT FOUND; 100 UI/ML SUS INJ CT 2 CARP VD INC X 3 ML; NO_ACR
507604503155419; HUMULIN 70N/30R; HUMULIN 70N 30R; NOT FOUND; 100 UI/ML SUS INJ CT 2 CARP VD INC X 3 ML; NO_ACR
507604602153414; HUMULIN R; HUMULIN R; NOT FOUND; 100 UI/ML SOL INJ CT 2 CARP VD INC X 3 ML; NO_ACR
507601402153319; HUMALOG; HUMALOG; NOT FOUND; 100 UI/ML SOL INJ CT FA VD INC X 10 ML; NO_ACR
507601401157310; HUMALOG; HUMALOG; NOT FOUND; 100 UI/ML SOL INJ CT 2 CARP VD INC X 3 ML; NO_ACR
507601405152216; HUMALOG; HUMALOG; NOT FOUND; 100 UI/ML SOL INJ CT 5 CARP VD INC X 3 ML; NO_ACR
507604102150416; HUMALOG MIX 50; HUMALOG MIX 50; NOT FOUND; 100 UI/ML SUS INJ CT 5 CARP VD INC X 3 ML; NO_ACR
507604201159314; HUMALOG KWIKPEN; HUMALOG KWIKPEN; NOT FOUND; 100 UI /ML SOL INJ CT 5 CARP VD INC X 3 ML + 5 SIST APLIC PLAS; NO_ACR
507604301153210; HUMALOG KWIKPEN; HUMALOG KWIKPEN; NOT FOUND; 100 UI /ML SOL INJ CT 1 CARP VD INC X 3 ML + 1 SIST APLIC PLAS ; NO_ACR
507604801156219; HUMALOG MIX 50 KWIKPEN; HUMALOG MIX 50 KWIKPEN; NOT FOUND; 100 UI/ML SUS INJ CT 1 CARP VD INC X 3 ML + 1 SIST APLIC PLAS; NO_ACR
507604901150417; HUMALOG MIX 25; HUMALOG MIX 25; NOT FOUND; 100 UI/ML SUS INJ CT 5 CARP VD INC X 3 ML; NO_ACR
507605001153418; HUMALOG MIX 25 KWIKPEN; HUMALOG MIX 25 KWIKPEN; NOT FOUND; 100 UI/ML SUS INJ CT 5 CARP VD INC X 3 ML + 5 SIST APLIC PLAS; NO_ACR
507605002151419; HUMALOG MIX 25 KWIKPEN; HUMALOG MIX 25 KWIKPEN; NOT FOUND; 100 UI/ML SUS INJ CT 1 CARP VD INC X 3 ML + 1 SIST APLIC PLAS; NO_ACR
507605101158411; HUMALOG MIX 50 KWIKPEN; HUMALOG MIX 50 KWIKPEN; NOT FOUND; 100 UI/ML SUS INJ CT 5 CARP VD INC X 3 ML X 5 SIST APLIC PLAS; NO_ACR
532902001167411; HEMOFLEB; HEMOFLEB; NOT FOUND; (0.100+0.100+0.600+0.060+0.225G)/15G POM RET CX 50 BG PLAS OPC X 50G ; NO_ACR
532902002163418; HEMOFLEB; HEMOFLEB; NOT FOUND; (0.100+0.100+0.600+0.060+0.225G)/15G POM RETAL CT BG PLAS OPC X 50G ; NO_ACR
511302402133416; HISTAMIX; HISTAMIX; NOT FOUND; 1 MG/ML XPE CT FR VD AMB X 120 ML; NO_ACR
511302401110412; HISTAMIX; HISTAMIX; NOT FOUND; COMPR. 10 MG CX. C/ 12; NO_ACR
511304501139419; HISTAMIX D; HISTAMIX D; NOT FOUND; 1 MG+ 12 MG/ML XPE CT 1 FR VD AMB X 60 ML; NO_ACR
511304502119411; HISTAMIX D; HISTAMIX D; NOT FOUND; 5 MG + 120 MG DRG. CT 2 BL AL PLAS INC X 6 ; NO_ACR
527304401130417; HARMOLAX; HARMOLAX; NOT FOUND; 17 G PO PREP EXTEMP ORAL CT SACHE X 2; NO_ACR
527304402137415; HARMOLAX; HARMOLAX; NOT FOUND; 17 G PO PREP EXTEMP ORAL CT SACHE X 50 (EMB MULT); NO_ACR
