522101202167413; METADEX; METADEX; NOT FOUND; 1 MG/G CREM CT BG AL X 10 G; NO_ACR
522714030038903; MEMONTIL; MEMONTIL; NOT FOUND; 10 MG COM REV CT BL AL PVDC 250/40 TRANS X 30; NO_ACR
522713120031204; MEMONTIL; MEMONTIL; NOT FOUND; 10 MG COM REV CT BL AL PVC TRANS X 60; NO_ACR
522714030038603; MEMONTIL; MEMONTIL; NOT FOUND; 10 MG COM REV CT BL AL PVDC 250/120 TRANS  X 60 ; NO_ACR
522714030039003; MEMONTIL; MEMONTIL; NOT FOUND; 10 MG COM REV CT BL AL PVDC 250/40 TRANS X 60; NO_ACR
528600901159416; MEPIVALEM SV; MEPIVALEM SV; NOT FOUND; 3% SOL INJ CT 50 CARPULES PLAS TRANS X 1.8 ML; NO_ACR
507201201150414; MEPISV; MEPISV; NOT FOUND; CAIXA COM 50 TUBETES; NO_ACR
507200401156418; MEPIADRE; MEPIADRE; NOT FOUND; 20MG/ML+10MCG/ML SOL INJ CT BL 50 CARP VD INC X 1.8 ML (EMB. HOSP.); NO_ACR
507200601155415; MEPINOR; MEPINOR; NOT FOUND; 20 MG/ML + 18 MCG/ML SOL INJ CT 50 CARP VD INC X 1.8 ML; NO_ACR
532902601113418; MEGUANIN; MEGUANIN; NOT FOUND; 500 MG COM REV CT 3 BL AL PLAS INC X 10; NO_ACR
532902602111419; MEGUANIN; MEGUANIN; NOT FOUND; 850 MG COM REV CT 20 BL AL PLAS INC X 10; NO_ACR
532902603116414; MEGUANIN; MEGUANIN; NOT FOUND; 850 MG COM REV CT 3 BL AL PLAS INC X 10; NO_ACR
531612070067604; MOXOF; MOXOF; NOT FOUND; 400 MG COM REV CT BL AL AL X 5; NO_ACR
531612070067704; MOXOF; MOXOF; NOT FOUND; 400 MG COM REV CT BL AL AL X 07; NO_ACR
530401401115319; MONOTREAN; MONOTREAN; NOT FOUND; 100 MG + 40 MG DRG CT 3 BL AL PLAST INC X 10; NO_ACR
507200501150411; MEPI-LEVO; MEPI LEVO; NOT FOUND; 20 MG + 50 MG SOL INJ CART 5 BL 10 CAP VD INC X 1.8 ML; NO_ACR
531626201111410; MALÚ; MALU; NOT FOUND; 0.150 MG + 0.020 MG COM CT EST CALEND X 21; NO_ACR
527302201118311; MICRODIOL; MICRODIOL; NOT FOUND; 0.15 MG + 0.03 MG COM CT BL AL PLAS INC X 21; NO_ACR
527302101113413; MERCILON; MERCILON; NOT FOUND; 0.15MG + 0.02MG COM CT BL AL PLAS INC X 21; NO_ACR
527302102111414; MERCILON; MERCILON; NOT FOUND; 0.15 MG + 0.02 MG COM CT BL AL PLAS INC X 63; NO_ACR
527303801119315; MERCILON CONTI; MERCILON CONTI; NOT FOUND; 150/20MCG 21 COM REV + 0/0MCG 2 COM REV + 0/10MCG 5 COM REV CT ENV AL X BL AL PVC X 28; NO_ACR
506901501116415; MENOSTRESS; MENOSTRESS; NOT FOUND; 10 MG COM CT BL AL PLAS INC X 20; NO_ACR
506901504115411; MENOSTRESS; MENOSTRESS; NOT FOUND; 10 MG COM CT BL  AL PLAS INC X 200; NO_ACR
506901503119411; MENOSTRESS; MENOSTRESS; NOT FOUND; 10 MG COM CT 3 BL  AL PLAS INC X 10; NO_ACR
506901502112413; MENOSTRESS; MENOSTRESS; NOT FOUND; 5 MG COM CT BL AL PLAS INC X 20; NO_ACR
506901506118416; MENOSTRESS; MENOSTRESS; NOT FOUND; 5 MG COM CT BL AL PLAS INC X 200; NO_ACR
506901505111418; MENOSTRESS; MENOSTRESS; NOT FOUND; 5 MG COM CT BL AL PLAS INC X 30; NO_ACR
508502301111316; MANIVASC; MANIVASC; NOT FOUND; 10 MG COM CT BL PVC/PVDC/AL X 14; NO_ACR
508502302116311; MANIVASC; MANIVASC; NOT FOUND; 10 MG COM CT BL PVC / PVDC / AL X 28; NO_ACR
508502303112311; MANIVASC; MANIVASC; NOT FOUND; 20 MG COM CT BL PVC/PVDC/AL X 14; NO_ACR
508502304119318; MANIVASC; MANIVASC; NOT FOUND; 20 MG COM CT BL PVC / PVDC / AL X 28; NO_ACR
540912100007614; MERTHIOLATE; MERTHIOLATE; NOT FOUND; 10 MG/ML SOL TOP AQUO CT FR VD AMB X 30 ML; NO_ACR
540912100007514; MERTHIOLATE; MERTHIOLATE; NOT FOUND; 10 MG/ML SOL TOP AQUO CT FR PLAS OPC X 30 ML; NO_ACR
540912100007714; MERTHIOLATE; MERTHIOLATE; NOT FOUND; 10 MG/ML SOL TOP AQUO FR PLAS OPC SPRAY X 45 ML; NO_ACR
514800301139410; MILAX; MILAX; NOT FOUND; 80 MG/ML + 80 MG/ML + 6 MG/ML SUS OR CT FR PLAS OPC X 240 ML; NO_ACR
540913020009213; MAGNOPYROL; MAGNOPYROL; NOT FOUND; 300 MG SUP CT STR X 5; NO_ACR
540913020009103; MAGNOPYROL; MAGNOPYROL; NOT FOUND; 50 MG/ML SOL OR CT FR VD AMB X 100 ML; NO_ACR
540912100007314; MIRADOR; MIRADOR; NOT FOUND; 500 MG COM BL AL PLAS INC X 150 (EMB MULT); NO_ACR
540913020009303; MAGNOPYROL; MAGNOPYROL; NOT FOUND; 500 MG COM CT 50 BL AL PLAS AMB X 04; NO_ACR
540913020009613; MAGNOPYROL; MAGNOPYROL; NOT FOUND; 500 MG COM CT 25 BL AL PLAS AMB X 08; NO_ACR
540912100007414; MIRADOR; MIRADOR; NOT FOUND; 500 MG/ML SOL OR CT FR PLAS OPC X 10 ML; NO_ACR
540913020009413; MAGNOPYROL; MAGNOPYROL; NOT FOUND; 500 MG/ML  SOL OR CT FR PLAS OPC GOT X 10 ML; NO_ACR
540912030005004; MIRADOR; MIRADOR; NOT FOUND; 500 MG/ML SOL OR CT FR VD AMB GOT X 20 ML; NO_ACR
540913020009513; MAGNOPYROL; MAGNOPYROL; NOT FOUND; 500 MG/ML  SOL OR CT FR PLAS OPC GOT X 20 ML; NO_ACR
522701802114319; MINESSE; MINESSE; NOT FOUND; 0.06 MG + 0.015 MG COM REV CT BL AL PLAS INC X 24; NO_ACR
531624501118414; MICROPIL R21; MICROPIL R21; NOT FOUND; 0.075 MG + 0.020 MG COM REV CT BL AL PLAS INC CALEND X 21; NO_ACR
531624601112418; MICROPIL R28; MICROPIL R28; NOT FOUND; 0.075 MG + 0.020 MG COM REV CT EST CALEND X 28 + PORTA ESTOJO; NO_ACR
522702001115315; MINULET; MINULET; NOT FOUND; 0.075 MG + 0.03 MG DRG CT BL AL PLAS INC X 21; NO_ACR
531624401113410; MICROPIL; MICROPIL; NOT FOUND; 0.075 MG + 0.030 MG COM REV CT EST CALEND X 21 + PORTA EST; NO_ACR
519508001156410; MYOGRAF; MYOGRAF; NOT FOUND; 300 MCG SOL INJ CT 5 FA VD INC X 1 ML ; NO_ACR
521109801169219; MICETAL; MICETAL; NOT FOUND; 0.01 G/G CREM DERM CT  BG AL X 15 G; NO_ACR
521109802165217; MICETAL; MICETAL; NOT FOUND; 0.01 G/G CREM  DERM CT BG AL X 30 G; NO_ACR
521109803171210; MICETAL; MICETAL; NOT FOUND; 0.01 G/ML SOL TOP CT FR PLAS OPC SPRAY X 30 ML; NO_ACR
541312030007804; METAXON; METAXON; NOT FOUND; 4 MG/ML SOL INJ CX 50 FA VD INC X 2.5 ML ; NO_ACR
501807301159418; METAXON; METAXON; NOT FOUND; 4 MG/ML SOL INJ CX 50 FA VD INC X 2.5 ML ; NO_ACR
507729501131115; MALEATO DE DEXCLORFENIRAMINA+SULFATO DE PSEUDOEFEDRINA+GUAIFENESINA; MALEATO DEXCLORFENIRAMINA SULFATO PSEUDOEFEDRINA GUAIFENESINA; NOT FOUND; 0.4 MG/ML + 4 MG/ML + 20 MG/ML SOL OR CT FR VD AMB X 120 ML  ; NO_ACR
531607501131119; MALEATO DE DEXCLORFENIRAMINA + SULFATO DE PSEUDOEFEDRINA + GUAIFENESINA; MALEATO DEXCLORFENIRAMINA SULFATO PSEUDOEFEDRINA GUAIFENESINA; NOT FOUND; 0.4 MG/ML + 4 MG/ML + 20 MG/ML SOL OR CT FR VD AMB X 120 ML  ; NO_ACR
521109401111116; MALEATO DE ENALAPRIL + HIDROCLOROTIAZIDA; MALEATO ENALAPRIL HIDROCLOROTIAZIDA; NOT FOUND; 10 MG + 25 MG COM CT STR AL X 30; NO_ACR
521109402116111; MALEATO DE ENALAPRIL + HIDROCLOROTIAZIDA; MALEATO ENALAPRIL HIDROCLOROTIAZIDA; NOT FOUND; 20 MG + 12.5 MG COM CT STR AL X 30; NO_ACR
507729601111116; MALEATO DE ENALAPRIL + HIDROCLOROTIAZIDA; MALEATO ENALAPRIL HIDROCLOROTIAZIDA; NOT FOUND; 20 MG + 12.5 MG COM CT BL AL PLAS LEIT X 30; NO_ACR
531614402117412; MALENA HCT; MALENA HCT; NOT FOUND; 20 MG + 12.5 MG COM CT BL AL PVDC LEIT X 30 ; NO_ACR
531614404111411; MALENA HCT; MALENA HCT; NOT FOUND; 20 MG + 12.5 MG COM CT BL AL PVDC LEIT X 70 (EMB FRAC); NO_ACR
507729603112111; MALEATO DE ENALAPRIL + HIDROCLOROTIAZIDA; MALEATO ENALAPRIL HIDROCLOROTIAZIDA; NOT FOUND; 20 MG + 12.5 MG COM CT BL AL PLAS OPC X 90 (EMB FRAC); NO_ACR
531607802113111; MALEATO DE ENALAPRIL + HIDROCLOROTIAZIDA; MALEATO ENALAPRIL HIDROCLOROTIAZIDA; NOT FOUND; 10 MG + 25 MG COM CT BL AL PLAS OPC X 30; NO_ACR
531614401110414; MALENA HCT; MALENA HCT; NOT FOUND; 10 MG + 25 MG COM CT BL AL PVDC LEIT X 30 ; NO_ACR
507725801017110; MALEA.ENALAP.+HIDR.; MALEA ENALAP HIDR; NOT FOUND; 10/25 MG 2BX15 COMP; NO_ACR
531614403113410; MALENA HCT; MALENA HCT; NOT FOUND; 10 MG + 25 MG COM CT BL AL PVDC LEIT X 70 (EMB FRAC); NO_ACR
507729602116111; MALEATO DE ENALAPRIL + HIDROCLOROTIAZIDA; MALEATO ENALAPRIL HIDROCLOROTIAZIDA; NOT FOUND; 10 MG + 25 MG COM CT BL AL PLAS OPC X 90 (EMB FRAC); NO_ACR
540914050013318; MM EXPECTORANTE; MM EXPECTORANTE; NOT FOUND; 20 MG/ML  + 3 MG/ML + 3 MG/ML XPE CT FR VD AMB X 120 ML; NO_ACR
524600302155411; MEGALOTECT; MEGALOTECT; NOT FOUND; 50 U/ML SOL INJ CX AMP VD INC X 10 ML; NO_ACR
524600303151411; MEGALOTECT; MEGALOTECT; NOT FOUND; 50 U/ML SOL INJ CX AMP VD INC X 20 ML; NO_ACR
524600301159413; MEGALOTECT; MEGALOTECT; NOT FOUND; 50 U/ML SOL INJ CX FR VD INC X 50 ML; NO_ACR
507300902114412; MICONAL; MICONAL; NOT FOUND; 100 MG CAP GEL DURA CT BL AL PLAS INC X 15; NO_ACR
507300903110410; MICONAL; MICONAL; NOT FOUND; 100 MG CAP GEL DURA CT BL AL PLAS INC X 4; NO_ACR
530914120012303; MIRENA; MIRENA; NOT FOUND; 52 MG SIU CT BL X 1 + INSERTOR (BL PETG); NO_ACR
530903501175311; MIRENA; MIRENA; NOT FOUND; 52 MG SIU CT BL X 1 + INSERTOR; NO_ACR
537112020008006; MALEATO DE DEXCLORFENIRAMINA; MALEATO DEXCLORFENIRAMINA; MALEATO DEXCLORFENIRAMINA; 0.4MG/ML SOL OR CT FR PET AMB X 100 ML + CP MED; NO_ACR
537112020008206; MALEATO DE DEXCLORFENIRAMINA; MALEATO DEXCLORFENIRAMINA; MALEATO DEXCLORFENIRAMINA; 0.4MG/ML SOL OR CX 48 FR PET AMB X 100 ML + 48 CP MED (EMB HOSP); NO_ACR
537112020008306; MALEATO DE DEXCLORFENIRAMINA; MALEATO DEXCLORFENIRAMINA; MALEATO DEXCLORFENIRAMINA; 0.4 MG/ML SOL OR CX 96 FR PET AMB X 100 ML + 96 CP MED (EMB HOSP); NO_ACR
537112020008106; MALEATO DE DEXCLORFENIRAMINA; MALEATO DEXCLORFENIRAMINA; MALEATO DEXCLORFENIRAMINA; 0.4MG/ML SOL OR CT FR PET AMB X 120 ML + CP MED ; NO_ACR
537112020008406; MALEATO DE DEXCLORFENIRAMINA; MALEATO DEXCLORFENIRAMINA; MALEATO DEXCLORFENIRAMINA; 0.4MG/ML SOL OR CX 48 FR PET AMB X 120 ML + 48 CP MED (EMB HOSP); NO_ACR
537112020008506; MALEATO DE DEXCLORFENIRAMINA; MALEATO DEXCLORFENIRAMINA; MALEATO DEXCLORFENIRAMINA; 0.4 MG/ML SOL OR CX 96 FR PET AMB X 120 ML + 96 CP MED (EMB HOSP) ; NO_ACR
507717001139113; MALEATO DE DEXCLORFENIRAMINA; MALEATO DEXCLORFENIRAMINA; MALEATO DEXCLORFENIRAMINA; 0.4 MG/ML SOL OR CT FR VD AMB X 120 ML ; NO_ACR
507717003166118; MALEATO DE DEXCLORFENIRAMINA; MALEATO DEXCLORFENIRAMINA; MALEATO DEXCLORFENIRAMINA; 10 MG/G CREM DERM CT BG AL X 30 G; NO_ACR
507717002119116; MALEATO DE DEXCLORFENIRAMINA; MALEATO DEXCLORFENIRAMINA; MALEATO DEXCLORFENIRAMINA; 2 MG COM CT BL AL BCO PLAS LEIT X 20; NO_ACR
531607403138119; MALEATO DE DEXCLORFENIRAMINA; MALEATO DEXCLORFENIRAMINA; MALEATO DEXCLORFENIRAMINA; 2.8 MG/ML SOL OR CT FR PLAS OPC GOT X 20 ML ; NO_ACR
507717004138118; MALEATO DE DEXCLORFENIRAMINA; MALEATO DEXCLORFENIRAMINA; MALEATO DEXCLORFENIRAMINA; 2.8 MG/ML SOL OR CT FR PLAS OPC GOT X 20 ML; NO_ACR
531621001114415; MALENA; MALENA; NOT FOUND; 10 MG COM CT BL AL/AL X 30; NO_ACR
500103102118115; MALEATO DE ENALAPRIL; MALEATO ENALAPRIL; MALEATO ENALAPRIL; 10 MG COM CT BL AL/AL X 30 ; NO_ACR
521109301115111; MALEATO DE ENALAPRIL; MALEATO ENALAPRIL; MALEATO ENALAPRIL; 10 MG COM CT STR AL X 30; NO_ACR
507717101117111; MALEATO ENALAPRIL; MALEATO ENALAPRIL; MALEATO ENALAPRIL; 10 MG COM CT BL AL/AL X 30 ; NO_ACR
507734801113119; MALEATO DE ENALAPRIL; MALEATO ENALAPRIL; MALEATO ENALAPRIL; 10 MG COM CT BL AL/AL X 60 (EMB FRAC); NO_ACR
531621002110413; MALENA; MALENA; NOT FOUND; 20 MG COM CT BL AL/AL X 30; NO_ACR
500103101111117; MALEATO DE ENALAPRIL; MALEATO ENALAPRIL; MALEATO ENALAPRIL; 20 MG COM CT BL AL/AL X 30; NO_ACR
521109302111118; MALEATO DE ENALAPRIL; MALEATO ENALAPRIL; MALEATO ENALAPRIL; 20 MG COM CT STR AL X 30; NO_ACR
507717102113111; MALEATO ENALAPRIL; MALEATO ENALAPRIL; MALEATO ENALAPRIL; 20 MG COM CT BL AL/AL X 30; NO_ACR
507734802111111; MALEATO DE ENALAPRIL; MALEATO ENALAPRIL; MALEATO ENALAPRIL; 20 MG COM CT BL AL/AL X 60 (EMB FRAC); NO_ACR
531621003117411; MALENA; MALENA; NOT FOUND; 5 MG COM CT BL AL/AL X 30; NO_ACR
500103103114113; MALEATO DE ENALAPRIL; MALEATO ENALAPRIL; MALEATO ENALAPRIL; 5 MG COM CT BL AL/AL X 30 ; NO_ACR
521109303118116; MALEATO DE ENALAPRIL; MALEATO ENALAPRIL; MALEATO ENALAPRIL; 5 MG COM CT STR AL X 30; NO_ACR
507717103111110; MALEATO ENALAPRIL; MALEATO ENALAPRIL; MALEATO ENALAPRIL; 5 MG COM CT BL AL/AL X 30 ; NO_ACR
507734803116115; MALEATO DE ENALAPRIL; MALEATO ENALAPRIL; MALEATO ENALAPRIL; 5 MG COM CT BL AL/AL X 60 (EMB FRAC); NO_ACR
532907701116411; MEPROZIN; MEPROZIN; NOT FOUND; 100 MG COM REV CT BL AL PLAS AMB X 20 ; NO_ACR
532907702112418; MEPROZIN; MEPROZIN; NOT FOUND; 100 MG COM CT 20 BL AL PLAS AMB X 10; NO_ACR
532907704115414; MEPROZIN; MEPROZIN; NOT FOUND; 25 MG COM REV CT BL AL PLAS AMB X 20 ; NO_ACR
532907703119416; MEPROZIN; MEPROZIN; NOT FOUND; 25 MG COM REV CT  BL AL PLAS AMB X 200 (EMB HOSP); NO_ACR
532907705138418; MEPROZIN; MEPROZIN; NOT FOUND; 40 MG/ML SOL ORAL CT 50 FR PLAS OPC GOT X 20 ML; NO_ACR
532907706134416; MEPROZIN; MEPROZIN; NOT FOUND; 40 MG/ML SOL ORAL CT FR PLAS OPC GOT X 20 ML  ; NO_ACR
521109502171106; MALEATO DE TIMOLOL; MALEATO TIMOLOL; MALEATO TIMOLOL; 0.25 PCC SOL OFT CT FR PLAS OPC GOT X 5 ML; NO_ACR
521109501173113; MALEATO DE TIMOLOL; MALEATO TIMOLOL; MALEATO TIMOLOL; 0.5 PCC SOL OF CT FR PLAS OPC GOT X 5 ML; NO_ACR
507733601137113; MALEATO DE TIMOLOL; MALEATO TIMOLOL; MALEATO TIMOLOL; 2.5 MG/ML SOL OFT CT FR PLAS TRANS GOT X 5 ML; NO_ACR
531614301175115; MALEATO DE TIMOLOL; MALEATO TIMOLOL; MALEATO TIMOLOL; 2.5 MG/ML SOL OFT CT FR PLAS TRANS GOT X 5 ML; NO_ACR
507733602133111; MALEATO DE TIMOLOL; MALEATO TIMOLOL; MALEATO TIMOLOL; 5 MG/ML SOL OFT CT FR PLAS TRANS GOT X 5 ML; NO_ACR
