502813030064504, VECLESA, VECLESA, NOT FOUND, 2 MG + 0.03 MG COM REV CT BL AL PLAS TRANS X 21, NO_ACR
525073803119410, VOLUNTA, VOLUNTA, NOT FOUND, 10 MG COM REV CT BL AL/AL X 30, NO_ACR
508013050096904, VAST, VAST, NOT FOUND, 10 MG COM REV CT BL AL/AL X 30, NO_ACR
525073804115419, VOLUNTA, VOLUNTA, NOT FOUND, 10 MG COM REV CT BL AL/AL X 500 (EMB HOSP), NO_ACR
525073805111417, VOLUNTA, VOLUNTA, NOT FOUND, 10 MG COM REV CT BL AL/AL X 60, NO_ACR
525073806118415, VOLUNTA, VOLUNTA, NOT FOUND, 10 MG COM REV CT BL AL/AL X 90 (EMB FRAC), NO_ACR
525073807114413, VOLUNTA, VOLUNTA, NOT FOUND, 20 MG COM REV CT BL AL/AL X 10, NO_ACR
508013100099403, VAST, VAST, NOT FOUND, 20 MG COM REV CT BL AL/AL X 10, NO_ACR
525073808110411, VOLUNTA, VOLUNTA, NOT FOUND, 20 MG COM REV CT BL AL/AL X 200 (EMB HOSP), NO_ACR
525073809117411, VOLUNTA, VOLUNTA, NOT FOUND, 20 MG COM REV CT BL AL/AL X 30, NO_ACR
508013050097004, VAST, VAST, NOT FOUND, 20 MG COM REV CT BL AL/AL X 30, NO_ACR
525073810115417, VOLUNTA, VOLUNTA, NOT FOUND, 20 MG COM REV CT BL AL/AL X 500 (EMB HOSP), NO_ACR
525073811111415, VOLUNTA, VOLUNTA, NOT FOUND, 20 MG COM REV CT BL AL/AL X 60, NO_ACR
525073812118413, VOLUNTA, VOLUNTA, NOT FOUND, 20 MG COM REV CT BL AL/AL X 90 (EMB FRAC), NO_ACR
525073813114411, VOLUNTA, VOLUNTA, NOT FOUND, 40 MG COM REV CT BL AL/AL X 10, NO_ACR
508013100099503, VAST, VAST, NOT FOUND, 40 MG COM REV CT BL AL/AL X 10, NO_ACR
525073814110411, VOLUNTA, VOLUNTA, NOT FOUND, 40 MG COM REV CT BL AL/AL X 200 (EMB HOSP), NO_ACR
525073815117418, VOLUNTA, VOLUNTA, NOT FOUND, 40 MG COM REV CT BL AL/AL X 30, NO_ACR
508013050097104, VAST, VAST, NOT FOUND, 40 MG COM REV CT BL AL/AL X 30, NO_ACR
525073816113416, VOLUNTA, VOLUNTA, NOT FOUND, 40 MG COM REV CT BL AL/AL X 500 (EMB HOSP), NO_ACR
525073817111417, VOLUNTA, VOLUNTA, NOT FOUND, 40 MG COM REV CT BL AL/AL X 60, NO_ACR
525073818116412, VOLUNTA, VOLUNTA, NOT FOUND, 40 MG COM REV CT BL AL/AL X 90 (EMB FRAC), NO_ACR
525073819112410, VOLUNTA, VOLUNTA, NOT FOUND, 80 MG COM REV CT BL AL/AL X 10, NO_ACR
525073820110418, VOLUNTA, VOLUNTA, NOT FOUND, 80 MG COM REV CT BL AL/AL X 200 (EMB HOSP), NO_ACR
525073821117416, VOLUNTA, VOLUNTA, NOT FOUND, 80 MG COM REV CT BL AL/AL X 30, NO_ACR
525073822113414, VOLUNTA, VOLUNTA, NOT FOUND, 80 MG COM REV CT BL AL/AL X 500 (EMB HOSP), NO_ACR
525073823111415, VOLUNTA, VOLUNTA, NOT FOUND, 80 MG COM REV CT BL AL/AL X 60, NO_ACR
525073824116410, VOLUNTA, VOLUNTA, NOT FOUND, 80 MG COM REV CT BL AL/AL X 90 (EMB FRAC), NO_ACR
533200701159317, VIDAZA, VIDAZA, NOT FOUND, 100MG/200MG PO LIOF SUS INJ SC FA VD INC X 200MG, NO_ACR
511404801118413, VITAMAX OXI, VITAMAX OXI, NOT FOUND, COM REV CT FR PLAS OPC X 45, NO_ACR
526112602113423, VIDYN, VIDYN, NOT FOUND, EFERV TB X10 COMP, NO_ACR
526112601117425, VIDYN, VIDYN, NOT FOUND, FR X 30 DRG, NO_ACR
526112701138416, VITONICO, VITONICO, NOT FOUND, SOL FR X 500ML, NO_ACR
525505001117219, VICTRELIS, VICTRELIS, NOT FOUND, 200 MG CAP GEL DURA CT BL AL PLAS INC X 336, NO_ACR
505209001170416, VISIPLEX, VISIPLEX, NOT FOUND, 0.15 MG/ML + 0.3 MG/ML SOL OFT CT FR GOT PLAS OPC X 15 ML, NO_ACR
514506402152315, VELCADE, VELCADE, NOT FOUND, 1 MG PO LIOF INJ CT FA VD INC, NO_ACR
514506401156317, VELCADE, VELCADE, NOT FOUND, 3.5 MG PO LIOF INJ CT FA VD INC, NO_ACR
513404202156416, VERÔNIO, VERONIO, NOT FOUND, 10 MG PO LIOF INJ CT 10 FA VD INC, NO_ACR
506715001151413, VECURON, VECURON, NOT FOUND, 10 MG PO LIOF INJ CX 10 FA VD INC, NO_ACR
513404201151410, VERÔNIO, VERONIO, NOT FOUND, 4MG/ML PO LIOF + DIL CT 10 AMP VD INC X 1ML, NO_ACR
506715002156419, VECURON, VECURON, NOT FOUND, 4 MG/ML PO LIOF INJ CX 10 FA VD INC + 10 AMP DIL X 1 ML, NO_ACR
502306101139311, VANNAIR, VANNAIR, NOT FOUND, 6 MCG/DOSE + 100 MCG/DOSE AER BUC CT TB AL X 120 DOSES + VALV DOSAD, NO_ACR
502306102135311, VANNAIR, VANNAIR, NOT FOUND, 6 MCG/DOSE + 200 MCG/DOSE AER BUC CT TB AL X 120 DOSES + VALV DOSAD, NO_ACR
524307901113412, VENOPRIL, VENOPRIL, NOT FOUND, 12.5 MG COM CT FR VD AMB X 15, NO_ACR
524307902111413, VENOPRIL, VENOPRIL, NOT FOUND, 25 MG COM CT FR VD AMB X 16, NO_ACR
524307903116419, VENOPRIL, VENOPRIL, NOT FOUND, 50 MG COM CT FR VD AMB X 16, NO_ACR
512104704131415, VATE, VATE, NOT FOUND, 20 MG/ML SUS ORAL CT FR VD AMB X 100 ML , NO_ACR
522710601150317, VACINA PNEUMOCÓCICA 13 - VALENTE (CONJUGADA), VACINA PNEUMOCOCICA 13 VALENTE CONJUGADA, NOT FOUND, SUS INJ CT 02 EST 05 SER PREENCH X 0.5 ML + 10 AGU, NO_ACR
522710602157315, VACINA PNEUMOCÓCICA 13 - VALENTE (CONJUGADA), VACINA PNEUMOCOCICA 13 VALENTE CONJUGADA, NOT FOUND, SUS INJ CT 01 EST 01 SER PREENCH X 0.5 ML + 01 AGU, NO_ACR
540501501119414, VITERCAL C, VITERCAL C, NOT FOUND, 500 MG + 600 MG COM EFEV CT TB PLAS X 10, NO_ACR
507003301159417, VANCEL, VANCEL, NOT FOUND, 10 MG/ML SOL INJ CT FA VD AMB X 15 ML, NO_ACR
507003302155415, VANCEL, VANCEL, NOT FOUND, 10 MG/ML SOL INJ CT FA VD AMB X 45 ML, NO_ACR
526512120076503, VACINA INFLUENZA (SUBUNITÁRIA, INATIVADA), VACINA INFLUENZA SUBUNITARIA INATIVADA, NOT FOUND, SUS INJ CT 10 SER PREENC VD INC X 0.5 ML, NO_ACR
526512120076603, VACINA INFLUENZA (INATIVADA, SUBUNITÁRIA, ADJUVADA), VACINA INFLUENZA INATIVADA SUBUNITARIA ADJUVADA, VACINA INFLUENZA TRIVALENTE INATIVADA, SUBUNITARIA, ADJUVADA, SUS INJ CT 10 SER VD INC PREENCH X 0.5 ML, NO_ACR
500213020030504, VACINA INFLUENZA (INATIVADA, SUBUNITÁRIA), VACINA INFLUENZA INATIVADA SUBUNITARIA, VACINA INFLUENZA TRIVALENTE INATIVADA, SUBUNITARIA, ADJUVADA, SUS INJ CT 1 SER PREENC VD INC S/ AGU X 0.5 ML  , NO_ACR
500213020030604, VACINA INFLUENZA (INATIVADA, SUBUNITÁRIA), VACINA INFLUENZA INATIVADA SUBUNITARIA, VACINA INFLUENZA TRIVALENTE INATIVADA, SUBUNITARIA, ADJUVADA, SUS INJ CT 10 SER PREENC VD INC S/ AGU X 0.5 ML  04, NO_ACR
500213040030713, VACINA INFLUENZA (INATIVADA, SUBUNITÁRIA), VACINA INFLUENZA INATIVADA SUBUNITARIA, VACINA INFLUENZA TRIVALENTE INATIVADA, SUBUNITARIA, ADJUVADA, SUS INJ CT 1 SER PREENC VD INC X 0.5 ML , NO_ACR
505209104115418, VITATONUS, VITATONUS, NOT FOUND, DRG CX CT 1 BL X 20, NO_ACR
505209101159414, VITATONUS, VITATONUS, NOT FOUND, CX 2 AMP (2 M/1ML) DEXA, NO_ACR
505209103151410, VITATONUS, VITATONUS, NOT FOUND, 5000 MCG SOL INJ CX 3 AMP VD INC X 2 ML, NO_ACR
505209102112411, VITATONUS, VITATONUS, NOT FOUND, 5000 MCG DRG CT BL AL PLAS INC X 20, NO_ACR
517105103132412, VI-FERRIN, VI FERRIN, NOT FOUND, 20 MG/ML + 0.333 MG/ML + 1.0 MCG/ML ELX CT FR VD AMB X 150 ML, NO_ACR
517105104139410, VI-FERRIN, VI FERRIN, NOT FOUND, 150 MG/ML + 0.25 MG/ML + 7.5 MCG/ML SOL OR CT FR VD AMB X 20 ML, NO_ACR
517105101113410, VI-FERRIN, VI FERRIN, NOT FOUND, 300 MG + 5 MG + 15 MCG COM REV CT FR PLAS OPC X 60, NO_ACR
529206202113319, VASCASE, VASCASE, NOT FOUND, 1 MG COM REV CT BL AL/AL X 28, NO_ACR
529206204116315, VASCASE, VASCASE, NOT FOUND, 2.5 MG COM REV CT BL AL/AL X 14, NO_ACR
529206206119311, VASCASE, VASCASE, NOT FOUND, 2.5 MG COM REV CT BL AL/AL X 28, NO_ACR
529206208111318, VASCASE, VASCASE, NOT FOUND, 5 MG COM REV CT BL AL/AL X 14, NO_ACR
529206210116313, VASCASE, VASCASE, NOT FOUND, 5 MG COM REV CT BL AL/AL X 28, NO_ACR
529206212119311, VASCASE PLUS, VASCASE PLUS, NOT FOUND, 5 MG + 12.5 MG COM REV CT BL AL/AL X 28, NO_ACR
508024505118415, VASATIV, VASATIV, NOT FOUND, 100 MG COM CT BL AL PLAS INC X 15, NO_ACR
521113301116416, VASOGARD, VASOGARD, NOT FOUND, 100 MG COM CT BL AL PLAS INC X 30, NO_ACR
508024501112412, VASATIV, VASATIV, NOT FOUND, 100 MG COM CT BL AL PLAS INC X 30, NO_ACR
521113302112414, VASOGARD, VASOGARD, NOT FOUND, 100 MG COM CT BL AL PLAS INC X 60, NO_ACR
508024503115419, VASATIV, VASATIV, NOT FOUND, 100 MG COM CT BL AL PLAS INC X 60, NO_ACR
521113305111419, VASOGARD, VASOGARD, NOT FOUND, 100 MG COM CT BL AL PLAS INC X 7, NO_ACR
508024506114413, VASATIV, VASATIV, NOT FOUND, 50 MG COM CT BL AL PLAS INC X 15, NO_ACR
521113303119412, VASOGARD, VASOGARD, NOT FOUND, 50 MG COM CT BL AL PLAS INC X 30, NO_ACR
508024502119410, VASATIV, VASATIV, NOT FOUND, 50 MG COM CT BL AL PLAS INC X 30, NO_ACR
521113304115410, VASOGARD, VASOGARD, NOT FOUND, 50 MG COM CT BL AL PLAS INC X 60, NO_ACR
508024504111417, VASATIV, VASATIV, NOT FOUND, 50 MG COM CT BL AL PLAS INC X 60, NO_ACR
521113306118417, VASOGARD, VASOGARD, NOT FOUND, 50 MG COM CT BL AL PLAS INC X 7, NO_ACR
510807001111419, VERTIGERON, VERTIGERON, NOT FOUND, 25 MG COM CT BL AL PLAS X 30, NO_ACR
511508701111416, VERTIRIZYM, VERTIRIZYM, NOT FOUND, 75 MG COM CT 01 STR X 30, NO_ACR
521602402136419, VITONIL, VITONIL, NOT FOUND, SOLUCAO CX. FR. VD. 500ML, NO_ACR
504614110023817, VIRINEO, VIRINEO, NOT FOUND, 50MG COM REV CT BL AL PLAS TRANS X 4, NO_ACR
504614110023917, VIRINEO, VIRINEO, NOT FOUND, 50MG COM REV CT BL AL PLAS TRANS X 8, NO_ACR
504614110024617, VIRINEO, VIRINEO, NOT FOUND, 25MG COM REV CT BL AL PLAS TRANS X 2, NO_ACR
504614110024717, VIRINEO, VIRINEO, NOT FOUND, 25MG COM REV CT BL AL PLAS TRANS X 4, NO_ACR
504614110024817, VIRINEO, VIRINEO, NOT FOUND, 50MG COM REV CT BL AL PLAS TRANS X 1, NO_ACR
504614110024917, VIRINEO, VIRINEO, NOT FOUND, 50MG COM REV CT BL AL PLAS TRANS X 2, NO_ACR
525314040040908, VASIFIL, VASIFIL, NOT FOUND, 25 MG COM REV CT BL AL PLAS OPC X2, NO_ACR
525314040041008, VASIFIL, VASIFIL, NOT FOUND, 50 MG COM REV CT BL AL PLAS OPC X1, NO_ACR
525314040041108, VASIFIL, VASIFIL, NOT FOUND, 50 MG COM REV CT BL AL PLAS OPC X2, NO_ACR
525314040041208, VASIFIL, VASIFIL, NOT FOUND, 50 MG COM REV CT BL AL PLAS OPC X4, NO_ACR
525314040041308, VASIFIL, VASIFIL, NOT FOUND, 100 MG COM REV CT BL AL PLAS OPC X4 , NO_ACR
525314050042103, VASIFIL, VASIFIL, NOT FOUND, 25 MG COM REV CT BL AL PLAS OPC X4, NO_ACR
526133802111419, VASIFIL, VASIFIL, NOT FOUND, 100 MG COM REV CT BL AL PLAS OPC X 2, NO_ACR
526133801115410, VASIFIL, VASIFIL, NOT FOUND, 100 MG COM REV CT BL AL PLAS OPC X 4, NO_ACR
522204101118213, VIAGRA, VIAGRA, NOT FOUND, 100 MG COM REV CT  BL AL PLAS INC X 4 , NO_ACR
511517002113419, VIDENFIL, VIDENFIL, NOT FOUND, 100 MG COM CT BL AL PLAS INC X 4, NO_ACR
526133803118417, VASIFIL, VASIFIL, NOT FOUND, 25 MG COM REV CT BL AL PLAS OPC X 2, NO_ACR
526133804114415, VASIFIL, VASIFIL, NOT FOUND, 25 MG COM REV CT BL AL PLAS OPC X 4, NO_ACR
522204102114211, VIAGRA, VIAGRA, NOT FOUND, 25 MG COM REV CT BL AL PLAS INC X 4  , NO_ACR
511517001117410, VIDENFIL, VIDENFIL, NOT FOUND, 25 MG COM CT BL AL PLAS INC X 4, NO_ACR
520733601118411, VIASIL, VIASIL, NOT FOUND, 50 MG COM REV CT BL AL PLAS INC X 1, NO_ACR
526133805110413, VASIFIL, VASIFIL, NOT FOUND, 50 MG COM REV CT BL AL PLAS OPC X 1, NO_ACR
522204106111314, VIAGRA, VIAGRA, NOT FOUND, 50 MG COM REV CT BL AL PLAS INC X 1, NO_ACR
511517003111411, VIDENFIL, VIDENFIL, NOT FOUND, 50 MG COM CT BL AL PLAS INC X 1, NO_ACR
520733602114411, VIASIL, VIASIL, NOT FOUND, 50 MG COM REV CT BL AL PLAS INC X 2, NO_ACR
526133806117411, VASIFIL, VASIFIL, NOT FOUND, 50 MG COM REV CT BL AL PLAS OPC X 2, NO_ACR
522204104117218, VIAGRA, VIAGRA, NOT FOUND, 50 MG COM REV CT 2 BL AL PLAS INC X 1, NO_ACR
511517004116415, VIDENFIL, VIDENFIL, NOT FOUND, 50 MG COM CT BL AL PLAS INC X 2, NO_ACR
520733603110418, VIASIL, VIASIL, NOT FOUND, 50 MG COM REV CT BL AL PLAS INC X 4, NO_ACR
526133808111410, VASIFIL, VASIFIL, NOT FOUND, 50 MG COM REV CT BL AL PLAS OPC X 4, NO_ACR
522204103110211, VIAGRA, VIAGRA, NOT FOUND, 50 MG COM REV CT  BL AL PLAS INC X 4, NO_ACR
511517005112413, VIDENFIL, VIDENFIL, NOT FOUND, 50 MG COM CT BL AL PLAS INC X 4, NO_ACR
520733604117416, VIASIL, VIASIL, NOT FOUND, 50 MG COM REV CT BL AL PLAS INC X 8, NO_ACR
526133807113411, VASIFIL, VASIFIL, NOT FOUND, 50 MG COM REV CT BL AL PLAS OPC X 8, NO_ACR
522204105113410, VIAGRA, VIAGRA, NOT FOUND, 50 MG COM REV CT 2 BL AL PLAS INC X 4, NO_ACR
511517006119411, VIDENFIL, VIDENFIL, NOT FOUND, 50 MG COM CT BL AL PLAS INC X 8, NO_ACR
520729702169110, VALERATO DE BETAMETASONA + SULFATO DE GENTAMICINA + TOLNAFTATO + CLIOQUINOL, VALERATO BETAMETASONA SULFATO GENTAMICINA TOLNAFTATO CLIOQUINOL, NOT FOUND, 0.5 MG/G + 1MG/G + 10 MG/G + 10 MG/G POM DERM CT BG AL X 20 G, NO_ACR
507724401163111, VAL.BETAME.+SULF.GENT.+CLIOQ.+TOLNAFTATO, VAL BETAME SULF GENT CLIOQ TOLNAFTATO, NOT FOUND, POMADA 20G, NO_ACR
528524601161114, VALERATO DE BETAMETASONA+SULFATO DE GENTAMICINA+TOLNAFTATO+CLIOQUINOL, VALERATO BETAMETASONA SULFATO GENTAMICINA TOLNAFTATO CLIOQUINOL, NOT FOUND, 0.5 MG/G + 1 MG/G + 10 MG/G +10 MG/G CR DERM CT BG AL X 20 G, NO_ACR
504602101160113, VALERATO DE BETAMETASONA + SULFATO DE GENTAMICINA + TOLNAFTATO + CLIOQUINOL, VALERATO BETAMETASONA SULFATO GENTAMICINA TOLNAFTATO CLIOQUINOL, NOT FOUND, 0.5 MG/G + 1 MG/G + 10 MG/G +10 MG/G CREM DERM CT BG AL X 20 G, NO_ACR
525068401164113, VALERATO DE BETAMETASONA + SULFATO DE GENTAMICINA + TOLNAFTATO + CLIOQUINOL, VALERATO BETAMETASONA SULFATO GENTAMICINA TOLNAFTATO CLIOQUINOL, NOT FOUND, 0.5 MG/G + 1 MG/G + 10 MG/G + 10 MG/G CREM DERM CT BG AL X 20 G, NO_ACR
525068402160111, VALERATO DE BETAMETASONA + SULFATO DE GENTAMICINA + TOLNAFTATO + CLIOQUINOL, VALERATO BETAMETASONA SULFATO GENTAMICINA TOLNAFTATO CLIOQUINOL, NOT FOUND, 0.5 MG/ G + 1.0 MG/ G + 10.0 MG/ G + 10.0 MG/ G POM DERM CT BG AL X 20 G, NO_ACR
500514201160110, VALERATO DE BETAMETASONA + SULFATO DE GENTAMICINA + TOLNAFTATO + CLIOQUINOL, VALERATO BETAMETASONA SULFATO GENTAMICINA TOLNAFTATO CLIOQUINOL, NOT FOUND, 0.5 MG/G + 1.0 MG/G + 10.0 MG/G + 10 MG/G CREM DERM CT BG AL X 20 G, NO_ACR
538809502169117, VALERATO DE BETAMETASONA + SULFATO DE GENTAMICINA + TOLNAFTATO + CLIOQUINOL, VALERATO BETAMETASONA SULFATO GENTAMICINA TOLNAFTATO CLIOQUINOL, NOT FOUND, 0.5 MG/G + 1.0 MG/G + 10 MG/G + 10 MG/G POM DERM CT BG AL X 20 G, NO_ACR
504602102167111, VALERATO DE BETAMETASONA + SULFATO DE GENTAMICINA + TOLNAFTATO + CLIOQUINOL, VALERATO BETAMETASONA SULFATO GENTAMICINA TOLNAFTATO CLIOQUINOL, NOT FOUND, 0.5 MG/G + 1 MG/G + 10 MG/G + 10 MG/G POM DERM CT BG AL X 20 G, NO_ACR
520729701162112, VALERATO DE BETAMETASONA + SULFATO DE GENTAMICINA + TOLNAFTATO + CLIOQUINOL, VALERATO BETAMETASONA SULFATO GENTAMICINA TOLNAFTATO CLIOQUINOL, NOT FOUND, 0.5 MG/G + 1 MG/G + 10 MG/G + 10 MG/G CREM DERM CT BG AL X 20 G, NO_ACR
521126501161115, VALERATO DE BETAMETASONA + SULFATO DE GENTAMICINA + TOLNAFTATO + CLIOQUINOL, VALERATO BETAMETASONA SULFATO GENTAMICINA TOLNAFTATO CLIOQUINOL, NOT FOUND, 0.5 MG /G + 1.0 MG /G + 10.0 MG /G + 10.0 MG/G CREM DERM CT BG AL X 20G, NO_ACR
507724402161112, VAL.BETAME.+SULF.GENT.+CLIOQ.+TOLNAFTATO, VAL BETAME SULF GENT CLIOQ TOLNAFTATO, NOT FOUND, CREME 20G, NO_ACR
538809501162119, VALERATO DE BETAMETASONA + SULFATO DE GENTAMICINA + TOLNAFTATO + CLIOQUINOL, VALERATO BETAMETASONA SULFATO GENTAMICINA TOLNAFTATO CLIOQUINOL, NOT FOUND, 0.5 MG/G + 1 MG/G + 10 MG/G + 10 MG/G CREM DERM CT BG AL X 20 G, NO_ACR
525307401161111, VALERATO DE BETAMETASONA + SULFATO DE GENTAMICINA + TOLNAFTATO + CLIOQUINOL, VALERATO BETAMETASONA SULFATO GENTAMICINA TOLNAFTATO CLIOQUINOL, NOT FOUND, 0.5 MG/G + 1.0 MG/G + 10.0 MG/G + 10.0 MG/G CREM DERM CT BG AL X 20 G, NO_ACR
525307501164112, VALERATO DE BETAMETASONA + SULFATO DE GENTAMICINA + TOLNAFTATO + CLIOQUINOL, VALERATO BETAMETASONA SULFATO GENTAMICINA TOLNAFTATO CLIOQUINOL, NOT FOUND, 0.5 MG/G + 1.0 MG/G + 10.0 MG/G + 10.0 MG/G POM DERM CT BG AL X 20 G, NO_ACR
528524603164110, VALERATO DE BETAMETASONA+SULFATO DE GENTAMICINA+TOLNAFTATO+CLIOQUINOL, VALERATO BETAMETASONA SULFATO GENTAMICINA TOLNAFTATO CLIOQUINOL, NOT FOUND, 0.5MG/G + 1MG/G + 10MG/G + 10MG/G POM DERM CT BG AL X 20G , NO_ACR
526125601161116, VALERATO DE BETAMETASONA + SULFATO DE GENTAMICINA + TOLNAFTATO + CLIOQUINOL, VALERATO BETAMETASONA SULFATO GENTAMICINA TOLNAFTATO CLIOQUINOL, NOT FOUND, 0.5 MG/G + 1 MG/G + 10 MG/G + 10 MG/G CREM DERM CT BG AL X 20 G, NO_ACR
526125602168114, VALERATO DE BETAMETASONA + SULFATO DE GENTAMICINA + TOLNAFTATO + CLIOQUINOL, VALERATO BETAMETASONA SULFATO GENTAMICINA TOLNAFTATO CLIOQUINOL, NOT FOUND, 0.5 MG/G + 1.0 MG/G + 10 MG/G + 10 MG/G POM DERM CT BG AL X 20 G, NO_ACR
500512070043806, VALERATO DE BETAMETASONA + SULFATO DE GENTAMICINA + TOLNAFTATO + CLIOQUINOL, VALERATO BETAMETASONA SULFATO GENTAMICINA TOLNAFTATO CLIOQUINOL, NOT FOUND, 0.5 MG/G + 1.0 MG/G + 10.0 MG/G + 10.0MG/G POM DERM CT BG AL X 20G, NO_ACR
508019401164112, VALERATO DE BETAMETASONA+SULFATO DE GENTAMICINA+TOLNAFTATO+CLIOQUINOL, VALERATO BETAMETASONA SULFATO GENTAMICINA TOLNAFTATO CLIOQUINOL, NOT FOUND, 0.5 MG/G + 1.0 MG/G + 10.0 MG/G + 10.0 MG/G POM DERM CT BG AL X 20 G, NO_ACR
508019402160110, VALERATO DE BETAMETASONA+SULFATO DE GENTAMICINA+TOLNAFTATO+CLIOQUINOL, VALERATO BETAMETASONA SULFATO GENTAMICINA TOLNAFTATO CLIOQUINOL, NOT FOUND, 0.5 MG/G + 1.0 MG/G + 10.0 MG/G + 10.0 MG/G CREM DERM CT BG AL X 20 G, NO_ACR
506409701166118, VALERATO DE BETAMETASONA + SULFATO DE GENTAMICINA + TOLNAFATO + CLIOQUINOL, VALERATO BETAMETASONA SULFATO GENTAMICINA TOLNAFATO CLIOQUINOL, NOT FOUND, 0.5 MG/G + 1.0 MG/G + 10.00 MG/G + 10.00 MG/G POM DERM CT BG AL X 20G, NO_ACR
